id	名称	属性描述	属性大类	属性等级（颜色,星级等级决定上限，然后根据权重随机）	权重	属性类型	属性(最低属性值,最高属性值)
85	暴伤加成2-区间5	420509	4	2	1200	509	460-500
86	暴伤加成3-区间1	420509	4	3	3000	509	500-560
87	暴伤加成3-区间2	420509	4	3	2500	509	560-620
88	暴伤加成3-区间3	420509	4	3	2000	509	620-680
89	暴伤加成3-区间4	420509	4	3	1500	509	680-740
90	暴伤加成3-区间5	420509	4	3	1000	509	740-800
91	暴伤加成4-区间1	420509	4	4	1800	509	800-880
92	暴伤加成4-区间2	420509	4	4	1500	509	880-960
93	暴伤加成4-区间3	420509	4	4	1200	509	960-1040
94	暴伤加成4-区间4	420509	4	4	900	509	1040-1120
95	暴伤加成4-区间5	420509	4	4	600	509	1120-1200
96	暴伤加成5-区间1	420509	4	5	1200	509	1200-1360
97	暴伤加成5-区间2	420509	4	5	1000	509	1360-1520
98	暴伤加成5-区间3	420509	4	5	800	509	1520-1680
99	暴伤加成5-区间4	420509	4	5	600	509	1680-1840
100	暴伤加成5-区间5	420509	4	5	400	509	1840-2000
101	攻速加成1-区间1	421006	5	1	2400	1006	50-55
102	攻速加成1-区间2	421006	5	1	2000	1006	55-60
103	攻速加成1-区间3	421006	5	1	1600	1006	60-65
104	攻速加成1-区间4	421006	5	1	1200	1006	65-70
105	攻速加成1-区间5	421006	5	1	800	1006	70-75
106	攻速加成2-区间1	421006	5	2	3600	1006	75-85
107	攻速加成2-区间2	421006	5	2	3000	1006	85-95
108	攻速加成2-区间3	421006	5	2	2400	1006	95-105
109	攻速加成2-区间4	421006	5	2	1800	1006	105-115
110	攻速加成2-区间5	421006	5	2	1200	1006	115-125
111	攻速加成3-区间1	421006	5	3	3000	1006	125-140
112	攻速加成3-区间2	421006	5	3	2500	1006	140-155
113	攻速加成3-区间3	421006	5	3	2000	1006	155-170
114	攻速加成3-区间4	421006	5	3	1500	1006	170-185
115	攻速加成3-区间5	421006	5	3	1000	1006	185-200
116	攻速加成4-区间1	421006	5	4	1800	1006	200-220
117	攻速加成4-区间2	421006	5	4	1500	1006	220-240
118	攻速加成4-区间3	421006	5	4	1200	1006	240-260
119	攻速加成4-区间4	421006	5	4	900	1006	260-280
120	攻速加成4-区间5	421006	5	4	600	1006	280-300
121	攻速加成5-区间1	421006	5	5	1200	1006	300-340
122	攻速加成5-区间2	421006	5	5	1000	1006	340-380
123	攻速加成5-区间3	421006	5	5	800	1006	380-420
124	攻速加成5-区间4	421006	5	5	600	1006	420-460
125	攻速加成5-区间5	421006	5	5	400	1006	460-500
126	增伤加成1-区间1	420501	6	1	2400	501	100-110
127	增伤加成1-区间2	420501	6	1	2000	501	110-120
128	增伤加成1-区间3	420501	6	1	1600	501	120-130
129	增伤加成1-区间4	420501	6	1	1200	501	130-140
130	增伤加成1-区间5	420501	6	1	800	501	140-150
131	增伤加成2-区间1	420501	6	2	3600	501	150-170
132	增伤加成2-区间2	420501	6	2	3000	501	170-190
133	增伤加成2-区间3	420501	6	2	2400	501	190-210
134	增伤加成2-区间4	420501	6	2	1800	501	210-230
135	增伤加成2-区间5	420501	6	2	1200	501	230-250
136	增伤加成3-区间1	420501	6	3	3000	501	250-280
137	增伤加成3-区间2	420501	6	3	2500	501	280-310
138	增伤加成3-区间3	420501	6	3	2000	501	310-340
139	增伤加成3-区间4	420501	6	3	1500	501	340-370
140	增伤加成3-区间5	420501	6	3	1000	501	370-400
141	增伤加成4-区间1	420501	6	4	1800	501	400-440
142	增伤加成4-区间2	420501	6	4	1500	501	440-480
143	增伤加成4-区间3	420501	6	4	1200	501	480-520
144	增伤加成4-区间4	420501	6	4	900	501	520-560
145	增伤加成4-区间5	420501	6	4	600	501	560-600
146	增伤加成5-区间1	420501	6	5	1200	501	600-680
147	增伤加成5-区间2	420501	6	5	1000	501	680-760
148	增伤加成5-区间3	420501	6	5	800	501	760-840
149	增伤加成5-区间4	420501	6	5	600	501	840-920
150	增伤加成5-区间5	420501	6	5	400	501	920-1000
151	攻击加成1-区间1	421002	7	1	2400	1002	100-110
152	攻击加成1-区间2	421002	7	1	2000	1002	110-120
153	攻击加成1-区间3	421002	7	1	1600	1002	120-130
154	攻击加成1-区间4	421002	7	1	1200	1002	130-140
155	攻击加成1-区间5	421002	7	1	800	1002	140-150
156	攻击加成2-区间1	421002	7	2	3600	1002	150-170
157	攻击加成2-区间2	421002	7	2	3000	1002	170-190
158	攻击加成2-区间3	421002	7	2	2400	1002	190-210
159	攻击加成2-区间4	421002	7	2	1800	1002	210-230
160	攻击加成2-区间5	421002	7	2	1200	1002	230-250
161	攻击加成3-区间1	421002	7	3	3000	1002	250-280
162	攻击加成3-区间2	421002	7	3	2500	1002	280-310
163	攻击加成3-区间3	421002	7	3	2000	1002	310-340
164	攻击加成3-区间4	421002	7	3	1500	1002	340-370
165	攻击加成3-区间5	421002	7	3	1000	1002	370-400
166	攻击加成4-区间1	421002	7	4	1800	1002	400-440
167	攻击加成4-区间2	421002	7	4	1500	1002	440-480
168	攻击加成4-区间3	421002	7	4	1200	1002	480-520
169	攻击加成4-区间4	421002	7	4	900	1002	520-560
170	攻击加成4-区间5	421002	7	4	600	1002	560-600
171	攻击加成5-区间1	421002	7	5	1200	1002	600-680
172	攻击加成5-区间2	421002	7	5	1000	1002	680-760
173	攻击加成5-区间3	421002	7	5	800	1002	760-840
174	攻击加成5-区间4	421002	7	5	600	1002	840-920
175	攻击加成5-区间5	421002	7	5	400	1002	920-1000
176	格挡率1-区间1	420504	8	1	3600	504	50-55
177	格挡率1-区间2	420504	8	1	3000	504	55-60
178	格挡率1-区间3	420504	8	1	2400	504	60-65
179	格挡率1-区间4	420504	8	1	1800	504	65-70
180	格挡率1-区间5	420504	8	1	1200	504	70-75
181	格挡率2-区间1	420504	8	2	5400	504	75-85
182	格挡率2-区间2	420504	8	2	4500	504	85-95
183	格挡率2-区间3	420504	8	2	3600	504	95-105
184	格挡率2-区间4	420504	8	2	2700	504	105-115
185	格挡率2-区间5	420504	8	2	1800	504	115-125
186	格挡率3-区间1	420504	8	3	4500	504	125-140
187	格挡率3-区间2	420504	8	3	3750	504	140-155
188	格挡率3-区间3	420504	8	3	3000	504	155-170
189	格挡率3-区间4	420504	8	3	2250	504	170-185
190	格挡率3-区间5	420504	8	3	1500	504	185-200
191	格挡率4-区间1	420504	8	4	2700	504	200-220
192	格挡率4-区间2	420504	8	4	2250	504	220-240
193	格挡率4-区间3	420504	8	4	1800	504	240-260
194	格挡率4-区间4	420504	8	4	1350	504	260-280
195	格挡率4-区间5	420504	8	4	900	504	280-300
196	格挡率5-区间1	420504	8	5	1800	504	300-340
197	格挡率5-区间2	420504	8	5	1500	504	340-380
198	格挡率5-区间3	420504	8	5	1200	504	380-420
199	格挡率5-区间4	420504	8	5	900	504	420-460
200	格挡率5-区间5	420504	8	5	600	504	460-500
201	闪避率1-区间1	420506	9	1	3600	506	50-55
202	闪避率1-区间2	420506	9	1	3000	506	55-60
203	闪避率1-区间3	420506	9	1	2400	506	60-65
204	闪避率1-区间4	420506	9	1	1800	506	65-70
205	闪避率1-区间5	420506	9	1	1200	506	70-75
206	闪避率2-区间1	420506	9	2	5400	506	75-85
207	闪避率2-区间2	420506	9	2	4500	506	85-95
208	闪避率2-区间3	420506	9	2	3600	506	95-105
209	闪避率2-区间4	420506	9	2	2700	506	105-115
210	闪避率2-区间5	420506	9	2	1800	506	115-125
211	闪避率3-区间1	420506	9	3	4500	506	125-140
212	闪避率3-区间2	420506	9	3	3750	506	140-155
213	闪避率3-区间3	420506	9	3	3000	506	155-170
214	闪避率3-区间4	420506	9	3	2250	506	170-185
215	闪避率3-区间5	420506	9	3	1500	506	185-200
216	闪避率4-区间1	420506	9	4	2700	506	200-220
217	闪避率4-区间2	420506	9	4	2250	506	220-240
218	闪避率4-区间3	420506	9	4	1800	506	240-260
219	闪避率4-区间4	420506	9	4	1350	506	260-280
220	闪避率4-区间5	420506	9	4	900	506	280-300
221	闪避率5-区间1	420506	9	5	1800	506	300-340
222	闪避率5-区间2	420506	9	5	1500	506	340-380
223	闪避率5-区间3	420506	9	5	1200	506	380-420
224	闪避率5-区间4	420506	9	5	900	506	420-460
225	闪避率5-区间5	420506	9	5	600	506	460-500
226	抗暴率1-区间1	420508	10	1	3600	508	100-110
227	抗暴率1-区间2	420508	10	1	3000	508	110-120
228	抗暴率1-区间3	420508	10	1	2400	508	120-130
229	抗暴率1-区间4	420508	10	1	1800	508	130-140
230	抗暴率1-区间5	420508	10	1	1200	508	140-150
231	抗暴率2-区间1	420508	10	2	5400	508	150-170
232	抗暴率2-区间2	420508	10	2	4500	508	170-190
233	抗暴率2-区间3	420508	10	2	3600	508	190-210
234	抗暴率2-区间4	420508	10	2	2700	508	210-230
235	抗暴率2-区间5	420508	10	2	1800	508	230-250
236	抗暴率3-区间1	420508	10	3	4500	508	250-280
237	抗暴率3-区间2	420508	10	3	3750	508	280-310
238	抗暴率3-区间3	420508	10	3	3000	508	310-340
239	抗暴率3-区间4	420508	10	3	2250	508	340-370
240	抗暴率3-区间5	420508	10	3	1500	508	370-400
241	抗暴率4-区间1	420508	10	4	2700	508	400-440
242	抗暴率4-区间2	420508	10	4	2250	508	440-480
243	抗暴率4-区间3	420508	10	4	1800	508	480-520
244	抗暴率4-区间4	420508	10	4	1350	508	520-560
245	抗暴率4-区间5	420508	10	4	900	508	560-600
246	抗暴率5-区间1	420508	10	5	1800	508	600-680
247	抗暴率5-区间2	420508	10	5	1500	508	680-760
248	抗暴率5-区间3	420508	10	5	1200	508	760-840
249	抗暴率5-区间4	420508	10	5	900	508	840-920
250	抗暴率5-区间5	420508	10	5	600	508	920-1000
251	暴伤减免1-区间1	420510	11	1	3600	510	100-110
252	暴伤减免1-区间2	420510	11	1	3000	510	110-120
253	暴伤减免1-区间3	420510	11	1	2400	510	120-130
254	暴伤减免1-区间4	420510	11	1	1800	510	130-140
255	暴伤减免1-区间5	420510	11	1	1200	510	140-150
256	暴伤减免2-区间1	420510	11	2	5400	510	150-170
257	暴伤减免2-区间2	420510	11	2	4500	510	170-190
258	暴伤减免2-区间3	420510	11	2	3600	510	190-210
259	暴伤减免2-区间4	420510	11	2	2700	510	210-230
260	暴伤减免2-区间5	420510	11	2	1800	510	230-250
261	暴伤减免3-区间1	420510	11	3	4500	510	250-280
262	暴伤减免3-区间2	420510	11	3	3750	510	280-310
263	暴伤减免3-区间3	420510	11	3	3000	510	310-340
264	暴伤减免3-区间4	420510	11	3	2250	510	340-370
265	暴伤减免3-区间5	420510	11	3	1500	510	370-400
266	暴伤减免4-区间1	420510	11	4	2700	510	400-440
267	暴伤减免4-区间2	420510	11	4	2250	510	440-480
268	暴伤减免4-区间3	420510	11	4	1800	510	480-520
269	暴伤减免4-区间4	420510	11	4	1350	510	520-560
270	暴伤减免4-区间5	420510	11	4	900	510	560-600
271	暴伤减免5-区间1	420510	11	5	1800	510	600-680
272	暴伤减免5-区间2	420510	11	5	1500	510	680-760
273	暴伤减免5-区间3	420510	11	5	1200	510	760-840
274	暴伤减免5-区间4	420510	11	5	900	510	840-920
275	暴伤减免5-区间5	420510	11	5	600	510	920-1000
276	生命加成1-区间1	421001	12	1	3600	1001	100-110
277	生命加成1-区间2	421001	12	1	3000	1001	110-120
278	生命加成1-区间3	421001	12	1	2400	1001	120-130
279	生命加成1-区间4	421001	12	1	1800	1001	130-140
280	生命加成1-区间5	421001	12	1	1200	1001	140-150
281	生命加成2-区间1	421001	12	2	5400	1001	150-170
282	生命加成2-区间2	421001	12	2	4500	1001	170-190
283	生命加成2-区间3	421001	12	2	3600	1001	190-210
284	生命加成2-区间4	421001	12	2	2700	1001	210-230
285	生命加成2-区间5	421001	12	2	1800	1001	230-250
286	生命加成3-区间1	421001	12	3	4500	1001	250-280
287	生命加成3-区间2	421001	12	3	3750	1001	280-310
288	生命加成3-区间3	421001	12	3	3000	1001	310-340
289	生命加成3-区间4	421001	12	3	2250	1001	340-370
290	生命加成3-区间5	421001	12	3	1500	1001	370-400
291	生命加成4-区间1	421001	12	4	2700	1001	400-440
292	生命加成4-区间2	421001	12	4	2250	1001	440-480
293	生命加成4-区间3	421001	12	4	1800	1001	480-520
294	生命加成4-区间4	421001	12	4	1350	1001	520-560
295	生命加成4-区间5	421001	12	4	900	1001	560-600
296	生命加成5-区间1	421001	12	5	1800	1001	600-680
297	生命加成5-区间2	421001	12	5	1500	1001	680-760
298	生命加成5-区间3	421001	12	5	1200	1001	760-840
299	生命加成5-区间4	421001	12	5	900	1001	840-920
300	生命加成5-区间5	421001	12	5	600	1001	920-1000
301	防御加成1-区间1	421003	13	1	3600	1003	100-110
302	防御加成1-区间2	421003	13	1	3000	1003	110-120
303	防御加成1-区间3	421003	13	1	2400	1003	120-130
304	防御加成1-区间4	421003	13	1	1800	1003	130-140
305	防御加成1-区间5	421003	13	1	1200	1003	140-150
306	防御加成2-区间1	421003	13	2	5400	1003	150-170
307	防御加成2-区间2	421003	13	2	4500	1003	170-190
308	防御加成2-区间3	421003	13	2	3600	1003	190-210
309	防御加成2-区间4	421003	13	2	2700	1003	210-230
310	防御加成2-区间5	421003	13	2	1800	1003	230-250
311	防御加成3-区间1	421003	13	3	4500	1003	250-280
312	防御加成3-区间2	421003	13	3	3750	1003	280-310
313	防御加成3-区间3	421003	13	3	3000	1003	310-340
314	防御加成3-区间4	421003	13	3	2250	1003	340-370
315	防御加成3-区间5	421003	13	3	1500	1003	370-400
316	防御加成4-区间1	421003	13	4	2700	1003	400-440
317	防御加成4-区间2	421003	13	4	2250	1003	440-480
318	防御加成4-区间3	421003	13	4	1800	1003	480-520
319	防御加成4-区间4	421003	13	4	1350	1003	520-560
320	防御加成4-区间5	421003	13	4	900	1003	560-600
321	防御加成5-区间1	421003	13	5	1800	1003	600-680
322	防御加成5-区间2	421003	13	5	1500	1003	680-760
323	防御加成5-区间3	421003	13	5	1200	1003	760-840
324	防御加成5-区间4	421003	13	5	900	1003	840-920
325	防御加成5-区间5	421003	13	5	600	1003	920-1000
326	减伤加成1-区间1	420502	14	1	3600	502	100-110
327	减伤加成1-区间2	420502	14	1	3000	502	110-120
328	减伤加成1-区间3	420502	14	1	2400	502	120-130
329	减伤加成1-区间4	420502	14	1	1800	502	130-140
330	减伤加成1-区间5	420502	14	1	1200	502	140-150
331	减伤加成2-区间1	420502	14	2	5400	502	150-170
332	减伤加成2-区间2	420502	14	2	4500	502	170-190
333	减伤加成2-区间3	420502	14	2	3600	502	190-210
334	减伤加成2-区间4	420502	14	2	2700	502	210-230
335	减伤加成2-区间5	420502	14	2	1800	502	230-250
336	减伤加成3-区间1	420502	14	3	4500	502	250-280
337	减伤加成3-区间2	420502	14	3	3750	502	280-310
338	减伤加成3-区间3	420502	14	3	3000	502	310-340
339	减伤加成3-区间4	420502	14	3	2250	502	340-370
340	减伤加成3-区间5	420502	14	3	1500	502	370-400
341	减伤加成4-区间1	420502	14	4	2700	502	400-440
342	减伤加成4-区间2	420502	14	4	2250	502	440-480
343	减伤加成4-区间3	420502	14	4	1800	502	480-520
344	减伤加成4-区间4	420502	14	4	1350	502	520-560
345	减伤加成4-区间5	420502	14	4	900	502	560-600
346	减伤加成5-区间1	420502	14	5	1800	502	600-680
347	减伤加成5-区间2	420502	14	5	1500	502	680-760
348	减伤加成5-区间3	420502	14	5	1200	502	760-840
349	减伤加成5-区间4	420502	14	5	900	502	840-920
350	减伤加成5-区间5	420502	14	5	600	502	920-1000
351	护盾加成1-区间1	421007	15	1	3000	1007	100-110
352	护盾加成1-区间2	421007	15	1	2500	1007	110-120
353	护盾加成1-区间3	421007	15	1	2000	1007	120-130
354	护盾加成1-区间4	421007	15	1	1500	1007	130-140
355	护盾加成1-区间5	421007	15	1	1000	1007	140-150
356	护盾加成2-区间1	421007	15	2	4500	1007	150-170
357	护盾加成2-区间2	421007	15	2	3750	1007	170-190
358	护盾加成2-区间3	421007	15	2	3000	1007	190-210
359	护盾加成2-区间4	421007	15	2	2250	1007	210-230
360	护盾加成2-区间5	421007	15	2	1500	1007	230-250
361	护盾加成3-区间1	421007	15	3	3750	1007	250-280
362	护盾加成3-区间2	421007	15	3	3125	1007	280-310
363	护盾加成3-区间3	421007	15	3	2500	1007	310-340
364	护盾加成3-区间4	421007	15	3	1875	1007	340-370
365	护盾加成3-区间5	421007	15	3	1250	1007	370-400
366	护盾加成4-区间1	421007	15	4	2250	1007	400-440
367	护盾加成4-区间2	421007	15	4	1875	1007	440-480
368	护盾加成4-区间3	421007	15	4	1500	1007	480-520
369	护盾加成4-区间4	421007	15	4	1125	1007	520-560
370	护盾加成4-区间5	421007	15	4	750	1007	560-600
371	护盾加成5-区间1	421007	15	5	1500	1007	600-680
372	护盾加成5-区间2	421007	15	5	1250	1007	680-760
373	护盾加成5-区间3	421007	15	5	1000	1007	760-840
374	护盾加成5-区间4	421007	15	5	750	1007	840-920
375	护盾加成5-区间5	421007	15	5	500	1007	920-1000
376	控制时间1-区间1	420511	16	1	3000	511	100-110
377	控制时间1-区间2	420511	16	1	2500	511	110-120
378	控制时间1-区间3	420511	16	1	2000	511	120-130
379	控制时间1-区间4	420511	16	1	1500	511	130-140
380	控制时间1-区间5	420511	16	1	1000	511	140-150
381	控制时间2-区间1	420511	16	2	4500	511	150-170
382	控制时间2-区间2	420511	16	2	3750	511	170-190
383	控制时间2-区间3	420511	16	2	3000	511	190-210
384	控制时间2-区间4	420511	16	2	2250	511	210-230
385	控制时间2-区间5	420511	16	2	1500	511	230-250
386	控制时间3-区间1	420511	16	3	3750	511	250-280
387	控制时间3-区间2	420511	16	3	3125	511	280-310
388	控制时间3-区间3	420511	16	3	2500	511	310-340
389	控制时间3-区间4	420511	16	3	1875	511	340-370
390	控制时间3-区间5	420511	16	3	1250	511	370-400
391	控制时间4-区间1	420511	16	4	2250	511	400-440
392	控制时间4-区间2	420511	16	4	1875	511	440-480
393	控制时间4-区间3	420511	16	4	1500	511	480-520
394	控制时间4-区间4	420511	16	4	1125	511	520-560
395	控制时间4-区间5	420511	16	4	750	511	560-600
396	控制时间5-区间1	420511	16	5	1500	511	600-680
397	控制时间5-区间2	420511	16	5	1250	511	680-760
398	控制时间5-区间3	420511	16	5	1000	511	760-840
399	控制时间5-区间4	420511	16	5	750	511	840-920
400	控制时间5-区间5	420511	16	5	500	511	920-1000
401	受控时间1-区间1	420512	17	1	3000	512	100-110
402	受控时间1-区间2	420512	17	1	2500	512	110-120
403	受控时间1-区间3	420512	17	1	2000	512	120-130
404	受控时间1-区间4	420512	17	1	1500	512	130-140
405	受控时间1-区间5	420512	17	1	1000	512	140-150
406	受控时间2-区间1	420512	17	2	4500	512	150-170
407	受控时间2-区间2	420512	17	2	3750	512	170-190
408	受控时间2-区间3	420512	17	2	3000	512	190-210
409	受控时间2-区间4	420512	17	2	2250	512	210-230
410	受控时间2-区间5	420512	17	2	1500	512	230-250
411	受控时间3-区间1	420512	17	3	3750	512	250-280
412	受控时间3-区间2	420512	17	3	3125	512	280-310
413	受控时间3-区间3	420512	17	3	2500	512	310-340
414	受控时间3-区间4	420512	17	3	1875	512	340-370
415	受控时间3-区间5	420512	17	3	1250	512	370-400
416	受控时间4-区间1	420512	17	4	2250	512	400-440
417	受控时间4-区间2	420512	17	4	1875	512	440-480
418	受控时间4-区间3	420512	17	4	1500	512	480-520
419	受控时间4-区间4	420512	17	4	1125	512	520-560
420	受控时间4-区间5	420512	17	4	750	512	560-600
421	受控时间5-区间1	420512	17	5	1500	512	600-680
422	受控时间5-区间2	420512	17	5	1250	512	680-760
423	受控时间5-区间3	420512	17	5	1000	512	760-840
424	受控时间5-区间4	420512	17	5	750	512	840-920
425	受控时间5-区间5	420512	17	5	500	512	920-1000
426	增益时间1-区间1	420513	18	1	3000	513	100-110
427	增益时间1-区间2	420513	18	1	2500	513	110-120
428	增益时间1-区间3	420513	18	1	2000	513	120-130
429	增益时间1-区间4	420513	18	1	1500	513	130-140
430	增益时间1-区间5	420513	18	1	1000	513	140-150
431	增益时间2-区间1	420513	18	2	4500	513	150-170
432	增益时间2-区间2	420513	18	2	3750	513	170-190
433	增益时间2-区间3	420513	18	2	3000	513	190-210
434	增益时间2-区间4	420513	18	2	2250	513	210-230
435	增益时间2-区间5	420513	18	2	1500	513	230-250
436	增益时间3-区间1	420513	18	3	3750	513	250-280
437	增益时间3-区间2	420513	18	3	3125	513	280-310
438	增益时间3-区间3	420513	18	3	2500	513	310-340
439	增益时间3-区间4	420513	18	3	1875	513	340-370
440	增益时间3-区间5	420513	18	3	1250	513	370-400
441	增益时间4-区间1	420513	18	4	2250	513	400-440
442	增益时间4-区间2	420513	18	4	1875	513	440-480
443	增益时间4-区间3	420513	18	4	1500	513	480-520
444	增益时间4-区间4	420513	18	4	1125	513	520-560
445	增益时间4-区间5	420513	18	4	750	513	560-600
446	增益时间5-区间1	420513	18	5	1500	513	600-680
447	增益时间5-区间2	420513	18	5	1250	513	680-760
448	增益时间5-区间3	420513	18	5	1000	513	760-840
449	增益时间5-区间4	420513	18	5	750	513	840-920
450	增益时间5-区间5	420513	18	5	500	513	920-1000
451	减益时间1-区间1	420514	19	1	3000	514	100-110
452	减益时间1-区间2	420514	19	1	2500	514	110-120
453	减益时间1-区间3	420514	19	1	2000	514	120-130
454	减益时间1-区间4	420514	19	1	1500	514	130-140
455	减益时间1-区间5	420514	19	1	1000	514	140-150
456	减益时间2-区间1	420514	19	2	4500	514	150-170
457	减益时间2-区间2	420514	19	2	3750	514	170-190
458	减益时间2-区间3	420514	19	2	3000	514	190-210
459	减益时间2-区间4	420514	19	2	2250	514	210-230
460	减益时间2-区间5	420514	19	2	1500	514	230-250
461	减益时间3-区间1	420514	19	3	3750	514	250-280
462	减益时间3-区间2	420514	19	3	3125	514	280-310
463	减益时间3-区间3	420514	19	3	2500	514	310-340
464	减益时间3-区间4	420514	19	3	1875	514	340-370
465	减益时间3-区间5	420514	19	3	1250	514	370-400
466	减益时间4-区间1	420514	19	4	2250	514	400-440
467	减益时间4-区间2	420514	19	4	1875	514	440-480
468	减益时间4-区间3	420514	19	4	1500	514	480-520
469	减益时间4-区间4	420514	19	4	1125	514	520-560
470	减益时间4-区间5	420514	19	4	750	514	560-600
471	减益时间5-区间1	420514	19	5	1500	514	600-680
472	减益时间5-区间2	420514	19	5	1250	514	680-760
473	减益时间5-区间3	420514	19	5	1000	514	760-840
474	减益时间5-区间4	420514	19	5	750	514	840-920
475	减益时间5-区间5	420514	19	5	500	514	920-1000
476	回怒比例1-区间1	421009	20	1	3000	1009	100-110
477	回怒比例1-区间2	421009	20	1	2500	1009	110-120
478	回怒比例1-区间3	421009	20	1	2000	1009	120-130
479	回怒比例1-区间4	421009	20	1	1500	1009	130-140
480	回怒比例1-区间5	421009	20	1	1000	1009	140-150
481	回怒比例2-区间1	421009	20	2	4500	1009	150-170
482	回怒比例2-区间2	421009	20	2	3750	1009	170-190
