id	关卡名策划看	关卡类型(1-战斗，2-约会，3-城市约会，11-卡巴拉活动关卡)	玩法模式(1-常规，2-飞行，3-撞击，约会关卡不填)	前置关卡id	是否为free关	约会ID(读取约会表中的ID)	剧情简介	每卷最后1个主线剧情关卡(填1做标识)	关卡点位(1个wave中每个关卡布局点)	所属关卡组ID	精灵限定类型(0-无限定/禁用；1-不能编入自己的精灵；2-可以编入自己的精灵；3-禁用精灵；)	限定精灵ID(读取heroLimitforDungeon表ID)	禁用精灵ID(读取hero表中ID)	刷怪组id	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	背景音乐	显示顺序	难度	地图摄像机修正Z	地图摄像机修正X(x1-x2，x1为向左扩大，x2为向右扩大)	关卡时长	关卡名字（暂时没用此字段）	关卡简名（获取系统用）	关卡分级名字	关卡图标	关卡图标上奖励展示	关卡图片	关卡图片(约会关卡用此字段配置关卡场景展示缩略图)	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	刷怪备注(策划看)	通关条件类型(1歼灭，2生存，3击杀具体怪物，4击杀怪物类型，5击杀怪物数量，6防守)	通关条件参数(歼灭不填，生存x秒内存活，怪物ID及数量x，怪物敌人类型及数量x，怪物总量x)	通关条件描述	通关条件开场描述	挑战类型(1通关，2连击数，3通关时间小于，4损失血量低于x%，5死亡人数小于x，6受击次数小于x，7倒地次数小于x，8使用x次觉醒技能，9使用角色出场技击败x个敌人，10选择一个助战角色，11队伍中包含某角色，12每x秒至少击杀1名敌人，13队伍中所有精灵使用技能总次数不超过x，14队伍中不能有精灵阵亡，21-达到约会评分等级，22-完成特定结局)	挑战参数（类型为1通关时，参数配置为1）	挑战描述	首通奖励展示	关卡掉落展示	进入等级	消耗资源	可进入次数	是否可以开启决斗模式	开启决斗模式消耗资源	决斗模式奖励倍数	决斗模式下的怪物技能	是否可以一次性挑战多次	快速挑战参数{挑战次数:解锁星星条件}	奖励	首通奖励	是否播放关卡开场默认动作	是否播放胜利动作
102207	第2章简单2-3-支线战斗	1		102206	1				[9,[17]]	2002				2511-2512-2513-2514	3_S2L2OLD		sound/battle_sound/battle_002.mp3	3	1			120	300301			icon/fuben/levelIcon/Dungeon/putongjiedaohuifu_2.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				极限(怪物易进攻)	5	[[16]]	300818	300813	14-6-13	1-30-10	300064-300056-300063	510202-510101-510151	510202-510211-510101-510151-210009	7	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210207	60110207	1	1
102208	第2章简单2-4-约会	2		102206		2003	950041		[37,[5,6]]	2002								4	1			300	300303			icon/fuben/levelIcon/Dating/keting.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png									2-6-3	15-30-140	950042	510306-510101-510151	510306-510101-510151	7	{500004:0}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}		60110208	1	1
102309	第2章简单3-1-战斗	1	1	102208					[29,[1,2]]	2003	2	6		2911-2912-2913-2914	3_S2L5		sound/battle_sound/battle_004.mp3	1	1			180	300304			icon/fuben/levelIcon/Dungeon/louding_3.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png				常规+常规+循环	5	[[20]]	300818	300813	2-6-11	15-30-110101	300052-300056-300061	510203-510101-510151	510203-210013-510101-510151-210009	9	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210209	60110209	0	0
102310	第2章简单3-2-战斗（飞行）	1	1	102309					[18,[7]]	2003	1	10010202		201401-201402-201403-201404	2_xuexiaocaochang	2104	sound/battle_sound/battle_001.mp3	2	1			180	300305			icon/fuben/levelIcon/Dungeon/louding_2.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510204-510101-510151	510204-510103-510101-510151-210009	9	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210210	60110210	1	1
102311	第2章简单3-3-约会	2		102309		2004	950046		[44,[7]]	2003								3	1			300				icon/fuben/levelIcon/Dating/zhezhijia.png														950047	510208-510101-510151	510208-510101-510151	9	{500004:0}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}		60110211	1	1
102312	第2章简单3-4-战斗	1	1	102310-102311					[20,[3]]	2003	1	10010105		2311-2312-2313-2314-2315	3_S2L9		sound/battle_sound/battle_003.mp3	4	1			300				icon/fuben/levelIcon/Dungeon/bingfengjiedao_2.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510205-510101-510151	510205-210014-510101-510151-210009	9	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210212	60110212	1	0
102313	第2章简单3-5-战斗	1	1	102312					[48,[4]]	2003	1	10010105		2811-2812-2813-2814-2815-2816-2817	3_S2L8		sound/battle_sound/battle_002.mp3	5	1			300				icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png								6	[[3]]	300808	300808	2-6-11	15-30-110101	300052-300056-300061	510206-510101-510151	510206-510153-510101-510151-210009	9	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210213	60110213	0	1
102314	第2章简单3-6-约会	2		102313		2005	950051	1	[37,[1,2]]	2003								6	1			300				icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png														950052	510306-510101-510151	510306-510101-510151	9	{500004:0}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}		60110214	1	1
103101	第3章简单1-1-约会	2		102314		1002	950002		[29,[1,2]]	3001				1003001-1003002	test_1		sound/battle_sound/battle_001.mp3	1	1			300	300301			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	3-4-11	140-70-110101	300053-300054-300061	510206-510101-510151	510206-510101-510151	11	{500004:0}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}		60110301	1	1
103102	第3章简单1-2-战斗	1	1	103101					[32,[5,6]]	3001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300302			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png				常规+常规+极限	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510207-510101-510151	510207-510212-510101-510151-210009	11	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210302	60110302	1	1
103103	第3章简单1-3-支线战斗	1	1	103102	1				[8,[17]]	3001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300	300303			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				常规+循环+常规	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510208-510101-510151	510208-210015-510101-510151-210009	11	{500004:8}	99	0				0			60110303	1	1
103104	第3章简单1-4-战斗	1	1	103102					[35,[1,2]]	3001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300	300304			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510201-510101-510151	510201-510104-510101-510151-210009	11	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210304	60110304	1	1
103105	第3章简单1-5-支线战斗	1	1	103104	1				[63,[16]]	3001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300	300305			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_3.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510202-510101-510151	510202-210016-510101-510151-210009	11	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}		60110305	1	1
103106	第3章简单1-6-约会	2		103104		2002	950007		[24,[3]]	3001				1003016-1003017-1003018	test_1		sound/battle_sound/battle_001.mp3	6	1			300	300301			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[3]]	300801	300816	3-6-9	130-25-2	300053-300056-300059	510309-510101-510151	510309-510101-510151	11	{500004:0}	99	0				0			60110306	1	1
103207	第3章简单2-1-战斗	1	1	103106					[29,[5,6]]	3002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300302			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				常规+定时	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510203-510101-510151	510203-510153-510101-510151-210009	13	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210307	60110307	1	1
103208	第3章简单2-2-战斗	1	1	103207					[18,[3]]	3002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300303			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510204-510101-510151	510204-510213-510101-510151-210009	13	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210308	60110308	1	1
103209	第3章简单2-3-约会	2		103208		2001	950031		[33,[1,2]]	3002				1003025-1003026-1003027	test_1		sound/battle_sound/battle_001.mp3	3	1			300	300304			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png	8003	3	300903	常规+常规+极限	1	[[3]]	300801	300816	3-6-8	130-25-1	300053-300056-300058	510204-510101-510151	510204-510101-510151	13	{500004:0}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}		60110309	1	1
103210	第3章简单2-4-战斗	1	1	103209					[48,[4]]	3002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300	300305			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510205-510101-510151	510205-210017-510101-510151-210009	13	{500004:8}	99	0				0			60110310	1	1
103211	第3章简单2-5-战斗	1	1	103210					[37,[5,6]]	3002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300				icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_3.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510309-510101-510151	510206-510104-510101-510151-210009	13	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210311	60110311	1	1
103312	第3章简单3-1-约会	2		103211		2002	950036		[30,[1,2]]	3003								1	1							icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png															510203-510101-510151	510203-510101-510151	15	{500004:0}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}		60110312	1	1
103313	第3章简单3-2-战斗	1	1	103211					[4,[10]]	3003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300				icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510207-510101-510151	510207-210018-510101-510151-210009	15	{500004:8}	99	0				0			60110313	1	1
103314	第3章简单3-3-约会	1	1	103211					[56,[9]]	3003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300				icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510208-510101-510151	510208-510153-510101-510151-210009	15	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210314	60110314	1	1
103315	第3章简单3-4-战斗	1	1	103312-103313-103314					[33,[5,6]]	3003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300				icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510201-510101-510151	510201-510214-510101-510151-210009	15	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210315	60110315	1	1
103316	第3章简单3-5-战斗	1	1	103315				1	[36,[1,2]]	3003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300				icon/fuben/levelIcon/Dating/zhihuibu.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510309-510101-510151	510202-210019-510101-510151-210009	15	{500004:8}	99	1	{570031:1}	2	1001	0	{1:0,2:2,3:3}	60210316	60110316	1	1
104101	第4章简单1-1-战斗	1	1	103316					[29,[1,2]]	4001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300301			icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510203-510102-510152	510203-510104-510102-510152-210009	18	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210401	60110401	1	1
104102	第4章简单1-2-战斗	1	1	104101					[32,[5,6]]	4001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300302			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				常规+常规+定时	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510204-510102-510152	510204-210010-510102-510152-210009	18	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210402	60110402	1	1
104103	第4章简单1-3-约会	2		104102		1002	950041		[47,[4]]	4001				1004007-1004008	test_1		sound/battle_sound/battle_001.mp3	3	1			300	300303			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-5-7	25-3-8	300052-300055-300057	510202-510102-510152	510202-510102-510152	18	{500004:0}	99	0				0			60110403	1	1
104104	第4章简单1-4-战斗	1	1	104103					[23,[3]]	4001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300	300304			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png	8006	3	300906	常规+循环	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510205-510102-510152	510205-510153-510102-510152-210009	18	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210404	60110404	1	1
104105	第4章简单1-5-战斗	1	1	104104					[51,[4]]	4001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300	300305			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510304-510102-510152	510206-510215-510102-510152-210009	18	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210405	60110405	1	1
104206	第4章简单2-1-战斗	1	1	104105					[29,[5,6]]	4002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300301			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				极限(怪物易进攻)	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510207-510102-510152	510207-210011-510102-510152-210009	21	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210406	60110406	1	1
104207	第4章简单2-2-战斗	1	1	104206					[32,[1,2]]	4002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300302			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510208-510102-510152	510208-510104-510102-510152-210009	21	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210407	60110407	1	1
