	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
1011008	1001	7	{}		100		1	1	{}				{}					1011009											{}											{}											{}															{}											 	1	1				{}	{}										
1011009	1001	7	{}		100		时间宝贵，先报告状况吧。	1	{}				{}					1011010											{}											{}											{}															{}											 						{}	{}										
1011010	1001	7	{}		100		我努力撑开沉重的眼皮，想要看清在我面前说话的人。	1	{}				{}					1011011											{}											{}											{}															{}											 						{}	{}										
1011011	1001	7	{}		100		比起这些，回收的[关键物件]怎么样了？	1	{}				{}					1011012											{}											{}											{}															{}											 						{}	{}										
1011012	1001	7	{}		100		身体数据正常，应该没有大碍。但是目前还……\n@啊……	1	{}				{}					1011013											{}											{}											{}															{}											 						{}	{}										
1011013	1001	7	{}		100			1	{}				{}					1011014											{}											{}											{}															{}											 	1	1				{}	{}		video/cg_main_heiqinlichuchang.mp4								
1011014	1001	7	{}		100			1	{}				{}					1011015											{}											{}											{}										scene/bg/bg_white.png			1.2	-1	{"x":0,"y":0}											 						{}	{}										
1011015	1001	7	{}		100			1	{}				{}					1011016											{}											{}											{}										scene/bg/bg_zhihuibu.png	1		1.3	15	{"x":170,"y":0}											 						{}	{}										
1011016	1001	7	{}		100		我撑起身体，呆呆地看着周围陌生的一切。	1	{}				{}					1011017											{}											{}											{}															{}											 						{}	{}										
1011017	1001	7	{}		100		充满科技感的装饰，超大的屏幕上看不懂的数据，这是我完全陌生的地方……	1	{}				{}					1011018											{}											{}											{}															{}											 						{}	{}										
1011018	1001	7	{}		100			1	{}				{}					1011019											{}											{}											{}										scene/bg/bg_zhihuibu.png	1		1.3	-1	{"x":0,"y":0}											 	1	1				{}	{}										
1011019	1001	7	{}		100		1	1	{}				{}					1011020		10505	3		id_pose_5		id_look_2			2	{}	1.2										{}											{}															{}	sound/bgm/date_012.mp3	70									 	1	1				{}	{}										
1011020	1001	7	{}		100	五河琴里	笨蛋，你愣着干什么？	1	{}				{}					1011021		1			id_pose_5	1	id_look_11	101103	id_gas		{}											{}											{}		0.1-7-9-5-0.024	4												{}				1							 						{}	{}										
1011021	1001	7	{}		100		我惊讶地盯着眼前熟悉的娇小身影，却无法把她和我认识的人划上等号。	1	{}				{}					1011022		1									{}											{}											{}															{}											 						{}	{}										
1011022	1001	7	{}		100	五河琴里	摔傻了吗？@还记得你自己的[名字]吗？	1	{}				{}					1001011022		1			id_favor1_2	1	0				{}											{}											{}															{}				1							 						{}	{}										
1001011022	1001	7	{}		100			1	{}				{}					1011023		1									{}											{}											{}															{}											 	1	1				{}	{}										
1011023	1001	7	{}		100	1	记得。	1	{}				{}				1	1011024		1									{}											{}											{}															{}											 						{}	{}										
1011024	1001	7	{}		100	五河琴里	很好，那你还记得我是谁吗？	1	{}				{}					1011025-1011026-1011027		1			id_pose_5		id_look_4				{}											{}											{}															{}				1							 						{}	{}										
1011025	1001	7	{}		100		唔……我们认识吗？	1	{}				{}					1011029		1									{}											{}											{}															{}											 						{}	{}										
1011026	1001	7	{}		100		琴里！琴里！我的老婆！	1	{}				{}					1011028		1									{}											{}											{}															{}											 						{}	{}										
1011027	1001	7	{}		100		当然……是我可爱的妹妹啊。	1	{}				{}					1011036		1									{}											{}											{}															{}											 						{}	{}										
1011028	1001	7	{}		100	五河琴里	令音，给我把这家伙脑袋切开，看看是不是坏掉了！	1	{}				{}					1011030		1			id_favor2_4		0				{}											{}											{}															{}				1							 						{}	{}										
1011029	1001	7	{}		100	五河琴里	 哈  啊  ！  ？  @ 你是金鱼吗？真是笨死了啊！令音，带他下去检查。	1	{"scales":[{"start":0,"ends":7,"value":1.6}]}				{}					1011030		1			id_favor3_4		0				{}											{}											{}															{}											 						{}	{}										
1011030	1001	7	{}		100	1	 等 …… 等 等 ！ 我想起来了，你是我妹妹琴里！	1	{"scales":[{"start":0,"ends":11,"value":1.6}]}				{}					1011031		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}											 						{}	{}										
1011031	1001	7	{}		100	五河琴里	真是个笨蛋……@说起来，你为什么会出现在那种危险的地方？@还记得昏迷之前的事么？	1	{}				{}					1011032		1			id_pose_13	1	id_look_10				{}											{}											{}															{}				1							 						{}	{}										
1011032	1001	7	{}		100		琴里……看起来跟以前不太一样了。	1	{}				{}					1011033		1			id_pose_13	1	id_look_10				{}											{}											{}															{}											 						{}	{}										
1011033	1001	7	{}		100		但这种情况下，只能老老实实回答她的问题。	1	{}				{}					1011034		1									{}											{}											{}															{}											 						{}	{}										
1011034	1001	7	{}		100			1	{}				{}					1011035				3							{}											{}											{}															{}											 	1	1				{}	{}		video/cg_main_qinlixiaomanhua.mp4								
1011035	1001	7	{}		100			1	{}				{}					1011048											{}											{}											{}										scene/bg/bg_zhihuibu.png	1		1.2	-1	{}											 						{}	{}										
1011036	1001	7	{}		100	五河琴里	看样子脑袋也没摔坏吧。	1	{}				{}					1011037		10505	3		id_pose_5	1	id_look_2			2	{}	1.2										{}											{}															{}											 						{}	{}										
1011037	1001	7	{}		100		那是当然的啦！	1	{}				{}					1011038		1									{}											{}											{}															{}											 						{}	{}										
1011038	1001	7	{}		100	五河琴里	运气真好呢，要是这次的爆炸规模再大一些的话，或许就把你吹飞了。	1	{}				{}					1011039		1			id_pose_13	1	id_look_10				{}											{}											{}															{}				1							 						{}	{}										
1011039	1001	7	{}		100	1	 对 了 ！ 那个女孩……@我遇见的那个女孩，她怎么样了？！	1	{"scales":[{"start":0,"ends":6,"value":1.6}]}				{}				1	1011040		1									{}											{}											{}															{}											 						{}	{}										
1011040	1001	7	{}		100	五河琴里	哦？你认识她？	1	{}				{}					1011041-1011042-1011043		1			id_pose_7	1	id_look_2				{}											{}											{}															{}				1							 						{}	{}										
1011041	1001	7	{}		100		她穿着奇怪的衣服，还想要杀我……	1	{}				{}					1011059		1									{}											{}											{}															{}											 						{}	{}										
1011042	1001	7	{}		100		正想问这个问题，那个女孩到底是谁？	1	{}				{}					1011059		1									{}											{}											{}															{}											 						{}	{}										
1011043	1001	7	{}		100		她是十香啊，我要去救她！	1	{}				{}					1011044		1									{}											{}											{}															{}											 						{}	{}										
1011044	1001	7	{}		100	五河琴里	很好，你接下来的任务是通过“约会”封印那个精灵的力量。	1	{}				{}					1011045		1			id_pose_5	1	id_look_4				{}											{}											{}															{}				1							 						{}	{}										
1011045	1001	7	{}		100	五河琴里	放心吧，我会集结Ratatoskr（拉塔托斯克）的全部力量支援你。	1	{}				{}					1011046		1			id_pose_4	1	id_look_3	101103	id_heart		{}											{}											{}															{}				1							 						{}	{}										
1011046	1001	7	{}		100	1	噢……嗯……	1	{}				{}					1011093		1									{}											{}											{}															{}											 						{}	{}										
1011047	1001	7	{}		100		无论怎么看，那就是琴里——我的妹妹。@\n但外表、气质和说话的语气都变得有些陌生。	1	{}				{}					1011048		1									{}											{}											{}															{}											 						{}	{}										
1011048	1001	7	{}		100	五河琴里	看样子脑子没摔坏嘛。	1	{}				{}					1011049		10505	3	3	id_pose_5		id_look_2			2	{}	1.2										{}											{}															{}				1							 						{}	{}										
1011049	1001	7	{}		100	1	……那是当然的！	1	{}				{}				1	1011050		1									{}											{}											{}															{}											 						{}	{}										
1011050	1001	7	{}		100	1	话说回来，我也有一堆问题想要问你啊。	1	{}				{}					1011051-1011052		1									{}											{}											{}															{}											 						{}	{}										
1011051	1001	7	{}		100		你没事吧？遇到空间震为什么不躲开？	1	{}				{}					1011053		1									{}											{}											{}															{}											 						{}	{}										
1011052	1001	7	{}		100		这是哪儿？我为什么会在这里啊？	1	{}				{}					1011053		1									{}											{}											{}															{}											 						{}	{}										
1011053	1001	7	{}		100	五河琴里	吵死了，嚷嚷什么啊！冷静点。	1	{}				{}					1011054		1			id_pose_4		id_look_3	101103	id_angry		{}											{}											{}															{}				1							 						{}	{}										
1011054	1001	7	{}		100	1	我以为你还在餐厅门口等我……我、我很担心你啊！	1	{}				{}					1011055		1									{}											{}											{}															{}											 						{}	{}										
1011055	1001	7	{}		100	五河琴里	餐厅么？@啊，说这里是餐厅也没错呢——餐厅上方一万五千米处，天宫市的[空中]。	1	{}				{}					1011056		1			id_pose_5	1	id_look_4				{}											{}											{}															{}				1							 						{}	{}										
1011056	1001	7	{}		100	1	空中？！那这个地方到底是……？	1	{}				{}					1011057		1									{}											{}											{}															{}											 						{}	{}										
1011057	1001	7	{}		100	五河琴里	啧，问题可真够多的啊。听好了，这里是空中舰艇Fraxinus（弗拉克西纳斯）你昏迷后，就被我回收进来了。	1	{}				{}					1011058		1			id_favor1_1	1	0	101103	id_gas		{}											{}											{}															{}				1							 						{}	{}										
1011058	1001	7	{}		100	1	昏迷啊，对了……我遇见了一个少女，她与天上飞下来的人战斗……然后，冲击波把我震晕过去了。	1	{}				{}					1011059		1									{}											{}											{}															{}											 						{}	{}										
1011059	1001	7	{}		100	五河琴里	接下来我要说的事情非常重要，好好竖着你的耳朵听清楚了。	1	{}				{}					1011062		1			id_pose_5	1	id_look_4				{}											{}											{}															{}				1							 						{}	{}										
1011062	1001	7	{}		100			1	{}				{}				2	1011063				3							{}											{}											{}															{}											 	1	1				{}	{}		video/cg_main_kongjianzhenjieshao.mp4								
1011063	1001	7	{}		100			1	{}				{}					1011064											{}											{}											{}											3				{}							date_cg_55				 						{}	{}										
1011064	1001	7	{}		100	五河琴里	那家伙的识别名是[“公主”]，只要她出现在我们的世界，不管是否是她本人的意志——都会将身边一切都破坏掉。	1	{}				{}					1011065											{}											{}											{}															{}				1							 						{}	{}										
1011065	1001	7	{}		100	1	居然……那，那些穿着机甲从天空飞下来的人又是谁？	1	{}				{}				2	1011066											{}											{}											{}															{}											 						{}	{}										
1011066	1001	7	{}		100		1	1	{}				{}					1011067											{}											{}											{}											0				{}							date_cg_56				 	1	1				{}	{}										
1011067	1001	7	{}		100	五河琴里	啊~你说的应该[AST]吧。	1	{}				{}					1011068											{}											{}											{}															{}				1							 						{}	{}										
1011068	1001	7	{}		100	1	AST？	1	{}				{}					1011069											{}											{}											{}															{}											 						{}	{}										
1011069	1001	7	{}		100	五河琴里	AST是“对抗精灵部队”的简称。她们的职责就是在精灵出现的第一时间赶去“处理”她们。	1	{}				{}					1011070											{}											{}											{}															{}				1							 						{}	{}										
1011070	1001	7	{}		100	1	处理……是指什么？	1	{}				{}					1011071											{}											{}											{}															{}											 						{}	{}										
1011071	1001	7	{}		100			1	{}				{}					1011072											{}											{}											{}										scene/bg/bg_zhihuibu.png	1		1.2	-1	{}											 						{}	{}										
1011072	1001	7	{}		100		1	1	{}				{}					1011073		10505	3		id_pose_5		id_look_2			2	{}	1.2										{}											{}															{}											 	1	1				{}	{}										
1011073	1001	7	{}		100	五河琴里	[杀掉。]	1	{}				{}					1011074		1			id_pose_2	1	id_look_10				{}											{}											{}															{}				1							 						{}	{}										
1011074	1001	7	{}		100	1	杀掉？！	1	{}				{}				1	1011075		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}											 						{}	{}										
1011075	1001	7	{}		100	五河琴里	狩猎、逮捕、然后[杀死]精灵——就是她们的目的。	1	{}				{}					1011076-1011077-1011078		1			id_pose_2		id_look_10				{}											{}											{}															{}				1							 						{}	{}										
1011076	1001	7	{}		100		为什么要杀掉她？	1	{}				{}					1011079		1									{}											{}											{}															{}											 						{}	{}										
1011077	1001	7	{}		100		杀掉……这太残忍了吧！	1	{}				{}					1011079		1									{}											{}											{}															{}											 						{}	{}										
1011078	1001	7	{}		100		有什么能拯救她的办法吗？	1	{}				{}					1011086		1									{}											{}											{}															{}											 						{}	{}										
1011079	1001	7	{}		100	五河琴里	奇怪么？那家伙可是怪物哦——仅仅是出现在这个世界就会引起空间震、造成巨大破坏的怪物。	1	{}				{}				2	1011080		1			id_pose_13		id_look_10				{}											{}											{}															{}				1							 						{}	{}										
1011080	1001	7	{}		100			1	{}				{}					1011081				3							{}											{}											{}										scene/bg/bg_shixianghuimou.png	1		1.2	-1	{}							date_cg_3	6			 						{}	{}										
1011081	1001	7	{}		100		我终于明白了那个少女为什么执着地认为我想要杀死她。	1	{}				{}					1011082		1									{}											{}											{}															{}											 						{}	{}										
1011082	1001	7	{}		100		也明白了……她为什么会露出那样疲惫又悲伤的表情。	1	{}				{}					1011083		1									{}											{}											{}															{}											 						{}	{}										
1011083	1001	7	{}		100		她是我们眼中引起灾难的[怪物]，但这一切都不是她的本意！	1	{}				{}					1011084		1									{}											{}											{}															{}											 						{}	{}										
1011084	1001	7	{}		100			1	{}				{}					1011085		1									{}											{}											{}										scene/bg/bg_zhihuibu.png	-1		1.2	-1	{}											 						{}	{}										
1011085	1001	7	{}		100	1	琴里！有什么办法可以帮助她吗？	1	{}				{}				1	1011086		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}											 						{}	{}										
1011086	1001	7	{}		100	五河琴里	真是一个笨蛋……你只和精灵相处了短短几分钟，而且对方还打算取你的性命。难道你对她产生兴趣了么？	1	{}				{}					1011087-1011088		1			id_favor1_1		0	101103	id_gas		{}											{}											{}															{}				1							 						{}	{}										
1011087	1001	7	{}		100		是的……我想要救她！	1	{}				{}					1011091		1									{}											{}											{}															{}											 						{}	{}										
1011088	1001	7	{}		100		我只是在想，有没有别的办法可以帮助她……	1	{}				{}					1011089		1									{}											{}											{}															{}											 						{}	{}										
1011089	1001	7	{}		100	五河琴里	哦？你想要救她吗？	1	{}				{}					1011090		1			id_pose_3		id_look_3				{}											{}											{}															{}				1							 						{}	{}										
1011090	1001	7	{}		100	1	如果试着好好地交谈的话……也许会有……拯救她的办法……	1	{}				{}					1011091		1									{}											{}											{}															{}											 						{}	{}										
1011091	1001	7	{}		100		琴里露出志在必得的笑容，表情仿佛在说我等着这句话很久了。	1	{}				{}					1011092		1			id_pose_6	1	id_look_4	101103	id_heart		{}											{}											{}															{}											 						{}	{}										
1011092	1001	7	{}		100	五河琴里	放手去做吧！我会集结Ratatoskr（拉塔托斯克）的全部力量，支援你！	1	{}				{}					1011093		1			id_pose_5	1	id_look_4				{}											{}											{}															{}				1							 						{}	{}										
1011093	1001	7	{}		100	五河琴里	你的任务就是和精灵亲密对谈，互相调情，浪漫约会，让精灵死心塌地爱上你。	1	{}				{}					1011094		1			id_pose_13	1	id_look_10				{}											{}											{}															{}				1							 						{}	{}										
1011094	1001	7	{}		100	五河琴里	最后通过接吻的方式封印她的力量就可以了。	1	{}				{}					1011095		1			id_pose_2	1	id_look_10				{}											{}											{}															{}				1							 						{}	{}										
1011095	1001	7	{}		100	1	嗯！……哎？？什么……接吻？！\n我没听错吧……这个方法真的可行吗？	1	{}				{}					1011096		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}											 						{}	{}										
1011096	1001	7	{}		100	五河琴里	啊？难道你在质疑我么？	1	{}				{}					1011097		1			id_pose_4	1	id_look_3	101103	id_angry		{}											{}											{}															{}				1							 						{}	{}										
1011097	1001	7	{}		100	五河琴里	这是我制定的周密计划，你要做的，就是服从我的命令，懂了么？	1	{}				{}					1011098		1			id_pose_5	1	id_look_1				{}											{}											{}															{}				1							 						{}	{}										
1011098	1001	7	{}		100	1	好……好的，我明白了。	1	{}				{}					1011099		1									{}											{}											{}															{}											 						{}	{}										
1011099	1001	7	{}		100	五河琴里	做好觉悟吧。从至今为止的资料来看，精灵现界最少也要一周后。	1	{}				{}					1011100		1			id_pose_5	1	id_look_4				{}											{}											{}															{}				1							 						{}	{}										
1011100	1001	7	{}		100	五河琴里	明天开始练习，详细的方法我会让令音教给你。@\n 绝 对  、  绝 对 不 许 偷 懒 ！ 	1	{"scales":[{"start":21,"ends":46,"value":1.6}]}				{}					1011101		1			id_pose_2		id_look_10				{}											{}											{}															{}				1							 						{}	{}										
1011101	1001	7	{}		100		1	1	{}				{}					1011102				3							{}											{}											{}															{}											 	1	1				{}	{}										
1011102	1001	7	{}		100			1	{}				{}				1	1011103											{}											{}											{}										scene/bg/bg_black.png	1		1.2	-1	{}											 	1	1				{}	{}										
1011103	1001	7	{}		100		接下来的一周时间里，我接受了琴里[惨无人道]的训练。	1	{}				{}																{}											{}											{}															{}											 						{"fix":{"items":[{"id":500001,"min":60,"max":60},{"id":500005,"min":6,"max":6},{"id":500016,"min":5,"max":5},{"id":510208,"min":1,"max":1},{"id":510101,"min":1,"max":1},{"id":510151,"min":1,"max":1}]}}	{}										
1021001	1002	7	{}		100			1	{}				{}					1021002											{}											{}											{}										scene/bg/bg_jiaoshi.png	1		1.3	-1	{"x":170,"y":0}	sound/bgm/date_012.mp3	70									 	1	1				{}	{}										
1021002	1002	7	{}		100	五河琴里	「%s，刚刚发生了[空间震]预警！」	1	{}				{}					1021003											{}											{}											{}				effect/dianhua/dianhua	dianhua										{}					警报												{}	{}										
1021003	1002	7	{}		100	1	「是精灵又出现了吗？」	1	{}				{}					1021004											{}											{}											{}															{}																	{}	{}										
1021004	1002	7	{}		100	五河琴里	「唔，正好预测的出现地点是你的学校，做好准备，马上开工！」	1	{}				{}					1021005											{}											{}											{}				effect/dianhua/dianhua	dianhua										{}					1												{}	{}										
1021005	1002	7	{}		100	1	「哎？！不会这么巧吧！」	1	{}				{}					1021006											{}											{}											{}		0.7-4-6-3-0.02	4												{}																	{}	{}										
1021006	1002	7	{}		100			1	{}				{}					1021007											{}											{}											{}										scene/bg/bg_pohuaixuexiao.png	1		1.3	10	{"x":-137,"y":0}						sound/dating_sound/dating_008.ogg						1	1				{}	{}										
1021007	1002	7	{}		100		小心翼翼地绕到学校后方。\n因为空间震，这里已经成为一片废墟。	1	{}				{}					1021008											{}											{}											{}															{}																	{}	{}										
1021008	1002	7	{}		100		1@@	1	{}				{}					1021009											{}											{}											{}													1.75	5	{"x":0,"y":0}												1	1				{}	{}										
1021009	1002	7	{}		100			1	{}				{}					1021010											{}											{}											{}										scene/bg/bg_black.png	1		1.3	-1	{}																	{}	{}										
1021010	1002	7	{}		100			1	{}				{}					1021011											{}											{}											{}										scene/bg/bg_jiaoshipohuai1.png	1		1.3	-1	{"x":0,"y":0}						sound/dating_sound/dating_009.ogg											{}	{}										
1021011	1002	7	{}		100		那日在街头遇见的少女，此刻正站在我的前方。	1	{}				{}					1021012		10101	3		id_pose_2		id_look_6			2	{}	1.3										{}											{}															{}																	{}	{}										
1021012	1002	7	{}		100	无名少女	「嗯?又是你？」	1	{}				{}					1021013-1021014-1021015		1									{}											{}											{}															{}				1							1						{}	{}										
1021013	1002	7	{}		100		「呀啊真巧！我们又见面了啊~」	1	{}				{}					1021018		1									{}											{}											{}															{}										-5	1						{}	{}										
1021014	1002	7	{}		100		「你为什么在这种地方呢？」	1	{}				{}					1021018		1									{}											{}											{}															{}										-5	1						{}	{}										
1021015	1002	7	{}		100		「这里的景色真美啊。」	1	{}				{}					1021018		1									{}											{}											{}															{}										-5	1						{}	{}										
1021016	1002	7	{}		100		「哇，居然在这里遇见了~真巧真巧！」	1	{}				{}					1021018		1									{}											{}											{}															{}										-5	1						{}	{}										
1021017	1002	7	{}		100		「你来学校，是为了见我吗？」	1	{}				{}					1021018		1									{}											{}											{}															{}										-5	1						{}	{}										
1021018	1002	7	{}		100		我假装熟络地和那位少女打招呼，她却冷着脸，一脸防备地打量我。	1	{}				{}					1021019		1									{}											{}											{}															{}											1						{}	{}										
1021019	1002	7	{}		100	无名少女	「你到底是什么人？」	1	{}				{}					1021020		1			id_pose_6		id_look_6	101103	id_gas		{}											{}											{}															{}				1		盔甲踩地板											{}	{}										
1021020	1002	7	{}		100		少女焦躁地说着，看我的眼神变得更加谨慎。	1	{}				{}					1021021		1									{}											{}											{}															{}																	{}	{}										
1021021	1002	7	{}		100	五河琴里	「做出选择吧%s！五秒之内！快一点！」	1	{}				{}					1021022-1021023-1021024		1									{}											{}											{}		0.7-7-9-5-0.024	4	effect/dianhua/dianhua	dianhua										{}											1						{}	{}										
1021022	1002	7	{}		100		「我是来救你的啊！」	1	{}				{}					1021025		1									{}											{}											{}															{}										0	1						{}	{}										
1021023	1002	7	{}		100		「我、我只是路过的，请别杀我！」	1	{}				{}					1021025		1									{}											{}											{}															{}										-5	1						{}	{}										
1021024	1002	7	{}		100		「你应该先报上自己的名字吧！」	1	{}				{}					1021027		1									{}											{}											{}															{}										0	1						{}	{}										
1021025	1002	7	{}		100		少女的皱起眉头，看样子是准备对我发动攻击了。	1	{}				{}					1021026		1			id_normal_4						{}											{}											{}															{}											1						{}	{}										
1021026	1002	7	{}		100	1	「请你先告诉我你的名字吧！」	1	{}				{}					1021027		1									{}											{}											{}															{}											1						{}	{}										
1021027	1002	7	{}		100		少女用威胁的眼光看向我，手中出现了一个黑色的光球。	1	{}				{}					1021028		1			id_guangqiu						{}											{}											{}															{}											1						{}	{}										
1021028	1002	7	{}		100	1	「啊啊啊啊别杀我！告诉我你叫什么名字，我就什么都告诉你。」	1	{}				{}					1021029		1									{}											{}											{}		0.7-4-6-3-0.02	4												{}						sound/dating_sound/dating_026.ogg											{}	{}										
1021029	1002	7	{}		100		我颤颤巍巍地面对这位迷之少女，对方黑着脸给我下达了最后通牒。	1	{}				{}					1021030		1									{}											{}											{}															{}																	{}	{}										
1021030	1002	7	{}		100	无名少女	「这是最后一次。不回答的话，就判断你为敌人！」	1	{}				{}					1021031		1			id_pose_6	1	id_look_6	101103	id_gas		{}											{}											{}															{}				1		盔甲踏步											{}	{}										
1021031	1002	7	{}		100	1	「我是%s，是这里的[学生]！我是不会与你为敌的。」	1	{}				{}					1021032		1									{}											{}											{}															{}																	{}	{}										
1021032	1002	7	{}		100		我惊慌地回答，身体不自觉地后退了半步。	1	{}				{}					1021033		1									{}											{}											{}															{}																	{}	{}										
1021033	1002	7	{}		100	无名少女	「就站在那里别动！你现在处在我的攻击范围内。」	1	{}				{}					1021034		1			id_favor1_6	1	id_look_6	101103	id_angry		{}											{}											{}		0.7-4-6-3-0.02	4												{}				1		盔甲踏步											{}	{}										
1021034	1002	7	{}		100	无名少女	「那么我问你，如果你不是想要杀我，为什么会出现在这里？」	1	{}				{}					1021035		1			id_normal_4	1					{}											{}											{}															{}				1													{}	{}										
1021035	1002	7	{}		100	1	「那个……」	1	{}				{}					1021036		1									{}											{}											{}															{}											1						{}	{}										
1021036	1002	7	{}		100	五河琴里	「%s，快点，又是选择呐。」	1	{}				{}					1021037-1021038-1021039		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}											1						{}	{}										
1021037	1002	7	{}		100		「当然是为了与你相见啊！」	1	{}				{}					1021045		1									{}											{}											{}															{}										0	1						{}	{}										
1021038	1002	7	{}		100		「那种无关紧要的事，怎样都好吧。」	1	{}				{}					1021040		1									{}											{}											{}															{}										-5	1						{}	{}										
1021039	1002	7	{}		100		「是偶然，偶然而已~」	1	{}				{}					1021042		1									{}											{}											{}															{}										-5	1						{}	{}										
