id	排序	所属日期（1~7分别对应周1~周日）	刷怪组id	关卡等级(刷出怪物的等级，不用刷怪器中的怪物等级)	难度(1-普通关卡，2-BOSS关卡)	关卡类型(1-Boss，2-精灵，3-精英，4-杂兵)	地图ID	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	关卡时长	地图摄像机修正	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	通关条件类型(1歼灭，暂无其他通关条件类型)	通关条件参数	背景音乐	关卡掉落展示	进入等级	消耗资源	可进入次数	奖励	层数奖励	模式名字	模式描述	推荐攻略描述
101008	8	1	3000022-3000023	8	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641008	{500001:2000,500002:10,570005:2}	300841	300851	300861
101009	9	1	3000025-3000026-3000027	9	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641009	{500001:2000,500002:10,570005:2}	300841	300851	300861
101010	10	1	4000001	10	2	1	12	Zudui_01	101001	180	270	8104	1	300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641010	{500001:2000,500002:10,570005:2}	300841	300851	300861
101011	11	1	3000031-3000032-3000033	11	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641011	{500001:4000,500002:20,570005:4}	300841	300851	300861
101012	12	1	3000034-3000035-3000036	12	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641012	{500001:4000,500002:20,570005:4}	300841	300851	300861
101013	13	1	3000037-3000038	13	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641013	{500001:4000,500002:20,570005:4}	300841	300851	300861
101014	14	1	3000040-3000041-3000042	14	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641014	{500001:4000,500002:20,570005:4}	300841	300851	300861
101015	15	1	3000043-3000044	15	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641015	{500001:4000,500002:20,570005:4}	300841	300851	300861
101016	16	1	3000046-3000047-3000048	16	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641016	{500001:4000,500002:20,570005:4}	300841	300851	300861
101017	17	1	3000049-3000050	17	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641017	{500001:4000,500002:20,570005:4}	300841	300851	300861
101018	18	1	3000052-3000053-3000054	18	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641018	{500001:4000,500002:20,570005:4}	300841	300851	300861
101019	19	1	3000055-3000056	19	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641019	{500001:4000,500002:20,570005:4}	300841	300851	300861
101020	20	1	4000001	20	2	1	12	Zudui_01	101001	180	270	8104	1	300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641020	{500001:4000,500002:20,570005:4}	300841	300851	300861
101021	21	1	3000061-3000062-3000063	21	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641021	{500001:6000,500002:30,570005:6}	300841	300851	300861
101022	22	1	3000064-3000065	22	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641022	{500001:6000,500002:30,570005:6}	300841	300851	300861
101023	23	1	3000067-3000068-3000069	23	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641023	{500001:6000,500002:30,570005:6}	300841	300851	300861
101024	24	1	3000070-3000071-3000072	24	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641024	{500001:6000,500002:30,570005:6}	300841	300851	300861
101025	25	1	3000073-3000074	25	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641025	{500001:6000,500002:30,570005:6}	300841	300851	300861
101026	26	1	3000076-3000077-3000078	26	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641026	{500001:6000,500002:30,570005:6}	300841	300851	300861
101027	27	1	3000079-3000080	27	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641027	{500001:6000,500002:30,570005:6}	300841	300851	300861
101028	28	1	3000082-3000083-3000084	28	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641028	{500001:6000,500002:30,570005:6}	300841	300851	300861
101029	29	1	3000085-3000086	29	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641029	{500001:6000,500002:30,570005:6}	300841	300851	300861
101030	30	1	4000001	30	2	1	12	Zudui_01	101001	180	270	8104	1	300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641030	{500001:6000,500002:30,570005:6}	300841	300851	300861
101031	31	1	3000091-3000092-3000093	31	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641031	{500001:8000,500002:40,570005:8}	300841	300851	300861
101032	32	1	3000094-3000095-3000096	32	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641032	{500001:8000,500002:40,570005:8}	300841	300851	300861
101033	33	1	3000097-3000098	33	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641033	{500001:8000,500002:40,570005:8}	300841	300851	300861
101034	34	1	3000100-3000101	34	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641034	{500001:8000,500002:40,570005:8}	300841	300851	300861
101035	35	1	3000103-3000104-3000105	35	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641035	{500001:8000,500002:40,570005:8}	300841	300851	300861
101036	36	1	3000106-3000107	36	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641036	{500001:8000,500002:40,570005:8}	300841	300851	300861
101037	37	1	3000109-3000110-3000111	37	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641037	{500001:8000,500002:40,570005:8}	300841	300851	300861
101038	38	1	3000112-3000113-3000114	38	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641038	{500001:8000,500002:40,570005:8}	300841	300851	300861
101039	39	1	3000115-3000116	39	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641039	{500001:8000,500002:40,570005:8}	300841	300851	300861
101040	40	1	4000001	40	2	1	12	Zudui_01	101001	180	270	8104	1	300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641040	{500001:8000,500002:40,570005:8}	300841	300851	300861
101041	41	1	3000121-3000122-3000123	41	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641041	{500001:10000,500002:50,570005:10}	300841	300851	300861
101042	42	1	3000124-3000125	42	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641042	{500001:10000,500002:50,570005:10}	300841	300851	300861
101043	43	1	3000127-3000128	43	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641043	{500001:10000,500002:50,570005:10}	300841	300851	300861
101044	44	1	3000130-3000131-3000132	44	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641044	{500001:10000,500002:50,570005:10}	300841	300851	300861
101045	45	1	3000133-3000134	45	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641045	{500001:10000,500002:50,570005:10}	300841	300851	300861
101046	46	1	3000136-3000137-3000138	46	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641046	{500001:10000,500002:50,570005:10}	300841	300851	300861
101047	47	1	3000139-3000140	47	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641047	{500001:10000,500002:50,570005:10}	300841	300851	300861
101048	48	1	3000142-3000143-3000144	48	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641048	{500001:10000,500002:50,570005:10}	300841	300851	300861
101049	49	1	3000145-3000146	49	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641049	{500001:10000,500002:50,570005:10}	300841	300851	300861
101050	50	1	4000001	50	2	1	12	Zudui_01	101001	180	270	8104	1	300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641050	{500001:10000,500002:50,570005:10}	300841	300851	300861
101051	51	1	3000151-3000152-3000153	51	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641051	{500001:12000,500002:60,570005:12}	300841	300851	300861
101052	52	1	3000154-3000155-3000156	52	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641052	{500001:12000,500002:60,570005:12}	300841	300851	300861
101053	53	1	3000157-3000158	53	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641053	{500001:12000,500002:60,570005:12}	300841	300851	300861
101054	54	1	3000160-3000161-3000162	54	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641054	{500001:12000,500002:60,570005:12}	300841	300851	300861
101055	55	1	3000163-3000164	55	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641055	{500001:12000,500002:60,570005:12}	300841	300851	300861
101056	56	1	3000166-3000167-3000168	56	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641056	{500001:12000,500002:60,570005:12}	300841	300851	300861
101057	57	1	3000169-3000170	57	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641057	{500001:12000,500002:60,570005:12}	300841	300851	300861
101058	58	1	3000172-3000173-3000174	58	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641058	{500001:12000,500002:60,570005:12}	300841	300851	300861
101059	59	1	3000175-3000176	59	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641059	{500001:12000,500002:60,570005:12}	300841	300851	300861
101060	60	1	4000001	60	2	1	12	Zudui_01	101001	180	270	8104	1	300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641060	{500001:12000,500002:60,570005:12}	300841	300851	300861
101061	61	1	3000181-3000182	61	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641061	{500001:14000,500002:70,570005:14}	300841	300851	300861
101062	62	1	3000184-3000185-3000186	62	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641062	{500001:14000,500002:70,570005:14}	300841	300851	300861
101063	63	1	3000187-3000188	63	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641063	{500001:14000,500002:70,570005:14}	300841	300851	300861
101064	64	1	3000190-3000191-3000192	64	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641064	{500001:14000,500002:70,570005:14}	300841	300851	300861
101065	65	1	3000193-3000194-3000195	65	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641065	{500001:14000,500002:70,570005:14}	300841	300851	300861
101066	66	1	3000196-3000197	66	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641066	{500001:14000,500002:70,570005:14}	300841	300851	300861
101067	67	1	3000199-3000200	67	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641067	{500001:14000,500002:70,570005:14}	300841	300851	300861
101068	68	1	3000202-3000203-3000204	68	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641068	{500001:14000,500002:70,570005:14}	300841	300851	300861
101069	69	1	3000205-3000206	69	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641069	{500001:14000,500002:70,570005:14}	300841	300851	300861
101070	70	1	4000001	70	2	1	12	Zudui_01	101001	180	270	8104	1	300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641070	{500001:14000,500002:70,570005:14}	300841	300851	300861
101071	71	1	3000211-3000212-3000213	71	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641071	{500001:16000,500002:80,570005:16}	300841	300851	300861
101072	72	1	3000214-3000215-3000216	72	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641072	{500001:16000,500002:80,570005:16}	300841	300851	300861
101073	73	1	3000217-3000218	73	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641073	{500001:16000,500002:80,570005:16}	300841	300851	300861
101074	74	1	3000220-3000221	74	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641074	{500001:16000,500002:80,570005:16}	300841	300851	300861
101075	75	1	3000223-3000224-3000225	75	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641075	{500001:16000,500002:80,570005:16}	300841	300851	300861
101076	76	1	3000226-3000227	76	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641076	{500001:16000,500002:80,570005:16}	300841	300851	300861
101077	77	1	3000229-3000230-3000231	77	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641077	{500001:16000,500002:80,570005:16}	300841	300851	300861
101078	78	1	3000232-3000233	78	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641078	{500001:16000,500002:80,570005:16}	300841	300851	300861
101079	79	1	3000235-3000236	79	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641079	{500001:16000,500002:80,570005:16}	300841	300851	300861
101080	80	1	4000001	80	2	1	12	Zudui_01	101001	180	270	8104	1	300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641080	{500001:16000,500002:80,570005:16}	300841	300851	300861
101081	81	1	3000241-3000242-3000243	81	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641081	{500001:18000,500002:90,570005:18}	300841	300851	300861
101082	82	1	3000244-3000245-3000246	82	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641082	{500001:18000,500002:90,570005:18}	300841	300851	300861
101083	83	1	3000247-3000248	83	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641083	{500001:18000,500002:90,570005:18}	300841	300851	300861
101084	84	1	3000250-3000251-3000252	84	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641084	{500001:18000,500002:90,570005:18}	300841	300851	300861
101085	85	1	3000253-3000254	85	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641085	{500001:18000,500002:90,570005:18}	300841	300851	300861
101086	86	1	3000256-3000257-3000258	86	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641086	{500001:18000,500002:90,570005:18}	300841	300851	300861
101087	87	1	3000259-3000260	87	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641087	{500001:18000,500002:90,570005:18}	300841	300851	300861
101088	88	1	3000262-3000263-3000264	88	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641088	{500001:18000,500002:90,570005:18}	300841	300851	300861
101089	89	1	3000265-3000266	89	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641089	{500001:18000,500002:90,570005:18}	300841	300851	300861
101090	90	1	4000001	90	2	1	12	Zudui_01	101001	180	270	8104	1	300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641090	{500001:18000,500002:90,570005:18}	300841	300851	300861
101091	91	1	3000271-3000272-3000273	91	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641091	{500001:20000,500002:100,570005:20}	300841	300851	300861
101092	92	1	3000274-3000275-3000276	92	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641092	{500001:20000,500002:100,570005:20}	300841	300851	300861
101093	93	1	3000277-3000278	93	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641093	{500001:20000,500002:100,570005:20}	300841	300851	300861
101094	94	1	3000280-3000281-3000282	94	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641094	{500001:20000,500002:100,570005:20}	300841	300851	300861
101095	95	1	3000283-3000284-3000285	95	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641095	{500001:20000,500002:100,570005:20}	300841	300851	300861
101096	96	1	3000286-3000287	96	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641096	{500001:20000,500002:100,570005:20}	300841	300851	300861
101097	97	1	3000289-3000290-3000291	97	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641097	{500001:20000,500002:100,570005:20}	300841	300851	300861
101098	98	1	3000292-3000293-3000294	98	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641098	{500001:20000,500002:100,570005:20}	300841	300851	300861
101099	99	1	3000295-3000296	99	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641099	{500001:20000,500002:100,570005:20}	300841	300851	300861
101100	100	1	4000001	100	2	1	12	Zudui_01	101001	180	270	8104	1	300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641100	{500001:20000,500002:100,570005:20}	300841	300851	300861
101101	101	1	3000301-3000302	101	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641001	{500001:2000,500002:10,570005:2}	300841	300851	300861
101102	102	1	3000304-3000305-3000306	102	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641002	{500001:2000,500002:10,570005:2}	300841	300851	300861
101103	103	1	3000307-3000308	103	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641003	{500001:2000,500002:10,570005:2}	300841	300851	300861
101104	104	1	3000310-3000311-3000312	104	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641004	{500001:2000,500002:10,570005:2}	300841	300851	300861
101105	105	1	3000313-3000314-3000315	105	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641005	{500001:2000,500002:10,570005:2}	300841	300851	300861
101106	106	1	3000316-3000317	106	1	4	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641006	{500001:2000,500002:10,570005:2}	300841	300851	300861
101107	107	1	3000319-3000320-3000321	107	1	2	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641007	{500001:2000,500002:10,570005:2}	300841	300851	300861
101108	108	1	3000322-3000323	108	1	3	13-16	4_wujin_DEM002	101001	180		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641008	{500001:2000,500002:10,570005:2}	300841	300851	300861
