怪物类型	名称	怪物基础属性	成长属性
2001	【简单】高级怪近战防御	{1:48750,2:367,3:300,505:9000,506:0,507:500,508:0,6:10000,11:18000,516:0}	{1:12187,2:91,3:75,505:2,506:2,507:2,508:2,6:0,11:0}
2002	【简单】高级怪近战爆发	{1:30000,2:735,3:240,505:9000,506:0,507:550,508:0,6:10000,11:20000,516:0}	{1:7500,2:183,3:60,505:2,506:2,507:2,508:2,6:0,11:0}
2003	【简单】高级怪近战平衡	{1:37500,2:525,3:300,505:9000,506:0,507:500,508:0,6:10000,11:20000,516:0}	{1:9375,2:131,3:75,505:2,506:2,507:2,508:2,6:0,11:0}
2004	【简单】高级怪远程爆发	{1:30000,2:735,3:240,505:9000,506:0,507:525,508:0,6:10000,11:19000,516:0}	{1:7500,2:183,3:60,505:2,506:2,507:2,508:2,6:0,11:0}
2005	【简单】高级怪远程平衡	{1:41250,2:577,3:240,505:9000,506:0,507:500,508:0,6:10000,11:19000,516:0}	{1:10312,2:144,3:60,505:2,506:2,507:2,508:2,6:0,11:0}
2006	【简单】高级怪远程风筝	{1:45000,2:525,3:240,505:8550,506:0,507:450,508:0,6:10000,11:22000,516:0}	{1:11250,2:131,3:60,505:2,506:2,507:2,508:2,6:0,11:0}
2007	【简单】高级怪近战缓慢	{1:56250,2:630,3:300,505:8100,506:0,507:500,508:0,6:10000,11:12000,516:0}	{1:14062,2:157,3:75,505:2,506:1,507:2,508:2,6:0,11:0}
2008	【简单】高级怪近战敏捷	{1:37500,2:472,3:210,505:9900,506:0,507:600,508:0,6:10000,11:22000,516:0}	{1:9375,2:117,3:52,505:2,506:2,507:2,508:1,6:0,11:0}
2009	【简单】高级怪近战逃跑	{1:86250,2:525,3:30,505:9000,506:0,507:500,508:0,6:10000,11:30000,516:0}	{1:21562,2:131,3:7,505:2,506:2,507:2,508:0,6:0,11:0}
3001	【简单】精英怪近战防御	{1:81250,2:490,3:450,505:9000,506:0,507:500,508:0,6:10000,11:18000,516:0}	{1:20312,2:122,3:112,505:3,506:3,507:3,508:3,6:0,11:0}
3002	【简单】精英怪近战爆发	{1:50000,2:980,3:360,505:9000,506:0,507:550,508:0,6:10000,11:20000,516:0}	{1:12500,2:245,3:89,505:3,506:3,507:3,508:2,6:0,11:0}
3003	【简单】精英怪近战平衡	{1:62500,2:700,3:450,505:9000,506:0,507:500,508:0,6:10000,11:20000,516:0}	{1:15625,2:175,3:112,505:3,506:3,507:3,508:3,6:0,11:0}
3004	【简单】精英怪远程爆发	{1:50000,2:980,3:360,505:9000,506:0,507:525,508:0,6:10000,11:19000,516:0}	{1:12500,2:245,3:89,505:3,506:3,507:3,508:3,6:0,11:0}
3005	【简单】精英怪远程平衡	{1:68750,2:770,3:360,505:9000,506:0,507:500,508:0,6:10000,11:19000,516:0}	{1:17187,2:192,3:89,505:3,506:3,507:3,508:3,6:0,11:0}
3006	【简单】精英怪远程风筝	{1:75000,2:700,3:360,505:8550,506:0,507:450,508:0,6:10000,11:22000,516:0}	{1:18750,2:175,3:89,505:2,506:3,507:2,508:2,6:0,11:0}
3007	【简单】精英怪近战缓慢	{1:93750,2:840,3:450,505:8100,506:0,507:500,508:0,6:10000,11:12000,516:0}	{1:23437,2:210,3:112,505:2,506:2,507:3,508:3,6:0,11:0}
3008	【简单】精英怪近战敏捷	{1:62500,2:630,3:315,505:9900,506:0,507:600,508:0,6:10000,11:22000,516:0}	{1:15625,2:157,3:78,505:3,506:3,507:3,508:2,6:0,11:0}
3009	【简单】精英怪近战逃跑	{1:143750,2:700,3:45,505:9000,506:0,507:500,508:0,6:10000,11:30000,516:0}	{1:35937,2:175,3:11,505:3,506:3,507:3,508:0,6:0,11:0}
4001	【简单】boss怪近战防御	{1:162500,2:735,3:600,505:9000,506:0,507:500,508:0,6:10000,11:18000,516:0}	{1:40625,2:183,3:150,505:4,506:4,507:4,508:4,6:0,11:0}
4002	【简单】boss怪近战爆发	{1:100000,2:1470,3:480,505:9000,506:0,507:550,508:0,6:10000,11:20000,516:0}	{1:25000,2:366,3:120,505:4,506:4,507:4,508:3,6:0,11:0}
4003	【简单】boss怪近战平衡	{1:125000,2:1050,3:600,505:9000,506:0,507:500,508:0,6:10000,11:20000,516:0}	{1:31250,2:262,3:150,505:4,506:4,507:4,508:4,6:0,11:0}
4004	【简单】boss怪远程爆发	{1:100000,2:1470,3:480,505:9000,506:0,507:525,508:0,6:10000,11:19000,516:0}	{1:25000,2:366,3:120,505:4,506:4,507:4,508:4,6:0,11:0}
4005	【简单】boss怪远程平衡	{1:137500,2:1155,3:480,505:9000,506:0,507:500,508:0,6:10000,11:19000,516:0}	{1:34375,2:288,3:120,505:4,506:4,507:4,508:4,6:0,11:0}
4006	【简单】boss怪远程风筝	{1:150000,2:1050,3:480,505:8550,506:0,507:450,508:0,6:10000,11:22000,516:0}	{1:37500,2:262,3:120,505:3,506:4,507:3,508:3,6:0,11:0}
4007	【简单】boss怪近战缓慢	{1:187500,2:1260,3:600,505:8100,506:0,507:500,508:0,6:10000,11:12000,516:0}	{1:46875,2:314,3:150,505:3,506:3,507:4,508:4,6:0,11:0}
4008	【简单】boss怪近战敏捷	{1:125000,2:945,3:420,505:9900,506:0,507:600,508:0,6:10000,11:22000,516:0}	{1:31250,2:235,3:105,505:4,506:4,507:4,508:3,6:0,11:0}
4009	【简单】boss怪近战逃跑	{1:287500,2:1050,3:60,505:9000,506:0,507:500,508:0,6:10000,11:30000,516:0}	{1:71875,2:262,3:15,505:4,506:4,507:4,508:0,6:0,11:0}
11001	【困难】普通怪近战防御	{1:36400,2:262,3:175,505:9500,506:500,507:1000,508:220,6:10000,11:18000,516:0}	{1:9100,2:65,3:43,505:3,506:3,507:3,508:3,6:0,11:0}
11002	【困难】普通怪近战爆发	{1:22400,2:525,3:140,505:9500,506:500,507:1100,508:180,6:10000,11:20000,516:0}	{1:5600,2:130,3:34,505:3,506:3,507:3,508:2,6:0,11:0}
11003	【困难】普通怪近战平衡	{1:28000,2:375,3:175,505:9500,506:500,507:1000,508:200,6:10000,11:20000,516:0}	{1:7000,2:93,3:43,505:3,506:3,507:3,508:3,6:0,11:0}
11004	【困难】普通怪远程爆发	{1:22400,2:525,3:140,505:9500,506:500,507:1050,508:200,6:10000,11:19000,516:0}	{1:5600,2:130,3:34,505:3,506:3,507:3,508:3,6:0,11:0}
11005	【困难】普通怪远程平衡	{1:30800,2:412,3:140,505:9500,506:525,507:1000,508:200,6:10000,11:19000,516:0}	{1:7700,2:102,3:34,505:3,506:3,507:3,508:3,6:0,11:0}
11006	【困难】普通怪远程风筝	{1:33600,2:375,3:140,505:9025,506:575,507:900,508:180,6:10000,11:22000,516:0}	{1:8400,2:93,3:34,505:2,506:3,507:2,508:2,6:0,11:0}
11007	【困难】普通怪近战缓慢	{1:42000,2:450,3:175,505:8550,506:400,507:1000,508:200,6:10000,11:12000,516:0}	{1:10500,2:111,3:43,505:2,506:2,507:3,508:3,6:0,11:0}
11008	【困难】普通怪近战敏捷	{1:28000,2:337,3:122,505:10450,506:600,507:1200,508:160,6:10000,11:22000,516:0}	{1:7000,2:83,3:30,505:3,506:3,507:3,508:2,6:0,11:0}
11009	【困难】普通怪近战逃跑	{1:64400,2:375,3:17,505:9500,506:500,507:1000,508:20,6:10000,11:30000,516:0}	{1:16100,2:93,3:4,505:3,506:3,507:3,508:0,6:0,11:0}
12001	【困难】高级怪近战防御	{1:54600,2:393,3:350,505:9500,506:500,507:1000,508:220,6:10000,11:18000,516:0}	{1:13650,2:98,3:87,505:3,506:3,507:3,508:3,6:0,11:0}
12002	【困难】高级怪近战爆发	{1:33600,2:786,3:280,505:9500,506:500,507:1100,508:180,6:10000,11:20000,516:0}	{1:8400,2:196,3:69,505:3,506:3,507:3,508:3,6:0,11:0}
12003	【困难】高级怪近战平衡	{1:42000,2:562,3:350,505:9500,506:500,507:1000,508:200,6:10000,11:20000,516:0}	{1:10500,2:140,3:87,505:3,506:3,507:3,508:3,6:0,11:0}
12004	【困难】高级怪远程爆发	{1:33600,2:786,3:280,505:9500,506:500,507:1050,508:200,6:10000,11:19000,516:0}	{1:8400,2:196,3:69,505:3,506:3,507:3,508:3,6:0,11:0}
12005	【困难】高级怪远程平衡	{1:46200,2:618,3:280,505:9500,506:525,507:1000,508:200,6:10000,11:19000,516:0}	{1:11550,2:154,3:69,505:3,506:3,507:3,508:3,6:0,11:0}
12006	【困难】高级怪远程风筝	{1:50400,2:562,3:280,505:9025,506:575,507:900,508:180,6:10000,11:22000,516:0}	{1:12600,2:140,3:69,505:3,506:4,507:3,508:3,6:0,11:0}
12007	【困难】高级怪近战缓慢	{1:63000,2:674,3:350,505:8550,506:400,507:1000,508:200,6:10000,11:12000,516:0}	{1:15750,2:168,3:87,505:3,506:2,507:3,508:3,6:0,11:0}
12008	【困难】高级怪近战敏捷	{1:42000,2:505,3:245,505:10450,506:600,507:1200,508:160,6:10000,11:22000,516:0}	{1:10500,2:126,3:60,505:3,506:4,507:4,508:2,6:0,11:0}
12009	【困难】高级怪近战逃跑	{1:96600,2:562,3:35,505:9500,506:500,507:1000,508:20,6:10000,11:30000,516:0}	{1:24150,2:140,3:8,505:3,506:3,507:3,508:0,6:0,11:0}
13001	【困难】精英怪近战防御	{1:91000,2:525,3:525,505:9500,506:500,507:1000,508:220,6:10000,11:18000,516:0}	{1:22750,2:130,3:131,505:4,506:4,507:4,508:4,6:0,11:0}
13002	【困难】精英怪近战爆发	{1:56000,2:1050,3:420,505:9500,506:500,507:1100,508:180,6:10000,11:20000,516:0}	{1:14000,2:261,3:104,505:4,506:4,507:4,508:4,6:0,11:0}
13003	【困难】精英怪近战平衡	{1:70000,2:750,3:525,505:9500,506:500,507:1000,508:200,6:10000,11:20000,516:0}	{1:17500,2:187,3:131,505:4,506:4,507:4,508:4,6:0,11:0}
13004	【困难】精英怪远程爆发	{1:56000,2:1050,3:420,505:9500,506:500,507:1050,508:200,6:10000,11:19000,516:0}	{1:14000,2:261,3:104,505:4,506:4,507:4,508:4,6:0,11:0}
13005	【困难】精英怪远程平衡	{1:77000,2:825,3:420,505:9500,506:525,507:1000,508:200,6:10000,11:19000,516:0}	{1:19250,2:205,3:104,505:4,506:4,507:4,508:4,6:0,11:0}
13006	【困难】精英怪远程风筝	{1:84000,2:750,3:420,505:9025,506:575,507:900,508:180,6:10000,11:22000,516:0}	{1:21000,2:187,3:104,505:4,506:5,507:4,508:4,6:0,11:0}
13007	【困难】精英怪近战缓慢	{1:105000,2:900,3:525,505:8550,506:400,507:1000,508:200,6:10000,11:12000,516:0}	{1:26250,2:224,3:131,505:4,506:3,507:4,508:4,6:0,11:0}
13008	【困难】精英怪近战敏捷	{1:70000,2:675,3:367,505:10450,506:600,507:1200,508:160,6:10000,11:22000,516:0}	{1:17500,2:168,3:91,505:4,506:5,507:5,508:3,6:0,11:0}
13009	【困难】精英怪近战逃跑	{1:161000,2:750,3:52,505:9500,506:500,507:1000,508:20,6:10000,11:30000,516:0}	{1:40250,2:187,3:13,505:4,506:4,507:4,508:0,6:0,11:0}
14001	【困难】boss怪近战防御	{1:182000,2:787,3:700,505:9500,506:500,507:1000,508:220,6:10000,11:18000,516:0}	{1:45500,2:196,3:175,505:6,506:6,507:6,508:6,6:0,11:0}
14002	【困难】boss怪近战爆发	{1:112000,2:1575,3:560,505:9500,506:500,507:1100,508:180,6:10000,11:20000,516:0}	{1:28000,2:393,3:140,505:6,506:6,507:6,508:5,6:0,11:0}
14003	【困难】boss怪近战平衡	{1:140000,2:1125,3:700,505:9500,506:500,507:1000,508:200,6:10000,11:20000,516:0}	{1:35000,2:281,3:175,505:6,506:6,507:6,508:6,6:0,11:0}
14004	【困难】boss怪远程爆发	{1:112000,2:1575,3:560,505:9500,506:500,507:1050,508:200,6:10000,11:19000,516:0}	{1:28000,2:393,3:140,505:6,506:6,507:6,508:6,6:0,11:0}
14005	【困难】boss怪远程平衡	{1:154000,2:1237,3:560,505:9500,506:525,507:1000,508:200,6:10000,11:19000,516:0}	{1:38500,2:309,3:140,505:6,506:6,507:6,508:6,6:0,11:0}
14006	【困难】boss怪远程风筝	{1:168000,2:1125,3:560,505:9025,506:575,507:900,508:180,6:10000,11:22000,516:0}	{1:42000,2:281,3:140,505:5,506:6,507:5,508:5,6:0,11:0}
14007	【困难】boss怪近战缓慢	{1:210000,2:1350,3:700,505:8550,506:400,507:1000,508:200,6:10000,11:12000,516:0}	{1:52500,2:337,3:175,505:5,506:4,507:6,508:6,6:0,11:0}
14008	【困难】boss怪近战敏捷	{1:140000,2:1012,3:490,505:10450,506:600,507:1200,508:160,6:10000,11:22000,516:0}	{1:35000,2:252,3:122,505:6,506:7,507:7,508:4,6:0,11:0}
14009	【困难】boss怪近战逃跑	{1:322000,2:1125,3:70,505:9500,506:500,507:1000,508:20,6:10000,11:30000,516:0}	{1:80500,2:281,3:17,505:6,506:6,507:6,508:0,6:0,11:0}
21001	【噩梦】普通怪近战防御	{1:39000,2:280,3:200,505:10000,506:1000,507:1500,508:550,6:10000,11:18000,516:0}	{1:9750,2:70,3:50,505:4,506:4,507:4,508:4,6:0,11:0}
21002	【噩梦】普通怪近战爆发	{1:24000,2:560,3:160,505:10000,506:1000,507:1650,508:450,6:10000,11:20000,516:0}	{1:6000,2:140,3:40,505:4,506:4,507:4,508:3,6:0,11:0}
21003	【噩梦】普通怪近战平衡	{1:30000,2:400,3:200,505:10000,506:1000,507:1500,508:500,6:10000,11:20000,516:0}	{1:7500,2:100,3:50,505:4,506:4,507:4,508:4,6:0,11:0}
21004	【噩梦】普通怪远程爆发	{1:24000,2:560,3:160,505:10000,506:1000,507:1575,508:500,6:10000,11:19000,516:0}	{1:6000,2:140,3:40,505:4,506:4,507:4,508:4,6:0,11:0}
21005	【噩梦】普通怪远程平衡	{1:33000,2:440,3:160,505:10000,506:1050,507:1500,508:500,6:10000,11:19000,516:0}	{1:8250,2:110,3:40,505:4,506:4,507:4,508:4,6:0,11:0}
21006	【噩梦】普通怪远程风筝	{1:36000,2:400,3:160,505:9500,506:1150,507:1350,508:450,6:10000,11:22000,516:0}	{1:9000,2:100,3:40,505:3,506:4,507:3,508:3,6:0,11:0}
21007	【噩梦】普通怪近战缓慢	{1:45000,2:480,3:200,505:9000,506:800,507:1500,508:500,6:10000,11:12000,516:0}	{1:11250,2:120,3:50,505:3,506:3,507:4,508:4,6:0,11:0}
21008	【噩梦】普通怪近战敏捷	{1:30000,2:360,3:140,505:11000,506:1200,507:1800,508:400,6:10000,11:22000,516:0}	{1:7500,2:90,3:35,505:4,506:4,507:4,508:3,6:0,11:0}
21009	【噩梦】普通怪近战逃跑	{1:69000,2:400,3:20,505:10000,506:1000,507:1500,508:50,6:10000,11:30000,516:0}	{1:17250,2:100,3:5,505:4,506:4,507:4,508:0,6:0,11:0}
22001	【噩梦】高级怪近战防御	{1:58500,2:420,3:400,505:10000,506:1000,507:1500,508:550,6:10000,11:18000,516:0}	{1:14625,2:105,3:100,505:4,506:4,507:4,508:5,6:0,11:0}
22002	【噩梦】高级怪近战爆发	{1:36000,2:840,3:320,505:10000,506:1000,507:1650,508:450,6:10000,11:20000,516:0}	{1:9000,2:210,3:80,505:4,506:4,507:5,508:4,6:0,11:0}
22003	【噩梦】高级怪近战平衡	{1:45000,2:600,3:400,505:10000,506:1000,507:1500,508:500,6:10000,11:20000,516:0}	{1:11250,2:150,3:100,505:4,506:4,507:4,508:4,6:0,11:0}
22004	【噩梦】高级怪远程爆发	{1:36000,2:840,3:320,505:10000,506:1000,507:1575,508:500,6:10000,11:19000,516:0}	{1:9000,2:210,3:80,505:4,506:4,507:5,508:4,6:0,11:0}
22005	【噩梦】高级怪远程平衡	{1:49500,2:660,3:320,505:10000,506:1050,507:1500,508:500,6:10000,11:19000,516:0}	{1:12375,2:165,3:80,505:4,506:5,507:4,508:4,6:0,11:0}
22006	【噩梦】高级怪远程风筝	{1:54000,2:600,3:320,505:9500,506:1150,507:1350,508:450,6:10000,11:22000,516:0}	{1:13500,2:150,3:80,505:4,506:5,507:4,508:4,6:0,11:0}
22007	【噩梦】高级怪近战缓慢	{1:67500,2:720,3:400,505:9000,506:800,507:1500,508:500,6:10000,11:12000,516:0}	{1:16875,2:180,3:100,505:4,506:3,507:4,508:4,6:0,11:0}
22008	【噩梦】高级怪近战敏捷	{1:45000,2:540,3:280,505:11000,506:1200,507:1800,508:400,6:10000,11:22000,516:0}	{1:11250,2:135,3:70,505:5,506:5,507:5,508:3,6:0,11:0}
22009	【噩梦】高级怪近战逃跑	{1:103500,2:600,3:40,505:10000,506:1000,507:1500,508:50,6:10000,11:30000,516:0}	{1:25875,2:150,3:10,505:4,506:4,507:4,508:0,6:0,11:0}
23001	【噩梦】精英怪近战防御	{1:97500,2:560,3:600,505:10000,506:1000,507:1500,508:550,6:10000,11:18000,516:0}	{1:24375,2:140,3:150,505:6,506:6,507:6,508:6,6:0,11:0}
23002	【噩梦】精英怪近战爆发	{1:60000,2:1120,3:480,505:10000,506:1000,507:1650,508:450,6:10000,11:20000,516:0}	{1:15000,2:280,3:120,505:6,506:6,507:6,508:5,6:0,11:0}
23003	【噩梦】精英怪近战平衡	{1:75000,2:800,3:600,505:10000,506:1000,507:1500,508:500,6:10000,11:20000,516:0}	{1:18750,2:200,3:150,505:6,506:6,507:6,508:6,6:0,11:0}
23004	【噩梦】精英怪远程爆发	{1:60000,2:1120,3:480,505:10000,506:1000,507:1575,508:500,6:10000,11:19000,516:0}	{1:15000,2:280,3:120,505:6,506:6,507:6,508:6,6:0,11:0}
23005	【噩梦】精英怪远程平衡	{1:82500,2:880,3:480,505:10000,506:1050,507:1500,508:500,6:10000,11:19000,516:0}	{1:20625,2:220,3:120,505:6,506:6,507:6,508:6,6:0,11:0}
23006	【噩梦】精英怪远程风筝	{1:90000,2:800,3:480,505:9500,506:1150,507:1350,508:450,6:10000,11:22000,516:0}	{1:22500,2:200,3:120,505:5,506:6,507:5,508:5,6:0,11:0}
23007	【噩梦】精英怪近战缓慢	{1:112500,2:960,3:600,505:9000,506:800,507:1500,508:500,6:10000,11:12000,516:0}	{1:28125,2:240,3:150,505:5,506:4,507:6,508:6,6:0,11:0}
23008	【噩梦】精英怪近战敏捷	{1:75000,2:720,3:420,505:11000,506:1200,507:1800,508:400,6:10000,11:22000,516:0}	{1:18750,2:180,3:105,505:6,506:7,507:7,508:4,6:0,11:0}
23009	【噩梦】精英怪近战逃跑	{1:172500,2:800,3:60,505:10000,506:1000,507:1500,508:50,6:10000,11:30000,516:0}	{1:43125,2:200,3:15,505:6,506:6,507:6,508:0,6:0,11:0}
24001	【噩梦】boss怪近战防御	{1:195000,2:840,3:800,505:10000,506:1000,507:1500,508:550,6:10000,11:18000,516:0}	{1:48750,2:210,3:200,505:8,506:8,507:8,508:8,6:0,11:0}
24002	【噩梦】boss怪近战爆发	{1:120000,2:1680,3:640,505:10000,506:1000,507:1650,508:450,6:10000,11:20000,516:0}	{1:30000,2:420,3:160,505:8,506:8,507:8,508:7,6:0,11:0}
24003	【噩梦】boss怪近战平衡	{1:150000,2:1200,3:800,505:10000,506:1000,507:1500,508:500,6:10000,11:20000,516:0}	{1:37500,2:300,3:200,505:8,506:8,507:8,508:8,6:0,11:0}
24004	【噩梦】boss怪远程爆发	{1:120000,2:1680,3:640,505:10000,506:1000,507:1575,508:500,6:10000,11:19000,516:0}	{1:30000,2:420,3:160,505:8,506:8,507:8,508:8,6:0,11:0}
24005	【噩梦】boss怪远程平衡	{1:165000,2:1320,3:640,505:10000,506:1050,507:1500,508:500,6:10000,11:19000,516:0}	{1:41250,2:330,3:160,505:8,506:8,507:8,508:8,6:0,11:0}
24006	【噩梦】boss怪远程风筝	{1:180000,2:1200,3:640,505:9500,506:1150,507:1350,508:450,6:10000,11:22000,516:0}	{1:45000,2:300,3:160,505:7,506:9,507:7,508:7,6:0,11:0}
24007	【噩梦】boss怪近战缓慢	{1:225000,2:1440,3:800,505:9000,506:800,507:1500,508:500,6:10000,11:12000,516:0}	{1:56250,2:360,3:200,505:7,506:6,507:8,508:8,6:0,11:0}
24008	【噩梦】boss怪近战敏捷	{1:150000,2:1080,3:560,505:11000,506:1200,507:1800,508:400,6:10000,11:22000,516:0}	{1:37500,2:270,3:140,505:8,506:9,507:9,508:6,6:0,11:0}
24009	【噩梦】boss怪近战逃跑	{1:345000,2:1200,3:80,505:10000,506:1000,507:1500,508:50,6:10000,11:30000,516:0}	{1:86250,2:300,3:20,505:8,506:8,507:8,508:0,6:0,11:0}
25001	【无尽】普通怪近战防御	{1:45500,2:245,3:150,505:10000,506:1000,507:1500,508:550,6:10000,11:18000,516:0}	{1:11375,2:60,3:37,505:4,506:4,507:4,508:4,6:0,11:0}
25002	【无尽】普通怪近战爆发	{1:28000,2:490,3:120,505:10000,506:1000,507:1650,508:450,6:10000,11:20000,516:0}	{1:7000,2:121,3:29,505:4,506:4,507:4,508:3,6:0,11:0}
25003	【无尽】普通怪近战平衡	{1:35000,2:350,3:150,505:10000,506:1000,507:1500,508:500,6:10000,11:20000,516:0}	{1:8750,2:87,3:37,505:4,506:4,507:4,508:4,6:0,11:0}
25004	【无尽】普通怪远程爆发	{1:28000,2:490,3:120,505:10000,506:1000,507:1575,508:500,6:10000,11:19000,516:0}	{1:7000,2:121,3:29,505:4,506:4,507:4,508:4,6:0,11:0}
25005	【无尽】普通怪远程平衡	{1:38500,2:385,3:120,505:10000,506:1050,507:1500,508:500,6:10000,11:19000,516:0}	{1:9625,2:95,3:29,505:4,506:4,507:4,508:4,6:0,11:0}
25006	【无尽】普通怪远程风筝	{1:42000,2:350,3:120,505:9500,506:1150,507:1350,508:450,6:10000,11:22000,516:0}	{1:10500,2:87,3:29,505:3,506:4,507:3,508:3,6:0,11:0}
25007	【无尽】普通怪近战缓慢	{1:52500,2:420,3:150,505:9000,506:800,507:1500,508:500,6:10000,11:12000,516:0}	{1:13125,2:104,3:37,505:3,506:3,507:4,508:4,6:0,11:0}
25008	【无尽】普通怪近战敏捷	{1:35000,2:315,3:105,505:11000,506:1200,507:1800,508:400,6:10000,11:22000,516:0}	{1:8750,2:78,3:25,505:4,506:4,507:4,508:3,6:0,11:0}
25009	【无尽】普通怪近战逃跑	{1:80500,2:350,3:15,505:10000,506:1000,507:1500,508:50,6:10000,11:30000,516:0}	{1:20125,2:87,3:3,505:4,506:4,507:4,508:0,6:0,11:0}
26001	【无尽】高级怪近战防御	{1:68250,2:367,3:300,505:10000,506:1000,507:1500,508:550,6:10000,11:18000,516:0}	{1:17062,2:91,3:75,505:4,506:4,507:4,508:5,6:0,11:0}
26002	【无尽】高级怪近战爆发	{1:42000,2:735,3:240,505:10000,506:1000,507:1650,508:450,6:10000,11:20000,516:0}	{1:10500,2:183,3:60,505:4,506:4,507:5,508:4,6:0,11:0}
26003	【无尽】高级怪近战平衡	{1:52500,2:525,3:300,505:10000,506:1000,507:1500,508:500,6:10000,11:20000,516:0}	{1:13125,2:131,3:75,505:4,506:4,507:4,508:4,6:0,11:0}
26004	【无尽】高级怪远程爆发	{1:42000,2:735,3:240,505:10000,506:1000,507:1575,508:500,6:10000,11:19000,516:0}	{1:10500,2:183,3:60,505:4,506:4,507:5,508:4,6:0,11:0}
26005	【无尽】高级怪远程平衡	{1:57750,2:577,3:240,505:10000,506:1050,507:1500,508:500,6:10000,11:19000,516:0}	{1:14437,2:144,3:60,505:4,506:5,507:4,508:4,6:0,11:0}
26006	【无尽】高级怪远程风筝	{1:63000,2:525,3:240,505:9500,506:1150,507:1350,508:450,6:10000,11:22000,516:0}	{1:15750,2:131,3:60,505:4,506:5,507:4,508:4,6:0,11:0}
26007	【无尽】高级怪近战缓慢	{1:78750,2:630,3:300,505:9000,506:800,507:1500,508:500,6:10000,11:12000,516:0}	{1:19687,2:157,3:75,505:4,506:3,507:4,508:4,6:0,11:0}
26008	【无尽】高级怪近战敏捷	{1:52500,2:472,3:210,505:11000,506:1200,507:1800,508:400,6:10000,11:22000,516:0}	{1:13125,2:117,3:52,505:5,506:5,507:5,508:3,6:0,11:0}
26009	【无尽】高级怪近战逃跑	{1:120750,2:525,3:30,505:10000,506:1000,507:1500,508:50,6:10000,11:30000,516:0}	{1:30187,2:131,3:7,505:4,506:4,507:4,508:0,6:0,11:0}
27001	【无尽】精英怪近战防御	{1:113750,2:490,3:450,505:10000,506:1000,507:1500,508:550,6:10000,11:18000,516:0}	{1:28437,2:122,3:112,505:6,506:6,507:6,508:6,6:0,11:0}
27002	【无尽】精英怪近战爆发	{1:70000,2:980,3:360,505:10000,506:1000,507:1650,508:450,6:10000,11:20000,516:0}	{1:17500,2:245,3:89,505:6,506:6,507:6,508:5,6:0,11:0}
27003	【无尽】精英怪近战平衡	{1:87500,2:700,3:450,505:10000,506:1000,507:1500,508:500,6:10000,11:20000,516:0}	{1:21875,2:175,3:112,505:6,506:6,507:6,508:6,6:0,11:0}
27004	【无尽】精英怪远程爆发	{1:70000,2:980,3:360,505:10000,506:1000,507:1575,508:500,6:10000,11:19000,516:0}	{1:17500,2:245,3:89,505:6,506:6,507:6,508:6,6:0,11:0}
27005	【无尽】精英怪远程平衡	{1:96250,2:770,3:360,505:10000,506:1050,507:1500,508:500,6:10000,11:19000,516:0}	{1:24062,2:192,3:89,505:6,506:6,507:6,508:6,6:0,11:0}
27006	【无尽】精英怪远程风筝	{1:105000,2:700,3:360,505:9500,506:1150,507:1350,508:450,6:10000,11:22000,516:0}	{1:26250,2:175,3:89,505:5,506:6,507:5,508:5,6:0,11:0}
