id	名称（策划用）	名称	名称2（保持统一用）	描述	描述（策划用）	物品类型	背包类型	单格上限	是否支持叠加	道具总数上限	超出上限转换	灵装类型	星级	品质	图鉴排序	负重	icon	半身像	立绘	六边形像	立绘位置	立绘缩放比例	拍照时的缩放比例	提供经验	初始等级	等级上限	所属组合类型(Equipment_Combination中的组合类型id)	所属套装	基础属性({属性号：属性值，属性号：属性值})	成长属性	基础战力	每级成长战力	各属性条目的等级范围	特殊属性(类型id：权重，类型id：权重)	固有属性	出售收益	交易收益	获得后是否展示立绘
210012	芭丝特	400003	400003	405003	芭丝特是古埃及神话中的猫女神，有着能治愈一切阴霾的能力。质点为理解，无随机属性。	2	2	1	0	99	{570001:5}	3	1	2	3	2	icon/equipment/icon/106_106/icon1_lijie_1.png	icon/equipment/icon/170_214/icon2_lijie_1.png	icon/equipment/paint/paint_lijie_1.png	icon/equipment/icon/192_166/icon3_lijie_1.png	{"x":310,"y":300}	0.75	0.7	20	1	10	2-4-7-8	-1	{1:3320,2:1553,3:664}	{1:166,2:93,3:33}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10003	{570001:5}		0
210013	玛利亚	400004	400004	405004	圣洁的神殿修女，以善良和温柔闻名。质点为仁爱，无随机属性。	2	2	1	0	99	{570001:5}	4	1	2	4	2	icon/equipment/icon/106_106/icon1_renai_1.png	icon/equipment/icon/170_214/icon2_renai_1.png	icon/equipment/paint/paint_renai_1.png	icon/equipment/icon/192_166/icon3_renai_1.png	{"x":318,"y":252}	0.7	0.6	20	1	10	5-9-10-11	-1	{1:3320,2:813,3:1108}	{1:166,2:48,3:55}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10004	{570001:5}		0
210014	芙蕾雅	400005	400005	405005	性格怪异的妖媚女王，重度兄控，毫无节操，乐趣是用手中的教鞭给别人“奖励”。质点为严格，没有随机属性。	2	2	1	0	99	{570001:5}	5	1	2	5	2	icon/equipment/icon/106_106/icon1_yange_1.png	icon/equipment/icon/170_214/icon2_yange_1.png	icon/equipment/paint/paint_yange_1.png	icon/equipment/icon/192_166/icon3_yange_1.png	{"x":343,"y":200}	0.85	0.65	20	1	10	7-9-12-13	-1	{1:3320,2:1846,3:488}	{1:166,2:110,3:24}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10005	{570001:5}		0
210015	赫白	400006	400006	405006	天真而坚强的神之女，柔弱的外表下有一颗永不服输的心。质点为美丽，无随机属性。	2	2	1	0	99	{570001:5}	6	1	2	6	2	icon/equipment/icon/106_106/icon1_meili_1.png	icon/equipment/icon/170_214/icon2_meili_1.png	icon/equipment/paint/paint_meili_1.png	icon/equipment/icon/192_166/icon3_meili_1.png	{"x":303,"y":231}	0.85	0.75	20	1	10	3-6-8-10-12-14-15-16	-1	{1:3760,2:1253,3:752}	{1:188,2:75,3:37}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10006	{570001:5}		0
210016	瓦尔基里	400007	400007	405007	战无不胜的女武神，信条是为自由和正义而战。质点为胜利，无随机属性。	2	2	1	0	99	{570001:5}	7	1	2	7	2	icon/equipment/icon/106_106/icon1_shengli_1.png	icon/equipment/icon/170_214/icon2_shengli_1.png	icon/equipment/paint/paint_shengli_1.png	icon/equipment/icon/192_166/icon3_shengli_1.png	{"x":349,"y":282}	0.8	0.75	20	1	10	11-14-17-18-19	-1	{1:3320,2:1106,3:932}	{1:166,2:66,3:46}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10007	{570001:5}		0
210017	狄安娜	400008	400008	405008	精通光之魔法的星月女神，优雅中略带狡黠，喜欢捉弄敌人。质点为光辉，无随机属性。	2	2	1	0	99	{570001:5}	8	1	2	8	2	icon/equipment/icon/106_106/icon1_guanghui_1.png	icon/equipment/icon/170_214/icon2_guanghui_1.png	icon/equipment/paint/paint_guanghui_1.png	icon/equipment/icon/192_166/icon3_guanghui_1.png	{"x":286,"y":327}	0.85	0.75	20	1	10	13-15-17-20-21	-1	{1:3320,2:1553,3:664}	{1:166,2:93,3:33}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10008	{570001:5}		0
210018	克里斯蒂娜	400009	400009	405009	克里斯蒂娜本是王国的继承人，为了支援遭到入侵的友邦而放弃了爵位。质点为基础，无随机属性。	2	2	1	0	99	{570001:5}	9	1	2	9	2	icon/equipment/icon/106_106/icon1_jichu_1.png	icon/equipment/icon/170_214/icon2_jichu_1.png	icon/equipment/paint/paint_jichu_1.png	icon/equipment/icon/192_166/icon3_jichu_1.png	{"x":349,"y":208}	0.75	0.7	20	1	10	16-18-20-22	-1	{1:4660,2:1106,3:664}	{1:233,2:66,3:33}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10009	{570001:5}		0
210019	伊莎贝拉	400010	400010	405010	伊莎贝拉的丈夫是伟大的亚法索王，在亚法索英年早逝后，她以强大的执政能力撑起了国家。质点为王国，无随机属性。	2	2	1	0	99	{570001:5}	10	1	2	10	2	icon/equipment/icon/106_106/icon1_wangguo_1.png	icon/equipment/icon/170_214/icon2_wangguo_1.png	icon/equipment/paint/paint_wangguo_1.png	icon/equipment/icon/192_166/icon3_wangguo_1.png	{"x":323,"y":267}	0.8	0.7	20	1	10	19-21-22	-1	{1:5540,2:960,3:576}	{1:277,2:57,3:28}				{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10010	{570001:5}		0
220020	真·特蕾西亚	400011	400011	405011	特蕾西亚是帝国坚强而美丽的女王，在上一代国王病逝后率领军队战胜了入侵的敌军。质点为王冠，拥有1条随机属性。	2	2	1	0	99	{570001:15}	1	2	3	11	2	icon/equipment/icon/106_106/icon1_wangguan_1.png	icon/equipment/icon/170_214/icon2_wangguan_1.png	icon/equipment/paint/paint_wangguan_1.png	icon/equipment/icon/192_166/icon3_wangguan_1.png	{"x":306,"y":265}	0.8	0.75	20	1	20	1-2-3	-1	{1:3600,2:1757,3:1055}	{1:216,2:126,3:63}			[[1,2]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10011	{570001:15}		0
220021	真·瑟西	400012	400012	405012	令人畏惧的女巫，擅长黑魔法，是敌人惧怕的魔法使。质点为智慧，拥有1条随机属性。	2	2	1	0	99	{570001:15}	2	2	3	12	2	icon/equipment/icon/106_106/icon1_zhihui_1.png	icon/equipment/icon/170_214/icon2_zhihui_1.png	icon/equipment/paint/paint_zhihui_1.png	icon/equipment/icon/192_166/icon3_zhihui_1.png	{"x":330,"y":250}	0.75	0.65	20	1	20	1-4-5-6	-1	{1:4150,2:1382,3:1165}	{1:249,2:99,3:69}			[[1,2]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10012	{570001:15}		0
220022	真·芭丝特	400013	400013	405013	芭丝特是古埃及神话中的猫女神，有着能治愈一切阴霾的能力。质点为理解，拥有1条随机属性。	2	2	1	0	99	{570001:15}	3	2	3	13	2	icon/equipment/icon/106_106/icon1_lijie_1.png	icon/equipment/icon/170_214/icon2_lijie_1.png	icon/equipment/paint/paint_lijie_1.png	icon/equipment/icon/192_166/icon3_lijie_1.png	{"x":310,"y":300}	0.75	0.7	20	1	20	2-4-7-8	-1	{1:4150,2:1941,3:830}	{1:249,2:139,3:49}			[[1,2]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10013	{570001:15}		0
220023	真·玛利亚	400014	400014	405014	圣洁的神殿修女，以善良和温柔闻名。质点为仁爱，拥有1条随机属性。	2	2	1	0	99	{570001:15}	4	2	3	14	2	icon/equipment/icon/106_106/icon1_renai_1.png	icon/equipment/icon/170_214/icon2_renai_1.png	icon/equipment/paint/paint_renai_1.png	icon/equipment/icon/192_166/icon3_renai_1.png	{"x":318,"y":252}	0.7	0.6	20	1	20	5-9-10-11	-1	{1:4150,2:1016,3:1385}	{1:249,2:72,3:82}			[[1,2]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10014	{570001:15}		0
220024	真·芙蕾雅	400015	400015	405015	性格怪异的妖媚女王，重度兄控，毫无节操，乐趣是用手中的教鞭给别人“奖励”。质点为严格，没有随机属性。	2	2	1	0	99	{570001:15}	5	2	3	15	2	icon/equipment/icon/106_106/icon1_yange_1.png	icon/equipment/icon/170_214/icon2_yange_1.png	icon/equipment/paint/paint_yange_1.png	icon/equipment/icon/192_166/icon3_yange_1.png	{"x":343,"y":200}	0.85	0.65	20	1	20	7-9-12-13	-1	{1:4150,2:2307,3:610}	{1:249,2:165,3:36}			[[1,2]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10015	{570001:15}		0
220025	真·赫白	400016	400016	405016	天真而坚强的神之女，柔弱的外表下有一颗永不服输的心。质点为美丽，拥有1条随机属性。	2	2	1	0	99	{570001:15}	6	2	3	16	2	icon/equipment/icon/106_106/icon1_meili_1.png	icon/equipment/icon/170_214/icon2_meili_1.png	icon/equipment/paint/paint_meili_1.png	icon/equipment/icon/192_166/icon3_meili_1.png	{"x":303,"y":231}	0.85	0.75	20	1	20	3-6-8-10-12-14-15-16	-1	{1:4700,2:1566,3:940}	{1:282,2:112,3:55}			[[1,2]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10016	{570001:15}		0
220026	真·瓦尔基里	400017	400017	405017	战无不胜的女武神，信条是为自由和正义而战。质点为胜利，拥有1条随机属性。	2	2	1	0	99	{570001:15}	7	2	3	17	2	icon/equipment/icon/106_106/icon1_shengli_1.png	icon/equipment/icon/170_214/icon2_shengli_1.png	icon/equipment/paint/paint_shengli_1.png	icon/equipment/icon/192_166/icon3_shengli_1.png	{"x":349,"y":282}	0.8	0.75	20	1	20	11-14-17-18-19	-1	{1:4150,2:1382,3:1165}	{1:249,2:99,3:69}			[[1,2]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10017	{570001:15}		0
220027	真·狄安娜	400018	400018	405018	精通光之魔法的星月女神，优雅中略带狡黠，喜欢捉弄敌人。质点为光辉，拥有1条随机属性。	2	2	1	0	99	{570001:15}	8	2	3	18	2	icon/equipment/icon/106_106/icon1_guanghui_1.png	icon/equipment/icon/170_214/icon2_guanghui_1.png	icon/equipment/paint/paint_guanghui_1.png	icon/equipment/icon/192_166/icon3_guanghui_1.png	{"x":286,"y":327}	0.85	0.75	20	1	20	13-15-17-20-21	-1	{1:4150,2:1941,3:830}	{1:249,2:139,3:49}			[[1,2]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10018	{570001:15}		0
220028	真·克里斯蒂娜	400019	400019	405019	克里斯蒂娜本是王国的继承人，为了支援遭到入侵的友邦而放弃了爵位。质点为基础，拥有1条随机属性。	2	2	1	0	99	{570001:15}	9	2	3	19	2	icon/equipment/icon/106_106/icon1_jichu_1.png	icon/equipment/icon/170_214/icon2_jichu_1.png	icon/equipment/paint/paint_jichu_1.png	icon/equipment/icon/192_166/icon3_jichu_1.png	{"x":349,"y":208}	0.75	0.7	20	1	20	16-18-20-22	-1	{1:5825,2:1382,3:830}	{1:349,2:99,3:49}			[[1,2]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10019	{570001:15}		0
220029	真·伊莎贝拉	400020	400020	405020	伊莎贝拉的丈夫是伟大的亚法索王，在亚法索英年早逝后，她以强大的执政能力撑起了国家。质点为王国，拥有1条随机属性。	2	2	1	0	99	{570001:15}	10	2	3	20	2	icon/equipment/icon/106_106/icon1_wangguo_1.png	icon/equipment/icon/170_214/icon2_wangguo_1.png	icon/equipment/paint/paint_wangguo_1.png	icon/equipment/icon/192_166/icon3_wangguo_1.png	{"x":323,"y":267}	0.8	0.7	20	1	20	19-21-22	-1	{1:6925,2:1200,3:720}	{1:415,2:85,3:42}			[[1,2]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10020	{570001:15}		0
230030	卑弥呼	400021	400021	405021	古代日本邪马台王国的女王，她整合了松散的各个部落，使国家进入了黄金时代。质点为王冠，拥有2条随机属性。	2	2	1	0	99	{570001:80}	1	3	4	21	5	icon/equipment/icon/106_106/icon1_wangguan_2.png	icon/equipment/icon/170_214/icon2_wangguan_2.png	icon/equipment/paint/paint_wangguan_2.png	icon/equipment/icon/192_166/icon3_wangguan_2.png	{"x":335,"y":252}	0.9	0.8	50	1	30	1-2-3	-1	{1:4320,2:2109,3:1266}	{1:288,2:168,3:84}			[[1,2],[1,3]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10021	{570001:80}		0
230031	十铃莫子	400022	400022	405022	智勇双全的舞姬，曾代替负伤的长兄指挥军队，击败了入侵的敌人。质点为智慧，拥有2条随机属性。	2	2	1	0	99	{570001:80}	2	3	4	22	5	icon/equipment/icon/106_106/icon1_zhihui_2.png	icon/equipment/icon/170_214/icon2_zhihui_2.png	icon/equipment/paint/paint_zhihui_2.png	icon/equipment/icon/192_166/icon3_zhihui_2.png	{"x":334,"y":289}	0.8	0.75	50	1	30	1-4-5-6	-1	{1:4980,2:1659,3:1398}	{1:332,2:132,3:92}			[[1,2],[1,3]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10022	{570001:80}		0
230032	诺尔	400023	400023	405023	善解人意的白狐之女，鲜有发怒的时候，偶尔会变成白狐躲避人类的追逐。质点为理解，拥有2条随机属性。	2	2	1	0	99	{570001:80}	3	3	4	23	5	icon/equipment/icon/106_106/icon1_lijie_2.png	icon/equipment/icon/170_214/icon2_lijie_2.png	icon/equipment/paint/paint_lijie_2.png	icon/equipment/icon/192_166/icon3_lijie_2.png	{"x":331,"y":249}	0.75	0.65	50	1	30	2-4-7-8	-1	{1:4980,2:2329,3:996}	{1:332,2:186,3:66}			[[1,2],[1,3]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10023	{570001:80}		0
230033	卢娜	400024	400024	405024	光之灵女卢娜，掌管晨曦的使者，经常化妆为大姐姐帮助受苦的孩子。质点为仁爱，拥有2条随机属性。	2	2	1	0	99	{570001:80}	4	3	4	24	5	icon/equipment/icon/106_106/icon1_renai_2.png	icon/equipment/icon/170_214/icon2_renai_2.png	icon/equipment/paint/paint_renai_2.png	icon/equipment/icon/192_166/icon3_renai_2.png	{"x":300,"y":235}	0.8	0.7	50	1	30	5-9-10-11	-1	{1:4980,2:1219,3:1662}	{1:332,2:96,3:110}			[[1,2],[1,3]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10024	{570001:80}		0
230034	希斯卡	400025	400025	405025	充满斗志的元气少女，因崇拜姐姐的绝伦武技，走上了武者之路。质点为严格，拥有2条随机属性。	2	2	1	0	99	{570001:80}	5	3	4	25	5	icon/equipment/icon/106_106/icon1_yange_2.png	icon/equipment/icon/170_214/icon2_yange_2.png	icon/equipment/paint/paint_yange_2.png	icon/equipment/icon/192_166/icon3_yange_2.png	{"x":344,"y":301}	0.7	0.7	50	1	30	7-9-12-13	-1	{1:4980,2:2769,3:732}	{1:332,2:220,3:48}			[[1,2],[1,3]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10025	{570001:80}		0
230035	瑞丽丝	400026	400026	405026	害羞的美少女，为什么和人说话就会脸红呢，恐怕她自己也不清楚。质点为美丽，拥有2条随机属性。	2	2	1	0	99	{570001:80}	6	3	4	26	5	icon/equipment/icon/106_106/icon1_meili_2.png	icon/equipment/icon/170_214/icon2_meili_2.png	icon/equipment/paint/paint_meili_2.png	icon/equipment/icon/192_166/icon3_meili_2.png	{"x":369,"y":226}	0.8	0.7	50	1	30	3-6-8-10-12-14-15-16	-1	{1:5640,2:1879,3:1128}	{1:376,2:150,3:74}			[[1,2],[1,3]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10026	{570001:80}		0
230036	涅墨西斯	400027	400027	405027	冷若冰霜的魔法剑客，被称为复仇女神，使用的武器是传说中的圣器“折辉”。质点为胜利，拥有2条随机属性。	2	2	1	0	99	{570001:80}	7	3	4	27	5	icon/equipment/icon/106_106/icon1_shengli_2.png	icon/equipment/icon/170_214/icon2_shengli_2.png	icon/equipment/paint/paint_shengli_2.png	icon/equipment/icon/192_166/icon3_shengli_2.png	{"x":330,"y":308}	0.7	0.65	50	1	30	11-14-17-18-19	-1	{1:4980,2:1659,3:1398}	{1:332,2:132,3:92}			[[1,2],[1,3]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10027	{570001:80}		0
230037	拉斐尔	400028	400028	405028	德高望重的天使长，表面上是受人尊敬的昊天使，其实是个迟钝的萝莉。质点为光辉，拥有2条随机属性。	2	2	1	0	99	{570001:80}	8	3	4	28	5	icon/equipment/icon/106_106/icon1_guanghui_2.png	icon/equipment/icon/170_214/icon2_guanghui_2.png	icon/equipment/paint/paint_guanghui_2.png	icon/equipment/icon/192_166/icon3_guanghui_2.png	{"x":307,"y":265}	0.8	0.7	50	1	30	13-15-17-20-21	-1	{1:4980,2:2329,3:996}	{1:332,2:186,3:66}			[[1,2],[1,3]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10028	{570001:80}		0
230038	桐壶女御	400029	400029	405029	擅长剑技的侍女，天照大神的奴仆，被赐予了无限的生命。质点为基础，拥有2条随机属性。	2	2	1	0	99	{570001:80}	9	3	4	29	5	icon/equipment/icon/106_106/icon1_jichu_2.png	icon/equipment/icon/170_214/icon2_jichu_2.png	icon/equipment/paint/paint_jichu_2.png	icon/equipment/icon/192_166/icon3_jichu_2.png	{"x":305,"y":320}	0.75	0.7	50	1	30	16-18-20-22	-1	{1:6990,2:1659,3:996}	{1:466,2:132,3:66}			[[1,2],[1,3]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10029	{570001:80}		0
230039	玛格丽特	400030	400030	405030	身兼三国女王的伟大女性，行事不拘一格，拥有出色的政治智慧。质点为王国，拥有2条随机属性。	2	2	1	0	99	{570001:80}	10	3	4	30	5	icon/equipment/icon/106_106/icon1_wangguo_2.png	icon/equipment/icon/170_214/icon2_wangguo_2.png	icon/equipment/paint/paint_wangguo_2.png	icon/equipment/icon/192_166/icon3_wangguo_2.png	{"x":317,"y":235}	0.75	0.7	50	1	30	19-21-22	-1	{1:8310,2:1440,3:864}	{1:554,2:114,3:56}			[[1,2],[1,3]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10030	{570001:80}		0
