ID	备注	精灵飞行初始形态(flyForm表中精灵ID)	僚机飞行初始形态(flyForm表中僚机ID)	皮肤名字	道具类型	子类型	小类型	图标	皮肤图片	所属背包	排序索引	星级	品质	总上限	是否支持叠加	单格上限	达总上限转换	出售收益	交易收益	描述	描述文字ID	战斗模型	模型大小	受击区域组合	模型移动类型（0步行，1飞行，2无）	默认立绘	头像	玩家头像（设置为助战时）	！（暂时无用）小头像（选战斗形态时用）	战斗头像	结算头像（战斗准备界面头像）	！（暂时无用）名字图片	长条型头像（抽卡预览用）	角色底板	战斗结算底板	角色能量机制	战斗初始形态	战斗所有形态	被动技能配置	技能类型（1普攻,2技能一,3小技能二,4必杀,5闪避技能,6觉醒技能,7切换登场技能,8下落技能,,9起身震飞,10被动）	觉醒技能(对应1-5级天使，对应天使技能ID)	价值	武器模型	武器名称	天使模型大小	天使模型坐标偏移	天使技能树UI
1103012	四糸乃撞击	1003010	1001011	30301	11	0	0	icon/role/dress/10301s.png	icon/role/roleSkin/10301.png	11		0	4	1	0	1	{500001:10000}			四糸乃-灵装	21009	fight_10301	0.9	bdbox	0	1103011	icon/hero/face/1103011.png	icon/hero/face/1103011.png	icon/hero/smallface/10301.png	icon/hero/battle/10301.png	icon/hero/battle_end/10301.png	icon/hero/name/10301.png	Icon/role/face/up/103.png	icon/hero/backdrop/Sixinai.png	ui/631.png	8	1030101	1030101	110301	100310-100320-100370-100380-100340-100330-100350	100330		modle/weapon/angel_1103011/angel_10301	2200013	0.9	{"x":0,"y":-30}	Angle_skill_1103
1103013	四糸乃飞行	1002010	1001011	30301	11	0	0	icon/role/dress/10301s.png	icon/role/roleSkin/10301.png	11		0	4	1	0	1	{500001:10000}			四糸乃-灵装	21009	fight_10301	0.9	bdbox	0	1103011	icon/hero/face/1103011.png	icon/hero/face/1103011.png	icon/hero/smallface/10301.png	icon/hero/battle/10301.png	icon/hero/battle_end/10301.png	icon/hero/name/10301.png	Icon/role/face/up/103.png	icon/hero/backdrop/Sixinai.png	ui/631.png	8	1030101	1030101	110301	100310-100320-100370-100380-100340-100330-100350	100330		modle/weapon/angel_1103011/angel_10301	2200013	0.9	{"x":0,"y":-30}	Angle_skill_1103
1104011	狂三			30401	11	0	0	icon/role/dress/10401s.png	icon/role/roleSkin/10401.png	11		0	4	1	0	1	{500001:10000}			时崎狂三-灵装	21011	fight_10401	1	bdbox	0	1104011	icon/hero/face/1104011.png	icon/hero/face/1104011.png	icon/hero/smallface/10401.png	icon/hero/battle/10401.png	icon/hero/battle_end/10401.png	icon/hero/name/10601.png	Icon/role/face/up/104.png	icon/hero/backdrop/Kuangsan.png	ui/822.png	6	1040101	1040101	110401	100410-100470-100480-100420-100440-100430-100450	100430		modle/weapon/angel_1104011/angel_10401	2200014	0.6	{"x":0,"y":20}	Angle_skill_1104
1105011	琴里			30501	11	0	0	icon/role/dress/10501s.png	icon/role/roleSkin/10501.png	11		0	4	1	0	1	{500001:10000}			五河琴里-灵装	21013	fight_10501	1	bdbox	0	1105011	icon/hero/face/1105011.png	icon/hero/face/1105011.png	icon/hero/smallface/10501.png	icon/hero/battle/10501.png	icon/hero/battle_end/10501.png	icon/hero/name/10501.png	Icon/role/face/up/105.png	icon/hero/backdrop/Qinli.png	ui/824.png	1	1050101	1050101-1050102	110501	100510-100521-100522-100520-100540-100530-100550	100530		modle/weapon/angel_1105011/angel_10501	2200015	0.9	{"x":0,"y":-280}	Angle_skill_1105
1106011	DEM真那			30601	11	0	0	icon/role/dress/10601s.png	icon/role/roleSkin/10601.png	11		0	4	1	0	1	{500001:10000}			崇宫真那-灵装	21015	fight_10601	1	bdbox	0	1106011	icon/hero/face/1106011.png	icon/hero/face/1106011.png	icon/hero/smallface/10601.png	icon/hero/battle/10601.png	icon/hero/battle_end/10601.png	icon/hero/name/10601.png	Icon/role/face/up/106.png	icon/hero/backdrop/Chonggongzhenna.png	ui/823.png	10	1060101	1060101	110601	100610-100620-100670-100680-100640-100630-100650	100630		modle/weapon/angel_1106011/ange1_10601	2200016	0.9	{"x":0,"y":0}	Angle_skill_1106
1106012	猫娘真那			30601	11	0	0	icon/role/dress/10602s.png	icon/role/roleSkin/10602.png	11		0	4	1	0	1	{500001:10000}			崇宫真那-猫娘装	21021	fight_10603	1	bdbox	0	1106012	icon/hero/face/1106012.png	icon/hero/face/1106012.png	icon/hero/smallface/10602.png	icon/hero/battle/10602.png	icon/hero/battle_end/10602.png	icon/hero/name/10601.png	Icon/role/face/up/106.png	icon/hero/backdrop/Zhennafennier.png	ui/823.png	10	1060301	1060301	110601	100610-100620-100670-100680-100640-100635-100650	100635		modle/weapon/angel_1106011/ange1_10601	2200016	0.9	{"x":0,"y":0}	Angle_skill_1106
1107011	耶俱矢			30701	11	0	0	icon/role/dress/10701s.png	icon/role/roleSkin/10701.png	11		0	4	1	0	1	{500001:10000}			八舞耶俱矢-灵装	21017	fight_10701	1	bdbox	2	1107011	icon/hero/face/1107011.png	icon/hero/face/1107011.png	icon/hero/smallface/10701.png	icon/hero/battle/10701.png	icon/hero/battle_end/10701.png	icon/hero/name/10101.png	Icon/role/face/up/107.png	icon/hero/backdrop/Bawuyejushi.png	ui/824.png	5	1070101	1070101	110701	100710-100720-100720-100720-100740-100730-100750	100730		modle/weapon/angel_1107011/qiang	2200018	1	{"x":170,"y":0}	Angle_skill_1107
1108011	夕弦			30801	11	0	0	icon/role/dress/10801s.png	icon/role/roleSkin/10801.png	11		0	4	1	0	1	{500001:10000}			八舞夕弦-灵装	21019	fight_10801	1	bdbox	2	1108011	icon/hero/face/1108011.png	icon/hero/face/1108011.png	icon/hero/smallface/10801.png	icon/hero/battle/10801.png	icon/hero/battle_end/10801.png	icon/hero/name/10601.png	Icon/role/face/up/108.png	icon/hero/backdrop/Bawuxixuan.png	ui/823.png	9	1080101	1080101	110801	100810-100820-100820-100820-100840-100830-100850	100830		modle/weapon/angel_1108011/tianshilian2	2200019	1.1	{"x":200,"y":0}	Angle_skill_1108
1109011	艾伦			30901	11	0	0	icon/role/dress/10103s.png	icon/role/roleSkin/10801.png	11		0	3	1	0	1	{500001:10000}			艾伦-潘拉贡	21025	fight_10901	1	bdbox	2	1101013	icon/hero/face/1109011.png	icon/hero/face/1109011.png	icon/hero/smallface/10101.png	icon/hero/battle/10103.png	icon/hero/battle_end/10103.png	icon/hero/name/10101.png	Icon/role/face/up/101.png	icon/hero/backdrop/Ailun.png	ui/629.png	7	1090101	1090101	110901	100910-100920-100930-100940-100950-100960-100980	100960		modle/weapon/angel_1101011/angel_10101	2200011	1	{"x":0,"y":30}	Angle_skill_1109
1110011	美九			31001	11	0	0	icon/role/dress/10103s.png	icon/role/roleSkin/10801.png	11		0	3	1	0	1	{500001:10000}			美九-灵装	21027	fight_11001	1	bdbox	0	1101013	icon/hero/face/111011.png	icon/hero/face/111011.png	icon/hero/smallface/10101.png	icon/hero/battle/10103.png	icon/hero/battle_end/10103.png	icon/hero/name/10101.png	Icon/role/face/up/101.png	icon/hero/backdrop/Meijiu.png	ui/629.png	2	1100101	1100101	110101	101010-101020-101030-101040-101050-101060-101080	101060		modle/weapon/angel_1101011/angel_10101	2200011	1	{"x":0,"y":30}	Angle_skill_1110
