ID	注释	18
12165	新城建系统	饰品店-兼职3
12166	新城建系统	饰品店-兼职4
12167	新城建系统	饰品店-兼职5
12168	新城建系统	饰品店-兼职6
12169	新城建系统	饰品店-兼职7
12170	新城建系统	饰品店-兼职8
12171	新城建系统	饰品店-兼职9
12172	新城建系统	饰品店-兼职10
12173	新城建系统	玩偶店-兼职1
12174	新城建系统	玩偶店-兼职2
12175	新城建系统	玩偶店-兼职3
12176	新城建系统	玩偶店-兼职4
12177	新城建系统	玩偶店-兼职5
12178	新城建系统	玩偶店-兼职6
12179	新城建系统	玩偶店-兼职7
12180	新城建系统	玩偶店-兼职8
12181	新城建系统	玩偶店-兼职9
12182	新城建系统	玩偶店-兼职10
12183	新城建系统	浴场
12184	新城建系统	商业街
12185	新城建系统	花园餐厅
12186	新城建系统	饮品店
12187	新城建系统	精灵公寓
12188	新城建系统	住宅
12189	新城建系统	度假沙滩
12190	新城建系统	商场
12191	新城建系统	图书馆
12192	新城建系统	学校
12193	新城建系统	体育馆
12194	新城建系统	公园
12195	新城建系统	神社
12196	新城建系统	游乐场
12197	新城建系统	天宫市
12198	新城建系统	20℃
12199	新城建系统	40%
12200	新城建系统	率真
12201	新城建系统	体贴
12202	新城建系统	洒脱
12203	新城建系统	没有礼物啦~
12204	新城建系统	Chapter 1
12205	新城建系统	Chapter 2
12206	新城建系统	Chapter 3
12207	新城建系统	Chapter 4
12208	新城建系统	Chapter 5
12209	新城建系统	Chapter 6
12210	新城建系统	暂无收集
12211	新城建系统	没有物品
12212	新城建系统	公寓2F
12213	新城建系统	公寓3F
12214	新城建系统	学校2F
12900	无加成（心情buff）	战斗属性正常。
12901	十香高兴（心情buff）	攻击力+10%%，防御力+10%%
12902	十香生气（心情buff）	攻击力-30%%，防御力-30%%
12903	十香暴怒（心情buff）	攻击力-50%%，防御力-50%%，每2秒恢复1点sp
12904	折纸高兴（心情buff）	暴击率+10%%，攻击速度+10%%
12905	折纸生气（心情buff）	暴击率-30%%，攻击速度-30%%
12906	折纸暴怒（心情buff）	暴击率-50%%，攻击速度-50%%，每2秒恢复1点sp
12907	四糸乃高兴（心情buff）	防御力+10%%，受伤减免+10%%
12908	四糸乃生气（心情buff）	防御力-30%%，受伤减免-30%%
12909	四糸乃暴怒（心情buff）	防御力-50%%，受伤减免-50%%，每2秒恢复1点sp
12910	狂三高兴（心情buff）	闪避率+10%%，伤害加成+10%%
12911	狂三生气（心情buff）	闪避率-30%%，伤害加成-30%%
12912	狂三暴怒（心情buff）	闪避率-50%%，伤害加成-50%%，每2秒恢复1点sp
12913	琴里高兴（心情buff）	生命上限+10%%，暴击伤害+10%%
12914	琴里生气（心情buff）	生命上限-30%%，暴击伤害-30%%
12915	琴里暴怒（心情buff）	生命上限-50%%，暴击伤害-50%%，每2秒恢复1点sp
13001	数值道具	金币
13002	数值道具	游戏中通用货币，用于游戏日常消耗以及常规物品购买。
13003	数值道具	钻石
13004	数值道具	游戏中高阶货币，用于游戏特殊消耗以及特殊物品购买。
13005	数值道具	友情点
13006	数值道具	游戏中特殊货币，用于游戏内特殊物品兑换。
13007	数值道具	体力
13008	数值道具	体力值，用于挑战副本关卡。
13009	数值道具	主角经验
13010	数值道具	主角经验，用于提升主角等级。
13011	数值道具	精灵经验
13012	数值道具	精灵经验，用于提升精灵等级。
13013	数值道具	好感度
13014	数值道具	好感度，用于提升看板娘的好感度等级。
13015	数值道具	心情值
13016	数值道具	心情值，代表看板娘心情值的数值。
13017	数值道具	技能点
13018	数值道具	技能点，道具描述
13019	数值道具	充值额度
13020	数值道具	充值额度，道具描述
13021	数值道具	日常约会次数
13022	数值道具	日常约会次数，道具描述
13023	数值道具	活跃度
13024	数值道具	日常任务的活跃度
13025	数值道具	精力
13026	数值道具	精力，用于城市内消耗
14001	经验道具	初级经验卡
14002	经验道具	经验道具，使用后给精灵提供50点经验。
14003	经验道具	中级经验卡
14004	经验道具	经验道具，使用后给精灵提供100点经验。
14005	经验道具	高级经验卡
14006	经验道具	经验道具，使用后给精灵提供200点经验。
14007	经验道具	初级经验芯片
14008	经验道具	经验道具，使用后给精灵提供300点经验。
14009	经验道具	中级经验芯片
14010	经验道具	经验道具，使用后给精灵提供600点经验。
14011	经验道具	高级经验芯片
14012	经验道具	经验道具，使用后给精灵提供1000点经验。
14013	经验道具	初级经验磁场
14014	经验道具	经验道具，使用后给精灵提供1500点经验。
14015	经验道具	中级经验磁场
14016	经验道具	经验道具，使用后给精灵提供2000点经验。
14017	经验道具	高级经验磁场
14018	经验道具	经验道具，使用后给精灵提供3000点经验。
14019	经验道具	量子经验力场
14020	经验道具	经验道具，使用后给精灵提供5000点经验。
14051	金币道具	1级金币卡
14052	金币道具	金币道具，使用后可获得100金币。
14053	金币道具	2级金币卡
14054	金币道具	金币道具，使用后可获得300金币。
14055	金币道具	3级金币卡
14056	金币道具	金币道具，使用后可获得500金币。
14057	金币道具	4级金币卡
14058	金币道具	金币道具，使用后可获得750金币。
14059	金币道具	5级金币卡
14060	金币道具	金币道具，使用后可获得1000金币。
14061	金币道具	6级金币卡
14062	金币道具	金币道具，使用后可获得1500金币。
14063	金币道具	7级金币卡
14064	金币道具	金币道具，使用后可获得2500金币。
14065	金币道具	8级金币卡
14066	金币道具	金币道具，使用后可获得5000金币。
14067	金币道具	9级金币卡
14068	金币道具	金币道具，使用后可获得7500金币。
14069	金币道具	10级金币卡
14070	金币道具	金币道具，使用后可获得10000金币。
15001	突破道具	初级能量液
15002	突破道具	由Ratatoskr研制的初级基因药剂，用于精灵突破。
15003	突破道具	灵力残片
15004	突破道具	因空间震产生的物质，拥有一定灵力，用于精灵突破。
15005	突破道具	古代碎片
15006	突破道具	远古时期随陨石掉落地球的神秘物体，拥有特殊的能量，用于精灵突破。
15007	突破道具	金属装甲
15008	突破道具	AST研制的初级防护装置，用于精灵突破。
15009	突破道具	喷气加速器
15010	突破道具	Ratatoskr研制的新一代动力系统，用于精灵突破。
15011	突破道具	初级灵力石
15012	突破道具	根据灵力残片构思而来的灵力储藏装置，用于精灵突破。
15013	突破道具	灵之玉
15014	突破道具	拥有灵力的宝石，用于精灵突破。
15015	突破道具	集成芯片
15016	突破道具	AST研制的初级芯片，用于精灵突破。
15017	突破道具	中级能量液
15018	突破道具	由Ratatoskr研制的中级基因药剂，用于精灵突破。
15019	突破道具	灵力晶体
15020	突破道具	因空间震产生的物质，拥有较高灵力，用于精灵突破。
15021	突破道具	古代元件
15022	突破道具	胡夫金字塔中发现的神秘物体，拥有不俗的能量，用于精灵突破。
15023	突破道具	合金护盾
15024	突破道具	AST研制的高级防护装置，用于精灵突破。
15025	突破道具	涡轮增压器
15026	突破道具	Ratatoskr试验中的动力系统，用于精灵突破。
15027	突破道具	中级灵力石
15028	突破道具	加强型灵力石，用于精灵突破。
15029	突破道具	苍之玉
15030	突破道具	拥有灵力的高级宝石，用于精灵突破。
15031	突破道具	超级芯片
15032	突破道具	AST研制的专家级芯片，用于精灵突破。
15033	突破道具	高级能量液
15034	突破道具	Ratatoskr意外发现的高级基因药剂，用于精灵突破。
15035	突破道具	灵能水晶
15036	突破道具	由灵力晶体合成的物质，拥有很高的灵力，用于精灵突破。
15037	突破道具	能源三角
15038	突破道具	水晶头骨中发现的神秘物体，拥有强烈的能量，用于精灵突破。
15039	突破道具	高斯枪管
15040	突破道具	AST研制的最强武备，用于精灵突破。
15041	突破道具	电子脉冲器
15042	突破道具	Ratatoskr预研制的动力系统，用于精灵突破。
15043	突破道具	高级灵力石
15044	突破道具	由加强型灵力石萃取而来的高级储能装置，用于精灵突破。
15045	突破道具	星之玉
15046	突破道具	拥有灵力的陨石，用于精灵突破。
15047	突破道具	纳米芯片
15048	突破道具	Ratatoskr研制的次时代芯片，用于精灵突破。
15049	突破道具	特级能量液
15050	突破道具	能够激发粒体的顶级基因药剂，用于精灵突破。
15051	突破道具	灵能结晶
15052	突破道具	能够合成的最强灵能物品，拥有不可测的灵力，用于精灵突破。
15053	突破道具	魔能立方
15054	突破道具	木星上发现的神秘装置，拥有剧烈的能量，用于精灵突破。
15055	突破道具	次元护盾
15056	突破道具	AST盗取DEM研制的超强防护装置，用于精灵突破。
15057	突破道具	核能推进器
15058	突破道具	AST与日本政府合作制造的动力系统，用于精灵突破。
15059	突破道具	特级灵力石
15060	突破道具	将高级灵力石融合后与特级能量液融合而得到的储能装置，用于精灵突破。
15061	突破道具	月之玉
15062	突破道具	拥有灵力的神秘宝石，用于精灵突破。
15063	突破道具	智能芯片
15064	突破道具	Ratatoskr最新计划的人工智能芯片，用于精灵突破。
15065	突破道具	超级能量液
15066	突破道具	扭转基因序列，重构细胞结构的超级基因药剂，用于精灵突破。
15067	突破道具	灵能晶源
15068	突破道具	来自宇宙深处的不可控灵能物品，非常危险，用于精灵突破。
15069	突破道具	虚数空间
15070	突破道具	某种意义上的另一宇宙-迪拉克之海中产生的物质，用于精灵突破。
15071	突破道具	多维剑刃
15072	突破道具	DEM社秘密研制的量子级武备，拥有斩断空间的力量，用于精灵突破。
15073	突破道具	量子动能器
15074	突破道具	DEM社秘密研制的量子级动力系统，用于精灵突破。
15075	突破道具	超级灵力石
15076	突破道具	使用核质子轰击灵能晶源而得到储能装置，用于精灵突破。
15077	突破道具	日之玉
15078	突破道具	拥有灵力的超级宝石，用于精灵突破。
15079	突破道具	质子芯片
15080	突破道具	DEM社研制的原子级芯片，用于精灵突破。
16001	英雄碎片	灵装十香碎片
16002	英雄碎片	灵装十香碎片，用于激活精灵或提升精灵能力。
16003	英雄碎片	强化十香碎片
16004	英雄碎片	强化十香碎片，用于激活精灵或提升精灵能力。
16005	英雄碎片	反转十香碎片
16006	英雄碎片	反转十香碎片，用于激活精灵或提升精灵能力。
16007	英雄碎片	AST1折纸碎片
16008	英雄碎片	AST1折纸碎片，用于激活精灵或提升精灵能力。
16009	英雄碎片	AST2折纸碎片
16010	英雄碎片	AST2折纸碎片，用于激活精灵或提升精灵能力。
16011	英雄碎片	灵装四糸乃碎片
16012	英雄碎片	灵装四糸乃碎片，用于激活精灵或提升精灵能力。
16013	英雄碎片	灵装狂三碎片
16014	英雄碎片	灵装狂三碎片，用于激活精灵或提升精灵能力。
16015	英雄碎片	灵装琴里碎片
16016	英雄碎片	灵装琴里碎片，用于激活精灵或提升精灵能力。
16017	英雄碎片	DEM真那碎片
16018	英雄碎片	DEM真那碎片，用于激活精灵或提升精灵能力。
16019	英雄碎片	AST真那碎片
16020	英雄碎片	AST真那碎片，用于激活精灵或提升精灵能力。
16021	英雄碎片	灵装耶俱矢碎片
16022	英雄碎片	灵装耶俱矢碎片，用于激活精灵或提升精灵能力。
16023	英雄碎片	灵装夕弦碎片
16024	英雄碎片	灵装夕弦碎片，用于激活精灵或提升精灵能力。
16025	英雄碎片	强化夕弦碎片
16026	英雄碎片	强化夕弦碎片，用于激活精灵或提升精灵能力。
16027	英雄碎片	DEM1艾伦碎片
16028	英雄碎片	DEM1艾伦碎片，用于激活精灵或提升精灵能力。
16029	英雄碎片	灵装美九碎片
16030	英雄碎片	灵装美九碎片，用于激活精灵或提升精灵能力。
16031	英雄碎片	灵装士织碎片
16032	英雄碎片	灵装士织碎片，用于激活精灵或提升精灵能力。
16033	英雄碎片	灵装万由里碎片
16034	英雄碎片	灵装万由里碎片，用于激活精灵或提升精灵能力。
17001	食品礼物	干面包
17002	食品礼物	面粉和砂糖结合的最简单的产物，适合长期储存
17003	食品礼物	干面包[美味]
17004	食品礼物	美味的烹饪制品，面粉和砂糖结合的最简单的产物，适合长期储存
17005	食品礼物	干面包[绝佳]
17006	食品礼物	绝佳的烹饪制品，面粉和砂糖结合的最简单的产物，适合长期储存
17007	食品礼物	牛奶面包
17008	食品礼物	使用优质牛奶制作的面包，香气诱人
17009	食品礼物	牛奶面包[美味]
17010	食品礼物	美味的烹饪制品，使用优质牛奶制作的面包，香气诱人
17011	食品礼物	牛奶面包[绝佳]
17012	食品礼物	绝佳的烹饪制品，使用优质牛奶制作的面包，香气诱人
17013	食品礼物	奶酪蛋挞
17014	食品礼物	奶香酥脆，甜而不腻，是能衬托出蛋类的香味
17015	食品礼物	奶酪蛋挞[美味]
17016	食品礼物	美味的烹饪制品，奶香酥脆，甜而不腻，是能衬托出蛋类的香味
17017	食品礼物	奶酪蛋挞[绝佳]
17018	食品礼物	绝佳的烹饪制品，奶香酥脆，甜而不腻，是能衬托出蛋类的香味
17019	食品礼物	黄油面包
17020	食品礼物	将面粉、苏打、黄油等简单混合而成的面包，是大多数人都喜爱的食物
17021	食品礼物	黄油面包[美味]
17022	食品礼物	美味的烹饪制品，将面粉、苏打、黄油等简单混合而成的面包，是大多数人都喜爱的食物
17023	食品礼物	黄油面包[绝佳]
17024	食品礼物	绝佳的烹饪制品，将面粉、苏打、黄油等简单混合而成的面包，是大多数人都喜爱的食物
17025	食品礼物	布丁蛋糕
17026	食品礼物	使用多种水果制作而成，色泽诱人尝一口就能爱上的
17027	食品礼物	布丁蛋糕[美味]
17028	食品礼物	美味的烹饪制品，使用多种水果制作而成，色泽诱人尝一口就能爱上的
17029	食品礼物	布丁蛋糕[绝佳]
17030	食品礼物	绝佳的烹饪制品，使用多种水果制作而成，色泽诱人尝一口就能爱上的
17031	食品礼物	黄豆粉面包
17032	食品礼物	较为常见的面包，但只要塞进嘴里就仿佛有种魔力一样，让人欲罢不能。
17033	食品礼物	黄豆粉面包[美味]
17034	食品礼物	美味的烹饪制品，较为常见的面包，但只要塞进嘴里就仿佛有种魔力一样，让人欲罢不能。
17035	食品礼物	黄豆粉面包[绝佳]
17036	食品礼物	绝佳的烹饪制品，较为常见的面包，但只要塞进嘴里就仿佛有种魔力一样，让人欲罢不能。
17037	食品礼物	抹茶蛋糕
17038	食品礼物	使用抹茶粉制成的
17039	食品礼物	抹茶蛋糕[美味]
17040	食品礼物	美味的烹饪制品，使用抹茶粉制成的
17041	食品礼物	抹茶蛋糕[绝佳]
17042	食品礼物	绝佳的烹饪制品，使用抹茶粉制成的
17043	食品礼物	糯米团子
17044	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17045	食品礼物	糯米团子[美味]
17046	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17047	食品礼物	糯米团子[绝佳]
17048	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17049	食品礼物	草莓大福
17050	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17051	食品礼物	草莓大福[美味]
17052	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17053	食品礼物	草莓大福[绝佳]
17054	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17055	食品礼物	清甜果汁
17056	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17057	食品礼物	清甜果汁[美味]
17058	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17059	食品礼物	清甜果汁[绝佳]
17060	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17061	食品礼物	蔬菜汁
17062	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17063	食品礼物	蔬菜汁[美味]
17064	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17065	食品礼物	蔬菜汁[绝佳]
17066	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17067	食品礼物	糯米酒
17068	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17069	食品礼物	糯米酒[美味]
17070	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17071	食品礼物	糯米酒[绝佳]
17072	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17073	食品礼物	水果布丁
17074	食品礼物	使用特色水果点缀的高级布丁，口味多样，造型优美。
17075	食品礼物	水果布丁[美味]
17076	食品礼物	美味的烹饪制品，使用特色水果点缀的高级布丁，口味多样，造型优美。
17077	食品礼物	水果布丁[绝佳]
17078	食品礼物	绝佳的烹饪制品，使用特色水果点缀的高级布丁，口味多样，造型优美。
17079	食品礼物	布丁奶昔
17080	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17081	食品礼物	布丁奶昔[美味]
17082	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17083	食品礼物	布丁奶昔[绝佳]
17084	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17085	食品礼物	牛奶可可
17086	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17087	食品礼物	牛奶可可[美味]
17088	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17089	食品礼物	牛奶可可[绝佳]
17090	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17091	食品礼物	薄荷抹茶
17092	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17093	食品礼物	薄荷抹茶[美味]
17094	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17095	食品礼物	薄荷抹茶[绝佳]
17096	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17097	食品礼物	绿色妖姬
17098	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17099	食品礼物	绿色妖姬[美味]
17100	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17101	食品礼物	绿色妖姬[绝佳]
17102	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17103	食品礼物	薄荷绿茶
17104	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17105	食品礼物	薄荷绿茶[美味]
17106	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17107	食品礼物	薄荷绿茶[绝佳]
17108	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17109	食品礼物	水果寿司
17110	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17111	食品礼物	水果寿司[美味]
17112	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17113	食品礼物	水果寿司[绝佳]
17114	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17115	食品礼物	蔬菜蛋卷
17116	食品礼物	加冰的薄荷奶茶，在夏天非常受欢迎。
17117	食品礼物	蔬菜蛋卷[美味]
17118	食品礼物	美味的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17119	食品礼物	蔬菜蛋卷[绝佳]
17120	食品礼物	绝佳的烹饪制品，加冰的薄荷奶茶，在夏天非常受欢迎。
17121	食品礼物	水果披萨
17122	食品礼物	撒满各种水果的披萨，一口便可给味蕾带来无限满足感
17123	食品礼物	水果披萨[美味]
17124	食品礼物	美味的烹饪制品，撒满各种水果的披萨，一口便可给味蕾带来无限满足感
17125	食品礼物	水果披萨[绝佳]
17126	食品礼物	绝佳的烹饪制品，撒满各种水果的披萨，一口便可给味蕾带来无限满足感
17127	食品礼物	果蔬拼盘
17128	食品礼物	健康养眼的水果拼盘，点缀各种各样水果的切块和颗粒。
17129	食品礼物	果蔬拼盘[美味]
17130	食品礼物	美味的烹饪制品，健康养眼的水果拼盘，点缀各种各样水果的切块和颗粒。
17131	食品礼物	果蔬拼盘[绝佳]
17132	食品礼物	绝佳的烹饪制品，健康养眼的水果拼盘，点缀各种各样水果的切块和颗粒。
17133	食品礼物	多层汉堡
17134	食品礼物	芝士、洋葱、多层汉堡堆叠而成，是汉堡中的王者
17135	食品礼物	多层汉堡[美味]
17136	食品礼物	美味的烹饪制品，芝士、洋葱、多层汉堡堆叠而成，是汉堡中的王者
17137	食品礼物	多层汉堡[绝佳]
17138	食品礼物	绝佳的烹饪制品，芝士、洋葱、多层汉堡堆叠而成，是汉堡中的王者
17139	食品礼物	百味拉面
17140	食品礼物	拥有多达15种不同蔬菜的完美拉面，让无数的美味满足你贪婪的食欲吧！
17141	食品礼物	百味拉面[美味]
17142	食品礼物	美味的烹饪制品，拥有多达15种不同蔬菜的完美拉面，让无数的美味满足你贪婪的食欲吧！
17143	食品礼物	百味拉面[绝佳]
17144	食品礼物	绝佳的烹饪制品，拥有多达15种不同蔬菜的完美拉面，让无数的美味满足你贪婪的食欲吧！
17145	食品礼物	意式热狗
