ID	餐厅类型	料理名字	展示料理（对应item表中物品ID）	所需能力	所需食材	料理排序	奖励料理（所需积分,物品ID,数量）	最大积分（用于计算制作提前结束，一定要与最大所需积分相等）	制作总时长	qte(类型，出现时间点)	每秒增长积分
8	1	糯米团子	534083	{500020:80,500021:100}	{500024:3,532109:7,532106:7,532206:2,532301:1}	8	[{80:{534083:1}},{120:{534084:1}},{145:{534085:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
9	1	草莓大福	534093	{500020:100,500021:80}	{500024:3,532109:7,532103:7,532201:2,532303:1}	9	[{80:{534093:1}},{120:{534094:1}},{145:{534095:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
10	2	清甜果汁	534101	{500019:0,500022:0}	{500024:1,532105:5,532107:5}	1	[{80:{534101:1}},{120:{534102:1}},{145:{534103:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
11	2	蔬菜汁	534111	{500019:0,500022:0}	{500024:1,532105:5,532108:5}	2	[{80:{534111:1}},{120:{534112:1}},{145:{534113:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
12	2	糯米酒	534121	{500019:0,500022:0}	{500024:1,532105:5,532109:5}	3	[{80:{534121:1}},{120:{534122:1}},{145:{534123:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
13	2	水果布丁	534132	{500019:30,500022:30}	{500024:2,532106:6,532107:6,532201:2}	4	[{80:{534132:1}},{120:{534133:1}},{145:{534134:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
14	2	布丁奶昔	534142	{500019:25,500022:35}	{500024:2,532104:6,532106:6,532203:2}	5	[{80:{534142:1}},{120:{534143:1}},{145:{534144:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
15	2	牛奶可可	534152	{500019:35,500022:25}	{500024:2,532105:6,532104:6,532203:2}	6	[{80:{534152:1}},{120:{534153:1}},{145:{534154:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
16	2	薄荷抹茶	534163	{500019:90,500022:90}	{500024:3,532105:7,532106:7,532204:2,532302:1}	7	[{80:{534163:1}},{120:{534164:1}},{145:{534165:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
17	2	绿色妖姬	534173	{500019:80,500022:100}	{500024:3,532105:7,532103:7,532204:2,532301:1}	8	[{80:{534173:1}},{120:{534174:1}},{145:{534175:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
18	2	薄荷奶茶	534183	{500019:100,500022:80}	{500024:3,532104:7,532106:7,532203:2,532302:1}	9	[{80:{534183:1}},{120:{534184:1}},{145:{534185:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
19	3	水果寿司	534191	{500019:0,500020:0}	{500024:1,532107:5,532109:5}	1	[{80:{534191:1}},{120:{534192:1}},{145:{534193:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
20	3	蔬菜蛋卷	534201	{500019:0,500020:0}	{500024:1,532108:5,532102:5}	2	[{80:{534201:1}},{120:{534202:1}},{145:{534203:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
21	3	水果披萨	534211	{500019:0,500020:0}	{500024:1,532107:5,532101:5}	3	[{80:{534211:1}},{120:{534212:1}},{145:{534213:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
22	3	果蔬拼盘	534222	{500019:30,500020:30}	{500024:2,532108:6,532107:6,532202:2}	4	[{80:{534222:1}},{120:{534223:1}},{145:{534224:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
23	3	多层汉堡	534232	{500019:35,500020:25}	{500024:2,532108:6,532109:6,532205:2}	5	[{80:{534232:1}},{120:{534233:1}},{145:{534234:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
24	3	百味拉面	534242	{500019:25,500020:35}	{500024:2,532108:6,532102:6,532202:2}	6	[{80:{534242:1}},{120:{534243:1}},{145:{534244:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
25	3	意式热狗	534253	{500019:90,500020:90}	{500024:3,532107:7,532104:7,532205:2,532301:1}	7	[{80:{534253:1}},{120:{534254:1}},{145:{534255:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
26	3	海鲜刺身	534263	{500019:80,500020:100}	{500024:3,532108:7,532109:7,532206:2,532302:1}	8	[{80:{534263:1}},{120:{534264:1}},{145:{534265:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
27	3	鲜果拼盘	534273	{500019:100,500020:80}	{500024:3,532102:7,532103:7,532205:2,532303:1}	9	[{80:{534273:1}},{120:{534274:1}},{145:{534275:1}}]	145	80	1,2-2,9-1,16-2,23-1,30-2,37-1,44-2,51-1,58-3,65	1
