ID	分类	对应看板娘	配音路径	备注（策划看）
2201	gift_high	101	["sound/role/shixiang/TOUKA_22.mp3"]	喜爱礼物
2202	gift_high	102	["sound/role/zhezhi/ORIGAMI_30.mp3"]	
2203	gift_high	103	["sound/role/sisinai/YOSHINO_26.mp3"]	
2204	gift_high	104	["sound/role/kuangsan/KURUMI_32.mp3"]	
2205	gift_high	105	["sound/role/qinli/KOTORI_22.mp3"]	
2301	gift_low	101	["sound/role/shixiang/TOUKA_22.mp3"]	一般礼物
2302	gift_low	102	["sound/role/zhezhi/ORIGAMI_30.mp3"]	
2303	gift_low	103	["sound/role/sisinai/YOSHINO_26.mp3"]	
2304	gift_low	104	["sound/role/kuangsan/KURUMI_32.mp3"]	
2305	gift_low	105	["sound/role/qinli/KOTORI_22.mp3"]	
2401	favor_up	101	["sound/role/shixiang/TOUKA_17.mp3"]	好感度等级提升
2402	favor_up	102	["sound/role/zhezhi/ORIGAMI_25.mp3"]	
2403	favor_up	103	["sound/role/sisinai/YOSHINO_21.mp3"]	
2404	favor_up	104	["sound/role/kuangsan/KURUMI_27.mp3"]	
2405	favor_up	105	["sound/role/qinli/KOTORI_13.mp3"]	
2501	ability_up	101	["sound/role/shixiang/TOUKA_29.mp3"]	能力提升
2502	ability_up	102	["sound/role/zhezhi/ORIGAMI_AST_01.mp3"]	
2503	ability_up	103	["sound/role/sisinai/YOSHINO_28.mp3"]	
2504	ability_up	104	["sound/role/kuangsan/KURUMI_34.mp3"]	
2505	ability_up	105	["sound/role/qinli/KOTORI_24.mp3"]	
2601	work_play	101	["sound/role/shixiang/TOUKA_S_10.mp3"]	打工上阵
2602	work_play	102	["sound/role/zhezhi/ORIGAMI_05.mp3"]	
2603	work_play	103	["sound/role/sisinai/YOSHINO_S_02.mp3"]	
2604	work_play	104	["sound/role/kuangsan/KURUMI_S_21.mp3"]	
2605	work_play	105	["sound/role/qinli/KOTORI_S_19.mp3"]	
2701	change_kanban	101	["sound/role/shixiang/TOUKA_S_07.mp3"]	切换看板娘
2702	change_kanban	102	["sound/role/zhezhi/ORIGAMI_08.mp3"]	
2703	change_kanban	103	["sound/role/sisinai/YOSHINO_S_09.mp3"]	
2704	change_kanban	104	["sound/role/kuangsan/KURUMI_S_10.mp3"]	
2705	change_kanban	105	["sound/role/qinli/KOTORI_S_20.mp3"]	
2801	change_hero	101	["sound/role/shixiang/TOUKA_S_13.mp3"]	切换精灵
2802	change_hero	102	["sound/role/zhezhi/ORIGAMI_21.mp3"]	
2803	change_hero	103	["sound/role/sisinai/YOSHINO_29.mp3"]	
2804	change_hero	104	["sound/role/kuangsan/KURUMI_S_18.mp3"]	
2805	change_hero	105	["sound/role/qinli/KOTORI_S_25.mp3"]	
2901	change_equip	101	["sound/role/shixiang/TOUKA_S_07.mp3"]	更换灵装
2902	change_equip	102	["sound/role/zhezhi/ORIGAMI_31.mp3"]	
2903	change_equip	103	["sound/role/sisinai/YOSHINO_S_09.mp3"]	
2904	change_equip	104	["sound/role/kuangsan/KURUMI_S_09.mp3"]	
2905	change_equip	105	["sound/role/qinli/KOTORI_S_22.mp3"]	
3001	battle_play	101	["sound/role/shixiang/TOUKA_S_09.mp3"]	战斗上阵
3002	battle_play	102	["sound/role/zhezhi/ORIGAMI_AST_14.mp3"]	
3003	battle_play	103	["sound/role/sisinai/YOSHINO_S_07.mp3"]	
3004	battle_play	104	["sound/role/kuangsan/KURUMI_43.mp3"]	
3005	battle_play	105	["sound/role/qinli/KOTORI_33.mp3"]	
