ID	系统分类	技能名字	技能名字策划用	效果图标	效果描述	效果描述策划用	包含buff（0通用，英雄ID只针对该角色）	包含的属性加成
58	组合属性	410006	皇帝		411030	抗暴提高10%	{0:[2065]}	
59	组合属性	410007	战车		411031	攻击提高2%	{0:[2071]}	
60	组合属性	410007	战车		411032	攻击提高4%	{0:[2072]}	
61	组合属性	410007	战车		411033	攻击提高6%	{0:[2073]}	
62	组合属性	410007	战车		411034	攻击提高8%	{0:[2074]}	
63	组合属性	410007	战车		411035	攻击提高10%	{0:[2075]}	
64	组合属性	410008	恋人		411036	暴击提高2%	{0:[2081]}	
65	组合属性	410008	恋人		411037	暴击提高4%	{0:[2082]}	
66	组合属性	410008	恋人		411038	暴击提高6%	{0:[2083]}	
67	组合属性	410008	恋人		411039	暴击提高8%	{0:[2084]}	
68	组合属性	410008	恋人		411040	暴击提高10%	{0:[2085]}	
69	组合属性	410009	力量		411041	能量恢复率提高5%	{0:[2091]}	
70	组合属性	410009	力量		411042	能量恢复率提高10%	{0:[2092]}	
71	组合属性	410009	力量		411043	能量恢复率提高15%	{0:[2093]}	
72	组合属性	410009	力量		411044	能量恢复率提高20%	{0:[2094]}	
73	组合属性	410009	力量		411045	能量恢复率提高25%	{0:[2095]}	
74	组合属性	410010	隐者		411046	闪避提高2%	{0:[2101]}	
75	组合属性	410010	隐者		411047	闪避提高4%	{0:[2102]}	
76	组合属性	410010	隐者		411048	闪避提高6%	{0:[2103]}	
77	组合属性	410010	隐者		411049	闪避提高8%	{0:[2104]}	
78	组合属性	410010	隐者		411050	闪避提高10%	{0:[2105]}	
79	组合属性	410011	命运		411051	伤害减免提高2%	{0:[2111]}	
80	组合属性	410011	命运		411052	伤害减免提高4%	{0:[2112]}	
81	组合属性	410011	命运		411053	伤害减免提高6%	{0:[2113]}	
82	组合属性	410011	命运		411054	伤害减免提高8%	{0:[2114]}	
83	组合属性	410011	命运		411055	伤害减免提高10%	{0:[2115]}	
84	组合属性	410012	正义		411056	命中提高2%	{0:[2121]}	
85	组合属性	410012	正义		411057	命中提高4%	{0:[2122]}	
86	组合属性	410012	正义		411058	命中提高6%	{0:[2123]}	
87	组合属性	410012	正义		411059	命中提高8%	{0:[2124]}	
88	组合属性	410012	正义		411060	命中提高10%	{0:[2125]}	
89	组合属性	410013	刑死者		411061	伤害增加提高2%	{0:[2131]}	
90	组合属性	410013	刑死者		411062	伤害增加提高4%	{0:[2132]}	
91	组合属性	410013	刑死者		411063	伤害增加提高6%	{0:[2133]}	
92	组合属性	410013	刑死者		411064	伤害增加提高8%	{0:[2134]}	
93	组合属性	410013	刑死者		411065	伤害增加提高10%	{0:[2135]}	
94	组合属性	410014	死神		411066	造成伤害的1%转换为生命	{0:[2141]}	
95	组合属性	410014	死神		411067	造成伤害的2%转换为生命	{0:[2142]}	
96	组合属性	410014	死神		411068	造成伤害的3%转换为生命	{0:[2143]}	
97	组合属性	410014	死神		411069	造成伤害的4%转换为生命	{0:[2144]}	
98	组合属性	410014	死神		411070	造成伤害的5%转换为生命	{0:[2145]}	
99	组合属性	410015	节制		411071	能量上限+5	{0:[2151]}	
100	组合属性	410015	节制		411072	能量上限+10	{0:[2152]}	
101	组合属性	410015	节制		411073	能量上限+15	{0:[2153]}	
102	组合属性	410015	节制		411074	能量上限+20	{0:[2154]}	
103	组合属性	410015	节制		411075	能量上限+25	{0:[2155]}	
104	组合属性	410016	恶魔		411076	暴击伤害增加10%	{0:[2161]}	
105	组合属性	410016	恶魔		411077	暴击伤害增加20%	{0:[2162]}	
106	组合属性	410016	恶魔		411078	暴击伤害增加30%	{0:[2163]}	
107	组合属性	410016	恶魔		411079	暴击伤害增加40%	{0:[2164]}	
108	组合属性	410016	恶魔		411080	暴击伤害增加50%	{0:[2165]}	
109	组合属性	410017	塔楼		411081	受到攻击的5%反弹给敌人	{0:[2171]}	
110	组合属性	410017	塔楼		411082	受到攻击的10%反弹给敌人	{0:[2172]}	
111	组合属性	410017	塔楼		411083	受到攻击的15%反弹给敌人	{0:[2173]}	
112	组合属性	410017	塔楼		411084	受到攻击的20%反弹给敌人	{0:[2174]}	
113	组合属性	410017	塔楼		411085	受到攻击的25%反弹给敌人	{0:[2175]}	
114	组合属性	410018	星星		411086	受到控制的时间缩短5%	{0:[2181]}	
115	组合属性	410018	星星		411087	受到控制的时间缩短10%	{0:[2182]}	
116	组合属性	410018	星星		411088	受到控制的时间缩短15%	{0:[2183]}	
117	组合属性	410018	星星		411089	受到控制的时间缩短20%	{0:[2184]}	
118	组合属性	410018	星星		411090	受到控制的时间缩短25%	{0:[2185]}	
119	组合属性	410019	月亮		411091	减益时间缩短5%	{0:[2191]}	
120	组合属性	410019	月亮		411092	减益时间缩短10%	{0:[2192]}	
121	组合属性	410019	月亮		411093	减益时间缩短15%	{0:[2193]}	
122	组合属性	410019	月亮		411094	减益时间缩短20%	{0:[2194]}	
123	组合属性	410019	月亮		411095	减益时间缩短25%	{0:[2195]}	
124	组合属性	410020	太阳		411096	控制的时间增加5%	{0:[2201]}	
125	组合属性	410020	太阳		411097	控制的时间增加10%	{0:[2202]}	
126	组合属性	410020	太阳		411098	控制的时间增加15%	{0:[2203]}	
127	组合属性	410020	太阳		411099	控制的时间增加20%	{0:[2204]}	
128	组合属性	410020	太阳		411100	控制的时间增加25%	{0:[2205]}	
129	组合属性	410021	审判		411101	增益buff时间延长5%	{0:[2211]}	
130	组合属性	410021	审判		411102	增益buff时间延长10%	{0:[2212]}	
131	组合属性	410021	审判		411103	增益buff时间延长15%	{0:[2213]}	
132	组合属性	410021	审判		411104	增益buff时间延长20%	{0:[2214]}	
133	组合属性	410021	审判		411105	增益buff时间延长25%	{0:[2215]}	
134	组合属性	410022	世界		411106	移动速度提升5%	{0:[2221]}	
135	组合属性	410022	世界		411107	移动速度提升10%	{0:[2222]}	
136	组合属性	410022	世界		411108	移动速度提升15%	{0:[2223]}	
137	组合属性	410022	世界		411109	移动速度提升20%	{0:[2224]}	
138	组合属性	410022	世界		411110	移动速度提升25%	{0:[2225]}	
139	怪物技能					每隔30s，获得一个最大生命值10%的护盾	{0:[302]}	
140	怪物技能					战斗开始时获得一个普通护盾，抵挡10%生命值	{0:[304]}	
141	怪物技能					每隔30s，获得一个最大生命值10%的护盾	{0:[307]}	
9001	较特别的质点属性				449001	作为强化材料时，可以提供100点经验		
9002	较特别的质点属性				449002	作为强化材料时，可以提供300点经验		
9003	较特别的质点属性				449003	作为强化材料时，可以提供1000点经验		
9004	较特别的质点属性				449004	作为强化材料时，可以提供3000点经验		
9005	较特别的质点属性				449005	作为强化材料时，可以提供10000点经验		
10001	质点属性				441001	攻击力+3%，防御力+3%	{0:[1001]}	
10002	质点属性				441002	受到伤害时，有30%几率降低20点伤害	{0:[1002]}	
10003	质点属性				441003	每次造成伤害时，额外附加10点物理伤害	{0:[1003]}	
10004	质点属性				441004	命中率,3%，闪避率+5%	{0:[1004]}	
10005	质点属性				441005	受到伤害时移动速度+15%，持续3秒（触发间隔：10秒）	{0:[1005]}	
10006	质点属性				441006	每3秒恢复10点生命值	{0:[1006]}	
10007	质点属性				441007	生命值低于30%时，防御力+15%	{0:[1007]}	
10008	质点属性				441008	生命值低于30%时，攻击力+15%	{0:[1008]}	
10009	质点属性				441009	生命值低于10%时，每60s获得一个30%最大生命值的护盾	{0:[1009]}	
10010	质点属性				441010	命中目标时，20%几率额外恢复1点sp	{0:[1010]}	
10011	质点属性				441011	攻击力+5%，防御力+5%	{0:[1011]}	
10012	质点属性				441012	受到伤害时，有30%几率降低30点伤害	{0:[1012]}	
10013	质点属性				441013	每次造成伤害时，额外附加15点物理伤害	{0:[1013]}	
10014	质点属性				441014	命中率,3%，闪避率+8%	{0:[1014]}	
10015	质点属性				441015	受到伤害时移动速度+20%，持续3秒（触发间隔：10秒）	{0:[1015]}	
10016	质点属性				441016	每3秒恢复15点生命值	{0:[1016]}	
10017	质点属性				441017	生命值低于30%时，防御力+20%	{0:[1017]}	
10018	质点属性				441018	生命值低于30%时，攻击力+20%	{0:[1018]}	
10019	质点属性				441019	生命值低于15%时，每60s获得一个30%最大生命值的护盾	{0:[1019]}	
10020	质点属性				441020	命中目标时，30%几率额外恢复1点sp	{0:[1020]}	
10021	质点属性				441021	暴击率+5%，暴击伤害倍率+10%	{0:[1021]}	
10022	质点属性				441022	受到攻击后，受伤减免+20%，持续3秒（触发间隔：10秒）	{0:[1022]}	
10023	质点属性				441023	暴击后攻击速度+15%，持续3秒（触发间隔：10秒）	{0:[1023]}	
10024	质点属性				441024	每秒+2%闪避率，最多增加20%，受到伤害后消失	{0:[1024]}	
10025	质点属性				441025	命中目标后+3%穿透率，持续3秒（叠加上限：5）	{0:[1025]}	
10026	质点属性				441026	每5秒恢复1%生命值	{0:[1026]}	
10027	质点属性				441027	生命值高于80%时，防御力+10%	{0:[1027]}	
10028	质点属性				441028	生命值高于80%时，攻击力+10%	{0:[1028]}	
10029	质点属性				441029	每5秒获得相当于1%最大生命值的护盾	{0:[1029]}	
10030	质点属性				441030	攻击附带20%移动速度减少效果，持续5秒（不可叠加）	{0:[1030]}	
10031	质点属性				441031	暴击率+10%，暴击伤害倍率+20%	{0:[1031]}	
10032	质点属性				441032	受到攻击后，受伤减免+30%，持续3秒（触发间隔：10秒）	{0:[1032]}	
10033	质点属性				441033	暴击后攻击速度+20%，持续3秒（触发间隔：8秒）	{0:[1033]}	
10034	质点属性				441034	每秒+3%闪避率，最多增加30%，受到伤害后消失	{0:[1034]}	
10035	质点属性				441035	每次命中增加5%穿透率，持续3秒，最大叠加5层	{0:[1035]}	
10036	质点属性				441036	每5秒恢复1.5%生命值	{0:[1036]}	
10037	质点属性				441037	生命值高于80%时，防御力+15%	{0:[1037]}	
10038	质点属性				441038	生命值高于80%时，攻击力+15%	{0:[1038]}	
10039	质点属性				441039	每5秒获得相当于1.5%最大生命值的护盾	{0:[1039]}	
10040	质点属性				441040	攻击附带30%移动速度减少效果，持续5秒（不可叠加）	{0:[1040]}	
10041	质点属性				441041	攻击速度+10%；连击数大于30后，暴击率+10%	{0:[1041,1042]}	
10042	质点属性				441042	受伤减免+10%；受到攻击后防御力+50%，持续3秒（触发间隔：10秒）	{0:[1043,1044]}	
10043	质点属性				441043	命中目标时，额外恢复1点sp	{0:[1045]}	
10044	质点属性				441044	移动速度+20%；攻击速度+10%	{0:[1046]}	
10045	质点属性				441045	击败敌人后攻击+2%，持续30秒（叠加上限：10）	{0:[1047]}	
10046	质点属性				441046	每秒恢复2点sp	{0:[1048]}	
10047	质点属性				441047	攻击力+5%，普通攻击伤害+15%	{0:[1049]}	
10048	质点属性				441048	攻击力+5%，技能攻击伤害+30%	{0:[1050]}	
10049	质点属性				441049	连击数大于30后，伤害加成+15%	{0:[1051]}	
10050	质点属性				441050	生命值越低，造成的伤害越高，每损失10%生命值，伤害加成+5%	{0:[1052]}	
10051	质点属性				441051	生命上限,15%；攻击力+20%	{0:[1053]}	
10052	质点属性				441052	生命上限,15%；攻击速度+10%	{0:[1054]}	
10053	质点属性				441053	生命上限,15%；暴击率+15%	{0:[1055]}	
10054	质点属性				441054	命中目标时，攻击力+2%，持续5秒（叠加上限：10）	{0:[1056]}	
10055	质点属性				441055	命中目标时，暴击率+2%，持续5秒（叠加上限：10）	{0:[1057]}	
10056	质点属性				441056	命中目标时，攻击速度+2%，持续5秒（叠加上限：10）	{0:[1058]}	
10057	质点属性				441057	护盾状态下，攻击力+20%	{0:[1059]}	
10058	质点属性				441058	护盾状态下，防御力+30%	{0:[1060]}	
10059	质点属性				441059	护盾状态下，每2秒恢复1点sp	{0:[1061]}	
10060	质点属性				441060	普通攻击伤害+10%	{0:[1062]}	
10061	质点属性				441061	普通攻击暴击率+10%	{0:[1063]}	
10062	质点属性				441062	穿透率+10%	{0:[1064]}	
10063	质点属性				441063	命中目标时，有50%几率额外获得1点sp	{0:[1065]}	
10064	质点属性				441064	sp上限+30；每秒自动恢复2点sp	{0:[1066]}	
10065	质点属性				441065	击败敌人后立即恢复5点sp	{0:[1067]}	
10066	质点属性				441066	格挡率+10%；格挡后恢复1%生命。装备对象为十香时，每2%格挡率提高1%攻击力	{0:[1068,1069]}	
20001	套装属性	430001	天神之剑		431001	伤害加成+10%；连击数达到20后，每增加10点连击，伤害加成+5%，最多增加20%	{0:[3001,3002,3003,3004,3005]}	
20002	套装属性	430002	战姬守护		431002	开场获得30%最大生命值的护盾；每5秒恢复2%的护盾值	{0:[3006]}	
20003	套装属性	430003	圣灵波动		431003	生命恢复效果+50%；每5秒恢复2%生命值	{0:[3007]}	
20004	套装属性	430004	蔷薇风暴		431004	根据当前sp值增加伤害，每拥有10点sp，普通攻击伤害+2%	{0:[3008]}	
20005	套装属性	430005	英勇冲锋		431005	技能伤害+50%，每次使用技能后立即恢复10点sp	{0:[3009,3010,3011]}	
90001						测试buff，自爆	{0:[4002]}	
90002						机械猩猩，永久霸体	{0:[902]}	
90003						怪物出生时拥有5%生命值的抵抗值，之后每40s恢复一次。	{0:[904]}	
90004						怪物出生时拥有10%生命值的抵抗值，之后每40s恢复一次。	{0:[905]}	
90005						怪物出生时拥有15%生命值的抵抗值，之后每40s恢复一次。	{0:[906]}	
90006						怪物出生时拥有20%生命值的抵抗值，之后每40s恢复一次。	{0:[907]}	
90007						怪物出生时拥有25%生命值的抵抗值，之后每40s恢复一次。	{0:[908]}	
90008						双子boss黑色烟雾	{0:[911]}	
90009						每30秒增加10%霸体值	{0:[330]}	
110101	十香被动技能	2210010	世界	icon/skill/10101_skillE.png	2210020	护盾状态下，格挡率+10%、攻击后0%概率增加当前格挡率一半的攻击加成，每次触发后刷新加成的攻击力	{0:[6101,6003,6021]}	
110301	四糸乃攻击减速测试	2210050	世界	icon/skill/10301_skillE.png	2210060	攻击有几率减速敌人	{0:[6103,6003,6021,6005,6006,6007,6008,6009]}	
110201	折纸的被动技能	2210030	世界	icon/skill/10201_skillE.png	2210040	对生物敌人产生额外伤害x%	{0:[6102,6003,6021]}	
110401	狂三	2210070	世界	icon/skill/10401_skillE.png	2210080		{0:[6105,6003,6021,6004,6012,6013,6014,6015]}	
110501	琴里	2210090	世界	icon/skill/10501_skillE.png	2210100		{0:[6106,6003,6021,6010,6011]}	
110601	DEM真那	2210110	世界	icon/skill/10601_skillE.png	2210120		{0:[6104,6003,6021,6016,6017,6018,6019,6020]}	
110701	耶俱矢	2210130	世界	icon/skill/10701_skillE.png	2210140		{0:[6107,6003,6021]}	
110801	夕弦	2210150	世界	icon/skill/10801_skillE.png	2210160		{0:[6108,6003,6021]}	
110901	美九	410022	世界	icon/skill/10101_skillE.png	411110		{0:[6008,6003,6021]}	
111001	反转十香	410022	世界	icon/skill/10101_skillE.png	411110		{0:[6008,6003,6021,6001,6002]}	
210101	蚊子低阶自爆		蚊子低阶自爆			蚊子低阶自爆	{0:[318]}	
210102	蚊子高阶自爆		蚊子高阶自爆			蚊子高阶自爆	{0:[319]}	
