id	兼职名称	兼职名称	条件	兼职稀有度	消耗精力	完成所需时间	奖励	固定奖励	随机奖励	属性奖励	兼职经验奖励	限制时间
106024	面包店-兼职4（3星）	920024	106-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532101,"num":20},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532201,"num":0,"min":1,"max":3,"weight":3800},{"id":532202,"num":0,"min":1,"max":3,"weight":3800},{"id":532301,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532101:20,500023:1}	500002-532201-532202-532301	{500023:1}	20	1
106025	面包店-兼职5（3星）	920025	106-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532102,"num":20},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532201,"num":0,"min":1,"max":3,"weight":3800},{"id":532202,"num":0,"min":1,"max":3,"weight":3800},{"id":532301,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532102:20,500020:1}	500002-532201-532202-532301	{500020:1}	20	0
106026	面包店-兼职6（3星）	920026	106-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532103,"num":20},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532201,"num":0,"min":1,"max":3,"weight":3800},{"id":532202,"num":0,"min":1,"max":3,"weight":3800},{"id":532301,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532103:20,500020:1}	500002-532201-532202-532301	{500020:1}	20	0
106027	面包店-兼职7（3星）	920027	106-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532101,"num":12},{"id":532103,"num":12}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532201,"num":0,"min":1,"max":3,"weight":3800},{"id":532202,"num":0,"min":1,"max":3,"weight":3800},{"id":532301,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532101:12,532103:12}	500002-532201-532202-532301		20	0
106028	面包店-兼职8（3星）	920028	106-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532102,"num":12},{"id":532101,"num":12}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532201,"num":0,"min":1,"max":3,"weight":3800},{"id":532202,"num":0,"min":1,"max":3,"weight":3800},{"id":532301,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532102:12,532101:12}	500002-532201-532202-532301		20	0
106029	面包店-兼职9（3星）	920029	106-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532103,"num":12},{"id":532102,"num":12}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532201,"num":0,"min":1,"max":3,"weight":3800},{"id":532202,"num":0,"min":1,"max":3,"weight":3800},{"id":532301,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532103:12,532102:12}	500002-532201-532202-532301		20	0
106030	面包店-兼职10（3星）	920030	106-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532101,"num":8},{"id":532102,"num":8},{"id":532103,"num":8}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532201,"num":0,"min":1,"max":3,"weight":3800},{"id":532202,"num":0,"min":1,"max":3,"weight":3800},{"id":532301,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532101:8,532102:8,532103:8}	500002-532201-532202-532301		20	0
106031	面包店-兼职1（4星）	920031	106-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532101,"num":30},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532201,"num":0,"min":1,"max":4,"weight":4500},{"id":532202,"num":0,"min":1,"max":4,"weight":4500},{"id":532301,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532101:30,500019:1}	500002-532201-532202-532301	{500019:1}	30	0
106032	面包店-兼职2（4星）	920032	106-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532102,"num":30},{"id":500019,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532201,"num":0,"min":1,"max":4,"weight":4500},{"id":532202,"num":0,"min":1,"max":4,"weight":4500},{"id":532301,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532102:30,500019:2}	500002-532201-532202-532301	{500019:2}	30	0
106033	面包店-兼职3（4星）	920033	106-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532103,"num":30},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532201,"num":0,"min":1,"max":4,"weight":4500},{"id":532202,"num":0,"min":1,"max":4,"weight":4500},{"id":532301,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532103:30,500023:1}	500002-532201-532202-532301	{500023:1}	30	1
106034	面包店-兼职4（4星）	920034	106-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532101,"num":30},{"id":500023,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532201,"num":0,"min":1,"max":4,"weight":4500},{"id":532202,"num":0,"min":1,"max":4,"weight":4500},{"id":532301,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532101:30,500023:2}	500002-532201-532202-532301	{500023:2}	30	1
106035	面包店-兼职5（4星）	920035	106-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532102,"num":30},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532201,"num":0,"min":1,"max":4,"weight":4500},{"id":532202,"num":0,"min":1,"max":4,"weight":4500},{"id":532301,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532102:30,500020:1}	500002-532201-532202-532301	{500020:1}	30	0
106036	面包店-兼职6（4星）	920036	106-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532103,"num":30},{"id":500020,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532201,"num":0,"min":1,"max":4,"weight":4500},{"id":532202,"num":0,"min":1,"max":4,"weight":4500},{"id":532301,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532103:30,500020:2}	500002-532201-532202-532301	{500020:2}	30	0
106037	面包店-兼职7（4星）	920037	106-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532101,"num":18},{"id":532103,"num":18}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532201,"num":0,"min":1,"max":4,"weight":4500},{"id":532202,"num":0,"min":1,"max":4,"weight":4500},{"id":532301,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532101:18,532103:18}	500002-532201-532202-532301		30	0
106038	面包店-兼职8（4星）	920038	106-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532102,"num":18},{"id":532101,"num":18}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532201,"num":0,"min":1,"max":4,"weight":4500},{"id":532202,"num":0,"min":1,"max":4,"weight":4500},{"id":532301,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532102:18,532101:18}	500002-532201-532202-532301		30	0
106039	面包店-兼职9（4星）	920039	106-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532103,"num":18},{"id":532102,"num":18}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532201,"num":0,"min":1,"max":4,"weight":4500},{"id":532202,"num":0,"min":1,"max":4,"weight":4500},{"id":532301,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532103:18,532102:18}	500002-532201-532202-532301		30	0
106040	面包店-兼职10（4星）	920040	106-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532101,"num":12},{"id":532102,"num":12},{"id":532103,"num":12}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532201,"num":0,"min":1,"max":4,"weight":4500},{"id":532202,"num":0,"min":1,"max":4,"weight":4500},{"id":532301,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532101:12,532102:12,532103:12}	500002-532201-532202-532301		30	0
106041	面包店-兼职1（5星）	920041	106-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532101,"num":40},{"id":500019,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532201,"num":0,"min":1,"max":5,"weight":5000},{"id":532202,"num":0,"min":1,"max":5,"weight":5000},{"id":532301,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532101:40,500019:2}	500002-532201-532202-532301	{500019:2}	40	0
106042	面包店-兼职2（5星）	920042	106-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532102,"num":40},{"id":500019,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532201,"num":0,"min":1,"max":5,"weight":5000},{"id":532202,"num":0,"min":1,"max":5,"weight":5000},{"id":532301,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532102:40,500019:2}	500002-532201-532202-532301	{500019:2}	40	0
106043	面包店-兼职3（5星）	920043	106-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532103,"num":40},{"id":500023,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532201,"num":0,"min":1,"max":5,"weight":5000},{"id":532202,"num":0,"min":1,"max":5,"weight":5000},{"id":532301,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532103:40,500023:2}	500002-532201-532202-532301	{500023:2}	40	1
106044	面包店-兼职4（5星）	920044	106-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532101,"num":40},{"id":500023,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532201,"num":0,"min":1,"max":5,"weight":5000},{"id":532202,"num":0,"min":1,"max":5,"weight":5000},{"id":532301,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532101:40,500023:2}	500002-532201-532202-532301	{500023:2}	40	1
106045	面包店-兼职5（5星）	920045	106-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532102,"num":40},{"id":500020,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532201,"num":0,"min":1,"max":5,"weight":5000},{"id":532202,"num":0,"min":1,"max":5,"weight":5000},{"id":532301,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532102:40,500020:2}	500002-532201-532202-532301	{500020:2}	40	0
106046	面包店-兼职6（5星）	920046	106-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532103,"num":40},{"id":500020,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532201,"num":0,"min":1,"max":5,"weight":5000},{"id":532202,"num":0,"min":1,"max":5,"weight":5000},{"id":532301,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532103:40,500020:2}	500002-532201-532202-532301	{500020:2}	40	0
106047	面包店-兼职7（5星）	920047	106-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532101,"num":24},{"id":532103,"num":24}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532201,"num":0,"min":1,"max":5,"weight":5000},{"id":532202,"num":0,"min":1,"max":5,"weight":5000},{"id":532301,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532101:24,532103:24}	500002-532201-532202-532301		40	0
106048	面包店-兼职8（5星）	920048	106-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532102,"num":24},{"id":532101,"num":24}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532201,"num":0,"min":1,"max":5,"weight":5000},{"id":532202,"num":0,"min":1,"max":5,"weight":5000},{"id":532301,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532102:24,532101:24}	500002-532201-532202-532301		40	0
106049	面包店-兼职9（5星）	920049	106-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532103,"num":24},{"id":532102,"num":24}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532201,"num":0,"min":1,"max":5,"weight":5000},{"id":532202,"num":0,"min":1,"max":5,"weight":5000},{"id":532301,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532103:24,532102:24}	500002-532201-532202-532301		40	0
106050	面包店-兼职10（5星）	920050	106-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532101,"num":16},{"id":532102,"num":16},{"id":532103,"num":16}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532201,"num":0,"min":1,"max":5,"weight":5000},{"id":532202,"num":0,"min":1,"max":5,"weight":5000},{"id":532301,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532101:16,532102:16,532103:16}	500002-532201-532202-532301		40	0
107001	饮品店-兼职1（1星）	920051	107-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532104,"num":10}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532203,"num":0,"min":1,"max":1,"weight":3500},{"id":532204,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532104:10}	500002-532203-532204		10	1
107002	饮品店-兼职2（1星）	920052	107-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532105,"num":10},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532203,"num":0,"min":1,"max":1,"weight":3500},{"id":532204,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532105:10,500019:1}	500002-532203-532204	{500019:1}	10	1
107003	饮品店-兼职3（1星）	920053	107-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532106,"num":10}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532203,"num":0,"min":1,"max":1,"weight":3500},{"id":532204,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532106:10}	500002-532203-532204		10	1
107004	饮品店-兼职4（1星）	920054	107-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532104,"num":10},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532203,"num":0,"min":1,"max":1,"weight":3500},{"id":532204,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532104:10,500023:1}	500002-532203-532204	{500023:1}	10	1
107005	饮品店-兼职5（1星）	920055	107-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532105,"num":10}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532203,"num":0,"min":1,"max":1,"weight":3500},{"id":532204,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532105:10}	500002-532203-532204		10	0
107006	饮品店-兼职6（1星）	920056	107-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532106,"num":10},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532203,"num":0,"min":1,"max":1,"weight":3500},{"id":532204,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532106:10,500020:1}	500002-532203-532204	{500020:1}	10	0
107007	饮品店-兼职7（1星）	920057	107-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532104,"num":6},{"id":532106,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532203,"num":0,"min":1,"max":1,"weight":3500},{"id":532204,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532104:6,532106:6}	500002-532203-532204		10	0
107008	饮品店-兼职8（1星）	920058	107-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532105,"num":6},{"id":532104,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532203,"num":0,"min":1,"max":1,"weight":3500},{"id":532204,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532105:6,532104:6}	500002-532203-532204		10	0
