ID	策划看	进阶消耗	基础属性	成长属性	解锁技能
102106	AST1折纸	{510304:120}	{1:30594,2:9027,3:5623,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:4098,2:816,3:683,505:50,10:1,507:50,8:50,13:100}	
102107	AST1折纸	{510304:120}	{1:32484,2:9734,3:6253,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:4488,2:891,3:753,505:50,10:1,507:50,8:50,13:100}	
103101	四糸乃		{1:22344,2:5586,3:3724,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:2234,2:446,3:372,505:20,10:1,507:20,8:50,13:100}	
103102	四糸乃	{510306:20}	{1:24578,2:6144,3:4096,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:2680,2:535,3:446,505:25,10:1,507:25,8:50,13:100}	
103103	四糸乃	{510306:30}	{1:26812,2:6703,3:4468,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:3127,2:624,3:520,505:30,10:1,507:30,8:50,13:100}	
103104	四糸乃	{510306:60}	{1:29046,2:7261,3:4840,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:3574,2:713,3:594,505:40,10:1,507:40,8:50,13:100}	
103105	四糸乃	{510306:120}	{1:31281,2:7820,3:5213,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:4021,2:802,3:669,505:50,10:1,507:50,8:50,13:100}	
103106	四糸乃	{510306:120}	{1:33481,2:8420,3:5613,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:4521,2:802,3:669,505:50,10:1,507:50,8:50,13:100}	
103107	四糸乃	{510306:120}	{1:35511,2:9020,3:6013,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:5021,2:802,3:669,505:50,10:1,507:50,8:50,13:100}	
104101	狂三		{1:26040,2:6972,3:4340,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:4000,14:10000,56:10000}	{1:2604,2:520,3:434,505:20,10:1,507:20,8:50,13:100}	
104102	狂三	{510307:20}	{1:28644,2:7669,3:4774,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:4000,14:10000,56:10000}	{1:3124,2:624,3:520,505:25,10:1,507:25,8:50,13:100}	
104103	狂三	{510307:30}	{1:31248,2:8366,3:5208,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:4000,14:10000,56:10000}	{1:3645,2:728,3:607,505:30,10:1,507:30,8:50,13:100}	
104104	狂三	{510307:60}	{1:33852,2:9063,3:5642,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:4000,14:10000,56:10000}	{1:4166,2:832,3:694,505:40,10:1,507:40,8:50,13:100}	
104105	狂三	{510307:120}	{1:36456,2:9760,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:4000,14:10000,56:10000}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
104106	狂三	{510307:120}	{1:36456,2:9760,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:4000,14:10000,56:10000}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
104107	狂三	{510307:120}	{1:36456,2:9760,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:4000,14:10000,56:10000}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
105101	琴里		{1:27888,2:6048,3:4340,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:2788,2:557,3:464,505:20,10:1,507:20,8:50,13:100}	
105102	琴里	{510308:20}	{1:30676,2:6652,3:4774,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:3345,2:668,3:556,505:25,10:1,507:25,8:50,13:100}	
105103	琴里	{510308:30}	{1:33465,2:7257,3:5208,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:3903,2:779,3:649,505:30,10:1,507:30,8:50,13:100}	
105104	琴里	{510308:60}	{1:36254,2:7862,3:5642,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:4460,2:890,3:742,505:40,10:1,507:40,8:50,13:100}	
105105	琴里	{510308:120}	{1:39043,2:8467,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:5018,2:1002,3:835,505:50,10:1,507:50,8:50,13:100}	
105106	琴里	{510308:120}	{1:39043,2:8467,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:5018,2:1002,3:835,505:50,10:1,507:50,8:50,13:100}	
105107	琴里	{510308:120}	{1:39043,2:8467,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:5018,2:1002,3:835,505:50,10:1,507:50,8:50,13:100}	
106101	DEM真那		{1:22344,2:6510,3:3416,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:5000,56:0}	{1:2234,2:446,3:372,505:20,10:1,507:20,8:50,13:100}	
106102	DEM真那	{510309:20}	{1:24578,2:7161,3:3757,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:5000,56:0}	{1:2680,2:535,3:446,505:25,10:1,507:25,8:50,13:100}	
106103	DEM真那	{510309:30}	{1:26812,2:7812,3:4099,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:5000,56:0}	{1:3127,2:624,3:520,505:30,10:1,507:30,8:50,13:100}	
106104	DEM真那	{510309:60}	{1:29046,2:8463,3:4440,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:5000,56:0}	{1:3574,2:713,3:594,505:40,10:1,507:40,8:50,13:100}	
106105	DEM真那	{510309:120}	{1:31281,2:9114,3:4782,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:5000,56:0}	{1:4021,2:802,3:669,505:50,10:1,507:50,8:50,13:100}	
106106	DEM真那	{510309:120}	{1:31281,2:9114,3:4782,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:5000,56:0}	{1:4021,2:802,3:669,505:50,10:1,507:50,8:50,13:100}	
106107	DEM真那	{510309:120}	{1:31281,2:9114,3:4782,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:5000,56:0}	{1:4021,2:802,3:669,505:50,10:1,507:50,8:50,13:100}	
107101	耶俱矢		{1:26040,2:6972,3:3724,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:2604,2:520,3:434,505:20,10:1,507:20,8:50,13:100}	
107102	耶俱矢	{510311:20}	{1:28644,2:7669,3:4096,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:3124,2:624,3:520,505:25,10:1,507:25,8:50,13:100}	
107103	耶俱矢	{510311:30}	{1:31248,2:8366,3:4468,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:3645,2:728,3:607,505:30,10:1,507:30,8:50,13:100}	
107104	耶俱矢	{510311:60}	{1:33852,2:9063,3:4840,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:4166,2:832,3:694,505:40,10:1,507:40,8:50,13:100}	
107105	耶俱矢	{510311:120}	{1:36456,2:9760,3:5213,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
107106	耶俱矢	{510311:120}	{1:36456,2:9760,3:5213,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
107107	耶俱矢	{510311:120}	{1:36456,2:9760,3:5213,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:10000}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
108101	夕弦		{1:27888,2:6510,3:3724,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:2788,2:557,3:464,505:20,10:1,507:20,8:50,13:100}	
108102	夕弦	{510312:20}	{1:30676,2:7161,3:4096,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:3345,2:668,3:556,505:25,10:1,507:25,8:50,13:100}	
108103	夕弦	{510312:30}	{1:33465,2:7812,3:4468,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:3903,2:779,3:649,505:30,10:1,507:30,8:50,13:100}	
108104	夕弦	{510312:60}	{1:36254,2:8463,3:4840,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:4460,2:890,3:742,505:40,10:1,507:40,8:50,13:100}	
108105	夕弦	{510312:120}	{1:39043,2:9114,3:5213,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:5018,2:1002,3:835,505:50,10:1,507:50,8:50,13:100}	
108106	夕弦	{510312:120}	{1:39043,2:9114,3:5213,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:5018,2:1002,3:835,505:50,10:1,507:50,8:50,13:100}	
108107	夕弦	{510312:120}	{1:39043,2:9114,3:5213,505:9500,507:500,6:10000,11:35000,8:10000,10:9}	{1:5018,2:1002,3:835,505:50,10:1,507:50,8:50,13:100}	
109101	爱莲		{1:24192,2:6972,3:4956,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:2419,2:483,3:403,505:20,10:1,507:20,8:50,13:100}	
109102	爱莲	{510313:20}	{1:26611,2:7669,3:5451,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:2902,2:579,3:483,505:25,10:1,507:25,8:50,13:100}	
109103	爱莲	{510313:30}	{1:29030,2:8366,3:5947,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:3386,2:676,3:564,505:30,10:1,507:30,8:50,13:100}	
109104	爱莲	{510313:60}	{1:31449,2:9063,3:6442,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:3870,2:772,3:644,505:40,10:1,507:40,8:50,13:100}	
109105	爱莲	{510313:120}	{1:33868,2:9760,3:6938,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:4354,2:869,3:725,505:50,10:1,507:50,8:50,13:100}	
109106	爱莲	{510313:120}	{1:33868,2:9760,3:6938,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:4354,2:869,3:725,505:50,10:1,507:50,8:50,13:100}	
109107	爱莲	{510313:120}	{1:33868,2:9760,3:6938,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:10000,56:0}	{1:4354,2:869,3:725,505:50,10:1,507:50,8:50,13:100}	
110101	美九		{1:26040,2:6048,3:4340,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:8,56:0}	{1:2604,2:520,3:434,505:20,10:1,507:20,8:50,13:100}	
110102	美九	{510314:20}	{1:28644,2:6652,3:4774,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:8,56:0}	{1:3124,2:624,3:520,505:25,10:1,507:25,8:50,13:100}	
110103	美九	{510314:30}	{1:31248,2:7257,3:5208,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:8,56:0}	{1:3645,2:728,3:607,505:30,10:1,507:30,8:50,13:100}	
110104	美九	{510314:60}	{1:33852,2:7862,3:5642,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:8,56:0}	{1:4166,2:832,3:694,505:40,10:1,507:40,8:50,13:100}	
110105	美九	{510314:120}	{1:36456,2:8467,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:8,56:0}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
110106	美九	{510314:120}	{1:36456,2:8467,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:8,56:0}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
110107	美九	{510314:120}	{1:36456,2:8467,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,14:8,56:0}	{1:4687,2:936,3:781,505:50,10:1,507:50,8:50,13:100}	
