编号	剧本号	顺序	名称	数据类型(只有CG0，正常对话1）	文本内容	跳转（选项）	路径1	人物展示1	位置1	动作1	人物面部1	大小1	表情路径1	表情展示1	表情动作1	路径2	人物展示2	位置2	动作2	人物面部2	大小2	路径3	人物展示3	位置3	动作3	人物面部3	大小3	电话表现路径	电话表现动作	语音	特效	背景	背景大小	背景出现	cg	CG锁定时间	bgm	视频	视频
1001009	1001	9		1	「你是谁啊？我不认识你。」	1001012	modle/bust/bust_10204	bust_10204.model.json	2	id_pose_3	id_look_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_jiaoshi.png	1	0	0	0	sound/bgm/date_002.mp3	0	0
1001010	1001	10		1	「你怎么知道我的名字？」	1001012	modle/bust/bust_10204	bust_10204.model.json	2	id_pose_3	id_look_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_jiaoshi.png	1	0	0	0	sound/bgm/date_002.mp3	0	0
1001011	1001	11		1	「我好像在哪里见过你。」	1001012	modle/bust/bust_10204	bust_10204.model.json	2	id_pose_3	id_look_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_jiaoshi.png	1	0	0	0	sound/bgm/date_002.mp3	0	0
1001012	1001	12	鸢一折纸	1	「不记得了么？」	1001013	modle/bust/bust_10204	bust_10204.model.json	2	id_pose_4	id_look_1	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.2	0	0	0	0	0	0
1001013	1001	13	1	1	「唔……」	1001014	1	1	2	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.2	0	0	0	0	0	0
1001014	1001	14	鸢一折纸	1	「是么，没关系。」	1001015	modle/bust/bust_10204	bust_10204.model.json	2	id_pose_5	id_look_1	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sound/role/zhezhi/ORIGAMI_17.mp3	0	1	1.2	0	0	0	0	0	0
1001015	1001	15		1	那位少女并没有表现出失望，短短地说了一句之后走向了靠窗边的座位。	1001016	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1001016	1001	16	1	1	「什么啊？」	1001017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1001017	1001	17		1	教室的窗户玻璃突然开始噼哩噼哩地摇晃着，街上响彻刺耳的[警报声]。	1001018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1001018	1001	18	广播	1	「请注意！请注意！观测到了前震，预想为空间震即将发生。」	1001019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	sound/bgm/date_004.mp3	0	0
1001019	1001	19	广播	1	「请迅速到最近的避难所里进行避难！再重复一遍……」	1001020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1001020	1001	20		1	我一边前往避难室避难，一边从手机中选出妹妹“五河琴里”的名字拨出电话。	1001021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_xuexiaozoulang.png	1	2	0	0	0	0	0
1001021	1001	21		1	但是电话打不通，不管试几次，结果都是一样的。	1001022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1001022	1001	22		1	我回想起今天早上和妹妹约定——放学之后在家庭餐厅会合。	1001023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1001023	1001	23	1	1	「杀你？」	1001024-1001025-1001026	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_6	id_look_13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_jietou.png	1	2	0	0	sound/bgm/date_004.mp3	video/cg_zhuxian1.mp4	video/CG2_shixiangchidao.mp4
1001024	1001	24		1	「我第一次见你，怎么会杀你呢？」	1001027	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_2	id_look_13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_jietou.png	1	0	0	0	0	0	0
1001025	1001	25		1	「我并不是你的对手啊。」	1001027	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_2	id_look_13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_jietou.png	1	0	0	0	sound/bgm/date_004.mp3	0	0
1001026	1001	26		1	「有话好好说，先把刀放下。」	1001027	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_2	id_look_13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_jietou.png	1	0	0	0	sound/bgm/date_004.mp3	0	0
1001027	1001	27		1	那位少女将混合着震惊和猜疑的视线投向了我。	1001028	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_3	id_look_7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	sound/bgm/date_004.mp3	0	0
1001028	1001	28	无名少女	1	「哼，那你到底是谁？」	1001029	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_3	id_look_13	1	modle/bust/bust_103_eff	bust_eff.model.json	id_angry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sound/role/shixiang/TOUKA_S_05.mp3	0	1	1	0	0	0	0	0	0
1001029	1001	29	无名少女	1	「什么？!吵闹的东西又飞来了么？」	1001030	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_2	id_look_7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sound/role/shixiang/TOUKA_HENTEN_07.mp3	0	scene/bg/bg_jietou.png	1	0	0	0	sound/bgm/date_004.mp3	0	0
1001030	1001	30		1			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_jietou.png	1	0	0	0	0	video/cg_zhezhichuchang2.mp4	video/cg_shixiangvszhezhi.mp4
1005001	1005	1	1	1	「嗯？我是被冲击波震动得昏过去了吗？头好疼啊。」	1005002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_black.png	1	0	0	0	0	0	0
1005002	1005	2		1	我在一个充满了[科技感]的大厅里醒来，眼前一切都很陌生。	1005003	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_1	id_look_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_zhihuibu.png	1	2	0	0	sound/bgm/date_002.mp3	video/cg3_qinlichuxian.mp4	0
1005003	1005	3	五河琴里	1	「%s，你愣着干什么？真是的。」	1005004-1005005	1	1	2	id_pose_1	id_look_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sound/role/qinli/KOTORI_S_15.mp3	0	1	1	0	0	0	0	0	0
1005004	1005	4		1	「琴里你没事吧？遇到空间震怎么不躲？」	1005006	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_1	id_look_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_zhihuibu.png	1	0	0	0	sound/bgm/date_002.mp3	0	0
1005005	1005	5		1	「这里是哪里？我为什么会在这里啊！？」	1005006	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_1	id_look_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_zhihuibu.png	1	0	0	0	sound/bgm/date_002.mp3	0	0
1005006	1005	6	五河琴里	1	「吵死了，嚷嚷什么啊！冷静点。」	1005007	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_2	id_look_10	1	modle/bust/bust_103_eff	bust_eff.model.json	id_angry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sound/role/qinli/KOTORI_S_12.mp3	0	1	1	0	0	0	0	0	0
1005007	1005	7		1	我感觉现在的琴里稍微和平时有一些不一样。	1005008	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_3	id_look_10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005008	1005	8		1	打扮，口吻，还有全身散发出来的气质都不尽相同。	1005009	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005009	1005	9	1	1	「你没事吧？我看到GPS定位，以为你还在[餐厅门口]等我。」	1005010	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005010	1005	10	五河琴里	1	「[餐厅]么？这里确实是餐厅上方，不过是一万五千米处。」	1005011	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_7	id_look_3	1	modle/bust/bust_103_eff	bust_eff.model.json	id_idea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sound/role/qinli/KOTORI_S_25.mp3	0	1	1	0	0	0	0	0	0
1005011	1005	11	1	1	「这到底是怎么一回事啊？完全搞不清楚状况，脑中乱成一团了。」	1005012	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_5	id_look_5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005012	1005	12	五河琴里	1	「这个，今天你在街道上遇到的少女，她是[精灵。]」	1005013	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_9	id_look_4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005013	1005	13		1	琴里向我展示了今天那位神秘少女的照片。	1005014-1005015-1005016	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005014	1005	14		1	「精灵是什么？」	1005017	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_9	id_look_4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_zhihuibu.png	1	0	0	0	sound/bgm/date_002.mp3	0	0
1005015	1005	15		1	「她为什么会出现在那里？」	1005017	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_9	id_look_4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_zhihuibu.png	1	0	0	0	sound/bgm/date_002.mp3	0	0
1005016	1005	16		1	「她看起来很危险的样子。」	1005017	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_9	id_look_4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_zhihuibu.png	1	0	0	0	sound/bgm/date_002.mp3	0	0
1005017	1005	17	五河琴里	1	「她是本来不存在这个世界的东西，只要她出现在这个世界，就会将附近的一切都炸掉。」	1005018	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005018	1005	18	五河琴里	1	「[空间震]这个现象，也就是像她这样的精灵，出现在这个世界上的时候带来的余波。」	1005019	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_7	id_look_5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005019	1005	19	1	1	「什么？」	1005020	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005020	1005	20		1	我下意识地皱紧了眉头，空间震……	1005021	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005021	1005	21		1	我原以为是自然灾害，原来竟然是因为那个少女。	1005022	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005022	1005	22	五河琴里	1	「和精灵对战的女人，是AST成员，她们负责[处理]精灵。」	1005023	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_14	id_look_9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005023	1005	23	1	1	「那个……[“处理”]的意思是什么？」	1005024	1	1	2	id_pose_14	id_look_3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005024	1005	24	五河琴里	1	「就是[杀掉。]」	1005025	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005025	1005	25		1	琴里满不在乎地点了点头。	1005026	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_5	id_look_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005026	1005	26	1	1	「只能杀掉她？没有别的办法了吗？」	1005027	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005027	1005	27		1	我又回想起那个无名少女的眼神，不知道为什么，我很在意她。	1005028	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1005028	1005	28	五河琴里	1	「对付精灵的方法，大致分为两种：其一就是AST那样的战力[歼灭]方法。」	1005029	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_5	id_look_4	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.2	0	0	0	0	0	0
1005029	1005	29	五河琴里	1	「还有一种是与精灵[对话]的方法，争取在不杀掉精灵的情况下解决空间震。」	1005030	1	1	2	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.2	0	0	0	0	0	0
1005030	1005	30	1	1	「要怎么做呢？」	1005031	1	1	2	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.2	0	0	0	0	0	0
1005031	1005	31	五河琴里	1	「和精灵[恋爱]，这个只有%s才能做到哦。」	1005032	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_4	id_look_4	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.2	0	0	0	0	0	0
1005032	1005	32	1	1	「这是什么方法啊？别开玩笑，而且为什么是我啊？」	1005033	1	1	2	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.2	0	0	0	0	0	0
1005033	1005	33	五河琴里	1	「本来Ratatoskr就是是由%s与精灵交涉，解决精灵问题的组织啊。」	1005034	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_7	id_look_9	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.2	0	0	0	0	0	0
1005034	1005	34	五河琴里	1	「嘛，%s是[特别]的。」	1005035	modle/bust/bust_10505	bust_10505.model.json	2	id_pose_7	id_look_4	1.2	modle/bust/bust_103_eff	bust_eff.model.json	id_heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.2	0	0	0	0	0	0
1005035	1005	35	1	1	「那个……我需要做什么呢？」	1005036	1	1	2	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.2	0	0	0	0	0	0
1005036	1005	36	五河琴里	1	「笨蛋，当然是开始[训练]啦！」		modle/bust/bust_10505	bust_10505.model.json	2	id_pose_6	id_look_4	1.2	modle/bust/bust_103_eff	bust_eff.model.json	id_surprise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sound/role/qinli/KOTORI_S_24.mp3	0	1	1.2	0	0	0	0	0	0
1006001	1006	1	五河琴里	1	「%s，[空间震预警！]」	1006002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	effect/dianhua/dianhua	dianhua	sound/role/qinli/KOTORI_S_16.mp3	0	scene/bg/bg_jiejiao.png	1	2	0	0	sound/bgm/date_004.mp3	0	0
1006002	1006	2	1	1	「果然，是精灵么？」	1006003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0
1006003	1006	3	五河琴里	1	「预测的出现地点是你的[学校]哦。做好准备马上开工！」	1006004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	effect/dianhua/dianhua	dianhua	0	0	1	1	0	0	0	0	0	0
1006004	1006	4	1	1	「哎？不会这么巧吧！」	1006005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1006005	1006	5		1	我在荒凉的废墟上，真的看到了那日遇见的少女。	1006006	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_6	id_look_13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_pohuaixuexiao.png	1	2	0	0	0	0	0
1006006	1006	6	无名少女	1	「嗯?」	1006007	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sound/role/shixiang/TOUKA_S_11.mp3	0	1	1	0	0	0	sound/bgm/date_001.mp3	0	0
1006007	1006	7	1	1	「你……你好！」	1006008	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1006008	1006	8	五河琴里	1	「%s！小心。」	1006009-1006010-1006011	1	1	2	0	0	1	modle/bust/bust_103_eff	bust_eff.model.json	id_surprise	0	0	0	0	0	0	0	0	0	0	0	0	effect/dianhua/dianhua	dianhua	0	0	1	1	0	0	0	0	0	0
1006009	1006	9		1	「呀啊，你好，又见面了啊，我……」	1006012	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_6	id_look_13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_pohuaixuexiao.png	1	0	0	0	sound/bgm/date_001.mp3	0	0
1006010	1006	10		1	「嗨~好巧，你为什么在这种地方呢？」	1006012	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_6	id_look_13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_pohuaixuexiao.png	1	0	0	0	sound/bgm/date_001.mp3	0	0
1006011	1006	11		1	「啊，这里的景色真美啊。」	1006012	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_6	id_look_13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_pohuaixuexiao.png	1	0	0	0	sound/bgm/date_001.mp3	0	0
1006012	1006	12		1	我假装熟络地和那位少女打招呼，她却再次用剑指向了我。	1006013	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	sound/bgm/date_004.mp3	0	0
1006013	1006	13	1	1	「等......等等！我不是[敌人]！」	1006014	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1006014	1006	14	无名少女	1	「又是你？你到底是什么人？」	1006015	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_2	id_look_7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sound/role/shixiang/TOUKA_S_16.mp3	0	1	1	0	0	0	0	0	0
1006015	1006	15	1	1	「啊，我是……」	1006016	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_5	id_look_13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1006016	1006	16	五河琴里	1	「等等，出现选项了。」	1006017	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	effect/dianhua/dianhua	dianhua	0	0	1	1	0	0	0	0	0	0
1006017	1006	17	五河琴里	1	「做出[选择]吧%s！五秒之内！快一点！」	1006018	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	effect/dianhua/dianhua	dianhua	0	0	1	1	0	0	0	0	0	0
1006018	1006	18		1	「①「我是来救你的！」②「我是路过的，别杀我」\n③「你先报上自己的名字啊。」	1006019	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0
1006019	1006	19	五河琴里	1	「虽然一眼看上去①是王道。」	1006020	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0
1006020	1006	20	五河琴里	1	「但是在对方对自己抱有敌意的场合说出来的话就太可疑了。而且还稍稍有些令人生厌。」	1006021	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0
1006021	1006	21	五河琴里	1	「如果选②就算万一能够逃掉也没什么进展。」	1006022	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0
1006022	1006	22	五河琴里	1	「③最为合适，做得好的话还能掌握主导权也说不定。」	1006023	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0
1006023	1006	23	无名少女	1	「再问一次，你是什么人？」	1006024	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_9	id_look_13	1.3	modle/bust/bust_103_eff	bust_eff.model.json	id_angry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sound/role/shixiang/TOUKA_S_05.mp3	0	1	1.3	0	0	0	0	0	0
1006024	1006	24		1	少女焦躁地说着，看我的眼神变得更加防备。	1006025-1006026-1006027	1	1	2	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.3	0	0	0	0	0	0
1006025	1006	25		1	「我是来救你的啊！」	1006028	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_6	id_look_13	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_pohuaixuexiao.png	1.3	0	0	0	sound/bgm/date_004.mp3	0	0
1006026	1006	26		1	「我是路过的，请别杀我。」	1006028	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_6	id_look_13	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_pohuaixuexiao.png	1.3	0	0	0	sound/bgm/date_004.mp3	0	0
1006027	1006	27		1	「问别人的名字之前先报上自己的名字。」	1006028	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_6	id_look_13	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_pohuaixuexiao.png	1.3	0	0	0	sound/bgm/date_004.mp3	0	0
1006028	1006	28		1	少女眉头不愉快地皱了起来，两手上扬做出了光球。	1006029	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_10	id_look_13	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.3	0	0	0	0	0	0
1006029	1006	29	1	1	「啊啊啊！请你先告诉我你的[名字]吧！」	1006030	1	1	2	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.3	0	0	0	0	0	0
1006030	1006	30		1	黑色的光球投向了我站着的地方，地板直到二层一层都被贯穿开了个大洞。		modle/bust/bust_10101	bust_10101.model.json	2	id_pose_2	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.3	0	0	0	0	0	0
1008001	1008	1	1	1	「啊啊啊啊别杀我！告诉我你叫什么名字，我就什么都告诉你。」	1008002	modle/bust/bust_10101	bust_10101.model.json	2	id_pose_10	id_look_13	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	scene/bg/bg_pohuaixuexiao.png	1.3	0	0	0	sound/bgm/date_004.mp3	0	0
1008002	1008	2		1	我颤颤巍巍地面对那位迷之少女，对方黑着脸给我下了最后通牒。	1008003	1	1	2	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.3	0	0	0	0	0	0
