0	注释(名称)	名称文字ID	获取途径	道具类型	子类型	小类型	图标	背包类型	排序索引	星级	品质	总上限	是否支持叠加	单格上限	达总上限转换	是否可以批量使用	单次使用上限	出售收益	交易收益	描述	描述文字ID	价值(策划查看)	自动使用	使用消耗	失效时间	使用收益	是否播放出场效果	购买ID（ItemRecover表ID）	删除
510106	6级经验道具	14011	2	6	1	0	icon/item/goods/510106.png	5	1	3	4	9999	1	999		0		{500001:500}		6级经验道具	14012		0		0	{"fix":{"items":[{"id":500006,"num":1000}]}}	0		0
510107	7级经验道具	14013	2	6	1	0	icon/item/goods/510107.png	5	1	4	5	9999	1	999		0		{500001:800}		7级经验道具	14014		0		0	{"fix":{"items":[{"id":500006,"num":1500}]}}	0		0
510108	8级经验道具	14015	2	6	1	0	icon/item/goods/510108.png	5	1	4	5	9999	1	999		0		{500001:800}		8级经验道具	14016		0		0	{"fix":{"items":[{"id":500006,"num":2000}]}}	0		0
510109	9级经验道具	14017	2	6	1	0	icon/item/goods/510109.png	5	1	5	6	9999	1	999		0		{500001:1000}		9级经验道具	14018		0		0	{"fix":{"items":[{"id":500006,"num":3000}]}}	0		0
510110	10级经验道具	14019	2	6	1	0	icon/item/goods/510110.png	5	1	5	6	9999	1	999		0		{500001:1000}		10级经验道具	14020		0		0	{"fix":{"items":[{"id":500006,"num":5000}]}}	0		0
510151	1级金币道具	14051	1	7	1	0	icon/item/goods/510151.png	9	1	1	2	9999	1	999		1		{500001:100}		1级金币道具	14052		0		0	{"fix":{"items":[{"id":500001,"num":100}]}}	0		0
510152	2级金币道具	14053	2-1	7	1	0	icon/item/goods/510152.png	9	1	1	2	9999	1	999		1		{500001:300}		2级金币道具	14054		0		0	{"fix":{"items":[{"id":500001,"num":300}]}}	0		0
510153	3级金币道具	14055	2-1	7	1	0	icon/item/goods/510153.png	9	1	2	3	9999	1	999		1		{500001:500}		3级金币道具	14056		0		0	{"fix":{"items":[{"id":500001,"num":500}]}}	0		0
510154	4级金币道具	14057	2	7	1	0	icon/item/goods/510154.png	9	1	2	3	9999	1	999		1		{500001:750}		4级金币道具	14058		0		0	{"fix":{"items":[{"id":500001,"num":750}]}}	0		0
510155	5级金币道具	14059	2	7	1	0	icon/item/goods/510155.png	9	1	3	4	9999	1	999		1		{500001:1000}		5级金币道具	14060		0		0	{"fix":{"items":[{"id":500001,"num":1000}]}}	0		0
510156	6级金币道具	14061	2	7	1	0	icon/item/goods/510156.png	9	1	3	4	9999	1	999		1		{500001:1500}		6级金币道具	14062		0		0	{"fix":{"items":[{"id":500001,"num":1500}]}}	0		0
510157	7级金币道具	14063	2	7	1	0	icon/item/goods/510157.png	9	1	4	5	9999	1	999		1		{500001:2500}		7级金币道具	14064		0		0	{"fix":{"items":[{"id":500001,"num":2500}]}}	0		0
510158	8级金币道具	14065	2	7	1	0	icon/item/goods/510158.png	9	1	4	5	9999	1	999		1		{500001:5000}		8级金币道具	14066		0		0	{"fix":{"items":[{"id":500001,"num":5000}]}}	0		0
510159	9级金币道具	14067	2	7	1	0	icon/item/goods/510159.png	9	1	5	6	9999	1	999		1		{500001:7500}		9级金币道具	14068		0		0	{"fix":{"items":[{"id":500001,"num":7500}]}}	0		0
510160	10级金币道具	14069	2	7	1	0	icon/item/goods/510160.png	9	1	5	6	9999	1	999		1		{500001:10000}		10级金币道具	14070		0		0	{"fix":{"items":[{"id":500001,"num":10000}]}}	0		0
510201	初级能量液	15001	1	6	2	0	icon/item/goods/510201.png	5	1	1	2	9999	1	999		0		{500001:100}		1星突破道具1	15002		0		0		0		0
510202	灵力残片	15003	1	6	2	0	icon/item/goods/510202.png	5	1	1	2	9999	1	999		0		{500001:100}		1星突破道具2	15004		0		0		0		0
510203	古代碎片	15005	1	6	2	0	icon/item/goods/510203.png	5	1	1	3	9999	1	999		0		{500001:100}		1星突破道具3	15006		0		0		0		0
510204	金属装甲	15007	1	6	2	0	icon/item/goods/510204.png	5	1	1	3	9999	1	999		0		{500001:100}		1星突破道具4	15008		0		0		0		0
510205	喷气加速器	15009	1	6	2	0	icon/item/goods/510205.png	5	1	1	4	9999	1	999		0		{500001:100}		1星突破道具5	15010		0		0		0		0
510206	初级灵力石	15011	1	6	2	0	icon/item/goods/510206.png	5	1	1	4	9999	1	999		0		{500001:100}		1星突破道具6	15012		0		0		0		0
510207	灵之玉	15013	1	6	2	0	icon/item/goods/510207.png	5	1	1	5	9999	1	999		0		{500001:100}		1星突破道具7	15014		0		0		0		0
510208	集成芯片	15015	1	6	2	0	icon/item/goods/510208.png	5	1	1	5	9999	1	999		0		{500001:100}		1星突破道具8	15016		0		0		0		0
510209	中级能量液	15017	1	6	2	0	icon/item/goods/510209.png	5	1	2	2	9999	1	999		0		{500001:300}		2星突破道具1	15018		0		0		0		0
510210	灵力晶体	15019	1	6	2	0	icon/item/goods/510210.png	5	1	2	2	9999	1	999		0		{500001:300}		2星突破道具2	15020		0		0		0		0
510211	古代元件	15021	1	6	2	0	icon/item/goods/510211.png	5	1	2	3	9999	1	999		0		{500001:300}		2星突破道具3	15022		0		0		0		0
510212	合金护盾	15023	1	6	2	0	icon/item/goods/510212.png	5	1	2	3	9999	1	999		0		{500001:300}		2星突破道具4	15024		0		0		0		0
510213	涡轮增压器	15025	1	6	2	0	icon/item/goods/510213.png	5	1	2	4	9999	1	999		0		{500001:300}		2星突破道具5	15026		0		0		0		0
510214	中级灵力石	15027	1	6	2	0	icon/item/goods/510214.png	5	1	2	4	9999	1	999		0		{500001:300}		2星突破道具6	15028		0		0		0		0
510215	苍之玉	15029	1	6	2	0	icon/item/goods/510215.png	5	1	2	5	9999	1	999		0		{500001:300}		2星突破道具7	15030		0		0		0		0
510216	超级芯片	15031	1	6	2	0	icon/item/goods/510216.png	5	1	2	5	9999	1	999		0		{500001:300}		2星突破道具8	15032		0		0		0		0
510217	高级能量液	15033	1	6	2	0	icon/item/goods/510217.png	5	1	3	2	9999	1	999		0		{500001:500}		3星突破道具1	15034		0		0		0		0
510218	灵能水晶	15035	1	6	2	0	icon/item/goods/510218.png	5	1	3	2	9999	1	999		0		{500001:500}		3星突破道具2	15036		0		0		0		0
510219	能源三角	15037	1	6	2	0	icon/item/goods/510219.png	5	1	3	3	9999	1	999		0		{500001:500}		3星突破道具3	15038		0		0		0		0
510220	高斯枪管	15039	1	6	2	0	icon/item/goods/510220.png	5	1	3	3	9999	1	999		0		{500001:500}		3星突破道具4	15040		0		0		0		0
510221	电子脉冲器	15041	1	6	2	0	icon/item/goods/510221.png	5	1	3	4	9999	1	999		0		{500001:500}		3星突破道具5	15042		0		0		0		0
510222	高级灵力石	15043	1	6	2	0	icon/item/goods/510222.png	5	1	3	4	9999	1	999		0		{500001:500}		3星突破道具6	15044		0		0		0		0
510223	星之玉	15045	1	6	2	0	icon/item/goods/510223.png	5	1	3	5	9999	1	999		0		{500001:500}		3星突破道具7	15046		0		0		0		0
510224	纳米芯片	15047	1	6	2	0	icon/item/goods/510224.png	5	1	3	5	9999	1	999		0		{500001:500}		3星突破道具8	15048		0		0		0		0
510225	特级能量液	15049	1	6	2	0	icon/item/goods/510225.png	5	1	4	2	9999	1	999		0		{500001:800}		4星突破道具1	15050		0		0		0		0
510226	灵能结晶	15051	1	6	2	0	icon/item/goods/510226.png	5	1	4	2	9999	1	999		0		{500001:800}		4星突破道具2	15052		0		0		0		0
510227	魔能立方	15053	1	6	2	0	icon/item/goods/510227.png	5	1	4	3	9999	1	999		0		{500001:800}		4星突破道具3	15054		0		0		0		0
510228	次元护盾	15055	1	6	2	0	icon/item/goods/510228.png	5	1	4	3	9999	1	999		0		{500001:800}		4星突破道具4	15056		0		0		0		0
510229	核能推进器	15057	1	6	2	0	icon/item/goods/510229.png	5	1	4	4	9999	1	999		0		{500001:800}		4星突破道具5	15058		0		0		0		0
510230	特级灵力石	15059	1	6	2	0	icon/item/goods/510230.png	5	1	4	4	9999	1	999		0		{500001:800}		4星突破道具6	15060		0		0		0		0
510231	月之玉	15061	1	6	2	0	icon/item/goods/510231.png	5	1	4	5	9999	1	999		0		{500001:800}		4星突破道具7	15062		0		0		0		0
510232	智能芯片	15063	1	6	2	0	icon/item/goods/510232.png	5	1	4	5	9999	1	999		0		{500001:800}		4星突破道具8	15064		0		0		0		0
510233	超级能量液	15065	1	6	2	0	icon/item/goods/510233.png	5	1	5	2	9999	1	999		0		{500001:1000}		5星突破道具1	15066		0		0		0		0
510234	灵能晶源	15067	1	6	2	0	icon/item/goods/510234.png	5	1	5	2	9999	1	999		0		{500001:1000}		5星突破道具2	15068		0		0		0		0
510235	虚数空间	15069	1	6	2	0	icon/item/goods/510235.png	5	1	5	3	9999	1	999		0		{500001:1000}		5星突破道具3	15070		0		0		0		0
510236	多维剑刃	15071	1	6	2	0	icon/item/goods/510236.png	5	1	5	3	9999	1	999		0		{500001:1000}		5星突破道具4	15072		0		0		0		0
510237	量子动能器	15073	1	6	2	0	icon/item/goods/510237.png	5	1	5	4	9999	1	999		0		{500001:1000}		5星突破道具5	15074		0		0		0		0
510238	超级灵力石	15075	1	6	2	0	icon/item/goods/510238.png	5	1	5	4	9999	1	999		0		{500001:1000}		5星突破道具6	15076		0		0		0		0
510239	日之玉	15077	1	6	2	0	icon/item/goods/510239.png	5	1	5	5	9999	1	999		0		{500001:1000}		5星突破道具7	15078		0		0		0		0
510240	质子芯片	15079	1	6	2	0	icon/item/goods/510240.png	5	1	5	5	9999	1	999		0		{500001:1000}		5星突破道具8	15080		0		0		0		0
510301	灵装十香碎片	16001	11-4-1	6	3	0	icon/item/goods/510301.png	5	1		3	9999	1	999		0		{570002:4}		灵装十香碎片	16002		0		0		0		0
510302	强化十香碎片	16003		6	3	0	icon/item/goods/510302.png	5	1		6	9999	1	999		0		{570002:7}		强化十香碎片	16004		0		0		0		0
510303	反转十香碎片	16005	1-4	6	3	0	icon/item/goods/510303.png	5	1		6	9999	1	999		0		{570002:7}		反转十香碎片	16006		0		0		0		0
510304	AST折纸碎片	16007	11-4-1	6	3	0	icon/item/goods/510304.png	5	1		2	9999	1	999		0		{570002:3}		AST1折纸碎片	16008		0		0		0		0
510306	灵装四糸乃碎片	16011	11-4-1	6	3	0	icon/item/goods/510306.png	5	1		2	9999	1	999		0		{570002:3}		灵装四糸乃碎片	16012		0		0		0		0
510307	灵装狂三碎片	16013	11-4	6	3	0	icon/item/goods/510307.png	5	1		5	9999	1	999		0		{570002:6}		灵装狂三碎片	16014		0		0		0		0
510308	灵装琴里碎片	16015	11-4	6	3	0	icon/item/goods/510308.png	5	1		5	9999	1	999		0		{570002:6}		灵装琴里碎片	16016		0		0		0		0
510309	DEM真那碎片	16017	11-4-1	6	3	0	icon/item/goods/510309.png	5	1		3	9999	1	999		0		{570002:4}		DEM真那碎片	16018		0		0		0		0
510310	AST真那碎片	16019		6	3	0	icon/item/goods/510310.png	5	1		6	9999	1	999		0		{570002:6}		AST真那碎片	16020		0		0		0		0
510311	灵装耶俱矢碎片	16021	11-4-1	6	3	0	icon/item/goods/510311.png	5	1		4	9999	1	999		0		{570002:4}		灵装耶俱矢碎片	16022		0		0		0		0
510312	灵装夕弦碎片	16023	11-4-1	6	3	0	icon/item/goods/510312.png	5	1		4	9999	1	999		0		{570002:4}		灵装夕弦碎片	16024		0		0		0		0
510313	DEM艾伦碎片	16025	1-4	6	3	0	icon/item/goods/510313.png	5	1		6	9999	1	999		0		{570002:7}		DEM1艾伦碎片	16026		0		0		0		0
510314	灵装美九碎片	16027	11-4-1	6	3	0	icon/item/goods/510314.png	5	1		4	9999	1	999		0		{570002:4}		灵装美九碎片	16028		0		0		0		0
510315	灵装万由里碎片	16029		6	3	0	icon/item/goods/510315.png	5	1		6	9999	1	999		0		{570002:7}		灵装万由里碎片	16030		0		0		0		0
520001	5星蔷薇套质点	22001		7	0	0	icon/item/goods/520001.png	9	1	0	6	999	1	999		0		{570001:2000}		开启后可获得一件随机的蔷薇套装系列质点。	22002		0		0	{"roll":{"count":1,"items":[{"id":250060,"min":1,"max":1,"weight":100},{"id":250061,"min":1,"max":1,"weight":100},{"id":250062,"min":1,"max":1,"weight":100}]}}	0		0
520002	5星领袖套质点	22003		7	0	0	icon/item/goods/520002.png	9	1	0	6	999	1	999		0		{570001:2000}		开启后可获得一件随机的领袖套装系列质点。	22004		0		0	{"roll":{"count":1,"items":[{"id":250071,"min":1,"max":1,"weight":100},{"id":250073,"min":1,"max":1,"weight":100},{"id":250075,"min":1,"max":1,"weight":100}]}}	0		0
520003	5星天神套质点	22005		7	0	0	icon/item/goods/520003.png	9	1	0	6	999	1	999		0		{570001:2000}		开启后可获得一件随机的天神套装系列质点。	22006		0		0	{"roll":{"count":1,"items":[{"id":250083,"min":1,"max":1,"weight":100},{"id":250085,"min":1,"max":1,"weight":100},{"id":250086,"min":1,"max":1,"weight":100}]}}	0		0
520004	5星战姬套质点	22007		7	0	0	icon/item/goods/520004.png	9	1	0	6	999	1	999		0		{570001:2000}		开启后可获得一件随机的战姬套装系列质点。	22008		0		0	{"roll":{"count":1,"items":[{"id":250096,"min":1,"max":1,"weight":100},{"id":250098,"min":1,"max":1,"weight":100},{"id":250099,"min":1,"max":1,"weight":100}]}}	0		0
520005	5星圣灵套质点	22009		7	0	0	icon/item/goods/520005.png	9	1	0	6	999	1	999		0		{570001:2000}		开启后可获得一件随机的圣灵套装系列质点。	22010		0		0	{"roll":{"count":1,"items":[{"id":250107,"min":1,"max":1,"weight":100},{"id":250108,"min":1,"max":1,"weight":100},{"id":250109,"min":1,"max":1,"weight":100}]}}	0		0
520006	体力药剂	22011		7	0	0	icon/item/goods/520006.png	9	1	0	5	999	1	999		1		{500001:100}		使用后可获得30点体力。	22012		0		0	{"fix":{"items":[{"id":500004,"num":30}]}}			0
531001	十香-打工1特殊道具1【三色团子】	19001		8	3	1	icon/item/gift/531001.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具1	19002		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}	0		0
531002	十香-打工1特殊道具2	19003		8	3	1	icon/item/gift/531002.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具2	19004		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}	0		0
531003	折纸-打工1特殊道具1	19005		8	3	1	icon/item/gift/531003.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具3	19006		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}	0		0
531004	折纸-打工1特殊道具2	19007		8	3	1	icon/item/gift/531004.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具4	19008		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}	0		0
531005	四糸乃-打工1特殊道具1【熊猫吐司】	19009		8	3	1	icon/item/gift/531005.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具5	19010		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}	0		0
531006	四糸乃-打工1特殊道具2	19011		8	3	1	icon/item/gift/531006.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具6	19012		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}	0		0
531007	狂三-打工1特殊道具1【巧克力礼盒】	19013		8	3	1	icon/item/gift/531007.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具7	19014		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}	0		0
531008	狂三-打工1特殊道具2	19015		8	3	1	icon/item/gift/531008.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具8	19016		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}	0		0
531009	琴里-打工1特殊道具1	19017		8	3	1	icon/item/gift/531009.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具9	19018		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}	0		0
531010	琴里-打工1特殊道具2	19019		8	3	1	icon/item/gift/531010.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具10	19020		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}	0		0
531011	十香-打工2特殊道具1	19021		8	3	1	icon/item/gift/531011.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具11	19022		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}	0		0
531012	十香-打工2特殊道具2	19023		8	3	1	icon/item/gift/531012.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具12	19024		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}	0		0
531013	折纸-打工2特殊道具1	19025		8	3	1	icon/item/gift/531013.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具13	19026		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}	0		0
531014	折纸-打工2特殊道具2	19027		8	3	1	icon/item/gift/531014.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具14	19028		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}	0		0
531015	四糸乃-打工2特殊道具1	19029		8	3	1	icon/item/gift/531015.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具15	19030		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}	0		0
531016	四糸乃-打工2特殊道具2	19031		8	3	1	icon/item/gift/531016.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具16	19032		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}	0		0
531017	狂三-打工2特殊道具1	19033		8	3	1	icon/item/gift/531017.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具17	19034		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}	0		0
531018	狂三-打工2特殊道具2	19035		8	3	1	icon/item/gift/531018.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具18	19036		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}	0		0
531019	琴里-打工2特殊道具1	19037		8	3	1	icon/item/gift/531019.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具19	19038		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}	0		0
531020	琴里-打工2特殊道具2	19039		8	3	1	icon/item/gift/531020.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具20	19040		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}	0		0
531021	十香-打工3特殊道具1	19041		8	3	1	icon/item/gift/531020.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具20	19042		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}			
531022	十香-打工3特殊道具2	19043		8	3	1	icon/item/gift/531020.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具20	19044		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}			
531023	折纸-打工3特殊道具1	19045		8	3	1	icon/item/gift/531020.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具20	19046		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}			
531024	折纸-打工3特殊道具2	19047		8	3	1	icon/item/gift/531020.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具20	19048		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}			
531025	四糸乃-打工3特殊道具1	19049		8	3	1	icon/item/gift/531020.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具20	19050		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}			
531026	四糸乃-打工3特殊道具2	19051		8	3	1	icon/item/gift/531020.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具20	19052		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}			
531027	狂三-打工3特殊道具1	19053		8	3	1	icon/item/gift/531020.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具20	19054		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}			
531028	狂三-打工3特殊道具2	19055		8	3	1	icon/item/gift/531020.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具20	19056		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}			
531029	琴里-打工3特殊道具1	19057		8	3	1	icon/item/gift/531020.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具20	19058		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}			
531030	琴里-打工3特殊道具2	19059		8	3	1	icon/item/gift/531020.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具20	19060		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}			
531031	十香-打工4特殊道具1【面包抱枕】	19061		8	3	1	icon/item/gift/531031.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具20	19062		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}			
531032	十香-打工4特殊道具2	19063		8	3	1	icon/item/gift/531020.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具20	19064		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}			
531033	折纸-打工4特殊道具1【猫耳发夹】	19065		8	3	1	icon/item/gift/531033.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具20	19066		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}			
531034	折纸-打工4特殊道具2	19067		8	3	1	icon/item/gift/531020.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具20	19068		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}			
531035	四糸乃-打工4特殊道具1【乐高积木】	19069		8	3	1	icon/item/gift/531035.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具20	19070		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}			
531036	四糸乃-打工4特殊道具2	19071		8	3	1	icon/item/gift/531020.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具20	19072		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}			
531037	狂三-打工4特殊道具1【猫咪玩偶】	19073		8	3	1	icon/item/gift/531037.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具20	19074		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}			
531038	狂三-打工4特殊道具2	19075		8	3	1	icon/item/gift/531020.png	12	1	4	5	999	1	999		0		{500018:10}		特殊道具20	19076		0		0	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":30}]}}			
531039	琴里-打工4特殊道具1	19077		8	3	1	icon/item/gift/531020.png	12	1	3	5	999	1	999		0		{500018:10}		特殊道具20	19078		0		0	{"fix":{"items":[{"id":500007,"num":15},{"id":500008,"num":20}]}}			
