	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
2100007	2101001	2	{}		100		……	1	{}			{}	{}					2100008		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2100008	2101001	2	{}		100		我扶着长椅大口喘着气，从脸颊两侧留下的汗滴在不停颤抖着的双腿上	1	{}			{}	{}					2100009		1			id_pose_2		id_look_2			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2100009	2101001	2	{}		100		看来平时锻炼还不够，这么一会儿就感觉身体严重透支了	1	{}			{}	{}				1	2100010		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2100010	2101001	2	{}		100		揉着酸痛的老胳膊老腿，好不容易缓了过来，一抬头就看见十香无比鄙视的表情	1	{}			{}	{}					2101101-2101201-2101301	5	1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2101101	2101001	2	{}		100	1	「昨晚吃坏了肚子，可……可恶」	1	{}			{}	{}					2101102	1	10107			id_pose_2		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_001.mp3									-30	1						{}	{}					{}	{}		{}		
2101201	2101001	2	{}		100	1	「我的膝盖曾经中过一箭」	1	{}			{}	{}					2101202	1	10107			id_pose_2		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_001.mp3									-10	1						{}	{}					{}	{}		{}		
2101301	2101001	2	{}		100	1	「膜拜！不愧是十香！」	1	{}			{}	{}					2101302	1	10107			id_pose_2		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2101102	2101001	2	{}		100	夜刀神十香	「诶？昨天明明一起吃的晚饭」	1	{}			{}	{}					2101103		1			id_pose_6		id_look_7	103_eff	id_angry	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2101103	2101001	2	{}		100	1	「不……其实我……」	1	{}			{}	{}					2101104		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2101104	2101001	2	{}		100	夜刀神十香	「哦，我明白了， %s 昨晚还偷偷吃了其他东西」	1	{}			{}	{}					2101105		1			id_pose_10		id_look_8	103_eff	id_gas	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_9.mp3								1						{}	{}					{}	{}		{}		
2101105	2101001	2	{}		100	夜刀神十香	「哼，这就是偷吃的下场」	1	{}			{}	{}					2101106		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2101106	2101001	2	{}		100		原本想糊弄过去，没想到居然被十香说教了，真是丢人	1	{}			{}	{}					2101107		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2101107	2101001	2	{}		100	1	「话说十香为什么突然起了跑步的念头」	1	{}			{}	{}					2101108	2	1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2101108	2101001	2	{}		100		迅速转移话题	1	{}			{}	{}					2101109		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2101109	2101001	2	{}		100	夜刀神十香	「唔姆……还……还不是因为 %s 的缘故！」	1	{}			{}	{}					2101110		1			id_pose_9		id_look_12	103_eff	id_angry	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2101110	2101001	2	{}		100	1	「哦，这样啊……诶！关我什么事啊！」	1	{}			{}	{}					2101111		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2101111	2101001	2	{}		100	夜刀神十香	「哼！电视上说了，男生都喜欢苗条的女生，说是跑步能够变瘦，所以……」	1	{}			{}	{}					2101112		1			id_pose_9		id_look_7			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2101112	2101001	2	{}		100		说完十香低头盯着自己的胸部，很是苦恼的样子……	1	{}			{}	{}					2101113		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2101113	2101001	2	{}		100	1	「十香身材已经非常完美啦！」	1	{}			{}	{}					2101114		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2101114	2101001	2	{}		100	夜刀神十香	「诶！真的么 %s ！」	1	{}			{}	{}					2101115		1			id_pose_7		id_look_10	103_eff	id_heart	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2101115	2101001	2	{}		100	1	「是真的。」	1	{}			{}	{}					2101116		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2101116	2101001	2	{}		100	夜刀神十香	「真的是真的么？」	1	{}			{}	{}					2101117		1			id_pose_7		id_look_8			2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2101117	2101001	2	{}		100	1	「真的是真的。」	1	{}			{}	{}					2101118		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2101118	2101001	2	{}		100	夜刀神十香	「真的真的是真的么？」	1	{}			{}	{}					2101119		1			id_pose_7		id_look_5			2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2101119	2101001	2	{}		100	1	「真的真的是真的！」	1	{}			{}	{}					2101120		1								2	{}	1.4										{}											{}										1.3		{}											1						{}	{}					{}	{}		{}		
2101120	2101001	2	{}		100	夜刀神十香	「……唔、唔姆，姑且就相信你一次吧」	1	{}			{}	{}					2101121		1			id_pose_7		id_look_2	103_eff	id_sweat	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2101121	2101001	2	{}		100		哈……虽然说的确实是实话，不过这样直白还是让人有些不好意思	1	{}			{}	{}					2101122		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2101122	2101001	2	{}		100	夜刀神十香	「唔…… %s ……」	1	{}			{}	{}					2101123		1			id_pose_6		id_look_5			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2101123	2101001	2	{}		100	1	「怎么啦，十香？」	1	{}			{}	{}					2101124		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2101124	2101001	2	{}		100	夜刀神十香	「刚才运动了这么久，肚子有些饿，也有些口渴了」	1	{}			{}	{}					2101125		1			id_pose_6		id_look_8			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2101125	2101001	2	{}		100		十香犹豫了一会最终鼓起勇气说道。	1	{}			{}	{}					2201101		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2101202	2101001	2	{}		100	夜刀神十香	「在哪里受伤的！？又是AST么，可恶的折纸……」	1	{}			{}	{}					2101203		1			id_pose_2		id_look_13	103_eff	id_gas	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_9.mp3								1						{}	{}					{}	{}		{}		
2101203	2101001	2	{}		100	1	「不……其实我……」	1	{}			{}	{}					2101204		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2101204	2101001	2	{}		100		看来折纸在十香心中留下了不少的阴影	1	{}			{}	{}					2101107		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2101302	2101001	2	{}		100	夜刀神十香	「哼……那是当然」	1	{}			{}	{}					2101303		1			id_pose_11		id_look_3			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2101303	2101001	2	{}		100	夜刀神十香	「如果不是一直在适应 %s 的速度，我自己早就完成“环公园短跑10圈”计划了」	1	{}			{}	{}					2101304		1			id_pose_11		id_look_2			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2101304	2101001	2	{}		100		……这已经不是短跑了吧	1	{}			{}	{}					2101107		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2201101	2101001	2	{}		100	1	「那我们去面包店买些吃的吧」	1	{}			{}	{}					2201102	6	10107			id_pose_6		id_look_8			2	{}	1.2										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_001.mp3									10	1						{}	{}					{}	{}		{}		
2201201	2101001	2	{}		100	1	「那我们去水吧喝点饮料吧」	1	{}			{}	{}					2201102	7	10107			id_pose_6		id_look_8			2	{}	1.2										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_001.mp3									10	1						{}	{}					{}	{}		{}		
2201301	2101001	2	{}		100	1	「那我们去豪华餐厅吃大餐吧」	1	{}			{}	{}					2201102	7	10107			id_pose_6		id_look_8			2	{}	1.2										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_001.mp3									10	1						{}	{}					{}	{}		{}		
2201102	2101001	2	{}		100	夜刀神十香	「唔姆！今天一定要吃到饱！」	1	{}			{}	{}					2201103	2	1			id_pose_6		id_look_4	103_eff	id_sun	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2201103	2101001	2	{}		100		前一秒还在考虑减肥的事情，接着就要去饱餐一顿	1	{}			{}	{}					2201104											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2201104	2101001	2	{}		100		果然……十香就是十香啊，哈哈……	1	{}			{}	{}					2201105											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2201105	2101001	2	{}		100	夜刀神十香	「 %s 你太慢啦！快点快点！」	1	{}			{}	{}					2201106		10107			id_pose_10		id_look_5	103_eff	id_gas	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2201106	2101001	2	{}		100	1	「好啦……来啦来啦……」	1	{}			{}	{}					1002201107		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
1002201107	2101001	2	{}		100			1	{}			{}	{}					2201107											{}											{}											{}							scene/bg/bg_meishijie.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
2201107	2101001	2	{}		100		就这样被十香像是行李一样拖到了美食街	1	{}			{}	{}					2201108											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2201108	2101001	2	{}		100		因为刚好是中午时间，美食街的每个角落都几乎是人满为患，一些餐厅的顾客甚至都排队排到了路边	1	{}			{}	{}				1	2201109											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2201109	2101001	2	{}		100		十香皱起眉头，一副很困扰的样子	1	{}			{}	{}					2301101-2301201-2301301	5				id_pose_10		id_look_8				{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301101	2101001	2	{}		100	1	「我们可以在附近先逛逛」	1	{}			{}	{}					2301102	1	10107			id_pose_10		id_look_8			2	{}	1.2										{}											{}							scene/bg/bg_meishijie.png			1	-1	{}	sound/bgm/date_001.mp3									10							{}	{}					{}	{}		{}		
2301201	2101001	2	{}		100	1	「只好去面包店排队了」	1	{}			{}	{}					2301202	1	10107			id_pose_10		id_look_8			2	{}	1.2										{}											{}							scene/bg/bg_meishijie.png			1	-1	{}	sound/bgm/date_001.mp3									10							{}	{}					{}	{}		{}		
2301301	2101001	2	{}		100		寻求琴里帮忙	1	{}			{}	{}					2301302	1	10107			id_pose_10		id_look_8			2	{}	1.2										{}											{}							scene/bg/bg_meishijie.png			1	-1	{}	sound/bgm/date_001.mp3									20							{}	{}					{}	{}		{}		
2301102	2101001	2	{}		100	夜刀神十香	「唔姆……」	1	{}			{}	{}					2301103		10107			id_pose_10		id_look_2			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2301103	2101001	2	{}		100		与其在门口干等着，还不如在周围逛一逛，等人少些了再过来	1	{}			{}	{}					2301104		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2301104	2101001	2	{}		100		……	1	{}			{}	{}					2301105		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2301105	2101001	2	{}		100		两人在美食街闲逛着，不知过了多久，人潮拥挤的美食街终于迎来了难得的清净	1	{}			{}	{}					2301106											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301106	2101001	2	{}		100		诶……面包店里似乎仍然聚集着很多人	1	{}			{}	{}					1002301107											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
1002301107	2101001	2	{}		100			1	{}			{}	{}					2301107											{}											{}											{}							scene/bg/bg_mianbaodian.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
2301107	2101001	2	{}		100	路人A	「这次大胃王比赛看来并没有旗鼓相当的对手！哼哼哼！」	1	{}			{}	{}					2301108											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301108	2101001	2	{}		100	路人B	「话别说这么早，在下可是曾一口气吃完20个黄豆粉面包的无冕之王」	1	{}			{}	{}					2301109											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301109	2101001	2	{}		100		面包店里混杂着各式各样挑衅，自夸的宣言	1	{}			{}	{}					2301110											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301110	2101001	2	{}		100		原来是面包店里一年一度的大胃王比赛在今天举办	1	{}			{}	{}				1	2301111											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301111	2101001	2	{}		100	夜刀神十香	「 %s ！ %s ！什么是大胃王比赛」	1	{}			{}	{}					2401101-2401201	5	10107			id_pose_12		id_look_7	103_eff	id_sun	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2301202	2101001	2	{}		100	夜刀神十香	「唔姆……不喜欢排队」	1	{}			{}	{}					2301203		10107			id_pose_6		id_look_5	103_eff	id_gas	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2301203	2101001	2	{}		100		虽然极不情愿，不过在这个时间来美食街的确没有什么办法	1	{}			{}	{}					2301204		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2301204	2101001	2	{}		100	1	「话说，说不定面包店中午不会有太多顾客」	1	{}			{}	{}					2301205		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2301205	2101001	2	{}		100		隔着很远就能闻到从面包店飘来的美妙香味	1	{}			{}	{}					2301206		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2301206	2101001	2	{}		100		果然，面包店里几乎没什么客人，只有几个小朋友在店内外追逐玩耍	1	{}			{}	{}					1002301207		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
1002301207	2101001	2	{}		100			1	{}			{}	{}					2301207											{}											{}											{}							scene/bg/bg_mianbaodian.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
2301207	2101001	2	{}		100		十香露出兴奋的笑容，抢先迈进面包店开始挑选起来，不断的向着 %s 招手呼喊	1	{}			{}	{}					2301208		1			id_pose_14		id_look_4			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2301208	2101001	2	{}		100	夜刀神十香	「选哪一个呢，哪一个呢，看起来都很美味唷！」	1	{}			{}	{}					2301209		1								2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2301209	2101001	2	{}		100	夜刀神十香	「 %s —— %s ——快过来！快点！」	1	{}			{}	{}					2301210		1								2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2301210	2101001	2	{}		100		 %s 叹了口气，无可奈何地跟到十香身边	1	{}			{}	{}					2301211		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2301211	2101001	2	{}		100		十香艰难地拔出埋在面包中的脑袋，脸颊泛着幸福的红晕	1	{}			{}	{}				1	2301212		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2301212	2101001	2	{}		100	夜刀神十香	「选哪一个好呢？」	1	{}			{}	{}					2402101-2402301-2402401	5	1			id_pose_9		id_look_2	103_eff	id_sweat	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2301302	2101001	2	{}		100	五河琴里	「喂喂，笨蛋哥哥又遇到什么麻烦了吗？」	1	{}			{}	{}					2301303					id_pose_10		id_look_3				{}											{}											{}				effect/dianhua/dianhua	dianhua					1		{}																	{}	{}					{}	{}		{}		
2301303	2101001	2	{}		100		……戴在右耳上的耳机传来了熟悉的声音	1	{}			{}	{}					2301304											{}											{}											{}				1	1					1		{}																	{}	{}					{}	{}		{}		
2301304	2101001	2	{}		100		为了时刻能够应对在与[精灵]约会过程中的发生的问题，这段时间里都一直戴着耳机	1	{}			{}	{}					2301305											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301305	2101001	2	{}		100	1	「是的……我和十香正准备去面包店，但有些担心人太多，所以……」	1	{}			{}	{}					2301306											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301306	2101001	2	{}		100	五河琴里	「明白了，5分钟后将对面包店的人群进行转移，你们放心约会吧」	1	{}			{}	{}					2301307											{}											{}											{}				effect/dianhua/dianhua	dianhua					1		{}																	{}	{}					{}	{}		{}		
2301307	2101001	2	{}		100	1	「那个……不是这样，喂？喂？」	1	{}			{}	{}					2301308											{}											{}											{}				1	1					1		{}																	{}	{}					{}	{}		{}		
2301308	2101001	2	{}		100	耳机	「嘟~嘟~嘟~」	1	{}			{}	{}					2301309											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301309	2101001	2	{}		100		……	1	{}			{}	{}					2301310											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301310	2101001	2	{}		100		根本不听别人说完就挂电话，真是乱来的妹妹……	1	{}			{}	{}				1	2301311											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2301311	2101001	2	{}		100	夜刀神十香	「 %s ？有什么问题么？」	1	{}			{}	{}					2403101-2403201	5	10107			id_pose_10		id_look_7			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2401101	2101001	2	{}		100	1	「是一种召唤面包恶魔的邪恶仪式」	1	{}			{}	{}					2401102	1	10107			id_pose_12		id_look_7			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									-10	1						{}	{}					{}	{}		{}		
2401201	2101001	2	{}		100	1	「就是看谁能吃更多的黄豆粉面包」	1	{}			{}	{}					2401202	1	10107			id_pose_12		id_look_7			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2401102	2101001	2	{}		100	夜刀神十香	「什么恶魔，在哪里？」	1	{}			{}	{}					2401103		1			id_pose_10		id_look_13	103_eff	id_gas	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_9.mp3								1						{}	{}					{}	{}		{}		
2401103	2101001	2	{}		100	1	「在哪呢……在哪呢……对，就是他！」	1	{}			{}	{}					2401104		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401104	2101001	2	{}		100		我指向旁边正在仰天咆哮的魁梧中年大叔	1	{}			{}	{}					2401105		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401105	2101001	2	{}		100	中年大叔	「哈哈哈哈！！从今天起黄豆粉面包将被我支配！唔吼吼吼！！！」	1	{}			{}	{}					2401106		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401106	2101001	2	{}		100		真是十足的反派口气啊，哈哈……	1	{}			{}	{}					2401107		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401107	2101001	2	{}		100	夜刀神十香	「太可恶了！一定要破坏这个仪式！」	1	{}			{}	{}					2401108		1			id_pose_10		id_look_8	103_eff	id_angry	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_6.mp3								1						{}	{}					{}	{}		{}		
2401108	2101001	2	{}		100	1	「冷静一下，十香……」	1	{}			{}	{}					2401109		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2401109	2101001	2	{}		100		其实我只想填饱肚子就回家……	1	{}			{}	{}					2401110		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2401110	2101001	2	{}		100	1	「那个，十香……如果再不快些，黄豆粉面包就卖完了哦」	1	{}			{}	{}					2401111		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2401111	2101001	2	{}		100	夜刀神十香	「诶...诶！等等我！」	1	{}			{}	{}					2401112		1			id_pose_10		id_look_7	103_eff	id_gas	2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2401112	2101001	2	{}		100		艰难地避开气势汹汹的参赛者，终于买到十香钟爱的黄豆粉面包	1	{}			{}	{}					2401113		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401113	2101001	2	{}		100		选在面包店最里面较为安静的位子上坐了下来	1	{}			{}	{}					2401114		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401114	2101001	2	{}		100		十香迫不及待撕开包装	1	{}			{}	{}					2401115		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401115	2101001	2	{}		100	1	「我开动了」	1	{}			{}	{}					2401116		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2401116	2101001	2	{}		100	夜刀神十香	「我开动啦！」	1	{}			{}	{}					2401117		1			id_pose_10		id_look_4	103_eff	id_idea	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
