音效ID	所属角色（策划看）	音量1	1普通怪受击音效	音量2	2机械怪受击音效	音量3	3能量怪受击音效
1050106	五河琴里-撞击-中	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_6.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_6.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_6.mp3
1050107	五河琴里-火焰柱-中	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_7.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_7.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_7.mp3
1050108	五河琴里-火焰柱-重	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_8.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_8.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_8.mp3
1050109	五河琴里-火球-轻	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_9.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_9.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_9.mp3
1050110	五河琴里-火球-中	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_10.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_10.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_10.mp3
1050111	五河琴里-火球-重	100	sound/battle_sound/10501/hitmusic/hitPerson_10501_11.mp3	100	sound/battle_sound/10501/hitmusic/hitMechan_10501_11.mp3	100	sound/battle_sound/10501/hitmusic/hitEnergy_10501_11.mp3
1060101	崇宫真那-双刃普攻-轻	100	sound/battle_sound/10601/hitmusic/hitPerson_10601_1.mp3	100	sound/battle_sound/10601/hitmusic/hitMechan_10601_1.mp3	100	sound/battle_sound/10601/hitmusic/hitEnergy_10601_1.mp3
1060102	崇宫真那-双刃普攻-中	100	sound/battle_sound/10601/hitmusic/hitPerson_10601_2.mp3	100	sound/battle_sound/10601/hitmusic/hitMechan_10601_2.mp3	100	sound/battle_sound/10601/hitmusic/hitEnergy_10601_2.mp3
1060103	崇宫真那-双刃普攻-重	100	sound/battle_sound/10601/hitmusic/hitPerson_10601_3.mp3	100	sound/battle_sound/10601/hitmusic/hitMechan_10601_3.mp3	100	sound/battle_sound/10601/hitmusic/hitEnergy_10601_3.mp3
1060104	崇宫真那-化为雷电穿刺-中	100	sound/battle_sound/10601/hitmusic/hitPerson_10601_4.mp3	100	sound/battle_sound/10601/hitmusic/hitMechan_10601_4.mp3	100	sound/battle_sound/10601/hitmusic/hitEnergy_10601_4.mp3
1060105	崇宫真那-虚空刃-中	100	sound/battle_sound/10601/hitmusic/hitPerson_10601_5.mp3	100	sound/battle_sound/10601/hitmusic/hitMechan_10601_5.mp3	100	sound/battle_sound/10601/hitmusic/hitEnergy_10601_5.mp3
1060106	崇宫真那-虚空刃爆裂-重	100	sound/battle_sound/10601/hitmusic/hitPerson_10601_6.mp3	100	sound/battle_sound/10601/hitmusic/hitMechan_10601_6.mp3	100	sound/battle_sound/10601/hitmusic/hitEnergy_10601_6.mp3
1060107	崇宫真那-激光射线-中	100	sound/battle_sound/10601/hitmusic/hitPerson_10601_7.mp3	100	sound/battle_sound/10601/hitmusic/hitMechan_10601_7.mp3	100	sound/battle_sound/10601/hitmusic/hitEnergy_10601_7.mp3
1070101	八舞耶俱矢-长枪普攻-轻	100	sound/battle_sound/10701/hitmusic/hitPerson_10701_1.mp3	100	sound/battle_sound/10701/hitmusic/hitMechan_10701_1.mp3	100	sound/battle_sound/10701/hitmusic/hitEnergy_10701_1.mp3
1070102	八舞耶俱矢-长枪普攻-中	100	sound/battle_sound/10701/hitmusic/hitPerson_10701_2.mp3	100	sound/battle_sound/10701/hitmusic/hitMechan_10701_2.mp3	100	sound/battle_sound/10701/hitmusic/hitEnergy_10701_2.mp3
1070103	八舞耶俱矢-长枪普攻-重	100	sound/battle_sound/10701/hitmusic/hitPerson_10701_3.mp3	100	sound/battle_sound/10701/hitmusic/hitMechan_10701_3.mp3	100	sound/battle_sound/10701/hitmusic/hitEnergy_10701_3.mp3
1070104	八舞耶俱矢-长枪普攻-极重	100	sound/battle_sound/10701/hitmusic/hitPerson_10701_4.mp3	100	sound/battle_sound/10701/hitmusic/hitMechan_10701_4.mp3	100	sound/battle_sound/10701/hitmusic/hitEnergy_10701_4.mp3
1070105	八舞耶俱矢-风箭-轻	100	sound/battle_sound/10701/hitmusic/hitPerson_10701_5.mp3	100	sound/battle_sound/10701/hitmusic/hitMechan_10701_5.mp3	100	sound/battle_sound/10701/hitmusic/hitEnergy_10701_5.mp3
1070106	八舞耶俱矢-风炮-轻	100	sound/battle_sound/10701/hitmusic/hitPerson_10701_6.mp3	100	sound/battle_sound/10701/hitmusic/hitMechan_10701_6.mp3	100	sound/battle_sound/10701/hitmusic/hitEnergy_10701_6.mp3
1070107	八舞耶俱矢-风炮-中	100	sound/battle_sound/10701/hitmusic/hitPerson_10701_7.mp3	100	sound/battle_sound/10701/hitmusic/hitMechan_10701_7.mp3	100	sound/battle_sound/10701/hitmusic/hitEnergy_10701_7.mp3
1070108	八舞耶俱矢-风炮-重	100	sound/battle_sound/10701/hitmusic/hitPerson_10701_8.mp3	100	sound/battle_sound/10701/hitmusic/hitMechan_10701_8.mp3	100	sound/battle_sound/10701/hitmusic/hitEnergy_10701_8.mp3
1070109	八舞耶俱矢-穿刺-中	100	sound/battle_sound/10701/hitmusic/hitPerson_10701_9.mp3	100	sound/battle_sound/10701/hitmusic/hitMechan_10701_9.mp3	100	sound/battle_sound/10701/hitmusic/hitEnergy_10701_9.mp3
1070110	八舞耶俱矢-穿刺匝地-重	100	sound/battle_sound/10701/hitmusic/hitPerson_10701_10.mp3	100	sound/battle_sound/10701/hitmusic/hitMechan_10701_10.mp3	100	sound/battle_sound/10701/hitmusic/hitEnergy_10701_10.mp3
1080101	八舞夕弦-锁链普攻-轻	100	sound/battle_sound/10801/hitmusic/hitPerson_10801_1.mp3	100	sound/battle_sound/10801/hitmusic/hitMechan_10801_1.mp3	100	sound/battle_sound/10801/hitmusic/hitEnergy_10801_1.mp3
1080102	八舞夕弦-锁链普攻-中	100	sound/battle_sound/10801/hitmusic/hitPerson_10801_2.mp3	100	sound/battle_sound/10801/hitmusic/hitMechan_10801_2.mp3	100	sound/battle_sound/10801/hitmusic/hitEnergy_10801_2.mp3
1080103	八舞夕弦-锁链普攻-重	100	sound/battle_sound/10801/hitmusic/hitPerson_10801_3.mp3	100	sound/battle_sound/10801/hitmusic/hitMechan_10801_3.mp3	100	sound/battle_sound/10801/hitmusic/hitEnergy_10801_3.mp3
1080104	八舞夕弦-锁链抽打-中	100	sound/battle_sound/10801/hitmusic/hitPerson_10801_4.mp3	100	sound/battle_sound/10801/hitmusic/hitMechan_10801_4.mp3	100	sound/battle_sound/10801/hitmusic/hitEnergy_10801_4.mp3
1080105	八舞夕弦-锁链抽打-重	100	sound/battle_sound/10801/hitmusic/hitPerson_10801_5.mp3	100	sound/battle_sound/10801/hitmusic/hitMechan_10801_5.mp3	100	sound/battle_sound/10801/hitmusic/hitEnergy_10801_5.mp3
1080106	八舞夕弦-风刃-重	100	sound/battle_sound/10801/hitmusic/hitPerson_10801_6.mp3	100	sound/battle_sound/10801/hitmusic/hitMechan_10801_6.mp3	100	sound/battle_sound/10801/hitmusic/hitEnergy_10801_6.mp3
1080107	八舞夕弦-弓箭命中-重	100	sound/battle_sound/10801/hitmusic/hitPerson_10801_7.mp3	100	sound/battle_sound/10801/hitmusic/hitMechan_10801_7.mp3	100	sound/battle_sound/10801/hitmusic/hitEnergy_10801_7.mp3
1080108	八舞夕弦-旋风能量-中	100	sound/battle_sound/10801/hitmusic/hitPerson_10801_8.mp3	100	sound/battle_sound/10801/hitmusic/hitMechan_10801_8.mp3	100	sound/battle_sound/10801/hitmusic/hitEnergy_10801_8.mp3
