id	任务类型（1主线任务 2日常任务 3成就 4活动任务 5活跃度奖励 6七日签到 7次日奖励 8 十香活动任务）	重置类型（1.不会重置2.每天重置）	内容类型（1.指定副本关卡 2.其他）	客户端排序	任务名称	任务名称2	icon	icon底板颜色	icon气泡颜色	颜色备注	任务描述	任务描述2	任务类型标签（主线使用）	接取条件id（关联事件表）	接取参数	完成条件id（关联事件表）	完成参数	需要进度	完成奖励	任务描述3	跳转界面	完成结果（1.被后置任务替换。2.保留此任务，出现后置任务）	继承进度的任务id	是否开启	有效时间(单位为天，-1为永久生效）
20029	1	1	1	29	1310029	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度5-3副本	1330001	10001	{"pre_task_id":20027}	9007	{"dunId":103106}	1	{500005:7,500001:400}		16	1		1	-1
20030	1	1	1	30	1310030	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度5-4副本	1330001	10001	{"pre_task_id":20029}	9007	{"dunId":103207}	1	{500005:7,500001:400}		16	1		1	-1
20031	1	1	1	31	1310031	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度5-5副本	1330001	10001	{"pre_task_id":20030}	9007	{"dunId":103208}	1	{500005:7,500001:400}		16	1		1	-1
20032	1	1	1	32	1310032	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度5-6副本	1330001	10001	{"pre_task_id":20031}	9007	{"dunId":103209}	1	{500005:7,500001:400}		16	1		1	-1
20033	1	1	1	33	1310033	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度5-7副本	1330001	10001	{"pre_task_id":20032}	9007	{"dunId":103210}	1	{500005:7,500001:400}		16	1		1	-1
20034	1	1	1	34	1310034	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度5-8副本	1330001	10001	{"pre_task_id":20033}	9007	{"dunId":103211}	1	{500005:7,500001:400}		16	1		1	-1
20035	1	1	1	35	1310035	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度5-9副本	1330001	10001	{"pre_task_id":20034}	9007	{"dunId":103312}	1	{500005:7,500001:400}		16	1		1	-1
20036	1	1	1	36	1310036	杀手狂三	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章1-1	1330001	10001	{"pre_task_id":20034}	9007	{"dunId":103313}	1	{500005:7,500001:400}		16	1		1	-1
20037	1	1	1	37	1310037	杀手狂三	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章1-2	1330001	10001	{"pre_task_id":20034}	9007	{"dunId":103314}	1	{500005:7,500001:400}		16	1		1	-1
20038	1	1	1	38	1310038	杀手狂三	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章1-3	1330001	10001	{"pre_task_id":20035}	9007	{"dunId":103315}	1	{500005:7,500001:400}		16	1		1	-1
20039	1	1	1	39	1310039	杀手狂三	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章2-1	1330001	10001	{"pre_task_id":20038}	9007	{"dunId":103316}	1	{500005:7,500001:400}		16	1		1	-1
20040	1	1	1	40	1310040	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章2-2	1330001	10001	{"pre_task_id":20039}	9007	{"dunId":104101}	1	{500005:8,500001:500}		16	1		1	-1
20041	1	1	1	41	1310041	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章2-3	1330001	10001	{"pre_task_id":20040}	9007	{"dunId":104102}	1	{500005:8,500001:500}		16	1		1	-1
20042	1	1	1	42	1310042	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章3-1	1330001	10001	{"pre_task_id":20041}	9007	{"dunId":104103}	1	{500005:8,500001:500}		16	1		1	-1
20043	1	1	1	43	1310043	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章3-2	1330001	10001	{"pre_task_id":20042}	9007	{"dunId":104104}	1	{500005:8,500001:500}		16	1		1	-1
20044	1	1	1	44	1310044	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章3-3	1330001	10001	{"pre_task_id":20043}	9007	{"dunId":104105}	1	{500005:8,500001:500}		16	1		1	-1
20045	1	1	1	45	1310045	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章1-1	1330001	10001	{"pre_task_id":20044}	9007	{"dunId":104206}	1	{500005:8,500001:500}		16	1		1	-1
20046	1	1	1	46	1310046	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章1-2	1330001	10001	{"pre_task_id":20045}	9007	{"dunId":104207}	1	{500005:8,500001:500}		16	1		1	-1
20047	1	1	1	47	1310047	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章1-3	1330001	10001	{"pre_task_id":20046}	9007	{"dunId":104208}	1	{500005:8,500001:500}		16	1		1	-1
20048	1	1	1	48	1310048	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章2-1	1330001	10001	{"pre_task_id":20046}	9007	{"dunId":104209}	1	{500005:8,500001:500}		16	1		1	-1
20049	1	1	1	49	1310049	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章2-2	1330001	10001	{"pre_task_id":20048}	9007	{"dunId":104210}	1	{500005:8,500001:500}		16	1		1	-1
20050	1	1	1	50	1310050	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章2-3	1330001	10001	{"pre_task_id":20048}	9007	{"dunId":104211}	1	{500005:8,500001:500}		16	1		1	-1
20051	1	1	1	51	1310051	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章3-1	1330001	10001	{"pre_task_id":20050}	9007	{"dunId":104312}	1	{500005:8,500001:500}		16	1		1	-1
20052	1	1	1	52	1310052	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章3-2	1330001	10001	{"pre_task_id":20051}	9007	{"dunId":104313}	1	{500005:8,500001:500}		16	1		1	-1
20053	1	1	1	53	1310053	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章3-3	1330001	10001	{"pre_task_id":20052}	9007	{"dunId":104314}	1	{500005:8,500001:500}		16	1		1	-1
20054	1	1	1	54	1310054	五河妹妹	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}	橙色	1320001	完成普通关卡第八章1-1	1330001	10001	{"pre_task_id":20053}	9007	{"dunId":104315}	1	{500005:8,500001:500}		16	1		1	-1
20055	1	1	1	55	1310055	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章1-2	1330001	10001	{"pre_task_id":20054}	9007	{"dunId":105101}	1	{500005:9,500001:600}		16	1		1	-1
20056	1	1	1	56	1310056	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章1-3	1330001	10001	{"pre_task_id":20055}	9007	{"dunId":105102}	1	{500005:9,500001:600}		16	1		1	-1
20057	1	1	1	57	1310057	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章2-1	1330001	10001	{"pre_task_id":20056}	9007	{"dunId":105103}	1	{500005:9,500001:600}		16	1		1	-1
20058	1	1	1	58	1310058	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章2-2	1330001	10001	{"pre_task_id":20057}	9007	{"dunId":105104}	1	{500005:9,500001:600}		16	1		1	-1
20059	1	1	1	59	1310059	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章2-3	1330001	10001	{"pre_task_id":20058}	9007	{"dunId":105105}	1	{500005:9,500001:600}		16	1		1	-1
20060	1	1	1	60	1310060	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章3-1	1330001	10001	{"pre_task_id":20059}	9007	{"dunId":105206}	1	{500005:9,500001:600}		16	1		1	-1
20061	1	1	1	61	1310061	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章3-2	1330001	10001	{"pre_task_id":20060}	9007	{"dunId":105207}	1	{500005:9,500001:600}		16	1		1	-1
20062	1	1	1	62	1310062	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章3-3	1330001	10001	{"pre_task_id":20061}	9007	{"dunId":105208}	1	{500005:9,500001:600}		16	1		1	-1
20063	1	1	1	63	1310063	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章1-1	1330001	10001	{"pre_task_id":20062}	9007	{"dunId":105209}	1	{500005:9,500001:600}		16	1		1	-1
20064	1	1	1	64	1310064	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章1-2	1330001	10001	{"pre_task_id":20063}	9007	{"dunId":105210}	1	{500005:9,500001:600}		16	1		1	-1
20065	1	1	1	65	1310065	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章1-3	1330001	10001	{"pre_task_id":20063}	9007	{"dunId":105311}	1	{500005:9,500001:600}		16	1		1	-1
20066	1	1	1	66	1310066	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章2-1	1330001	10001	{"pre_task_id":20065}	9007	{"dunId":105312}	1	{500005:9,500001:600}		16	1		1	-1
20067	1	1	1	67	1310067	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章2-2	1330001	10001	{"pre_task_id":20066}	9007	{"dunId":105313}	1	{500005:9,500001:600}		16	1		1	-1
20068	1	1	1	68	1310068	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章2-3	1330001	10001	{"pre_task_id":20066}	9007	{"dunId":105314}	1	{500005:9,500001:600}		16	1		1	-1
20069	1	1	1	69	1310069	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章3-1	1330001	10001	{"pre_task_id":20068}	9007	{"dunId":105315}	1	{500005:9,500001:600}		16	1		1	-1
20070	1	1	1	70	1310070	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章3-2	1330001	10001	{"pre_task_id":20069}	9007	{"dunId":105316}	1	{500005:9,500001:600}		16	1		1	-1
20071	1	1	1	71	1310071	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章3-3	1330001	10001	{"pre_task_id":20070}	9007	{"dunId":105417}	1	{500005:9,500001:600}		16	1		1	-1
20072	1	1	1	72	1310072	暴风者八舞	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章普通难度f1-1副本	1330002	10001	{"pre_task_id":20071}	9007	{"dunId":105418}	1	{500005:9,500001:600}		16	1		1	-1
20073	1	1	1	73	1310073	暴风者八舞	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章普通难度f1-2副本	1330002	10001	{"pre_task_id":20072}	9007	{"dunId":105419}	1	{500005:9,500001:600}		16	1		1	-1
20074	1	1	1	74	1310074	暴风者八舞	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章普通难度f1-3副本	1330002	10001	{"pre_task_id":20073}	9007	{"dunId":105420}	1	{500005:9,500001:600}		16	1		1	-1
20075	1	1	1	75	1310075	暴风者八舞	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章普通难度f1-4副本	1330002	10001	{"pre_task_id":20074}	9007	{"dunId":105421}	1	{500005:9,500001:600}		16	1		1	-1
20076	1	1	1	76	1310076	百合美九	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章普通难度f1-5副本	1330002	10001	{"pre_task_id":20075}	9007	{"dunId":106101}	1	{500005:10,500001:700}		16	1		1	-1
20077	1	1	1	77	1310077	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章普通难度f2-1副本	1330002	10001	{"pre_task_id":20076}	9007	{"dunId":106102}	1	{500005:10,500001:700}		16	1		1	-1
20078	1	1	1	78	1310078	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章普通难度f2-2副本	1330002	10001	{"pre_task_id":20077}	9007	{"dunId":106103}	1	{500005:10,500001:700}		16	1		1	-1
20079	1	1	1	79	1310079	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章普通难度f2-3副本	1330002	10001	{"pre_task_id":20077}	9007	{"dunId":106104}	1	{500005:10,500001:700}		16	1		1	-1
20080	1	1	1	80	1310080	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章普通难度f2-4副本	1330002	10001	{"pre_task_id":20079}	9007	{"dunId":106105}	1	{500005:10,500001:700}		16	1		1	-1
20081	1	1	1	81	1310081	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章普通难度f3-1副本	1330002	10001	{"pre_task_id":20080}	9007	{"dunId":106106}	1	{500005:10,500001:700}		16	1		1	-1
20082	1	1	1	82	1310082	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章普通难度f3-2副本	1330002	10001	{"pre_task_id":20081}	9007	{"dunId":106207}	1	{500005:10,500001:700}		16	1		1	-1
20083	1	1	1	83	1310083	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章普通难度f3-3副本	1330002	10001	{"pre_task_id":20082}	9007	{"dunId":106208}	1	{500005:10,500001:700}		16	1		1	-1
20084	1	1	1	84	1310084	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章普通难度f3-4副本	1330002	10001	{"pre_task_id":20083}	9007	{"dunId":106209}	1	{500005:10,500001:700}		16	1		1	-1
20085	1	1	1	85	1310085	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度f4-1副本	1330002	10001	{"pre_task_id":20084}	9007	{"dunId":106210}	1	{500005:10,500001:700}		16	1		1	-1
20086	1	1	1	86	1310086	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度f4-2副本	1330002	10001	{"pre_task_id":20084}	9007	{"dunId":106211}	1	{500005:10,500001:700}		16	1		1	-1
20087	1	1	1	87	1310087	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度f4-3副本	1330002	10001	{"pre_task_id":20086}	9007	{"dunId":106212}	1	{500005:10,500001:700}		16	1		1	-1
20088	1	1	1	88	1310088	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度f4-4副本	1330002	10001	{"pre_task_id":20087}	9007	{"dunId":106313}	1	{500005:10,500001:700}		16	1		1	-1
20089	1	1	1	89	1310089	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度f4-5副本	1330002	10001	{"pre_task_id":20088}	9007	{"dunId":106314}	1	{500005:10,500001:700}		16	1		1	-1
