id	商品名称	所属商店	格子编号	权重	开启条件（1.玩家等级。2.需要达到的关卡）	开启值	出售时间类型（1.任意时间。2.每日固定时刻。3.每周固定时刻。）	出售时间（分钟）	限购（0.不限购。1.刷新时间内限购。2.服务器时间本天内限购。3.永久限购。5.全服限购且刷新时间重置。6.全服限购夸天重置。7.全服永久限购 8.本周限购 9.本月限购）	限购值	是否可以批量购买	全服时个人限购值	限购描述	道具（id:数量）	价格类型	价格数量	描述	折扣	自动刷新时间（分钟）
100707	2星突破道具6	100000	7	1250	1	20	1		2	3	1		r2002	{510214:4}	500001	10000			
100708	2星突破道具7	100000	7	1250	1	20	1		2	3	1		r2002	{510215:4}	500001	10000			
100709	2星突破道具8	100000	7	1250	1	20	1		2	3	1		r2002	{510216:4}	500001	10000			
100801	3星突破道具1	100000	8	1250	1	30	1		2	3	1		r2002	{510217:3}	500002	30			
100802	3星突破道具2	100000	8	1250	1	30	1		2	3	1		r2002	{510218:3}	500002	30			
100803	3星突破道具3	100000	8	1250	1	30	1		2	3	1		r2002	{510219:3}	500002	30			
100804	3星突破道具4	100000	8	1250	1	30	1		2	3	1		r2002	{510220:3}	500002	30			
100805	3星突破道具5	100000	8	1250	1	30	1		2	3	1		r2002	{510221:3}	500002	30			
100806	3星突破道具6	100000	8	1250	1	30	1		2	3	1		r2002	{510222:3}	500002	30			
100807	3星突破道具7	100000	8	1250	1	30	1		2	3	1		r2002	{510223:3}	500002	30			
100808	3星突破道具8	100000	8	1250	1	30	1		2	3	1		r2002	{510224:3}	500002	30			
100901	3星突破道具1	100000	9	1250	1	30	1		2	3	1		r2002	{510217:3}	500001	15000			
100902	3星突破道具2	100000	9	1250	1	30	1		2	3	1		r2002	{510218:3}	500001	15000			
100903	3星突破道具3	100000	9	1250	1	30	1		2	3	1		r2002	{510219:3}	500001	15000			
100904	3星突破道具4	100000	9	1250	1	30	1		2	3	1		r2002	{510220:3}	500001	15000			
100905	3星突破道具5	100000	9	1250	1	30	1		2	3	1		r2002	{510221:3}	500001	15000			
100906	3星突破道具6	100000	9	1250	1	30	1		2	3	1		r2002	{510222:3}	500001	15000			
100907	3星突破道具7	100000	9	1250	1	30	1		2	3	1		r2002	{510223:3}	500001	15000			
100908	3星突破道具8	100000	9	1250	1	30	1		2	3	1		r2002	{510224:3}	500001	15000			
101001	4星突破道具1	100000	10	1250	1	40	1		2	3	1		r2002	{510225:2}	500002	50			
101002	4星突破道具2	100000	10	1250	1	40	1		2	3	1		r2002	{510226:2}	500002	50			
101003	4星突破道具3	100000	10	1250	1	40	1		2	3	1		r2002	{510227:2}	500002	50			
101004	4星突破道具4	100000	10	1250	1	40	1		2	3	1		r2002	{510228:2}	500002	50			
101005	4星突破道具5	100000	10	1250	1	40	1		2	3	1		r2002	{510229:2}	500002	50			
101006	4星突破道具6	100000	10	1250	1	40	1		2	3	1		r2002	{510230:2}	500002	50			
101007	4星突破道具7	100000	10	1250	1	40	1		2	3	1		r2002	{510231:2}	500002	50			
101008	4星突破道具8	100000	10	1250	1	40	1		2	3	1		r2002	{510232:2}	500002	50			
101101	4星突破道具1	100000	11	1250	1	40	1		2	3	1		r2002	{510225:2}	500001	25000			
101102	4星突破道具2	100000	11	1250	1	40	1		2	3	1		r2002	{510226:2}	500001	25000			
101103	4星突破道具3	100000	11	1250	1	40	1		2	3	1		r2002	{510227:2}	500001	25000			
101104	4星突破道具4	100000	11	1250	1	40	1		2	3	1		r2002	{510228:2}	500001	25000			
101105	4星突破道具5	100000	11	1250	1	40	1		2	3	1		r2002	{510229:2}	500001	25000			
101106	4星突破道具6	100000	11	1250	1	40	1		2	3	1		r2002	{510230:2}	500001	25000			
101107	4星突破道具7	100000	11	1250	1	40	1		2	3	1		r2002	{510231:2}	500001	25000			
101108	4星突破道具8	100000	11	1250	1	40	1		2	3	1		r2002	{510232:2}	500001	25000			
101201	5星突破道具1	100000	12	1250	1	50	1		2	3	1		r2002	{510233:1}	500002	50			
101202	5星突破道具2	100000	12	1250	1	50	1		2	3	1		r2002	{510234:1}	500002	50			
101203	5星突破道具3	100000	12	1250	1	50	1		2	3	1		r2002	{510235:1}	500002	50			
101204	5星突破道具4	100000	12	1250	1	50	1		2	3	1		r2002	{510236:1}	500002	50			
101205	5星突破道具5	100000	12	1250	1	50	1		2	3	1		r2002	{510237:1}	500002	50			
101206	5星突破道具6	100000	12	1250	1	50	1		2	3	1		r2002	{510238:1}	500002	50			
101207	5星突破道具7	100000	12	1250	1	50	1		2	3	1		r2002	{510239:1}	500002	50			
101208	5星突破道具8	100000	12	1250	1	50	1		2	3	1		r2002	{510240:1}	500002	50			
101301	5星突破道具1	100000	13	1250	1	50	1		2	3	1		r2002	{510233:1}	500001	25000			
101302	5星突破道具2	100000	13	1250	1	50	1		2	3	1		r2002	{510234:1}	500001	25000			
101303	5星突破道具3	100000	13	1250	1	50	1		2	3	1		r2002	{510235:1}	500001	25000			
101304	5星突破道具4	100000	13	1250	1	50	1		2	3	1		r2002	{510236:1}	500001	25000			
101305	5星突破道具5	100000	13	1250	1	50	1		2	3	1		r2002	{510237:1}	500001	25000			
101306	5星突破道具6	100000	13	1250	1	50	1		2	3	1		r2002	{510238:1}	500001	25000			
101307	5星突破道具7	100000	13	1250	1	50	1		2	3	1		r2002	{510239:1}	500001	25000			
101308	5星突破道具8	100000	13	1250	1	50	1		2	3	1		r2002	{510240:1}	500001	25000			
110101	AST折纸碎片	110000	1	1000	1	1	1		1	1	0		r2003	{510304:1}	570002	8			
110102	灵装四糸乃碎片	110000	1	1000	1	1	1		1	1	0		r2003	{510306:1}	570002	8			
110103	灵装十香碎片	110000	1	1200	1	10	1		1	1	0		r2003	{510301:1}	570002	10			
110104	DEM真那碎片	110000	1	1200	1	10	1		1	1	0		r2003	{510309:1}	570002	10			
110105	灵装耶俱矢碎片	110000	1	1000	1	15	1		1	1	0		r2003	{510311:1}	570002	12			
110106	灵装夕弦碎片	110000	1	1000	1	15	1		1	1	0		r2003	{510312:1}	570002	12			
110107	灵装美九碎片	110000	1	1000	1	15	1		1	1	0		r2003	{510314:1}	570002	16			
110108	灵装狂三碎片	110000	1	800	1	20	1		1	1	0		r2003	{510307:1}	570002	16			
110109	灵装琴里碎片	110000	1	800	1	20	1		1	1	0		r2003	{510308:1}	570002	16			
110110	DEM艾伦碎片	110000	1	500	1	25	1		1	1	0		r2003	{510313:1}	570002	20			
110111	反转十香碎片	110000	1	500	1	25	1		1	1	0		r2003	{510303:1}	570002	20			
110201	AST折纸碎片	110000	2	1000	1	1	1		1	1	0		r2003	{510304:1}	570002	8			
110202	灵装四糸乃碎片	110000	2	1000	1	1	1		1	1	0		r2003	{510306:1}	570002	8			
110203	灵装十香碎片	110000	2	1200	1	10	1		1	1	0		r2003	{510301:1}	570002	10			
110204	DEM真那碎片	110000	2	1200	1	10	1		1	1	0		r2003	{510309:1}	570002	10			
110205	灵装耶俱矢碎片	110000	2	1000	1	15	1		1	1	0		r2003	{510311:1}	570002	12			
110206	灵装夕弦碎片	110000	2	1000	1	15	1		1	1	0		r2003	{510312:1}	570002	12			
110207	灵装美九碎片	110000	2	1000	1	15	1		1	1	0		r2003	{510314:1}	570002	16			
110208	灵装狂三碎片	110000	2	800	1	20	1		1	1	0		r2003	{510307:1}	570002	16			
110209	灵装琴里碎片	110000	2	800	1	20	1		1	1	0		r2003	{510308:1}	570002	16			
110210	DEM艾伦碎片	110000	2	500	1	25	1		1	1	0		r2003	{510313:1}	570002	20			
110211	反转十香碎片	110000	2	500	1	25	1		1	1	0		r2003	{510303:1}	570002	20			
110301	AST折纸碎片	110000	3	1000	1	1	1		1	1	0		r2003	{510304:1}	570002	8			
110302	灵装四糸乃碎片	110000	3	1000	1	1	1		1	1	0		r2003	{510306:1}	570002	8			
110303	灵装十香碎片	110000	3	1200	1	10	1		1	1	0		r2003	{510301:1}	570002	10			
110304	DEM真那碎片	110000	3	1200	1	10	1		1	1	0		r2003	{510309:1}	570002	10			
110305	灵装耶俱矢碎片	110000	3	1000	1	15	1		1	1	0		r2003	{510311:1}	570002	12			
110306	灵装夕弦碎片	110000	3	1000	1	15	1		1	1	0		r2003	{510312:1}	570002	12			
110307	灵装美九碎片	110000	3	1000	1	15	1		1	1	0		r2003	{510314:1}	570002	16			
110308	灵装狂三碎片	110000	3	800	1	20	1		1	1	0		r2003	{510307:1}	570002	16			
110309	灵装琴里碎片	110000	3	800	1	20	1		1	1	0		r2003	{510308:1}	570002	16			
110310	DEM艾伦碎片	110000	3	500	1	25	1		1	1	0		r2003	{510313:1}	570002	20			
110311	反转十香碎片	110000	3	500	1	25	1		1	1	0		r2003	{510303:1}	570002	20			
110401	AST折纸碎片	110000	4	1000	1	1	1		1	1	0		r2003	{510304:1}	570002	8			
110402	灵装四糸乃碎片	110000	4	1000	1	1	1		1	1	0		r2003	{510306:1}	570002	8			
110403	灵装十香碎片	110000	4	1200	1	10	1		1	1	0		r2003	{510301:1}	570002	10			
110404	DEM真那碎片	110000	4	1200	1	10	1		1	1	0		r2003	{510309:1}	570002	10			
110405	灵装耶俱矢碎片	110000	4	1000	1	15	1		1	1	0		r2003	{510311:1}	570002	12			
110406	灵装夕弦碎片	110000	4	1000	1	15	1		1	1	0		r2003	{510312:1}	570002	12			
110407	灵装美九碎片	110000	4	1000	1	15	1		1	1	0		r2003	{510314:1}	570002	16			
110408	灵装狂三碎片	110000	4	800	1	20	1		1	1	0		r2003	{510307:1}	570002	16			
110409	灵装琴里碎片	110000	4	800	1	20	1		1	1	0		r2003	{510308:1}	570002	16			
110410	DEM艾伦碎片	110000	4	500	1	25	1		1	1	0		r2003	{510313:1}	570002	20			
110411	反转十香碎片	110000	4	500	1	25	1		1	1	0		r2003	{510303:1}	570002	20			
120101	虚空结晶	120000	1	10000	1	1	1		0	0	1			{570029:1}	570001	10			
120201	4星常规质点1	120000	2	1000	1	1	1		2	1	0		r2002	{240040:1}	570029	120			
120202	4星常规质点2	120000	2	1000	1	1	1		2	1	0		r2002	{240041:1}	570029	120			
120203	4星常规质点3	120000	2	1000	1	1	1		2	1	0		r2002	{240042:1}	570029	120			
120204	4星常规质点4	120000	2	1000	1	1	1		2	1	0		r2002	{240043:1}	570029	120			
120205	4星常规质点5	120000	2	1000	1	1	1		2	1	0		r2002	{240044:1}	570029	120			
120206	4星常规质点6	120000	2	1000	1	1	1		2	1	0		r2002	{240045:1}	570029	120			
120207	4星常规质点7	120000	2	1000	1	1	1		2	1	0		r2002	{240046:1}	570029	120			
120208	4星常规质点8	120000	2	1000	1	1	1		2	1	0		r2002	{240047:1}	570029	120			
120209	4星常规质点9	120000	2	1000	1	1	1		2	1	0		r2002	{240048:1}	570029	120			
120210	4星常规质点10	120000	2	1000	1	1	1		2	1	0		r2002	{240049:1}	570029	120			
120301	4星常规质点1	120000	3	1000	1	1	1		2	1	0		r2002	{240040:1}	570029	120			
120302	4星常规质点2	120000	3	1000	1	1	1		2	1	0		r2002	{240041:1}	570029	120			
120303	4星常规质点3	120000	3	1000	1	1	1		2	1	0		r2002	{240042:1}	570029	120			
120304	4星常规质点4	120000	3	1000	1	1	1		2	1	0		r2002	{240043:1}	570029	120			
120305	4星常规质点5	120000	3	1000	1	1	1		2	1	0		r2002	{240044:1}	570029	120			
120306	4星常规质点6	120000	3	1000	1	1	1		2	1	0		r2002	{240045:1}	570029	120			
120307	4星常规质点7	120000	3	1000	1	1	1		2	1	0		r2002	{240046:1}	570029	120			
120308	4星常规质点8	120000	3	1000	1	1	1		2	1	0		r2002	{240047:1}	570029	120			
120309	4星常规质点9	120000	3	1000	1	1	1		2	1	0		r2002	{240048:1}	570029	120			
120310	4星常规质点10	120000	3	1000	1	1	1		2	1	0		r2002	{240049:1}	570029	120			
120401	4星常规质点1	120000	4	1000	1	1	1		2	1	0		r2002	{240040:1}	570029	120			
120402	4星常规质点2	120000	4	1000	1	1	1		2	1	0		r2002	{240041:1}	570029	120			
120403	4星常规质点3	120000	4	1000	1	1	1		2	1	0		r2002	{240042:1}	570029	120			
120404	4星常规质点4	120000	4	1000	1	1	1		2	1	0		r2002	{240043:1}	570029	120			
120405	4星常规质点5	120000	4	1000	1	1	1		2	1	0		r2002	{240044:1}	570029	120			
120406	4星常规质点6	120000	4	1000	1	1	1		2	1	0		r2002	{240045:1}	570029	120			
120407	4星常规质点7	120000	4	1000	1	1	1		2	1	0		r2002	{240046:1}	570029	120			
120408	4星常规质点8	120000	4	1000	1	1	1		2	1	0		r2002	{240047:1}	570029	120			
120409	4星常规质点9	120000	4	1000	1	1	1		2	1	0		r2002	{240048:1}	570029	120			
120410	4星常规质点10	120000	4	1000	1	1	1		2	1	0		r2002	{240049:1}	570029	120			
120501	5星常规质点1	120000	5	850	1	1	1		2	1	0		r2002	{250050:1}	570029	360			
120502	5星常规质点2	120000	5	850	1	1	1		2	1	0		r2002	{250051:1}	570029	360			
120503	5星常规质点3	120000	5	850	1	1	1		2	1	0		r2002	{250052:1}	570029	360			
120504	5星常规质点4	120000	5	850	1	1	1		2	1	0		r2002	{250053:1}	570029	360			
120505	5星常规质点5	120000	5	850	1	1	1		2	1	0		r2002	{250054:1}	570029	360			
120506	5星常规质点6	120000	5	850	1	1	1		2	1	0		r2002	{250055:1}	570029	360			
120507	5星常规质点7	120000	5	850	1	1	1		2	1	0		r2002	{250056:1}	570029	360			
120508	5星常规质点8	120000	5	850	1	1	1		2	1	0		r2002	{250057:1}	570029	360			
120509	5星常规质点9	120000	5	850	1	1	1		2	1	0		r2002	{250058:1}	570029	360			
120510	5星常规质点10	120000	5	850	1	1	1		2	1	0		r2002	{250059:1}	570029	360			
120511	5星套装1质点1	120000	5	500	1	1	1		2	1	0		r2002	{250060:1}	570029	600			
120512	5星套装1质点2	120000	5	500	1	1	1		2	1	0		r2002	{250061:1}	570029	600			
120513	5星套装1质点3	120000	5	500	1	1	1		2	1	0		r2002	{250062:1}	570029	600			
120601	5星常规质点1	120000	6	850	1	1	1		2	1	0		r2002	{250050:1}	570029	360			
120602	5星常规质点2	120000	6	850	1	1	1		2	1	0		r2002	{250051:1}	570029	360			
120603	5星常规质点3	120000	6	850	1	1	1		2	1	0		r2002	{250052:1}	570029	360			
120604	5星常规质点4	120000	6	850	1	1	1		2	1	0		r2002	{250053:1}	570029	360			
120605	5星常规质点5	120000	6	850	1	1	1		2	1	0		r2002	{250054:1}	570029	360			
120606	5星常规质点6	120000	6	850	1	1	1		2	1	0		r2002	{250055:1}	570029	360			
120607	5星常规质点7	120000	6	850	1	1	1		2	1	0		r2002	{250056:1}	570029	360			
120608	5星常规质点8	120000	6	850	1	1	1		2	1	0		r2002	{250057:1}	570029	360			
120609	5星常规质点9	120000	6	850	1	1	1		2	1	0		r2002	{250058:1}	570029	360			
120610	5星常规质点10	120000	6	850	1	1	1		2	1	0		r2002	{250059:1}	570029	360			
120611	5星套装1质点1	120000	6	500	1	1	1		2	1	0		r2002	{250060:1}	570029	600			
120612	5星套装1质点2	120000	6	500	1	1	1		2	1	0		r2002	{250061:1}	570029	600			
120613	5星套装1质点3	120000	6	500	1	1	1		2	1	0		r2002	{250062:1}	570029	600			
120701	5星常规质点1	120000	7	850	1	1	1		2	1	0		r2002	{250050:1}	570029	360			
120702	5星常规质点2	120000	7	850	1	1	1		2	1	0		r2002	{250051:1}	570029	360			
120703	5星常规质点3	120000	7	850	1	1	1		2	1	0		r2002	{250052:1}	570029	360			
120704	5星常规质点4	120000	7	850	1	1	1		2	1	0		r2002	{250053:1}	570029	360			
120705	5星常规质点5	120000	7	850	1	1	1		2	1	0		r2002	{250054:1}	570029	360			
120706	5星常规质点6	120000	7	850	1	1	1		2	1	0		r2002	{250055:1}	570029	360			
120707	5星常规质点7	120000	7	850	1	1	1		2	1	0		r2002	{250056:1}	570029	360			
120708	5星常规质点8	120000	7	850	1	1	1		2	1	0		r2002	{250057:1}	570029	360			
120709	5星常规质点9	120000	7	850	1	1	1		2	1	0		r2002	{250058:1}	570029	360			
120710	5星常规质点10	120000	7	850	1	1	1		2	1	0		r2002	{250059:1}	570029	360			
120711	5星套装1质点1	120000	7	500	1	1	1		2	1	0		r2002	{250060:1}	570029	600			
120712	5星套装1质点2	120000	7	500	1	1	1		2	1	0		r2002	{250061:1}	570029	600			
120713	5星套装1质点3	120000	7	500	1	1	1		2	1	0		r2002	{250062:1}	570029	600			
130101	无尽宝石	130000	1	1000	1	1	1		0	0	1			{570005:1}	570006	100			
130201	十香校服灵装	130000	2	1000	1	1	1		3	1	0		r2004	{1101012:1}	570005	150			
130301	5星套装2质点1	130000	3	1000	1	1	1		1	1	0		r2003	{250071:1}	570005	300			
130401	5星套装2质点2	130000	4	1000	1	1	1		1	1	0		r2003	{250073:1}	570005	300			
130501	5星套装2质点3	130000	5	1000	1	1	1		1	1	0		r2003	{250075:1}	570005	300			
130601	卡巴拉精华	130000	6	1000	1	1	1		1	3	1		r2003	{570007:50}	570005	15			
130701	魔术师精华	130000	7	1000	1	1	1		1	3	1		r2003	{570008:50}	570005	5			
130801	质点1精华	130000	8	1000	1	1	1		1	3	1		r2003	{570009:50}	570005	5			
130901	质点2精华	130000	9	1000	1	1	1		1	3	1		r2003	{570010:50}	570005	5			
131001	质点3精华	130000	10	1000	1	1	1		1	3	1		r2003	{570011:50}	570005	5			
131101	质点4精华	130000	11	1000	1	1	1		1	3	1		r2003	{570012:50}	570005	5			
131201	质点5精华	130000	12	1000	1	1	1		1	3	1		r2003	{570013:50}	570005	5			
131301	质点6精华	130000	13	1000	1	1	1		1	3	1		r2003	{570014:50}	570005	5			
131401	质点7精华	130000	14	1000	1	1	1		1	3	1		r2003	{570015:50}	570005	5			
131501	质点8精华	130000	15	1000	1	1	1		1	3	1		r2003	{570016:50}	570005	5			
131601	质点9精华	130000	16	1000	1	1	1		1	3	1		r2003	{570017:50}	570005	5			
131701	质点10精华	130000	17	1000	1	1	1		1	3	1		r2003	{570018:50}	570005	5			
140101	5星恶魔质点1	140000	1	1000	1	1	1		1	1	0		r2003	{250120:1}	570101-570102	2000-5			
140201	5星恶魔质点2	140000	2	1000	1	1	1		1	1	0		r2003	{250121:1}	570101-570103	2000-5			
140301	5星恶魔质点3	140000	3	1000	1	1	1		1	1	0		r2003	{250122:1}	570101-570104	2000-5			
140401	低级祈愿书	140000	4	1000	1	1	1		1	10	1		r2003	{550001:1}	570101	10			
140501	中级祈愿书	140000	5	1000	1	1	1		1	10	1		r2003	{550002:1}	570101	20			
140601	高级祈愿书	140000	6	1000	1	1	1		1	10	1		r2003	{550003:1}	570101	30			
140701	魔法玉	140000	7	1000	1	1	1		1	10	1		r2003	{551002:5}	570101	15			
140801	精灵玉	140000	8	1000	1	25	1		1	10	1		r2003	{551003:3}	570101	18			
140901	红莲玉	140000	9	1000	1	35	1		1	10	1		r2003	{551004:2}	570101	20			
141001	灵能种子	140000	10	1000	1	1	1		1	10	1		r2003	{551005:5}	570101	15			
141101	神圣种子	140000	11	1000	1	25	1		1	10	1		r2003	{551006:3}	570101	18			
141201	圣之果实	140000	12	1000	1	35	1		1	10	1		r2003	{551007:2}	570101	20			
141301	赫尔斯草	140000	13	1000	1	1	1		1	10	1		r2003	{551008:5}	570101	15			
141401	赫尔斯之药	140000	14	1000	1	25	1		1	10	1		r2003	{551009:3}	570101	18			
141501	光明之花	140000	15	1000	1	35	1		1	10	1		r2003	{551010:2}	570101	20			
141601	离子溶液	140000	16	1000	1	1	1		1	10	1		r2003	{551011:5}	570101	15			
141701	超能溶液	140000	17	1000	1	25	1		1	10	1		r2003	{551012:3}	570101	18			
141801	量子收容液	140000	18	1000	1	35	1		1	10	1		r2003	{551013:2}	570101	20			
141901	灼热火种	140000	19	1000	1	1	1		1	10	1		r2003	{551014:5}	570101	15			
142001	红莲火种	140000	20	1000	1	25	1		1	10	1		r2003	{551015:3}	570101	18			
142101	神圣之炎	140000	21	1000	1	35	1		1	10	1		r2003	{551016:2}	570101	20			
150101	干面包1星	150000	1	1200	1	1	1		1	1	0		r2003	{534011:1}	500018	30			
150102	干面包2星	150000	1	600	1	1	1		1	1	0		r2003	{534012:1}	500002	6			
150103	牛奶面包1星	150000	1	1200	1	1	1		1	1	0		r2003	{534021:1}	500018	30			
150104	牛奶面包2星	150000	1	600	1	1	1		1	1	0		r2003	{534022:1}	500002	6			
150105	奶酪蛋挞1星	150000	1	1200	1	1	1		1	1	0		r2003	{534031:1}	500018	30			
150106	奶酪蛋挞2星	150000	1	600	1	1	1		1	1	0		r2003	{534032:1}	500002	6			
150107	黄油面包2星	150000	1	625	1	1	1		1	1	0		r2003	{534042:1}	500018	60			
150108	黄油面包3星	150000	1	305	1	1	1		1	1	0		r2003	{534043:1}	500002	10			
150109	布丁蛋糕2星	150000	1	625	1	1	1		1	1	0		r2003	{534052:1}	500018	60			
150110	布丁蛋糕3星	150000	1	305	1	1	1		1	1	0		r2003	{534053:1}	500002	10			
150111	黄豆粉面包2星	150000	1	630	1	1	1		1	1	0		r2003	{534062:1}	500018	60			
150112	黄豆粉面包3星	150000	1	310	1	1	1		1	1	0		r2003	{534063:1}	500002	10			
150113	抹茶蛋糕3星	150000	1	400	1	1	1		1	1	0		r2003	{534073:1}	500018	100			
150114	抹茶蛋糕4星	150000	1	200	1	1	1		1	1	0		r2003	{534074:1}	500002	15			
150115	糯米团子3星	150000	1	400	1	1	1		1	1	0		r2003	{534083:1}	500018	100			
150116	糯米团子4星	150000	1	200	1	1	1		1	1	0		r2003	{534084:1}	500002	15			
150117	草莓大福3星	150000	1	400	1	1	1		1	1	0		r2003	{534093:1}	500018	100			
150118	草莓大福4星	150000	1	200	1	1	1		1	1	0		r2003	{534094:1}	500002	15			
150201	清甜果汁1星	150000	2	1200	1	1	1		1	1	0		r2003	{534101:1}	500018	30			
150202	清甜果汁2星	150000	2	600	1	1	1		1	1	0		r2003	{534102:1}	500002	6			
150203	蔬菜汁1星	150000	2	1200	1	1	1		1	1	0		r2003	{534111:1}	500018	30			
150204	蔬菜汁2星	150000	2	600	1	1	1		1	1	0		r2003	{534112:1}	500002	6			
150205	糯米酒1星	150000	2	1200	1	1	1		1	1	0		r2003	{534121:1}	500018	30			
150206	糯米酒2星	150000	2	600	1	1	1		1	1	0		r2003	{534122:1}	500002	6			
150207	水果布丁2星	150000	2	625	1	1	1		1	1	0		r2003	{534132:1}	500018	60			
150208	水果布丁3星	150000	2	305	1	1	1		1	1	0		r2003	{534133:1}	500002	10			
150209	布丁奶昔2星	150000	2	625	1	1	1		1	1	0		r2003	{534142:1}	500018	60			
150210	布丁奶昔3星	150000	2	305	1	1	1		1	1	0		r2003	{534143:1}	500002	10			
150211	牛奶可可2星	150000	2	630	1	1	1		1	1	0		r2003	{534152:1}	500018	60			
150212	牛奶可可3星	150000	2	310	1	1	1		1	1	0		r2003	{534153:1}	500002	10			
150213	薄荷抹茶3星	150000	2	400	1	1	1		1	1	0		r2003	{534163:1}	500018	100			
