id	卡池id	物品名称	物品名称2	10连最大重复次数	祈愿值重置标记（0不重置，1重置）	品质	类型(1精灵，2质点，3道具）	映射物品id	权重(格式：新手单抽,新手10连,正常单抽,正常10连）
104	2	DEM真那	DEM真那	1	0	1	1	{110601:1}	10-10-10-10
105	2	灵装十香	灵装十香	1	0	1	1	{110101:1}	10-10-10-10
106	101	1星王冠质点1	1星常规灵装1	10	0	1	2	{210010:1}	6500-6500-6500-6800
107	101	2星常规灵装1	2星常规灵装1	10	0	2	2	{220020:1}	3000-3000-3000-3000
108	101	3星常规灵装1	3星常规灵装1	10	0	3	2	{230030:1}	500-500-500-500
109	102	1星常规灵装1	1星常规灵装1	10	0	1	2	{210010:1}	5000-5000-5000-5000
110	102	2星常规灵装1	2星常规灵装1	10	0	2	2	{220020:1}	3800-3800-3800-3800
111	102	3星常规灵装1	3星常规灵装1	10	0	3	2	{230030:1}	1000-1000-1000-1000
112	102	4星常规灵装1	4星常规灵装1	10	0	4	2	{240040:1}	200-200-200-200
113	103	1星常规灵装1	1星常规灵装1	10	0	2	2	{210010:1}	4200-4200-4200-4200
114	103	2星常规灵装1	2星常规灵装1	10	0	2	2	{220020:1}	3800-3800-3800-3800
115	103	3星常规灵装1	3星常规灵装1	10	0	3	2	{230030:1}	1600-1600-1600-1600
116	103	4星常规灵装1	4星常规灵装1	10	0	4	2	{240040:1}	300-300-300-300
117	103	5星常规灵装1	5星常规灵装1	10	0	5	2	{250050:1}	100-100-100-100
118	201	1星常规灵装1	1星常规灵装1	10	0	1	2	{210011:1}	6500-6500-6500-6800
119	201	2星常规灵装1	2星常规灵装1	10	0	2	2	{220021:1}	3000-3000-3000-3000
120	201	3星常规灵装1	3星常规灵装1	10	0	3	2	{230031:1}	500-500-500-500
121	202	1星常规灵装1	1星常规灵装1	10	0	1	2	{210011:1}	5000-5000-5000-5000
122	202	2星常规灵装1	2星常规灵装1	10	0	2	2	{220021:1}	3800-3800-3800-3800
123	202	3星常规灵装1	3星常规灵装1	10	0	3	2	{230031:1}	1000-1000-1000-1000
124	202	4星常规灵装1	4星常规灵装1	10	0	4	2	{240041:1}	200-200-200-200
125	203	1星常规灵装1	1星常规灵装1	10	0	2	2	{210011:1}	4200-4200-4200-4200
126	203	2星常规灵装1	2星常规灵装1	10	0	2	2	{220021:1}	3800-3800-3800-3800
127	203	3星常规灵装1	3星常规灵装1	10	0	3	2	{230031:1}	1600-1600-1600-1600
128	203	4星常规灵装1	4星常规灵装1	10	0	4	2	{240041:1}	300-300-300-300
129	203	5星常规灵装1	5星常规灵装1	10	0	5	2	{250051:1}	100-100-100-100
130	301	1星常规灵装1	1星常规灵装1	10	0	1	2	{210012:1}	6500-6500-6500-6800
131	301	2星常规灵装1	2星常规灵装1	10	0	2	2	{220022:1}	3000-3000-3000-3000
132	301	3星常规灵装1	3星常规灵装1	10	0	3	2	{230032:1}	500-500-500-500
133	302	1星常规灵装1	1星常规灵装1	10	0	1	2	{210012:1}	5000-5000-5000-5000
134	302	2星常规灵装1	2星常规灵装1	10	0	2	2	{220022:1}	3800-3800-3800-3800
135	302	3星常规灵装1	3星常规灵装1	10	0	3	2	{230032:1}	1000-1000-1000-1000
136	302	4星常规灵装1	4星常规灵装1	10	0	4	2	{240042:1}	200-200-200-200
137	303	1星常规灵装1	1星常规灵装1	10	0	2	2	{210012:1}	4200-4200-4200-4200
138	303	2星常规灵装1	2星常规灵装1	10	0	2	2	{220022:1}	3800-3800-3800-3800
139	303	3星常规灵装1	3星常规灵装1	10	0	3	2	{230032:1}	1600-1600-1600-1600
140	303	4星常规灵装1	4星常规灵装1	10	0	4	2	{240042:1}	300-300-300-300
141	303	5星常规灵装1	5星常规灵装1	10	0	5	2	{250052:1}	100-100-100-100
142	401	1星常规灵装1	1星常规灵装1	10	0	1	2	{210013:1}	6500-6500-6500-6800
143	401	2星常规灵装1	2星常规灵装1	10	0	2	2	{220023:1}	3000-3000-3000-3000
144	401	3星常规灵装1	3星常规灵装1	10	0	3	2	{230033:1}	500-500-500-500
145	402	1星常规灵装1	1星常规灵装1	10	0	1	2	{210013:1}	5000-5000-5000-5000
146	402	2星常规灵装1	2星常规灵装1	10	0	2	2	{220023:1}	3800-3800-3800-3800
147	402	3星常规灵装1	3星常规灵装1	10	0	3	2	{230033:1}	1000-1000-1000-1000
148	402	4星常规灵装1	4星常规灵装1	10	0	4	2	{240043:1}	200-200-200-200
149	403	1星常规灵装1	1星常规灵装1	10	0	2	2	{210013:1}	4200-4200-4200-4200
150	403	2星常规灵装1	2星常规灵装1	10	0	2	2	{220023:1}	3800-3800-3800-3800
151	403	3星常规灵装1	3星常规灵装1	10	0	3	2	{230033:1}	1600-1600-1600-1600
152	403	4星常规灵装1	4星常规灵装1	10	0	4	2	{240043:1}	300-300-300-300
153	403	5星常规灵装1	5星常规灵装1	10	0	5	2	{250053:1}	100-100-100-100
154	501	1星常规灵装1	1星常规灵装1	10	0	1	2	{210014:1}	6500-6500-6500-6800
155	501	2星常规灵装1	2星常规灵装1	10	0	2	2	{220024:1}	3000-3000-3000-3000
156	501	3星常规灵装1	3星常规灵装1	10	0	3	2	{230034:1}	500-500-500-500
157	502	1星常规灵装1	1星常规灵装1	10	0	1	2	{210014:1}	5000-5000-5000-5000
158	502	2星常规灵装1	2星常规灵装1	10	0	2	2	{220024:1}	3800-3800-3800-3800
159	502	3星常规灵装1	3星常规灵装1	10	0	3	2	{230034:1}	1000-1000-1000-1000
160	502	4星常规灵装1	4星常规灵装1	10	0	4	2	{240044:1}	200-200-200-200
161	503	1星常规灵装1	1星常规灵装1	10	0	2	2	{210014:1}	4200-4200-4200-4200
162	503	2星常规灵装1	2星常规灵装1	10	0	2	2	{220024:1}	3800-3800-3800-3800
163	503	3星常规灵装1	3星常规灵装1	10	0	3	2	{230034:1}	1600-1600-1600-1600
164	503	4星常规灵装1	4星常规灵装1	10	0	4	2	{240044:1}	300-300-300-300
165	503	5星常规灵装1	5星常规灵装1	10	0	5	2	{250054:1}	100-100-100-100
166	601	1星常规灵装1	1星常规灵装1	10	0	1	2	{210015:1}	6500-6500-6500-6800
167	601	2星常规灵装1	2星常规灵装1	10	0	2	2	{220025:1}	3000-3000-3000-3000
168	601	3星常规灵装1	3星常规灵装1	10	0	3	2	{230035:1}	500-500-500-500
169	602	1星常规灵装1	1星常规灵装1	10	0	1	2	{210015:1}	5000-5000-5000-5000
170	602	2星常规灵装1	2星常规灵装1	10	0	2	2	{220025:1}	3800-3800-3800-3800
171	602	3星常规灵装1	3星常规灵装1	10	0	3	2	{230035:1}	1000-1000-1000-1000
172	602	4星常规灵装1	4星常规灵装1	10	0	4	2	{240045:1}	200-200-200-200
173	603	1星常规灵装1	1星常规灵装1	10	0	2	2	{210015:1}	4200-4200-4200-4200
174	603	2星常规灵装1	2星常规灵装1	10	0	2	2	{220025:1}	3800-3800-3800-3800
175	603	3星常规灵装1	3星常规灵装1	10	0	3	2	{230035:1}	1600-1600-1600-1600
176	603	4星常规灵装1	4星常规灵装1	10	0	4	2	{240045:1}	300-300-300-300
177	603	5星常规灵装1	5星常规灵装1	10	0	5	2	{250055:1}	100-100-100-100
178	701	1星常规灵装1	1星常规灵装1	10	0	1	2	{210016:1}	6500-6500-6500-6800
179	701	2星常规灵装1	2星常规灵装1	10	0	2	2	{220026:1}	3000-3000-3000-3000
180	701	3星常规灵装1	3星常规灵装1	10	0	3	2	{230036:1}	500-500-500-500
181	702	1星常规灵装1	1星常规灵装1	10	0	1	2	{210016:1}	5000-5000-5000-5000
182	702	2星常规灵装1	2星常规灵装1	10	0	2	2	{220026:1}	3800-3800-3800-3800
183	702	3星常规灵装1	3星常规灵装1	10	0	3	2	{230036:1}	1000-1000-1000-1000
184	702	4星常规灵装1	4星常规灵装1	10	0	4	2	{240046:1}	200-200-200-200
185	703	1星常规灵装1	1星常规灵装1	10	0	2	2	{210016:1}	4200-4200-4200-4200
186	703	2星常规灵装1	2星常规灵装1	10	0	2	2	{220026:1}	3800-3800-3800-3800
187	703	3星常规灵装1	3星常规灵装1	10	0	3	2	{230036:1}	1600-1600-1600-1600
188	703	4星常规灵装1	4星常规灵装1	10	0	4	2	{240046:1}	300-300-300-300
189	703	5星常规灵装1	5星常规灵装1	10	0	5	2	{250056:1}	100-100-100-100
190	801	1星常规灵装1	1星常规灵装1	10	0	1	2	{210017:1}	6500-6500-6500-6800
191	801	2星常规灵装1	2星常规灵装1	10	0	2	2	{220027:1}	3000-3000-3000-3000
192	801	3星常规灵装1	3星常规灵装1	10	0	3	2	{230037:1}	500-500-500-500
193	802	1星常规灵装1	1星常规灵装1	10	0	1	2	{210017:1}	5000-5000-5000-5000
194	802	2星常规灵装1	2星常规灵装1	10	0	2	2	{220027:1}	3800-3800-3800-3800
195	802	3星常规灵装1	3星常规灵装1	10	0	3	2	{230037:1}	1000-1000-1000-1000
196	802	4星常规灵装1	4星常规灵装1	10	0	4	2	{240047:1}	200-200-200-200
197	803	1星常规灵装1	1星常规灵装1	10	0	2	2	{210017:1}	4200-4200-4200-4200
198	803	2星常规灵装1	2星常规灵装1	10	0	2	2	{220027:1}	3800-3800-3800-3800
199	803	3星常规灵装1	3星常规灵装1	10	0	3	2	{230037:1}	1600-1600-1600-1600
200	803	4星常规灵装1	4星常规灵装1	10	0	4	2	{240047:1}	300-300-300-300
201	803	5星常规灵装1	5星常规灵装1	10	0	5	2	{250057:1}	100-100-100-100
202	901	1星常规灵装1	1星常规灵装1	10	0	1	2	{210018:1}	6500-6500-6500-6800
203	901	2星常规灵装1	2星常规灵装1	10	0	2	2	{220028:1}	3000-3000-3000-3000
204	901	3星常规灵装1	3星常规灵装1	10	0	3	2	{230038:1}	500-500-500-500
205	902	1星常规灵装1	1星常规灵装1	10	0	1	2	{210018:1}	5000-5000-5000-5000
206	902	2星常规灵装1	2星常规灵装1	10	0	2	2	{220028:1}	3800-3800-3800-3800
207	902	3星常规灵装1	3星常规灵装1	10	0	3	2	{230038:1}	1000-1000-1000-1000
208	902	4星常规灵装1	4星常规灵装1	10	0	4	2	{240048:1}	200-200-200-200
209	903	1星常规灵装1	1星常规灵装1	10	0	2	2	{210018:1}	4200-4200-4200-4200
210	903	2星常规灵装1	2星常规灵装1	10	0	2	2	{220028:1}	3800-3800-3800-3800
211	903	3星常规灵装1	3星常规灵装1	10	0	3	2	{230038:1}	1600-1600-1600-1600
212	903	4星常规灵装1	4星常规灵装1	10	0	4	2	{240048:1}	300-300-300-300
213	903	5星常规灵装1	5星常规灵装1	10	0	5	2	{250058:1}	100-100-100-100
214	1001	1星常规灵装1	1星常规灵装1	10	0	1	2	{210019:1}	6500-6500-6500-6800
215	1001	2星常规灵装1	2星常规灵装1	10	0	2	2	{220029:1}	3000-3000-3000-3000
216	1001	3星常规灵装1	3星常规灵装1	10	0	3	2	{230039:1}	500-500-500-500
217	1002	1星常规灵装1	1星常规灵装1	10	0	1	2	{210019:1}	5000-5000-5000-5000
218	1002	2星常规灵装1	2星常规灵装1	10	0	2	2	{220029:1}	3800-3800-3800-3800
219	1002	3星常规灵装1	3星常规灵装1	10	0	3	2	{230039:1}	1000-1000-1000-1000
220	1002	4星常规灵装1	4星常规灵装1	10	0	4	2	{240049:1}	200-200-200-200
221	1003	1星常规灵装1	1星常规灵装1	10	0	2	2	{210019:1}	4200-4200-4200-4200
222	1003	2星常规灵装1	2星常规灵装1	10	0	2	2	{220029:1}	3800-3800-3800-3800
223	1003	3星常规灵装1	3星常规灵装1	10	0	3	2	{230039:1}	1600-1600-1600-1600
224	1003	4星常规灵装1	4星常规灵装1	10	0	4	2	{240049:1}	300-300-300-300
225	1003	5星常规灵装1	5星常规灵装1	10	0	5	2	{250059:1}	100-100-100-100
226	2001	祈愿保底	祈愿保底	10	1	5	2	{250050:1}	100-100-100-100
227	2001	祈愿保底	祈愿保底	10	1	5	2	{250051:1}	100-100-100-100
228	2001	祈愿保底	祈愿保底	10	1	5	2	{250052:1}	100-100-100-100
229	2001	祈愿保底	祈愿保底	10	1	5	2	{250053:1}	100-100-100-100
230	2001	祈愿保底	祈愿保底	10	1	5	2	{250054:1}	100-100-100-100
231	2001	祈愿保底	祈愿保底	10	1	5	2	{250055:1}	100-100-100-100
232	2001	祈愿保底	祈愿保底	10	1	5	2	{250056:1}	100-100-100-100
233	2001	祈愿保底	祈愿保底	10	1	5	2	{250057:1}	100-100-100-100
234	2001	祈愿保底	祈愿保底	10	1	5	2	{250058:1}	100-100-100-100
235	2001	祈愿保底	祈愿保底	10	1	5	2	{250059:1}	100-100-100-100
