特效ID	技能ID	技能名字	伤害类型（1普攻、2技能1、3技能2、4出场、6大招、7觉醒）	1=物理伤害,2=冰属性,3=火属性,4=风属性,5=电属性,6=毒素,7=光属性,8=暗属性,9=精神	是否计算伤害命中	伤害比例	觉醒值获得	角色能量获得	命中停顿	命中音效（配置hitMusic中的ID）	不需要命中的触发BUFF	触发BUFF	受击角色抖动次数	屏幕震动选择（0或不填为无视是否命中都会抖动。1为命中抖动）	屏幕震动(0不抖动1三角抖动2缩放)	屏幕抖动强度	抖动次数	震屏缓动（1开启缓动）	模糊时间（毫秒）	模糊程度（0为关闭，强度范围1~100）	非倒地状态是否受击	倒地目标是否受击	可否伤害倒地目标	buffer事件触发	位移方式（1角度更替位移，2平移叠加位移）	浮空角度	X轴平移距离	浮空平移速度	命中僵直	暴击率	暴击伤害	穿透率	对普通怪伤害加成	对精英怪伤害加成	对boss怪伤害加成	对人类伤害加成	对能量怪伤害加成	对机械怪伤害加成	对精灵伤害加成	命中率	目标减伤率	目标抗暴率	目标格挡率
3101	100120	蓄力剑气-0	2	1	1	1			60	1010104			1	0	1	14	2				1	1	1	0	1	80		750															
3102	100120	蓄力剑气-1	2	1	1	1.8			60	1010105			1	0	1	18	2	1	2000	70	1	1	1	0	1	80		750															
3103	100120	蓄力剑气-2	2	1	1	2.5			80	1010105			1	0	2	3	3	1	2000	70	1	1	1	0	1	80		750															
3104	100120	蓄力剑气-3	2	1	1	2			80	1010104			1	0	1	18	3	1	2000	70	1	1	1	0	1	80		750															
3105	100120	蓄力剑气-3	2	1	1	3			80	1010105			1	0	2	3	2	1	2000	70	1	1	1	0	1	80		750															
3106	100120	蓄力剑气3+	2	1	1	1			80	1010105			1	0	1	15	3	1	2000	70	1	1	1	0	1	80		750															
3107	100120	蓄力剑气3+	2	1	1	1.5			80	1010105			1	0	1	23	3	1	2000	70	1	1	1	0	1	80		750															
3108	100120	蓄力剑气3+	2	1	1	3.5			80	1010106			1	0	2	4	3	1	2000	70	1	1	1	0	1	80		750															
3201	100110	十香—技能2-招1	3	1	1	1			80	1010101			1	1	1	12	2				1	0	1	0	2		20	200															
3202	100110	十香—技能2-招2	3	1	1	2			80	1010102			1	1	1	15	2				1	0	1	0	2		20	200															
3203	100110	十香—技能2-招3	3	1	1	1.5			120	1010103			1	1	1	20	3				1	0	1	0	1	80		800															
3204	100110	十香—技能2-招1+	3	1	1	1			80	1010101			1	1	1	12	2				1	0	1	0	2		20	200															
3205	100110	十香—技能2-招2+	3	1	1	1.5			80	1010102			1	1	1	15	2				1	0	1	0	2		20	200															
3206	100110	十香—技能2-招3+	3	1	1	2			120	1010103			1	1	1	20	3				1	0	1	0	1	80		800															
																																											
4001	100210	折纸—普攻1	1	1	1	0.6	1		60	1020102			1	1	1	12	2				1	0	1	0	2		50	200	1000														
4002	100210	折纸—普攻2	1	1	1	0.7	2		60	1020102			1	1	1	13	2				1	0	1	0	1	80		650	1000														
4003	100210	折纸—普攻3	1	1	1	0.4	1		60	1020101			1	1	1	8	1				1	0	1	0	2		50	200	1000														
4004	100210	折纸—普攻4	1	1	1	0.5	1		60	1020101			1	1	1	8	1				1	0	1	0	2		50	200	1000														
4005	100210	折纸—普攻5	1	1	1	2	2		90	1020103			1	1	2	5	3	1	1000	50	1	0	1	0	1	80		800	1000														
4011	100210	折纸—技能1-0级	2	1	1	0.6			0	1020101			1	1	1	8	1				1	0	1	0	2		15	200	3000														
4012	100210	折纸—技能1-1级	2	1	1	0.5			0	1020101			1	1	1	8	1				1	0	1	0	2		15	200	3000														
4013	100210	折纸—技能1-2级	2	1	1	0.5			0	1020101			1	1	1	8	1				1	0	1	0	2		15	200	3000														
4014	100210	折纸—技能1-2级	2	1	1	1			0	1020103			1	1	1	8	1				1	0	1	0	1	80		700	3000														
4015	100210	折纸—技能1-3级	2	1	1	0.5			0	1020101			1	1	1	8	1				1	0	1	0	2		15	200	3000														
4016	100210	折纸—技能1-3级	2	1	1	1			0	1020103			1	1	1	8	1				1	0	1	0	1	80		700	3000														
4021	100210	折纸—技能2-0级	2	3	1	0.25			0	1020108			1	1	1	8	1				1	0	1	0	2		20	300	3000														
4022	100210	折纸—技能2-1级	2	3	1	0.25			0	1020108			1	1	1	8	1				1	0	1	0	2		20	300	3000														
4023	100210	折纸—技能2-2级	2	3	1	0.2			0	1020108			1	1	1	8	1				1	0	1	0	2		20	300	3000														
4024	100210	折纸—技能2-3级	2	3	1	0.2			0	1020108			1	1	1	8	1				1	0	1	0	2		20	300	3000														
4025	100210	折纸—技能2-3级	2	3	1	0.5			0	1020107			1	1	1	8	1				1	0	1	0	2		20	300	3000														
4031	100220	折纸—大招—0级-导弹	6	3	1	0.6			0	1020105			1		1	12	1				1	1	1	0	1	80		450	0														
4032	100220	折纸—大招—1级-导弹	6	3	1	0.5			0	1020105			1		1	12	1				1	1	1	0	1	80		450	0														
4033	100220	折纸—大招—2级-导弹	6	3	1	0.41			0	1020105			1		1	12	1				1	1	1	0	1	80		450	0														
4034	100220	折纸—大招—2级-地面燃烧	6	3	1	0.2			0	1020106			1		0						0	0	1	0					0														
4035	100220	折纸—大招—3级-导弹	7	3	1	0.41			0	1020105			1	1	1	8	1				1	1	1	0	1	85		400	0														
4036	100220	折纸—大招—3级-地面燃烧	7	3	1	0.2			0	1020106			1	1	0						0	0	1	0					0														
4037	100220	折纸—大招—3级-撞击	7	3	1	2			0	1020104			1	1	1	8	1				1	1	1	0	1	85		750	0														
4041	100230	折纸—觉醒1	7	1	1	1.5			60	1020103			1		1	10	2				1	1	1	0	2		15	800	-5000														
4042	100230	折纸—觉醒2	7	1	1	1.5			60	1020103			1		1	10	2				1	1	1	0	2		15	800	-5000														
4043	100230	折纸—觉醒3	7	1	1	1.5			60	1020103			1		1	10	2				1	1	1	0	2		15	800	-5000														
4044	100230	折纸—觉醒4	7	5	1	1			60	1020107			1		2	2	1	1	2000	40	1	1	1	0	2		15	300	-1000														
4051	100250	折纸—出场技能	4	1	1	0.5			0	1020103			1	1	1	15	1				1	1	1	0	1	85		500	-3000														
4052	100250	折纸—出场技能	4	1	1	1			0	1020104			1	1	1	15	1				1	1	1	0	1	85		500	-3000														
4053	100210	折纸—闪避-斩(旧)	1	1	1	1			150				1	1	1	1	1				1	0	1	0	1	80		800	-3000														
																																											
5001	100310	四糸乃-普攻1	1	2	1	0.6	1		30	1030101			1	1	1	6	1				1	0	0	0	2			500	-3000														
5002	100310	四糸乃-普攻2	1	2	1	0.6	2		30	1030101			1	1	1	6	1				1	0	0	0	2			500	-3000														
5003	100310	四糸乃-普攻3	1	2	1	0.8	2		30	1030102			1	1	1	6	1				1	0	0	0	1	80		600	-3000														
5004	100310	四糸乃-普攻4	1	2	1	1.25	2		30	1030102			1	1	1	8	2		1000	50	1	0	0	0	1	80		600	-3000														
5005	100310	四糸乃-普攻5	1	2	1	1			30	1030102			1	1	1	8	2				1	0	0	0	1	80		600	-3000														
5006	100310	四糸乃-法阵-普攻	1	2	1	0.5			60	1030101			1	1	1	10	1				1	0	1	0	2		10	500	-3000														
5010	100320	四糸乃-技能1-0级	2	2	1	0.8			60	1030104			1	1	1	8	2				1	1	1	0	1	70		350	-3000														
5011	100320	四糸乃-技能1-0级	2	2	1	1.2			60	1030105			1	1	1	8	2				1	1	1	0	1	80		650	-3000														
5020	100320	四糸乃-技能1-1级	2	2	1	0.8			60	1030104			1	1	1	8	2				1	1	1	0	1	70		350	-3000														
5021	100320	四糸乃-技能1-1级	2	2	1	1.4			60	1030105			1	1	1	8	2				1	1	1	0	1	80		650	-3000														
5030	100320	四糸乃-技能1-2级	2	2	1	0.8			60	1030104			1	1	1	8	3		1500	60	1	1	1	0	1	70		350	-3000														
5031	100320	四糸乃-技能1-2级-最后一下	2	2	1	1.6			60	1030105			1	1	1	8	3		1500	60	1	1	1	0	1	80		650	-3000														
5040	100320	四糸乃-技能1-3级	2	2	1	0.8			60	1030104			1	1	1	8	3		1500	60	1	1	1	0	1	70		350	-3000														
5041	100320	四糸乃-技能1-3级-最后一下	2	2	1	1.6			60	1030105			1	1	1	8	3		1500	60	1	1	1	0	1	70		600	-3000														
5042	100320	四糸乃-技能1-3级-爆炸	2	2	1	0.25			60	1030111			1	1	1	3	3		1500	60	1	1	1	0	1	80		500	-3000														
5050	100370	四糸乃-技能2-0级	3	2	1	0.3			15	1030108		6007	0	0	0	0	0				0	0	1	0	2		0	0															
5060	100370	四糸乃-技能2-1级	3	2	1	0.38			15	1030108		6007	1	1	1	3	2				0	0	1	0	2		0	0	-3000														
5070	100370	四糸乃-技能2-2级	3	2	1	0.44			15	1030108		6007	1	1	1	3	2				0	0	1	0	2		0	0	-3000														
5080	100370	四糸乃-技能2-3级	3	2	1	0.71			15	1030109		6007-10430711	1	1	1	3	3		1500	60	0	0	1	0	2		0	0	-3000														
5090	100380	四糸乃-大招-0级	6	2	1	0.45			25	1030108			0		0	0	0		1000	30	1	0	1	0	1	80		360	-3000														
5091	100380	四糸乃-大招-0级	6	2	1	0.55			25	1030109			0		0	0	0		1000	30	0	0	1	0	1	80		360	-3000														
5100	100380	四糸乃-大招-1级	6	2	1	0.63			25	1030108			1	1	1	3	1		1000	30	1	0	1	0	1	80		360	-3000														
5101	100380	四糸乃-大招-1级	6	2	1	0.7			25	1030109			1	1	1	3	1		1000	30	0	0	1	0	1	80		360	-3000														
5110	100380	四糸乃-大招-2级	6	2	1	0.77			25	1030108			1	1	1	6	1		1000	30	1	0	1	0	1	80		360	-3000														
5111	100380	四糸乃-大招-2级	6	2	1	0.9			25	1030109			1	1	1	6	1		1000	30	0	0	1	0	1	80		360	-3000														
5120	100380	四糸乃-大招-3级	6	2	1	0.7			25	1030108			1	1	1	8	1		1000	30	1	0	1	0	1	89		480	-3000														
5121	100380	四糸乃-大招-3级	6	2	1	0.8			25	1030109			1	1	1	8	1		1000	30	1	0	1	0	1	80		100	-3000														
5200	100310	四糸乃-闪避-冰暴	1	2	1	0.1			0				1	1	1	8	2		1500	50	1	0	1	0	1	80		800	-3000														
5210	100310	四糸乃-出场—冰刺1	4	2	1	0.3			60	1030105			1	1	1	8	1				1	1	1	0	1	85		200	-3000														
5211	100310	四糸乃-出场—冰刺2	4	2	1	0.3			60	1030105			1	1	1	8	1				1	1	1	0	1	85		200	-3000														
5212	100310	四糸乃-出场—冰刺3	4	2	1	0.3			60	1030105			1	1	1	8	1				1	1	1	0	1	85		200	-3000														
5213	100310	四糸乃-出场—冰刺4	4	2	1	0.3			60	1030105			1	1	1	8	1				1	1	1	0	1	85		400	-3000														
5214	100310	四糸乃-出场—冰刺5	4	2	1	0.6			60	1030106			1	1	1	8	2		2000	50	1	1	1	0	1	60		600	-3000														
5220	100330	四糸乃-觉醒1	7	2	1	1.3			60	1030107			1		1	8	1		1000	20	1	1	1	0	2		20	400	-3000														
5230	100330	四糸乃-能量机制全屏冰霜伤害	7	2	1	1			0	1030108		6005	1		1	2	1		1000	20	0	0	1	0	2		20	400	-3000														
																																											
6910	100610	崇宫真那-普攻1	1	5	1	0.5	1		60	1060101			1	1	1	12	1				1	0	1	0	2		30	200	3000														
6920	100610	崇宫真那-普攻2	1	5	1	0.3	1		60	1060102			1	1	1	12	1				1	0	1	0	2		40	200	3000														
6921	100610	崇宫真那-普攻2	1	5	1	0.3	1		60	1060101			1	1	1	12	1				1	0	1	0	2		40	200	3000														
6930	100610	崇宫真那-普攻3	1	5	1	0.4	1		60	1060101			1	1	1	14	1				1	0	1	0	1	80		500	3000														
6931	100610	崇宫真那-普攻3	1	5	1	0.5	1		60	1060102			1	1	1	14	1				1	0	1	0	1	80		500	3000														
6940	100610	崇宫真那-普攻4	1	5	1	0.5	2		60	1060101			1	1	1	14	1				1	0	1	0	2		20	300	3000														
6941	100610	崇宫真那-普攻4	1	5	1	1	2		90	1060102			1	1	1	14	1				1	0	1	0	1	60		700	3000														
6950	100610	崇宫真那-普攻5	1	5	1	0.25			30	1060101			1	1	2	0	2	1	1000	20	1	0	1	0	1	85		350	3000														
6951	100610	崇宫真那-普攻-残影爆炸	1	5	1	0.3			90	1060106			1	1	2	0	2	1	1000	20	1	0	1	0	1	80		600	3000														
6201	100620	崇宫真那-技能1-0级	2	5	1	0.2			90	1060101			1	1	1	10	1				1	1	1	0	1	85		500	3000														
6202	100620	崇宫真那-技能1-0级	2	5	1	0.3			90	1060102			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6203	100620	崇宫真那-技能1-0级	2	5	1	0.3			90	1060101			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6204	100620	崇宫真那-技能1-0级	2	5	1	0.4			90	1060101			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6205	100620	崇宫真那-技能1-0级	2	5	1	0.8			90	1060102			1	1	1	18	1				1	0	1	0	1	85		650	3000														
6211	100620	崇宫真那-技能1-1级	2	5	1	0.2			90	1060101			1	1	1	10	1				1	1	1	0	1	85		500	3000														
6212	100620	崇宫真那-技能1-1级	2	5	1	0.3			90	1060102			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6213	100620	崇宫真那-技能1-1级	2	5	1	0.3			90	1060101			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6214	100620	崇宫真那-技能1-1级	2	5	1	0.5			90	1060101			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6215	100620	崇宫真那-技能1-1级	2	5	1	0.7			90	1060102			1	1	1	18	1				1	0	1	0	1	85		500	3000														
6220	100620	崇宫真那-技能1-1级	2	5	1	1			90	1060103			1	1	1	10	1				1	1	1	0	1	85		650	3000														
6231	100620	崇宫真那-技能1-2级	2	5	1	0.2			90	1060101			1	1	1	10	1				1	1	1	0	1	85		500	3000														
6232	100620	崇宫真那-技能1-2级	2	5	1	0.3			90	1060102			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6233	100620	崇宫真那-技能1-2级	2	5	1	0.3			90	1060101			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6234	100620	崇宫真那-技能1-2级	2	5	1	0.4			90	1060101			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6235	100620	崇宫真那-技能1-2级	2	5	1	0.5			90	1060102			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6240	100620	崇宫真那-技能1-2级	2	5	1	0.8			90	1060103			1	1	1	10	1				1	1	1	0	1	85		500	3000														
6250	100620	崇宫真那-技能1-2级	2	5	1	1.5			90	1060105			1	1	1	10	1				1	1	1	0	1	85		650	3000														
6261	100620	崇宫真那-技能1-3级	2	5	1	0.2			90	1060101			1	1	1	10	1				1	1	1	0	1	85		500	3000														
6262	100620	崇宫真那-技能1-3级	2	5	1	0.3			90	1060102			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6263	100620	崇宫真那-技能1-3级	2	5	1	0.5			90	1060101			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6264	100620	崇宫真那-技能1-3级	2	5	1	0.6			90	1060101			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6265	100620	崇宫真那-技能1-3级	2	5	1	0.8			90	1060102			1	1	1	18	1				1	0	1	0	1	85		150	3000														
6270	100620	崇宫真那-技能1-3级	2	5	1	0.9			90	1060103			1	1	1	10	1				1	1	1	0	1	85		500	3000														
6280	100620	崇宫真那-技能1-3级	2	5	1	1.7			90	1060105			1	1	1	10	1				1	1	1	0	1	85		650	3000														
6700	100620	崇宫真那-技能2-0级	2	5	1	0.8			90	1060104			1	1	1	10	1				1	1	1	0	1	85		300	3000														
6710	100620	崇宫真那-技能2-0级	2	5	1	1			90	1060104			1	1	1	10	1				1	1	1	0	1	85		700	3000														
6720	100620	崇宫真那-技能2-1级	2	5	1	0.6			90	1060104			1	1	1	10	1				1	1	1	0	1	85		300	3000														
6730	100620	崇宫真那-技能2-1级	2	5	1	0.6			90	1060104			1	1	1	10	1				1	1	1	0	1	85		300	3000														
6740	100620	崇宫真那-技能2-1级	2	5	1	0.8			90	1060104			1	1	1	10	1				1	1	1	0	1	85		300	3000														
6750	100620	崇宫真那-技能2-1级	2	5	1	1			90	1060104			1	1	1	10	1				1	1	1	0	1	85		700	3000														
6760	100620	崇宫真那-技能2-2级	2	5	1	0.1			90	1060107			1	1	1	10	1				1	1	1	0	1	85		300	3000														
6761	100620	崇宫真那-技能2-2级	2	5	1	0.3			90	1060107			1	1	1	10	1				1	1	1	0	1	85		600	3000														
6770	100620	崇宫真那-技能2-3级	2	5	1	0.14			90	1060107			1	1	1	10	1				1	1	1	0	1	85		300	3000														
6771	100620	崇宫真那-技能2-3级	2	5	1	0.5			90	1060107			1	1	1	10	1				1	1	1	0	1	85		600	3000														
6801	100610	崇宫真那-大招-0级	6	5	1	1			90	1060105			1		1	10	2				1	1	1	0	1	80		600	3000														
6802	100610	崇宫真那-大招-0级	6	5	1	0.5			90	1060106			1		1	10	2				1	1	1	0	1	80		300	3000														
6811	100610	崇宫真那-大招-1级	6	5	1	0.5			90	1060105			1		1	10	2				1	1	1	0	1	80		300	3000														
6812	100610	崇宫真那-大招-1级	6	5	1	1			90	1060106			1		1	10	2				1	1	1	0	1	80		700	3000														
6821	100610	崇宫真那-大招-2级	6	5	1	0.5			90	1060105			1		1	10	2				1	1	1	0	1	80		300	3000														
6822	100610	崇宫真那-大招-2级	6	5	1	1			90	1060106			1		1	10	2				1	1	1	0	1	80		700	3000														
6831	100610	崇宫真那-大招-3级	6	5	1	0.5			90	1060105			1		1	10	2				1	1	1	0	1	80		300	3000														
6832	100610	崇宫真那-大招-3级	6	5	1	1.5			90	1060106			1		1	10	2				1	1	1	0	1	80		700	3000														
6030	100630	崇宫真那-觉醒1	7	5	1	0.5			0	1060102			1		1	8	1		1000	30	1	0	1	0	2		10	100	3000														
6031	100630	崇宫真那-觉醒1	7	5	1	1			0	1060102			1		1	8	1		1000	30	1	1	1	0	1	80		1000	3000														
6032	100630	崇宫真那-觉醒1	7	5	1	1.5			0	1060107			1		1	8	1		1000	30	1	1	1	0	1	85		600	3000														
6033	100630	崇宫真那-觉醒1	7	5	1	0.57			0	1060107			1		1	8	1		1000	30	1	1	1	0	1	90		400	3000														
6034	100630	崇宫真那-觉醒1	7	5	1	3			0	1060107			1		2	5	2	1	1000	30	1	1	1	0	1	90		500	3000														
6040	100610	崇宫真那-闪避-闪电穿梭	1	5	1	0.1			60	1060104			1	1	1	12	1				1	0	1	0	1	90		600	3000														
6050	100610	崇宫真那-出场1	2	5	1	0.3			60	1060101			1	1	1	5	1				0	0	1	0	1	90		300	3000														
6060	100610	崇宫真那-出场2	2	5	1	0.5			60	1060101			1	1	2	5	2	1	1500	40	1	0	1	0	1	60		600	3000														
6070	100610	崇宫真那-电流爆炸	1	5	1	0.3			60	1060106			1	1	1	8	1				1	0	1	0	1	60		300	3000														
6080	100610	崇宫真那-残影攻击	1	5	1	0.3			60	1060101			1	1	1	10	1				1	1	1	0	0		40	50	3000														
																																											
7001	100510	琴里—普攻1	1	1	1	0.7	2	1	150	1050101			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7002	100510	琴里—普攻2	1	1	1	0.8	3	1	150	1050101			1	1	1	12	1				1	0	1	0	2		50	400	-5000														
7003	100510	琴里—普攻3	1	1	1	1	3	1	250	1050102			1	1	1	12	1				1	0	1	0	2		0	400	-5000														
7004	100510	琴里—普攻4	1	1	1	1.5	4	1	250	1050102			1	1	1	15	1				1	0	1	0	1	85		800	-5000														
7005	100510	琴里—普攻5	1	1	1	2.3	4	2	250	1050102			1	1	2	8	2	1	1500	30	1	0	1	0	1	80		750	-5000														
7040	100530	琴里—觉醒	7	3	1	1			100	1050107			1		1	10	1		1000	30	1	1	1	0	1	40		500	-5000														
7050	100550	琴里—出场—旋风斩	4	3	1	1			100	1050101			1	1	1	10	1				1	0	1	0	2		30	100	-5000														
7051	100550	琴里—出场—旋风斩	4	3	1	2			100	1050101			1	1	1	18	1		1000	40	1	1	1	0	1	80		800	-5000														
7060	100510	琴里-技能1-旋转挑飞-0级-旋转	1	1	1	0.85			150	1050101			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7061	100510	琴里-技能1-旋转挑飞-1级-旋转	1	1	1	0.85			150	1050101			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7062	100510	琴里-技能1-旋转挑飞-1级-横斩*2	1	1	1	0.95			150	1050102			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7063	100510	琴里-技能1-旋转挑飞-2级-旋转	1	1	1	0.85			150	1050101			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7064	100510	琴里-技能1-旋转挑飞-2级-横斩*2	1	1	1	0.95			150	1050101			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7065	100510	琴里-技能1-旋转挑飞-2级-重劈	1	1	1	2			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7066	100510	琴里-技能1-旋转挑飞-3级-旋转	1	1	1	0.85			150	1050101			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7067	100510	琴里-技能1-旋转挑飞-3级-横斩*2	1	1	1	0.95			150	1050101			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7068	100510	琴里-技能1-旋转挑飞-3级-重劈	1	1	1	2			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7080	100510	琴里-技能2-跳跃重劈-0级-跳劈	1	3	1	1.5			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7081	100510	琴里-技能2-跳跃重劈-1级-跳劈	1	3	1	1.5			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7082	100510	琴里-技能2-跳跃重劈-1级-火浪	1	3	1	0.3			150	1050104			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7083	100510	琴里-技能2-跳跃重劈-2级-跳劈	1	3	1	1.5			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7084	100510	琴里-技能2-跳跃重劈-2级-火浪	1	3	1	0.5			150	1050104			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7085	100510	琴里-技能2-跳跃重劈-2级-地面火焰	1	3	1	0.3			150	1020106			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7086	100510	琴里-技能2-跳跃重劈-3级-跳劈	1	3	1	1.5			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7087	100510	琴里-技能2-跳跃重劈-3级-火浪	1	3	1	0.5			150	1050104			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7088	100510	琴里-技能2-跳跃重劈-3级-地面火焰	1	3	1	0.3			150	1020106			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7100	100510	琴里-技能2-必杀-0级-踩	1	1	1	0.8			150	1050106			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7101	100510	琴里-技能2-必杀-0级-斩	1	1	1	1.2			150	1050102			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7102	100510	琴里-技能2-必杀-0级-斩劈1	1	1	1	2			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7103	100510	琴里-技能2-必杀-1级-踩	1	1	1	0.5			150	1050106			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
