	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型(默认:普通;1:限时选项;2:选择UI框;3:选择图片;4:CG区域选项;5:单选)	特殊选项(addjump:延时添加选项;deljump:延时删除选项;image;图片选择;cg;CG区域选择)	插入图片	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
1100016	1101001	7	{}		100		现 在 的 大 小 是 x 1 . 6 。	1	{"scales": [{"start":0,"ends":21,"value":1.6}]}				{}	1100017											{}											{}											{}										1		{}																	{}	{}										
1100017	1101001	7	{}		100		现 在 的 大 小 是 x 1 . 7 。	1	{"scales": [{"start":0,"ends":21,"value":1.7}]}				{}	1100018											{}											{}											{}										1		{}																	{}	{}										
1100018	1101001	7	{}		100		现 在 的 大 小 是 x 1 . 8 。	1	{"scales": [{"start":0,"ends":21,"value":1.8}]}				{}	1100019											{}											{}											{}										1		{}																	{}	{}										
1100019	1101001	7	{}		100		现 在 的 大 小 是 x 1 . 9 。	1	{"scales": [{"start":0,"ends":21,"value":1.9}]}				{}	1100020											{}											{}											{}										1		{}																	{}	{}										
1100020	1101001	7	{}		100		现 在 的 大 小 是 x 2 . 0 。	1	{"scales": [{"start":0,"ends":21,"value":2}]}				{}	1100021											{}											{}											{}										1		{}																	{}	{}										
1100021	1101001	7	{}		100		现 在 的 大 小 是 x 2 . 1 。	1	{"scales": [{"start":0,"ends":21,"value":2.1}]}				{}	1100022											{}											{}											{}										1		{}																	{}	{}										
1100022	1101001	7	{}		100		接下来每个字之间有两个空格，测试尺寸是否合适。	1	{}				{}	1100023											{}											{}											{}										1		{}																	{}	{}										
1100023	1101001	7	{}		100		现  在  的  大  小  是  x  2  .  0  。	1	{"scales": [{"start":0,"ends":9,"value":2}]}				{}	1100024											{}											{}											{}										1		{}																	{}	{}										
1100024	1101001	7	{}		100		现   在   的   大   小   是   x   2   .   2   。	1	{"scales":[{"start":0,"ends":9,"value":2}]}				{}	1100025											{}											{}											{}										1		{}																	{}	{}										
1100025	1101001	7	{}		100		现    在    的    大    小    是    x    2    .    4    。	1	{"scales": [{"start":0,"ends":9,"value":2}]}				{}	1100026											{}											{}											{}										1		{}																	{}	{}										
1100026	1101001	7	{}		100		现     在     的     大     小     是     x     2     .     6     。	1	{"scales": [{"start":0,"ends":9,"value":2}]}				{}	1100027											{}											{}											{}										1		{}																	{}	{}										
1100027	1101001	7	{}		100		现      在      的      大      小      是      x      2      .      8      。	1	{"scales": [{"start":0,"ends":9,"value":2}]}				{}	1100028											{}											{}											{}										1		{}																	{}	{}										
1100028	1101001	7	{}		100		我跟你讲，其实昨天我忘记锁公司后门了（现在是x0.5	1	{"scales": [{"value":0.6, "start":1,"ends":26}]}				{}	1100029											{}											{}											{}										1		{}																	{}	{}										
1100029	1101001	7	{}		100		啊！这句话中间居然会有延时！	1	{"scales": [{"value":1.5, "start":17,"ends":24}],"deyTimes":[{"num":2,"value":1}]}				{}	1100030											{}											{}											{}										1		{}																	{}	{}										
1100030	1101001	7	{}		100		我有特别的填写延时的技巧。	1	{"deyTimes":[{"value":0.5,"num":1},{"value":0.5,"num":2},{"value":0.5,"num":3},{"value":0.5,"num":4},{"value":0.5,"num":5},{"value":0.5,"num":6},{"value":0.5,"num":7},{"value":0.5,"num":8},{"value":0.5,"num":9},{"value":0.5,"num":10},{"value":0.5,"num":11},{"value":0.5,"num":12}]}				{}	1100031											{}											{}											{}										1		{}																	{}	{}										
1100031	1101001	7	{}		100		这一句话，引号里的“文会”会变成蓝色……“<Princess>”。	1	{"colors":[{"value":{"r":65,"b":105,"g":225},"start":10,"ends":13},{"value":{"r":238,"b":174,"g":238},"start":21,"ends":33}]}				{}	1100032											{}											{}											{}										1		{}																	{}	{}										
1100032	1101001	7	{}		100		这一句话，引号里的“文会”有底板……<Hermit>。	1	{"tb":[{"start":10,"ends":13},{"start":19,"ends":26}]}				{}	1100033											{}											{}											{}										1		{}																	{}	{}										
1100033	1101001	7	{}		100		这句话，混用了两种以上的功能。	1	{"scales": [{"value":1.5, "start":1,"ends":5}],"deyTimes":[{"num":3,"value":1}]}				{}	1100034											{}											{}											{}										1		{}																	{}	{}										
1100034	1101001	7	{}		100		这句话！混用了两种以上的功能。	1	{"scales": [{"value":1.5, "start":1,"ends":7}],"deyTimes":[{"num":3,"value":2}]}				{}	1100035											{}											{}											{}										1		{}																	{}	{}										
1100035	1101001	7	{}		100		下一项。	1	{}				{}	1100036											{}											{}											{}										1		{}																	{}	{}										
1100036	1101001	7	{}		100		看下能不能切文字框。	1	{}	1			{}	1100037											{}											{}											{}										1		{}																	{}	{}										
1100037	1101001	7	{}		100		再切换另外一个。	1	{}	2			{}	1100038											{}											{}											{}										1		{}																	{}	{}										
1100038	1101001	7	{}		100		下一项。	1	{}				{}	1100039											{}											{}											{}										1		{}																	{}	{}										
1100039	1101001	7	{}		100		我们先换个地方吧。	1	{}				{}	1100040											{}											{}											{}										1		{}																	{}	{}										
1100040	1101001	7	{}		100		这里比较亮一些。坐标190,-150	1	{}				{}	1100041											{}											{}											{}										1		{"x":190,"y":-150}																	{}	{}										
1100041	1101001	7	{}		100		看看周围有啥。坐标-190,150	1	{}				{}	1100042											{}											{}											{}										1		{"x":-190,"y":150}																	{}	{}										
1100042	1101001	7	{}		100		试试不同的切换背景的方式。	1	{}				{}	1100043											{}											{}											{}										1		{}																	{}	{}										
1100043	1101001	7	{}		100		第一种。	1	{}				{}	1100044											{}											{}											{}										1		{}																	{}	{}										
1100044	1101001	7	{}		100		第二种。	1	{}				{}	1100045											{}											{}											{}										1		{}																	{}	{}										
1100045	1101001	7	{}		100		第三种。	1	{}				{}	1100046											{}											{}											{}										1		{}																	{}	{}										
1100046	1101001	7	{}		100		试试背景效果。	1	{}				{}	1100047											{}											{}											{}										1		{}																	{}	{}										
1100047	1101001	7	{}		100		变灰。	1	{}				{}	1100048											{}											{}											{}										1		{}																	{}	{}										
1100048	1101001	7	{}		100		变红。	1	{}				{}	1100069											{}											{}											{}										1		{}																	{}	{}										
1100069	1101001	7	{}		100		下一项。	1	{}				{}	1100070											{}											{}											{}										1		{}																	{}	{}										
1100070	1101001	7	{}		100		来点音乐，音量50	1	{}				{}	1100071											{}											{}											{}										1		{}																	{}	{}										
1100071	1101001	7	{}		100		调整音量，30	1	{}				{}	1100072											{}											{}											{}										1		{}																	{}	{}										
1100072	1101001	7	{}		100		调整音量，10	1	{}				{}	1100073											{}											{}											{}										1		{}																	{}	{}										
1100073	1101001	7	{}		100		调整音量，50	1	{}				{}	1100074											{}											{}											{}										1		{}																	{}	{}										
1100074	1101001	7	{}		100		调整音量，70	1	{}				{}	1100075											{}											{}											{}										1		{}																	{}	{}										
1100075	1101001	7	{}		100		调整音量，100	1	{}				{}	1100076											{}											{}											{}										1		{}																	{}	{}										
1100076	1101001	7	{}		100		播放一个环境音	1	{}				{}	1100077											{}											{}											{}										1		{}																	{}	{}										
1100077	1101001	7	{}		100		播放一个音效	1	{}				{}	1100078											{}											{}											{}										1		{}																	{}	{}										
1100078	1101001	7	{}		100		播放一个语音	1	{}				{}	1100079											{}											{}											{}										1		{}																	{}	{}										
1100079	1101001	7	{}		100		环境音停止	1	{}				{}	1100080											{}											{}											{}										1		{}																	{}	{}										
1100080	1101001	7	{}		100		BGM停止	1	{}				{}	1100081											{}											{}											{}										1		{}																	{}	{}										
1100081	1101001	7	{}		100		下一项（暂时没有下一项了）。	1	{}				{}												{}											{}											{}										1		{}																	{}	{}										
1100062	1101001	1	{}		100		播放一个环境音	1	{}				{}	1100063											{}											{}											{}										1		{}					sound/EXA/EAX_test001.mp3												{}	{}										
1100063	1101001	1	{}		100		播放一个音效	1	{}				{}	1100064											{}											{}											{}										1		{}						sound/battle_sound/monster/jixie_xingxing_zhongchui.mp3											{}	{}										
1100064	1101001	1	{}		100		播放一个语音	1	{}				{}	1100065											{}											{}											{}										1		{}			sound/role/zhezhi/ORIGAMI_12.mp3														{}	{}										
1100065	1101001	1	{}		100		环境音停止	1	{}				{}	1100066											{}											{}											{}										1		{}					1												{}	{}										
1100066	1101001	1	{}		100		BGM停止	1	{}				{}	1100067											{}											{}											{}										1		{}	1																{}	{}										
1100067	1101001	1	{}		100		下一项（暂时没有下一项了）。	1	{}				{}												{}											{}											{}										1		{}																	{}	{}										
1200001	1102001	1	{}		100		过山车的车轮发出咔嚓的声响，终于停稳在了站台上。	1	{}				{}	1200002											{}											{}											{}										1		{}																	{}	{}										
1200002	1102001	1	{}		100	夜刀神十香	「啊~太好玩了！」	1	{}				{}	1200003		10303									{}	1.1	10504									{}	1.1	10107			id_pose_3	id_look_3					{}	1.12									1		{}																	{}	{}										
1200003	1102001	1	{}		100	五河琴里	「比想象中的有趣一些呢。」	1	{}				{}	1200004		1									{}	1.1	1									{}	1.1	1			0	0					{}	1.1									1		{}																	{}	{}										
1200004	1102001	1	{}		100	1	「终于到终点了吗……」	1	{}				{}	1200005		1									{}	1.1	1									{}	1.1	1			id_pose_14	id_look_4					{}	1.1									1		{}																	{}	{}										
1200005	1102001	1	{}		100		看来众人都还在回味在高空中翻滚起伏的余韵，\n当然，除了四糸乃……	1	{}				{}	1200006		1									{}	1.1	1									{}	1.1	1			id_pose_14	id_look_3					{}	1.1									1		{}																	{}	{}										
1200006	1102001	1	{}		100	四糸乃	「…… %s ……」	1	{}				{}	1200007		1									{}	1.12	1									{}	1.1	1			0	0					{}	1.1									1		{}																	{}	{}										
1200007	1102001	1	{}		100		四糸乃从车厢中摇摇晃晃地走出来，踉踉跄跄地撞到了我的怀里。	1	{}				{}	1200008		1									{}	1.12	1									{}	1.1	1			0	0					{}	1.1									1		{}																	{}	{}										
1200008	1102001	1	{}		100		随后大家都围了过来，一起安慰着被「过山车」吓坏了的四糸乃。	1	{}				{}	1200009		1									{}	1.12	1									{}	1.1	1			id_pose_6	id_look_7					{}	1.1									1		{}																	{}	{}										
1200009	1102001	1	{}		100	四糸奈	『已经结束了哦，四糸乃。已经可以睁开眼睛了哟。』	1	{}				{}	1200010		1									{}	1.12	1									{}	1.1	1			0	0					{}	1.1									1		{}																	{}	{}										
1200010	1102001	1	{}		100	1	「对四糸乃来说果然还是太勉强了吗？过山车什么的……」	1	{}				{}	1200011		1									{}	1.1	1									{}	1.1	1			id_pose_6	id_look_2					{}	1.1									1		{}																	{}	{}										
1200011	1102001	1	{}		100	夜刀神十香	「四糸乃，没事吧？都怪我吵着要玩这个……」	1	{}				{}	1200012		1									{}	1.1	1									{}	1.1	1			0	0					{}	1.12									1		{}																	{}	{}										
1200012	1102001	1	{}		100		听到我和十香都在责怪自己，四糸乃努力地打起精神，抬起头来。	1	{}				{}	1200013		1									{}	1.1	1									{}	1.1	1			0	0					{}	1.12									1		{}																	{}	{}										
1200013	1102001	1	{}		100	四糸乃	「没、没关系的…… %s ，十香小姐……虽然有点害怕……但是玩的很开心~……」	1	{}				{}	1200014		1									{}	1.12	1									{}	1.1	1			id_pose_10	id_look_2					{}	1.1									1		{}																	{}	{}										
1200014	1102001	1	{}		100	四糸奈	『确实非常的有趣呢，如果可以的话，我还想再坐一次，坐在 %s 的旁——』	1	{}				{}	1200015		1									{}	1.12	1									{}	1.1	1			id_pose_10	id_look_3					{}	1.1									1		{}																	{}	{}										
1200015	1102001	1	{}		100		四糸乃突然捂住了四糸奈的嘴，然后不好意思地后退了半步。	1	{}				{}	1200016		1									{}	1.1	1									{}	1.1	1			0	0					{}	1.1									1		{}																	{}	{}										
1200016	1102001	1	{}		100	五河琴里	「嘛，大家都玩累了，我们去那边休息一下吧。」	1	{}				{}	1200017		1									{}	1.1	1									{}	1.12	1			id_pose_11	id_look_3					{}	1.1									1		{}																	{}	{}										
1200017	1102001	1	{}		100		随后，我们在琴里的带领下来到了喷泉花园里的休息区。	1	{}				{}	1200018		0									{}	0	0									{}	0	1			0	0					{}	0									1		{}																	{}	{}										
1200018	1102001	1	{}		100		时间才正午一点过，夏日的阳光一点都不含糊。\n不过这并不能抵挡在游乐园中攒动的人流。	1	{}				{}	1200019		0									{}	0	0									{}	0	1			id_pose_1	id_look_3					{}	0									1		{}																	{}	{}										
1200019	1102001	1	{}		100		十香和琴里大概也会想把所有的项目都玩一遍吧……\n她俩活蹦乱跳的样子，感觉比夏天本身更能代表夏天呢……	1	{}				{}	1200020		10303									{}	1.1	10504									{}	1.1	0			0	0					{}	1.1									1		{}																	{}	{}										
1200020	1102001	1	{}		100		「休息一下好了。」	1	{}				{}	1200021		1									{}	1.1	1									{}	1.1	0			0	0					{}	1.1									1		{}																	{}	{}										
1200021	1102001	1	{}		100	1	「我想稍微休息一下，去那边买一杯冰饮 。」	1	{}				{}	1200022		1									{}	1.1	1									{}	1.1	10107			id_pose_13	id_look_4					{}	1.1									1		{}																	{}	{}										
1200022	1102001	1	{}		100	五河琴里	「笨蛋老哥宅太久，身体都蔫掉了吗？嘛，随你吧。」	1	{}				{}	1200023		1									{}	1.1	1									{}	1.12	1			0	0					{}	1.1									1		{}																	{}	{}										
1200023	1102001	1	{}		100	四糸乃	「我、我也想……休息一会儿……」	1	{}				{}	1200024		1									{}	1.12	1									{}	1.1	1			id_pose_2	id_look_4					{}	1.1									1		{}																	{}	{}										
1200024	1102001	1	{}		100	四糸奈	『是的，四糸奈也想呆在——』	1	{}				{}	1200025		1									{}	1.12	1									{}	1.1	1			0	0					{}	1.1									1		{}																	{}	{}										
1200025	1102001	1	{}		100		四糸奈又被四糸乃制住了。	1	{}				{}	1200026		1									{}	1.12	1									{}	1.1	1			0	0					{}	1.1									1		{}																	{}	{}										
1200026	1102001	1	{}		100	夜刀神十香	「那我能先去玩其他的吗？ %s 。」	1	{}				{}	1200027		0									{}	0	10504									{}	1.2	1			0	0					{}	1.22									1		{}																	{}	{}										
1200027	1102001	1	{}		100	1	「嗯，没关系，你们先去玩吧，我留下来陪四糸乃。」	1	{}				{}	1200028		0									{}	0	1									{}	1.2	1			0	0					{}	1.2									1		{}																	{}	{}										
1200028	1102001	1	{}		100	五河琴里	「那好，我就陪十香一起去吧。四糸乃就交给你了，笨蛋老哥。」	1	{}				{}	1200029		0									{}	0	1									{}	1.22	10107			id_pose_12	id_look_3					{}	1.2									1		{}																	{}	{}										
1200029	1102001	1	{}		100		琴里正准备走，不过似乎又想起了什么，转过身来说道。	1	{}				{}	1200030		0									{}	0	1									{}	1.2	1			0	0					{}	1.2									1		{}																	{}	{}										
1200030	1102001	1	{}		100	五河琴里	「要是有什么闪失的话，我就把你交给美九处置。」	1	{}				{}	1200031		0									{}	0	1									{}	1.3	1			id_pose_1	id_look_3					{}	1.2									1		{}																	{}	{}										
1200031	1102001	1	{}		100	1	「噫！不、不会有闪失的，我用名誉担保。」	1	{}				{}	1200032		0									{}	0	1									{}	1.3	1			0	0					{}	1.2									1		{}																	{}	{}										
1200032	1102001	1	{}		100		面对琴里的威胁，我不禁倒吸一口凉气。	1	{}				{}	1200033		0									{}	0	1									{}	1.3	1			0	0					{}	1.2									1		{}																	{}	{}										
1200033	1102001	1	{}		100	夜刀神十香	「那我们先走啦，待会儿见！」	1	{}				{}	1200034		0									{}	0	0									{}	0	1			0	0					{}	1.4									1		{}																	{}	{}										
1200034	1102001	1	{}		100	1	「待会儿见！注意补充水分啊。」	1	{}				{}	1200035		0									{}	0	0									{}	0	1			0	0					{}	1.3									1		{}																	{}	{}										
1200035	1102001	1	{}		100		等琴里和十香离开之后，我和四糸乃去买了冷饮，\n找了一个阴凉一点的地方坐下。	1	{}				{}	1200036		10303									{}	1.4	0									{}	0	10107			id_pose_10	id_look_3					{}	0									1		{}																	{}	{}										
1200036	1102001	1	{}		100	1	「四糸乃，四糸奈，今天玩得开心吗？」	1	{}				{}	1200037		1									{}	1.4	0									{}	0	1									{}	0									1		{}																	{}	{}										
1200037	1102001	1	{}		100	四糸乃	「是、是的……和大家一起玩……很开心……」	1	{}				{}			1									{}	1.4	0									{}	0	1									{}	0									1		{}																	{}	{}										
