id	关卡名策划看	通关条件类型(1歼灭，2生存，3目标击杀-具体怪物，4目标击杀-怪物类型，5目标击杀-怪物数量)	通关条件参数(歼灭-填1占位，生存-限制时间x秒内存活，目标击杀-怪物ID及数量x，目标击杀-怪物敌人类型及数量x，目标击杀-怪物总量x)	开场动画	普通刷怪区域1长度	刷新怪物	前进长度	区域2长度	刷新怪物	前进长度	区域3长度	刷新怪物	前进长度	区域4长度	刷新怪物	无限刷怪区域长度	刷新怪物	定时刷怪区域长度	刷新怪物	最大数量限制	极限刷怪区域长度	补充刷怪	怪物刷新时间
1109	第1章困难关卡9	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1110	第1章困难关卡10	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1201	第1章地狱关卡1	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1202	第1章地狱关卡2	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1203	第1章地狱关卡3	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1204	第1章地狱关卡4	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1205	第1章地狱关卡5	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
1206	第1章地狱关卡6	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2001	第2章简单关卡1	3	[[2040,1][2021,1]]		1300	[[1,0][2,0][2,0]]	1500	1500	[[1,0]]														
2002	第2章简单关卡2	4	[[1,1][2,1]]		1300	[[1,0][2,0][2,0]]	1500	1500	[[1,0]]														
2101	第2章困难关卡1	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2102	第2章困难关卡2	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2103	第2章困难关卡3	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2104	第2章困难关卡4	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2105	第2章困难关卡5	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2106	第2章困难关卡6	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2107	第2章困难关卡7	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2108	第2章困难关卡8	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2109	第2章困难关卡9	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2110	第2章困难关卡10	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2111	第2章困难关卡11	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2112	第2章困难关卡12	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2113	第2章困难关卡13	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2114	第2章困难关卡14	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2115	第2章困难关卡15	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2201	第1章地狱关卡1	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2202	第1章地狱关卡2	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2203	第1章地狱关卡3	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2204	第1章地狱关卡4	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2205	第1章地狱关卡5	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2206	第1章地狱关卡6	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2207	第1章地狱关卡7	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2208	第1章地狱关卡8	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
2209	第1章地狱关卡9	1			1386	[[1,0,0][2,0,0]]	1500	1386	[[3,0,0][4,0,0]]														
101001	无尽模式1	1			1500	[[1,0,0]]	1500	1500	[[2,0,0]]														
