id	关卡集类型(1.主线 2.常规 3.活动)	前置关卡	开放等级	所属章节	显示顺序	分页标题名字	分页名字	分页小图	分页小图上的文本图片	分页描述	关卡布局	限制次数	开启时间类型	活动时间（周日~周六：1~7）	奖励预览	活动描述	活动周期类型(0-不刷新，1-每日刷新)	活动周期参数	购买次数方式	最大购买次数	单次购买消耗	（简单）挑战星级
3003	2	103211		3	3		300512	icon/dungeon/chapter/chapter_3001_2.png														
4001	2	103316	18	4	1		300511	icon/dungeon/chapter/chapter_5001_2.png			514-514-514											{1:{"c1_5_0":{500001:500,500002:5},"c2_10_0":{500001:1000,500002:10,510102:3},"c3_15_0":{500001:1500,500002:15,220009:1},"c4_20_0":{500001:2000,500002:20,510304:1},"c5_25_0":{500001:2500,500002:25,220009:1},"c6_30_0":{500001:3000,500002:30,510102:3},"c7_36_0":{500001:3500,500002:35,510304:1}},2:{"c1_5_0":{500001:1500,500002:15,510103:4},"c2_10_0":{500001:2000,500002:20,220009:1},"c3_15_0":{500001:2500,500002:25,510304:1},"c4_20_0":{500001:3000,500002:30,510103:4},"c5_25_0":{500001:3500,500002:35,220009:1},"c6_30_0":{500001:4000,500002:40,510304:1},"c7_35_0":{500001:4500,500002:45,510103:4},"c8_40_0":{500001:5000,500002:50,220009:1},"c9_45_0":{500001:5500,500002:55,510304:2}},3:{"c1_3_0":{500001:2500,500002:25,510103:5},"c2_6_0":{500001:3000,500002:30,220009:1},"c3_9_0":{500001:3500,500002:35,510304:1},"c4_12_0":{500001:4000,500002:40,510103:5},"c5_15_0":{500001:4500,500002:45,220009:1},"c6_18_0":{500001:5000,500002:50,510304:1},"c7_21_0":{500001:5500,500002:55,510103:5},"c8_24_0":{500001:6000,500002:60,220009:1},"c9_27_0":{500001:6500,500002:65,510304:2}}}
4002	2	104105		4	2		300512	icon/dungeon/chapter/chapter_5001_2.png			514-514-514											
4003	2	104211		4	3		300513	icon/dungeon/chapter/chapter_5001_2.png			514-514-514											
5001	2	104315	27	5	1		300511	icon/dungeon/chapter/chapter_5001_2.png			512-512-512											{1:{"c1_5_0":{500001:500,500002:5},"c2_10_0":{500001:1000,500002:10,510102:3},"c3_15_0":{500001:1500,500002:15,220009:1},"c4_20_0":{500001:2000,500002:20,510102:3},"c5_25_0":{500001:2500,500002:25,510312:1},"c6_30_0":{500001:3000,500002:30,510102:3},"c7_35_0":{500001:3500,500002:35,220009:1},"c8_42_0":{500001:4000,500002:40,510311:1}},2:{"c1_5_0":{500001:1500,500002:15,510103:4},"c2_10_0":{500001:2000,500002:20,220009:1},"c3_15_0":{500001:2500,500002:25,510312:1},"c4_20_0":{500001:3000,500002:30,510103:4},"c5_25_0":{500001:3500,500002:35,220009:1},"c6_30_0":{500001:4000,500002:40,510311:1},"c7_35_0":{500001:4500,500002:45,510103:4},"c8_40_0":{500001:5000,500002:50,220009:1},"c9_45_0":{500001:5500,500002:55,510312:2},"c10_50_0":{500001:6000,500002:60,510103:4},"c11_55_0":{500001:6500,500002:65,220009:1},"c12_60_0":{500001:7000,500002:70,510311:2}},3:{"c1_3_0":{500001:2500,500002:25,510103:5},"c2_6_0":{500001:3000,500002:30,220009:2},"c3_9_0":{500001:3500,500002:35,510312:1},"c4_12_0":{500001:4000,500002:40,510103:5},"c5_15_0":{500001:4500,500002:45,220009:2},"c6_18_0":{500001:5000,500002:50,510311:1},"c7_21_0":{500001:5500,500002:55,510103:5},"c8_24_0":{500001:6000,500002:60,220009:2},"c9_27_0":{500001:6500,500002:65,510312:2},"c10_30_0":{500001:7000,500002:70,510103:5},"c11_33_0":{500001:7500,500002:75,220009:2},"c12_36_0":{500001:8000,500002:80,510311:2}}}
5002	2	105105		5	2		300512	icon/dungeon/chapter/chapter_5001_2.png			512-512-512											
5003	2	105209		5	3		300513	icon/dungeon/chapter/chapter_5001_2.png			512-512-512											
5004	2	105316		5	4		300514	icon/dungeon/chapter/chapter_3001_2.png														
6001	2	105412	38	6	1		300511	icon/dungeon/chapter/chapter_7001_2.png			513-513-513											{1:{"c1_5_0":{500001:500,500002:5},"c2_10_0":{500001:1000,500002:10,510102:3},"c3_15_0":{500001:1500,500002:15,220009:1},"c4_20_0":{500001:2000,500002:20,510314:1},"c5_25_0":{500001:2500,500002:25,220009:1},"c6_30_0":{500001:3000,500002:30,510102:3},"c7_35_0":{500001:3500,500002:35,220009:1},"c8_40_0":{500001:4000,500002:40,510314:1},"c1_48_0":{500001:500,500002:5,220009:1}},2:{"c2_5_0":{500001:2000,500002:20,510103:4},"c3_10_0":{500001:2500,500002:25,220009:1},"c4_15_0":{500001:3000,500002:30,510314:1},"c5_20_0":{500001:3500,500002:35,510103:4},"c6_25_0":{500001:4000,500002:40,220009:1},"c7_30_0":{500001:4500,500002:45,510314:1},"c8_35_0":{500001:5000,500002:50,510103:4},"c9_40_0":{500001:5500,500002:55,220009:1},"c10_45_0":{500001:6000,500002:60,510314:2},"c11_50_0":{500001:6500,500002:65,510103:4},"c12_55_0":{500001:7000,500002:70,220009:1},"c13_60_0":{500001:7500,500002:75,510314:2}},3:{"c1_3_0":{500001:2500,500002:25,510103:5},"c2_6_0":{500001:3000,500002:30,220009:2},"c3_9_0":{500001:3500,500002:35,510314:1},"c4_12_0":{500001:4000,500002:40,510103:5},"c5_15_0":{500001:4500,500002:45,220009:2},"c6_18_0":{500001:5000,500002:50,510314:1},"c7_21_0":{500001:5500,500002:55,510103:5},"c8_24_0":{500001:6000,500002:60,220009:2},"c9_27_0":{500001:6500,500002:65,510314:2},"c10_30_0":{500001:7000,500002:70,510103:5},"c11_33_0":{500001:7500,500002:75,220009:2},"c12_36_0":{500001:8000,500002:80,510314:2}}}
6002	2	106106		6	2		300512	icon/dungeon/chapter/chapter_7001_2.png			513-513-513											
6003	2	106212		6	3		300513	icon/dungeon/chapter/chapter_7001_2.png			513-513-513											
6004	2	106318		6	4		300514	icon/dungeon/chapter/chapter_3001_2.png														
7001	2	106422-106423	47	7	1		300511	icon/dungeon/chapter/chapter_7001_2.png			514-514-514											{1:{"c1_5_0":{500001:500,500002:5},"c2_10_0":{500001:1000,500002:10,510102:3},"c3_15_0":{500001:1500,500002:15,220009:1},"c4_20_0":{500001:2000,500002:20,510303:1},"c5_25_0":{500001:2500,500002:25,220009:1},"c6_30_0":{500001:3000,500002:30,510102:3},"c7_35_0":{500001:3500,500002:35,510303:1},"c8_40_0":{500001:4000,500002:40,510102:3},"c9_45_0":{500001:4500,500002:45,220009:1},"c10_51_0":{500001:5000,500002:50,510303:2}},2:{"c1_5_0":{500001:1500,500002:15,510103:4},"c2_10_0":{500001:2000,500002:20,220009:1},"c3_15_0":{500001:2500,500002:25,510303:1},"c4_20_0":{500001:3000,500002:30,510103:4},"c5_25_0":{500001:3500,500002:35,220009:1},"c6_30_0":{500001:4000,500002:40,510303:1},"c7_35_0":{500001:4500,500002:45,510103:4},"c8_40_0":{500001:5000,500002:50,220009:1},"c9_45_0":{500001:5500,500002:55,510303:2},"c10_50_0":{500001:6000,500002:60,510103:4},"c11_55_0":{500001:6500,500002:65,220009:1},"c12_60_0":{500001:7000,500002:70,510303:2},"c13_65_0":{500001:7500,500002:75,510103:4},"c14_70_0":{500001:8000,500002:80,220009:1},"c15_75_0":{500001:8500,500002:85,510303:3}},3:{"c1_3_0":{500001:2500,500002:25,510103:5},"c2_6_0":{500001:3000,500002:30,220009:2},"c3_9_0":{500001:3500,500002:35,510303:1},"c4_12_0":{500001:4000,500002:40,510103:5},"c5_15_0":{500001:4500,500002:45,220009:2},"c6_18_0":{500001:5000,500002:50,510303:1},"c7_21_0":{500001:5500,500002:55,510103:5},"c8_24_0":{500001:6000,500002:60,220009:2},"c9_27_0":{500001:6500,500002:65,510303:2},"c10_30_0":{500001:7000,500002:70,510103:5},"c11_33_0":{500001:7500,500002:75,220009:2},"c12_36_0":{500001:8000,500002:80,510303:2},"c13_39_0":{500001:8500,500002:85,510103:5},"c14_42_0":{500001:9000,500002:90,220009:2},"c15_45_0":{500001:9500,500002:95,510303:3}}}
7002	2	107106		7	2		300512	icon/dungeon/chapter/chapter_7001_2.png			514-514-514											
7003	2	107212		7	3		300513	icon/dungeon/chapter/chapter_7001_2.png			514-514-514											
7004	2	107318		7	4		300514	icon/dungeon/chapter/chapter_3001_2.png														
7005	2	107423		7	5		300515	icon/dungeon/chapter/chapter_3001_2.png														
200001	3		10	101	1	300549	300520	icon/fuben/Dungeon_STG.jpg		300421	0	1	4	[3,6,1]		300131	1		2	2	{500002:50}	
200002	3		12	101	2	300550	300521	icon/fuben/Dungeon_Coin.jpg		300422	0	1	4	[2,6,1]		300132	1		2	2	{500002:50}	
200003	3		19	101	3	300551	300522	icon/fuben/Dungeon_Pray.jpg		300423	0	1	4	[5,7,1]		300133	1		2	2	{500002:50}	
200004	3		16	101	4	300552	300530	icon/fuben/Dungeon_Sephiroth.jpg		300424	0	1	4	[4,7,1]		300134	1		2	2	{500002:50}	
