buffid	名称	描述	覆盖标记	buff强度	是否可以在场下触发	触发对象	事件类型	次要触发条件类型	循环时间	调用属性	调用事件	调用状态	属性对比类型	属性值	属性对比结果（1高于 2低于）	对象状态	对象属性id	对象属性对比类型	属性值	属性对比结果	调用技能	使用的技能类型	触发概率	cd时间	效果id
1050		攻击力提高5%，技能攻击伤害额外提高30%			1	1	1		0														10000	0	10059-10060-10061
1051		连击大于30后，伤害提高15%			1	1	2		0	2004			1	30	1								10000	0	10062
1052		每减少10%生命值提升5%伤害（生命值恢复后不重复计算）			1	1	2		0	52			1	1	1								10000	0	10063
1053		生命上限降低15%，攻击提高20%			1	1	1		0														10000	0	10064-10065
1054		生命上限降低15%，攻速提高10%			1	1	1		0														10000	0	10066-10067
1055		生命上限降低15%，暴击提高15%			1	1	1		0														10000	0	10068-10069
1056		每次命中目标，增加2%攻击，持续5秒，最大叠加10层			0	1	3		0		300												10000	0	10070
1057		每次命中目标，增加2%暴击，持续5秒，最大叠加10层			0	1	3		0		300												10000	0	10071
1058		每次命中目标，增加2%攻速，持续5秒，最大叠加10层			0	1	3		0		300												10000	0	10072
1059		护盾状态下，攻击提高20%			1	1	2		0	53			1	1	1								10000	0	10073
1060		护盾状态下，防御提升30%			1	1	2		0	53			1	1	1								10000	0	10074
1061		护盾状态下，每2秒恢复1点能量			1	1	2		0	53			1	1	1								10000	0	10075
1062		普通攻击造成伤害提高10%			1	1	1		0														10000	0	10076
1063		普通攻击暴击几率提高10%			1	1	1		0														10000	0	10077
1064		穿透率+10%			1	1	1		0														10000	0	10078
1065		每次攻击有50%几率额外获得1点能量			0	1	3		0		300												5000	0	10079
1066		最大能量值提高30，每1秒自动恢复2点能量			1	1	1		0														10000	0	10080-10081
1067		击杀敌方后获得5点能量			0	1	3		0		9												10000	0	10082
1068		格挡率+10%，增加十香特有buff【攻击后0%概率增加当前格挡率一半的攻击加成】100%的触发概率。			1	1	1		0														10000	0	10083-10084
1069		格挡时，恢复1%生命值			1	1	3		0		392												10000	0	10085
1070		攻击后0%概率增加当前格挡率一半的攻击加成，每次触发后刷新加成的攻击力			1	1	3		0		300												0	0	10086
2011	愚者	格挡提高2%			1	1	1		0														10000	0	20001
2012	愚者	格挡提高4%			1	1	1		0														10000	0	20002
2013	愚者	格挡提高6%			1	1	1		0														10000	0	20003
2014	愚者	格挡提高8%			1	1	1		0														10000	0	20004
2015	愚者	格挡提高10%			1	1	1		0														10000	0	20005
2021	魔术师	穿透提高2%			1	1	1		0														10000	0	20006
2022	魔术师	穿透提高4%			1	1	1		0														10000	0	20007
2023	魔术师	穿透提高6%			1	1	1		0														10000	0	20008
2024	魔术师	穿透提高8%			1	1	1		0														10000	0	20009
2025	魔术师	穿透提高10%			1	1	1		0														10000	0	20010
2031	女祭司	生命值提高2%			1	1	1		0														10000	0	20011
2032	女祭司	生命值提高4%			1	1	1		0														10000	0	20012
2033	女祭司	生命值提高6%			1	1	1		0														10000	0	20013
2034	女祭司	生命值提高8%			1	1	1		0														10000	0	20014
2035	女祭司	生命值提高10%			1	1	1		0														10000	0	20015
2041	皇后	攻速提高2%			1	1	1		0														10000	0	20016
2042	皇后	攻速提高4%			1	1	1		0														10000	0	20017
2043	皇后	攻速提高6%			1	1	1		0														10000	0	20018
2044	皇后	攻速提高8%			1	1	1		0														10000	0	20019
2045	皇后	攻速提高10%			1	1	1		0														10000	0	20020
2051	皇帝	防御提高2%			1	1	1		0														10000	0	20021
2052	皇帝	防御提高4%			1	1	1		0														10000	0	20022
2053	皇帝	防御提高6%			1	1	1		0														10000	0	20023
2054	皇帝	防御提高8%			1	1	1		0														10000	0	20024
2055	皇帝	防御提高10%			1	1	1		0														10000	0	20025
2061	教皇	抗暴提高2%			1	1	1		0														10000	0	20026
2062	教皇	抗暴提高4%			1	1	1		0														10000	0	20027
2063	教皇	抗暴提高6%			1	1	1		0														10000	0	20028
2064	教皇	抗暴提高8%			1	1	1		0														10000	0	20029
2065	教皇	抗暴提高10%			1	1	1		0														10000	0	20030
2071	恋人	攻击提高2%			1	1	1		0														10000	0	20031
2072	恋人	攻击提高4%			1	1	1		0														10000	0	20032
2073	恋人	攻击提高6%			1	1	1		0														10000	0	20033
2074	恋人	攻击提高8%			1	1	1		0														10000	0	20034
2075	恋人	攻击提高10%			1	1	1		0														10000	0	20035
2081	战车	暴击提高2%			1	1	1		0														10000	0	20036
2082	战车	暴击提高4%			1	1	1		0														10000	0	20037
2083	战车	暴击提高6%			1	1	1		0														10000	0	20038
2084	战车	暴击提高8%			1	1	1		0														10000	0	20039
2085	战车	暴击提高10%			1	1	1		0														10000	0	20040
2091	力量	能量恢复率提高5%			1	1	1		0														10000	0	20041
2092	力量	能量恢复率提高10%			1	1	1		0														10000	0	20042
2093	力量	能量恢复率提高15%			1	1	1		0														10000	0	20043
2094	力量	能量恢复率提高20%			1	1	1		0														10000	0	20044
2095	力量	能量恢复率提高25%			1	1	1		0														10000	0	20045
2101	隐者	闪避提高2%			1	1	1		0														10000	0	20046
2102	隐者	闪避提高4%			1	1	1		0														10000	0	20047
2103	隐者	闪避提高6%			1	1	1		0														10000	0	20048
2104	隐者	闪避提高8%			1	1	1		0														10000	0	20049
2105	隐者	闪避提高10%			1	1	1		0														10000	0	20050
2111	命运	伤害减免提高2%			1	1	1		0														10000	0	20051
2112	命运	伤害减免提高4%			1	1	1		0														10000	0	20052
2113	命运	伤害减免提高6%			1	1	1		0														10000	0	20053
2114	命运	伤害减免提高8%			1	1	1		0														10000	0	20054
2115	命运	伤害减免提高10%			1	1	1		0														10000	0	20055
2121	正义	命中提高2%			1	1	1		0														10000	0	20056
2122	正义	命中提高4%			1	1	1		0														10000	0	20057
2123	正义	命中提高6%			1	1	1		0														10000	0	20058
2124	正义	命中提高8%			1	1	1		0														10000	0	20059
2125	正义	命中提高10%			1	1	1		0														10000	0	20060
2131	刑死者	伤害增加提高2%			1	1	1		0														10000	0	20061
2132	刑死者	伤害增加提高4%			1	1	1		0														10000	0	20062
2133	刑死者	伤害增加提高6%			1	1	1		0														10000	0	20063
2134	刑死者	伤害增加提高8%			1	1	1		0														10000	0	20064
2135	刑死者	伤害增加提高10%			1	1	1		0														10000	0	20065
2141	死神	造成伤害的1%转换为生命			0	1	3		0		400												10000	0	20066
2142	死神	造成伤害的2%转换为生命			0	1	3		0		400												10000	0	20067
2143	死神	造成伤害的3%转换为生命			0	1	3		0		400												10000	0	20068
2144	死神	造成伤害的4%转换为生命			0	1	3		0		400												10000	0	20069
2145	死神	造成伤害的5%转换为生命			0	1	3		0		400												10000	0	20070
2151	节制	能量上限+5			1	1	1		0														10000	0	20071
2152	节制	能量上限+10			1	1	1		0														10000	0	20072
2153	节制	能量上限+15			1	1	1		0														10000	0	20073
2154	节制	能量上限+20			1	1	1		0														10000	0	20074
2155	节制	能量上限+25			1	1	1		0														10000	0	20075
2161	恶魔	暴击伤害增加10%			1	1	1		0														10000	0	20076
2162	恶魔	暴击伤害增加20%			1	1	1		0														10000	0	20077
2163	恶魔	暴击伤害增加30%			1	1	1		0														10000	0	20078
2164	恶魔	暴击伤害增加40%			1	1	1		0														10000	0	20079
2165	恶魔	暴击伤害增加50%			1	1	1		0														10000	0	20080
2171	塔楼	受到攻击的5%反弹给敌人			0	1	3		0		450												10000	0	20081
2172	塔楼	受到攻击的10%反弹给敌人			0	1	3		0		450												10000	0	20082
2173	塔楼	受到攻击的15%反弹给敌人			0	1	3		0		450												10000	0	20083
2174	塔楼	受到攻击的20%反弹给敌人			0	1	3		0		450												10000	0	20084
2175	塔楼	受到攻击的25%反弹给敌人			0	1	3		0		450												10000	0	20085
2181	星星	受到控制的时间缩短5%			1	1	1		0														10000	0	20086
2182	星星	受到控制的时间缩短10%			1	1	1		0														10000	0	20087
2183	星星	受到控制的时间缩短15%			1	1	1		0														10000	0	20088
2184	星星	受到控制的时间缩短20%			1	1	1		0														10000	0	20089
2185	星星	受到控制的时间缩短25%			1	1	1		0														10000	0	20090
2191	月亮	减益时间缩短5%			1	1	1		0														10000	0	20091
2192	月亮	减益时间缩短10%			1	1	1		0														10000	0	20092
2193	月亮	减益时间缩短15%			1	1	1		0														10000	0	20093
2194	月亮	减益时间缩短20%			1	1	1		0														10000	0	20094
2195	月亮	减益时间缩短25%			1	1	1		0														10000	0	20095
2201	太阳	控制的时间增加5%			1	1	1		0														10000	0	20096
2202	太阳	控制的时间增加10%			1	1	1		0														10000	0	20097
2203	太阳	控制的时间增加15%			1	1	1		0														10000	0	20098
2204	太阳	控制的时间增加20%			1	1	1		0														10000	0	20099
2205	太阳	控制的时间增加25%			1	1	1		0														10000	0	20100
2211	审判	增益buff时间延长5%			1	1	1		0														10000	0	20101
2212	审判	增益buff时间延长10%			1	1	1		0														10000	0	20102
2213	审判	增益buff时间延长15%			1	1	1		0														10000	0	20103
2214	审判	增益buff时间延长20%			1	1	1		0														10000	0	20104
2215	审判	增益buff时间延长25%			1	1	1		0														10000	0	20105
2221	世界	移动速度提升5%			1	1	1		0														10000	0	20106
2222	世界	移动速度提升10%			1	1	1		0														10000	0	20107
2223	世界	移动速度提升15%			1	1	1		0														10000	0	20108
2224	世界	移动速度提升20%			1	1	1		0														10000	0	20109
2225	世界	移动速度提升25%			1	1	1		0														10000	0	20110
3001	天神之剑1	伤害加成+10%			1	1	1		0														10000	0	30001
3002	天神之剑2	连击达到20，伤害增加5%			0	1	2		0	2004			1	20	1								10000	0	30002
3003	天神之剑3	连击达到30，伤害增加5%			0	1	2		0	2004			1	30	1								10000	0	30003
3004	天神之剑4	连击达到40，伤害增加5%			0	1	2		0	2004			1	40	1								10000	0	30004
3005	天神之剑5	连击达到50，伤害增加5%			0	1	2		0	2004			1	50	1								10000	0	30005
3006	战姬守护	开局携带30%最大生命值护盾，每5秒恢复2%的护盾值			1	1	1		0														10000	0	30006-30007
3007	圣灵波动	生命恢复效果提升50%，每5秒恢复2%最大生命值			1	1	1		0														10000	0	30008-30009
3008	蔷薇风暴	每10点能量值提高2%普攻伤害			1	1	1		0														10000	0	30010-30011
3009	英勇冲锋1	技能伤害提高50%			1	1	1		0														10000	0	30012-30013
3010	英勇冲锋2	每次使用大招后获得10点能量			0	1	3		0		206												10000	0	30014
3011	英勇冲锋3	每次使用觉醒后获得10点能量			0	1	3		0		207												10000	0	30015
4001	测试buff	击杀怪物时，会在敌人死亡位置释放爆炸效果，伤害周围的敌人			0	1	3		0		9												10000	0	40001
5001		特殊buff，抵抗值的伤害吸收率			1	1	1		0														10000	0	50001
6001	角色自带buff—反转十香—2形态自动消耗能量	处于2形态时，每秒减少5点能量	1	1	1	1	6		0			63											10000	0	60001
6002	角色自带buff—反转十香—1形态自动恢复能量	处于1形态时，每2秒恢复3点能量	2	1	1	1	6		0			62											10000	0	60002
6003	角色自带buff—全体精灵	每个精灵自带的登场有0%概率获得30%护盾值			1	1	3		0		7												0	0	60003
6004	角色自带buff—狂三—发动领域时增加各种buff的触发概率	释放领域技能时，增加6012-6013-6014-6015的概率为100%，持续10s	7	1	0	1	5		0														10000	0	
6005	角色自带buff—四糸乃—全屏持续施加寒颤	释放能量满的全屏技能时，0%的概率为目标施加1次寒颤效果			0	1	5		0														0	0	60005-60006-60011
6006	角色自带buff—四糸乃—能量满之后提升6005的概率	四糸乃能量值满之后，自动触发，提升6005的概率为100%，持续5s			0	1	5		0														10000	0	60008
6007	角色自带buff—四糸乃—极寒领域特效减速	极寒领域使碰到的敌人减少20%移动速度并附加减速状态，持续1s	8	2	1	1	5		0														10000	0	60009-60010
6008	角色自带buff—四糸乃—通过某个技能触发技能	释放技能			1	1	5		0														10000	0	60012
6009	角色自带buff—四糸乃—通过某个技能触发技能2	释放技能			1	1	5		0														10000	0	60013
6010	角色自带buff—琴里—处于1形态时，普攻有0%几率点燃	处于1形态时，普攻命中时有0%几率附加燃烧效果，每秒受到我方攻击力10%的伤害并附加燃烧状态，持续8s，可叠加5次			0	1	3	6	0		301	62											0	0	60014-60015
6011	角色自带buff—琴里—处于1形态时，F技能有0%几率点燃	处于1形态且F技能命中时，有0%几率附加燃烧效果，每秒受到我方攻击力10%的伤害并附加燃烧状态，持续8s，可叠加5次			0	1	3	6	0		302	62											0	0	60014-60015
6012	角色自带buff—狂三—自动恢复能量	每秒恢复3点能量			1	1	1		0														10000	0	60017
6013	角色自带buff—狂三—自带的各种初始buff	生命值大于1时，有0的概率增加自己15%攻击力			0	1	2		0	52			1	1	1								0	0	60018
6014	角色自带buff—狂三—自带的各种初始buff	造成伤害时，有0的概率吸血5%			0	1	3		0		400												0	0	60007
6015	角色自带buff—狂三—自带的各种初始buff	每2秒有0的概率根据场上敌人数量恢复能量，每个敌人恢复1点能量			0	1	4		2000														0	0	60019
6016	角色自带buff—真那—减少敌人雷属性抗性	能量值>1时触发，减少全体敌人的雷属性抗性，每点能量减少0.6%			0	1	2		0	56			1	1	1								10000	0	60020
6017	角色自带buff—真那—附加感电	普攻命中时，有0%概率为敌人附加感电状态，并使敌人的感电伤害值增加相当于真那攻击力的30%，持续5s			0	1	3		0		301												0	0	60021-60022
6018	角色自带buff—真那—附加感电	F技能命中时，有0%概率为敌人附加感电状态，并使敌人的感电伤害值增加相当于真那攻击力的30%，持续5s			0	1	3		0		302												0	0	60021-60022
6019	角色自带buff—真那—附加感电	S技能命中时，有0%概率为敌人附加感电状态，并使敌人的感电伤害值增加相当于真那攻击力的30%，持续5s			0	1	3		0		303												0	0	60021-60022
6020	角色自带buff—真那—附加感电	必杀技命中时，有0%概率为敌人附加感电状态，并使敌人的感电伤害值增加相当于真那攻击力的30%，持续5s			0	1	3		0		306												0	0	60021-60022
6021	角色自带buff—全体精灵	攻击感电状态的敌人时，额外造成感电伤害值的伤害			0	1	3		0		400												10000	0	60023
6101	十香专用护盾特效				1	1	2		0	53			1	1	1								10000	0	61001
6102	折纸专用护盾特效				1	1	2		0	53			1	1	1								10000	0	61002
6103	四糸乃专用护盾特效				1	1	2		0	53			1	1	1								10000	0	61003
6104	真辣专用护盾特效				1	1	2		0	53			1	1	1								10000	0	61004
6105	狂三专用护盾特效				1	1	2		0	53			1	1	1								10000	0	61005
6106	琴里专用护盾特效				1	1	2		0	53			1	1	1								10000	0	61006
6107	耶俱矢专用护盾特效				1	1	2		0	53			1	1	1								10000	0	61007
6108	夕弦专用护盾特效				1	1	2		0	53			1	1	1								10000	0	61008
7001	心情值buff-十香-高兴	攻击+10%，防御+10%			1	1	1		0														10000	0	70001-70002
7002	心情值buff-十香-无聊	攻击-30%，防御-30%			1	1	1		0														10000	0	70011-70012
7003	心情值buff-十香-暴怒	攻击-50%，防御-50%，每2秒恢复1点sp			1	1	1		0														10000	0	70020-70021-70010
7004	心情值buff-折纸-高兴	暴击率+10%，攻击速度+10%			1	1	1		0														10000	0	70003-70004
7005	心情值buff-折纸-无聊	暴击率-30%，攻击速度-30%			1	1	1		0														10000	0	70013-70014
7006	心情值buff-折纸-暴怒	暴击率-50%，攻击速度-50%，每2秒恢复1点sp			1	1	1		0														10000	0	70022-70023-70010
7007	心情值buff-四糸乃-高兴	防御+10%，受伤减免+10%			1	1	1		0														10000	0	70002-70005
7008	心情值buff-四糸乃-无聊	防御-30%，受伤减免-30%			1	1	1		0														10000	0	70012-70015
7009	心情值buff-四糸乃-暴怒	防御-50%，受伤减免-50%，每2秒恢复1点sp			1	1	1		0														10000	0	70021-70024-70010
7010	心情值buff-狂三-高兴	闪避率+10%，伤害加成+10%			1	1	1		0														10000	0	70006-70007
7011	心情值buff-狂三-无聊	闪避率-30%，伤害加成-30%			1	1	1		0														10000	0	70016-70017
7012	心情值buff-狂三-暴怒	闪避率-50%，伤害加成-50%，每2秒恢复1点sp			1	1	1		0														10000	0	70025-70026-70010
7013	心情值buff-琴里-高兴	hp上限+10%，暴击伤害倍率+10%			1	1	1		0														10000	0	70008-70009
7014	心情值buff-琴里-无聊	hp上限-30%，暴击伤害倍率-30%			1	1	1		0														10000	0	70018-70019
7015	心情值buff-琴里-暴怒	hp上限-50%，暴击伤害倍率-50%，每2秒恢复1点sp			1	1	1		0														10000	0	70027-70028-70010
8001	关卡buff-光，玩家持续掉能量	每2秒减少1点sp			1	1	1		0														10000	0	80001
8002	关卡buff-电，玩家持续掉护盾	每1秒减少0.5%最大生命值的护盾			1	1	1		0														10000	0	80002
8003	关卡buff-火，怪物死亡自爆	怪物死亡后自爆，造成5%最大生命值的伤害			0	1	3		0		4												10000	0	80003-80026
8004	关卡buff-暗，玩家持续掉血	玩家每10秒减少1%最大生命值			1	1	1		0														10000	0	80004
8005	关卡buff-土，怪物生命+霸体提升	怪物最大生命值+20%，每10秒完全恢复1%生命值的霸体			1	1	1		0														10000	0	80005-80006-80007-80008
8006	关卡buff-风，怪物移速+攻速提升	怪物移动速度+10%，攻击速度+10%			1	1	1		0														10000	0	80009-80010
8007	关卡buff-水，怪物生命自动恢复	怪物每10秒恢复1%生命值			1	1	1		0														10000	0	80011
8008	关卡buff-角色普攻伤害增加，技能伤害降低	普通攻击伤害+30%，其他伤害-30%			1	1	1		0														10000	0	80012-80013-80014-80015-80016-80017-80018
8009	关卡buff-角色普攻伤害降低，技能伤害增加	普通攻击伤害-30%，其他伤害+30%			1	1	1		0														10000	0	80019-80020-80021-80022-80023-80024-80025
8010	关卡buff-新手关加血	玩家角色低于70%生命值时，恢复100%生命值			1	1	2		0	2007			1	7000	2								10000	0	80028
8101	无尽副本buff-光，玩家持续掉能量	每1秒减少2点sp			1	1	1		0														10000	0	81001
8102	无尽副本buff-电，玩家持续掉护盾	每1秒减少2%最大生命值的护盾			1	1	1		0														10000	0	81002
8103	无尽副本buff-火，怪物死亡自爆	怪物死亡后自爆，造成500%攻击力的伤害			0	1	3		0		4												10000	0	81003-80026
8104	无尽副本buff-暗，玩家持续掉血	玩家每3秒减少1%最大生命值			1	1	1		0														10000	0	81004
8105	无尽副本buff-土，怪物生命+霸体提升	怪物最大生命值+30%，每3秒完全恢复1%生命值的霸体			1	1	1		0														10000	0	81005-81006-81007-81008
8106	无尽副本buff-风，怪物移速+攻速提升	怪物移动速度+10%，攻击速度+20%			1	1	1		0														10000	0	81009-81010
8107	无尽副本buff-水，怪物生命自动恢复	怪物每3秒恢复1%生命值			1	1	1		0														10000	0	81011
9001	怪物词缀buff	每隔10s，使周围500范围内的敌人减少30%的攻击速度和移动速度			0	1	4		10000														10000	0	
9002	怪物词缀buff	每隔16s，召唤导弹进行攻击			0	1	4		16000														10000	0	
9003	怪物词缀buff	每隔15s，释放激光陷阱技能			0	1	4		15000														10000	0	
9004	怪物词缀buff	每隔15s，释放电磁陷阱技能			0	1	4		15000														10000	0	
9005	怪物词缀buff	每隔18s，释放召唤电球技能			0	1	4		18000														10000	0	
9006	怪物词缀buff	每隔15s，静止敌人3s			0	1	4		15000														10000	0	
9007	怪物词缀buff	每隔20s，释放光墙技能			0	1	4		20000														10000	0	
9008	怪物词缀buff	受到伤害时，反弹20%的伤害给攻击者			0	1	3		0		450												10000	0	
