	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型(默认:普通;1:限时选项;2:选择UI框;3:选择图片;4:CG区域选项;5:单选)	特殊选项(addjump:延时添加选项;deljump:延时删除选项;image;图片选择;cg;CG区域选择)	插入图片	插入图片1	插入图片2	插入图片3	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
10100011	2103001	2	{}		100	四糸奈	『你的衣服和内裤都在这里，快点起床啦！』	1	{}			{}	{}				10100012		1			id1_tuzi					2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10100012	2103001	2	{}		100	1	「四糸乃……那个，你能不能先去客厅等我一下，我换个衣服。」	1	{}			{}	{}				10100013		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10100013	2103001	2	{}		100	四糸乃	「嗯，这个……这个是你的。」	1	{}			{}	{}				1010100014		1			id_pose_1		id_look_2	103_eff	id_sweat	2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
1010100014	2103001		{}					1	{}			{}	{}				10100014											{}											{}											{}							scene/bg/bg_keting.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
10100014	2103001	2	{}		100		四糸乃点点头，小心翼翼将叠好的衣物和内裤递给我，转身离开房间。	1	{}			{}	{}				10100015		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10100015	2103001	2	{}		100	1	「谢谢你，四糸乃，有什么事找我吗？」	1	{}			{}	{}				10100016		10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10100016	2103001	2	{}		100	四糸奈	『白痴你忘了今天和四糸乃有约会吗？』	1	{}			{}	{}				10101101-10101201	5	1			id1_tuzi					2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINON_S_14.mp3								1						{}	{}					{}	{}		{}		
10101101	2103001	2	{}		100	1	完蛋！我睡过头了！	1	{}			{}	{}				10101102	1	10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_keting.png			1	-1	{}	sound/bgm/date_001.mp3									-10	1						{}	{}					{}	{}		{}		
10101201	2103001	2	{}		100	1	原谅我！我忙忘了！	1	{}			{}	{}				10101102	1	10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_keting.png			1	-1	{}	sound/bgm/date_001.mp3									5	1						{}	{}					{}	{}		{}		
10101102	2103001	2	{}		100	四糸奈	『真是的。』	1	{}			{}	{}				10101103	2	1			id1_tuzi					2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINON_S_13.mp3								1						{}	{}					{}	{}		{}		
10101103	2103001	2	{}		100	1	「四糸乃有想去玩的地方吗？难得周末，天气这么好。」	1	{}			{}	{}				10101104		1			id_pose_1					2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10101104	2103001	2	{}		100	四糸奈	『……和女生约会……事先找好地方不是男生的职责吗？』	1	{}			{}	{}				10101105		1			id1_tuzi					2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10101105	2103001	2	{}		100	1	「抱歉抱歉，我没有提前准备，四糸乃想去哪里，我都可以。」	1	{}			{}	{}				10101106		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10101106	2103001	2	{}		100	四糸乃	「……去哪里……都可以吗？」	1	{}			{}	{}				10101107		1			id_pose_4		id_look_1	103_eff	id_idea	2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_20.mp3								1						{}	{}					{}	{}		{}		
10101107	2103001	2	{}		100	1	「嗯，哪里都可以哦。四糸乃想去逛街？还是去看电影？或者游乐园？」	1	{}			{}	{}				10101108		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10101108	2103001	2	{}		100	四糸乃	「近……近一点的地方……就可以了。」	1	{}			{}	{}				10201102		1			id_pose_4		id_look_8	103_eff	id_heart	2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_S_07.mp3								1						{}	{}					{}	{}		{}		
10201101	2103001	2	{}		100	1	面包店怎么样？听说今天可以抽奖	1	{}			{}	{}				10201102	7	10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_keting.png			1	-1	{}	sound/bgm/date_001.mp3									5	1						{}	{}					{}	{}		{}		
10201201	2103001	2	{}		100	1	玩偶店喜欢吗？有像四糸奈那样的玩偶	1	{}			{}	{}				10201102	7	10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_keting.png			1	-1	{}	sound/bgm/date_001.mp3									5	1						{}	{}					{}	{}		{}		
10201301	2103001	2	{}		100	1	四糸乃喜欢鲜花吗？	1	{}			{}	{}				10201102	7	10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_keting.png			1	-1	{}	sound/bgm/date_001.mp3									5	1						{}	{}					{}	{}		{}		
10201102	2103001	2	{}		100	1	「哎？这是什么？面包店的宣传单吗？」	1	{}			{}	{}				10201103	2	1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10201103	2103001	2	{}		100		接过四糸乃犹豫着递过来的一张宣传单。	1	{}			{}	{}				10201104		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10201104	2103001	2	{}		100	1	「这是？……复活节大酬宾？」	1	{}			{}	{}				10201105		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10201105	2103001	2	{}		100		四糸奈发出了咯咯的笑声。	1	{}			{}	{}				10201106		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10201106	2103001	2	{}		100	1	「四糸乃想去玩吗？」	1	{}			{}	{}				10201107		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10201107	2103001	2	{}		100	四糸乃	「恩……想要阿弗洛狄特（爱神）的……宠物兔蛋糕。」	1	{}			{}	{}				10301101-10301201	5	1			id_pose_6		id_look_7	103_eff	id_surprise	2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301101	2103001	2	{}		100	1	好啊，正好十香也在，我们一起去面包店吧。	1	{}			{}	{}				10301102	1	10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_keting.png			1	-1	{}	sound/bgm/date_001.mp3									-10	1						{}	{}					{}	{}		{}		
10301201	2103001	2	{}		100	1	一起去吧，四糸乃，和我一起约会好吗？	1	{}			{}	{}				10301202	1	10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_keting.png			1	-1	{}	sound/bgm/date_001.mp3									5	1						{}	{}					{}	{}		{}		
10301102	2103001	2	{}		100	四糸乃	「……嗯，一起去。」	1	{}			{}	{}				10301103		1			id_pose_2		id_look_3	103_eff	id_heart	2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_S_02.mp3								1						{}	{}					{}	{}		{}		
10301103	2103001	2	{}		100		四糸乃发出细小的声音，而左手的四糸奈则是高声叫喊道。	1	{}			{}	{}				1010301104		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
1010301104	2103001		{}					1	{}			{}	{}				10301104											{}											{}											{}							scene/bg/bg_mianbaodian.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
10301104	2103001	2	{}		100	四糸奈	「呀！快看快看！天气真好，面包店好多人呢。」	1	{}			{}	{}				10301105		1								2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_13.mp3								1						{}	{}					{}	{}		{}		
10301105	2103001	2	{}		100	1	「是啊，今天周末，又是复活节，面包店正在做活动。」	1	{}			{}	{}				10301106		1			id_pose_1					2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
10301106	2103001	2	{}		100	四糸奈	『快一点！快一点！面包店都被抢光了！』	1	{}			{}	{}				10301107		1			id1_tuzi					2	{}	1.4										{}											{}										1.2		{}			sound/role/sisinai/YOSHINON_S_03.mp3								1						{}	{}					{}	{}		{}		
10301107	2103001	2	{}		100	1	「不用着急，要得到“爱神的礼物”必须参加比赛竞争，比赛半小时后才开始。」	1	{}			{}	{}				10301108		1			id_pose_1					2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
10301108	2103001	2	{}		100	四糸奈	『比赛？什么比赛？』	1	{}			{}	{}				10301109		1			id1_tuzi					2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
10301109	2103001	2	{}		100		四糸奈有些疑惑地歪了歪头。	1	{}			{}	{}				10301110		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
10301110	2103001	2	{}		100		我将宣传单展开给四糸奈	1	{}			{}	{}				10301111		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301111	2103001	2	{}		100	1	「你看，上面写着——参与烘焙比赛前十名有机会参与“爱神之兔”的抽奖。」	1	{}			{}	{}				10301112		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301112	2103001	2	{}		100		四糸奈在做出一个进行思考的动作后拍了一下手掌。	1	{}			{}	{}				10301113		1			id_pose_1					2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301113	2103001	2	{}		100	四糸奈	『那我们立刻去参加比赛吧！幸运色鬼，抽奖就交给你了。』	1	{}			{}	{}				10401101-10401201	5	1			id1_tuzi					2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301202	2103001	2	{}		100	四糸奈	『一起去吧，赶快换衣服，马上出门！』	1	{}			{}	{}				10301203		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301203	2103001	2	{}		100	1	「我准备好了！我们出发吧。」	1	{}			{}	{}				1010301204		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
1010301204	2103001		{}					1	{}			{}	{}				10301204											{}											{}											{}							scene/bg/bg_huanghunjiedao2.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
10301204	2103001	2	{}		100		我牵着四糸乃走在街道上，她的手很软，很小，像个小团子一样让人想要捏一捏。	1	{}			{}	{}				10301205		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301205	2103001	2	{}		100	四糸乃	「有……有什么事吗？」	1	{}			{}	{}				10301206		1			id_pose_2		id_look_3	103_eff	id_gas	2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_S_02.mp3								1						{}	{}					{}	{}		{}		
10301206	2103001	2	{}		100	1	「哎？……没有啊？」	1	{}			{}	{}				10301207		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301207	2103001	2	{}		100	四糸乃	「手……我的手心……痒。」	1	{}			{}	{}				10301208		1			id_pose_4		id_look_8	103_eff	id_sweat	2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_S_14.mp3								1						{}	{}					{}	{}		{}		
10301208	2103001	2	{}		100		悄悄捏四糸乃手心被发现了。	1	{}			{}	{}				10301209		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301209	2103001	2	{}		100	1	「……嗯，就是……四糸乃的手特别可爱，忍不住捏了一下。抱歉。」	1	{}			{}	{}				10301210		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301210	2103001	2	{}		100		四糸乃害羞缩回了手，放在胸口低下了头。	1	{}			{}	{}				10301211		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301211	2103001	2	{}		100	四糸乃	「没……没关系。手的话……喜欢，给你捏。」	1	{}			{}	{}				1010301212		1			id_pose_6		id_look_7	103_eff	id_heart	2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_03.mp3								1						{}	{}					{}	{}		{}		
1010301212	2103001		{}					1	{}			{}	{}				10301212											{}											{}											{}							scene/bg/bg_mianbaodian.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
10301212	2103001	2	{}		100		四糸乃主动把手伸出来，我牵着她的手继续走着，终于可以光明正大捏她的手了。	1	{}			{}	{}				10301213		10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301213	2103001	2	{}		100	四糸奈	『白痴，你轻点捏，四糸乃的手可是我的！是我的！』	1	{}			{}	{}				10301214		1			id1_tuzi					2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINON_S_13.mp3								1						{}	{}					{}	{}		{}		
10301214	2103001	2	{}		100	1	「你不是在左手吗？」	1	{}			{}	{}				10301215		1			id_pose_1					2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301215	2103001	2	{}		100	四糸奈	『右手也是我的预备位置！右手也很重要，你们雄性生物难道不知道吗？』	1	{}			{}	{}				10301216		1			id1_tuzi					2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301216	2103001	2	{}		100	1	「……这是什么逻辑，突然就开始说起那种事情。」	1	{}			{}	{}				10301217		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301217	2103001	2	{}		100	四糸乃	「什么？……什么事情？」	1	{}			{}	{}				10301218		1			id_pose_4		id_look_1	103_eff	id_sweat	2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_S_08.mp3								1						{}	{}					{}	{}		{}		
10301218	2103001	2	{}		100	1	「没……什么事都没有！」	1	{}			{}	{}				10301219		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10301219	2103001	2	{}		100	四糸乃	「谢谢……谢谢你陪我去面包店。」	1	{}			{}	{}				10402101-10402201	5	1			id_pose_6		id_look_1	103_eff	id_heart	2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_26.mp3								1						{}	{}					{}	{}		{}		
10401101	2103001	2	{}		100	1	那我们开始准备比赛吧	1	{}			{}	{}				10401102	1	10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									5	1						{}	{}					{}	{}		{}		
10401201	2103001	2	{}		100	1	我们先去试吃，看看有什么受欢迎的面包吧	1	{}			{}	{}				10401202	1	10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									5	1						{}	{}					{}	{}		{}		
10401102	2103001	2	{}		100	四糸奈	『哟！很有干劲嘛少年，那我们快开始吧。』	1	{}			{}	{}				10401103		1			id1_tuzi					2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINON_S_14.mp3								1						{}	{}					{}	{}		{}		
10401103	2103001	2	{}		100		四糸奈催促四糸乃走向店铺，小小的面包店里摆满了用巧克力蛋糕制成的小兔和彩蛋。	1	{}			{}	{}				10401104		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
10401104	2103001	2	{}		100	四糸乃	「谢谢……谢谢你。」	1	{}			{}	{}				10401105		1			id_pose_6		id_look_1	103_eff	id_heart	2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_26.mp3								1						{}	{}					{}	{}		{}		
10401105	2103001	2	{}		100	夜刀神十香	「……呼姆，我也来帮忙。」	1	{}			{}	{}				10401106											{}		10104			id_pose_10		id_look_6	103_eff	bust_eff.model.json	4	{}	1.2										{}										1		{}			sound/role/shixiang/TOUKA_S_15.mp3														{}	{}					{}	{}		{}		
10401106	2103001	2	{}		100	鸢一折纸	「你要帮忙吃掉面包吗？」	1	{}			{}	{}				10401107											{}		1								4	{}	1.2	10204			id_pose_5		id_look_1			5	{}	1.2									1		{}			sound/role/zhezhi/ORIGAMI_S_03.mp3														{}	{}					{}	{}		{}		
10401107	2103001	2	{}		100	夜刀神十香	「你怎么会出现在这里？」	1	{}			{}	{}				10401108											{}		1			id_pose_6		id_look_2			4	{}	1.2	1								5	{}	1.2									1		{}			sound/role/shixiang/TOUKA_S_14.mp3														{}	{}					{}	{}		{}		
10401108	2103001	2	{}		100		十香猛然回头发现鸢一折纸。	1	{}			{}	{}				10401109											{}		1								4	{}	1.2	1								5	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
10401109	2103001	2	{}		100	鸢一折纸	「我是来帮忙赢得比赛的。」	1	{}			{}	{}				10401110											{}		1								4	{}	1.2	1			id_pose_3		id_look_1			5	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
10401110	2103001	2	{}		100	夜刀神十香	「哼……才没有邀请你。」	1	{}			{}	{}				10401111											{}		1			id_pose_10		id_look_6			4	{}	1.2	1								5	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
10401111	2103001	2	{}		100	鸢一折纸	「那又怎么样？……我愿意随时为他提供帮助……你呢？你会烘焙吗？」	1	{}			{}	{}				10401112											{}		1								4	{}	1.2	1			id_pose_5		id_look_4			5	{}	1.2									1		{}			sound/role/zhezhi/ORIGAMI_17.mp3														{}	{}					{}	{}		{}		
10401112	2103001	2	{}		100	夜刀神十香	「我……我才……」	1	{}			{}	{}				10401113											{}		1			id_pose_10		id_look_9			4	{}	1.2	1								5	{}	1.2									1		{}			sound/role/shixiang/TOUKA_S_06.mp3														{}	{}					{}	{}		{}		
10401113	2103001	2	{}		100	鸢一折纸	「……你不会，我的力量才能帮助我们赢得比赛。」	1	{}			{}	{}				10401114											{}		1								4	{}	1.2	1			id_pose_4		id_look_1			5	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
10401114	2103001	2	{}		100		折纸的手突然开始在我身上游走。	1	{}			{}	{}				10401115											{}		1								4	{}	1.2	1								5	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
10401115	2103001	2	{}		100	夜刀神十香	「可恶！你……」	1	{}			{}	{}				10401116											{}		1			id_pose_10		id_look_6			4	{}	1.2	1								5	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
10401116	2103001	2	{}		100	四糸乃	「请……请不要争吵」	1	{}			{}	{}				10401117		10303			id_pose_4		id_look_1	103_eff	id_sweat	2	{}	1.2	10104			id_pose_10		id_look_6			1	{}	1.2	10204								3	{}	1.2									1		{}			sound/role/sisinai/YOSHINO_S_02.mp3								1						{}	{}					{}	{}		{}		
10401117	2103001	2	{}		100		一旁四糸乃的声音细小得和蚊子一样。	1	{}			{}	{}				10401118		1								2	{}	1.2	1								1	{}	1.2	1								3	{}	1.2									1		{}											1						{}	{}					{}	{}		{}		
10401118	2103001	2	{}		100	1	「我记得折纸很会做料理，一起来帮忙怎么样？」	1	{}			{}	{}				10401119		1								2	{}	1.2	1								1	{}	1.2	1								3	{}	1.2									1		{}											1						{}	{}					{}	{}		{}		
10401119	2103001	2	{}		100	鸢一折纸	「我正是是为此而来的。」	1	{}			{}	{}				10401120		1								2	{}	1.2	1								1	{}	1.2	1			id_pose_5		id_look_1			3	{}	1.2									1		{}											1						{}	{}					{}	{}		{}		
10401120	2103001	2	{}		100	1	「那么十香负责搓揉面团，折纸负责使用烤箱，我来处理调料怎么样？」	1	{}			{}	{}				10401121		1								2	{}	1.2	1								1	{}	1.2	1								3	{}	1.2									1		{}											1						{}	{}					{}	{}		{}		
10401121	2103001	2	{}		100	四糸乃	「……我……和四糸奈也想帮忙」	1	{}			{}	{}				10501101-10501201	5	1			id_pose_1		id_look_1	103_eff	id_surprise	2	{}	1.2	1								1	{}	1.2	1								3	{}	1.2									1		{}			sound/role/sisinai/YOSHINO_S_17.mp3								1						{}	{}					{}	{}		{}		
10401202	2103001	2	{}		100	夜刀神十香	「快看！豆粉面包啊！」	1	{}			{}	{}				10401203		10303			id_pose_4		id_look_1			4	{}	1.2	10104			id_pose_8		id_look_3			5	{}	1.2										{}										1		{}			sound/role/shixiang/TOUKA_S_13.mp3								1						{}	{}					{}	{}		{}		
10401203	2103001	2	{}		100	1	「十香看到豆粉面包就像看到鱼的猫。」	1	{}			{}	{}				10401204		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}											1						{}	{}					{}	{}		{}		
10401204	2103001	2	{}		100	夜刀神十香	「嗯嗯，我就像猫喜欢吃鱼一样喜欢豆粉面包！」	1	{}			{}	{}				10401205		1								4	{}	1.2	1			id_pose_8		id_look_4			5	{}	1.2										{}										1		{}											1						{}	{}					{}	{}		{}		
10401205	2103001	2	{}		100	1	「四糸乃有什么喜欢吃的甜食吗？」	1	{}			{}	{}				10401206		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}											1						{}	{}					{}	{}		{}		
10401206	2103001	2	{}		100	四糸乃	「甜食……甜的……都喜欢。」	1	{}			{}	{}				10401207		1			id_pose_6		id_look_1	103_eff	id_idea	4	{}	1.2	1								5	{}	1.2										{}										1		{}			sound/role/sisinai/YOSHINO_S_07.mp3								1						{}	{}					{}	{}		{}		
10401207	2103001	2	{}		100	1	「这样啊，那我们从这边开始，一个一个挨着试吃好不好？」	1	{}			{}	{}				10401208		1								4	{}	1.2	1								5	{}	1.2										{}										1		{}											1						{}	{}					{}	{}		{}		
10401208	2103001	2	{}		100	四糸乃	「嗯……好的。」	1	{}			{}	{}				10401209		1			id_pose_1		id_look_1	103_eff	id_surprise	4	{}	1.2	1								5	{}	1.2										{}										1		{}			sound/role/sisinai/YOSHINO_S_09.mp3								1						{}	{}					{}	{}		{}		
