刷怪ID	关卡备注（策划看）	关卡备注（策划看）	怪物ID	朝向	怪池ID(怪池ID+怪池刷出怪物数量)	等级（通过skillEffect触发的怪物等级跟随召唤者）	波次	刷怪器类型(1-常规，即现有类型；2-循环，3-定时，4-极限)	刷怪轮数(以所有波次刷完为1轮)	定时(循环刷怪，极限刷怪的下一轮怪刷出的等待时间；定时刷怪刷出下一轮怪的间隔时间)	刷怪暂停条件类型(1-击杀能力检测，2-数量上限检测)	刷怪暂停条件类型参数(击杀能力检测填间隔时间，单位秒；数量上限检测填存活怪物数量上限)	刷怪位置（1随机刷新，2地图中心刷新，3地图左侧刷新，4地图右侧刷新）	是否预警	助战角色是否出现（0或不配时不刷新助战角色。1刷新助战角色）
101204		新1-2困难波4	1010-1010-1010-1060-1050	2		15	1	1	1				1	0	
101301		新1-3困难波1	1010-1010-1010-1020	2		16	1	1	1				1	0	
101302		新1-3困难波2	1010-1010-1010-1010-1080	2		16	1	1	1				1	0	
101303		新1-3困难波3	1010-1010-1010-1080	2		16	1	1	1				1	0	
101304		新1-3困难波4	1010-1010-1010-1060-1080	2		16	1	1	1				1	0	
101401		新1-4困难波1	1010-1010-1020	2		16	1	1	1				1	0	
101402		新1-4困难波2	1010-1010-1010-1020-1080	2		16	1	1	1				1	0	
101403		新1-4困难波3	1010-1010-1050-1070	2		16	1	1	1				1	0	
101404		新1-4困难波4	1010-1010-1010-1080-1020-1020	2		16	1	1	1				1	0	
101501		新1-5困难波1	1080-1050-1050	2		17	1	1	1				1	0	
101502		新1-5困难波2	1010-1010-1010-1020-1020	2		17	1	1	1				1	0	
101503		新1-5困难波3	1010-1010-1010-1082-1082	2		17	1	1	1				1	0	
101504		新1-5困难波4	1010-1010-1010-1050-1060-1060	2		17	1	1	1				1	0	
101601		新1-6困难波1	1010-1010-1010-1020	2		17	1	1	1				1	0	
101602		新1-6困难波2	1010-1010-1010-1010-1050-1050	2		17	1	1	1				1	0	
101603		新1-6困难波3	1010-1010-1010-1020-1020	2		17	1	1	1				1	0	
101604		新1-6困难波4	1010-1010-1010-1060-1050	2		17	1	1	1				1	0	
101701		新1-7困难波1	1010-1010-1010-1020	2		18	1	1	1				1	0	
101702		新1-7困难波2	1010-1010-1010-1010-1080	2		18	1	1	1				1	0	
101703		新1-7困难波3	1010-1010-1010-1080	2		18	1	1	1				1	0	
101704		新1-7困难波4	1010-1010-1010-1060-1080	2		18	1	1	1				1	0	
101801		新1-8困难波1	1010-1010-1020	2		18	1	1	1				1	0	
101802		新1-8困难波2	1010-1010-1010-1020-1080	2		18	1	1	1				1	0	
101803		新1-8困难波3	1010-1010-1050-1070	2		18	1	1	1				1	0	
101804		新1-8困难波4	1010-1010-1010-1080-1020-1020	2		18	1	1	1				1	0	
101901		新1-9困难波1	1080-1050-1050	2		19	1	1	1				1	0	
101902		新1-9困难波2	1010-1010-1010-1020-1020	2		19	1	1	1				1	0	
101903		新1-9困难波3	1010-1010-1010-1082-1082	2		19	1	1	1				1	0	
101904		新1-9困难波4	1010-1010-1010-1050-1060-1060	2		19	1	1	1				1	0	
102001		新1-10困难波1	1010-1010-1010-1020	2		19	1	1	1				1	0	
102002		新1-10困难波2	1010-1010-1010-1010-1050-1050	2		19	1	1	1				1	0	
102003		新1-10困难波3	1010-1010-1010-1020-1020	2		19	1	1	1				1	0	
102004		新1-10困难波4	1010-1010-1010-1060-1050	2		19	1	1	1				1	0	
111101		新1-1地狱波1	1010-1010-1010-1020	2		25	1	1	1				1	0	
111102		新1-1地狱波2	1010-1010-1010-1010-1080	2		25	1	1	1				1	0	
111103		新1-1地狱波3	1010-1010-1010-1080	2		25	1	1	1				1	0	
111104		新1-1地狱波4	1010-1010-1010-1060-1080	2		25	1	1	1				1	0	
111201		新1-1地狱波1	1010-1010-1020	2		26	1	1	1				1	0	
111202		新1-1地狱波2	1010-1010-1010-1020-1080	2		26	1	1	1				1	0	
111203		新1-1地狱波3	1010-1010-1050-1070	2		26	1	1	1				1	0	
111204		新1-1地狱波4	1010-1010-1010-1080-1020-1020	2		26	1	1	1				1	0	
111301		新1-1地狱波1	1080-1050-1050	2		26	1	1	1				1	0	
111302		新1-1地狱波2	1010-1010-1010-1020-1020	2		26	1	1	1				1	0	
111303		新1-1地狱波3	1010-1010-1010-1082-1082	2		26	1	1	1				1	0	
111304		新1-1地狱波4	1010-1010-1010-1050-1060-1060	2		26	1	1	1				1	0	
111401		新1-1地狱波1	1010-1010-1010-1020	2		27	1	1	1				1	0	
111402		新1-1地狱波2	1010-1010-1010-1010-1050-1050	2		27	1	1	1				1	0	
111403		新1-1地狱波3	1010-1010-1010-1020-1020	2		27	1	1	1				1	0	
111404		新1-1地狱波4	1010-1010-1010-1060-1050	2		27	1	1	1				1	0	
111501		新1-1地狱波1	1010-1010-1010-1020	2		27	1	1	1				1	0	
111502		新1-1地狱波2	1010-1010-1010-1010-1080	2		27	1	1	1				1	0	
111503		新1-1地狱波3	1010-1010-1010-1080	2		27	1	1	1				1	0	
111504		新1-1地狱波4	1010-1010-1010-1060-1080	2		27	1	1	1				1	0	
111601		新1-1地狱波1	1010-1010-1020	2		28	1	1	1				1	0	
111602		新1-1地狱波2	1010-1010-1010-1020-1080	2		28	1	1	1				1	0	
111603		新1-1地狱波3	1010-1010-1050-1070	2		28	1	1	1				1	0	
111604		新1-1地狱波4	1010-1010-1010-1080-1020-1020	2		28	1	1	1				1	0	
201101		新2-1困难波1	1080-1050-1050	2		19	1	1	1				1	0	
201102		新2-1困难波2	1010-1010-1010-1020-1020	2		19	1	1	1				1	0	
201103		新2-1困难波3	1010-1010-1010-1082-1082	2		19	1	1	1				1	0	
201104		新2-1困难波4	1010-1010-1010-1050-1060-1060	2		19	1	1	1				1	0	
201201		新2-2困难波1	1010-1010-1010-1020	2		19	1	1	1				1	0	
201202		新2-2困难波2	1010-1010-1010-1010-1050-1050	2		19	1	1	1				1	0	
201203		新2-2困难波3	1010-1010-1010-1020-1020	2		19	1	1	1				1	0	
201204		新2-2困难波4	1010-1010-1010-1060-1050	2		19	1	1	1				1	0	
201301		新2-3困难波1	1010-1010-1010-1020	2		20	1	1	1				1	0	
201302		新2-3困难波2	1010-1010-1010-1010-1080	2		20	1	1	1				1	0	
201303		新2-3困难波3	1010-1010-1010-1080	2		20	1	1	1				1	0	
201304		新2-3困难波4	1010-1010-1010-1060-1080	2		20	1	1	1				1	0	
201401		新2-4困难波1	1010-1010-1020	2		20	1	1	1				1	0	
201402		新2-4困难波2	1010-1010-1010-1020-1080	2		20	1	1	1				1	0	
201403		新2-4困难波3	1010-1010-1050-1070	2		20	1	1	1				1	0	
201404		新2-4困难波4	1010-1010-1010-1080-1020-1020	2		20	1	1	1				1	0	
201501		新2-5困难波1	1080-1050-1050	2		20	1	1	1				1	0	
201502		新2-5困难波2	1010-1010-1010-1020-1020	2		20	1	1	1				1	0	
201503		新2-5困难波3	1010-1010-1010-1082-1082	2		20	1	1	1				1	0	
201504		新2-5困难波4	1010-1010-1010-1050-1060-1060	2		20	1	1	1				1	0	
201601		新2-6困难波1	1010-1010-1010-1020	2		21	1	1	1				1	0	
201602		新2-6困难波2	1010-1010-1010-1010-1050-1050	2		21	1	1	1				1	0	
201603		新2-6困难波3	1010-1010-1010-1020-1020	2		21	1	1	1				1	0	
201604		新2-6困难波4	1010-1010-1010-1060-1050	2		21	1	1	1				1	0	
201701		新2-7困难波1	1010-1010-1010-1020	2		21	1	1	1				1	0	
201702		新2-7困难波2	1010-1010-1010-1010-1080	2		21	1	1	1				1	0	
201703		新2-7困难波3	1010-1010-1010-1080	2		21	1	1	1				1	0	
201704		新2-7困难波4	1010-1010-1010-1060-1080	2		21	1	1	1				1	0	
201801		新2-8困难波1	1010-1010-1020	2		21	1	1	1				1	0	
201802		新2-8困难波2	1010-1010-1010-1020-1080	2		21	1	1	1				1	0	
201803		新2-8困难波3	1010-1010-1050-1070	2		21	1	1	1				1	0	
201804		新2-8困难波4	1010-1010-1010-1080-1020-1020	2		21	1	1	1				1	0	
201901		新2-9困难波1	1080-1050-1050	2		22	1	1	1				1	0	
201902		新2-9困难波2	1010-1010-1010-1020-1020	2		22	1	1	1				1	0	
201903		新2-9困难波3	1010-1010-1010-1082-1082	2		22	1	1	1				1	0	
201904		新2-9困难波4	1010-1010-1010-1050-1060-1060	2		22	1	1	1				1	0	
202001		新2-10困难波1	1010-1010-1010-1020	2		22	1	1	1				1	0	
202002		新2-10困难波2	1010-1010-1010-1010-1050-1050	2		22	1	1	1				1	0	
202003		新2-10困难波3	1010-1010-1010-1020-1020	2		22	1	1	1				1	0	
202004		新2-10困难波4	1010-1010-1010-1060-1050	2		22	1	1	1				1	0	
202101		新2-11困难波1	1010-1010-1010-1020	2		23	1	1	1				1	0	
202102		新2-11困难波2	1010-1010-1010-1010-1080	2		23	1	1	1				1	0	
202103		新2-11困难波3	1010-1010-1010-1080	2		23	1	1	1				1	0	
202104		新2-11困难波4	1010-1010-1010-1060-1080	2		23	1	1	1				1	0	
202201		新2-12困难波1	1010-1010-1020	2		23	1	1	1				1	0	
202202		新2-12困难波2	1010-1010-1010-1020-1080	2		23	1	1	1				1	0	
202203		新2-12困难波3	1010-1010-1050-1070	2		23	1	1	1				1	0	
202204		新2-12困难波4	1010-1010-1010-1080-1020-1020	2		23	1	1	1				1	0	
202301		新2-13困难波1	1080-1050-1050	2		24	1	1	1				1	0	
202302		新2-13困难波2	1010-1010-1010-1020-1020	2		24	1	1	1				1	0	
202303		新2-13困难波3	1010-1010-1010-1082-1082	2		24	1	1	1				1	0	
202304		新2-13困难波4	1010-1010-1010-1050-1060-1060	2		24	1	1	1				1	0	
202401		新2-14困难波1	1010-1010-1010-1020	2		24	1	1	1				1	0	
202402		新2-14困难波2	1010-1010-1010-1010-1050-1050	2		24	1	1	1				1	0	
202403		新2-14困难波3	1010-1010-1010-1020-1020	2		24	1	1	1				1	0	
202404		新2-14困难波4	1010-1010-1010-1060-1050	2		24	1	1	1				1	0	
202501		新2-15困难波1	1010-1010-1010-1020	2		25	1	1	1				1	0	
202502		新2-15困难波2	1010-1010-1010-1010-1080	2		25	1	1	1				1	0	
202503		新2-15困难波3	1010-1010-1010-1080	2		25	1	1	1				1	0	
202504		新2-15困难波4	1010-1010-1010-1060-1080	2		25	1	1	1				1	0	
211101		新2-1地狱波1	1010-1010-1020	2		29	1	1	1				1	0	
211102		新2-1地狱波2	1010-1010-1010-1020-1080	2		29	1	1	1				1	0	
211103		新2-1地狱波3	1010-1010-1050-1070	2		29	1	1	1				1	0	
211104		新2-1地狱波4	1010-1010-1010-1080-1020-1020	2		29	1	1	1				1	0	
211201		新2-2地狱波1	1080-1050-1050	2		29	1	1	1				1	0	
211202		新2-2地狱波2	1010-1010-1010-1020-1020	2		29	1	1	1				1	0	
211203		新2-2地狱波3	1010-1010-1010-1082-1082	2		29	1	1	1				1	0	
211204		新2-2地狱波4	1010-1010-1010-1050-1060-1060	2		29	1	1	1				1	0	
211301		新2-3地狱波1	1010-1010-1010-1020	2		30	1	1	1				1	0	
211302		新2-3地狱波2	1010-1010-1010-1010-1050-1050	2		30	1	1	1				1	0	
211303		新2-3地狱波3	1010-1010-1010-1020-1020	2		30	1	1	1				1	0	
211304		新2-3地狱波4	1010-1010-1010-1060-1050	2		30	1	1	1				1	0	
211401		新2-4地狱波1	1010-1010-1010-1020	2		31	1	1	1				1	0	
211402		新2-4地狱波2	1010-1010-1010-1010-1080	2		31	1	1	1				1	0	
211403		新2-4地狱波3	1010-1010-1010-1080	2		31	1	1	1				1	0	
211404		新2-4地狱波4	1010-1010-1010-1060-1080	2		31	1	1	1				1	0	
211501		新2-5地狱波1	1010-1010-1020	2		31	1	1	1				1	0	
211502		新2-5地狱波2	1010-1010-1010-1020-1080	2		31	1	1	1				1	0	
211503		新2-5地狱波3	1010-1010-1050-1070	2		31	1	1	1				1	0	
211504		新2-5地狱波4	1010-1010-1010-1080-1020-1020	2		31	1	1	1				1	0	
211601		新2-6地狱波1	1080-1050-1050	2		32	1	1	1				1	0	
211602		新2-6地狱波2	1010-1010-1010-1020-1020	2		32	1	1	1				1	0	
211603		新2-6地狱波3	1010-1010-1010-1082-1082	2		32	1	1	1				1	0	
211604		新2-6地狱波4	1010-1010-1010-1050-1060-1060	2		32	1	1	1				1	0	
211701		新2-7地狱波1	1010-1010-1010-1020	2		33	1	1	1				1	0	
211702		新2-7地狱波2	1010-1010-1010-1010-1050-1050	2		33	1	1	1				1	0	
211703		新2-7地狱波3	1010-1010-1010-1020-1020	2		33	1	1	1				1	0	
211704		新2-7地狱波4	1010-1010-1010-1060-1050	2		33	1	1	1				1	0	
211801		新2-8地狱波1	1010-1010-1010-1020	2		34	1	1	1				1	0	
211802		新2-8地狱波2	1010-1010-1010-1010-1080	2		34	1	1	1				1	0	
211803		新2-8地狱波3	1010-1010-1010-1080	2		34	1	1	1				1	0	
211804		新2-8地狱波4	1010-1010-1010-1060-1080	2		34	1	1	1				1	0	
211901		新2-9地狱波1	1010-1010-1020	2		35	1	1	1				1	0	
211902		新2-9地狱波2	1010-1010-1010-1020-1080	2		35	1	1	1				1	0	
211903		新2-9地狱波3	1010-1010-1050-1070	2		35	1	1	1				1	0	
211904		新2-9地狱波4	1010-1010-1010-1080-1020-1020	2		35	1	1	1				1	0	
															
100001		召唤地雷	10002	2											
100002		高阶能量远程	4010	2											
				2											
				2											
				2											
				2											
1	测试关卡		24001	2		1	1	1	1				4	0	
2	测试关卡		25001	2		1	1	1	1				4	1	
3	测试关卡		26001	2		1	1	1	1				4	1	
4	测试关卡		27001	2		1	1	1	1				4	0	
5	测试关卡		28001	2		1	1	1	1				4	0	
6	测试关卡		1050	2		1	1	1	1				4	0	
7	测试关卡		1060	2		1	1	1	1				4	0	
8	测试关卡		1070	2		1	1	1	1				4	0	
9	测试关卡		1080-1010-1010-1010	2		1	1	1	1				4	1	
				2											
				2											
				2											
				2											
				2											
2000010		经验1	2101-2101-2121-2121	2		10	1	1	1				1	0	
2000011		经验1	2101-2101-2101-2131-2140-2140	2		10	1	1					1	0	
2000012		经验1	2121-2121-2161	2		10	1	1					4	1	
2000013		经验2	2101-2101-2131-2131	2		20	1	1	1				1	0	
2000014		经验2	2121-2121-2140-2140	2		20	1	1					1	0	
2000015		经验2	2151-2151-2201-2201-2161	2		20	1-1-1-1-2	1					4	0-0-0-0-1	
2000016		经验3	2131-2131-2221-2221	2		33	1	1	1				1	0	
2000017		经验3	2221-2201-2131	2		33	1	3	2	1000			1	0	
2000018		经验3	2240-2240-2201-2201-2261	2		33	1	1					4	1	
2000019		经验4	2231-2231-2231-2231-2221-2221	2		44	1	1	1				1	0	
2000020		经验4	2240-2240-2221-2221	2		44	1	4	1	1250			1	0	
2000021		经验4	2201-2201-2251-2251-2261	2		44	1	1					4	1	
2000022		金币1	3111-3111-3101-3101	2		14	1	1	1				1	0	
2000023		金币1	3101-3101-3131-3131-3121-3121	2		14	1	1					1	0	
2000024		金币1	3131-3131-3121-3121-2161	2		14	1	1					4	1	
2000025		金币2	3111-3111-3131-3131-3101-3101	2		23	1	1	1				1	0	
2000026		金币2	3121-3121-3131-3131	2		23	1	1					1	0	
2000027		金币2	3101-3101-3221-3221-2161	2		23	1-1-1-1-2	1					4	0-0-0-0-1	
2000028		金币3	3131-3111	2		36	1	3	2	1000			1	0	
2000029		金币3	3211-3211-3201-3201	2		36	1	4	2	1250			1	0	
2000030		金币3	3221-3221-3231-3231-2261	2		36	1	1					4	1	
2000031		金币4	3231-3231-3211-3211-3201-3201	2		48	1	1	1				1	0	
2000032		金币4	3221-3221-3231-3231	2		48	1	4	1	1250			1	0	
2000033		金币4	3221-3221-3231-3231-2261	2		48	1	1					4	1	
2000034		资源1	1111-1111-1161-1161	2		18	1	1	1				1	0	
2000035		资源1	1111-1111-1171-1181	2		18	1	1					1	0	
2000036		资源1	1181-1171-1161-1161-20101	2		18	1	1					4	1	
2000037		资源2	1121-1151-1161-1161-1111-1111	2		29	1	1	1				1	0	
2000038		资源2	1181-1181-1211-1211	2		29	1	1					1	0	
2000039		资源2	1161-1161-1221-1221-20101	2		29	1-1-1-1-2	1					4	0-0-0-0-1	
2000040		资源3	1181-1181-1211-1211	2		40	1	1	1				1	0	
2000041		资源3	1211-1261-1271	2		40	1	3	2	1000			1	0	
2000042		资源3	1171-1171-1211-1211-20201	2		40	1	1					4	1	
2000043		资源4	1251-1221-1261-1261	2		55	1	1	1				1	0	
2000044		资源4	1271-1281-1261-1261-1211-1211	2		55	1	4	1	1250			1	0	
2000045		资源4	1281-1281-1261-1261-20201	2		55	1	1					4	1	
2000101		质点周一1	1111-1111-1121-1121	2		16	1	1	1				1	0	
2000102		质点周一1	1181-1181-2101-2101	2		16	1	1					1	0	
2000103		质点周一1	1161-1161-2121-2121-50401	2		16	1	1					4	1	
2000104		质点周一2	2140-2140-1121-1121	2		27	1	1	1				1	0	
2000105		质点周一2	1161-1161-2121-2121	2		27	1	1					1	0	
2000106		质点周一2	1251-1251-2131-2131-50402	2		27	1	1					4	1	
2000107		质点周一3	1161-1161-2131-2131	2		38	1	1	1				1	0	
2000108		质点周一3	1221-2140-2140	2		38	1	3	2	1000			1	0	
2000109		质点周一3	2221-2221-1281-1281-50403	2		38	1	1					4	1	
2000110		质点周一4	1271-1271-2201-2201-2231-2231	2		51	1	1	1				1	0	
2000111		质点周一4	1261-1261-2251-2251	2		51	1	4	1	1250			1	0	
2000112		质点周一4	2240-2240-1281-1271-50404	2		51	1	1					4	1	
2000113		质点周二1	3131-3131-3111-3111	2		16	1	1	1				1	0	
2000114		质点周二1	3101-3101-2151-2151	2		16	1	4	1	1250			1	0	
2000115		质点周二1	2131-2131-3121-3121-50501	2		16	1	1					4	1	
2000116		质点周二2	3101-3101-2140-2140	2		27	1	1	1				1	0	
2000117		质点周二2	2131-2131-3111-3111	2		27	1	4	1	1250			1	0	
2000118		质点周二2	3221-3221-50502	2		27	1	1					4	1	
2000119		质点周二3	2131-2131-2251-2221	2		38	1	1	1				1	0	
2000120		质点周二3	3131-3131-2221	2		38	1	3	2	1000			1	0	
2000121		质点周二3	2231-2231-3211-3211-50503	2		38	1	1					4	1	
2000122		质点周二4	2240-2240-3221-3221	2		51	1	1	1				1	0	
2000123		质点周二4	3231-3231-2251-2251	2		51	1	4	1	1250			1	0	
2000124		质点周二4	2231-2231-3211-3211-50504	2		51	1	1					4	1	
2000125		质点周三1	1111-1111-1171-1171	2		16	1	1	1				1	0	
2000126		质点周三1	3131-3131-3111-3111	2		16	1	1					1	0	
2000127		质点周三1	1181-1181-3101-3101-50101	2		16	1	1					4	1	
2000128		质点周三2	1171-1171-3101-3101	2		27	1	1	1				1	0	
2000129		质点周三2	1161-1161-3111-3111	2		27	1	4	1	1250			1	0	
2000130		质点周三2	3131-3131-1181-1181-50102	2		27	1	1					4	1	
2000131		质点周三3	3221-3221-3131-3131	2		38	1	1	1				1	0	
2000132		质点周三3	1171-1211-1261	2		38	1	3	2	1000			1	0	
2000133		质点周三3	3211-3211-3231-3231-50103	2		38	1	1					4	1	
2000134		质点周三4	3231-3231-1281-1281	2		51	1	1	1				1	0	
2000135		质点周三4	3221-3221-1261-1261	2		51	1	4	1	1250			1	0	
2000136		质点周三4	3231-3231-1271-1271-50104	2		51	1	1					4	1	
2000137		质点周四1	3101-3101-1181-1181	2		16	1	1	1				1	0	
2000138		质点周四1	3111-3111-1161-1161	2		16	1	4	1	1250			1	0	
2000139		质点周四1	3131-3131-3121-3121-50601	2		16	1	1					4	1	
2000140		质点周四2	3111-1161	2		27	1	3	2	750			1	0	
2000141		质点周四2	3131-3131-3121-3121	2		27	1	1					1	0	
2000142		质点周四2	1161-1161-1271-1271-50602	2		27	1-1-1-1-2	1					4	0-0-0-0-1	
2000143		质点周四3	3201-3201-1181-1181	2		38	1	1	1				1	0	
2000144		质点周四3	1221-3231	2		38	1	3	2	750			1	0	
2000145		质点周四3	1261-1261-3211-3211-50603	2		38	1	1					4	1	
2000146		质点周四4	1281-1281-1261-1261	2		51	1	1	1				1	0	
2000147		质点周四4	3231-3231-3211-3211	2		51	1	4	1	1250			1	0	
2000148		质点周四4	1271-1271-3231-3231-50604	2		51	1	1					4	1	
2000149		质点周五1	2131-2131-2101-2101-2121-2121	2		16	1	1	1				1	0	
2000150		质点周五1	3131-3131-3111-3111	2		16	1	1					1	0	
2000151		质点周五1	3121-3121-2140-2140-50201	2		16	1	1					4	1	
2000152		质点周五2	3101-3101-2151-2151	2		27	1	1	1				1	0	
2000153		质点周五2	3111-2131	2		27	1	3	2	750			1	0	
2000154		质点周五2	3221-3221-50202	2		27	1	1					4	1	
2000155		质点周五3	2140-2140-3211-3211	2		38	1	1	1				1	0	
2000156		质点周五3	3221-2231-2201	2		38	1	3	2	1250			1	0	
2000157		质点周五3	2251-2251-3101-3101-50203	2		38	1	1					4	1	
2000158		质点周五4	3231-3231-2231-2231	2		51	1	1	1				1	0	
2000159		质点周五4	2240-2240-2251-2251	2		51	1	4	1	1250			1	0	
2000160		质点周五4	3221-3221-3201-3201-50204	2		51	1	1					4	1	
2000161		质点周六七1	2101-2101-2101-2101-1171-1171	2		16	1	1	1				1	0	
2000162		质点周六七1	2151-2151-1111-1111	2		16	1	1					1	0	
2000163		质点周六七1	2140-2140-1181-1181-50701	2		16	1	1					4	1	
2000164		质点周六七2	2121-2121-1161-1161	2		27	1	1	1				1	0	
2000165		质点周六七2	2131-2131	2		27	1	3	3	1500			1	0	
2000166		质点周六七2	1281-1281-50702	2		27	1	1					4	1	
2000167		质点周六七3	2131-2131-1221-1221	2		38	1	1	1				1	0	
2000168		质点周六七3	1181-2221	2		38	1	3	2	750			1	0	
