id	对应精灵id	格子id	格子外形	稀有度分区	结晶外观图	格子背景	格子位置	icon	相邻格子的id	解锁条件[格子id,格子id2]	效果描述	加成效果{属性id,数值}	突破需要道具	战斗力加成
42	110101	42		6			25	icon/attribute/70x70/2.png	39-41-43	[39]	攻击+26	{2:2600}	{510236:1}	25
43	110101	43		6			29	icon/attribute/70x70/2.png	42	[42]	攻击力+4%	{1002:400}	{510237:1}	25
44	110101	44		6			32	icon/attribute/70x70/1.png	41-45	[41]	生命+66	{1:6600}	{510238:1}	30
45	110101	45		6			36	icon/attribute/70x70/3.png	44-46	[44]	防御+14	{3:1400}	{510239:1}	30
46	110101	46		7			3	icon/attribute/70x70/3.png	45-47-48	[45]	防御+15	{3:1500}	{510240:1}	30
47	110101	47		7			13	icon/attribute/70x70/1.png	46-49	[46]	生命+5%	{1001:500}	{510232:2}	30
48	110101	48		7			15	icon/attribute/70x70/1.png	46-50	[46]	生命+74	{1:7400}	{510233:2}	30
49	110101	49		7			17	icon/attribute/70x70/2.png	47-51	[47,51]	攻击+26	{2:2600}	{510234:2}	30
50	110101	50		7			22	icon/attribute/70x70/3.png	48-52	[48,52]	防御+15	{3:1500}	{510235:2}	30
51	110101	51		7			24	icon/attribute/70x70/504.png	49-52-53	[49,52]	格挡率+4%	{504:400}	{510236:2}	30
52	110101	52		7			26	icon/attribute/70x70/2.png	50-51-54	[50,51]	攻击+26	{2:2600}	{510237:2}	35
53	110101	53		7			28	icon/attribute/70x70/1.png	51-55	[51,55]	生命+74	{1:7400}	{510238:2}	35
54	110101	54		7			33	icon/attribute/70x70/3.png	52-56	[52,56]	防御+4%	{1003:400}	{510239:2}	35
55	110101	55		7			35	icon/attribute/70x70/3.png	53-56	[53,56]	防御+15	{3:1500}	{510240:2}	35
56	110101	56		7			37	icon/attribute/70x70/1.png	54-55	[54,55]	生命+74	{1:7400}	{510239:2}	35
57	110103	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/3.png	2		防御+7	{3:700}	{510201:1}	10
58	110103	2		1			14	icon/attribute/70x70/2.png	1-3-4	[1]	攻击+13	{2:1300}	{510202:1}	10
59	110103	3		1			24	icon/attribute/70x70/1.png	2-5	[2]	生命+33	{1:3300}	{510203:1}	15
60	110103	4		1			26	icon/attribute/70x70/2.png	2-5	[2]	攻击+13	{2:1300}	{510204:1}	10
61	110103	5		1			36	icon/attribute/70x70/502.png	3-4-6	[3,4]	受伤减免+4%	{502:400}	{510205:1}	10
62	110103	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/1.png	5-7	[5]	生命+33	{1:3300}	{510206:1}	10
63	110103	7		2			14	icon/attribute/70x70/2.png	6-8-9	[6]	攻击+16	{2:1600}	{510207:1}	15
64	110103	8		2			18	icon/attribute/70x70/2.png	7-10	[7]	攻击+16	{2:1600}	{510208:1}	15
65	110103	9		2			21	icon/attribute/70x70/3.png	7-10	[7]	防御+7	{3:700}	{510201:1,510202:1}	10
66	110103	10		2			25	icon/attribute/70x70/507.png	8-9-11	[8,9]	暴击率+4%	{507:400}	{510203:1,510204:1}	15
67	110103	11		2			36	icon/attribute/70x70/1.png	10-12	[10]	生命+41	{1:4100}	{510205:1,510206:1}	10
68	110103	12		3			3	icon/attribute/70x70/1.png	11-13	[11]	生命+41	{1:4100}	{510207:1,510208:1}	15
69	110103	13		3			7	icon/attribute/70x70/501.png	12-14	[12]	伤害加成+4%	{501:400}	{510201:1,510202:1,510203:1}	15
70	110103	14		3			14	icon/attribute/70x70/2.png	13-15	[13]	攻击+19	{2:1900}	{510204:1,510205:1,510206:1}	15
71	110103	15		3			21	icon/attribute/70x70/2.png	14-16	[14]	攻击+19	{2:1900}	{510207:2,510208:2}	15
72	110103	16		3			25	icon/attribute/70x70/515.png	15-17	[15]	恢复效率+15%	{515:1500}	{510209:2,510210:2}	15
73	110103	17		3			29	icon/attribute/70x70/1.png	16-18	[16]	生命+49	{1:4900}	{510211:2,510212:2}	15
74	110103	18		3			36	icon/attribute/70x70/3.png	17-19	[17]	防御+8	{3:800}	{510213:1,510214:1,510215:1}	15
75	110103	19		4			3	icon/attribute/70x70/3.png	18-20-21	[18]	防御+8	{3:800}	{510213:1,510214:1,510215:1}	15
76	110103	20		4			7	icon/attribute/70x70/1.png	19-22	[19]	生命+49	{1:4900}	{510207:2,510208:2,510209:2}	15
77	110103	21		4			14	icon/attribute/70x70/6.png	19-22-24	[19]	攻击速度+9	{6:900}	{510207:3,510208:3,510209:3}	15
78	110103	22		4			18	icon/attribute/70x70/2.png	20-21	[20,21]	攻击+22	{2:2200}	{510216:1}	15
79	110103	23		4			21	icon/attribute/70x70/502.png	24-25	[24]	受伤减免+5%	{502:500}	{510217:1}	15
80	110103	24		4			25	icon/attribute/70x70/2.png	21-23-26	[21]	攻击+22	{2:2200}	{510218:1}	20
81	110103	25		4			32	icon/attribute/70x70/3.png	23-26	[23,26]	防御+10	{3:1000}	{510219:1}	20
82	110103	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24]	生命+57	{1:5700}	{510220:1}	20
83	110103	27		5			3	icon/attribute/70x70/3.png	26-28-30	[26]	防御+10	{3:1000}	{510221:1}	20
84	110103	28		5			7	icon/attribute/70x70/1.png	27-31	[27]	生命+57	{1:5700}	{510222:1}	20
85	110103	29		5			10	icon/attribute/70x70/512.png	30	[30]	受控时间减少+15%	{512:1500}	{510223:1}	20
86	110103	30		5			14	icon/attribute/70x70/2.png	27-29-31	[27]	攻击+25	{2:2500}	{510224:1}	20
87	110103	31		5			18	icon/attribute/70x70/509.png	28-30-32-33	[28,30]	暴击伤害+10%	{509:1000}	{510225:1}	20
88	110103	32		5			25	icon/attribute/70x70/3.png	31-34-35	[31]	防御+11	{3:1100}	{510226:1}	20
89	110103	33		5			29	icon/attribute/70x70/1.png	31-35	[31]	生命+65	{1:6500}	{510227:1}	20
90	110103	34		5			32	icon/attribute/70x70/2.png	32	[32]	攻击+29	{2:2900}	{510228:1}	20
91	110103	35		5			36	icon/attribute/70x70/3.png	32-33-36	[32,33]	防御+11	{3:1100}	{510229:1}	20
92	110103	36		6			3	icon/attribute/70x70/1.png	35-37	[35]	生命+73	{1:7300}	{510230:1}	20
93	110103	37		6			7	icon/attribute/70x70/3.png	36-40	[36]	防御+13	{3:1300}	{510231:1}	25
94	110103	38		6			10	icon/attribute/70x70/513.png	39	[39]	增益时间+15%	{513:1500}	{510232:1}	25
95	110103	39		6			14	icon/attribute/70x70/2.png	38-40-42	[40]	攻击+29	{2:2900}	{510233:1}	25
96	110103	40		6			18	icon/attribute/70x70/507.png	37-39	[37]	暴击率+6%	{507:600}	{510234:1}	25
97	110103	41		6			21	icon/attribute/70x70/3.png	39-44	[42]	防御+15	{3:1500}	{510235:1}	25
98	110103	42		6			25	icon/attribute/70x70/2.png	39-41-43	[39]	攻击+32	{2:3200}	{510236:1}	25
99	110103	43		6			29	icon/attribute/70x70/501.png	42	[42]	伤害加成+4%	{501:400}	{510237:1}	25
100	110103	44		6			32	icon/attribute/70x70/1.png	41-45	[41]	生命+73	{1:7300}	{510238:1}	30
101	110103	45		6			36	icon/attribute/70x70/3.png	44-46	[44]	防御+15	{3:1500}	{510239:1}	30
102	110103	46		7			3	icon/attribute/70x70/3.png	45-47-48	[45]	防御+16	{3:1600}	{510240:1}	30
103	110103	47		7			13	icon/attribute/70x70/509.png	46-49	[46]	暴击伤害+15%	{509:1500}	{510232:2}	30
104	110103	48		7			15	icon/attribute/70x70/1.png	46-50	[46]	生命+82	{1:8200}	{510233:2}	30
105	110103	49		7			17	icon/attribute/70x70/2.png	47-51	[47,51]	攻击+32	{2:3200}	{510234:2}	30
106	110103	50		7			22	icon/attribute/70x70/3.png	48-52	[48,52]	防御+16	{3:1600}	{510235:2}	30
107	110103	51		7			24	icon/attribute/70x70/514.png	49-52-53	[49,52]	减益时间减少+15%	{514:1500}	{510236:2}	30
108	110103	52		7			26	icon/attribute/70x70/2.png	50-51-54	[50,51]	攻击+32	{2:3200}	{510237:2}	35
109	110103	53		7			28	icon/attribute/70x70/1.png	51-55	[51,55]	生命+82	{1:8200}	{510238:2}	35
110	110103	54		7			33	icon/attribute/70x70/502.png	52-56	[52,56]	受伤减免+5%	{502:500}	{510239:2}	35
111	110103	55		7			35	icon/attribute/70x70/3.png	53-56	[53,56]	防御+16	{3:1600}	{510240:2}	35
112	110103	56		7			37	icon/attribute/70x70/1.png	54-55	[54,55]	生命+82	{1:8200}	{510239:2}	35
113	110201	1		1	ui/jiejin01.png	ui/tu01.png	14	icon/attribute/70x70/2.png	2		攻击+12	{2:1200}	{510201:1}	10
114	110201	2		1			25	icon/attribute/70x70/1.png	1-3-4	[1]	生命+24	{1:2400}	{510202:1}	10
115	110201	3		1			29	icon/attribute/70x70/2.png	2-5	[2]	攻击+12	{2:1200}	{510203:1}	15
116	110201	4		1			32	icon/attribute/70x70/3.png	2-5	[2]	防御+4	{3:400}	{510204:1}	10
117	110201	5		1			36	icon/attribute/70x70/506.png	3-4-6	[3,4]	闪避率+3%	{506:300}	{510205:1}	10
118	110201	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+4	{3:400}	{510206:1}	10
119	110201	7		2			10	icon/attribute/70x70/2.png	6-8	[6]	攻击+14	{2:1400}	{510207:1}	15
120	110201	8		2			14	icon/attribute/70x70/1.png	6-7-9	[6]	生命+24	{1:2400}	{510208:1}	15
121	110201	9		2			25	icon/attribute/70x70/3.png	8-10-11	[8]	防御+5	{3:500}	{510201:1,510202:1}	10
122	110201	10		2			29	icon/attribute/70x70/11.png	9-11	[9]	移动速度+6	{11:600}	{510203:1,510204:1}	15
123	110201	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+14	{2:1400}	{510205:1,510206:1}	10
124	110201	12		3			3	icon/attribute/70x70/3.png	11-13-14	[11]	防御+5	{3:500}	{510207:1,510208:1}	15
125	110201	13		3			7	icon/attribute/70x70/501.png	12-15	[12]	伤害加成+3%	{501:300}	{510201:1,510202:1,510203:1}	15
126	110201	14		3			14	icon/attribute/70x70/1.png	12-15-16	[12]	生命+30	{1:3000}	{510204:1,510205:1,510206:1}	15
127	110201	15		3			18	icon/attribute/70x70/2.png	13-14	[13,14]	攻击+17	{2:1700}	{510207:2,510208:2}	15
128	110201	16		3			25	icon/attribute/70x70/2.png	14-17-18	[14]	攻击+17	{2:1700}	{510209:2,510210:2}	15
129	110201	17		3			32	icon/attribute/70x70/6.png	16-18	[16]	攻击速度+6	{6:600}	{510211:2,510212:2}	15
130	110201	18		3			36	icon/attribute/70x70/3.png	16-17-19	[16]	防御+7	{3:700}	{510213:1,510214:1,510215:1}	15
131	110201	19		4			3	icon/attribute/70x70/1.png	18-20-21	[18]	生命+30	{1:3000}	{510213:1,510214:1,510215:1}	15
132	110201	20		4			7	icon/attribute/70x70/3.png	19-22	[19]	防御+7	{3:700}	{510207:2,510208:2,510209:2}	15
133	110201	21		4			14	icon/attribute/70x70/2.png	19-22-23	[19]	攻击+20	{2:2000}	{510207:3,510208:3,510209:3}	15
134	110201	22		4			18	icon/attribute/70x70/2.png	20-21-24-25	[20,21]	攻击力+3%	{1002:300}	{510216:1}	15
135	110201	23		4			21	icon/attribute/70x70/11.png	21-24	[21,24]	移动速度+6	{11:600}	{510217:1}	15
136	110201	24		4			25	icon/attribute/70x70/1.png	22-23-26	[22,23]	生命+36	{1:3600}	{510218:1}	20
137	110201	25		4			29	icon/attribute/70x70/2.png	22-26	[22,26]	攻击+20	{2:2000}	{510219:1}	20
138	110201	26		4			36	icon/attribute/70x70/3.png	24-25-27	[24,25]	防御+8	{3:800}	{510220:1}	20
139	110201	27		5			3	icon/attribute/70x70/2.png	26-28-29-32	[26]	攻击+23	{2:2300}	{510221:1}	20
140	110201	28		5			7	icon/attribute/70x70/1.png	27-30	[27]	生命+36	{1:3600}	{510222:1}	20
141	110201	29		5			10	icon/attribute/70x70/3.png	27-31	[27]	防御+8	{3:800}	{510223:1}	20
142	110201	30		5			18	icon/attribute/70x70/2.png	28-32-33	[28,32,33]	攻击力+3%	{1002:300}	{510224:1}	20
143	110201	31		5			21	icon/attribute/70x70/11.png	29-32-34	[29,32,34]	移动速度+6	{11:600}	{510225:1}	20
144	110201	32		5			25	icon/attribute/70x70/1.png	27-30-31-35	[27]	生命+42	{1:4200}	{510226:1}	20
145	110201	33		5			29	icon/attribute/70x70/3.png	30-35	[30,35]	防御+9	{3:900}	{510227:1}	20
146	110201	34		5			32	icon/attribute/70x70/2.png	31-35	[31,35]	攻击+26	{2:2600}	{510228:1}	20
147	110201	35		5			36	icon/attribute/70x70/2.png	32-33-34-36	[32,33,34]	攻击+26	{2:2600}	{510229:1}	20
148	110201	36		6			3	icon/attribute/70x70/1.png	35-37-38	[35]	生命+42	{1:4200}	{510230:1}	20
149	110201	37		6			13	icon/attribute/70x70/2.png	36-39-41	[36]	攻击+29	{2:2900}	{510231:1}	25
150	110201	38		6			15	icon/attribute/70x70/3.png	36-40-42	[36]	防御+10	{3:1000}	{510232:1}	25
151	110201	39		6			17	icon/attribute/70x70/501.png	37-43	[37,43]	伤害加成+3%	{501:300}	{510233:1}	25
152	110201	40		6			22	icon/attribute/70x70/506.png	38-44	[38,44]	闪避率+4%	{506:400}	{510234:1}	25
153	110201	41		6			24	icon/attribute/70x70/3.png	37-43-45	[37,45]	防御+10	{3:1000}	{510235:1}	25
154	110201	42		6			26	icon/attribute/70x70/1.png	38-44-45	[38,45]	生命+48	{1:4800}	{510236:1}	25
155	110201	43		6			28	icon/attribute/70x70/1.png	39-41	[39,41]	生命+54	{1:5400}	{510237:1}	25
156	110201	44		6			33	icon/attribute/70x70/2.png	40-42	[40,42]	攻击+29	{2:2900}	{510238:1}	30
157	110201	45		6			36	icon/attribute/70x70/6.png	41-42-46	[41,42]	攻击速度+9	{6:900}	{510239:1}	30
158	110201	46		7			3	icon/attribute/70x70/3.png	45-47-48-49	[45]	防御+11	{3:1100}	{510240:1}	30
159	110201	47		7			7	icon/attribute/70x70/1.png	46-50	[46]	生命+54	{1:5400}	{510232:2}	30
160	110201	48		7			10	icon/attribute/70x70/1.png	46-51	[46]	生命+60	{1:6000}	{510233:2}	30
161	110201	49		7			14	icon/attribute/70x70/2.png	46-52-53	[46]	攻击+29	{2:2900}	{510234:2}	30
162	110201	50		7			17	icon/attribute/70x70/3.png	47-52-54	[47,52]	防御+11	{3:1100}	{510235:2}	30
163	110201	51		7			22	icon/attribute/70x70/3.png	48-53-55	[48,53]	防御+11	{3:1100}	{510236:2}	30
164	110201	52		7			24	icon/attribute/70x70/2.png	49-50-54-56	[49,50,56]	攻击力+4%	{1002:400}	{510237:2}	35
165	110201	53		7			26	icon/attribute/70x70/501.png	49-51-55-56	[49,51,56]	伤害加成+4%	{501:400}	{510238:2}	35
166	110201	54		7			28	icon/attribute/70x70/1.png	50-52	[50,52]	生命+60	{1:6000}	{510239:2}	35
167	110201	55		7			33	icon/attribute/70x70/1.png	51-53	[51,53]	生命+60	{1:6000}	{510240:2}	35
168	110201	56		7			36	icon/attribute/70x70/506.png	52-53	[52,53]	闪避率+4%	{506:400}	{510239:2}	35
169	110301	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/2.png	2-3		攻击+10	{2:1000}	{510201:1}	10
170	110301	2		1			13	icon/attribute/70x70/1.png	1-4	[1]	生命+21	{1:2100}	{510202:1}	10
171	110301	3		1			15	icon/attribute/70x70/3.png	1-4	[1]	防御+5	{3:500}	{510203:1}	15
172	110301	4		1			25	icon/attribute/70x70/513.png	2-3	[2,3]	增益时间+10%	{513:1000}	{510204:1}	10
173	110301	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+10	{2:1000}	{510205:1}	10
174	110301	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+5	{3:500}	{510206:1}	10
175	110301	7		2			7	icon/attribute/70x70/2.png	6-9	[6]	攻击+12	{2:1200}	{510207:1}	15
176	110301	8		2			10	icon/attribute/70x70/506.png	6-9	[6]	闪避率+3%	{506:300}	{510208:1}	15
177	110301	9		2			14	icon/attribute/70x70/1.png	7-8	[7,8]	生命+21	{1:2100}	{510201:1,510202:1}	10
178	110301	10		2			25	icon/attribute/70x70/2.png	9-11	[9]	攻击+12	{2:1200}	{510203:1,510204:1}	15
179	110301	11		2			36	icon/attribute/70x70/3.png	10-12	[10]	防御+6	{3:600}	{510205:1,510206:1}	10
180	110301	12		3			3	icon/attribute/70x70/3.png	11-13-14-17	[11]	防御+6	{3:600}	{510207:1,510208:1}	15
181	110301	13		3			7	icon/attribute/70x70/1.png	12-15	[12]	生命+26	{1:2600}	{510201:1,510202:1,510203:1}	15
182	110301	14		3			10	icon/attribute/70x70/2.png	12-16	[12]	攻击+15	{2:1500}	{510204:1,510205:1,510206:1}	15
183	110301	15		3			18	icon/attribute/70x70/515.png	13-17	[13,17]	恢复效率+15%	{515:1500}	{510207:2,510208:2}	15
184	110301	16		3			21	icon/attribute/70x70/507.png	14-17	[14,17]	暴击率+4%	{507:400}	{510209:2,510210:2}	15
185	110301	17		3			25	icon/attribute/70x70/2.png	12-15-16-18	[12]	攻击+15	{2:1500}	{510211:2,510212:2}	15
186	110301	18		3			36	icon/attribute/70x70/1.png	17-19	[17,19]	生命+26	{1:2600}	{510213:1,510214:1,510215:1}	15
187	110301	19		4			3	icon/attribute/70x70/3.png	18-20-21	[18]	防御+8	{3:800}	{510213:1,510214:1,510215:1}	15
188	110301	20		4			7	icon/attribute/70x70/2.png	19-22-24	[19]	攻击+17	{2:1700}	{510207:2,510208:2,510209:2}	15
189	110301	21		4			10	icon/attribute/70x70/2.png	19-22-25	[19]	攻击+17	{2:1700}	{510207:3,510208:3,510209:3}	15
190	110301	22		4			14	icon/attribute/70x70/1.png	20-21-23	[20,21]	生命+31	{1:3100}	{510216:1}	15
191	110301	23		4			25	icon/attribute/70x70/3.png	22-24-25	[22,24,25]	防御+8	{3:800}	{510217:1}	15
192	110301	24		4			29	icon/attribute/70x70/1.png	20-23-26	[20,23,26]	生命+5%	{1001:500}	{510218:1}	20
193	110301	25		4			32	icon/attribute/70x70/511.png	21-23-26	[21,23,26]	控制时间+10%	{511:1000}	{510219:1}	20
194	110301	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24,25]	生命+31	{1:3100}	{510220:1}	20
195	110301	27		5			3	icon/attribute/70x70/3.png	26-28-29	[26]	防御+9	{3:900}	{510221:1}	20
196	110301	28		5			7	icon/attribute/70x70/1.png	27-30-33	[27]	生命+36	{1:3600}	{510222:1}	20
197	110301	29		5			10	icon/attribute/70x70/2.png	27-31	[27]	攻击+20	{2:2000}	{510223:1}	20
198	110301	30		5			14	icon/attribute/70x70/513.png	28-31	[28,31]	增益时间+15%	{513:1500}	{510224:1}	20
199	110301	31		5			21	icon/attribute/70x70/1.png	29-30-32-34	[29,30,32,34]	生命+36	{1:3600}	{510225:1}	20
200	110301	32		5			25	icon/attribute/70x70/6.png	31-33	[31,33]	攻击速度+12	{6:1200}	{510226:1}	20
201	110301	33		5			29	icon/attribute/70x70/2.png	28-32-35	[28,32,35]	攻击+22	{2:2200}	{510227:1}	20
202	110301	34		5			32	icon/attribute/70x70/3.png	31-35	[31,35]	防御+9	{3:900}	{510228:1}	20
203	110301	35		5			36	icon/attribute/70x70/3.png	33-34-36	[33,34]	防御+10	{3:1000}	{510229:1}	20
204	110301	36		6			3	icon/attribute/70x70/1.png	35-38-39	[35]	生命+42	{1:4200}	{510230:1}	20
205	110301	37		6			7	icon/attribute/70x70/506.png	39	[39]	闪避率+4%	{506:400}	{510231:1}	25
206	110301	38		6			10	icon/attribute/70x70/2.png	36-41	[36]	攻击+22	{2:2200}	{510232:1}	25
207	110301	39		6			14	icon/attribute/70x70/3.png	36-37-41	[36]	防御+12	{3:1200}	{510233:1}	25
208	110301	40		6			18	icon/attribute/70x70/507.png	42-43	[42]	暴击率+4%	{507:400}	{510234:1}	25
209	110301	41		6			21	icon/attribute/70x70/1.png	38-39-42	[38,39]	生命+47	{1:4700}	{510235:1}	25
210	110301	42		6			25	icon/attribute/70x70/1.png	40-41-44-45	[41]	生命+47	{1:4700}	{510236:1}	25
211	110301	43		6			29	icon/attribute/70x70/2.png	40-45	[40,45]	攻击+25	{2:2500}	{510237:1}	25
212	110301	44		6			32	icon/attribute/70x70/513.png	42	[42]	增益时间+15%	{513:1500}	{510238:1}	30
213	110301	45		6			36	icon/attribute/70x70/3.png	42-43-46	[42]	防御+12	{3:1200}	{510239:1}	30
214	110301	46		7			3	icon/attribute/70x70/2.png	45-47	[45]	攻击+25	{2:2500}	{510240:1}	30
215	110301	47		7			7	icon/attribute/70x70/3.png	46-50	[46]	防御+13	{3:1300}	{510232:2}	30
216	110301	48		7			10	icon/attribute/70x70/1.png	49-51	[49,51]	生命+52	{1:5200}	{510233:2}	30
217	110301	49		7			14	icon/attribute/70x70/1.png	48-50	[50]	生命+52	{1:5200}	{510234:2}	30
218	110301	50		7			18	icon/attribute/70x70/2.png	47-49-52-53	[47]	攻击+25	{2:2500}	{510235:2}	30
219	110301	51		7			21	icon/attribute/70x70/3.png	48-52-54	[48,52]	防御+13	{3:1300}	{510236:2}	30
220	110301	52		7			25	icon/attribute/70x70/503.png	50-51-55-56	[50]	穿透率+5%	{503:500}	{510237:2}	35
221	110301	53		7			28	icon/attribute/70x70/1.png	50-55	[50]	生命+52	{1:5200}	{510238:2}	35
222	110301	54		7			33	icon/attribute/70x70/3.png	51-56	[51,56]	防御+13	{3:1300}	{510239:2}	35
223	110301	55		7			35	icon/attribute/70x70/508.png	52-53	[52,53]	抗暴率+6%	{508:600}	{510240:2}	35
224	110301	56		7			37	icon/attribute/70x70/511.png	52-54	[52,54]	控制时间+15%	{511:1500}	{510239:2}	35
225	110401	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/1.png	2		生命+31	{1:3100}	{510201:1}	10
226	110401	2		1			14	icon/attribute/70x70/2.png	1-3-4	[1]	攻击+14	{2:1400}	{510202:1}	10
227	110401	3		1			21	icon/attribute/70x70/507.png	2-4	[2]	暴击率+3%	{507:300}	{510203:1}	15
228	110401	4		1			25	icon/attribute/70x70/3.png	2-3-5	[2]	防御+6	{3:600}	{510204:1}	10
229	110401	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+14	{2:1400}	{510205:1}	10
