音效ID	动画类型（1角色，2特效）	动画资源	动画ID	动作名字	音效事件	音量	音效资源
97	1	fight_10301	skillD	四糸乃—觉醒	music10	100	sound/battle_sound/10301/skillmusic/10301_skillD_2.mp3
98	2	effects_10301_skillD	effects_10301_skillD_up	四糸乃—觉醒	music1	100	sound/battle_sound/10301/skillmusic/10501_skillD_2.mp3
99	1	fight_10301	skillF	四糸乃—出场	music1	100	sound/battle_sound/10301/skillmusic/10301_chuchang.mp3
100	1	fight_10301	skillB_1	四糸乃—冰刺-语音	music1	80	sound/battle_sound/10301/voice/YOSHINO_42.mp3
100	1	fight_10301	skillB_2	四糸乃—冰刺-语音	music1	80	sound/battle_sound/10301/voice/YOSHINO_42.mp3
100	1	fight_10301	skillB_3	四糸乃—冰刺-语音	music1	80	sound/battle_sound/10301/voice/YOSHINO_42.mp3
101	2	effects_10301_skillB0	effects_10301_skillB0_1	四糸乃—冰刺	music1	100	sound/battle_sound/10301/skillmusic/10301_skillB_1.mp3
102	2	effects_10301_skillB0	effects_10301_skillB0_1	四糸乃—冰刺	music2	100	sound/battle_sound/10301/skillmusic/10301_skillB_3.mp3
103	2	effects_10301_skillB0	effects_10301_skillB0_2	四糸乃—冰刺	music1	100	sound/battle_sound/10301/skillmusic/10301_skillB_1.mp3
104	2	effects_10301_skillB0	effects_10301_skillB0_2	四糸乃—冰刺	music2	100	sound/battle_sound/10301/skillmusic/10301_skillB_1.mp3
105	2	effects_10301_skillB0	effects_10301_skillB0_2	四糸乃—冰刺	music3	100	sound/battle_sound/10301/skillmusic/10301_skillB_2.mp3
106	2	effects_10301_skillB0	effects_10301_skillB0_2	四糸乃—冰刺	music4	100	sound/battle_sound/10301/skillmusic/10301_skillB_3.mp3
107	2	effects_10301_skillB0	effects_10301_skillB0_3	四糸乃—冰刺	music1	100	sound/battle_sound/10301/skillmusic/10301_skillB_1.mp3
108	2	effects_10301_skillB0	effects_10301_skillB0_3	四糸乃—冰刺	music2	100	sound/battle_sound/10301/skillmusic/10301_skillB_1.mp3
109	2	effects_10301_skillB0	effects_10301_skillB0_3	四糸乃—冰刺	music3	100	sound/battle_sound/10301/skillmusic/10301_skillB_2.mp3
110	2	effects_10301_skillB0	effects_10301_skillB0_3	四糸乃—冰刺	music4	100	sound/battle_sound/10301/skillmusic/10301_skillB_3.mp3
111	2	effects_10301_skillB0	effects_10301_skillB0_3	四糸乃—冰刺	music5	100	sound/battle_sound/10301/skillmusic/10301_skillB_1.mp3
112	2	effects_10301_skillB0	effects_10301_skillB0_3	四糸乃—冰刺	music7	100	sound/battle_sound/10301/skillmusic/10301_skillB_2.mp3
113	1	fight_10301	skillB_2	四糸乃—冰刺	music2	100	sound/battle_sound/10301/skillmusic/10301_skillB3.mp3
114	1	fight_10301	skillB_3	四糸乃—冰刺	music2	100	sound/battle_sound/10301/skillmusic/10301_skillB3.mp3
115	1	fight_10301	extra_skillB	四糸乃—极寒冰圈-发出	music1	80	sound/battle_sound/10301/voice/YOSHINO_45.mp3
116	2	effects_10301_extra_skillB0	effects_10301_extra_skillB1	四糸乃—极寒冰圈-环境	music1	100	sound/battle_sound/10301/skillmusic/effects_10301_skillB_1.mp3
117	2	effects_10301_extra_skillB1	effects_10301_extra_skillB1	四糸乃—极寒冰圈-环境	music1	100	sound/battle_sound/10301/skillmusic/effects_10301_skillB_1.mp3
118	2	effects_10301_extra_skillB2	effects_10301_extra_skillB1	四糸乃—极寒冰圈-环境	music1	100	sound/battle_sound/10301/skillmusic/effects_10301_skillB_1.mp3
119	2	effects_10301_extra_skillB3	effects_10301_extra_skillB1	四糸乃—极寒冰圈-环境	music1	100	sound/battle_sound/10301/skillmusic/effects_10301_skillB_1.mp3
120	2	effects_10301_extra_skillB1	effects_10301_extra_skillB1	四糸乃—极寒冰圈-雨	music1	100	sound/battle_sound/10301/skillmusic/effects_10301_skillB_2.mp3
121	2	effects_10301_extra_skillB2	effects_10301_extra_skillB1	四糸乃—极寒冰圈-雨	music1	100	sound/battle_sound/10301/skillmusic/effects_10301_skillB_2.mp3
122	2	effects_10301_extra_skillB3	effects_10301_extra_skillB1	四糸乃—极寒冰圈-冰陨石	music2	100	sound/battle_sound/10301/skillmusic/effects_10301_skillB_4.mp3
123	2	effects_10301_extra_skillB3	effects_10301_extra_skillB2	四糸乃—极寒冰圈-冰陨石	music1-music2-music3-music4-music5-music-music7-music8-music9-music10-music11-music12-music13-music14-music15-music16-music17-music18-music19-music20	100	sound/battle_sound/10301/skillmusic/effects_10301_skillB_4.mp3
124	2	effects_10301_extra_skillB3	effects_10301_extra_skillB3	四糸乃—极寒冰圈-冰陨石	music1	100	sound/battle_sound/10301/skillmusic/effects_10301_skillB_4.mp3
125	1	fight_10401	skillA_1	狂三—普攻1-语音	music2	40	sound/battle_sound/10401/voice/KURUMI_47.mp3
126	1	fight_10401	skillA_2	狂三—普攻2-语音	music2	40	sound/battle_sound/10401/voice/KURUMI_47.mp3
127	1	fight_10401	skillA_3	狂三—普攻3-语音	music2	40	sound/battle_sound/10401/voice/KURUMI_48.mp3
128	1	fight_10401	skillA_4	狂三—普攻4-语音	music2	50	sound/battle_sound/10401/voice/KURUMI_49.mp3
129	1	fight_10401	skillA_1	狂三—普攻1	music2	100	sound/battle_sound/10401/skillmusic/10401_skillA_1.mp3
130	1	fight_10401	skillA_2	狂三—普攻2	music2	100	sound/battle_sound/10401/skillmusic/10401_skillA_2.mp3
131	1	fight_10401	skillA_3	狂三—普攻3	music2	100	sound/battle_sound/10401/skillmusic/10401_skillA_3.mp3
132	1	fight_10401	skillA_4	狂三—普攻4	music2	100	sound/battle_sound/10401/skillmusic/10401_skillA_4.mp3
133	1	fight_10401	skillB_5	狂三—分支-语音	music1	100	sound/battle_sound/10401/voice/KURUMI_49.mp3
134	2	effects_10401_skillB	up	狂三—分支激光	music1	100	sound/battle_sound/10401/skillmusic/10401_skillB_3.mp3
135	2	fight_10401	skillB_1	狂三—分支	music1	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
136	2	fight_10401	skillB_1	狂三—分支	music2	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
137	2	fight_10401	skillB_1	狂三—分支	music4	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
138	2	fight_10401	skillB_1	狂三—分支	music5	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
139	2	fight_10401	skillB_1	狂三—分支	music7	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
140	2	fight_10401	skillB_2	狂三—分支	music1	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
141	2	fight_10401	skillB_2	狂三—分支	music2	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
142	2	fight_10401	skillB_2	狂三—分支	music3	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
143	2	fight_10401	skillB_2	狂三—分支	music4	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
144	2	fight_10401	skillB_2	狂三—分支	music5	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
145	2	fight_10401	skillB_3	狂三—分支	music1	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
146	2	fight_10401	skillB_3	狂三—分支	music2	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
147	2	fight_10401	skillB_3	狂三—分支	music3	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
148	2	fight_10401	skillB_3	狂三—分支	music4	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
149	2	fight_10401	skillB_3	狂三—分支	music5	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
150	2	fight_10401	skillB_4	狂三—分支	music1	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
151	2	fight_10401	skillB_4	狂三—分支	music2	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
152	2	fight_10401	skillB_4	狂三—分支	music3	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
153	2	fight_10401	skillB_4	狂三—分支	music4	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
154	2	fight_10401	skillB_4	狂三—分支	music5	60	sound/battle_sound/10401/skillmusic/10401_skillB_2.mp3
155	1	fight_10401	skillC	狂三-大招-语音	music1	100	sound/battle_sound/10401/voice/KURUMI_50.mp3
156	1	fight_10401	skillC	狂三-大招	music1	100	sound/battle_sound/10401/skillmusic/10401_skillC.mp3
157	1	fight_10401	skillD	狂三-觉醒-语音	music2	100	sound/battle_sound/10401/voice/KURUMI_53.mp3
158	1	fight_10401	skillD	狂三-觉醒	music2	100	sound/battle_sound/10401/skillmusic/10401_skillD_1.mp3
159	1	fight_10401	skillD	狂三-觉醒	music3	100	sound/battle_sound/10401/skillmusic/10401_skillD_2.mp3
160	1	fight_10401	dodge	狂三-闪避	music1	100	sound/battle_sound/10401/skillmusic/10401_dodge.mp3
161	1	fight_10401	dodge2	狂三-闪避分身-语音	music1	100	sound/battle_sound/10401/voice/KURUMI_48.mp3
162	1	fight_10401	dodge2	狂三-闪避分身	music1	100	sound/battle_sound/10401/skillmusic/10401_dodge2.mp3
163	1	fight_10401	skillF	狂三-出场技能	music2	100	sound/battle_sound/10401/skillmusic/10401_skillB.mp3
164	1	fight_10501	skillA_1	琴里-普攻1-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_37_A.mp3
165	1	fight_10501	skillA_2	琴里-普攻2-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_37_A.mp3
166	1	fight_10501	skillA_3	琴里-普攻3-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_37_B.mp3
167	1	fight_10501	skillA_4	琴里-普攻4-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_38_A.mp3
168	1	fight_10501	skillA_5	琴里-普攻5-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_37_C.mp3
169	1	fight_10501	skillA_1	琴里-普攻1	music1	100	sound/battle_sound/10501/skillmusic/10501_skillA_1.mp3
170	1	fight_10501	skillA_2	琴里-普攻2	music1	100	sound/battle_sound/10501/skillmusic/10501_skillA_2.mp3
171	1	fight_10501	skillA_3	琴里-普攻3	music1	100	sound/battle_sound/10501/skillmusic/10501_skillA_3.mp3
172	1	fight_10501	skillA_4	琴里-普攻4	music1	100	sound/battle_sound/10501/skillmusic/10501_skillA_4.mp3
173	1	fight_10501	skillA_5	琴里-普攻5	music1	100	sound/battle_sound/10501/skillmusic/10501_skillA_5.mp3
174	1	fight_10501	skillB	琴里-分支-冲撞-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_39_C.mp3
175	1	fight_10501	skillB	琴里-分支-冲撞	music1	100	sound/battle_sound/10501/skillmusic/10501_skillB.mp3
176	1	fight_10501	skillC_2	琴里-大招-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_40.mp3
177	1	fight_10501	skillC_1	琴里-大招1	music2	100	sound/battle_sound/10501/skillmusic/10501_skillC_1.mp3
178	1	fight_10501	skillC_2	琴里-大招2	music1	100	sound/battle_sound/10501/skillmusic/10501_skillC_2.mp3
179	1	fight_10501	skillC_3	琴里-大招-语音2	music1	100	sound/battle_sound/10501/voice/KOTORI_40_1.mp3
180	1	fight_10501	skillC_3	琴里-大招3	music1	100	sound/battle_sound/10501/skillmusic/10501_skillC_3.mp3
181	1	fight_10501	skillD	琴里-觉醒-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_42.mp3
182	1	fight_10501	skillD	琴里-觉醒	music1	100	sound/battle_sound/10501/skillmusic/10501_skillD_1.mp3
183	1	fight_10501	skillD	琴里-觉醒	music2	100	sound/battle_sound/10501/skillmusic/10501_skillD_2.mp3
184	1	fight_10501	dodge	琴里-闪避	music1	100	sound/battle_sound/10501/skillmusic/10501_dodge.mp3
185	1	fight_10501	dodge_1	琴里-闪避跳斩-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_37_B.mp3
186	1	fight_10501	dodge_1	琴里-闪避跳斩	music1	100	sound/battle_sound/10501/skillmusic/10501_dodge2.mp3
187	1	fight_10501	skillB	琴里-出场-冲撞	music1	100	sound/battle_sound/10501/skillmusic/10501_skillB.mp3
188	1	fight_10501	skillF	琴里-出场-旋风斩	music1	100	sound/battle_sound/10501/skillmusic/10501_chuchang.mp3
189	1	fight_10501	PskillA_1	琴里-炮击1-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_37_A.mp3
190	1	fight_10501	PskillA_2	琴里-炮击2-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_37_B.mp3
191	1	fight_10501	PskillA_3	琴里-炮击3-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_37_C.mp3
192	1	fight_10501	PskillC	琴里-炮击-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_39_B.mp3
193	1	fight_10501	Pdodge_2	琴里-炮后跃-语音	music1	100	sound/battle_sound/10501/voice/KOTORI_37_B.mp3
194	1	fight_10601	skillA_1	崇宫真那-普攻1	music1	100	sound/battle_sound/10601/skillmusic/10601_skillA_1.mp3
195	1	fight_10601	skillA_2	崇宫真那-普攻2	music1	100	sound/battle_sound/10601/skillmusic/10601_skillA_2.mp3
196	1	fight_10601	skillA_3	崇宫真那-普攻3	music1	100	sound/battle_sound/10601/skillmusic/10601_skillA_3.mp3
197	1	fight_10601	skillA_4	崇宫真那-普攻4	music1	100	sound/battle_sound/10601/skillmusic/10601_skillA_4.mp3
198	1	fight_10601	skillA_6	崇宫真那-普攻5	music1	100	sound/battle_sound/10601/skillmusic/10601_skillA_5.mp3
199	1	fight_10601	skillB_1	崇宫真那-分支-挑空穿刺	music1	100	sound/battle_sound/10601/skillmusic/10601_skillB_1.mp3
200	1	fight_10601	skillB_3	崇宫真那-分支-挑空穿刺	music1	100	sound/battle_sound/10601/skillmusic/10601_skillB_2.mp3
201	1	fight_10601	skillC	崇宫真那-大招-语音	music1	100	sound/battle_sound/10601/skillmusic/10601_skillC.mp3
202	1	fight_10601	skillC	崇宫真那-大招	music1	100	sound/battle_sound/10601/skillmusic/10601_skillC.mp3
203	1	fight_10601	skillD	崇宫真那-觉醒-语音	music1	100	sound/battle_sound/10601/skillmusic/10601_skillD_1.mp3
204	1	fight_10601	skillD	崇宫真那-觉醒	music1	100	sound/battle_sound/10601/skillmusic/10601_skillD_1.mp3
205	1	fight_10601	skillD	崇宫真那-觉醒	music2	100	sound/battle_sound/10601/skillmusic/10601_skillD_2.mp3
206	1	fight_10601	dodge	崇宫真那-闪避	music1	100	sound/battle_sound/10601/skillmusic/10601_dodge.mp3
207	1	fight_10601	dodge2	崇宫真那-闪避2	music1	100	sound/battle_sound/10601/skillmusic/10601_dodge2.mp3
208	1	fight_10601	skillF	崇宫真那-出场-挑空穿刺	music1	100	sound/battle_sound/10601/skillmusic/10601_chuchang.mp3
209	1	fight_10603	skillA_1	崇宫真那-普攻1	music1	100	sound/battle_sound/10601/skillmusic/10601_skillA_1.mp3
210	1	fight_10603	skillA_2	崇宫真那-普攻2	music1	100	sound/battle_sound/10601/skillmusic/10601_skillA_2.mp3
211	1	fight_10603	skillA_3	崇宫真那-普攻3	music1	100	sound/battle_sound/10601/skillmusic/10601_skillA_3.mp3
212	1	fight_10603	skillA_4	崇宫真那-普攻4	music1	100	sound/battle_sound/10601/skillmusic/10601_skillA_4.mp3
213	1	fight_10603	skillA_6	崇宫真那-普攻5	music1	100	sound/battle_sound/10601/skillmusic/10601_skillA_5.mp3
214	1	fight_10603	skillB_1	崇宫真那-分支-挑空穿刺	music1	100	sound/battle_sound/10601/skillmusic/10601_skillB_1.mp3
215	1	fight_10603	skillB_3	崇宫真那-分支-挑空穿刺	music1	100	sound/battle_sound/10601/skillmusic/10601_skillB_2.mp3
216	1	fight_10603	skillC	崇宫真那-大招-语音	music1	100	sound/battle_sound/10601/skillmusic/10601_skillC.mp3
217	1	fight_10603	skillC	崇宫真那-大招	music1	100	sound/battle_sound/10601/skillmusic/10601_skillC.mp3
218	1	fight_10603	skillD	崇宫真那-觉醒-语音	music1	100	sound/battle_sound/10601/skillmusic/10601_skillD_1.mp3
