音效ID	角色ID	音效事件	音效事件参数	备注文字(策划看)	播放概率(万分比)	音效CD	音效资源
35	110501	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10501/voice/KOTORI_35.mp3-sound/battle_sound/10501/voice/KOTORI_36_A.mp3-sound/battle_sound/10501/voice/KOTORI_36_B.mp3
36	110601	5	0	战斗胜利	10000	0	sound/battle_sound/10601/voice/MANA_15.mp3
37	110601	7	0	切换角色(登场)	10000	0	sound/battle_sound/10601/voice/MANA_16.mp3
38	110601	6	0	战斗失败	10000	0	sound/battle_sound/10601/voice/MANA_17.mp3
39	110601	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10601/voice/MANA_18.mp3
40	110701	5	0	战斗胜利	10000	0	sound/battle_sound/10701/voice/KAGUYA_14.mp3
41	110701	7	0	切换角色(登场)	10000	0	sound/battle_sound/10701/voice/KAGUYA_15.mp3
42	110701	6	0	战斗失败	10000	0	sound/battle_sound/10701/voice/KAGUYA_16.mp3
43	110701	4	0	击杀敌人	10000	5000	sound/battle_sound/10701/voice/KAGUYA_17_a.mp3-sound/battle_sound/10701/voice/KAGUYA_17_b.mp3-sound/battle_sound/10701/voice/KAGUYA_20.mp3-sound/battle_sound/10701/voice/KAGUYA_23.mp3
44	110701	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10701/voice/KAGUYA_18.mp3
45	110701	3	5000	在战场上待机一段时间	10000	10000	sound/battle_sound/10701/voice/KAGUYA_19.mp3-sound/battle_sound/10701/voice/KAGUYA_25.mp3
46	110801	5	0	战斗胜利	10000	0	sound/battle_sound/10801/voice/YUZURU_12.mp3
47	110801	7	0	切换角色(登场)	10000	0	sound/battle_sound/10801/voice/YUZURU_13.mp3
48	110801	6	0	战斗失败	10000	0	sound/battle_sound/10801/voice/YUZURU_14.mp3
49	110801	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10801/voice/YUZURU_15.mp3
50	110801	4	0	击杀敌人	10000	5000	sound/battle_sound/10801/voice/YUZURU_16.mp3-sound/battle_sound/10801/voice/YUZURU_21.mp3-sound/battle_sound/10801/voice/YUZURU_22.mp3
51	110801	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10801/voice/YUZURU_17.mp3
52	110801	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10801/voice/YUZURU_18.mp3-sound/battle_sound/10801/voice/YUZURU_19.mp3
53	110901	5	0	战斗胜利	10000	0	sound/battle_sound/10901/voice/EREN_14.mp3
54	110901	7	0	切换角色(登场)	10000	0	sound/battle_sound/10901/voice/EREN_15.mp3-sound/battle_sound/10901/voice/EREN_16.mp3
55	110901	6	0	战斗失败	10000	0	sound/battle_sound/10901/voice/EREN_17.mp3
56	110901	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10901/voice/EREN_18.mp3
57	110901	4	0	击杀敌人	10000	5000	sound/battle_sound/10901/voice/EREN_19.mp3
58	110901	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10901/voice/EREN_20_A.mp3-sound/battle_sound/10901/voice/EREN_20_B.mp3
59	110901	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10901/voice/EREN_21.mp3
60	111001	5	0	战斗胜利	10000	0	sound/battle_sound/11001/voice/MIKU_34.mp3-sound/battle_sound/11001/voice/MIKU_35.mp3
61	111001	7	0	切换角色(登场)	10000	0	sound/battle_sound/11001/voice/MIKU_36.mp3-sound/battle_sound/11001/voice/MIKU_37.mp3
62	111001	6	0	战斗失败	10000	0	sound/battle_sound/11001/voice/MIKU_38.mp3
63	111001	1	0	遇到强大敌人	10000	5000	sound/battle_sound/11001/voice/MIKU_39.mp3
64	111001	4	0	击杀敌人	10000	5000	sound/battle_sound/11001/voice/MIKU_40.mp3-sound/battle_sound/11001/voice/MIKU_41.mp3
65	111001	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/11001/voice/MIKU_42.mp3
66	111001	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/11001/voice/MIKU_43.mp3-sound/battle_sound/11001/voice/MIKU_44.mp3
67	111101	5	0	战斗胜利	10000	0	sound/battle_sound/wanyouli/MAYURI_31.mp3-sound/battle_sound/wanyouli/MAYURI_32.mp3
68	111101	7	0	切换角色(登场)	10000	0	sound/battle_sound/wanyouli/MAYURI_33.mp3-sound/battle_sound/wanyouli/MAYURI_34.mp3
69	111101	6	0	战斗失败	10000	0	sound/battle_sound/wanyouli/MAYURI_35.mp3
70	111101	1	0	遇到强大敌人	10000	5000	sound/battle_sound/wanyouli/MAYURI_36.mp3
71	111101	4	0	击杀敌人	10000	5000	sound/battle_sound/wanyouli/MAYURI_37.mp3-sound/battle_sound/wanyouli/MAYURI_38.mp3
72	111101	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/wanyouli/MAYURI_39.mp3
73	111101	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/wanyouli/MAYURI_40.mp3-sound/battle_sound/wanyouli/MAYURI_41.mp3
