	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	奖励指定精灵游戏资源 格式：精灵id-资源id-数量  目前只支持添加好感度，若后期有其他资源奖励，再做调整 
1022008	10022	7	{}		100		 	1	{}				{}					1022009													{}											{}											{}										1.3	15	{"x":170,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1022009	10022	7	{}		100		损毁的路面、沦为废墟的建筑……	1	{}				{}					1022010													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022010	10022	7	{}		100		目光所及之处布满了焦黑的爆炸痕迹，水泥碎块散落得到处都是。	1	{}				{}					1022011													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022011	10022	7	{}		100		眼前的这幅惨况，就是力量与力量相撞之后的场景。	1	{}				{}					1022012													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022012	10022	7	{}		100		即便如此，我还是无法将她……将十香，与他们口中的[冷酷的怪物]联系起来。	1	{}				{}					1022013													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022013	10022	7	{}		100		 	1	{}				{}					1022014													{}											{}											{}							scene/bg/bg_xuexiao.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1022014	10022	7	{}		100		正打算离开学校回家，突然听见有人呼唤我的名字。	1	{}				{}					1022015													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022015	10022	7	{}		100		 	1	{}				{}					1022016				10101	3		id_pose_2		id_look_1			2	{}	1.3										{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1022016	10022	7	{}		100	十香	我来了！等我很久了吗？	1	{}				{}					1022017				1			id_normal_1		0				{}											{}											{}												{}	sound/bgm/date_015.mp3	70	modle/bust/sounds/DP_01_Tohka37.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022017	10022	7	{}		100	1	哇啊啊啊！十、十香……？！	1	{}				{}					1022018				1									{}											{}											{}		0.1-7-9-5-0.024	4									{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022018	10022	7	{}		100		歪着头看向我的少女就站在学校门口，身上的礼服与四周的一切格格不入。	1	{}				{}					1022019				1			id_pose_12		id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022019	10022	7	{}		100		因为空间震警报并没有响起，我还以为眼前的人是幻觉。	1	{}				{}				1	1022020-1022021-1022022	5			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022020	10022	7	{}		100		你、你在这里做什么啊？	1	{}				{}					1022023	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022021	10022	7	{}		100		唔……难道你是昨天的精灵？	1	{}				{}					1022023	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022022	10022	7	{}		100		完全没发觉……你是什么时候出现的？	1	{}				{}					1022023	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022023	10022	7	{}		100		话音刚落，少女便露出不快的表情。	1	{}				{}					1022024				1			id_pose_3		id_look_6				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022024	10022	7	{}		100	十香	真是的，不是你邀请我的么？没错，说要，唔，约会什么的。	1	{}				{}					1022025				1									{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka38.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022025	10022	7	{}		100	1	你还记得啊……	1	{}				{}					1022026				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022026	10022	7	{}		100	十香	什么！难不成，你昨天说的话是耍我的吗？	1	{}				{}					1022027				1			id_favor1_6		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka39.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022027	10022	7	{}		100	1	不！！！当然不是那样……	1	{}				{}					1022028				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022028	10022	7	{}		100	十香	哼~算了。	1	{}				{}					1022029				1									{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka40.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022029	10022	7	{}		100	十香	比起那个，重要的是约会，约会！约会！约会！！！快点快点！	1	{}				{}					1022030				1			id_pose_12		id_look_4				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka41.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022030	10022	7	{}		100	1	喂，喂，十香……先等一下！	1	{}				{}				1	1022032-1022031	5			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022031	10022	7	{}		100		你这身装扮，实在是太引人注目了！	1	{}				{}					1022041	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022032	10022	7	{}		100		昨天……之后你去哪里了？	1	{}				{}					1022033	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022033	10022	7	{}		100	十香	……和往常一样，那些砍不中的刀剑挥向我，射不中的导弹飞向我。	1	{}				{}					1022034				1			id_pose_12		id_look_2				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka42.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022034	10022	7	{}		100	十香	最后因为我的身体自然消失而结束。	1	{}				{}					1022035				1			id_pose_10		id_look_6				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka43.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022035	10022	7	{}		100	1	自然消失？	1	{}				{}					1022036				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022036	10022	7	{}		100	十香	唔呣，就是我的身体移动到世界的另一个地方而已。	1	{}				{}					1022037				1			id_pose_6		id_look_7				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka44.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022037	10022	7	{}		100	1	……有这种事？那又是什么地方啊？	1	{}				{}					1022038				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022038	10022	7	{}		100	十香	啊啊！我不清楚啊？你很啰嗦哎，这个话题已经结束了！	1	{}				{}					1022039				1			id_pose_3		id_look_6				{}											{}											{}		0.1-7-9-5-0.024	4									{}			modle/bust/sounds/DP_01_Tohka45.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022039	10022	7	{}		100	1	那个……十香，果然你的衣服还是太奇怪了。	1	{}				{}					1022040				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022040	10022	7	{}		100	十香	什么？	1	{}				{}					1022041				1			id_pose_10		id_look_7				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka46.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022041	10022	7	{}		100	1	你的装扮太引人注目了……会被AST发现的！	1	{}				{}					1022042				1									{}											{}											{}		0.1-7-9-5-0.024	4									{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022042	10022	7	{}		100	十香	唔呣……那么，要怎么做呢？	1	{}				{}					1022043				1			id_pose_10		id_look_7				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka47.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022043	10022	7	{}		100	1	必须换件衣服，但是……	1	{}				{}					1022044				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022044	10022	7	{}		100	十香	穿什么样的衣服才行，告诉我这个就够了。	1	{}				{}					1022045				1			id_normal_6		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka48.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022045	10022	7	{}		100	1	诶？什么样的啊。	1	{}				{}				1	1022048-1022046-1022047	5			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022046	10022	7	{}		100		其实，穿我身上的校服就可以哦！	1	{}				{}					1022049	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022047	10022	7	{}		100		我们这里，最近流行不穿衣服呢~	1	{}				{}					1022049	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022048	10022	7	{}		100		如果是类似校服的服装，大概就没问题了吧？	1	{}				{}					1022053	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022049	10022	7	{}		100		说着我便开始脱自己的衣服。	1	{}				{}					1022050				1			id_normal_2		0				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022050	10022	7	{}		100	十香	你没骗我吧，敢骗我可饶不了你！	1	{}				{}					1022051				1			id_favor1_6		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka49.mp3	1		sound/dating_sound/FB_eff11.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
1022051	10022	7	{}		100		十香满脸羞愤地瞪向我。	1	{}				{}					1022052				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022052	10022	7	{}		100	1	对、对不起！但是我不是那个意思啊！？	1	{}				{}					1022053				1			id_pose_3		id_look_6				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022053	10022	7	{}		100	1	不过，应该有合适的服装才行……	1	{}				{}					1022054				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022054	10022	7	{}		100	十香	真没办法，那么我自己想办法做出一套衣服吧。	1	{}				{}					1022055				1			id_pose_6		id_look_7				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka50.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022055	10022	7	{}		100		 	1	{}				{}					1022056				1									{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1022056	10022	7	{}		100		 	1	{}				{}					1022057				1									{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1022057	10022	7	{}		100		十香动了动手指，身上的礼服逐渐化成光粒，包裹住她的身体。	1	{}				{}					1022058						3							{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022058	10022	7	{}		100		数秒钟之后，她身上的衣服就变成了普通的校服。	1	{}				{}					1022059				10104	3							2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022059	10022	7	{}		100	1	啊……这……这是怎么回事？	1	{}				{}					1022060				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022060	10022	7	{}		100	十香	解除灵装，构成了新的衣服而已。唔……因为只看过一次，所以细节可能有些不同，不过大概没问题吧。	1	{}				{}					1022061				1			id_normal_6		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka51.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1022061	10022	7	{}		100		 	1	{}				{}				2	1022062						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1022062	10022	7	{}		100		 	1	{}				{}					1022063													{}											{}											{}								1				{}							date_cg_4					1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1022063	10022	7	{}		100	夜刀神十香	我们开始约会吧！	1	{}				{}					1022064													{}											{}											{}												{}	sound/bgm/date_015.mp3	70	modle/bust/sounds/DP_01_Tohka52.mp3														{}	{}					{}	{}		{}					{}	{}	{}	
1022064	10022	7	{}		100		十香的长发随风摆动着，笑容似乎比阳光还要耀眼。	1	{}				{}					1022065													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022065	10022	7	{}		100		我真是……啊啊，完全没有能力抵御这样温暖的笑容啊。	1	{}				{}					1022066													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1022066	10022	7	{}		100	1	……真是，拿你没办法啊……	1	{}				{}					1022067													{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1022067	10022	7	{}		100	夜刀神十香	唔呣，我们现在去哪里呢？	1	{}				{}				1														{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka53.mp3														{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
1023001	10023	7	{}		100		 	1	{}				{}					1023002													{}											{}											{}							scene/bg/bg_meishijie.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1023002	10023	7	{}		100		 	1	{}				{}					1023003				10104	3							2	{}	1.3										{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1023003	10023	7	{}		100	十香	哇哇哇，这里是什么地方！？好漂亮！！	1	{}				{}					1023004				1			id_favor2_6		0				{}											{}											{}												{}	sound/bgm/date_002.mp3	70	modle/bust/sounds/DP_01_Tohka54.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023004	10023	7	{}		100		到达美食街后，十香一贯警戒的表情被好奇与欣喜代替。	1	{}				{}					1023005				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023005	10023	7	{}		100	1	这是美食街，是我们平时吃饭的地方。	1	{}				{}					1023006				1			id_normal_6		0				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023006	10023	7	{}		100	十香	呣？这个香味是什么啊？	1	{}				{}					1023007				1			id_pose_10		id_look_7				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka55.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023007	10023	7	{}		100	1	香味？	1	{}				{}					1023008				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023008	10023	7	{}		100		我闭上眼睛，仔细闻起了闻周围的味道。确实如十香所言，空气中裹挟着难以抗拒的香甜气息。	1	{}				{}					1023009				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023009	10023	7	{}		100	1	啊，大概是那个吧……从那边的面包店传来的……	1	{}				{}					1023010				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023010	10023	7	{}		100	十香	原来如此。	1	{}				{}					1023011				1			id_normal_6		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka56.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023011	10023	7	{}		100		十香简短地说完后，便一直盯着不远处的面包店。	1	{}				{}					1023012				1			id_pose_10		id_look_3				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023012	10023	7	{}		100	1	十香？	1	{}				{}					1023013				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023013	10023	7	{}		100	十香	嗯，什么？	1	{}				{}					1023014				1			id_pose_10		id_look_7				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka57.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023014	10023	7	{}		100	1	要进去么？面包店。	1	{}				{}					1023015				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023015	10023	7	{}		100		十香的眼睛一亮，但随即便摆出一副“真是拿你没办法”的架势。	1	{}				{}					1023016				1			id_favor2_6		0				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023016	10023	7	{}		100	十香	呜……如……如果你想进去的话，那就没办法了呢！	1	{}				{}				1	1023017-1023018-1023019	5			1									{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka58.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023017	10023	7	{}		100		啊啊……我超想进去啊。	1	{}				{}					1023022	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023018	10023	7	{}		100		不如十香陪我进去吧？	1	{}				{}					1023020	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023019	10023	7	{}		100		我无所谓呢，十香要去吗？	1	{}				{}					1023020				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023020	10023	7	{}		100	十香	你……要是想去，我……可以保护你进去哦。	1	{}				{}					1023021				1			id_normal_12		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka59.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023021	10023	7	{}		100	1	这样啊……那就……去吧。	1	{}				{}					1023022				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023022	10023	7	{}		100	十香	是呢！那就没办法了！	1	{}				{}					1023023				1			id_pose_12		id_look_4				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka60.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023023	10023	7	{}		100		 	1	{}				{}					1023024						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1023024	10023	7	{}		100		 	1	{}				{}					1023025													{}											{}											{}							scene/bg/bg_mianbaodian.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1023025	10023	7	{}		100		十香一脚踹开了面包店的门。	1	{}				{}					1023026													{}											{}											{}		0.1-7-9-5-0.024	0									{}						sound/dating_sound/FB_eff10.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
1023026	10023	7	{}		100		 	1	{}				{}					1023027													{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1023027	10023	7	{}		100	1	呜哇！！十香，你温柔一点啊……	1	{}				{}					1023028													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023028	10023	7	{}		100		 	1	{}				{}					1023029													{}											{}											{}							scene/bg/bg_mianbaodian.png	1		1.3	-1	{"x":51,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1023029	10023	7	{}		100	十香	呣啊！这是什么东西啊？香味就是它传出来的。	1	{}				{}					1023030				10104	3		id_pose_10		id_look_7			2	{}	1.3										{}											{}												{}			modle/bust/sounds/DP_01_Tohka61.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023030	10023	7	{}		100		十香好奇地望着透明玻璃罩内刚出炉的面包。	1	{}				{}					1023031				1			id_pose_10		id_look_7				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023031	10023	7	{}		100	1	啊啊，那个啊，是叫做[黄豆粉面包]的普通面包哦。	1	{}				{}					1023032				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023032	10023	7	{}		100		第一次来面包店的十香真可爱……给她买什么好呢？	1	{}				{}				1	1023033-1023034	5			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023033	10023	7	{}		100		给十香买一个面包	1	{}				{}					1023039	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023034	10023	7	{}		100		给十香买生日蛋糕	1	{}				{}					1023035	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023035	10023	7	{}		100	1	那边的生日蛋糕看起来精致多了呢，要吃吗？	1	{}				{}					1023036				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023036	10023	7	{}		100	十香	唔……不要！那个没有香味，颜色很奇怪，会有毒也说不定呢！	1	{}				{}					1023037				1									{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka62.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023037	10023	7	{}		100	1	不会有毒的啦……！那，十香想试试这个黄豆粉面包吗？	1	{}				{}					1023038				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023038	10023	7	{}		100	十香	好呀……咳咳……就它吧。	1	{}				{}					1023039				1			id_pose_12		id_look_4				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka63.mp3	1		sound/dating_sound/FB_eff06.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
1023039	10023	7	{}		100		向店员小姐付过款后，我将黄豆粉面包递给十香。	1	{}				{}					1023040				1									{}											{}											{}												{}						sound/dating_sound/FB_eff08.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
1023040	10023	7	{}		100	十香	呜啊！看起来好棒的样子！这是你们的食物吗？	1	{}				{}					1023041				1			id_pose_11		id_look_3				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka64.mp3	1		sound/dating_sound/FB_eff13.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
1023041	10023	7	{}		100	1	嗯……通常我们会把它当做早餐呢。	1	{}				{}					1023042				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023042	10023	7	{}		100		在吞下一口黄豆粉面包后，十香的眼中迸射出了光芒。	1	{}				{}					1023043				1			id_normal_2		0				{}											{}											{}												{}	sound/bgm/date_002.mp3	70															{}	{}					{}	{}		{}					{}	{}	{}	
1023043	10023	7	{}		100	十香	嚼嚼……太、太美味了！那个粉末到底是什么啊？呜呜……这种强烈的上瘾性……	1	{}				{}					1023044				1			id_pose_12		id_look_4				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka65.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023044	10023	7	{}		100	十香	如果胡乱放任它留在这世界，人类一定会为了争夺黄豆粉面包展开战争的！	1	{}				{}				1	1023045-1023046-1023047	5			1			id_normal_6	1	0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka66.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023045	10023	7	{}		100		不会发生这样的事啦，十香想多了。	1	{}				{}					1023048	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023046	10023	7	{}		100		十香喜欢的话，我可以天天带你来吃哦。	1	{}				{}					1023050	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023047	10023	7	{}		100		黄豆粉面包其实是很常见的东西呢。	1	{}				{}					1023048	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
