音效ID	角色ID	音效事件	音效事件参数	备注文字(策划看)	播放概率(万分比)	音效CD	音效资源
31	110401	6	0	战斗失败	10000	0	sound/battle_sound/10401/voice/KURUMI_40.mp3-sound/battle_sound/10401/voice/KURUMI_75.mp3-sound/battle_sound/10401/voice/KURUMI_80.mp3
32	110401	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10401/voice/KURUMI_41.mp3
33	110401	4	0	击杀敌人	10000	5000	sound/battle_sound/10401/voice/KURUMI_42.mp3-sound/battle_sound/10401/voice/KURUMI_43.mp3-sound/battle_sound/10401/voice/KURUMI_51.mp3-sound/battle_sound/10401/voice/KURUMI_52.mp3
34	110401	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10401/voice/KURUMI_44.mp3
35	110401	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10401/voice/KURUMI_45.mp3-sound/battle_sound/10401/voice/KURUMI_46.mp3-sound/battle_sound/10401/voice/KURUMI_76.mp3
36	110501	5	0	战斗胜利	10000	0	sound/battle_sound/10501/voice/KOTORI_26.mp3-sound/battle_sound/10501/voice/KOTORI_27.mp3
37	110501	7	0	切换角色(登场)	10000	0	sound/battle_sound/10501/voice/KOTORI_28.mp3-sound/battle_sound/10501/voice/KOTORI_29.mp3-sound/battle_sound/10501/voice/KOTORI_68.mp3
38	110501	6	0	战斗失败	10000	0	sound/battle_sound/10501/voice/KOTORI_30.mp3-sound/battle_sound/10501/voice/KOTORI_67.mp3-sound/battle_sound/10501/voice/KOTORI_82.mp3
39	110501	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10501/voice/KOTORI_31.mp3-sound/battle_sound/10501/voice/KOTORI_83.mp3
40	110501	4	0	击杀敌人	10000	5000	sound/battle_sound/10501/voice/KOTORI_32.mp3-sound/battle_sound/10501/voice/KOTORI_33.mp3-sound/battle_sound/10501/voice/KOTORI_43.mp3-sound/battle_sound/10501/voice/KOTORI_41.mp3
41	110501	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10501/voice/KOTORI_34.mp3
42	110501	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10501/voice/KOTORI_35.mp3-sound/battle_sound/10501/voice/KOTORI_36_A.mp3-sound/battle_sound/10501/voice/KOTORI_36_B.mp3-sound/battle_sound/10501/voice/KOTORI_69.mp3
43	110601	5	0	战斗胜利	10000	0	sound/battle_sound/10601/voice/MANA_15.mp3-sound/battle_sound/10601/voice/MANA_87.mp3-sound/battle_sound/10601/voice/MANA_88.mp3
44	110601	7	0	切换角色(登场)	10000	0	sound/battle_sound/10601/voice/MANA_16.mp3-sound/battle_sound/10601/voice/MANA_90.mp3-sound/battle_sound/10601/voice/MANA_91.mp3
45	110601	6	0	战斗失败	10000	0	sound/battle_sound/10601/voice/MANA_17.mp3-sound/battle_sound/10601/voice/MAN_89.mp3-sound/battle_sound/10601/voice/MAN_104.mp3-sound/battle_sound/10601/voice/MAN_108.mp3
46	110601	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10601/voice/MAN_94.mp3-sound/battle_sound/10601/voice/MAN_101.mp3-sound/battle_sound/10601/voice/MAN_102.mp3-sound/battle_sound/10601/voice/MAN_103.mp3
47	110601	4	0	击杀敌人	10000	5000	sound/battle_sound/10601/voice/MAN_95.mp3-sound/battle_sound/10601/voice/MAN_96.mp3
48	110601	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10601/voice/MAN_97.mp3
49	110601	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10601/voice/MANA_18.mp3-sound/battle_sound/10601/voice/MANA_98.mp3-sound/battle_sound/10601/voice/MANA_99.mp3-sound/battle_sound/10601/voice/MANA_100.mp3
50	110701	5	0	战斗胜利	10000	0	sound/battle_sound/10701/voice/KAGUYA_14.mp3-sound/battle_sound/10701/voice/KAGUYA_49.mp3
51	110701	7	0	切换角色(登场)	10000	0	sound/battle_sound/10701/voice/KAGUYA_15.mp3-sound/battle_sound/10701/voice/KAGUYA_51.mp3-sound/battle_sound/10701/voice/KAGUYA_52.mp3-sound/battle_sound/10701/voice/KAGUYA_53.mp3
52	110701	6	0	战斗失败	10000	0	sound/battle_sound/10701/voice/KAGUYA_16.mp3-sound/battle_sound/10701/voice/KAGUYA_50.mp3-sound/battle_sound/10701/voice/KAGUYA_59.mp3
53	110701	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10701/voice/KAGUYA_54.mp3
54	110701	4	0	击杀敌人	10000	5000	sound/battle_sound/10701/voice/KAGUYA_17_a.mp3-sound/battle_sound/10701/voice/KAGUYA_17_b.mp3-sound/battle_sound/10701/voice/KAGUYA_20.mp3-sound/battle_sound/10701/voice/KAGUYA_23.mp3
55	110701	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10701/voice/KAGUYA_18.mp3
56	110701	3	5000	在战场上待机一段时间	10000	10000	sound/battle_sound/10701/voice/KAGUYA_19.mp3-sound/battle_sound/10701/voice/KAGUYA_25.mp3
57	110801	5	0	战斗胜利	10000	0	sound/battle_sound/10801/voice/YUZURU_12.mp3-sound/battle_sound/10801/voice/YUZURU_49.mp3
58	110801	7	0	切换角色(登场)	10000	0	sound/battle_sound/10801/voice/YUZURU_13.mp3-sound/battle_sound/10801/voice/YUZURU_51.mp3-sound/battle_sound/10801/voice/YUZURU_52.mp3-sound/battle_sound/10801/voice/YUZURU_53.mp3
59	110801	6	0	战斗失败	10000	0	sound/battle_sound/10801/voice/YUZURU_14.mp3-sound/battle_sound/10801/voice/YUZURU_50.mp3-sound/battle_sound/10801/voice/YUZURU_59.mp3
60	110801	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10801/voice/YUZURU_15.mp3
61	110801	4	0	击杀敌人	10000	5000	sound/battle_sound/10801/voice/YUZURU_16.mp3-sound/battle_sound/10801/voice/YUZURU_21.mp3-sound/battle_sound/10801/voice/YUZURU_22.mp3-sound/battle_sound/10801/voice/YUZURU_54.mp3
62	110801	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10801/voice/YUZURU_17.mp3
63	110801	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10801/voice/YUZURU_18.mp3-sound/battle_sound/10801/voice/YUZURU_19.mp3-sound/battle_sound/10801/voice/YUZURU_55.mp3
64	110901	5	0	战斗胜利	10000	0	sound/battle_sound/10901/voice/EREN_14.mp3-sound/battle_sound/10901/voice/EREN_49.mp3
65	110901	7	0	切换角色(登场)	10000	0	sound/battle_sound/10901/voice/EREN_15.mp3-sound/battle_sound/10901/voice/EREN_16.mp3-sound/battle_sound/10901/voice/EREN_51.mp3-sound/battle_sound/10901/voice/EREN_52.mp3
66	110901	6	0	战斗失败	10000	0	sound/battle_sound/10901/voice/EREN_17.mp3-sound/battle_sound/10901/voice/EREN_50.mp3-sound/battle_sound/10901/voice/EREN_60.mp3
67	110901	1	0	遇到强大敌人	10000	5000	sound/battle_sound/10901/voice/EREN_18.mp3
68	110901	4	0	击杀敌人	10000	5000	sound/battle_sound/10901/voice/EREN_19.mp3-sound/battle_sound/10901/voice/EREN_53.mp3-sound/battle_sound/10901/voice/EREN_56.mp3
69	110901	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/10901/voice/EREN_20_A.mp3-sound/battle_sound/10901/voice/EREN_20_B.mp3
70	110901	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/10901/voice/EREN_21.mp3-sound/battle_sound/10901/voice/EREN_54.mp3-sound/battle_sound/10901/voice/EREN_55.mp3
71	111001	5	0	战斗胜利	10000	0	sound/battle_sound/11001/voice/MIKU_34.mp3-sound/battle_sound/11001/voice/MIKU_35.mp3
72	111001	7	0	切换角色(登场)	10000	0	sound/battle_sound/11001/voice/MIKU_36.mp3-sound/battle_sound/11001/voice/MIKU_37.mp3-sound/battle_sound/11001/voice/MIKU_71.mp3-sound/battle_sound/11001/voice/MIKU_73.mp3-sound/battle_sound/11001/voice/MIKU_74.mp3
73	111001	6	0	战斗失败	10000	0	sound/battle_sound/11001/voice/MIKU_38.mp3-sound/battle_sound/11001/voice/MIKU_72.mp3-sound/battle_sound/11001/voice/MIKU_79.mp3
74	111001	1	0	遇到强大敌人	10000	5000	sound/battle_sound/11001/voice/MIKU_39.mp3
75	111001	4	0	击杀敌人	10000	5000	sound/battle_sound/11001/voice/MIKU_40.mp3-sound/battle_sound/11001/voice/MIKU_41.mp3
76	111001	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/11001/voice/MIKU_42.mp3
77	111001	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/11001/voice/MIKU_43.mp3-sound/battle_sound/11001/voice/MIKU_44.mp3
78	111101	5	0	战斗胜利	10000	0	sound/battle_sound/wanyouli/MAYURI_31.mp3-sound/battle_sound/wanyouli/MAYURI_32.mp3
79	111101	7	0	切换角色(登场)	10000	0	sound/battle_sound/wanyouli/MAYURI_33.mp3-sound/battle_sound/wanyouli/MAYURI_34.mp3
80	111101	6	0	战斗失败	10000	0	sound/battle_sound/wanyouli/MAYURI_35.mp3
81	111101	1	0	遇到强大敌人	10000	5000	sound/battle_sound/wanyouli/MAYURI_36.mp3
82	111101	4	0	击杀敌人	10000	5000	sound/battle_sound/wanyouli/MAYURI_37.mp3-sound/battle_sound/wanyouli/MAYURI_38.mp3
83	111101	2	2000	单次受到巨大伤害	10000	5000	sound/battle_sound/wanyouli/MAYURI_39.mp3
84	111101	3	5000	在战场上待机一段时间	5000	10000	sound/battle_sound/wanyouli/MAYURI_40.mp3-sound/battle_sound/wanyouli/MAYURI_41.mp3
