id	剧本id	播放顺序	所属关卡（策划用）	使用文本框(31:旁白普通框;11:左普通框;12:左爆炸框;22:右爆炸框)	发言人	语言包文本信息	语言特效ID（预留）	左头像ID	左头像镜像(0:否;1:是)	左是否高亮	左头像动作	右头像ID	右头像镜像(0:否;1:是)	右是否高亮	左头像动作	镜头动作(瞬时)	镜头效果(持续)	自动关闭对话框(毫秒)	音效	背景是否置灰
30	1006	2		11	鸢一折纸	[{"text":"无所谓，只要能够消灭……咳咳……","speed":10}]		10201_g		1		30201_b1	1						BP_01_Tobiichi6	1
31	1006	3		21	日下部燎子	[{"text":"哎，真是死脑筋！","speed":10}]		10201_g				30201_b1	1	1					BP_01_Ryoko6	1
32	1007	1	1-2-2开场1	21	日下部燎子	[{"text":"这个……怪物……折纸！快撤退！折纸！","speed":10}]						30201_b1	1	1					BP_01_Ryoko7	1
33	1007	2		21	日下部燎子	[{"text":"可恶……支援部队呢？掩护折纸！","speed":10}]						30201_b2	1	1					BP_01_Ryoko8	1
34	1007	3	1-2-2过场1	12	十香	[{"text":"不要妨碍我！","speed":10}]		10101_f1		1										1
35	1009	1	1-2-2结束1	11	十香	[{"text":"就是你吧……就是你将吾的友人，吾之挚友杀死的吧。","speed":10}]		10101_f1		1										1
36	1009	2		21	鸢一折纸	[{"text":"……我……和精灵一样……把无辜的人给……","speed":10}]		10101_f1				10201_i	1	1					BP_01_Tobiichi7	1
37	1010	1	1-2-2结束2	11	十香	[{"text":"结束吧。","speed":10}]		10101_f2		1		10201_i	1						BP_01_Tohka7	1
38	1010	2		11	十香	[{"text":"%s，我现在就为你报仇雪恨——","speed":10}]		10101_f2		1		10201_i	1							1
39	1011	1	1-1-7开场动画结束	11	AST分队长	[{"text":"情报称【Princess】已经失去了部分的能力—。","speed":10},{"text":"如果发现目标，立刻开始歼灭作战！","speed":10}]		30201_a2		1										
40	1011	2		22	AST队员	[{"text":"是，长官！","speed":10}]		30201_a2				20101_a1	1	1						
41	1012	1		22	AST分队长	[{"text":"发现目标，各分队按计划开始作战","speed":10}]						30201_a2	1	1						
42	1012	2		11	十香	[{"text":"哼，不自量力！","speed":10}]		10104_b1		1		30201_a2	1							
43	2001	1	2-1-2结束	22	AST队员	[{"text":"目标高度下降，进入城市区域了……好、好快！","speed":10}]						20101_a2	1	1					BP_02_ast1	
44	2001	2		12	日下部燎子	[{"text":"到处跑来跑去的真是烦人！","speed":10}]		30201_b1		1									BP_02_Ryoko1	
45	2001	3		12	日下部燎子	[{"text":"全员，降低高度，追上去！","speed":10}]		30201_b2		1									BP_02_Ryoko2	
46	2002	1	2-1-3开场	21	四糸奈	[{"text":"那些人到底怎么回事啊，又是突然就开始发起攻击了。","speed":10}]						10399_a1	1	1					BP_02_Yoshinon1	
47	2002	2		11	四糸乃	[{"text":"四糸奈也……不知道吗？……","speed":10}]		10301_a1		1		10399_a1	1						BP_02_Yoshino1	
48	2002	3		21	四糸奈	[{"text":"对呀。要不然我们随便抓住一个来问一问吧？","speed":10}]		10301_a1				10399_a2	1	1					BP_02_Yoshinon2	
49	2002	4		11	四糸乃	[{"text":"不……不行……不能做那种事情……","speed":10}]		10301_a1		1		10399_a2	1						BP_02_Yoshino2	
50	2002	5		22	AST队员	[{"text":"发、发现目标！E5区域，坐标……36,140！","speed":10}]		10301_a1				20101_a1	1						BP_02_ast2	
51	2002	6		11	四糸奈	[{"text":"真是缠人啊！","speed":10}]		10399_a2		1									BP_02_Yoshinon3	
52	2003	1	2-1-3结束1	12	四糸奈	[{"text":"啊哈哈，你们捉迷藏好厉害啊！但是四糸乃更厉害哦！嘎哈！","speed":10}]		10399_a2		1									BP_02_Yoshinon4	
53	2004	1	2-1-3结束2	21	AST队员	[{"text":"队长，目标跑到建筑里面了！要追吗？","speed":10}]						20101_a2	1	1					BP_02_ast3	
54	2004	2		11	日下部燎子	[{"text":"等等，在室内作战对我们也很不利。","speed":10}]		30201_a2		1		20101_a2	1						BP_02_Ryoko3	
55	2004	3		12	日下部燎子	[{"text":"全员，保持警戒，守住出口，发现目标立刻通知所有人","speed":10}]		30201_b2		1		20101_a2	1						BP_02_Ryoko4	
56	2004	4		21	AST队员	[{"text":"是！","speed":10}]		30201_b2				20101_a2	1	1					BP_02_ast4	
57	2005	1	2-2-1开场	11	日下部燎子	[{"text":"还没出来吗？今天真是安静地过分啊。"}]		30201_a1		1		20101_a2	1						BP_02_Ryoko5	
58	2005	2		21	鸢一折纸	[{"text":"攻击许可呢？"}]		30201_a1				10201_b1	1	1					BP_02_Tobiichi2	
59	2005	3		11	日下部燎子	[{"text":"上级要求我们继续待命，毕竟只是<Hermit>而已。"}]		30201_a1		1		10201_b1	1						BP_02_Ryoko6	
60	2005	4		11	日下部燎子	[{"text":"威胁等级完全比不上<Princess>。"}]		30201_a1		1		10201_b1	1					3000		
61	2005	5		21	鸢一折纸	[{"text":"<Princess>……"}]		30201_a1				10201_b1	1	1					BP_02_Tobiichi3	
62	2005	6		12	AST队员	[{"text":"出、出现强烈灵波反应！精灵开始行动了！"}]		20101_a2		1									BP_02_ast5	
63	2005	7		12	日下部燎子	[{"text":"全员！发现目标后立即展开攻击！"}]		30201_b2		1		20101_a2	1						BP_02_Ryoko7	
64	2006	1	2-2-1结束	11	日下部燎子	[{"text":"这么横冲直撞的，终于露出本性了吗？"}]		30201_b1		1									BP_02_Ryoko8	
65	2006	2		12	日下部燎子	[{"text":"A队从西北方向包抄，其他人，和我一起追击！"}]		30201_b2		1									BP_02_Ryoko9	
66	2007	1	2-2-2结束1	22	四糸奈	[{"text":"请不要……过来！"}]		30201_b2				10301_i2	1	1					BP_02_Yoshino3	
67	2008	1	2-2-2结束2	12	AST队员	[{"text":"队、队长！<Hermit>的灵波反应消失了！"}]		20101_a2		1		30201_a2	1						BP_02_ast6	
68	2008	2		21	日下部燎子	[{"text":"竟然在这种时候消失……"}]		20101_a2				30201_a2	1	1					BP_02_Ryoko10	
69	2008	3		21	日下部燎子	[{"text":"全员，解除警戒，返回基地咯。"}]		20101_a2				30201_a1	1	1				3000		
70	2009	1	2-2-1B1开场	11	四糸乃	[{"text":"四糸奈……呜……在哪里？","speed":10}]		10301_i3		1									BP_02_Yoshino4	
71	2009	2		11	四糸乃	[{"text":"四糸奈不在的话……我一个人……呜……","speed":10}]		10301_i4		1									BP_02_Yoshino5	
72	2010	1	2-2-1B1结束	12	日下部燎子	[{"text":"什么！？……随意领域被冻住了？开什么玩笑！？"}]		30201_b1		1		20101_a2	1						BP_02_ast7	
73	2010	2		12	日下部燎子	[{"text":"退回来！保持高度！不要靠近！"}]		30201_a2		1		20101_a2	1						BP_02_Ryoko11	
74	2010	3		21	AST队员	[{"text":"目标开始逃离了……队长、怎么办？"}]		30201_a2				20101_a2	1	1					BP_02_Ryoko12	
75	2010	4		11	日下部燎子	[{"text":"咕……追，追上去！"}]		30201_b2		1		20101_a2	1						BP_02_Ryoko13	
76	2011	1	2-2-1B2结束1	12	四糸乃	[{"text":"……不要……不要……请不要弄疼我！"}]		10301_i1		1									BP_02_ast8	
77	2012	1	2-2-1B2结束2	21	日下部燎子	[{"text":"简直就像茧一样。"}]						30201_a2	1	1					BP_02_Yoshino6	
78	2012	2		11	AST队员	[{"text":"一旦有魔力反应就会被冻住"}]		20101_a2		1		30201_a1	1						BP_02_Ryoko14	
79	2012	3		11	AST队员	[{"text":"解除随意领域的话又会被子弹一样的冰雹攻击。"}]		20101_a1		1		30201_a1	1						BP_02_ast9	
80	2012	4		11	AST队员	[{"text":"怎么办？"}]		20101_a2		1		30201_a1	1						BP_02_ast10	
81	2012	5		11	鸢一折纸	[{"text":"我有一个想法……"}]		10201_b1		1		30201_a2	1						BP_02_Tobiichi4	
82	2013	1	2-2-3开场	11	夜刀神十香	[{"text":"在 %s 行动的时候，我必须吸引AST的注意。","speed":10}]		10104_a1		1									BP_02_Tohka1	
83	2014	1	2-2-3结束	11	夜刀神十香	[{"text":"可恶……只有这点力量的话根本就……","speed":10}]		10104_g		1									BP_02_Tohka2	
84	2014	2		12	夜刀神十香	[{"text":"『鏖杀公』！回应我的愿望吧！","speed":10}]		10104_b2		1									BP_02_Tohka3	
85	2015	1	2-2-4开场	21	日下部燎子	[{"text":"A队，用随意领域压制结界！","speed":10}]						30201_a2	1	1					BP_02_Ryoko15	
86	2015	2		21	日下部燎子	[{"text":"B队，在结界外围最近的距离待命！","speed":10}]						30201_b1	1	1					BP_02_Ryoko16	
87	2015	3		22	日下部燎子	[{"text":"一旦结界消失，就全力攻击目标！","speed":10}]						30201_b2	1	1					BP_02_Ryoko17	
88	2015	4		12	AST队员	[{"text":"是！","speed":10}]		20101_a1		1		30201_b2	1						BP_02_ast11	
89	2016	1	2-2-4过场	21	AST队员	[{"text":"发、发现其他精灵的反应！","speed":10}]						20101_a2	1	1					BP_02_ast12	
90	2016	2		21	AST队员	[{"text":"这……这是<Princess>灵波反应！向我们发动攻击了！","speed":10}]						20101_a2	1	1					BP_02_ast13	
91	2016	3		22	日下部燎子	[{"text":"什么！？一次出现两个精灵？从来没有听说过！","speed":10}]						30201_b1	1	1					BP_02_Ryoko18	
92	2016	4		12	夜刀神十香	[{"text":"不会让你们妨碍 %s 的！","speed":10}]		10104_b2		1		30201_b1	1						BP_02_Tohka4	
93	2016	5	2-2-5结束	22	日下部燎子	[{"text":"全员，优先消灭<Princess>！","speed":10}]		10104_b2				30201_b2	1	1					BP_02_Ryoko19	
94	2017	2		12	夜刀神十香	[{"text":"哼哼，正合我意，来吧！","speed":10}]		10101_b2		1		30201_b2	1						BP_02_Tohka5	
																				
																				
98	2018	1	2-1-3结束1	22	四糸乃	[{"text":"呜——！","speed":10}]						10301_i3	1	1						
99	2019	1	2-1-3结束2	21	AST队员	[{"text":"队长，第二分队从指定区域开始包围目标！","speed":10}]						20101_a2	1	1					BP_02_Tohka5	
100	2019	2		11	日下部燎子	[{"text":"哼，她逃不了的。","speed":10}]		30201_a2		1		20101_a2	1						BP_02_Kotori1	
																				
101	2020	1	2-2-2结束1	12	四糸奈	[{"text":"请不要……过来！"}]		10301_i2		1									BP_02_Yoshino3	
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
102	3001	1	3-1-2过场	21	鸢一折纸	[{"text":"你居然还会装作自己是人类，「梦魇」。","speed":10}]						10201_b1	1	1						
103	3001	2		11	时崎狂三	[{"text":"啊啦啊啦，世间真是无奇不有呢。","speed":10}]		10401L_c1		1		10201_b1	1						BP_03_Kurumi1	
104	3001	3		11	时崎狂三	[{"text":"刚转校的第一天，我就被同班同学追杀。","speed":10}]		10401L_c1		1		10201_b1	1						BP_03_Kurumi2	
105	3001	4		11	时崎狂三	[{"text":"我真的那么有魅力吗？","speed":10}]		10401L_c1		1		10201_b1	1							
106	3001	5		22	鸢一折纸	[{"text":"哼！不会再让你接近 %s 了！","speed":10}]		10401L_c1				10201_b1	1	1					BP_03_Tobiichi1	
																				
																				
																				
																				
																				
																				
																				
																				
																				
107	3002	1	3-1-3开场	11	鸢一折纸	[{"text":"咕——！……","speed":10}]		10201_b1		1									BP_03_Tobiichi2	
108	3002	2		21	时崎狂三	[{"text":"你还缺乏锻炼呢，折纸同学，嘻嘻嘻！","speed":10}]		10201_b1				10401L_c1	1	1					BP_03_Kurumi3	
109	3002	3		11	崇宫真那	[{"text":"退下吧，鸢一下士，接下里交给我吧。","speed":10}]		10601_a2		1		10401L_c1	1						BP_03_mana1	
110	3002	4		11	崇宫真那	[{"text":"给我认真看好咯。","speed":10}]		10601_a2		1		10401L_c1	1						BP_03_mana2	
																				
111	3003	1	3-1-3结束	21	时崎狂三	[{"text":"我怎么会……咕啊！……","speed":10}]						10401L_i	1	1					BP_03_Kurumi4	
112	3003	2		11	崇宫真那	[{"text":"又杀死了一次呢，「梦魇」。","speed":10}]		10601_a2		1									BP_03_mana3	
113	3003	3		21	鸢一折纸	[{"text":"又？……什么意思？……","speed":10}]		10601_a2				10201_b1	1	1					BP_03_Tobiichi3	
114	3003	4		11	崇宫真那	[{"text":"最近马上就会出现吧。鸢一下士，不要放松警惕哦。","speed":10}]		10601_a2		1		10201_b1	1						BP_03_mana4	
115	3003	5		21	鸢一折纸	[{"text":"……是。","speed":10}]		10601_a2				10201_b1	1	1					BP_03_Tobiichi4	
																				
116	3004	1	3-2-1开场	11	时崎狂三	[{"text":"折纸同学？这是怎么回事呢？","speed":10}]		10401L_c1		1									BP_03_Kurumi5	
117	3004	2		11	时崎狂三	[{"text":"带着那种看上去很危险的东西。","speed":10}]		10401L_c2		1									BP_03_Kurumi6	
118	3004	3		21	鸢一折纸	[{"text":"你为什么还活着？","speed":10}]		10401L_c2				10201_b1	1	1					BP_03_Tobiichi6	
119	3004	4		11	时崎狂三	[{"text":"咦？","speed":10}]		10401L_c2		1		10201_b1	1						BP_03_Kurumi7	
120	3004	5		21	鸢一折纸	[{"text":"——你昨天已经被杀死了。","speed":10}]		10401L_c2				10201_b1	1	1					BP_03_Tobiichi7	
121	3004	6		11	时崎狂三	[{"text":"啊，啊，原来如此。昨天我和你交过手了吧。","speed":10}]		10401L_c2		1		10201_b1	1						BP_03_Kurumi8	
122	3004	7		11	时崎狂三	[{"text":"在引起我的戒备之前就下手的！","speed":10}]		10401L_c2		1		10201_b1	1						BP_03_Kurumi9	
																				
124	3005	1	3-2-2结束	11	时崎狂三	[{"text":"嘻嘻嘻嘻嘻！虽然我的目的只是 %s 同学","speed":10}]		10401L_c2		1										
125	3005	2		11	时崎狂三	[{"text":"但是折纸，鸢一折纸，你看起来也很棒呢。","speed":10}]		10401L_c2		1										
126	3005	3		11	时崎狂三	[{"text":"好想现在就把你吃掉啊，嘻嘻嘻嘻！","speed":10}]		10401L_c2		1										
127	3005	4		21	鸢一折纸	[{"text":"嘶！……不要……碰我……！","speed":10}]		10401L_c2				10201_f1	1	1						
128	3005	5		11	时崎狂三	[{"text":"但是你的顺序落在 %s 之后哦。","speed":10}]		10401L_c2		1		10201_f1	1							
129	3005	6		11	时崎狂三	[{"text":"请你变得，更加，更加美味吧！嘻嘻嘻嘻！","speed":10}]		10401L_c2		1		10201_f1	1							
																				
130	3006	1	3-3-1B1开场1	11	夜刀神十香	[{"text":"这是……什么……使不上力气……","speed":10}]		10101_b1		1										
131	3006	2		11	夜刀神十香	[{"text":"难道……不行……我必须要去帮助 %s ！","speed":10}]		10101_b1		1										
132	3006	3		11	夜刀神十香	[{"text":"动起来……动起来……哈啊！——","speed":10}]		10101_b1		1										
																				
133	3007	1	3-3-1B1开场2	11	夜刀神十香	[{"text":"这样就行了，接下来——哈！？","speed":10}]		10101_b1		1										
																				
134	3008	1	3-3-1B1开场3	11	夜刀神十香	[{"text":"狂三吗！","speed":10}]		10101_b1		1										
135	3008	2		21	时崎狂三	[{"text":"十香小姐，我不能让你通过这里。","speed":10}]		10101_b1				10401L_c1	1	1						
136	3008	3		11	夜刀神十香	[{"text":"是吗？有本事就试试看吧！","speed":10}]		10101_b1		1										
																				
137	3009	1	3-3-1B1结束	11	夜刀神十香	[{"text":"前面就是狂三所在的地方了吗？","speed":10}]		10101_b1		1										
138	3009	2		11	夜刀神十香	[{"text":"%s ，等着我！","speed":10}]		10101_b1		1										
																				
139	3010	1	3-3-1C1开场	11	鸢一折纸	[{"text":"确认无误，我所处的位置正遭受「梦魇」的攻击。","speed":10}]		10201_b1		1										
140	3010	2		21	日下部燎子	[{"text":"支援会在15分钟内抵达，折纸，不要轻举妄动。","speed":10}]		10201_b1				30201_a1	1	1						
141	3010	3		11	鸢一折纸	[{"text":"是！","speed":10}]		10201_b1		1		30201_a1	1							
																				
142	3011	1	3-3-1C1结束	31	？？？	[{"text":"「否则我就咬舌自尽！」","speed":10}]														
143	3011	2		11	鸢一折纸	[{"text":"这个声音是……难道说！——","speed":10}]		10201_b1		1										
144	3011	3		11	鸢一折纸	[{"text":"这里是折纸，情况十分危急，我上了！","speed":10}]		10201_b1		1										
																				
145	3012	1	3-3-2开场	21	时崎狂三	[{"text":"撒，%s 同学，把你的力量交给我","speed":10}]						10401L_c2	1	1						
146	3012	2		21	时崎狂三	[{"text":"成为我的一部分吧！","speed":10}]						10401L_c2	1	1						
																				
147	3013	1	3-3-2开场2	11	崇宫真那	[{"text":"你竟然在这里大肆作乱呀，「梦魇」。","speed":10}]		10601_a2		1										
148	3013	2		21	时崎狂三	[{"text":"这次来的真迟，我还以为你会缺席如此华丽的结局。","speed":10}]		10601_a2				10401L_c2	1	1						
149	3013	3		11	崇宫真那	[{"text":"那个就放心好了。","speed":10}]		10601_a2		1		10401L_c2	1							
150	3013	4		11	崇宫真那	[{"text":"只要你还能复活，我就会追杀你一辈子。","speed":10}]		10601_a2		1		10401L_c2	1							
151	3013	5		21	时崎狂三	[{"text":"嘻嘻嘻嘻！这次就让我「认真地」领教一下你的本领吧！","speed":10}]		10601_a2				10401L_c2	1	1						
																				
152	3014	1	3-3-3转阶段	21	时崎狂三	[{"text":"真是能干呢，这么轻易地伤到我。","speed":10}]						10401L_b1	1	1						
153	3014	2		21	时崎狂三	[{"text":"但是，你是杀不尽「我」的！","speed":10}]						10401L_c2	1	1						
154	3014	3		21	时崎狂三	[{"text":"来吧，来吧，出来吧！「刻刻帝」！","speed":10}]						10401L_c2	1	1						
																				
155	3015	1	3-3-3结束1	11	崇宫真那	[{"text":"咳……咳……！","speed":10}]		10601_g		1										
156	3015	2		11	夜刀神十香	[{"text":"%s ！","speed":10}]		10101_b1		1										
157	3015	3		11	鸢一折纸	[{"text":"%s ……！","speed":10}]		10201_b1		1										
158	3015	4	（我魔改了一下）原来是【终于到齐了呢。】	21	时崎狂三	[{"text":"是时候让你们看看我真正的本事了。","speed":10}]						10401L_c2	1	1						
																				
159	3016	1	3-3-3结束2	11	夜刀神十香	[{"text":"这是什么……！？","speed":10}]		10101_b1		1										
160	3016	2		21	时崎狂三	[{"text":"真是花了不少时间呢。","speed":10}]		10101_b1				10401L_c2	1	1						
161	3016	3		21	时崎狂三	[{"text":"不过无妨，接下来就从你们身上取回来就好。","speed":10}]		10101_b1				10401L_c2	1	1						
																				
162	3017	1	3-3-4开场	21	时崎狂三	[{"text":"您是哪位啊？可以不要打断故事的高潮吗？","speed":10}]						10401L_c2	1	1						
163	3017	2		11	五河琴里	[{"text":"很抱歉，你做地太过分了，现在开始进入爱的惩罚时间。","speed":10}]		10501_b2		1		10401L_c2	1							
164	3017	3		21	时崎狂三	[{"text":"惩罚，你要惩罚我吗？嘻嘻嘻嘻……","speed":10}]		10501_b2				10401L_c2	1	1						
165	3017	4		21	时崎狂三	[{"text":"你还真是过度自信呢，我的「刻刻帝」会——","speed":10}]		10501_b2				10401L_c2	1	1						
166	3017	5		11	五河琴里	[{"text":"别说废话了，开始我们的「战争」吧！","speed":10}]		10501_c2		1		10401L_c2	1							
																				
167	3018	1	3-3-4过场	21	时崎狂三	[{"text":"你到底是怎么回事……","speed":10}]						10401L_b1	1	1						
168	3018	2		11	五河琴里	[{"text":"哎呀，这就结束了吗？我还以为稍微能有点——……","speed":10}]		10501_c2		1		10401L_b1	1							
169	3018	3		11	五河琴里	[{"text":"哈啊！？……糟糕……力量使用过度了……","speed":10}]		10501_c2		1		10401L_b1	1							
170	3018	4		21	时崎狂三	[{"text":"看来你的好运到此——","speed":10}]						10401L_b1	1	1						
171	3018	5		11	五河琴里	[{"text":"呵……呵呵……呵呵呵呵！","speed":10}]		10501_f2		1										
172	3018	6		11	五河琴里	[{"text":"战争还没有结束，来吧，来继续厮杀吧！狂三！","speed":10}]		10501_f2		1										
																				
173	3019	1	3-3-4结束	11	五河琴里	[{"text":"哈哈哈，哈哈哈哈，哈哈哈哈哈哈！","speed":10}]		10501_f2		1										
174	3019	2		11	五河琴里	[{"text":"狂三……拿起你的枪。","speed":10}]		10501_f2		1										
175	3019	3		11	五河琴里	[{"text":"你所希望的战争，还没有结束。","speed":10}]		10501_f2		1										
176	3019	4		21	时崎狂三	[{"text":"嘶……！","speed":10}]		10501_f2				10401L_b1	1	1						
177	3019	5		11	五河琴里	[{"text":"是嘛……真是无趣啊，如果你已经无法举起你的武器的话……","speed":10}]		10501_f2		1										
178	3019	6		11	五河琴里	[{"text":"就准备受死吧！","speed":10}]		10501_f2		1										
																				
179	4001	1	4-1-4开场		鸢一折纸	[{"text":"DEM送来的新武器就在前面的仓库吗……","speed":10}]														
																				
180	4002	1	4-1-4结束		鸢一折纸	[{"text":"抱歉了，诸位……","speed":10}]														
																				
181	4003	1	4-1-5结束		鸢一折纸	[{"text":"只要有这个，就能杀死精灵了。","speed":10}]														
182	4003	2			鸢一折纸	[{"text":"五河琴里……伊芙利特！","speed":10}]														
																				
183	4004	1	4-3-1结束	11	五河琴里	[{"text":"什么嘛，你的玩具这么经不起折腾吗？","speed":10}]		10501_f2		1										
184	4004	2		11	五河琴里	[{"text":"既然你无法战斗了，就没必要留你一命了。","speed":10}]		10501_f2		1										
185	4004	3		21	鸢一折纸	[{"text":"伊芙……利特！","speed":10}]		10501_f2				10201_b1	1	1						
186	4004	4		11	五河琴里	[{"text":"你竟然知道这个让人厌恶的名字呢……","speed":10}]		10501_f2		1		10201_b1	1							
187	4004	5		21	鸢一折纸	[{"text":"你就是这样……在五年前……把我的父母，杀掉的吗！","speed":10}]		10501_f2				10201_b1	1	1						
188	4004	6		11	五河琴里	[{"text":"你……说什么……？","speed":10}]		10501_g		1		10201_b1	1							
189	4004	7		21	鸢一折纸	[{"text":"我要杀死你……为我的父母报仇！伊芙利特！","speed":10}]		10501_g				10201_b1	1	1						
190	4004	8		11	五河琴里	[{"text":"怎、怎么会……我……？","speed":10}]		10501_i		1		10201_b1	1							
191	4004	9		11	五河琴里	[{"text":"咕啊——……力量在……","speed":10}]		10501_i		1		10201_b1	1							
																				
192	4005	1	4-3-2开场1	21	鸢一折纸	[{"text":"这次不会再失手了……White Lycoris 临界驱动！","speed":10}]						10201_b1	1	1						
193	4005	2		21	鸢一折纸	[{"text":"五河……琴里……。伊芙利特！","speed":10}]						10201_b1	1	1						
																				
194	4006	1	4-3-2开场2	11	夜刀神十香	[{"text":"不会让你得逞的！","speed":10}]		10101_b1		1		10201_b1	1							
195	4006	2		11	四糸乃	[{"text":"请……请住手！","speed":10}]		10301_i2		1		10201_b1	1							
196	4006	3		21	鸢一折纸	[{"text":"夜刀神……十香！","speed":10}]		10301_i2				10201_b1	1	1						
																				
