id	合成物品卡池	稀有合成卡池	所属质点（1.王冠 ……）	质点中文名	质点英文名	英文名icon灰	英文名icon亮	icon灰	icon亮	名称	配方类型（1.低级 2.中级3.高级）	需要材料	合成时间（秒）
17	602	2001	6	1230011	1230012	artFont/equipTypeName/Tiphareth_gray.png	artFont/equipTypeName/Tiphareth.png	icon/equipType/Tiphareth_gray.png	icon/equipType/Tiphareth.png		2	{550002:1,551006:2,551012:2}	7200
18	603	2001	6	1230011	1230012	artFont/equipTypeName/Tiphareth_gray.png	artFont/equipTypeName/Tiphareth.png	icon/equipType/Tiphareth_gray.png	icon/equipType/Tiphareth.png		3	{550003:1,551007:2,551013:2}	10800
19	701	2001	7	1230013	1230014	artFont/equipTypeName/Netzach_gray.png	artFont/equipTypeName/Netzach.png	icon/equipType/Netzach_gray.png	icon/equipType/Netzach.png		1	{550001:1,551005:2,551014:2}	3600
20	702	2001	7	1230013	1230014	artFont/equipTypeName/Netzach_gray.png	artFont/equipTypeName/Netzach.png	icon/equipType/Netzach_gray.png	icon/equipType/Netzach.png		2	{550002:1,551006:2,551015:2}	7200
21	703	2001	7	1230013	1230014	artFont/equipTypeName/Netzach_gray.png	artFont/equipTypeName/Netzach.png	icon/equipType/Netzach_gray.png	icon/equipType/Netzach.png		3	{550003:1,551007:2,551016:2}	10800
22	801	2001	8	1230015	1230016	artFont/equipTypeName/Hod_gray.png	artFont/equipTypeName/Hod.png	icon/equipType/Hod_gray.png	icon/equipType/Hod.png		1	{550001:1,551008:2,551011:2}	3600
23	802	2001	8	1230015	1230016	artFont/equipTypeName/Hod_gray.png	artFont/equipTypeName/Hod.png	icon/equipType/Hod_gray.png	icon/equipType/Hod.png		2	{550002:1,551009:2,551012:2}	7200
24	803	2001	8	1230015	1230016	artFont/equipTypeName/Hod_gray.png	artFont/equipTypeName/Hod.png	icon/equipType/Hod_gray.png	icon/equipType/Hod.png		3	{550003:1,551010:2,551013:2}	10800
25	901	2001	9	1230017	1230018	artFont/equipTypeName/Yesod_gray.png	artFont/equipTypeName/Yesod.png	icon/equipType/Yesod_gray.png	icon/equipType/Yesod.png		1	{550001:1,551008:2,551014:2}	3600
26	902	2001	9	1230017	1230018	artFont/equipTypeName/Yesod_gray.png	artFont/equipTypeName/Yesod.png	icon/equipType/Yesod_gray.png	icon/equipType/Yesod.png		2	{550002:1,551009:2,551015:2}	7200
27	903	2001	9	1230017	1230018	artFont/equipTypeName/Yesod_gray.png	artFont/equipTypeName/Yesod.png	icon/equipType/Yesod_gray.png	icon/equipType/Yesod.png		3	{550003:1,551010:2,551016:2}	10800
28	1001	2001	10	1230019	1230020	artFont/equipTypeName/Malkuth_gray.png	artFont/equipTypeName/Malkuth.png	icon/equipType/Malkuth_gray.png	icon/equipType/Malkuth.png		1	{550001:1,551011:2,551014:2}	3600
29	1002	2001	10	1230019	1230020	artFont/equipTypeName/Malkuth_gray.png	artFont/equipTypeName/Malkuth.png	icon/equipType/Malkuth_gray.png	icon/equipType/Malkuth.png		2	{550002:1,551012:2,551015:2}	7200
30	1003	2001	10	1230019	1230020	artFont/equipTypeName/Malkuth_gray.png	artFont/equipTypeName/Malkuth.png	icon/equipType/Malkuth_gray.png	icon/equipType/Malkuth.png		3	{550003:1,551013:2,551016:2}	10800
