效果ID	描述（策划看）	表名(1skill,2skillAction,3skillEffect,4skillHurt)	字段名	数据ID	改变方式（1加减，2替换,3乘除）	参数类型	参数1(字符串)	参数2(字符串数组)	参数3(布尔值)	参数4(数值)	参数5(数值数组)	帧事件触发（skillAction表中动作连招字段）
1011064	十香-普攻-目标免伤率1级-4段	4	targetValue502	1004	1	4				500		
1011065	十香-普攻-目标免伤率1级-5段	4	targetValue502	1005	1	4				500		
1011066	十香-普攻-目标免伤率2级-1段	4	targetValue502	1001	1	4				1000		
1011067	十香-普攻-目标免伤率2级-2段	4	targetValue502	1002	1	4				1000		
1011068	十香-普攻-目标免伤率2级-3段	4	targetValue502	1003	1	4				1000		
1011069	十香-普攻-目标免伤率2级-4段	4	targetValue502	1004	1	4				1000		
1011070	十香-普攻-目标免伤率2级-5段	4	targetValue502	1005	1	4				1000		
1011071	十香-普攻-目标免伤率3级-1段	4	targetValue502	1001	1	4				1500		
1011072	十香-普攻-目标免伤率3级-2段	4	targetValue502	1002	1	4				1500		
1011073	十香-普攻-目标免伤率3级-3段	4	targetValue502	1003	1	4				1500		
1011074	十香-普攻-目标免伤率3级-4段	4	targetValue502	1004	1	4				1500		
1011075	十香-普攻-目标免伤率3级-5段	4	targetValue502	1005	1	4				1500		
1011801	十香-普攻1级	2	frameEvents	103	2	6						next1_down_104
1011802	十香-普攻2级	2	frameEvents	104	2	6						next1_down_105
1011803	十香-普攻3级1	2	includeEffect	101	2	5					10051	
1011804	十香-普攻3级2	2	includeEffect	102	2	5					10052	
1011805	十香-普攻3级3	2	includeEffect	103	2	5					10053	
1011806	十香-普攻3级4	2	includeEffect	104	2	5					10054	
1011807	十香-普攻3级5	2	includeEffect	105	2	5					10055	
1012001	十香-技能1-CDR-1级	1	cd	100180	1	4				-500		
1012002	十香-技能1-CDR-2级	1	cd	100180	1	4				-1000		
1012003	十香-技能1-CDR-3级	1	cd	100180	1	4				-1500		
1012004	十香-技能1-精英伤-1级	4	hurtValue655	3101	1	4				500		
1012005	十香-技能1-精英伤-1级	4	hurtValue655	3102	1	4				500		
1012006	十香-技能1-精英伤-1级	4	hurtValue655	3103	1	4				500		
1012007	十香-技能1-精英伤-1级	4	hurtValue655	3104	1	4				500		
1012008	十香-技能1-精英伤-1级	4	hurtValue655	3105	1	4				500		
1012009	十香-技能1-精英伤-1级	4	hurtValue655	3106	1	4				500		
1012010	十香-技能1-精英伤-1级	4	hurtValue655	3107	1	4				500		
1012011	十香-技能1-精英伤-1级	4	hurtValue655	3108	1	4				500		
1012012	十香-技能1-精英伤-2级	4	hurtValue655	3101	1	4				800		
1012013	十香-技能1-精英伤-2级	4	hurtValue655	3102	1	4				800		
1012014	十香-技能1-精英伤-2级	4	hurtValue655	3103	1	4				800		
1012015	十香-技能1-精英伤-2级	4	hurtValue655	3104	1	4				800		
1012016	十香-技能1-精英伤-2级	4	hurtValue655	3105	1	4				800		
1012017	十香-技能1-精英伤-2级	4	hurtValue655	3106	1	4				800		
1012018	十香-技能1-精英伤-2级	4	hurtValue655	3107	1	4				800		
1012019	十香-技能1-精英伤-2级	4	hurtValue655	3108	1	4				800		
1012020	十香-技能1-精英伤-3级	4	hurtValue655	3101	1	4				1200		
1012021	十香-技能1-精英伤-3级	4	hurtValue655	3102	1	4				1200		
1012022	十香-技能1-精英伤-3级	4	hurtValue655	3103	1	4				1200		
1012023	十香-技能1-精英伤-3级	4	hurtValue655	3104	1	4				1200		
1012024	十香-技能1-精英伤-3级	4	hurtValue655	3105	1	4				1200		
1012025	十香-技能1-精英伤-3级	4	hurtValue655	3106	1	4				1200		
1012026	十香-技能1-精英伤-3级	4	hurtValue655	3107	1	4				1200		
1012027	十香-技能1-精英伤-3级	4	hurtValue655	3108	1	4				1200		
1012028	十香-技能1-精英伤-4级	4	hurtValue655	3101	1	4				1500		
1012029	十香-技能1-精英伤-4级	4	hurtValue655	3102	1	4				1500		
1012030	十香-技能1-精英伤-4级	4	hurtValue655	3103	1	4				1500		
1012031	十香-技能1-精英伤-4级	4	hurtValue655	3104	1	4				1500		
1012032	十香-技能1-精英伤-4级	4	hurtValue655	3105	1	4				1500		
1012033	十香-技能1-精英伤-4级	4	hurtValue655	3106	1	4				1500		
1012034	十香-技能1-精英伤-4级	4	hurtValue655	3107	1	4				1500		
1012035	十香-技能1-精英伤-4级	4	hurtValue655	3108	1	4				1500		
1012036	十香-技能1-穿透率-1级	4	hurtValue503	3101	1	4				300		
1012037	十香-技能1-穿透率-1级	4	hurtValue503	3102	1	4				300		
1012038	十香-技能1-穿透率-1级	4	hurtValue503	3103	1	4				300		
1012039	十香-技能1-穿透率-1级	4	hurtValue503	3104	1	4				300		
1012040	十香-技能1-穿透率-1级	4	hurtValue503	3105	1	4				300		
1012041	十香-技能1-穿透率-1级	4	hurtValue503	3106	1	4				300		
1012042	十香-技能1-穿透率-1级	4	hurtValue503	3107	1	4				300		
1012043	十香-技能1-穿透率-1级	4	hurtValue503	3108	1	4				300		
1012044	十香-技能1-穿透率-2级	4	hurtValue503	3101	1	4				600		
1012045	十香-技能1-穿透率-2级	4	hurtValue503	3102	1	4				600		
1012046	十香-技能1-穿透率-2级	4	hurtValue503	3103	1	4				600		
1012047	十香-技能1-穿透率-2级	4	hurtValue503	3104	1	4				600		
1012048	十香-技能1-穿透率-2级	4	hurtValue503	3105	1	4				600		
1012049	十香-技能1-穿透率-2级	4	hurtValue503	3106	1	4				600		
1012050	十香-技能1-穿透率-2级	4	hurtValue503	3107	1	4				600		
1012051	十香-技能1-穿透率-2级	4	hurtValue503	3108	1	4				600		
1012052	十香-技能1-穿透率-3级	4	hurtValue503	3101	1	4				900		
1012053	十香-技能1-穿透率-3级	4	hurtValue503	3102	1	4				900		
1012054	十香-技能1-穿透率-3级	4	hurtValue503	3103	1	4				900		
1012055	十香-技能1-穿透率-3级	4	hurtValue503	3104	1	4				900		
1012056	十香-技能1-穿透率-3级	4	hurtValue503	3105	1	4				900		
1012057	十香-技能1-穿透率-3级	4	hurtValue503	3106	1	4				900		
1012058	十香-技能1-穿透率-3级	4	hurtValue503	3107	1	4				900		
1012059	十香-技能1-穿透率-3级	4	hurtValue503	3108	1	4				900		
1012060	十香-技能1-穿透率-4级	4	hurtValue503	3101	1	4				1200		
1012061	十香-技能1-穿透率-4级	4	hurtValue503	3102	1	4				1200		
1012062	十香-技能1-穿透率-4级	4	hurtValue503	3103	1	4				1200		
1012063	十香-技能1-穿透率-4级	4	hurtValue503	3104	1	4				1200		
1012064	十香-技能1-穿透率-4级	4	hurtValue503	3105	1	4				1200		
1012065	十香-技能1-穿透率-4级	4	hurtValue503	3106	1	4				1200		
1012066	十香-技能1-穿透率-4级	4	hurtValue503	3107	1	4				1200		
1012067	十香-技能1-穿透率-4级	4	hurtValue503	3108	1	4				1200		
1012068	十香-技能1攻速1级	2	actionSpeed	601	1	4				500		
1012069	十香-技能1攻速1级	2	actionSpeed	602	1	4				500		
1012070	十香-技能1攻速1级	2	actionSpeed	603	1	4				500		
1012071	十香-技能1攻速1级	2	actionSpeed	701	1	4				500		
1012072	十香-技能1攻速1级	2	actionSpeed	702	1	4				500		
1012073	十香-技能1攻速1级	2	actionSpeed	703	1	4				500		
1012074	十香-技能1攻速1级	2	actionSpeed	704	1	4				500		
1012075	十香-技能1攻速1级	2	actionSpeed	705	1	4				500		
1012076	十香-技能1攻速2级	2	actionSpeed	601	1	4				1000		
1012077	十香-技能1攻速2级	2	actionSpeed	602	1	4				1000		
1012078	十香-技能1攻速2级	2	actionSpeed	603	1	4				1000		
1012079	十香-技能1攻速2级	2	actionSpeed	701	1	4				1000		
1012080	十香-技能1攻速2级	2	actionSpeed	702	1	4				1000		
1012081	十香-技能1攻速2级	2	actionSpeed	703	1	4				1000		
1012082	十香-技能1攻速2级	2	actionSpeed	704	1	4				1000		
1012083	十香-技能1攻速2级	2	actionSpeed	705	1	4				1000		
1012084	十香-技能1攻速3级	2	actionSpeed	601	1	4				1500		
1012085	十香-技能1攻速3级	2	actionSpeed	602	1	4				1500		
1012086	十香-技能1攻速3级	2	actionSpeed	603	1	4				1500		
1012087	十香-技能1攻速3级	2	actionSpeed	701	1	4				1500		
1012088	十香-技能1攻速3级	2	actionSpeed	702	1	4				1500		
1012089	十香-技能1攻速3级	2	actionSpeed	703	1	4				1500		
1012090	十香-技能1攻速3级	2	actionSpeed	704	1	4				1500		
1012091	十香-技能1攻速3级	2	actionSpeed	705	1	4				1500		
1012092	十香-技能1攻速4级	2	actionSpeed	601	1	4				2000		
1012093	十香-技能1攻速4级	2	actionSpeed	602	1	4				2000		
1012094	十香-技能1攻速4级	2	actionSpeed	603	1	4				2000		
1012095	十香-技能1攻速4级	2	actionSpeed	701	1	4				2000		
1012096	十香-技能1攻速4级	2	actionSpeed	702	1	4				2000		
1012097	十香-技能1攻速4级	2	actionSpeed	703	1	4				2000		
1012098	十香-技能1攻速4级	2	actionSpeed	704	1	4				2000		
1012099	十香-技能1攻速4级	2	actionSpeed	705	1	4				2000		
1012100	十香-技能1-暴击率-1级	4	hurtValue507	3101	1	4				200		
1012101	十香-技能1-暴击率-1级	4	hurtValue507	3102	1	4				200		
1012102	十香-技能1-暴击率-1级	4	hurtValue507	3103	1	4				200		
1012103	十香-技能1-暴击率-1级	4	hurtValue507	3104	1	4				200		
1012104	十香-技能1-暴击率-1级	4	hurtValue507	3105	1	4				200		
1012105	十香-技能1-暴击率-1级	4	hurtValue507	3106	1	4				200		
1012106	十香-技能1-暴击率-1级	4	hurtValue507	3107	1	4				200		
1012107	十香-技能1-暴击率-1级	4	hurtValue507	3108	1	4				200		
1012108	十香-技能1-暴击率-2级	4	hurtValue507	3101	1	4				400		
1012109	十香-技能1-暴击率-2级	4	hurtValue507	3102	1	4				400		
1012110	十香-技能1-暴击率-2级	4	hurtValue507	3103	1	4				400		
1012111	十香-技能1-暴击率-2级	4	hurtValue507	3104	1	4				400		
1012112	十香-技能1-暴击率-2级	4	hurtValue507	3105	1	4				400		
1012113	十香-技能1-暴击率-2级	4	hurtValue507	3106	1	4				400		
1012114	十香-技能1-暴击率-2级	4	hurtValue507	3107	1	4				400		
1012115	十香-技能1-暴击率-2级	4	hurtValue507	3108	1	4				400		
1012116	十香-技能1-暴击率-3级	4	hurtValue507	3101	1	4				600		
1012117	十香-技能1-暴击率-3级	4	hurtValue507	3102	1	4				600		
1012118	十香-技能1-暴击率-3级	4	hurtValue507	3103	1	4				600		
1012119	十香-技能1-暴击率-3级	4	hurtValue507	3104	1	4				600		
1012120	十香-技能1-暴击率-3级	4	hurtValue507	3105	1	4				600		
1012121	十香-技能1-暴击率-3级	4	hurtValue507	3106	1	4				600		
1012122	十香-技能1-暴击率-3级	4	hurtValue507	3107	1	4				600		
1012123	十香-技能1-暴击率-3级	4	hurtValue507	3108	1	4				600		
1012800	十香-技能1-蓄力推开1级	2	includeEffect	601	2	5					10500-10503	
1012801	十香-技能1-蓄力推开1级	2	includeEffect	602	2	5					10501-10503	
1012802	十香-技能1-蓄力推开1级	2	includeEffect	603	2	5					10502-10503	
1012803	十香-技能1-蓄力2级	2	connectAction	602	2	4				603		
1012804	十香-技能1-蓄力3级	1	gatherPower	100180	2	5					601-602-603	
1012805	十香-技能1-蓄力3级	2	connectAction	603	2	4				705		
1013001	十香-技能2-CDR-1级	1	cd	100190	1	4				-500		
1013002	十香-技能2-CDR-2级	1	cd	100190	1	4				-1000		
1013003	十香-技能2-CDR-3级	1	cd	100190	1	4				-1500		
1013004	十香-技能2-命中率-1级	4	hurtValue505	3201	1	4				1000		
1013005	十香-技能2-命中率-1级	4	hurtValue505	3202	1	4				1000		
1013006	十香-技能2-命中率-1级	4	hurtValue505	3203	1	4				1000		
1013007	十香-技能2-命中率-1级	4	hurtValue505	3204	1	4				1000		
1013008	十香-技能2-命中率-1级	4	hurtValue505	3205	1	4				1000		
1013009	十香-技能2-命中率-1级	4	hurtValue505	3206	1	4				1000		
1013010	十香-技能2-命中率-2级	4	hurtValue505	3201	1	4				2000		
1013011	十香-技能2-命中率-2级	4	hurtValue505	3202	1	4				2000		
1013012	十香-技能2-命中率-2级	4	hurtValue505	3203	1	4				2000		
1013013	十香-技能2-命中率-2级	4	hurtValue505	3204	1	4				2000		
1013014	十香-技能2-命中率-2级	4	hurtValue505	3205	1	4				2000		
1013015	十香-技能2-命中率-2级	4	hurtValue505	3206	1	4				2000		
1013016	十香-技能2-命中率-3级	4	hurtValue505	3201	1	4				3000		
1013017	十香-技能2-命中率-3级	4	hurtValue505	3202	1	4				3000		
1013018	十香-技能2-命中率-3级	4	hurtValue505	3203	1	4				3000		
1013019	十香-技能2-命中率-3级	4	hurtValue505	3204	1	4				3000		
1013020	十香-技能2-命中率-3级	4	hurtValue505	3205	1	4				3000		
1013021	十香-技能2-命中率-3级	4	hurtValue505	3206	1	4				3000		
1013022	十香-技能2-技能伤-1级	4	hurtScale	3201	1	4				0.06		
1013023	十香-技能2-技能伤-1级	4	hurtScale	3202	1	4				0.06		
1013024	十香-技能2-技能伤-1级	4	hurtScale	3203	1	4				0.06		
1013025	十香-技能2-技能伤-1级	4	hurtScale	3204	1	4				0.06		
1013026	十香-技能2-技能伤-1级	4	hurtScale	3205	1	4				0.06		
1013027	十香-技能2-技能伤-1级	4	hurtScale	3206	1	4				0.06		
1013028	十香-技能2-技能伤-2级	4	hurtScale	3201	1	4				0.09		
1013029	十香-技能2-技能伤-2级	4	hurtScale	3202	1	4				0.09		
1013030	十香-技能2-技能伤-2级	4	hurtScale	3203	1	4				0.09		
1013031	十香-技能2-技能伤-2级	4	hurtScale	3204	1	4				0.09		
1013032	十香-技能2-技能伤-2级	4	hurtScale	3205	1	4				0.09		
1013033	十香-技能2-技能伤-2级	4	hurtScale	3206	1	4				0.09		
1013034	十香-技能2-技能伤-3级	4	hurtScale	3201	1	4				0.12		
1013035	十香-技能2-技能伤-3级	4	hurtScale	3202	1	4				0.12		
1013036	十香-技能2-技能伤-3级	4	hurtScale	3203	1	4				0.12		
1013037	十香-技能2-技能伤-3级	4	hurtScale	3204	1	4				0.12		
1013038	十香-技能2-技能伤-3级	4	hurtScale	3205	1	4				0.12		
1013039	十香-技能2-技能伤-3级	4	hurtScale	3206	1	4				0.12		
1013040	十香-技能2-技能伤-4级	4	hurtScale	3201	1	4				0.15		
1013041	十香-技能2-技能伤-4级	4	hurtScale	3202	1	4				0.15		
1013042	十香-技能2-技能伤-4级	4	hurtScale	3203	1	4				0.15		
1013043	十香-技能2-技能伤-4级	4	hurtScale	3204	1	4				0.15		
1013044	十香-技能2-技能伤-4级	4	hurtScale	3205	1	4				0.15		
1013045	十香-技能2-技能伤-4级	4	hurtScale	3206	1	4				0.15		
1013046	十香-技能2-精英伤-1级	4	hurtValue655	3201	1	4				500		
1013047	十香-技能2-精英伤-1级	4	hurtValue655	3202	1	4				500		
1013048	十香-技能2-精英伤-1级	4	hurtValue655	3203	1	4				500		
1013049	十香-技能2-精英伤-1级	4	hurtValue655	3204	1	4				500		
1013050	十香-技能2-精英伤-1级	4	hurtValue655	3205	1	4				500		
1013051	十香-技能2-精英伤-1级	4	hurtValue655	3206	1	4				500		
1013052	十香-技能2-精英伤-2级	4	hurtValue655	3201	1	4				1000		
1013053	十香-技能2-精英伤-2级	4	hurtValue655	3202	1	4				1000		
1013054	十香-技能2-精英伤-2级	4	hurtValue655	3203	1	4				1000		
1013055	十香-技能2-精英伤-2级	4	hurtValue655	3204	1	4				1000		
1013056	十香-技能2-精英伤-2级	4	hurtValue655	3205	1	4				1000		
1013057	十香-技能2-精英伤-2级	4	hurtValue655	3206	1	4				1000		
1013058	十香-技能2-精英伤-3级	4	hurtValue655	3201	1	4				1500		
1013059	十香-技能2-精英伤-3级	4	hurtValue655	3202	1	4				1500		
1013060	十香-技能2-精英伤-3级	4	hurtValue655	3203	1	4				1500		
1013061	十香-技能2-精英伤-3级	4	hurtValue655	3204	1	4				1500		
1013062	十香-技能2-精英伤-3级	4	hurtValue655	3205	1	4				1500		
1013063	十香-技能2-精英伤-3级	4	hurtValue655	3206	1	4				1500		
1013064	十香-技能2-精英伤-4级	4	hurtValue655	3201	1	4				2000		
1013065	十香-技能2-精英伤-4级	4	hurtValue655	3202	1	4				2000		
1013066	十香-技能2-精英伤-4级	4	hurtValue655	3203	1	4				2000		
1013067	十香-技能2-精英伤-4级	4	hurtValue655	3204	1	4				2000		
1013068	十香-技能2-精英伤-4级	4	hurtValue655	3205	1	4				2000		
1013069	十香-技能2-精英伤-4级	4	hurtValue655	3206	1	4				2000		
1013800	十香-技能2-连斩1级	1	first	100190	2	4				1002		
1013801	十香-技能2-连斩2级	1	first	100190	2	4				1004		
1013802	十香-技能2-连斩3级	1	first	100190	2	4				1007		
1014001	十香-必杀-技能伤-1级	4	hurtScale	1101	1	4				0.1		
1014002	十香-必杀-技能伤-1级	4	hurtScale	1102	1	4				0.1		
1014003	十香-必杀-技能伤-1级	4	hurtScale	1103	1	4				0.1		
1014004	十香-必杀-技能伤-1级	4	hurtScale	1104	1	4				0.1		
1014005	十香-必杀-技能伤-1级	4	hurtScale	1105	1	4				0.1		
1014006	十香-必杀-技能伤-2级	4	hurtScale	1101	1	4				0.15		
1014007	十香-必杀-技能伤-2级	4	hurtScale	1102	1	4				0.15		
1014008	十香-必杀-技能伤-2级	4	hurtScale	1103	1	4				0.15		
1014009	十香-必杀-技能伤-2级	4	hurtScale	1104	1	4				0.15		
1014010	十香-必杀-技能伤-2级	4	hurtScale	1105	1	4				0.15		
1014011	十香-必杀-技能伤-3级	4	hurtScale	1101	1	4				0.2		
1014012	十香-必杀-技能伤-3级	4	hurtScale	1102	1	4				0.2		
1014013	十香-必杀-技能伤-3级	4	hurtScale	1103	1	4				0.2		
1014014	十香-必杀-技能伤-3级	4	hurtScale	1104	1	4				0.2		
1014015	十香-必杀-技能伤-3级	4	hurtScale	1105	1	4				0.2		
1014016	十香-必杀-技能伤-4级	4	hurtScale	1101	1	4				0.25		
1014017	十香-必杀-技能伤-4级	4	hurtScale	1102	1	4				0.25		
1014018	十香-必杀-技能伤-4级	4	hurtScale	1103	1	4				0.25		
1014019	十香-必杀-技能伤-4级	4	hurtScale	1104	1	4				0.25		
1014020	十香-必杀-技能伤-4级	4	hurtScale	1105	1	4				0.25		
1014021	十香-必杀-穿透率-1级	4	hurtValue503	1101	1	4				300		
1014022	十香-必杀-穿透率-1级	4	hurtValue503	1102	1	4				300		
1014023	十香-必杀-穿透率-1级	4	hurtValue503	1103	1	4				300		
1014024	十香-必杀-穿透率-1级	4	hurtValue503	1104	1	4				300		
1014025	十香-必杀-穿透率-1级	4	hurtValue503	1105	1	4				300		
1014026	十香-必杀-穿透率-2级	4	hurtValue503	1101	1	4				500		
1014027	十香-必杀-穿透率-2级	4	hurtValue503	1102	1	4				500		
1014028	十香-必杀-穿透率-2级	4	hurtValue503	1103	1	4				500		
1014029	十香-必杀-穿透率-2级	4	hurtValue503	1104	1	4				500		
1014030	十香-必杀-穿透率-2级	4	hurtValue503	1105	1	4				500		
1014031	十香-必杀-穿透率-3级	4	hurtValue503	1101	1	4				700		
1014032	十香-必杀-穿透率-3级	4	hurtValue503	1102	1	4				700		
1014033	十香-必杀-穿透率-3级	4	hurtValue503	1103	1	4				700		
1014034	十香-必杀-穿透率-3级	4	hurtValue503	1104	1	4				700		
1014035	十香-必杀-穿透率-3级	4	hurtValue503	1105	1	4				700		
1014036	十香-必杀-穿透率-4级	4	hurtValue503	1101	1	4				1000		
1014037	十香-必杀-穿透率-4级	4	hurtValue503	1102	1	4				1000		
1014038	十香-必杀-穿透率-4级	4	hurtValue503	1103	1	4				1000		
1014039	十香-必杀-穿透率-4级	4	hurtValue503	1104	1	4				1000		
1014040	十香-必杀-穿透率-4级	4	hurtValue503	1105	1	4				1000		
1014041	十香-必杀-CDR-1级	1	cd	100120	1	4				-500		
1014042	十香-必杀-CDR-2级	1	cd	100120	1	4				-1000		
1014043	十香-必杀-CDR-3级	1	cd	100120	1	4				-1500		
1014044	十香-必杀-精英伤-1级	4	hurtValue655	1101	1	4				600		
1014045	十香-必杀-精英伤-1级	4	hurtValue655	1102	1	4				600		
1014046	十香-必杀-精英伤-1级	4	hurtValue655	1103	1	4				600		
1014047	十香-必杀-精英伤-1级	4	hurtValue655	1104	1	4				600		
1014048	十香-必杀-精英伤-1级	4	hurtValue655	1105	1	4				600		
1014049	十香-必杀-精英伤-2级	4	hurtValue655	1101	1	4				900		
1014050	十香-必杀-精英伤-2级	4	hurtValue655	1102	1	4				900		
1014051	十香-必杀-精英伤-2级	4	hurtValue655	1103	1	4				900		
1014052	十香-必杀-精英伤-2级	4	hurtValue655	1104	1	4				900		
1014053	十香-必杀-精英伤-2级	4	hurtValue655	1105	1	4				900		
1014054	十香-必杀-精英伤-3级	4	hurtValue655	1101	1	4				1200		
1014055	十香-必杀-精英伤-3级	4	hurtValue655	1102	1	4				1200		
1014056	十香-必杀-精英伤-3级	4	hurtValue655	1103	1	4				1200		
1014057	十香-必杀-精英伤-3级	4	hurtValue655	1104	1	4				1200		
1014058	十香-必杀-精英伤-3级	4	hurtValue655	1105	1	4				1200		
1014059	十香-必杀-精英伤-4级	4	hurtValue655	1101	1	4				1500		
1014060	十香-必杀-精英伤-4级	4	hurtValue655	1102	1	4				1500		
1014061	十香-必杀-精英伤-4级	4	hurtValue655	1103	1	4				1500		
1014062	十香-必杀-精英伤-4级	4	hurtValue655	1104	1	4				1500		
1014063	十香-必杀-精英伤-4级	4	hurtValue655	1105	1	4				1500		
1014064	十香-必杀-暴击率-1级	4	hurtValue507	1101	1	4				300		
1014065	十香-必杀-暴击率-1级	4	hurtValue507	1102	1	4				300		
1014066	十香-必杀-暴击率-1级	4	hurtValue507	1103	1	4				300		
1014067	十香-必杀-暴击率-1级	4	hurtValue507	1104	1	4				300		
1014068	十香-必杀-暴击率-1级	4	hurtValue507	1105	1	4				300		
1014069	十香-必杀-暴击率-2级	4	hurtValue507	1101	1	4				600		
1014070	十香-必杀-暴击率-2级	4	hurtValue507	1102	1	4				600		
1014071	十香-必杀-暴击率-2级	4	hurtValue507	1103	1	4				600		
1014072	十香-必杀-暴击率-2级	4	hurtValue507	1104	1	4				600		
1014073	十香-必杀-暴击率-2级	4	hurtValue507	1105	1	4				600		
1014074	十香-必杀-暴击率-3级	4	hurtValue507	1101	1	4				900		
