ID	事件所属质点世界(备注，策划看)	事件类型(1-直接战斗，2-收集任务道具，3-占领据点，4-任务剧情，5-探索区域，6-拾取随机奖励，7-传送事件，8-商店事件)	事件子类型(1001-BOSS击杀，1002-收集道具-常规，1012-收集道具-剧情，1022-收集道具-战斗（任务道具配在关卡掉落里），1003-击杀目标-数量，1013-击杀目标-具体怪物及数量，1004-探索区域（编辑器中探索目标地块ID），1005-占领据点，1006-剧情事件-常规；2001-可见战斗，2002-宝箱事件-道具，2012-宝箱事件-buff/debuff，2003-传送事件-随机传送，2013-传送事件-定点传送，2004-商店事件)	事件类型参数(每个任务或事件配置参数不一样，具体按文档里的设计来定)	地图编辑器中地块ID(填地图导出的json文件中的数字ID)	探索区域地块ID(其他事件不用此字段)	事件名文本(主要是传送点名用)	事件素材调用路径	事件能源点数消耗	前置剧情(maindialog表中ID，触发事件后立即播放，播放完了再执行事件)	触发后是否删除模型	事件可否重复进行
1003404		1	1003	[6061004]	14			ui\kabalatree\event\floor_fight.png	30		1	0
1003405		1	1003	[6061005]	15			ui\kabalatree\event\floor_fight.png	30		1	0
1003406		1	1013	[6061001]	16			ui\kabalatree\event\floor_fight.png	30		1	0
1003407		1	1013	[6061002]	17			ui\kabalatree\event\floor_fight.png	30		1	0
1003408		1	1013	[6061003]	18			ui\kabalatree\event\floor_fight.png	30		1	0
1003409		1	1013	[6061004]	19			ui\kabalatree\event\floor_fight.png	30		1	0
1003410		1	1013	[6061005]	20			ui\kabalatree\event\floor_fight.png	30		1	0
1003501		5	1004	[121]	121	141					0	0
1003502		5	1004	[122]	122	142					0	0
1003503		5	1004	[123]	123	143					0	0
1003601		1	1001	[6061007]	5			ui\kabalatree\event\floor_boss.png	100		1	0
1003701		1	2001	[6061001]				ui\kabalatree\event\floor_enemy.png	10		1	0
1003702		1	2001	[6061003]				ui\kabalatree\event\floor_enemy.png	30		1	0
1003703		1	2001	[6061005]				ui\kabalatree\event\floor_enemy.png	50		1	0
1003801		6	2002	[60600401]				ui\kabalatree\event\floor_random.png	10		1	0
1003802		6	2002	[60600402]				ui\kabalatree\event\floor_random.png	30		1	0
1003803		6	2002	[60600403]				ui\kabalatree\event\floor_random.png	50		1	0
1003901		7	2003		181			ui\kabalatree\event\floor_transport.png	0		0	1
1003911		7	2013	[191]	182		3004201	ui\kabalatree\event\floor_transport.png	0		0	1
1003912		7	2013	[192,193]	183		3004202-3004203	ui\kabalatree\event\floor_transport.png	0		0	1
1003921		7	2013	[191,192,193]	184		3004205	ui\kabalatree\event\floor_transport.png	0		0	1
1003922		7	2013	[191,192]	185		3004204-3004205	ui\kabalatree\event\floor_transport.png	0		0	1
1003001		8	2004					ui\kabalatree\event\floor_store.png	0		0	1
