排序	怪物ID(填写monster.csv表中怪物ID)	关卡ID(填写dungeonLevel.csv表中关卡ID)	怪物等级	怪物出现时间(从关卡第0秒开始计时，直到关卡结束，单位毫秒)	怪物出现坐标(以1屏尺寸为基础，坐标可出屏，场景左下角为(0,0))	怪物是否翻转	怪物AI(填AI的ID)	怪物出场帧段数(点第一段轨迹的结算帧段值)	出场动作名	怪物移动轨迹(移动轨迹在路径编辑器里编辑，此处填对应轨迹ID)	轨迹是否需要循环(第一段出场轨迹后的轨迹循环，多用于BOSS)	弹幕ID(弹幕表中I的D)	怒气恢复(怪物被击杀后，精灵恢复怒气点数)	怪物掉落Buff(关卡内的Buff道具)	 怪物击杀得分	怪物掉落奖励(实际掉落)	死亡特效{"effectName":"必须有，没有不播放","scale":默认1,"actionName":"如果只有一个动画可不填,1个或多个是数组", "offset":偏移坐标默认0,0}
8	800003	101207	3	8300	{"x":960, "y":-60}		1012060002		bornB-bornB2	test_2_1-6		2001005		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
9	800003	101207	3	8600	{"x":1040, "y":700}		1012060002			test_1_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
10	800003	101207	3	8900	{"x":1120, "y":-60}		1012060002			test_2_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
11	800001	101207	10	10500	{"x":1320, "y":320}		1012060003			horizontal_2_1-6		2001002-2001003-2001004		{101001:10000}	15		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
12	800004	101207	3	11100	{"x":1420, "y":480}		1012060004			horizontal_7_1-6		2001006			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
13	800004	101207	3	11100	{"x":1420, "y":160}		1012060004			horizontal_6_1-6		2001006		{102001:10000}	10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
14	800003	101207	3	14900	{"x":1200, "y":470}		1012060005			horizontal_4_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
15	800003	101207	3	14900	{"x":1200, "y":370}		1012060005			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
16	800003	101207	3	14900	{"x":1200, "y":270}		1012060005			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
17	800003	101207	3	14900	{"x":1200, "y":170}		1012060005			horizontal_5_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
18	800002	101207	3	17400	{"x":700, "y":720}		1012060005			vertical_3_1-6		2001005			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
19	800002	101207	3	19000	{"x":700, "y":-80}		1012060005			vertical_4_1-6		2001005			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
20	800002	101207	3	17900	{"x":740, "y":720}		1012060005			vertical_3_1-6		2001005			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
21	800002	101207	3	19500	{"x":740, "y":-80}		1012060005			vertical_4_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
22	800002	101207	3	18400	{"x":780, "y":720}		1012060005			vertical_3_1-6		2001005			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
23	800002	101207	3	20000	{"x":780, "y":-80}		1012060005			vertical_4_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
24	800001	101207	10	22700	{"x":1330, "y":320}		1012060003			horizontal_2_1-6		2001002-2001003-2001004		{101001:10000}	15		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
25	800003	101207	3	23700	{"x":1240, "y":400}		1012060006			horizontal_8_1-6		2001005		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
26	800003	101207	3	23700	{"x":1240, "y":240}		1012060006			horizontal_9_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
27	800002	101207	3	24600	{"x":630, "y":700}		1012060006			vertical_5_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
28	800002	101207	3	24600	{"x":630, "y":-60}		1012060006			vertical_6_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
29	800004	101207	3	29000	{"x":820, "y":720}		1012060007			vertical_9_1-6		2001006			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
30	800004	101207	3	29000	{"x":820, "y":-80}		1012060007			vertical_10_1-6		2001006			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
31	800003	101207	3	28900	{"x":1015, "y":840}		1012060008			vertical_7_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
32	800003	101207	3	28900	{"x":1015, "y":-200}		1012060008			vertical_8_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
33	800002	101207	3	29400	{"x":620, "y":720}		1012060008			vertical_1_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
34	800002	101207	3	29400	{"x":620, "y":-80}		1012060008			vertical_2_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
35	800001	101207	10	34000	{"x":1300, "y":450}		1012060009			horizontal_2_1-6		2001002-2001003		{102001:10000}	15		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
36	800003	101207	3	34000	{"x":1450, "y":520}		1012060011			horizontal_10_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
37	800003	101207	3	34000	{"x":1450, "y":380}		1012060011			horizontal_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
38	800001	101207	10	35300	{"x":1300, "y":190}		1012060010			horizontal_2_1-6		2001002-2001004			15		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
39	800002	101207	3	35300	{"x":1450, "y":260}		1012060011			horizontal_10_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
40	800002	101207	3	35300	{"x":1450, "y":110}		1012060011			horizontal_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
41	800003	101207	3	42300	{"x":850, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
42	800003	101207	3	42500	{"x":850, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
43	800003	101207	3	42700	{"x":850, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
44	800003	101207	3	42900	{"x":850, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
45	800002	101207	3	43300	{"x":850, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
46	800002	101207	3	43500	{"x":850, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
47	800002	101207	3	43700	{"x":850, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
48	800002	101207	3	43900	{"x":850, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
49	800003	101207	3	44200	{"x":1350, "y":400}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
50	800003	101207	3	44400	{"x":1350, "y":400}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
51	800003	101207	3	44600	{"x":1350, "y":400}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
52	800003	101207	3	44800	{"x":1350, "y":400}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
53	800002	101207	3	45200	{"x":1350, "y":240}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
54	800002	101207	3	45400	{"x":1350, "y":240}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
55	800002	101207	3	45600	{"x":1350, "y":240}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
56	800002	101207	3	45800	{"x":1350, "y":240}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
57	800005	101207	3	100000	{"x":950, "y":-180}		1012060013	60		orbit_Boss_1-6	1	2001101-2001102-2001103-2001104					{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
																	
58	800002	501001	3	3000	{"x":1250, "y":400}		5001001			dailyExp_1_1		2001001-2001005		{101001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
59	800002	501001	3	3200	{"x":1250, "y":440}		5001001			dailyExp_1_1		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
60	800002	501001	3	3400	{"x":1250, "y":480}		5001001			dailyExp_1_1		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
61	800002	501001	3	3600	{"x":1250, "y":520}		5001001			dailyExp_1_1		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
62	800002	501001	3	8300	{"x":1250, "y":240}		5001001			dailyExp_1_2		2001001-2001005		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
63	800002	501001	3	8500	{"x":1250, "y":200}		5001001			dailyExp_1_2		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
64	800002	501001	3	8700	{"x":1250, "y":160}		5001001			dailyExp_1_2		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
65	800002	501001	3	8900	{"x":1250, "y":120}		5001001			dailyExp_1_2		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
66	800003	501001	3	13600	{"x":530, "y":700}		5001002			dailyExp_1_3		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
67	800003	501001	3	13900	{"x":500, "y":700}		5001002			dailyExp_1_3		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
68	800003	501001	3	14200	{"x":470, "y":700}		5001002			dailyExp_1_3		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
69	800003	501001	3	14500	{"x":440, "y":700}		5001002			dailyExp_1_3		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
70	800003	501001	3	18100	{"x":530, "y":-60}		5001002			dailyExp_1_4		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
71	800003	501001	3	18400	{"x":500, "y":-60}		5001002			dailyExp_1_4		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
72	800003	501001	3	18700	{"x":470, "y":-60}		5001002			dailyExp_1_4		2001001-2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
73	800003	501001	3	19000	{"x":440, "y":-60}		5001002			dailyExp_1_4		2001001-2001005		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
74	800001	501001	15	22500	{"x":1330, "y":320}		1012060003			horizontal_2_1-6		2001002-2001003-2001004		{101001:10000}	15		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
75	800002	501001	3	24200	{"x":1370, "y":230}		5001003			horizontal_4_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
76	800002	501001	3	24200	{"x":1370, "y":410}		5001003			horizontal_5_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
77	800003	501001	3	24200	{"x":1370, "y":140}		5001003			horizontal_4_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
78	800003	501001	3	24200	{"x":1370, "y":500}		5001003			horizontal_5_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
79	800004	501001	10	29000	{"x":1400, "y":260}		1012060007			horizontal_6_1-6		2001006		{102001:10000}	10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
80	800004	501001	10	29000	{"x":1400, "y":380}		1012060007			horizontal_7_1-6		2001006			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
81	800004	501001	10	29800	{"x":780, "y":-180}		1012060007			vertical_8_1-6		2001006			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
82	800004	501001	10	29800	{"x":780, "y":820}		1012060007			vertical_7_1-6		2001006		{102001:10000}	10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
83	800003	501001	3	36000	{"x":1200, "y":470}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
84	800003	501001	3	36000	{"x":1200, "y":370}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
85	800003	501001	3	36000	{"x":1200, "y":270}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
86	800003	501001	3	36000	{"x":1200, "y":170}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
87	800002	501001	3	38000	{"x":1200, "y":470}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
88	800002	501001	3	38000	{"x":1200, "y":370}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
89	800002	501001	3	38000	{"x":1200, "y":270}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
90	800002	501001	3	38000	{"x":1200, "y":170}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
91	800003	501001	3	40000	{"x":1200, "y":470}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
92	800003	501001	3	40000	{"x":1200, "y":370}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
93	800003	501001	3	40000	{"x":1200, "y":270}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
94	800003	501001	3	40000	{"x":1200, "y":170}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
95	800003	501001	3	42000	{"x":1200, "y":470}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
96	800003	501001	3	42000	{"x":1200, "y":370}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
97	800003	501001	3	42000	{"x":1200, "y":270}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
98	800003	501001	3	42000	{"x":1200, "y":170}		5001004			horizontal_3_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
99	800003	501001	3	44000	{"x":1200, "y":470}		5001004			horizontal_3_1-6		2001005			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
100	800003	501001	3	44000	{"x":1200, "y":370}		5001004			horizontal_3_1-6		2001005			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
101	800003	501001	3	44000	{"x":1200, "y":270}		5001004			horizontal_3_1-6		2001005			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
102	800003	501001	3	44000	{"x":1200, "y":170}		5001004			horizontal_3_1-6		2001005			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
103	800003	501001	3	46000	{"x":1200, "y":470}		5001004			horizontal_3_1-6		2001005			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
104	800003	501001	3	46000	{"x":1200, "y":370}		5001004			horizontal_3_1-6		2001005			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
105	800003	501001	3	46000	{"x":1200, "y":270}		5001004			horizontal_3_1-6		2001005			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
106	800003	501001	3	46000	{"x":1200, "y":170}		5001004			horizontal_3_1-6		2001005			10		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
																	
107	800002	501002	3	3000	{"x":1200, "y":440}		1012060001			horizontal_1_1-6		2001001		{101001:10000}	5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
108	800002	501002	3	3300	{"x":1200, "y":360}		1012060001			horizontal_1_1-6		2001001			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
109	800002	501002	3	3600	{"x":1200, "y":280}		1012060001			horizontal_1_1-6		2001001			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
110	800002	501002	3	3900	{"x":1200, "y":200}		1012060001			horizontal_1_1-6		2001001			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
111	800002	501002	3	7600	{"x":1200, "y":200}		1012060001			dailyExp_2_1		2001001		{102001:10000}	5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
112	800002	501002	3	7900	{"x":1200, "y":280}		1012060001			dailyExp_2_1		2001001			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
113	800002	501002	3	8200	{"x":1200, "y":360}		1012060001			dailyExp_2_1		2001001			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
114	800002	501002	3	8500	{"x":1200, "y":440}		1012060001			dailyExp_2_1		2001001			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
