id	是否使用中	阶段跳转	事件类型（0地点1角色2信息3功能）	绑定类型（0地点1角色）	地点	地点（策划看）	角色	角色（策划看）	角色位置	角色动作	剧本	开始节点id	信息	调用功能	完成规则	是否隐藏	隐藏显示条件（拥有）	隐藏显示条件（不拥有）	消耗时间	限制时间	强制推动时间	完成删除
111704	1		1	1	201	商场	410404	狂三校服			1804001	11804001				0	{}	{}	20	12:00:00-14:00:00		1
111801	1	101019	0	0	106	面包店					1901001	11901001				0	{"sign":[102]}	{}		14:00:00-16:00:00	16:00:00	1
111802	1	101019	0	0	106	面包店					1902001	11902001				1	{"sign":[102]}	{}		14:00:00-16:00:00	16:00:00	1
111803	1		0	0	105	豪华餐厅					1903001	11903001				1	{"sign":[542015]}	{}	30	14:00:00-16:00:00		1
111804	1		1	1	108	精灵公寓1F	410303	四糸乃休闲装			1904001	11904001				1	{"sign":[192]}	{}	30	14:00:00-16:00:00		1
111805	1		0	0	201	商场					1905001	11905001				0	{"sign":[193]}	{}	30	14:00:00-16:00:00		1
111901	1	101020	0	0	106	面包店					2001001	12001001				0	{}	{}		16:00:00-18:00:00	18:00:00	1
111902	1		0	0	104	花店					2002001	12002001				1	{"sign":[111]}	{}	20	16:00:00-18:00:00		1
111903	1		1	1	111	住宅	410504	琴里指挥官			2003001	12003001				1	{"sign":[201]}	{}	20	16:00:00-18:00:00		1
111904	1		1	1	105	豪华餐厅	410404	狂三校服			2004001	12004001				1	{"orsign":[[542016],[202]]}	{}	20	16:00:00-18:00:00		1
111905	1		0	0	201	商场					2005001	12005001				0	{"sign":[542016]}	{}	20	16:00:00-18:00:00		1
112001	1	101021	0	0	111	住宅					2101001	12101001				0	{}	{}		18:00:00-20:00:00	20:00:00	1
112002	1		1	1	111	住宅	410303	四糸乃休闲装			2102001	12102001				1	{"items":{542006:1,542007:1,542008:1}}	{}	20	18:00:00-20:00:00		1
112003	1		1	1	106	面包店	410404	狂三校服			2103001	12103001				1	{"sign":[31]}	{}	20	18:00:00-20:00:00		1
112004	1		0	0	102	饰品店					2104001	12104001				1	{"sign":[211]}	{}	20	18:00:00-20:00:00		1
112005	1		0	0	201	商场					2105001	12105001				0	{}	{}	20	18:00:00-20:00:00		1
112101	1		1	1	111	住宅	410104	十香校服			2201001	12201001				0	{"orsign":[[542002,542003,542004,542005,542011],[542006,542007,542008,542009,542010,542011,542022]]}	{}		20:00:00-20:00:00		1
112102	1		1	1	111	住宅	410104	十香校服			2202001	12202001				1	{"sign":[542002,542003,542004,542005,542011]}	{}		20:00:00-20:00:00		1
112103	1		1	1	111	住宅	410104	十香校服			2203001	12203001				1	{"sign":[542006,542007,542008,542009,542010,542011,542022]}	{}		20:00:00-20:00:00		1
