效果id	名称	效果描述	能够对场下的生效	增减益类型	作用类型	范围中心点	范围	作用对象	单位数量	特效强制设定位置	效果类型	属性id	属性计算参照对象	参照属性	参照属性类型	转化比例	效果值	伤害类型（1.普通 2.纯粹）	伤害属性（1-9：物理，冰，火，风，电，毒，光，暗，精神）	状态id	特效id	（概率）改变的buffid	概率改变值	技能类型（减少技能cd用的）	时间（减少技能cd用的）	buff生效方式	生效条件	延迟时间	buff持续时间	buff生效次数	间隔时间	叠加方式	最大叠加次数	叠加到一定层数后是否触发新效果	新效果需要叠加层数	新效果触发概率	新效果id	作用对象死亡是否终止	终止效果	额外终止方式	减少叠加数	检测属性id	检测标准	配置值	事件次数	事件类型	检测的移除状态	额外终止效果	特效资源	特效动画	挂点	位置1（下层为负数，上层为正数）	特效资源	特效动画	挂点	位置2（下层为负数，上层为正数）	是否显示icon	icon资源
20002		格挡提高4%	0	3	1			1	1		1	504	1				400									1			-1	-1	0	2	-1					1	1																			
20003		格挡提高6%	0	3	1			1	1		1	504	1				600									1			-1	-1	0	2	-1					1	1																			
20004		格挡提高8%	0	3	1			1	1		1	504	1				800									1			-1	-1	0	2	-1					1	1																			
20005		格挡提高10%	0	3	1			1	1		1	504	1				1000									1			-1	-1	0	2	-1					1	1																			
20006		穿透提高2%	0	3	1			1	1		1	503	1				200									1			-1	-1	0	2	-1					1	1																			
20007		穿透提高4%	0	3	1			1	1		1	503	1				400									1			-1	-1	0	2	-1					1	1																			
20008		穿透提高6%	0	3	1			1	1		1	503	1				600									1			-1	-1	0	2	-1					1	1																			
20009		穿透提高8%	0	3	1			1	1		1	503	1				800									1			-1	-1	0	2	-1					1	1																			
20010		穿透提高10%	0	3	1			1	1		1	503	1				1000									1			-1	-1	0	2	-1					1	1																			
20011		生命值提高2%	0	3	1			1	1		1	1001	1				200									1			-1	-1	0	2	-1					1	1																			
20012		生命值提高4%	0	3	1			1	1		1	1001	1				400									1			-1	-1	0	2	-1					1	1																			
20013		生命值提高6%	0	3	1			1	1		1	1001	1				600									1			-1	-1	0	2	-1					1	1																			
20014		生命值提高8%	0	3	1			1	1		1	1001	1				800									1			-1	-1	0	2	-1					1	1																			
20015		生命值提高10%	0	3	1			1	1		1	1001	1				1000									1			-1	-1	0	2	-1					1	1																			
20016		攻速提高2%	0	3	1			1	1		1	1006	1				200									1			-1	-1	0	3	-1					1	1																			
20017		攻速提高4%	0	3	1			1	1		1	1006	1				400									1			-1	-1	0	3	-1					1	1																			
20018		攻速提高6%	0	3	1			1	1		1	1006	1				600									1			-1	-1	0	3	-1					1	1																			
20019		攻速提高8%	0	3	1			1	1		1	1006	1				800									1			-1	-1	0	3	-1					1	1																			
20020		攻速提高10%	0	3	1			1	1		1	1006	1				1000									1			-1	-1	0	3	-1					1	1																			
20021		防御提高2%	0	3	1			1	1		1	1003	1				200									1			-1	-1	0	3	-1					1	1																			
20022		防御提高4%	0	3	1			1	1		1	1003	1				400									1			-1	-1	0	3	-1					1	1																			
20023		防御提高6%	0	3	1			1	1		1	1003	1				600									1			-1	-1	0	3	-1					1	1																			
20024		防御提高8%	0	3	1			1	1		1	1003	1				800									1			-1	-1	0	3	-1					1	1																			
20025		防御提高10%	0	3	1			1	1		1	1003	1				1000									1			-1	-1	0	3	-1					1	1																			
20026		抗暴提高2%	0	3	1			1	1		1	508	1				200									1			-1	-1	0	3	-1					1	1																			
20027		抗暴提高4%	0	3	1			1	1		1	508	1				400									1			-1	-1	0	3	-1					1	1																			
20028		抗暴提高6%	0	3	1			1	1		1	508	1				600									1			-1	-1	0	3	-1					1	1																			
20029		抗暴提高8%	0	3	1			1	1		1	508	1				800									1			-1	-1	0	3	-1					1	1																			
20030		抗暴提高10%	0	3	1			1	1		1	508	1				1000									1			-1	-1	0	3	-1					1	1																			
20031		攻击提高2%	0	3	1			1	1		1	1002	1				200									1			-1	-1	0	3	-1					1	1																			
20032		攻击提高4%	0	3	1			1	1		1	1002	1				400									1			-1	-1	0	3	-1					1	1																			
20033		攻击提高6%	0	3	1			1	1		1	1002	1				600									1			-1	-1	0	3	-1					1	1																			
20034		攻击提高8%	0	3	1			1	1		1	1002	1				800									1			-1	-1	0	3	-1					1	1																			
20035		攻击提高10%	0	3	1			1	1		1	1002	1				1000									1			-1	-1	0	3	-1					1	1																			
20036		暴击提高2%	0	3	1			1	1		1	507	1				200									1			-1	-1	0	2	-1					1	1																			
20037		暴击提高4%	0	3	1			1	1		1	507	1				400									1			-1	-1	0	2	-1					1	1																			
20038		暴击提高6%	0	3	1			1	1		1	507	1				600									1			-1	-1	0	2	-1					1	1																			
20039		暴击提高8%	0	3	1			1	1		1	507	1				800									1			-1	-1	0	2	-1					1	1																			
20040		暴击提高10%	0	3	1			1	1		1	507	1				1000									1			-1	-1	0	2	-1					1	1																			
20041		能量恢复率提高5%	0	3	1			1	1		1	1009	1				500									1			-1	-1	0	3	-1					1	1																			
20042		能量恢复率提高10%	0	3	1			1	1		1	1009	1				1000									1			-1	-1	0	3	-1					1	1																			
20043		能量恢复率提高15%	0	3	1			1	1		1	1009	1				1500									1			-1	-1	0	3	-1					1	1																			
20044		能量恢复率提高20%	0	3	1			1	1		1	1009	1				2000									1			-1	-1	0	3	-1					1	1																			
20045		能量恢复率提高25%	0	3	1			1	1		1	1009	1				2500									1			-1	-1	0	3	-1					1	1																			
20046		闪避提高2%	0	3	1			1	1		1	506	1				200									1			-1	-1	0	3	-1					1	1																			
20047		闪避提高4%	0	3	1			1	1		1	506	1				400									1			-1	-1	0	3	-1					1	1																			
20048		闪避提高6%	0	3	1			1	1		1	506	1				600									1			-1	-1	0	3	-1					1	1																			
20049		闪避提高8%	0	3	1			1	1		1	506	1				800									1			-1	-1	0	3	-1					1	1																			
20050		闪避提高10%	0	3	1			1	1		1	506	1				1000									1			-1	-1	0	3	-1					1	1																			
20051		伤害减免提高2%	0	3	1			1	1		1	502	1				200									1			-1	-1	0	3	-1					1	1																			
20052		伤害减免提高4%	0	3	1			1	1		1	502	1				400									1			-1	-1	0	3	-1					1	1																			
20053		伤害减免提高6%	0	3	1			1	1		1	502	1				600									1			-1	-1	0	3	-1					1	1																			
20054		伤害减免提高8%	0	3	1			1	1		1	502	1				800									1			-1	-1	0	3	-1					1	1																			
