id	离散数据	描述
5001	{"datingOutTime":{3:60,5:60,6:60},"triggerFrame":[[8,0,11,0],[13,0,17,0],[19,0,21,0]],"datingTimeFrame":[[12,0,13,0],[18,0,19,0],[22,0,23,0]],"decreaseRate":[100,70,50,0],"triggerOrder":[5,3,6],"refreshHour":[12,18,21,22],"day":[5,0,18,0],"favorRule":{95:120,80:100,60:80,0:60},"mood":60,"reentryType":[3,4,5,6],"triggerRate":50}	timeFrame:时间段；invitationTimeFrame：邀请时间段；datingTimeFrame：约会时间段；maxDatingCount：最大约会次数（最大能接受约会次数）；roleDayDatingCount：每个看板娘能每日能约会的次数；dailyDatingCount：每天最大日常约会次数；buyDailyDatingCount：每天能购买的日常约会次数；datingOutTime：约会过期时间{约会类型:时间}；triggerFrame：约会触发时间段[[开始小时,开始分支,结束小时,结束分钟]。。。]；datingTimeFrame：预定约会时间段：[[预定约会开始小时,预定约会开始分钟,预定约会结束小时,预定约会结束分钟]...]；decreaseRate:衰减率；"refreshHour"刷新预定约会状态"triggerRate城市约会触发概率
5003	{"defaultRoom":710001}	
6001	{"friend":10,"passer":5,"cd":10}	助战数据参数，助战友情点（fiend好友，passer路人）、助战冷却时间
6002	{500002:500013}	（实际使用的ID，服务器记录的替换ID，用于区分玩家充值所得钻石和赠送所得钻石）
7001	{"maxFriendsNum":100,"maxBlacklistNum":100,"receiveFriendshipTimes":60,"friendship":10,"friendRecommendation":10,"refreshCd":2000,"maxRequest":100,"friendRecommendMaxDelta":50}	好友上限、黑名单上限、友情点每日领取次数、每次领取/赠送友情点数量、推荐好友人数、推荐好友刷新cd、好友申请上限、推荐好友取值范围
8001	{"resetPlv":30,"freeResetCount":3,"resetCost":{500002:100}}	天使免费重置等级，高于免费重置等会后每日免费次数，超过免费次数后每次重置消耗
9001	{"maxActivity":120,"activityReward":[{"activeValue1":30,"reward1":{510101:1}},{"activeValue2":50,"reward2":{510102:1}},{"activeValue3":80,"reward3":{510103:1}},{"activeValue4":100,"reward4":{510104:1}},{"activeValue5":120,"reward5":{510105:1}}]}	每日任务的活跃度奖励刻度
9002	{"pmaxlvl":60,"hmaxlvl":60}	玩家等级上限，精灵等级上限
9003	{"itemType":[2,4,8,10]}	图鉴物品类型
10001	{"eggs":[1,2,3],"ticket":500017,"cd":24,"time":20}	
11001	{"skipLevels":["0-60000:4","61000-90000:3","91000-120000:2","121000-150000:1","151000-180000:0"],"duration":[{"opentime":[1,300],"balancetime":[3,1290],"resettingtime":[3,1320]},{"opentime":[4,300],"balancetime":[6,1290],"resettingtime":[6,1320]}]}	skiplevels-层数跳跃检测，用时60秒，跳跃4层；用时90秒，跳跃3层；用时120秒，跳跃2层；用时150秒，跳跃1层；用时180秒，跳跃0层；opentime进行期(周1~周3，周4~周6)；balancetime结算期；resettingtime进度重置/奖励发放时间
11002	{"maxLevel":100}	无尽副本最高层数
11003	{"nameSet":1001011022}	主线剧情取名出现的ID
12001	{"maxMatchTime":120000,"maxLoadTime":15000,"maxSubmitTime":10000}	
13001	{"stime":"2018-4-30 00:00:00","etime":"2020-5-30 00:00:00"}	
14001	{"summonHistory":30}	召唤历史记录的条目
14002	{"rareProbability":30}	祈愿稀有产出初始概率（万分比）
14003	{1:4000,2:6000,3:10000}	祈愿配方书对应获得分数(需要除10000）
15001	{"time":6}	服务器跨天时刻（0-23）
16001	{"overdueDay":7,"maxEmail":100}	邮件过期时间和上限数量（超过后均自动删除）
17001	{"time":300,"delayTime":10}	
18001	{"refreshTime":300}	
19001	{"oilRecover":{"value":5,"time":600},"pollutionRecover":{"value":5,"time":3600},"duration":{"opentime":"2018-08-20 15:00:00","endtime":"2018-08-31 23:00:00"},"oilValue":{"origin":500,"max":500},"shopRefresh":{"time":360},"pollutionLimit":{"max":100,"fighting":80}}	卡巴拉质点世界能量点数恢复速率(点数，时间：秒)，精灵感染度恢复速率(点数，时间：秒)，活动周期(开放时间，结束时间)，能源值（初始值，最大值），商店刷新数据(每天6点刷新，6x60)，精灵感染度（最大值，战斗禁止值）
19002	{"radarDis":{3:4,2:3,1:2,0:1}}	雷达监测，格子距离与转速变化
20001	{"newRankCount":20,"hotRankCount":20}	评价系统显示的条目数量
20002	{"unitEnergy":30,"base":0.845,"day":7}	体力返回为暴走模式消耗道具相关配置：x体力返还1个、衰减系数的底数、返还截止天数
20003	{"hours":4}	防沉迷强制下线时间（小时）
20004	{1:10,2:30,3:50,4:100}	主线约会体力消耗
20005	{1:20}	日常约会体力消耗
20006	{"minText":4,"maxText":40}	评价文本长度限制
21001	{"hpRange":["0-0.3:0.2","0.3-0.5:0.3","0.5-0.7:0.4","0.7-1:0.5"]}	日常副本积分关卡，根据剩余HP计算最后积分
21002	{"time":30}	联机副本等待时间1
21003	{"time":20}	联机副本等待时间2
21004	{"time":1200}	联机副本等待时间2
21005	{"time":15}	联机副本创建房间等待时间
