id	角色名称	类型（1主角2配角）	角色ID	角色名称	模型组	时间	移动（AI1）	台词（AI2）	随机动作组（AI3）	出现概率	角色出现规则
102001	折纸	1	102	12060	410204	0-18000		1010201-1010202-1010203		100	2-0-108-1-109-1-110-1-111-1-106-1-107-1-105-1-103-1-102-1-104-1-201-1-205-17-203-10-204-10-202-20-208-1-206-10-207-1-112-10-101-10
102002	折纸	1	102	12060	410204	18000-32400		1010201-1010202-1010203		100	2-0-108-1-109-1-110-1-111-1-106-10-107-1-105-1-103-1-102-1-104-1-201-1-205-1-203-25-204-15-202-6-208-1-206-20-207-10-112-1-101-1
102003	折纸	1	102	12060	410204	32400-43200		1010201-1010202-1010203		100	2-0-108-1-109-1-110-1-111-1-106-1-107-1-105-20-103-1-102-1-104-1-201-1-205-10-203-34-204-20-202-1-208-1-206-1-207-1-112-1-101-1
102004	折纸	1	102	12060	410204	43200-50400		1010201-1010202-1010203		100	2-0-108-1-109-1-110-1-111-1-106-1-107-20-105-24-103-1-102-1-104-1-201-1-205-1-203-20-204-20-202-1-208-1-206-1-207-1-112-1-101-1
102005	折纸	1	102	12060	410204	50400-64800		1010201-1010202-1010203		100	2-0-108-1-109-1-110-1-111-1-106-1-107-15-105-1-103-1-102-1-104-15-201-15-205-1-203-1-204-1-202-20-208-1-206-1-207-20-112-1-101-1
102006	折纸	1	102	12060	410204	64800-75600		1010201-1010202-1010203		100	2-0-108-1-109-1-110-1-111-1-106-20-107-10-105-20-103-1-102-15-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-1-112-1-101-20
102007	折纸	1	102	12060	410204	75600-86400		1010201-1010202-1010203		100	2-0-108-1-109-1-110-1-111-1-106-1-107-1-105-1-103-1-102-1-104-1-201-1-205-20-203-20-204-20-202-1-208-1-206-20-207-5-112-1-101-1
103001	四糸乃	1	103	12061	410301-410303	0-18000		1010301-1010302-1010303		100	2-0-108-10-109-10-110-80-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
103002	四糸乃	1	103	12061	410301-410303	18000-32400		1010301-1010302-1010303		100	2-0-108-1-109-1-110-1-111-40-106-1-107-1-105-1-103-1-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-42-112-1-101-1
103003	四糸乃	1	103	12061	410301-410303	32400-43200		1010301-1010302-1010303		100	2-0-108-1-109-1-110-1-111-1-106-1-107-9-105-20-103-1-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-20-207-21-112-15-101-1
103004	四糸乃	1	103	12061	410301-410303	43200-50400		1010301-1010302-1010303		100	2-0-108-1-109-30-110-1-111-30-106-1-107-10-105-1-103-14-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-1-112-1-101-1
103005	四糸乃	1	103	12061	410301-410303	50400-64800		1010301-1010302-1010303		100	2-0-108-1-109-1-110-1-111-15-106-1-107-1-105-1-103-20-102-20-104-20-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-1-112-10-101-1
103006	四糸乃	1	103	12061	410301-410303	64800-75600		1010301-1010302-1010303		100	2-0-108-10-109-1-110-15-111-15-106-1-107-15-105-15-103-1-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-16-112-1-101-1
103007	四糸乃	1	103	12061	410301-410303	75600-86400		1010301-1010302-1010303		100	2-0-108-20-109-40-110-20-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-20
104001	狂三	1	104	12062	410401-410404	0-18000		1010401-1010402-1010403		100	2-0-108-0-109-0-110-0-111-0-106-1-107-21-105-1-103-1-102-1-104-1-201-1-205-10-203-10-204-10-202-10-208-1-206-10-207-20-112-1-101-1
104002	狂三	1	104	12062	410401-410404	18000-32400		1010401-1010402-1010403		100	2-0-108-0-109-0-110-0-111-0-106-20-107-20-105-1-103-1-102-1-104-1-201-1-205-9-203-10-204-11-202-20-208-1-206-1-207-1-112-1-101-1
104003	狂三	1	104	12062	410401-410404	32400-43200		1010401-1010402-1010403		100	2-0-108-0-109-0-110-0-111-0-106-1-107-1-105-1-103-1-102-1-104-1-201-1-205-18-203-20-204-30-202-20-208-1-206-1-207-1-112-1-101-1
104004	狂三	1	104	12062	410401-410404	43200-50400		1010401-1010402-1010403		100	2-0-108-0-109-0-110-0-111-0-106-10-107-10-105-38-103-1-102-1-104-1-201-1-205-1-203-11-204-11-202-10-208-1-206-1-207-1-112-1-101-1
104005	狂三	1	104	12062	410401-410404	50400-64800		1010401-1010402-1010403		100	2-0-108-0-109-0-110-0-111-0-106-1-107-1-105-1-103-10-102-20-104-10-201-1-205-1-203-1-204-1-202-1-208-20-206-10-207-1-112-20-101-1
104006	狂三	1	104	12062	410401-410404	64800-75600		1010401-1010402-1010403		100	2-0-108-0-109-0-110-0-111-0-106-19-107-20-105-20-103-1-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-1-112-20-101-10
104007	狂三	1	104	12062	410401-410404	75600-86400		1010401-1010402-1010403		100	2-0-108-0-109-0-110-0-111-0-106-10-107-20-105-20-103-20-102-1-104-1-201-1-205-1-203-1-204-1-202-1-208-1-206-1-207-10-112-1-101-10
105001	琴里	1	105	12063	410501-410505	0-18000		1010501-1010502-1010503		100	2-0-108-0-109-0-110-0-111-87-106-1-107-1-105-1-103-1-102-1-104-1-201-1-205-0-203-0-204-0-202-1-208-1-206-1-207-1-112-1-101-1
105002	琴里	1	105	12063	410501-410505	18000-32400		1010501-1010502-1010503		100	2-0-108-4-109-1-110-1-111-40-106-20-107-14-105-1-103-1-102-1-104-1-201-10-205-0-203-0-204-0-202-1-208-1-206-1-207-1-112-1-101-1
105003	琴里	1	105	12063	410501-410504	32400-43200		1010501-1010502-1010503		100	2-0-108-1-109-1-110-1-111-30-106-1-107-1-105-1-103-1-102-1-104-1-201-30-205-0-203-0-204-0-202-1-208-1-206-26-207-1-112-1-101-1
105004	琴里	1	105	12063	410501-410504	43200-50400		1010501-1010502-1010503		100	2-0-108-1-109-1-110-1-111-21-106-10-107-10-105-10-103-10-102-10-104-10-201-10-205-0-203-0-204-0-202-1-208-1-206-1-207-1-112-1-101-1
105005	琴里	1	105	12063	410501-410503	50400-64800		1010501-1010502-1010503		100	2-0-108-1-109-1-110-1-111-21-106-10-107-10-105-10-103-10-102-10-104-10-201-10-205-0-203-0-204-0-202-1-208-1-206-1-207-1-112-1-101-1
105006	琴里	1	105	12063	410501-410503	64800-75600		1010501-1010502-1010503		100	2-0-108-1-109-1-110-1-111-21-106-10-107-10-105-10-103-10-102-10-104-10-201-10-205-0-203-0-204-0-202-1-208-1-206-1-207-1-112-1-101-1
105007	琴里	1	105	12063	410501-410502	75600-86400		1010501-1010502-1010503		100	2-0-108-1-109-1-110-1-111-21-106-10-107-10-105-10-103-10-102-10-104-10-201-10-205-0-203-0-204-0-202-1-208-1-206-1-207-1-112-1-101-1
201001	神无月	2	420101	12064	420101	0-18000		1020101-1020102-1020103		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-0-206-5-207-5-112-20-101-15
201002	神无月	2	420101	12064	420101	18000-32400		1020101-1020102-1020103		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-0-206-5-207-5-112-20-101-15
201003	神无月	2	420101	12064	420101	32400-43200		1020101-1020102-1020103		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-0-206-5-207-5-112-20-101-15
201004	神无月	2	420101	12064	420101	43200-50400		1020101-1020102-1020103		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-0-206-5-207-5-112-20-101-15
201005	神无月	2	420101	12064	420101	50400-64800		1020101-1020102-1020103		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-0-206-5-207-5-112-20-101-15
201006	神无月	2	420101	12064	420101	64800-75600		1020101-1020102-1020103		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-0-206-5-207-5-112-20-101-15
201007	神无月	2	420101	12064	420101	75600-86400		1020101-1020102-1020103		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-0-206-5-207-5-112-20-101-15
202001	令音	2	420102	12065	420102	0-18000		1020201-1020202-1020203		100	2-10-108-0-109-0-110-0-111-0-106-5-107-5-105-15-103-0-102-5-104-5-201-5-205-0-203-5-204-5-202-5-208-0-206-5-207-5-112-20-101-5
202002	令音	2	420102	12065	420102	18000-32400		1020201-1020202-1020203		100	2-10-108-0-109-0-110-0-111-0-106-5-107-5-105-15-103-0-102-5-104-5-201-5-205-0-203-5-204-5-202-5-208-0-206-5-207-5-112-20-101-5
202003	令音	2	420102	12065	420102	32400-43200		1020201-1020202-1020203		100	2-10-108-0-109-0-110-0-111-0-106-5-107-5-105-15-103-0-102-5-104-5-201-5-205-0-203-5-204-5-202-5-208-0-206-5-207-5-112-20-101-5
202004	令音	2	420102	12065	420102	43200-50400		1020201-1020202-1020203		100	2-10-108-0-109-0-110-0-111-0-106-5-107-5-105-15-103-0-102-5-104-5-201-5-205-0-203-5-204-5-202-5-208-0-206-5-207-5-112-20-101-5
202005	令音	2	420102	12065	420102	50400-64800		1020201-1020202-1020203		100	2-10-108-0-109-0-110-0-111-0-106-5-107-5-105-15-103-0-102-5-104-5-201-5-205-0-203-5-204-5-202-5-208-0-206-5-207-5-112-20-101-5
202006	令音	2	420102	12065	420102	64800-75600		1020201-1020202-1020203		100	2-10-108-0-109-0-110-0-111-0-106-5-107-5-105-15-103-0-102-5-104-5-201-5-205-0-203-5-204-5-202-5-208-0-206-5-207-5-112-20-101-5
202007	令音	2	420102	12065	420102	75600-86400		1020201-1020202-1020203		100	2-10-108-0-109-0-110-0-111-0-106-5-107-5-105-15-103-0-102-5-104-5-201-5-205-0-203-5-204-5-202-5-208-0-206-5-207-5-112-20-101-5
203001	殿町宏人	2	420103	12066	420103	0-18000		1020301-1020302-1020303		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-15-205-0-203-0-204-0-202-0-208-15-206-5-207-5-112-5-101-5
203002	殿町宏人	2	420103	12066	420103	18000-32400		1020301-1020302-1020303		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-15-205-0-203-0-204-0-202-0-208-15-206-5-207-5-112-5-101-5
203003	殿町宏人	2	420103	12066	420103	32400-43200		1020301-1020302-1020303		100	2-20-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-20-203-20-204-10-202-10-208-0-206-5-207-5-112-5-101-5
203004	殿町宏人	2	420103	12066	420103	43200-50400		1020301-1020302-1020303		100	2-20-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-20-203-20-204-10-202-10-208-0-206-5-207-5-112-5-101-5
203005	殿町宏人	2	420103	12066	420103	50400-64800		1020301-1020302-1020303		100	2-20-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-20-203-20-204-10-202-10-208-0-206-5-207-5-112-5-101-5
203006	殿町宏人	2	420103	12066	420103	64800-75600		1020301-1020302-1020303		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-15-205-0-203-0-204-0-202-0-208-15-206-5-207-5-112-5-101-5
203007	殿町宏人	2	420103	12066	420103	75600-86400		1020301-1020302-1020303		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-15-205-0-203-0-204-0-202-0-208-15-206-5-207-5-112-5-101-5
204001	冈峰珠惠	2	420104	12067	420104	0-18000		1020401-1020402-1020403		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-0-102-0-104-0-201-0-205-15-203-15-204-20-202-15-208-0-206-5-207-5-112-5-101-5
204002	冈峰珠惠	2	420104	12067	420104	18000-32400		1020401-1020402-1020403		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-0-102-0-104-0-201-0-205-15-203-15-204-20-202-15-208-0-206-5-207-5-112-5-101-5
204003	冈峰珠惠	2	420104	12067	420104	32400-43200		1020401-1020402-1020403		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-0-102-0-104-0-201-0-205-15-203-15-204-20-202-15-208-0-206-5-207-5-112-5-101-5
204004	冈峰珠惠	2	420104	12067	420104	43200-50400		1020401-1020402-1020403		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-0-102-0-104-0-201-0-205-15-203-15-204-20-202-15-208-0-206-5-207-5-112-5-101-5
204005	冈峰珠惠	2	420104	12067	420104	50400-64800		1020401-1020402-1020403		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-0-102-0-104-0-201-0-205-15-203-15-204-20-202-15-208-0-206-5-207-5-112-5-101-5
204006	冈峰珠惠	2	420104	12067	420104	64800-75600		1020401-1020402-1020403		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-0-102-0-104-0-201-0-205-15-203-15-204-20-202-15-208-0-206-5-207-5-112-5-101-5
204007	冈峰珠惠	2	420104	12067	420104	75600-86400		1020401-1020402-1020403		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-0-102-0-104-0-201-0-205-15-203-15-204-20-202-15-208-0-206-5-207-5-112-5-101-5
205001	山吹亚衣	2	420105	12068	420105	0-18000		1020501-1020502-1020503		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-5-203-5-204-5-202-5-208-5-206-5-207-5-112-5-101-5
205002	山吹亚衣	2	420105	12068	420105	18000-32400		1020501-1020502-1020503		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-5-203-5-204-5-202-5-208-5-206-5-207-5-112-5-101-5
205003	山吹亚衣	2	420105	12068	420105	32400-43200		1020501-1020502-1020503		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-0-104-0-201-0-205-10-203-20-204-10-202-20-208-0-206-5-207-5-112-5-101-5
205004	山吹亚衣	2	420105	12068	420105	43200-50400		1020501-1020502-1020503		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-0-104-0-201-0-205-10-203-20-204-10-202-20-208-0-206-5-207-5-112-5-101-5
205005	山吹亚衣	2	420105	12068	420105	50400-64800		1020501-1020502-1020503		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-0-104-0-201-0-205-10-203-20-204-10-202-20-208-0-206-5-207-5-112-5-101-5
205006	山吹亚衣	2	420105	12068	420105	64800-75600		1020501-1020502-1020503		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-5-203-5-204-5-202-5-208-5-206-5-207-5-112-5-101-5
205007	山吹亚衣	2	420105	12068	420105	75600-86400		1020501-1020502-1020503		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-5-203-5-204-5-202-5-208-5-206-5-207-5-112-5-101-5
206001	叶樱麻衣	2	420106	12069	420106	0-18000		1020601-1020602-1020603		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-5-203-5-204-5-202-5-208-5-206-5-207-5-112-5-101-5
206002	叶樱麻衣	2	420106	12069	420106	18000-32400		1020601-1020602-1020603		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-5-203-5-204-5-202-5-208-5-206-5-207-5-112-5-101-5
206003	叶樱麻衣	2	420106	12069	420106	32400-43200		1020601-1020602-1020603		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-5-102-5-104-5-201-5-205-20-203-10-204-10-202-20-208-0-206-5-207-5-112-5-101-5
206004	叶樱麻衣	2	420106	12069	420106	43200-50400		1020601-1020602-1020603		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-5-102-5-104-5-201-5-205-20-203-10-204-10-202-20-208-0-206-5-207-5-112-5-101-5
206005	叶樱麻衣	2	420106	12069	420106	50400-64800		1020601-1020602-1020603		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-5-102-5-104-5-201-5-205-20-203-10-204-10-202-20-208-0-206-5-207-5-112-5-101-5
206006	叶樱麻衣	2	420106	12069	420106	64800-75600		1020601-1020602-1020603		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-5-203-5-204-5-202-5-208-5-206-5-207-5-112-5-101-5
206007	叶樱麻衣	2	420106	12069	420106	75600-86400		1020601-1020602-1020603		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-5-203-5-204-5-202-5-208-5-206-5-207-5-112-5-101-5
207001	藤袴美衣	2	420107	12070	420107	0-18000		1020701-1020702-1020703		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-5-203-5-204-5-202-5-208-5-206-5-207-5-112-5-101-5
207002	藤袴美衣	2	420107	12070	420107	18000-32400		1020701-1020702-1020703		100	2-20-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-5-203-5-204-5-202-5-208-5-206-5-207-5-112-5-101-5
207003	藤袴美衣	2	420107	12070	420107	32400-43200		1020701-1020702-1020703		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-0-103-0-102-0-104-5-201-5-205-20-203-10-204-20-202-10-208-0-206-5-207-5-112-5-101-5
207004	藤袴美衣	2	420107	12070	420107	43200-50400		1020701-1020702-1020703		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-0-103-0-102-0-104-5-201-5-205-20-203-10-204-20-202-10-208-0-206-5-207-5-112-5-101-5
207005	藤袴美衣	2	420107	12070	420107	50400-64800		1020701-1020702-1020703		100	2-0-108-0-109-0-110-0-111-0-106-5-107-5-105-0-103-0-102-0-104-5-201-5-205-20-203-10-204-20-202-10-208-0-206-5-207-5-112-5-101-5
207006	藤袴美衣	2	420107	12070	420107	64800-75600		1020701-1020702-1020703		100	2-40-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-5-206-5-207-5-112-5-101-5
207007	藤袴美衣	2	420107	12070	420107	75600-86400		1020701-1020702-1020703		100	2-40-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-5-206-5-207-5-112-5-101-5
208001	日下部燎子	2	420108		420108	0-18000		1020801-1020802-1020803		100	2-40-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-5-206-5-207-5-112-5-101-5
208002	日下部燎子	2	420108		420108	18000-32400		1020801-1020802-1020803		100	2-40-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-5-206-5-207-5-112-5-101-5
208003	日下部燎子	2	420108		420108	32400-43200		1020801-1020802-1020803		100	2-40-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-5-206-5-207-5-112-5-101-5
208004	日下部燎子	2	420108		420108	43200-50400		1020801-1020802-1020803		100	2-40-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-5-206-5-207-5-112-5-101-5
208005	日下部燎子	2	420108		420108	50400-64800		1020801-1020802-1020803		100	2-40-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-5-206-5-207-5-112-5-101-5
208006	日下部燎子	2	420108		420108	64800-75600		1020801-1020802-1020803		100	2-40-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-5-206-5-207-5-112-5-101-5
208007	日下部燎子	2	420108		420108	75600-86400		1020801-1020802-1020803		100	2-40-108-0-109-0-110-0-111-0-106-5-107-5-105-5-103-5-102-5-104-5-201-5-205-0-203-0-204-0-202-0-208-5-206-5-207-5-112-5-101-5
301001	服务员女（浴场）	2	430106		430106	0-18000		1030101-1030102-1030103		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-100
301002	服务员女（浴场）	2	430106		430106	18000-32400		1030101-1030102-1030103		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-100
301003	服务员女（浴场）	2	430106		430106	32400-43200		1030101-1030102-1030103		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-100
301004	服务员女（浴场）	2	430106		430106	43200-50400		1030101-1030102-1030103		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-100
301005	服务员女（浴场）	2	430106		430106	50400-64800		1030101-1030102-1030103		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-100
301006	服务员女（浴场）	2	430106		430106	64800-75600		1030101-1030102-1030103		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-100
301007	服务员女（浴场）	2	430106		430106	75600-86400		1030101-1030102-1030103		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-0-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-100
302001	女职员（饰品店）	2	430102		430102	0-18000		1030201-1030202-1030203		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
302002	女职员（饰品店）	2	430102		430102	18000-32400		1030201-1030202-1030203		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
302003	女职员（饰品店）	2	430102		430102	32400-43200		1030201-1030202-1030203		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
302004	女职员（饰品店）	2	430102		430102	43200-50400		1030201-1030202-1030203		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
302005	女职员（饰品店）	2	430102		430102	50400-64800		1030201-1030202-1030203		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
302006	女职员（饰品店）	2	430102		430102	64800-75600		1030201-1030202-1030203		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
302007	女职员（饰品店）	2	430102		430102	75600-86400		1030201-1030202-1030203		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
303001	男职员（饰品店）	2	430101		430101	0-18000		1030301-1030302-1030303		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
303002	男职员（饰品店）	2	430101		430101	18000-32400		1030301-1030302-1030303		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
303003	男职员（饰品店）	2	430101		430101	32400-43200		1030301-1030302-1030303		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
303004	男职员（饰品店）	2	430101		430101	43200-50400		1030301-1030302-1030303		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
303005	男职员（饰品店）	2	430101		430101	50400-64800		1030301-1030302-1030303		100	2-0-108-0-109-0-110-0-111-0-106-0-107-0-105-0-103-0-102-100-104-0-201-0-205-0-203-0-204-0-202-0-208-0-206-0-207-0-112-0-101-0
