	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	跳转（选项）	注释	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
100019	101010000	1	{}		100			1	{}				{}				100020													{}											{}											{}							scene/bg/bg_mianbaodian.png	1		1.3	-1	{}	sound/bgm/date_013.mp3											1	1				{}	{}					{}	{}							{}	{}	{}	{}
100020	101010000	1	{}		100	店员	“您好，这是您点的面包。”	1	{}				{}				100021													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100021	101010000	1	{}		100		按照我的需求，店员把黄豆粉面包送了过来。	1	{}				{}				100022													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100022	101010000	1	{}		100		1	1	{}				{}				100023													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100023	101010000	1	{}		100	夜刀神十香	“呜哇……好吃！好好吃！”	1	{}				{}				100024				10104	3		id_pose_12		id_look_4			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100024	101010000	1	{}		100	夜刀神十香	“这香甜的味道一定就是约会吧！”	1	{}				{}				100025				1			id_pose_12		id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100025	101010000	1	{}		100	1	“那个不是约会啦……只是黄豆粉面包而已。”	1	{}				{}				100026				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100026	101010000	1	{}		100	夜刀神十香	“嗯嗯？为什么？这么好吃的不是约会吗？”	1	{}				{}				100027				1			id_normal_13						{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100027	101010000	1	{}		100	夜刀神十香	“但是好吃！好吃！”	1	{}				{}				100028				1			id_pose_12		id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100028	101010000	1	{}		100	1	“哈啊……那个，吃了面包有些口渴吧？我去给你买杯喝的东西。”	1	{}				{}				100029				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100029	101010000	1	{}		100	夜刀神十香	“唔？%s要离开吗……”	1	{}				{}				100030				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100030	101010000	1	{}		100		看十香的表情，好像是不愿意我离开。	1	{}				{}				100031				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100031	101010000	1	{}		100	1	“不用担心，我马上就回来。”	1	{}				{}				100032				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100032	101010000	1	{}		100		说着，我大步地往街道对面走去。	1	{}				{}				100033				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100033	101010000	1	{}		100		1	1	{}				{}				100034						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100034	101010000	1	{}		100		1	1	{}				{}				100035													{}											{}											{}							scene/bg/bg_meishijie.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100035	101010000	1	{}		100		1	1	{}				{}				100036													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100036	101010000	1	{}		100	五河琴里	“笨蛋%s！十香的恐惧值快突破危险区间了！”	1	{}				{}				100037													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
100037	101010000	1	{}		100		我刚走到一半，耳机里就传来了几乎刺穿耳膜的责怪声。	1	{}				{}				100038													{}											{}											{}				1	1							{}																	{}	{}					{}	{}							{}	{}	{}	{}
100038	101010000	1	{}		100	1	“恐惧值？不是吧……我马上就回去！”	1	{}				{}				100039													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100039	101010000	1	{}		100			1	{}				{}				100040													{}											{}											{}							scene/bg/bg_meishijie.png			1.5	1	{"x":284,"y":160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100040	101010000	1	{}		100		我急忙往回走，却发现十香已经冲进了人群里。	1	{}				{}				100041													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100041	101010000	1	{}		100	1	“喂！我在这里，十香！”	1	{}				{}				100042													{}											{}											{}		0.1-7-9-5-0.024	4									{}																	{}	{}					{}	{}							{}	{}	{}	{}
100042	101010000	1	{}		100		1	1	{}				{}				100043													{}	1.3										{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100043	101010000	1	{}		100	夜刀神十香	“%s！这里这么多人，是人海战术吗？”	1	{}				{}				100044				10104	3		id_pose_9		id_look_13			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100044	101010000	1	{}		100		1	1	{}				{}				100045				1									{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100045	101010000	1	{}		100		十香说话的同时，手掌心出现了一个危险的灵力光球！	1	{}				{}				100046				1									{}	1.6										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100046	101010000	1	{}		100	1	“不不不！不是什么人海战术啦！我说过……只有少数人对你有敌意！”	1	{}				{}				100047				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100047	101010000	1	{}		100	夜刀神十香	“是吗，唔姆……那就暂时相信%s一次。”	1	{}				{}				100048				1			id_normal_6						{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100048	101010000	1	{}		100		1	1	{}				{}				100049				1									{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100049	101010000	1	{}		100		十香缓缓地收起了灵力。	1	{}				{}				100050				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100050	101010000	1	{}		100		1	1	{}				{}				100051						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100051	101010000	1	{}		100			1	{}				{}				100052													{}											{}											{}							scene/bg/bg_meishijie.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
100052	101010000	1	{}		100		这个时候，琴里的说话声再次在耳机里响起。	1	{}				{}				100053													{}											{}											{}												{}	sound/bgm/date_013.mp3																{}	{}					{}	{}							{}	{}	{}	{}
100053	101010000	1	{}		100	五河琴里	“刚才十香的恐惧值忽然上升，应该不是在害怕人类。”	1	{}				{}				100054													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
100054	101010000	1	{}		100	五河琴里	“赶快调查一下是什么事物让她害怕，这对今后的作战很重要。”	1	{}				{}				100101-100201-100301	5												{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
100101	101010000	1			100		天气这么热，要不再等等吧	1	{}				{}				100102	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:3}}							{}	{}	{}	{}
100102	101010000	1	{}		100	1	“呼啊！天气这么热，会中暑的吧！”	1	{}				{}				100103													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100103	101010000	1	{}		100	五河琴里	“你已经虚弱到这种程度了吗！快去调查啊！”	1	{}				{}				100104													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
100104	101010000	1	{}		100	1	“知、知道了，不用那么大声吧……”	1	{}				{}																	{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100201	101010000	1			100		包在我身上，为了十香我会尽力的	1	{}				{}				100202	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{101102:3}}							{}	{}	{}	{}
100202	101010000	1	{}		100	1	“就算你不说，我也会调查清楚的，毕竟是十香的事。”	1	{}				{}				100203													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100203	101010000	1	{}		100	五河琴里	“那就别废话了，快去吧！”	1	{}				{}				100204													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
100204	101010000	1	{}		100	1	“什么啊！这就是你对哥哥的态度吗……真是的。”	1	{}				{}																	{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100301	101010000	1			100		周围这么多事物，我哪里知道是在怕什么	1	{}				{}				100302	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{101103:3}}							{}	{}	{}	{}
100302	101010000	1	{}		100	1	“话是没错啦……但周围这么多事物，我哪里知道是在怕什么。”	1	{}				{}				100303													{}											{}											{}												{}	sound/bgm/date_018.mp3																{}	{}					{}	{}							{}	{}	{}	{}
100303	101010000	1	{}		100	五河琴里	“啰嗦！总之快去调查就好了啦！”	1	{}				{}				100304													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
100304	101010000	1	{}		100	1	“哇啊！干嘛这么凶……耳朵好痛！”	1	{}				{}																	{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
																																																																																																		
101101	101010111	1	{}		100			1	{}				{}				101102	4												{}											{}											{}							scene/bg/bg_gongyuan.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101102	101010111	1	{}		100		早晨的公园人烟稀少，正是整理思绪的好去处。	1	{}				{}				101103													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101103	101010111	1	{}		100		绿油油的草坪，清新的青草味道让人忍不住想躺下休息。	1	{}				{}				101104													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101104	101010111	1	{}		100			1	{}				{}				101105													{}											{}											{}							scene/bg/bg_gongyuan.png			1.5	2	{"x":284,"y":160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101105	101010111	1	{}		100	1	“那就……休息一下，应该没关系吧？”	1	{}				{}				101106													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101106	101010111	1	{}		100		我伸了个懒腰准备坐下去，旁边却响起了一个少女轻柔的说话声。	1	{}				{}				101107													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101107	101010111	1	{}		100	？？？	“啊啦、啊啦……大白天偷懒可不好哦。”	1	{}				{}				101108													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101108	101010111	1	{}		100		我看到远处的树影下有一名红裙少女，怀中抱着一只黑猫。	1	{}				{}				101109													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101109	101010111	1	{}		100	1	“请问……你是谁？”	1	{}				{}				101110													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101110	101010111	1	{}		100		听到我的话，少女却发出一声轻笑，转身离去。那高贵、如同大小姐般的身姿……	1	{}				{}				101111													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101111	101010111	1	{}		100		我忍不住好奇，刚想要起身追上去，却脚下一滑，摔倒在地上。	1	{}				{}				101112													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101112	101010111	1	{}		100			1	{}				{}				101113													{}											{}											{}		0.1-7-9-5-0.024	0									{}	sound/bgm/date_013.mp3											1	1				{}	{}					{}	{}							{}	{}	{}	{}
101113	101010111	1	{}		100	1	“疼疼疼……哎？这是什么？”	1	{}				{}				101114													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101114	101010111	1	{}		100		扭头一看，脚下一枚铃铛正在阳光下闪闪发亮。	1	{}				{}	0			101115													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101115	101010111	1			100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{"items":{543001:1}}	{}	{}	{}
101201	101010112	1	{}		100			1	{}				{}				101202	4												{}											{}											{}							scene/bg/bg_jietou2.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101202	101010112	1	{}		100		为了收集线索，我走上了大街。	1	{}				{}				101203													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101203	101010112	1	{}		100		前方广场上聚集着许多享受周末时光的市民，而其中一个遛狗的少女很眼熟。	1	{}				{}				101204													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101204	101010112	1	{}		100			1	{}				{}				101205													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101205	101010112	1	{}		100	山吹亚衣 	“好孩子！对！就是这样，跳起来！”	1	{}				{}				101206													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101206	101010112	1	{}		100	柴犬	“汪！汪汪！”	1	{}				{}				101207													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101207	101010112	1	{}		100		亚衣不断的拍手，身体也轻盈的旋转。	1	{}				{}				101208													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101208	101010112	1	{}		100		而她身边的宠物犬也跟着欢快地跳跃。	1	{}				{}				101209													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101209	101010112	1	{}		100		亚衣是在训犬吗？要不要上去打个招呼。	1	{}				{}				101210-101221-101228													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101210	101010112	1			100		觉得这种手势有改进的余地	1	{}				{}				101211	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:3,101102:-2,101103:2},"sign":[101]}							{}	{}	{}	{}
101211	101010112	1	{}		100			1	{}				{}				101212													{}											{}											{}							scene/bg/bg_jietou2.png	1		1.75	-1	{"x":0,"y":0}																	{}	{}					{}	{}							{}	{}	{}	{}
101212	101010112	1	{}		100	1	“真不错啊，没想到亚衣同学还有这方面的天赋。”	1	{}				{}				101213													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101213	101010112	1	{}		100	山吹亚衣 	“哦？%s君也对训犬很感兴趣吗？”	1	{}				{}				101214													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101214	101010112	1	{}		100	1	“那、那个，多少有些了解吧。”	1	{}				{}				101215													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101215	101010112	1	{}		100	1	“之前看过一些训犬的节目，所以觉得亚衣同学的手势还有可以改进的地步呢。	1	{}				{}				101216													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101216	101010112	1	{}		100	山吹亚衣 	“哎呀，我不过是随便玩玩而已啦……”	1	{}				{}				101217													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101217	101010112	1	{}		100		亚衣满不在意地继续逗弄小狗。	1	{}				{}				101218													{}											{}											{}												{}	sound/bgm/date_013.mp3																{}	{}					{}	{}							{}	{}	{}	{}
101218	101010112	1	{}		100		1	1	{}				{}				101219													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101219	101010112	1	{}		100	1	“那么……亚衣继续陪那孩子吧，下次见。”	1	{}				{}				101220													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101220	101010112	1	{}		100		因为觉得打扰到了对方，我只好向亚衣告辞……	1	{}				{}																	{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}							{}	{}	{}	{}
101221	101010112	1			100		上前问候，讨教手势	1	{}				{}				101222	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:-2,101102:2,101103:-1},"sign":[101]}							{}	{}	{}	{}
101222	101010112	1	{}		100		我默默地走到亚衣旁边，向她打了个招呼。	1	{}				{}				101223													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101223	101010112	1	{}		100	1	“真不错啊，没想到亚衣同学还有这方面的天赋。”	1	{}				{}				101224													{}											{}											{}												{}	sound/bgm/date_009.mp3																{}	{}					{}	{}							{}	{}	{}	{}
101224	101010112	1	{}		100	山吹亚衣 	“哦？%s君也对训犬很感兴趣吗？”	1	{}				{}				101225													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101225	101010112	1	{}		100	1	“是啊，亚衣能教我吗。”	1	{}				{}				101226													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101226	101010112	1	{}		100	山吹亚衣 	“其实也没那么复杂，就是这样而已……”	1	{}				{}				101227													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101227	101010112	1	{}		100		亚衣豪爽地把刚才的动作又做了一遍。	1	{}				{}																	{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101228	101010112	1			100		感觉有用，用手机拍下来，赶紧离开	1	{}				{}				101229	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:-2,101102:-1,101103:2},"sign":[101]}							{}	{}	{}	{}
101229	101010112	1	{}		100			1	{}				{}				101230													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101230	101010112	1	{}		100		因为赶时间，所以觉得没有必要上去打招呼。	1	{}				{}				101231													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101231	101010112	1	{}		100		默默的用手机将亚衣的动作拍下来，我就匆匆离开了。	1	{}				{}																	{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}							{}	{}	{}	{}
101301	101010113	1	{}		100			1	{}				{}				101302	4												{}											{}											{}							scene/bg/bg_gouwuzhongxin.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
101302	101010113	1	{}		100	1	“调查这种事还真是叫人头疼啊。”	1	{}				{}				101303													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101303	101010113	1	{}		100		我一边抱怨着，不知不觉已经走到了商场门口。	1	{}				{}				101304													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101304	101010113	1	{}		100			1	{}				{}				101305													{}											{}											{}							scene/bg/bg_gouwuzhongxin.png	1		1.75	-1	{"x":0,"y":0}	sound/bgm/date_001.mp3											1	1				{}	{}					{}	{}							{}	{}	{}	{}
101305	101010113	1	{}		100		眼前熙熙攘攘的人群中，出现了一名打扮成小丑模样的少女。	1	{}				{}				101306													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101306	101010113	1	{}		100	小丑	“好孩子们，不用着急，一个个地来。”	1	{}				{}				101307													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101307	101010113	1	{}		100		虽然把别人称作孩子，但她不过也才十五六岁的样子。	1	{}				{}				101308													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101308	101010113	1	{}		100		她将头顶彩色云团一般的气球分给孩子们，还给每人赠送一枚亮银色的幸运币。	1	{}				{}				101309													{}											{}											{}												{}	sound/bgm/date_008.mp3																{}	{}					{}	{}							{}	{}	{}	{}
101309	101010113	1	{}		100		孩子们的欢笑在耳旁萦绕，多么无忧无虑的年纪啊。	1	{}				{}				101310													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101310	101010113	1	{}		100	小丑	“小哥，不过来吗？”	1	{}				{}				101311													{}											{}											{}												{}	sound/bgm/date_002.mp3																{}	{}					{}	{}							{}	{}	{}	{}
101311	101010113	1	{}		100		我羡慕的眼神好像被察觉了，小丑竟然向我招了招手。	1	{}				{}				101312													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101312	101010113	1	{}		100		我有点不知所措，不过小孩子们像是起哄一般将我推了过去。	1	{}				{}				101313													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101313	101010113	1	{}		100		结果，我也很荣幸地获得了一枚幸运币。	1	{}				{}				101314													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101314	101010113	1			100		1	1	{}				{}																	{}											{}											{}												{}	sound/bgm/date_018.mp3											1	1				{}	{}					{}	{}							{"items":{543002:1}}	{}	{}	{}
101401	101010114	1	{}		100			1	{}				{}				100101401	4												{}											{}											{}							scene/bg/bg_meishijie.png	1		1.3	-1	{}																	{}	{}					{}	{}							{}	{}	{}	{}
100101401	101010114	1	{}		100		我漫无目的地闲逛，想要让头脑冷静下来。	1	{}				{}				101402													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
101402	101010114	1	{}		100		不知不觉间，走到了冷饮店门口。	1	{}				{}				101403													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
