	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
28101104	2104001	2	{}		100	时崎狂三	「美食街的代金券吗？看起来今天是使用的最后一天了。」	1	{}			{}	{}					28101105		1			id_pose_4		id_look_5	103_eff	id_idea	2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_01.mp3								1					{}	{}					{}	{}		{}		
28101105	2104001	2	{}		100	1	「嗯……所以我想邀请狂三……不知道可不可以……诶！！！」	1	{}			{}	{}					28101106		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28101106	2104001	2	{}		100		狂三突然挽着我的手臂。	1	{}			{}	{}					28101107		1								2	{}	1.4										{}	1.2										{}	1.2												1.2		{}											1					{}	{}					{}	{}		{}		
28101107	2104001	2	{}		100	时崎狂三	「嗯…… %s 同学的邀请，我怎么能拒绝呢？」	1	{}			{}	{}					28101108		1			id_pose_3		id_look_4	103_eff	id_heart	2	{}	1.4										{}	1.2										{}	1.2												1.2		{}			sound/role/kuangsan/KURUMI_S_09.mp3								1					{}	{}					{}	{}		{}		
28101108	2104001	2	{}		100	1	「哎……答应……了吗？」	1	{}			{}	{}					28101109		1								2	{}	1.4										{}	1.2										{}	1.2												1.2		{}											1					{}	{}					{}	{}		{}		
28101109	2104001	2	{}		100	时崎狂三	「嗯，一起去哦，现在就出发吧！」	1	{}			{}	{}					28101110		1			id_pose_8			103_eff	id_sun	2	{}	1.4										{}	1.2										{}	1.2												1.2		{}			sound/role/kuangsan/KURUMI_S_11.mp3								1					{}	{}					{}	{}		{}		
28101110	2104001	2	{}		100		狂三紧贴着我的身体，这一举动引来班里男生的围观。	1	{}			{}	{}					28101111		1								2	{}	1.4										{}	1.2										{}	1.2												1.2		{}											1					{}	{}					{}	{}		{}		
28101111	2104001	2	{}		100	五河琴里	「直接前往美食街吧，我已经安排好了。」	1	{}			{}	{}					28101112		1								2	{}	1.2										{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}											1					{}	{}					{}	{}		{}		
28101112	2104001	2	{}		100	1	「嗯，那个……十香呢？」	1	{}			{}	{}					28101113		1								2	{}	1.2										{}	1.2										{}	1.2			1	1								1		{}											1					{}	{}					{}	{}		{}		
28101113	2104001	2	{}		100	五河琴里	「我给了她豆粉面包半价券，她现在已经冲出学校了。」	1	{}			{}	{}					28101114		1								2	{}	1.2										{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}											1					{}	{}					{}	{}		{}		
28101114	2104001	2	{}		100		……	1	{}			{}	{}					1028101115		1								2	{}	1.2										{}	1.2										{}	1.2			1	1								1		{}											1					{}	{}					{}	{}		{}		
1028101115	2104001		{}					1	{}			{}	{}					28101115											{}											{}											{}										scene/bg/bg_meishijie.png	2		1	-1	{}																{}	{}					{}	{}		{}		
28101115	2104001	2	{}		100		我和狂三离开学校，来到美食街。	1	{}			{}	{}					28101116		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28101116	2104001	2	{}		100		狂三的回头率非常高，每一个路过的人都带着奇怪的眼神……	1	{}			{}	{}					28101117		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28101117	2104001	2	{}		100		那是一种“这个女孩子真好看，怎么男朋友这么一般般。”的感觉。	1	{}			{}	{}					28101118		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28101118	2104001	2	{}		100	1	「美食街到了，狂三想先去哪里呢？」	1	{}			{}	{}					28101119		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28101119	2104001	2	{}		100	时崎狂三	「我没有来过这里， %s 来决定吧。」	1	{}			{}	{}					28201101		1			id_pose_7		id_look_3			2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_10.mp3								1					{}	{}					{}	{}		{}		
28201101	2104001	2	{}		100	1	「我们去面包店买些甜点吧。」	1	{}			{}	{}					28201102	6	10404			id_pose_10		id_look_4			2	{}	1.2										{}	1.2										{}	1.2									scene/bg/bg_meishijie.png			1	-1	{}	sound/bgm/date_001.mp3									10	1					{}	{}					{}	{}		{}		
28201201	2104001	2	{}		100		「我们去豪华餐厅吃西餐可以吗？」	1	{}			{}	{}					28201102	7	10404			id_pose_10		id_look_4			2	{}	1.2										{}	1.2										{}	1.2									scene/bg/bg_meishijie.png			1	-1	{}	sound/bgm/date_001.mp3									10	1					{}	{}					{}	{}		{}		
28201301	2104001	2	{}		100		「我们去水吧喝杯咖啡怎么样？」	1	{}			{}	{}					28201102	7	10404			id_pose_10		id_look_4			2	{}	1.2										{}	1.2										{}	1.2									scene/bg/bg_meishijie.png			1	-1	{}	sound/bgm/date_001.mp3									10	1					{}	{}					{}	{}		{}		
28201102	2104001	2	{}		100	时崎狂三	「面包店吗?可以哦，那我们先去面包店吧。」	1	{}			{}	{}					28201103	2	1			id_pose_12			103_eff	id_idea	2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_20.mp3								1					{}	{}					{}	{}		{}		
28201103	2104001	2	{}		100		狂三开心地在原地转了一个圈，又跑回来挽着我。	1	{}			{}	{}					28201104		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28201104	2104001	2	{}		100		我突然觉得她像小猫一样粘人。	1	{}			{}	{}					28201105		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28201105	2104001	2	{}		100		也和猫一样……不可捉摸。	1	{}			{}	{}					28201106		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28201106	2104001	2	{}		100	五河琴里	「你别光顾着傻笑好吗？找个话题聊天，尽快反馈数据给我。」	1	{}			{}	{}					28201107		1								2	{}	1.2										{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}			sound/role/qinli/KOTORI_S_14.mp3								1					{}	{}					{}	{}		{}		
28201107	2104001	2	{}		100		琴里在耳麦里吼着，提醒我快点完成“主要任务”。	1	{}			{}	{}					28201108		1								2	{}	1.2										{}	1.2										{}	1.2			1	1								1		{}											1					{}	{}					{}	{}		{}		
28201108	2104001	2	{}		100	1	「现在聊点什么好？」	1	{}			{}	{}					28201109		1								2	{}	1.2										{}	1.2										{}	1.2			1	1								1		{}											1					{}	{}					{}	{}		{}		
28201109	2104001	2	{}		100	五河琴里	「全员注意！开始选择！」	1	{}			{}	{}					28201110		1								2	{}	1.2										{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}											1					{}	{}					{}	{}		{}		
28201110	2104001	2	{}		100	五河琴里	「选项出来了！」	1	{}			{}	{}					28301101-28301201-28301301	5	1								2	{}	1.2										{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}											1					{}	{}					{}	{}		{}		
28301101	2104001	2	{}		100		「狂三喜欢甜食吗？」	1	{}			{}	{}					28301102	1	10404			id_pose_1		id_look_1			2	{}	1.2										{}	1.2										{}	1.2									scene/bg/bg_meishijie.png			1	-1	{}	sound/bgm/date_001.mp3									5	1					{}	{}					{}	{}		{}		
28301201	2104001	2	{}		100		「狂三的三围是多少呢？」	1	{}			{}	{}					28301202	1	10404			id_pose_1		id_look_1			2	{}	1.2										{}	1.2										{}	1.2									scene/bg/bg_meishijie.png			1	-1	{}	sound/bgm/date_001.mp3									5	1					{}	{}					{}	{}		{}		
28301301	2104001	2	{}		100		「狂三来学校之前有喜欢的人吗？」	1	{}			{}	{}					28301302	1	10404			id_pose_1		id_look_1			2	{}	1.2										{}	1.2										{}	1.2									scene/bg/bg_meishijie.png			1	-1	{}	sound/bgm/date_001.mp3									-10	1					{}	{}					{}	{}		{}		
28301102	2104001	2	{}		100	时崎狂三	「甜食吗？喜欢哦。」	1	{}			{}	{}					28301103		1			id_pose_2		id_look_2	103_eff	id_heart	2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_08.mp3								1					{}	{}					{}	{}		{}		
28301103	2104001	2	{}		100	1	「有什么特别喜欢的甜食吗？」	1	{}			{}	{}					28301104		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301104	2104001	2	{}		100	时崎狂三	「……特别喜欢的……大概是黑森林巧克力蛋糕吧。」	1	{}			{}	{}					28301105		1			id_pose_3		id_look_4	103_eff	id_heart	2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_18.mp3								1					{}	{}					{}	{}		{}		
28301105	2104001	2	{}		100	1	「巧克力蛋糕的话，面包店应该有，我们去吃吧。」	1	{}			{}	{}					28301106		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301106	2104001	2	{}		100		狂三把食指放在嘴角，仰着着头告诉我	1	{}			{}	{}					28301107		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301107	2104001	2	{}		100	时崎狂三	「我对甜食的要求可是很高的哦。」	1	{}			{}	{}					28301108		1			id_pose_4		id_look_5	103_eff	id_surprise	2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301108	2104001	2	{}		100	1	「嗯……那家店还不错的样子……我们先去看看吧。」	1	{}			{}	{}					28301109		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301109	2104001	2	{}		100	五河琴里	「你们走慢一点，我要把面包店的东西都换掉。」	1	{}			{}	{}					28301110		1								2	{}	1.2										{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}											1					{}	{}					{}	{}		{}		
28301110	2104001	2	{}		100	1	「哎？……」	1	{}			{}	{}					28301111		1								2	{}	1.2										{}	1.2										{}	1.2			1	1								1		{}											1					{}	{}					{}	{}		{}		
28301111	2104001	2	{}		100	五河琴里	「令音，去把面包店里所有食物换成高端特供！」	1	{}			{}	{}					28301112		1								2	{}	1.2										{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}											1					{}	{}					{}	{}		{}		
28301112	2104001	2	{}		100	1	「有必要这样么……」	1	{}			{}	{}					28301113		1								2	{}	1.2										{}	1.2										{}	1.2			1	1								1		{}											1					{}	{}					{}	{}		{}		
28301113	2104001	2	{}		100	五河琴里	「对付[精灵]必须谨慎……特别是“梦魇”」	1	{}			{}	{}					1028301114		1								2	{}	1.2										{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}											1					{}	{}					{}	{}		{}		
1028301114	2104001		{}					1	{}			{}	{}					28301114											{}											{}											{}										scene/bg/bg_mianbaodian.png	2		1	-1	{}																{}	{}					{}	{}		{}		
28301114	2104001	2	{}		100		我们到达面包店时，店里焕然一新。	1	{}			{}	{}					28301115		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301115	2104001	2	{}		100	时崎狂三	「很棒的一家店呢，食物看起来也很新鲜的样子。」	1	{}			{}	{}					28301116		1			id_pose_6		id_look_12	103_eff	id_heart	2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_08.mp3								1					{}	{}					{}	{}		{}		
28301116	2104001	2	{}		100		做到这个程度也仅仅只是新鲜么……	1	{}			{}	{}					28301117		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301117	2104001	2	{}		100		我走向柜台，发现店员眼睛下面有着我无比熟悉的黑眼圈。	1	{}			{}	{}					28301118		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301118	2104001	2	{}		100	1	「那个，麻烦请给我们两个黑森林蛋糕。」	1	{}			{}	{}					28301119		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301119	2104001	2	{}		100	时崎狂三	「哎？ %s 同学也喜欢吃黑森林蛋糕吗？」	1	{}			{}	{}					28401101-28401201-28401301	5	1			id_pose_10		id_look_8	103_eff	id_idea	2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_15.mp3								1					{}	{}					{}	{}		{}		
28301202	2104001	2	{}		100		狂三害羞地低下了头。	1	{}			{}	{}					28301203		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301203	2104001	2	{}		100	1	「因为……想更了解狂三同学一点，所以……」	1	{}			{}	{}					28301204		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301204	2104001	2	{}		100		我想了想，还是觉得这个问题很冒昧。	1	{}			{}	{}					28301205		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301205	2104001	2	{}		100	时崎狂三	「是这样吗？」	1	{}			{}	{}					28301206		1			id_pose_9		id_look_11			2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_20.mp3								1					{}	{}					{}	{}		{}		
28301206	2104001	2	{}		100		狂三笑得有些羞怯。	1	{}			{}	{}					28301207		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301207	2104001	2	{}		100	1	「如果不方便回答就……」	1	{}			{}	{}					28301208		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301208	2104001	2	{}		100	时崎狂三	「没关系的哦， %s 同学想知道的话。」	1	{}			{}	{}					28301209		1			id_pose_7		id_look_3	103_eff	id_heart	2	{}	1.4										{}	1.2										{}	1.2												1.3		{}			sound/role/kuangsan/KURUMI_S_16.mp3								1					{}	{}					{}	{}		{}		
28301209	2104001	2	{}		100		狂三踮起脚，凑近我耳边，轻声说了三个数字。	1	{}			{}	{}					28301210		1								2	{}	1.4										{}	1.2										{}	1.2												1.3		{}											1					{}	{}					{}	{}		{}		
28301210	2104001	2	{}		100	时崎狂三	「85，59，87。」	1	{}			{}	{}					28301211		1			id_pose_7		id_look_2			2	{}	1.4										{}	1.2										{}	1.2												1.3		{}											1					{}	{}					{}	{}		{}		
28301211	2104001	2	{}		100		我埋下头，不好意思地挠了挠后脑。	1	{}			{}	{}					28301212		1								2	{}	1.4										{}	1.2										{}	1.2												1.3		{}											1					{}	{}					{}	{}		{}		
28301212	2104001	2	{}		100	时崎狂三	「 %s 同学知道了我的秘密，可要好好补偿我哦。」	1	{}			{}	{}					28402101-28402201-28402301	5	1			id_pose_11		id_look_8	103_eff	id_heart	2	{}	1.4										{}	1.2										{}	1.2												1.3		{}			sound/role/kuangsan/KURUMI_S_17.mp3								1					{}	{}					{}	{}		{}		
28301302	2104001	2	{}		100	时崎狂三	「为什么突然问起这个？」	1	{}			{}	{}					28301303		1			id_pose_6		id_look_12	103_eff	id_surprise	2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_20.mp3								1					{}	{}					{}	{}		{}		
28301303	2104001	2	{}		100		狂三停下了脚步，转头看向我。	1	{}			{}	{}					28301304		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301304	2104001	2	{}		100	五河琴里	「好好回答哦，她的心情值刚刚下降了不少。」	1	{}			{}	{}					28301305		1								2	{}	1.2										{}	1.2										{}	1.2			effect/dianhua/dianhua	dianhua								1		{}											1					{}	{}					{}	{}		{}		
28301305	2104001	2	{}		100	1	「就是……那个……因为狂三同学很受欢迎。」	1	{}			{}	{}					28301306		1								2	{}	1.2										{}	1.2										{}	1.2			1	1								1		{}											1					{}	{}					{}	{}		{}		
28301306	2104001	2	{}		100	时崎狂三	「是吗？」	1	{}			{}	{}					28301307		1			id_pose_3		id_look_4	103_eff	id_sun	2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301307	2104001	2	{}		100	1	「嗯……那个宏人他们都很喜欢狂三，所以……」	1	{}			{}	{}					28301308		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301308	2104001	2	{}		100	时崎狂三	「所以 %s 同学吃醋了吗？」	1	{}			{}	{}					28301309		1			id_pose_4		id_look_5			2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_15.mp3								1					{}	{}					{}	{}		{}		
28301309	2104001	2	{}		100		狂三捂着嘴笑我，我的脸红了一片。	1	{}			{}	{}					28301310		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301310	2104001	2	{}		100	时崎狂三	「啊呵呵， %s 同学真像个小孩子呢。」	1	{}			{}	{}					28301311		1			id_pose_10		id_look_8			2	{}	1.2										{}	1.2										{}	1.2												1		{}			sound/role/kuangsan/KURUMI_S_05.mp3								1					{}	{}					{}	{}		{}		
28301311	2104001	2	{}		100	1	「我……不是……没有。」	1	{}			{}	{}					28301312		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301312	2104001	2	{}		100	时崎狂三	「没有哦，我来学校之前，没有交往的男生。」	1	{}			{}	{}					28301313		1			id_pose_6		id_look_5	103_eff	id_heart	2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
28301313	2104001	2	{}		100	1	「这样啊。」	1	{}			{}	{}					28301314		1								2	{}	1.2										{}	1.2										{}	1.2												1		{}											1					{}	{}					{}	{}		{}		
