	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	1-5章增加音效与BGM	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
1011048	1001	7	{}		100	五河琴里	看样子脑子没摔坏嘛。	1	{}			{}	{}					1011049		410505	3	3	Main_01_0012		0			2	{}	1.2										{}											{}															{}	sound/bgm/date_015.mp3	70		1												{}	{}					{}	{}		{}		
1011049	1001	7	{}		100	1	……那是当然的！	1	{}			{}	{}				1	1011050		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011050	1001	7	{}		100	1	话说回来，我也有一堆问题想要问你啊。	1	{}			{}	{}					1011051-1011052		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011051	1001	7	{}		100		你没事吧？遇到空间震为什么不躲开？	1	{}			{}	{}					1011053		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011052	1001	7	{}		100		这是哪儿？我为什么会在这里啊？	1	{}			{}	{}					1011053		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011053	1001	7	{}		100	五河琴里	冷静点，我会好好说明的。	1	{}			{}	{}					1011054		1			Main_01_0013		0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011054	1001	7	{}		100	1	我以为你还在餐厅门口等我……我、我很担心你啊！	1	{}			{}	{}					1011055		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011055	1001	7	{}		100	五河琴里	餐厅么？@啊，说这里是餐厅也没错呢——餐厅上方一万五千米处，天宫市的[空中]。	1	{}			{}	{}					1011056		1			Main_01_0014	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011056	1001	7	{}		100	1	空中？！那这个地方到底是……？	1	{}			{}	{}					1011057		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011057	1001	7	{}		100	五河琴里	啧，问题可真够多的啊。听好了，这里是空中舰艇Fraxinus（弗拉克西纳斯）你昏迷后，就被我回收进来了。	1	{}			{}	{}					1011058		1			Main_01_0015	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011058	1001	7	{}		100	1	昏迷啊，对了……我遇见了一个少女，她与天上飞下来的人战斗……然后，冲击波把我震晕过去了。	1	{}			{}	{}					1011059		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011059	1001	7	{}		100	五河琴里	接下来我要说的事情非常重要，好好竖着你的耳朵听清楚了。	1	{}			{}	{}					1011062		1			Main_01_0016	1	0				{}											{}											{}															{}	1	70		1												{}	{}					{}	{}		{}		
1011062	1001	7	{}		100			1	{}			{}	{}				2	1011063				3							{}											{}											{}															{}												1	1			{}	{}		video/cg_main_kongjianzhenjieshao.mp4			{}	{}		{}		
1011063	1001	7	{}		100			1	{}			{}	{}					1011064											{}											{}											{}											3				{}							date_cg_55									{}	{}					{}	{}		{}		
1011064	1001	7	{}		100	五河琴里	那家伙的识别名是[“公主”]，只要她出现在我们的世界，不管是否是她本人的意志——都会将身边一切都破坏掉。	1	{}			{}	{}					1011065											{}											{}											{}															{}	sound/bgm/date_014.mp3	70	modle/bust/sounds/DP_01_Kotori26.mp3	1												{}	{}					{}	{}		{}		
1011065	1001	7	{}		100	1	居然……那，那些穿着机甲从天空飞下来的人又是谁？	1	{}			{}	{}				2	1011067											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011067	1001	7	{}		100	五河琴里	啊~你说的应该[AST]吧。	1	{}			{}	{}					1011068											{}											{}											{}															{}			modle/bust/sounds/DP_01_Kotori28.mp3	1			date_cg_56									{}	{}					{}	{}		{}		
1011068	1001	7	{}		100	1	AST？	1	{}			{}	{}					1011069											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011069	1001	7	{}		100	五河琴里	AST是“对抗精灵部队”的简称。她们的职责就是在精灵出现的第一时间赶去“处理”她们。	1	{}			{}	{}					1011070											{}											{}											{}															{}			modle/bust/sounds/DP_01_Kotori29.mp3	1												{}	{}					{}	{}		{}		
1011070	1001	7	{}		100	1	处理……是指什么？	1	{}			{}	{}					1011071											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011071	1001	7	{}		100			1	{}			{}	{}					1011072											{}											{}											{}										scene/bg/bg_zhihuibu.png	-1			-1	{}																{}	{}					{}	{}		{}		
1011072	1001	7	{}		100		1	1	{}			{}	{}					1011073											{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
1011073	1001	7	{}		100	五河琴里	[杀掉。]	1	{}			{}	{}					1011074		410505	3		Main_01_0017	1	0			2	{}	1.2										{}											{}															{}				1												{}	{}					{}	{}		{}		
1011074	1001	7	{}		100	1	杀掉？！	1	{}			{}	{}				1	1011075		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}						sound/dating_sound/FB_eff04.mp3										{}	{}					{}	{}		{}		
1011075	1001	7	{}		100	五河琴里	狩猎、逮捕、然后[杀死]精灵,由此阻止空间震的发生,就是她们的目的。	1	{}			{}	{}					1011076-1011077-1011078		1			Main_01_0018		0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011076	1001	7	{}		100		为什么要杀掉她？	1	{}			{}	{}					1011079		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011077	1001	7	{}		100		杀掉……这太残忍了吧！	1	{}			{}	{}					1011079		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011078	1001	7	{}		100		有什么能拯救她的办法吗？	1	{}			{}	{}					1011086		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011079	1001	7	{}		100	五河琴里	奇怪么？那家伙可是怪物哦——仅仅是出现在这个世界就会引起空间震、造成巨大破坏的怪物。	1	{}			{}	{}				2	1011080		1			Main_01_0019		0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011080	1001	7	{}		100			1	{}			{}	{}					1011081		1									{}											{}											{}										scene/bg/bg_shixianghuimou.png	1		1.2	-1	{}	1	70					date_cg_3	6								{}	{}					{}	{}		{}		
1011081	1001	7	{}		100		我终于明白了那个少女为什么执着地认为我想要杀死她。	1	{}			{}	{}					1011082		1									{}											{}											{}															{}	sound/bgm/date_013.mp3	70														{}	{}					{}	{}		{}		
1011082	1001	7	{}		100		也明白了……她为什么会露出那样疲惫又悲伤的表情。	1	{}			{}	{}					1011083		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011083	1001	7	{}		100		她是我们眼中引起灾难的[怪物]，但这一切都不是她的本意！	1	{}			{}	{}					1011084		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011084	1001	7	{}		100			1	{}			{}	{}					1011085		1									{}											{}											{}										scene/bg/bg_zhihuibu.png	-1		1.2	-1	{}																{}	{}					{}	{}		{}		
1011085	1001	7	{}		100	1	琴里！有什么办法可以帮助她吗？	1	{}			{}	{}				1	1011086		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}																{}	{}					{}	{}		{}		
1011086	1001	7	{}		100	五河琴里	你只和精灵相处了短短几分钟，而且对方还打算取你的性命。难道你对她产生兴趣了么？	1	{}			{}	{}					1011087-1011088		1			Main_01_0020		0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011087	1001	7	{}		100		是的……我想要救她！	1	{}			{}	{}					1011091		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011088	1001	7	{}		100		我只是在想，有没有别的办法可以帮助她……	1	{}			{}	{}					1011089		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011089	1001	7	{}		100	五河琴里	哦？你想要救她吗？	1	{}			{}	{}					1011090		1			Main_01_0021		0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011090	1001	7	{}		100	1	如果试着好好地交谈的话……也许会有……拯救她的办法……	1	{}			{}	{}					1011091		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011091	1001	7	{}		100		琴里露出志在必得的笑容，表情仿佛在说我等着这句话很久了。	1	{}			{}	{}					1011092		1				1					{}											{}											{}															{}	sound/bgm/date_015.mp3	70														{}	{}					{}	{}		{}		
1011092	1001	7	{}		100	五河琴里	放手去做吧！我会集结Ratatoskr（拉塔托斯克）的全部力量，支援你！	1	{}			{}	{}					1011093		1			Main_01_0022	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011093	1001	7	{}		100	五河琴里	你的任务就是和精灵亲密对谈，通过浪漫的约会，打开对方的心扉,让精灵爱上你。	1	{}			{}	{}					1011094		1			Main_01_0023	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011094	1001	7	{}		100	五河琴里	最后通过接吻的方式封印她的力量就可以了。	1	{}			{}	{}					1011095		1			Main_01_0024	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011095	1001	7	{}		100	1	嗯！……哎？？什么……接吻？！\n我没听错吧……这个方法真的可行吗？	1	{}			{}	{}					1011096		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}																{}	{}					{}	{}		{}		
1011096	1001	7	{}		100	五河琴里	啊?你不相信么?	1	{}			{}	{}					1011097		1			Main_01_0025	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011097	1001	7	{}		100	五河琴里	如果没有根据我才不会说这些话。还是说你不愿意相信我？	1	{}			{}	{}					1011098		1			Main_01_0026	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011098	1001	7	{}		100	1	好……好的，我明白了。	1	{}			{}	{}					1011099		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
1011099	1001	7	{}		100	五河琴里	做好觉悟吧。从至今为止的资料来看，精灵现界最少也要一周后。	1	{}			{}	{}					1011100		1			Main_01_0027	1	0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011100	1001	7	{}		100	五河琴里	明天开始训练，详细的方法你去问令音。\n [绝 对 、绝对不许偷懒！ ]	1	{}			{}	{}					1011101		1			Main_01_0028		0				{}											{}											{}															{}				1												{}	{}					{}	{}		{}		
1011101	1001	7	{}		100		1	1	{}			{}	{}					1011102				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
1011102	1001	7	{}		100			1	{}			{}	{}				1	1011103											{}											{}											{}										scene/bg/bg_black.png	1		1.2	-1	{}												1	1			{}	{}					{}	{}		{}		
1011103	1001	7	{}		100		接下来的一周时间里，我接受了琴里[惨无人道]的训练。	1	{}			{}	{}																{}											{}											{}															{}																{"fix":{"items":[{"id":500001,"min":60,"max":60},{"id":500005,"min":6,"max":6},{"id":500016,"min":5,"max":5},{"id":510208,"min":1,"max":1},{"id":510101,"min":1,"max":1},{"id":510151,"min":1,"max":1}]}}	{}					{}	{}		{}		
1021001	1002	7	{}		100			1	{}			{}	{}					1021002											{}											{}											{}										scene/bg/bg_jiaoshi.png	1		1.3	-1	{"x":170,"y":0}												1	1			{}	{}					{}	{}		{}		
1021002	1002	7	{}		100	五河琴里	%s，刚刚发生了[空间震]预警！	1	{}			{}	{}					1021003											{}											{}											{}				effect/dianhua/dianhua	dianhua										{}	sound/bgm/date_012.mp3	70	modle/bust/sounds/DP_01_Kotori42.mp3			sound/dating_sound/dating_019.mp3										{}	{}					{}	{}		{}		
1021003	1002	7	{}		100	1	是精灵又出现了吗？	1	{}			{}	{}					1021004											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021004	1002	7	{}		100	五河琴里	唔，正好预测的出现地点是你的学校，做好准备，马上开工！	1	{}			{}	{}					1021005											{}											{}											{}				effect/dianhua/dianhua	dianhua										{}			modle/bust/sounds/DP_01_Kotori43.mp3													{}	{}					{}	{}		{}		
1021005	1002	7	{}		100	1	哎？！不会这么巧吧！	1	{}			{}	{}					1021006											{}											{}											{}		0.1-7-9-5-0.024	4												{}																{}	{}					{}	{}		{}		
1021006	1002	7	{}		100			1	{}			{}	{}					1021007											{}											{}											{}										scene/bg/bg_pohuaixuexiao.png	1		1.3	10	{"x":-137,"y":0}						sound/dating_sound/dating_008.mp3						1	1			{}	{}					{}	{}		{}		
1021007	1002	7	{}		100		小心翼翼地绕到学校后方。\n因为空间震，这里已经成为一片废墟。	1	{}			{}	{}					1021008											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021008	1002	7	{}		100		1	1	{}			{}	{}					1021009											{}											{}											{}													1.75	5	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
1021009	1002	7	{}		100			1	{}			{}	{}				2	1021010											{}											{}											{}										scene/bg/bg_black.png	1		1.2	-1	{}																{}	{}					{}	{}		{}		
1021010	1002	7	{}		100		1	1	{}			{}	{}					1021011											{}											{}											{}										scene/cg/main_cg_6.png	3			-1	{}						sound/dating_sound/dating_009.mp3	date_cg_91					1	1			{}	{}					{}	{}		{}		
1021011	1002	7	{}		100		那日在街头遇见的少女，此刻正站在我的前方。	1	{}			{}	{}				2	1021012											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021012	1002	7	{}		100		1	1	{}			{}	{}				1	1021013											{}											{}											{}										scene/cg/main_cg_6.png	3			-1	{}							date_cg_92					1	1			{}	{}					{}	{}		{}		
1021013	1002	7	{}		100	无名少女	嗯?又是你？	1	{}			{}	{}					1021014-1021015-1021016											{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka3.mp3	1							1					{}	{}					{}	{}		{}		
1021014	1002	7	{}		100		呀啊真巧！我们又见面了啊~	1	{}			{}	{}					1021019											{}											{}											{}															{}										-5	1					{}	{}					{}	{}		{}		
1021015	1002	7	{}		100		你为什么在这种地方呢？	1	{}			{}	{}					1021019											{}											{}											{}															{}										-5	1					{}	{}					{}	{}		{}		
1021016	1002	7	{}		100		这里的景色真美啊。	1	{}			{}	{}					1021019											{}											{}											{}															{}										-5	1					{}	{}					{}	{}		{}		
1021017	1002	7	{}		100		哇，居然在这里遇见了~真巧真巧！	1	{}			{}	{}					1021018											{}											{}											{}															{}										-5	1					{}	{}					{}	{}		{}		
1021018	1002	7	{}		100		你来学校，是为了见我吗？	1	{}			{}	{}					1021019											{}											{}											{}															{}										-5	1					{}	{}					{}	{}		{}		
1021019	1002	7	{}		100		我假装熟络地和那位少女打招呼，她却冷着脸，一脸防备地打量我。	1	{}			{}	{}				2	1021020											{}											{}											{}															{}											1					{}	{}					{}	{}		{}		
1021020	1002	7	{}		100		1	1	{}			{}	{}					1021021											{}											{}											{}										scene/cg/main_cg_5.png	3			-1	{}							date_cg_93					1	1			{}	{}					{}	{}		{}		
1021021	1002	7	{}		100	无名少女	你到底是什么人？	1	{}			{}	{}					1021022											{}											{}											{}															{}			modle/bust/sounds/DP_01_Tohka4.mp3	1												{}	{}					{}	{}		{}		
1021022	1002	7	{}		100		少女焦躁地说着，看我的眼神变得更加谨慎。	1	{}			{}	{}				1	1021023											{}											{}											{}															{}																{}	{}					{}	{}		{}		
1021023	1002	7	{}		100	五河琴里	做出选择吧%s！五秒之内！快一点！	1	{}			{}	{}					1021024-1021025-1021026											{}											{}											{}		0.1-7-9-5-0.024	4	effect/dianhua/dianhua	dianhua										{}			modle/bust/sounds/DP_01_Kotori44.mp3								1					{}	{}					{}	{}		{}		
1021024	1002	7	{}		100		我是来救你的啊！	1	{}			{}	{}					1021027											{}											{}											{}															{}										0	1					{}	{}					{}	{}		{}		
1021025	1002	7	{}		100		我、我只是路过的，请别杀我！	1	{}			{}	{}					1021027											{}											{}											{}															{}										-5	1					{}	{}					{}	{}		{}		
