id	任务描述	任务描述2	任务类型（1主线任务 2日常任务 3成就 4活动任务 5活跃度奖励 6七日签到 7次日奖励 8 十香活动任务）	日常任务开放等级	重置类型（1.不会重置2.每天重置）	内容类型（1.指定副本关卡 2.其他）	客户端排序	任务名称	任务名称2	icon	icon底板颜色	icon气泡颜色	颜色备注	任务类型标签（主线使用）	接取条件id（关联事件表）	接取参数	完成条件id（关联事件表）	完成参数	需要进度	完成奖励	任务描述3	跳转界面	完成结果（1.被后置任务替换。2.保留此任务，出现后置任务）	继承进度的任务id	是否开启	有效时间(单位为天，-1为永久生效）
110201	1320001	普通第2卷1-1	1		1	1	9	1310009	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110108}	9007	{"dunId":102101}	1	{500005:5,500001:200}		16	1		1	-1
110202	1320001	普通第2卷1-2	1		1	1	10	1310010	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110201}	9007	{"dunId":102102}	1	{500005:6,500001:300}		16	1		1	-1
110203	1320001	普通第2卷1-3	1		1	1	11	1310011	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110202}	9007	{"dunId":102103}	1	{500005:6,500001:300}		16	1		1	-1
110204	1320001	普通第2卷1-4	1		1	1	12	1310012	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110203}	9007	{"dunId":102104}	1	{500005:6,500001:300}		16	1		1	-1
110205	1320001	普通第2卷2-5	1		1	1	13	1310013	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110204}	9007	{"dunId":102205}	1	{500005:6,500001:300}		16	1		1	-1
110206	1320001	普通第2卷2-6	1		1	1	14	1310014	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110205}	9007	{"dunId":102206}	1	{500005:6,500001:300}		16	1		1	-1
110207	1320001	普通第2卷2-7	1		1	1	15	1310015	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110206}	9007	{"dunId":102207}	1	{500005:6,500001:300}		16	1		1	-1
110208	1320001	普通第2卷2-8	1		1	1	16	1310016	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110206}	9007	{"dunId":102208}	1	{500005:6,500001:300}		16	1		1	-1
110209	1320001	普通第2卷3-9	1		1	1	17	1310017	手偶少女	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330001	10001	{"pre_task_id":110208}	9007	{"dunId":102309}	1	{500005:6,500001:300}		16	1		1	-1
110210	1320001	普通第2卷3-10	1		1	1	18	1310018	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}	红色	1330001	10001	{"pre_task_id":110209}	9007	{"dunId":102310}	1	{500005:6,500001:300}		16	1		1	-1
110211	1320001	普通第2卷3-11	1		1	1	19	1310019	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110209}	9007	{"dunId":102311}	1	{500005:6,500001:300}		16	1		1	-1
110212	1320001	普通第2卷3-12	1		1	1	20	1310020	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110210}	9007	{"dunId":102312}	1	{500005:6,500001:300}		16	1		1	-1
110213	1320001	普通第2卷3-13	1		1	1	21	1310021	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110212}	9007	{"dunId":102313}	1	{500005:6,500001:300}		16	1		1	-1
110214	1320001	普通第2卷3-14	1		1	1	22	1310022	手偶少女	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110213}	9007	{"dunId":102314}	1	{500005:6,500001:300}		16	1		1	-1
110301	1320001	普通第3卷1-1	1		1	1	23	1310023	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110214}	9007	{"dunId":103101}	1	{500005:6,500001:300}		16	1		1	-1
110302	1320001	普通第3卷1-2	1		1	1	24	1310024	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110301}	9007	{"dunId":103102}	1	{500005:7,500001:400}		16	1		1	-1
110303	1320001	普通第3卷1-3	1		1	1	25	1310025	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110302}	9007	{"dunId":103103}	1	{500005:7,500001:400}		16	1		1	-1
110304	1320001	普通第3卷1-4	1		1	1	26	1310026	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110302}	9007	{"dunId":103104}	1	{500005:7,500001:400}		16	1		1	-1
110305	1320001	普通第3卷1-5	1		1	1	27	1310027	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110304}	9007	{"dunId":103105}	1	{500005:7,500001:400}		16	1		1	-1
110306	1320001	普通第3卷1-6	1		1	1	28	1310028	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110304}	9007	{"dunId":103106}	1	{500005:7,500001:400}		16	1		1	-1
110307	1320001	普通第3卷2-7	1		1	1	29	1310029	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110306}	9007	{"dunId":103207}	1	{500005:7,500001:400}		16	1		1	-1
110308	1320001	普通第3卷2-8	1		1	1	30	1310030	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110307}	9007	{"dunId":103208}	1	{500005:7,500001:400}		16	1		1	-1
110309	1320001	普通第3卷2-9	1		1	1	31	1310031	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110308}	9007	{"dunId":103209}	1	{500005:7,500001:400}		16	1		1	-1
110310	1320001	普通第3卷2-10	1		1	1	32	1310032	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110309}	9007	{"dunId":103210}	1	{500005:7,500001:400}		16	1		1	-1
110311	1320001	普通第3卷2-11	1		1	1	33	1310033	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110310}	9007	{"dunId":103211}	1	{500005:7,500001:400}		16	1		1	-1
110312	1320001	普通第3卷3-12	1		1	1	34	1310034	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110311}	9007	{"dunId":103312}	1	{500005:7,500001:400}		16	1		1	-1
110313	1320001	普通第3卷3-13	1		1	1	35	1310035	杀手狂三	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330001	10001	{"pre_task_id":110311}	9007	{"dunId":103313}	1	{500005:7,500001:400}		16	1		1	-1
110314	1320001	普通第3卷3-14	1		1	1	36	1310036	杀手狂三	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110311}	9007	{"dunId":103314}	1	{500005:7,500001:400}		16	1		1	-1
110315	1320001	普通第3卷3-15	1		1	1	37	1310037	杀手狂三	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110312}	9007	{"dunId":103315}	1	{500005:7,500001:400}		16	1		1	-1
110316	1320001	普通第3卷3-16	1		1	1	38	1310038	杀手狂三	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110315}	9007	{"dunId":103316}	1	{500005:7,500001:400}		16	1		1	-1
110401	1320001	普通第4卷1-1	1		1	1	39	1310039	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110316}	9007	{"dunId":104101}	1	{500005:7,500001:400}		16	1		1	-1
110402	1320001	普通第4卷1-2	1		1	1	40	1310040	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110401}	9007	{"dunId":104102}	1	{500005:8,500001:500}		16	1		1	-1
110403	1320001	普通第4卷1-3	1		1	1	41	1310041	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110402}	9007	{"dunId":104103}	1	{500005:8,500001:500}		16	1		1	-1
110404	1320001	普通第4卷1-4	1		1	1	42	1310042	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110403}	9007	{"dunId":104104}	1	{500005:8,500001:500}		16	1		1	-1
110405	1320001	普通第4卷1-5	1		1	1	43	1310043	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110404}	9007	{"dunId":104105}	1	{500005:8,500001:500}		16	1		1	-1
110406	1320001	普通第4卷2-6	1		1	1	44	1310044	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110405}	9007	{"dunId":104206}	1	{500005:8,500001:500}		16	1		1	-1
110407	1320001	普通第4卷2-7	1		1	1	45	1310045	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110406}	9007	{"dunId":104207}	1	{500005:8,500001:500}		16	1		1	-1
110408	1320001	普通第4卷2-8	1		1	1	46	1310046	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110407}	9007	{"dunId":104208}	1	{500005:8,500001:500}		16	1		1	-1
110409	1320001	普通第4卷2-9	1		1	1	47	1310047	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110407}	9007	{"dunId":104209}	1	{500005:8,500001:500}		16	1		1	-1
110410	1320001	普通第4卷2-10	1		1	1	48	1310048	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110409}	9007	{"dunId":104210}	1	{500005:8,500001:500}		16	1		1	-1
110411	1320001	普通第4卷2-11	1		1	1	49	1310049	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110409}	9007	{"dunId":104211}	1	{500005:8,500001:500}		16	1		1	-1
110412	1320001	普通第4卷3-12	1		1	1	50	1310050	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110411}	9007	{"dunId":104312}	1	{500005:8,500001:500}		16	1		1	-1
110413	1320001	普通第4卷3-13	1		1	1	51	1310051	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110412}	9007	{"dunId":104313}	1	{500005:8,500001:500}		16	1		1	-1
110414	1320001	普通第4卷3-14	1		1	1	52	1310052	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110413}	9007	{"dunId":104314}	1	{500005:8,500001:500}		16	1		1	-1
110415	1320001	普通第4卷3-15	1		1	1	53	1310053	五河妹妹	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1330001	10001	{"pre_task_id":110414}	9007	{"dunId":104315}	1	{500005:8,500001:500}		16	1		1	-1
110501	1320001	普通第5卷1-1	1		1	1	54	1310054	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}	橙色	1330001	10001	{"pre_task_id":110415}	9007	{"dunId":105101}	1	{500005:8,500001:500}		16	1		1	-1
110502	1320001	普通第5卷1-2	1		1	1	55	1310055	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110501}	9007	{"dunId":105102}	1	{500005:9,500001:600}		16	1		1	-1
110503	1320001	普通第5卷1-3	1		1	1	56	1310056	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110502}	9007	{"dunId":105103}	1	{500005:9,500001:600}		16	1		1	-1
110504	1320001	普通第5卷1-4	1		1	1	57	1310057	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110503}	9007	{"dunId":105104}	1	{500005:9,500001:600}		16	1		1	-1
110505	1320001	普通第5卷1-5	1		1	1	58	1310058	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110504}	9007	{"dunId":105105}	1	{500005:9,500001:600}		16	1		1	-1
110506	1320001	普通第5卷2-6	1		1	1	59	1310059	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110505}	9007	{"dunId":105206}	1	{500005:9,500001:600}		16	1		1	-1
110507	1320001	普通第5卷2-7	1		1	1	60	1310060	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110506}	9007	{"dunId":105207}	1	{500005:9,500001:600}		16	1		1	-1
110508	1320001	普通第5卷2-8	1		1	1	61	1310061	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110507}	9007	{"dunId":105208}	1	{500005:9,500001:600}		16	1		1	-1
110509	1320001	普通第5卷2-9	1		1	1	62	1310062	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110508}	9007	{"dunId":105209}	1	{500005:9,500001:600}		16	1		1	-1
110510	1320001	普通第5卷2-10	1		1	1	63	1310063	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110509}	9007	{"dunId":105210}	1	{500005:9,500001:600}		16	1		0	-1
110511	1320001	普通第5卷3-11	1		1	1	64	1310064	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110509}	9007	{"dunId":105311}	1	{500005:9,500001:600}		16	1		1	-1
110512	1320001	普通第5卷3-12	1		1	1	65	1310065	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110511}	9007	{"dunId":105312}	1	{500005:9,500001:600}		16	1		1	-1
110513	1320001	普通第5卷3-13	1		1	1	66	1310066	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110512}	9007	{"dunId":105313}	1	{500005:9,500001:600}		16	1		0	-1
110514	1320001	普通第5卷3-14	1		1	1	67	1310067	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110512}	9007	{"dunId":105314}	1	{500005:9,500001:600}		16	1		1	-1
110515	1320001	普通第5卷3-15	1		1	1	68	1310068	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110514}	9007	{"dunId":105315}	1	{500005:9,500001:600}		16	1		1	-1
110516	1320001	普通第5卷3-16	1		1	1	69	1310069	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110515}	9007	{"dunId":105316}	1	{500005:9,500001:600}		16	1		1	-1
110517	1320001	普通第5卷4-17	1		1	1	70	1310070	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110516}	9007	{"dunId":105417}	1	{500005:9,500001:600}		16	1		1	-1
110518	1320001	普通第5卷4-18	1		1	1	71	1310071	暴风者八舞	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1330001	10001	{"pre_task_id":110517}	9007	{"dunId":105418}	1	{500005:9,500001:600}		16	1		1	-1
110519	1320001	普通第5卷4-19	1		1	1	72	1310072	暴风者八舞	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1330002	10001	{"pre_task_id":110518}	9007	{"dunId":105419}	1	{500005:9,500001:600}		16	1		1	-1
110520	1320001	普通第5卷4-20	1		1	1	73	1310073	暴风者八舞	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1330002	10001	{"pre_task_id":110519}	9007	{"dunId":105420}	1	{500005:9,500001:600}		16	1		1	-1
110521	1320001	普通第5卷4-21	1		1	1	74	1310074	暴风者八舞	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1330002	10001	{"pre_task_id":110520}	9007	{"dunId":105421}	1	{500005:9,500001:600}		16	1		1	-1
110601	1320001	普通第6卷1-1	1		1	1	75	1310075	百合美九	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1330002	10001	{"pre_task_id":110521}	9007	{"dunId":106101}	1	{500005:9,500001:600}		16	1		0	-1
110602	1320001	普通第6卷1-2	1		1	1	76	1310076	百合美九	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1330002	10001	{"pre_task_id":110601}	9007	{"dunId":106102}	1	{500005:10,500001:700}		16	1		0	-1
110603	1320001	普通第6卷1-3	1		1	1	77	1310077	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330002	10001	{"pre_task_id":110602}	9007	{"dunId":106103}	1	{500005:10,500001:700}		16	1		0	-1
110604	1320001	普通第6卷1-4	1		1	1	78	1310078	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330002	10001	{"pre_task_id":110602}	9007	{"dunId":106104}	1	{500005:10,500001:700}		16	1		0	-1
110605	1320001	普通第6卷1-5	1		1	1	79	1310079	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330002	10001	{"pre_task_id":110604}	9007	{"dunId":106105}	1	{500005:10,500001:700}		16	1		0	-1
110606	1320001	普通第6卷1-6	1		1	1	80	1310080	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330002	10001	{"pre_task_id":110605}	9007	{"dunId":106106}	1	{500005:10,500001:700}		16	1		0	-1
110607	1320001	普通第6卷2-7	1		1	1	81	1310081	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330002	10001	{"pre_task_id":110606}	9007	{"dunId":106207}	1	{500005:10,500001:700}		16	1		0	-1
110608	1320001	普通第6卷2-8	1		1	1	82	1310082	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330002	10001	{"pre_task_id":110607}	9007	{"dunId":106208}	1	{500005:10,500001:700}		16	1		0	-1
110609	1320001	普通第6卷2-9	1		1	1	83	1310083	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330002	10001	{"pre_task_id":110608}	9007	{"dunId":106209}	1	{500005:10,500001:700}		16	1		0	-1
110610	1320001	普通第6卷2-10	1		1	1	84	1310084	百合美九	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1330002	10001	{"pre_task_id":110609}	9007	{"dunId":106210}	1	{500005:10,500001:700}		16	1		0	-1
110611	1320001	普通第6卷2-11	1		1	1	85	1310085	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330002	10001	{"pre_task_id":110609}	9007	{"dunId":106211}	1	{500005:10,500001:700}		16	1		0	-1
110612	1320001	普通第6卷2-12	1		1	1	86	1310086	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330002	10001	{"pre_task_id":110611}	9007	{"dunId":106212}	1	{500005:10,500001:700}		16	1		0	-1
110613	1320001	普通第6卷3-13	1		1	1	87	1310087	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330002	10001	{"pre_task_id":110612}	9007	{"dunId":106313}	1	{500005:10,500001:700}		16	1		0	-1
110614	1320001	普通第6卷3-14	1		1	1	88	1310088	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330002	10001	{"pre_task_id":110613}	9007	{"dunId":106314}	1	{500005:10,500001:700}		16	1		0	-1
110615	1320001	普通第6卷3-15	1		1	1	89	1310089	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330002	10001	{"pre_task_id":110613}	9007	{"dunId":106315}	1	{500005:10,500001:700}		16	1		0	-1
110616	1320001	普通第6卷3-16	1		1	1	90	1310090	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330002	10001	{"pre_task_id":110615}	9007	{"dunId":106316}	1	{500005:10,500001:700}		16	1		0	-1
110617	1320001	普通第6卷3-17	1		1	1	91	1310091	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330002	10001	{"pre_task_id":110616}	9007	{"dunId":106317}	1	{500005:10,500001:700}		16	1		0	-1
110618	1320001	普通第6卷3-18	1		1	1	92	1310092	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1330002	10001	{"pre_task_id":110617}	9007	{"dunId":106318}	1	{500005:10,500001:700}		16	1		0	-1
