id	角色（策划用）	角色形态	动画资源名	动作名	程序动作	特效触发帧	特效挂点	上层特效资源	上层特效动作	下层特效资源	下层特效动作
63	反转十香	1	fight_10103	float	float						
64	反转十香	1	fight_10103	floathurt	floathurt						
65	反转十香	1	fight_10103	floor	floor						
66	反转十香	1	fight_10103	hurt1	hurt1						
67	反转十香	1	fight_10103	hurt2	hurt2						
68	反转十香	1	fight_10103	move	move						
69	反转十香	1	fight_10103	walk	walk						
70	反转十香	1	fight_10103	retreat	retreat						
71	反转十香	1	fight_10103	dodge	quickmove						
72	反转十香	1	fight_10103	stand	stand						
73	反转十香	1	fight_10103	standup	standup						
74	反转十香	1	fight_10103	standup	floorRelive						
75	反转十香	1	fight_10103	standup	kneelRelive						
76	反转十香	1	fight_10103	win	win						
77	反转十香	2	fight_10103	Pdeparture	departure						
78	反转十香	2	fight_10103	Pdie1	die1						
79	反转十香	2	fight_10103	Pdie2	die2						
80	反转十香	2	fight_10103	Pfloat	float						
81	反转十香	2	fight_10103	Pfloathurt	floathurt						
82	反转十香	2	fight_10103	Pfloor	floor						
83	反转十香	2	fight_10103	Phurt1	hurt1						
84	反转十香	2	fight_10103	Phurt3	hurt2						
85	反转十香	2	fight_10103	Pmove	move						
86	反转十香	2	fight_10103	Pwalk	walk						
87	反转十香	2	fight_10103	Pretreat	retreat						
88	反转十香	2	fight_10103	Pdodge	quickmove						
89	反转十香	2	fight_10103	Pstand	stand						
90	反转十香	2	fight_10103	Pstandup	standup						
91	反转十香	2	fight_10103	Pstandup	floorRelive						
92	反转十香	2	fight_10103	Pstandup	kneelRelive						
93	反转十香	2	fight_10103	win	win						
94	鸢一折纸	1	fight_10201	born	born	effect0	root	effects_10201_born	effects_10201_born		
95	鸢一折纸	1	fight_10201	departure	departure						
96	鸢一折纸	1	fight_10201	die1	die1						
97	鸢一折纸	1	fight_10201	die2	die2						
98	鸢一折纸	1	fight_10201	entrance	entrance						
99	鸢一折纸	1	fight_10201	float	float						
100	鸢一折纸	1	fight_10201	floathurt	floathurt						
101	鸢一折纸	1	fight_10201	floor	floor						
102	鸢一折纸	1	fight_10201	hurt1	hurt1						
103	鸢一折纸	1	fight_10201	hurt2	hurt2						
104	鸢一折纸	1	fight_10201	hurt3	hurt3						
105	鸢一折纸	1	fight_10201	move	move						
106	鸢一折纸	1	fight_10201	walk	walk						
107	鸢一折纸	1	fight_10201	retreat	retreat						
108	鸢一折纸	1	fight_10201	quickmove	quickmove						
109	鸢一折纸	1	fight_10201	stand	stand						
110	鸢一折纸	1	fight_10201	standup	standup						
111	鸢一折纸	1	fight_10201	standup	floorRelive						
112	鸢一折纸	1	fight_10201	standup	kneelRelive						
113	鸢一折纸	1	fight_10201	win	win	effect0	root	effects_10201_win	win		
114	四糸乃	1	fight_10301	born	born						
115	四糸乃	1	fight_10301	departure	departure						
116	四糸乃	1	fight_10301	die1	die1						
117	四糸乃	1	fight_10301	die2	die2						
118	四糸乃	1	fight_10301	entrance	entrance						
119	四糸乃	1	fight_10301	float	float						
120	四糸乃	1	fight_10301	floathurt	floathurt						
121	四糸乃	1	fight_10301	flip	floor						
122	四糸乃	1	fight_10301	hurt1	hurt1						
123	四糸乃	1	fight_10301	hurt2	hurt2						
124	四糸乃	1	fight_10301	move	move						
125	四糸乃	1	fight_10301	walk	walk						
126	四糸乃	1	fight_10301	retreat	retreat						
127	四糸乃	1	fight_10301	quickmove	quickmove						
128	四糸乃	1	fight_10301	stand	stand						
129	四糸乃	1	fight_10301	standup	standup						
130	四糸乃	1	fight_10301	standup	floorRelive						
131	四糸乃	1	fight_10301	standup	kneelRelive						
132	四糸乃	1	fight_10301	win	win						
133	时崎狂三	1	fight_10401	born	born	effect0	root	effects_10401_born	up	effects_10401_born	down
134	时崎狂三	1	fight_10401	departure	departure						
135	时崎狂三	1	fight_10401	die1	die1						
136	时崎狂三	1	fight_10401	die2	die2						
137	时崎狂三	1	fight_10401	entrance	entrance						
138	时崎狂三	1	fight_10401	float	float						
139	时崎狂三	1	fight_10401	floathurt	floathurt						
140	时崎狂三	1	fight_10401	floor	floor						
141	时崎狂三	1	fight_10401	hurt1	hurt1						
142	时崎狂三	1	fight_10401	hurt2	hurt2						
143	时崎狂三	1	fight_10401	move	move						
144	时崎狂三	1	fight_10401	move7	walk						
145	时崎狂三	1	fight_10401	move8	retreat						
146	时崎狂三	1	fight_10401	quickmove	quickmove						
147	时崎狂三	1	fight_10401	stand	stand						
148	时崎狂三	1	fight_10401	standup	standup						
149	时崎狂三	1	fight_10401	standup	floorRelive						
150	时崎狂三	1	fight_10401	standup	kneelRelive						
151	时崎狂三	1	fight_10401	win	win						
152	时崎狂三（哥特服）	1	fight_10403	born	born	effect0	root	effects_10401_born	up	effects_10401_born	down
153	时崎狂三（哥特服）	1	fight_10403	departure	departure						
154	时崎狂三（哥特服）	1	fight_10403	die1	die1						
155	时崎狂三（哥特服）	1	fight_10403	die2	die2						
156	时崎狂三（哥特服）	1	fight_10403	entrance	entrance						
157	时崎狂三（哥特服）	1	fight_10403	float	float						
158	时崎狂三（哥特服）	1	fight_10403	floathurt	floathurt						
159	时崎狂三（哥特服）	1	fight_10403	flip	floor						
160	时崎狂三（哥特服）	1	fight_10403	hurt1	hurt1						
161	时崎狂三（哥特服）	1	fight_10403	hurt2	hurt2						
162	时崎狂三（哥特服）	1	fight_10403	move	move						
163	时崎狂三（哥特服）	1	fight_10403	move7	walk						
164	时崎狂三（哥特服）	1	fight_10403	move8	retreat						
165	时崎狂三（哥特服）	1	fight_10403	quickmove	quickmove						
166	时崎狂三（哥特服）	1	fight_10403	stand	stand						
167	时崎狂三（哥特服）	1	fight_10403	standup	standup						
168	时崎狂三（哥特服）	1	fight_10403	standup	floorRelive						
169	时崎狂三（哥特服）	1	fight_10403	standup	kneelRelive						
170	时崎狂三（哥特服）	1	fight_10403	win	win						
171	五河琴里	1	fight_10501	born	born						
172	五河琴里	1	fight_10501	departure	departure						
173	五河琴里	1	fight_10501	die1	die1						
174	五河琴里	1	fight_10501	die2	die2						
175	五河琴里	1	fight_10501	entrance	entrance						
176	五河琴里	1	fight_10501	float	float						
177	五河琴里	1	fight_10501	floathurt	floathurt						
178	五河琴里	1	fight_10501	flip	floor						
179	五河琴里	1	fight_10501	hurt1	hurt1						
180	五河琴里	1	fight_10501	hurt2	hurt2						
181	五河琴里	1	fight_10501	move	move						
182	五河琴里	1	fight_10501	walk	walk						
183	五河琴里	1	fight_10501	retreat	retreat						
184	五河琴里	1	fight_10501	quickmove	quickmove						
185	五河琴里	1	fight_10501	stand	stand						
186	五河琴里	1	fight_10501	standup	standup						
187	五河琴里	1	fight_10501	floorRelive	floorRelive						
188	五河琴里	1	fight_10501	kneelRelive	kneelRelive						
189	五河琴里	1	fight_10501	win	win						
190	五河琴里	2	fight_10501	Pdeparture	departure						
191	五河琴里	2	fight_10501	Pdie1	die1						
192	五河琴里	2	fight_10501	Pdie2	die2						
193	五河琴里	2	fight_10501	Pfloat	float						
194	五河琴里	2	fight_10501	Pfloathurt	floathurt						
195	五河琴里	2	fight_10501	Pflip	floor						
196	五河琴里	2	fight_10501	Phurt1	hurt1						
197	五河琴里	2	fight_10501	Phurt2	hurt2						
198	五河琴里	2	fight_10501	Pmove	move						
199	五河琴里	2	fight_10501	Pwalk	walk						
200	五河琴里	2	fight_10501	Pretreat	retreat						
201	五河琴里	2	fight_10501	Pdodge	quickmove						
202	五河琴里	2	fight_10501	Pstand	stand						
203	五河琴里	2	fight_10501	Pstandup	standup						
204	五河琴里	2	fight_10501	PfloorRelive	floorRelive						
205	五河琴里	2	fight_10501	PkneelRelive	kneelRelive						
206	五河琴里	2	fight_10501	Pwin	win						
207	DEM崇宫真那	1	fight_10601	born	born						
208	DEM崇宫真那	1	fight_10601	departure	departure						
209	DEM崇宫真那	1	fight_10601	die1	die1						
210	DEM崇宫真那	1	fight_10601	die2	die2						
211	DEM崇宫真那	1	fight_10601	entrance	entrance						
212	DEM崇宫真那	1	fight_10601	float	float						
213	DEM崇宫真那	1	fight_10601	floathurt	floathurt						
214	DEM崇宫真那	1	fight_10601	floor	floor						
215	DEM崇宫真那	1	fight_10601	hurt1	hurt1						
216	DEM崇宫真那	1	fight_10601	hurt2	hurt2						
217	DEM崇宫真那	1	fight_10601	move	move						
218	DEM崇宫真那	1	fight_10601	move1	walk						
219	DEM崇宫真那	1	fight_10601	move2	retreat						
220	DEM崇宫真那	1	fight_10601	quickmove	quickmove						
221	DEM崇宫真那	1	fight_10601	stand	stand						
222	DEM崇宫真那	1	fight_10601	standup	standup						
223	DEM崇宫真那	1	fight_10601	standup	floorRelive						
224	DEM崇宫真那	1	fight_10601	standup	kneelRelive						
225	DEM崇宫真那	1	fight_10601	win	win						
226	猫娘崇宫真那	1	fight_10603	born	born						
227	猫娘崇宫真那	1	fight_10603	departure	departure						
228	猫娘崇宫真那	1	fight_10603	die1	die1						
229	猫娘崇宫真那	1	fight_10603	die2	die2						
230	猫娘崇宫真那	1	fight_10603	entrance	entrance						
231	猫娘崇宫真那	1	fight_10603	float	float						
232	猫娘崇宫真那	1	fight_10603	floathurt	floathurt						
233	猫娘崇宫真那	1	fight_10603	floor	floor						
234	猫娘崇宫真那	1	fight_10603	hurt1	hurt1						
235	猫娘崇宫真那	1	fight_10603	hurt2	hurt2						
236	猫娘崇宫真那	1	fight_10603	move	move						
237	猫娘崇宫真那	1	fight_10603	move1	walk						
238	猫娘崇宫真那	1	fight_10603	move2	retreat						
239	猫娘崇宫真那	1	fight_10603	quickmove	quickmove						
240	猫娘崇宫真那	1	fight_10603	stand	stand						
241	猫娘崇宫真那	1	fight_10603	standup	standup						
242	猫娘崇宫真那	1	fight_10603	standup	floorRelive						
243	猫娘崇宫真那	1	fight_10603	standup	kneelRelive						
244	猫娘崇宫真那	1	fight_10603	win	win						
245	八舞耶俱矢	1	fight_10701	born	born	effect0	root	effects_10701_born	animation		
246	八舞耶俱矢	1	fight_10701	departure	departure						
247	八舞耶俱矢	1	fight_10701	die1	die1						
248	八舞耶俱矢	1	fight_10701	die2	die2						
249	八舞耶俱矢	1	fight_10701	entrance	entrance						
250	八舞耶俱矢	1	fight_10701	float	float						
251	八舞耶俱矢	1	fight_10701	floathurt	floathurt						
252	八舞耶俱矢	1	fight_10701	flip	floor						
253	八舞耶俱矢	1	fight_10701	hurt1	hurt1						
254	八舞耶俱矢	1	fight_10701	hurt2	hurt2						
255	八舞耶俱矢	1	fight_10701	move	move						
256	八舞耶俱矢	1	fight_10701	walk	walk						
257	八舞耶俱矢	1	fight_10701	retreat	retreat						
258	八舞耶俱矢	1	fight_10701	quickmove	quickmove						
259	八舞耶俱矢	1	fight_10701	stand	stand						
260	八舞耶俱矢	1	fight_10701	standup	standup						
261	八舞耶俱矢	1	fight_10701	standup	floorRelive						
262	八舞耶俱矢	1	fight_10701	standup	kneelRelive						
263	八舞耶俱矢	1	fight_10701	win	win						
264	八舞夕弦	1	fight_10801	born	born	effect0	root	effects_10801_win	effects_10801_win		
265	八舞夕弦	1	fight_10801	departure	departure						
266	八舞夕弦	1	fight_10801	die1	die1						
267	八舞夕弦	1	fight_10801	die2	die2						
268	八舞夕弦	1	fight_10801	entrance	entrance						
269	八舞夕弦	1	fight_10801	float	float						
270	八舞夕弦	1	fight_10801	floathurt	floathurt						
271	八舞夕弦	1	fight_10801	flip	floor						
272	八舞夕弦	1	fight_10801	hurt1	hurt1						
273	八舞夕弦	1	fight_10801	hurt2	hurt2						
274	八舞夕弦	1	fight_10801	move	move						
275	八舞夕弦	1	fight_10801	walk	walk						
276	八舞夕弦	1	fight_10801	retreat	retreat						
277	八舞夕弦	1	fight_10801	quickmove	quickmove						
278	八舞夕弦	1	fight_10801	stand	stand						
279	八舞夕弦	1	fight_10801	standup	standup						
280	八舞夕弦	1	fight_10801	standup	floorRelive						
281	八舞夕弦	1	fight_10801	standup	kneelRelive						
282	八舞夕弦	1	fight_10801	win	win						
283	爱莲	1	fight_10901	born	born	effect0		effects_10901_born	born		
284	爱莲	1	fight_10901	departure	departure						
285	爱莲	1	fight_10901	die1	die1						
286	爱莲	1	fight_10901	die2	die2						
287	爱莲	1	fight_10901	born	entrance						
288	爱莲	1	fight_10901	float	float						
289	爱莲	1	fight_10901	floathurt	floathurt						
290	爱莲	1	fight_10901	flip	floor						
291	爱莲	1	fight_10901	hurt1	hurt1						
292	爱莲	1	fight_10901	hurt2	hurt2						
293	爱莲	1	fight_10901	move	move						
294	爱莲	1	fight_10901	walk	walk						
295	爱莲	1	fight_10901	retreat	retreat						
296	爱莲	1	fight_10901	quickmove	quickmove						
297	爱莲	1	fight_10901	stand	stand						
298	爱莲	1	fight_10901	standup	standup						
299	爱莲	1	fight_10901	standup	floorRelive						
300	爱莲	1	fight_10901	standup	kneelRelive						
301	爱莲	1	fight_10901	win	win						
302	诱宵美九	1	fight_11001	born	born	effect0	root	effects_11001_born	effects_11001_born		
303	诱宵美九	1	fight_11001	entrance	departure						
304	诱宵美九	1	fight_11001	die1	die1						
305	诱宵美九	1	fight_11001	die2	die2						
306	诱宵美九	1	fight_11001	entrance	entrance						
307	诱宵美九	1	fight_11001	float	float						
308	诱宵美九	1	fight_11001	floathurt	floathurt						
309	诱宵美九	1	fight_11001	floor	floor						
310	诱宵美九	1	fight_11001	hurt1	hurt1						
311	诱宵美九	1	fight_11001	hurt2	hurt2						
312	诱宵美九	1	fight_11001	move	move						
313	诱宵美九	1	fight_11001	move1	walk						
314	诱宵美九	1	fight_11001	move2	retreat						
315	诱宵美九	1	fight_11001	quickmove	quickmove						
316	诱宵美九	1	fight_11001	stand	stand						
317	诱宵美九	1	fight_11001	standup	standup						
318	诱宵美九	1	fight_11001	standup	floorRelive						
319	诱宵美九	1	fight_11001	standup	kneelRelive						
320	诱宵美九	1	fight_11001	win	win	effect0	root	effects_11001_win	effects_11001_win		
321	近战AST小怪：出生	1	fight_20101	born	born						
322	近战AST小怪：倒地死亡	1	fight_20101	die1	die1						
323	近战AST小怪：瘫痪	1	fight_20101	die2	die2						
324	近战AST小怪：浮空	1	fight_20101	float	float						
325	近战AST小怪：浮空受击	1	fight_20101	floathurt	floathurt						
326	近战AST小怪：倒地+倒地弹起	1	fight_20101	floor	floor						
327	近战AST小怪：地面受击1	1	fight_20101	hurt1	hurt1						
328	近战AST小怪：地面受击2	1	fight_20101	hurt2	hurt2						
329	近战AST小怪：冰冻动作	1	fight_20101	hurt3	hurt3						
330	近战AST小怪	1	fight_20101	move	move						
331	近战AST小怪	1	fight_20101	stand	stand						
332	近战AST小怪	1	fight_20101	standup	standup						
333	近战AST小怪：走路动作	1	fight_20101	move1	walk						
334	近战AST小怪：后退动作	1	fight_20101	move2	retreat						
335	撞击关卡近战AST小怪	1	fight_20101	move	move						
336	撞击关卡近战AST小怪	1	fight_20101	zhuangfei	die						
337	远程AST小怪	1	fight_20201	born	born						
338	远程AST小怪	1	fight_20201	die1	die1						
339	远程AST小怪	1	fight_20201	die2	die2						
340	远程AST小怪	1	fight_20201	float	float						
341	远程AST小怪	1	fight_20201	floathurt	floathurt						
342	远程AST小怪	1	fight_20201	floor	floor						
343	远程AST小怪	1	fight_20201	hurt1	hurt1						
344	远程AST小怪	1	fight_20201	hurt2	hurt2						
345	远程AST小怪	1	fight_20201	hurt3	hurt3						
346	远程AST小怪	1	fight_20201	move	move						
347	远程AST小怪	1	fight_20201	stand	stand						
348	远程AST小怪	1	fight_20201	standup	standup						
349	远程AST小怪	1	fight_20201	walk	walk						
350	远程AST小怪	1	fight_20201	retreat	retreat						
351	综合AST小怪	1	fight_20301	born	born						
352	综合AST小怪	1	fight_20301	die1	die1						
353	综合AST小怪	1	fight_20301	die2	die2						
354	综合AST小怪	1	fight_20301	float	float						
355	综合AST小怪	1	fight_20301	floathurt	floathurt						
356	综合AST小怪	1	fight_20301	flip	floor						
357	综合AST小怪	1	fight_20301	hurt1	hurt1						
358	综合AST小怪	1	fight_20301	hurt2	hurt2						
359	综合AST小怪	1	fight_20301	hurt3	hurt3						
360	综合AST小怪	1	fight_20301	move	move						
361	综合AST小怪	1	fight_20301	stand	stand						
362	综合AST小怪	1	fight_20301	standup	standup						
363	综合AST小怪	1	fight_20301	walk	walk						
364	综合AST小怪	1	fight_20301	retreat	retreat						
365	高阶近战AST小怪	1	fight_20401	born	born						
366	高阶近战AST小怪	1	fight_20401	die1	die1						
367	高阶近战AST小怪	1	fight_20401	die2	die2						
368	高阶近战AST小怪	1	fight_20401	float	float						
369	高阶近战AST小怪	1	fight_20401	floathurt	floathurt						
370	高阶近战AST小怪	1	fight_20401	flip	floor						
371	高阶近战AST小怪	1	fight_20401	hurt1	hurt1						
372	高阶近战AST小怪	1	fight_20401	hurt2	hurt2						
373	高阶近战AST小怪	1	fight_20401	hurt3	hurt3						
374	高阶近战AST小怪	1	fight_20401	move	move						
375	高阶近战AST小怪	1	fight_20401	stand	stand						
376	高阶近战AST小怪	1	fight_20401	standup	standup						
377	高阶近战AST小怪	1	fight_20401	walk	walk						
378	高阶近战AST小怪	1	fight_20401	retreat	retreat						
379	高阶远程AST小怪	1	fight_20501	born	born						
380	高阶远程AST小怪	1	fight_20501	die1	die1						
381	高阶远程AST小怪	1	fight_20501	die2	die2						
382	高阶远程AST小怪	1	fight_20501	float	float						
383	高阶远程AST小怪	1	fight_20501	floathurt	floathurt						
384	高阶远程AST小怪	1	fight_20501	flip	floor						
385	高阶远程AST小怪	1	fight_20501	hurt1	hurt1						
386	高阶远程AST小怪	1	fight_20501	hurt2	hurt2						
387	高阶远程AST小怪	1	fight_20501	hurt3	hurt3						
388	高阶远程AST小怪	1	fight_20501	move	move						
389	高阶远程AST小怪	1	fight_20501	stand	stand						
390	高阶远程AST小怪	1	fight_20501	standup	standup						
391	高阶远程AST小怪	1	fight_20501	walk	walk						
392	高阶远程AST小怪	1	fight_20501	retreat	retreat						
393	高阶综合AST小怪	1	fight_20601	born	born						
394	高阶综合AST小怪	1	fight_20601	die1	die1						
395	高阶综合AST小怪	1	fight_20601	die2	die2						
396	高阶综合AST小怪	1	fight_20601	float	float						
397	高阶综合AST小怪	1	fight_20601	floathurt	floathurt						
398	高阶综合AST小怪	1	fight_20601	flip	floor						
399	高阶综合AST小怪	1	fight_20601	hurt1	hurt1						
400	高阶综合AST小怪	1	fight_20601	hurt2	hurt2						
401	高阶综合AST小怪	1	fight_20601	hurt3	hurt3						
402	高阶综合AST小怪	1	fight_20601	move	move						
403	高阶综合AST小怪	1	fight_20601	stand	stand						
404	高阶综合AST小怪	1	fight_20601	standup	standup						
405	高阶综合AST小怪	1	fight_20601	walk	walk						
406	高阶综合AST小怪	1	fight_20601	retreat	retreat						
407	日下部燎子	1	fight_30201	born	born						
408	日下部燎子	1	fight_30201	die1	die1						
409	日下部燎子	1	fight_30201	die2	die2						
410	日下部燎子	1	fight_30201	float	float						
411	日下部燎子	1	fight_30201	floathurt	floathurt						
412	日下部燎子	1	fight_30201	floor	floor						
413	日下部燎子	1	fight_30201	hurt1	hurt1						
414	日下部燎子	1	fight_30201	hurt2	hurt2						
415	日下部燎子	1	fight_30201	move	move						
416	日下部燎子	1	fight_30201	stand	stand						
417	日下部燎子	1	fight_30201	standup	standup						
418	机械蚊子	1	fight_21301	die1	die1						
419	机械蚊子	1	fight_21301	die2	die2						
420	机械蚊子	1	fight_21301	die3	die3						
421	机械蚊子	1	fight_21301	float	float						
422	机械蚊子	1	fight_21301	floathurt	floathurt						
423	机械蚊子	1	fight_21301	flip	floor						
424	机械蚊子	1	fight_21301	hurt	hurt						
425	机械蚊子	1	fight_21301	move	move						
426	机械蚊子	1	fight_21301	stand	stand						
427	机械蚊子	1	fight_21301	standup	standup						
428	机械盾	1	fight_21401	die1	die1						
429	机械盾	1	fight_21401	die2	die2						
430	机械盾	1	fight_21401	die3	die3						
431	机械盾	1	fight_21401	float	float						
432	机械盾	1	fight_21401	floathurt	floathurt						
433	机械盾	1	fight_21401	flip	floor						
434	机械盾	1	fight_21401	hurt	hurt						
435	机械盾	1	fight_21401	move	move						
436	机械盾	1	fight_21401	stand	stand						
437	机械盾	1	fight_21401	standup	standup						
438	机械远程	1	fight_21501	die2	die2						
439	机械远程	1	fight_21501	float	float						
440	机械远程	1	fight_21501	floathurt	floathurt						
441	机械远程	1	fight_21501	flip	floor						
442	机械远程	1	fight_21501	hurt	hurt						
443	机械远程	1	fight_21501	move	move						
444	机械远程	1	fight_21501	stand	stand						
445	机械远程	1	fight_21501	standup	standup						
446	高阶机械蚊子	1	fight_21701	die1	die1						
447	高阶机械蚊子	1	fight_21701	die2	die2						
448	高阶机械蚊子	1	fight_21701	die3	die3						
449	高阶机械蚊子	1	fight_21701	float	float						
450	高阶机械蚊子	1	fight_21701	floathurt	floathurt						
451	高阶机械蚊子	1	fight_21701	floor	floor						
452	高阶机械蚊子	1	fight_21701	hurt	hurt						
453	高阶机械蚊子	1	fight_21701	move	move						
454	高阶机械蚊子	1	fight_21701	stand	stand						
455	高阶机械蚊子	1	fight_21701	standup	standup						
456	高阶机械盾	1	fight_21801	die1	die1						
457	高阶机械盾	1	fight_21801	die2	die2						
458	高阶机械盾	1	fight_21801	float	float						
459	高阶机械盾	1	fight_21801	floathurt	floathurt						
460	高阶机械盾	1	fight_21801	flip	floor						
461	高阶机械盾	1	fight_21801	hurt	hurt						
462	高阶机械盾	1	fight_21801	move	move						
463	高阶机械盾	1	fight_21801	stand	stand						
464	高阶机械盾	1	fight_21801	standup	standup						
465	高阶机械远程	1	fight_21901	die1	die1						
466	高阶机械远程	1	fight_21901	die2	die2						
467	高阶机械远程	1	fight_21901	float	float						
468	高阶机械远程	1	fight_21901	floathurt	floathurt						
469	高阶机械远程	1	fight_21901	flip	floor						
470	高阶机械远程	1	fight_21901	hurt	hurt						
471	高阶机械远程	1	fight_21901	move	move						
472	高阶机械远程	1	fight_21901	stand	stand						
473	高阶机械远程	1	fight_21901	standup	standup						
474	机械猩猩	1	fight_21601	born	born						
475	机械猩猩	1	fight_21601	die1	die1						
476	机械猩猩	1	fight_21601	die2	die2						
477	机械猩猩	1	fight_21601	float	float						
478	机械猩猩	1	fight_21601	floathurt	floathurt						
479	机械猩猩	1	fight_21601	floor	floor						
480	机械猩猩	1	fight_21601	hurt	hurt						
481	机械猩猩	1	fight_21601	move	move						
482	机械猩猩	1	fight_21601	stand	stand						
483	机械猩猩	1	fight_21601	standup	standup						
484	低阶DEM近战小怪	1	fight_20701	die1	die1						
485	低阶DEM近战小怪	1	fight_20701	die2	die2						
486	低阶DEM近战小怪	1	fight_20701	float	float						
487	低阶DEM近战小怪	1	fight_20701	floathurt	floathurt						
488	低阶DEM近战小怪	1	fight_20701	flip	floor						
489	低阶DEM近战小怪	1	fight_20701	hurt	hurt						
490	低阶DEM近战小怪	1	fight_20701	move	move						
491	低阶DEM近战小怪	1	fight_20701	stand	stand						
492	低阶DEM近战小怪	1	fight_20701	standup	standup						
493	低阶DEM远程小怪	1	fight_20801	die1	die1						
494	低阶DEM远程小怪	1	fight_20801	die2	die2						
495	低阶DEM远程小怪	1	fight_20801	float	float						
496	低阶DEM远程小怪	1	fight_20801	floathurt	floathurt						
497	低阶DEM远程小怪	1	fight_20801	flip	floor						
498	低阶DEM远程小怪	1	fight_20801	hurt	hurt						
499	低阶DEM远程小怪	1	fight_20801	move	move						
500	低阶DEM远程小怪	1	fight_20801	stand	stand						
501	低阶DEM远程小怪	1	fight_20801	standup	standup						
502	低阶DEM综合小怪	1	fight_20901	die1	die1						
503	低阶DEM综合小怪	1	fight_20901	die2	die2						
504	低阶DEM综合小怪	1	fight_20901	float	float						
505	低阶DEM综合小怪	1	fight_20901	floathurt	floathurt						
