ID	所属技能	名字	包含特效	技能类型	动作ID	动作基础速度（基础为10000表示100%正常速度）	动作是否受攻速加成（0不受，1受）	帧事件触发	帧事件触发技能	自动动作	动作是否霸体	检测方向键	检测高度	动作循环	循环结束时间判定（0根据动作循环时间，1位移结束）	动作循环时间（毫秒）	位移方式（0固定位移，1摇杆位移，2向目标位移）	位移开始帧事件	位移XY类型（0允许XY任意位移，1只能做X位移，2只能做Y位移）	动作位移XY	动作位移Z高度	位移速度	目标（1：友方，2：敌方）	目标位置偏移（XZ值，Y值影子位置默认会保持一致）	目标选择范围（以自身为基点，配置x_y_w_h。来确定一个矩形范围。xy为矩形起点坐标，wh为框大小）	目标选择条件（0无，1最近，2最远，6随机）	修正摄像机位置（[[时间，镜头参数],[时间，镜头参数]……]。-1表示随动作时间）	招架方向(0无效，1前方，2后方，3前后两方)	招架触发技能（直接配置技能ID）
2001	100210	折纸—普攻1	20010	1	skillA_1	10000	1	next1_down_2002				1	0	0	0				1	30		600	2		-1000_-500_2000_1000	3			
2002	100210	折纸—普攻2	20011	1	skillA_2	10000	1	next1_down_2003				1	0	0	0				1	40		300	2		0_-25_500_50				
2003	100210	折纸—普攻3	20012	1	skillA_3	10000	1					1	0	0	0				1	60		350	2		0_-25_500_50				
2004	100210	折纸—普攻4	20013	1	skillA_4	10000	1					1	0	0	0				1	60		350	2		0_-25_500_50				
2005	100210	折纸—普攻5	20014	1	skillA_5	10000	1					1	0	0	0				1	0		0	2		0_-25_500_50				
2011	100210	折纸—普攻1-3级	20020	1	skillA_1	10000	1	next1_down_2012				1	0	0	0				1	30		600	2		-1000_-500_2000_1000	3			
2012	100210	折纸—普攻2-3级	20021	1	skillA_2	10000	1	next1_down_2013				1	0	0	0				1	40		300	2		0_-25_500_50				
2013	100210	折纸—普攻3-3级	20022	1	skillA_3	10000	1	next1_down_2014				1	0	0	0				1	60		350	2		0_-25_500_50				
2014	100210	折纸—普攻4-3级	20023	1	skillA_4	10000	1	next1_down_2015				1	0	0	0				1	60		350	2		0_-25_500_50				
2015	100210	折纸—普攻5-3级	20024	1	skillA_5	10000	1					1	0	0	0				1	0		0	2		0_-25_500_50				
2020	100220	折纸—大招-0级	20090-20091	1	skillC_1	10000						1	0	0	0					0		0	2		0_-25_500_50		[[-1,120]]		
2021	100220	折纸—大招-1级	20092-20093	1	skillC_2	10000						1	0	0	0					0		0	2		0_-25_500_50		[[-1,120]]		
2022	100220	折纸—大招-2级	20094-20095	1	skillC_3	10000						1	0	0	0					0		0	2		0_-25_500_50		[[-1,120]]		
2023	100220	折纸—大招-3级	20100-20101-20103	1	skillC_4	10000				2024		1	0	0	0		0		0	0	200	800	2		0_-25_500_50		[[-1,120]]		
2024	100220	折纸—大招-3级	20104-20105-20106	1	skillC_4_1	10000						1	0	0	0		0	move	1	370	-200	6000	2		0_-25_500_50		[[-1,120]]		
2030	100230	折纸—觉醒	20110	1	skillD	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,180]]		
2031	100250	折纸—出场技能	20140-20150	1	skillF	10000					1	1	0	0	0					100		1000	2		0_-25_500_50		[[-1,100]]		
2032	100240	折纸—闪避	20120	1	dodge	10000						1	1	1	1				0	250		1400	2		0_-25_500_50				
2033	100260	折纸—下落		1	fall	10000					1	1	1	1	1					0		900	2		0_-25_500_50				
2040	100270	折纸-技能1连斩-0级	20060-20061	1	skillB_1	10000	1					1	0	0	0					30		500	2		0_-25_500_50		[[-1,80]]		
2041	100270	折纸-技能1连斩-1级	20060-20062	1	skillB_2	10000	1					1	0	0	0					30		300	2		0_-25_500_50		[[-1,80]]		
2042	100270	折纸-技能1连斩-2级	20060-20063	1	skillB_3	10000	1					1	0	0	0					30		300	2		0_-25_500_50		[[-1,80]]		
2043	100270	折纸-技能1连斩-3级	20060-20064	1	skillB_3	10000	1					1	0	0	0					30		300	2		0_-25_500_50		[[-1,80]]		
2050	100280	折纸-技能2格林枪-0级	20070-20071	1	extra_skillB1	10000	1					1	0	0	0					50		500	2		0_-25_500_50		[[-1,80]]		
2051	100280	折纸-技能2格林枪-1级	20072-20073	1	extra_skillB2	10000	1					1	0	0	0					50		500	2		0_-25_500_50		[[-1,80]]		
2052	100280	折纸-技能2格林枪-2级	20074	1	extra_skillB3	10000	1					1	0	0	0					50		500	2		0_-25_500_50		[[-1,80]]		
2053	100280	折纸-技能2格林枪-3级	20075	1	extra_skillB6	10000	1			2054		1	0	0	0					50		500	2		0_-25_500_50		[[-1,80]]		
2054	100280	折纸-技能2格林枪-3级	20076	1	extra_skillB4	10000	1					1	0	0	0					50		500	2		0_-25_500_50		[[-1,80]]		
																													
3010	100310	四糸乃—普攻1	30100-30101	1	skillA_1	10000	1	next1_down_3011				1	0	0	0					0		30	2		0_-25_500_50				
3011	100310	四糸乃—普攻2	30110-30111	1	skillA_2	10000	1	next1_down_3012				1	0	0	0					0		30	2		0_-25_500_50				
3012	100310	四糸乃—普攻3	30120-30121	1	skillA_3	10000	1					1	0	0	0					0		30	2		0_-25_500_50				
3013	100310	四糸乃—普攻4	30130-30131	1	skillA_4	10000	1					1	0	0	0					0		30	2		0_-25_500_50				
3014	100310	四糸乃—普攻5	30140-30141-30142-30143-30144-30145-30146-30147-30148-30149-30150	1	skillA_5	10000	1					1	0	0	0					0		30	2		0_-25_500_50				
3020	100320	四糸乃-技能1-0级	30200	1	skillB_1	10000	1				1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
3021	100320	四糸乃-技能1-1级	30210	1	skillB_2	10000	1				1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
3022	100320	四糸乃-技能1-2级	30220	1	skillB_3	10000	1				1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
3023	100320	四糸乃-技能1-3级	30230	1	skillB_3	10000	1				1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
3030	100330	四糸乃—觉醒	30250	1	skillD	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,160]]		
3040	100340	四糸乃—闪避	30260	1	dodge	10000						1	1	1	1				0	250		900	2		0_-25_500_50				
3041	100340	四糸乃—闪避-闪现	30263-30261-30264	1	dodge2	10000						1	1	0	0			move		350		3000	2		0_-25_500_50				
3050	100350	四糸乃-出场-冰刺	30270-30280-30281	1	skillF	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,100]]		
3060	100360	四糸乃—闪避-下落	30260	1	dodge	10000					1	1	1	1	1					250		900	2		0_-25_500_50				
3070	100370	四糸乃-技能2-0级	30700	1	extra_skillB	10000	1				1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
3071	100370	四糸乃-技能2-1级	30710	1	extra_skillB	10000	1				1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
3072	100370	四糸乃-技能2-2级	30720	1	extra_skillB	10000	1				1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
3073	100370	四糸乃-技能2-3级	30730	1	extra_skillB	10000	1				1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,80]]		
3080	100380	四糸乃-必杀-0级	30800-30801-30802	1	skillC1	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,120]]		
3081	100380	四糸乃-必杀-1级	30810-30811	1	skillC1	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,120]]		
3082	100380	四糸乃-必杀-2级	30820-30821	1	skillC1	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,120]]		
3083	100380	四糸乃-必杀-3级	30830-30831	1	skillC2	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,120]]		
																													
4001	100410	狂三-普攻1	40001	1	skillA_1	10000	1	next1_down_4002				1	0	0	0					0		0	2		0_-25_500_50				
4002	100410	狂三-普攻2	40002	1	skillA_2	10000	1	next1_down_4003				1	0	0	0			move	1	60		800	2		0_-25_500_50				
4003	100410	狂三-普攻3	40003	1	skillA_3	10000	1					1	0	0	0			move	1	30		600	2		0_-25_500_50				
4004	100410	狂三-普攻4	40004	1	skillA_4	10000	1					1	0	0	0			move	1	80		800	2		0_-25_500_50				
4005	100410	狂三-普攻5	40005	1	skillA_5	10000	1					1	0	0	0			move	1	50		700	2		0_-25_500_50				
4020	100450	狂三-出场技能	40120-40121-40122-40123-40126	1	skillC	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,-100]]		
4022	100490	狂三-额外技能	40120-40121-40122-40123-40126	1	skillC	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,-100]]		
4030	100430	狂三-觉醒	40180-40190	1	skillD	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[700,-150],[-1,150]]		
4040	100440	狂三-闪避	40140	1	dodge	10000					1	1	1	1	1				0	250		900	2		0_-25_500_50				
4060	100460	狂三-下落		1	stand	10000					1	1	1	1	1					0		800	1		0_-25_500_50				
4070	100470	狂三-技能1-滑铲-0级-滑铲	40201	1	skillB0	10000						1	0	0	0			move	1	330		1000	2		0_-25_500_50				
4071	100470	狂三-技能1-滑铲-1级-滑铲转圈	40202	1	skillB1	10000						1	0	0	0			move	1	330		1000	2		0_-25_500_50				
4072	100470	狂三-技能1-滑铲-2级-滑铲	40204	1	skillB2_1	10000				4073		1	0	0	0			move	1	330		1000	2		0_-25_500_50				
4073	100470	狂三-技能1-滑铲-2级-转圈循环	40206	1	skillB2_2	10000				4074		1	0	1	0	2000	1		1	0		200	2		0_-25_500_50		[[-1,60]]		
4074	100470	狂三-技能1-滑铲-2级-结束	40207	1	skillB2_3	10000						1	0	0	0					0		0	2		0_-25_500_50				
4075	100470	狂三-技能1-滑铲-3级-滑铲	40208	1	skillB2_1	10000				4076		1	0	0	0			move	1	330		1000	2		0_-25_500_50				
4076	100470	狂三-技能1-滑铲-3级-转圈循环	40210	1	skillB2_2	10000				4077		1	0	1	0	2000	1		1	0		200	2		0_-25_500_50		[[-1,60]]		
4077	100470	狂三-技能1-滑铲-3级-结束	40211	1	skillB2_3	10000						1	0	0	0					0		0	2		0_-25_500_50				
4080	100480	狂三-技能2-空中射击-0级-射击	40221-40222	1	extra_skillB0	10000				4086		1	0	0	0			move	1	0	160	2000	2		0_-25_500_50		[[-1,100]]		
4081	100480	狂三-技能2-空中射击-1级-射击	40221-40223	1	extra_skillB1	10000				4086		1	0	0	0			move	1	0	180	2000	2		0_-25_500_50		[[-1,100]]		
4082	100480	狂三-技能2-空中射击-2级-上升	40221-40224	1	extra_skillB3_1	10000				4083		1	0	0	0			move	1	0	200	1200	2		0_-25_500_50		[[-1,100]]		
4083	100480	狂三-技能2-空中射击-2级-射击	40225	1	extra_skillB3_2	10000				4086		1	0	0	0				1	0		200	2		0_-25_500_50		[[-1,100]]		
4084	100480	狂三-技能2-空中射击-3级-上升	40221-40226	1	extra_skillB3_1	10000				4085		1	0	0	0			move	1	0	200	1200	2		0_-25_500_50		[[-1,100]]		
4085	100480	狂三-技能2-空中射击-3级-射击	40227	1	extra_skillB3_2	10000				4086		1	0	0	0				1	0		200	2		0_-25_500_50		[[-1,100]]		
4086	100480	狂三-技能2-空中射击-落下	40228	1	extra_skillB_down	15000						1	0	0	0			move	1	0	-200	1500	2		0_-25_500_50				
4090	100420	狂三-必杀-0级-出	40231	1	skillC_1	10000				4091		1	0	0	0				1	0		300	2		0_-25_500_50		[[-1,100]]		
4091	100420	狂三-必杀-0级-射击	40233	1	skillC0_2	10000				4092		1	0	0	0		2		1	0		5000	2		0_-500_1000_1000	1	[[-1,100]]		
4092	100420	狂三-必杀-0级-回	40232	1	skillC_3_1	10000						1	0	0	0				1	0		300	2		0_-25_500_50		[[-1,100]]		
4093	100420	狂三-必杀-1级-出	40231	1	skillC_1	10000				4094		1	0	0	0				1	0		300	2		0_-25_500_50		[[-1,100]]		
4094	100420	狂三-必杀-1级-射击	40234	1	skillC1_2	10000				4095		1	0	0	0		2		1	0		5000	2		0_-500_1000_1000	1	[[-1,100]]		
4095	100420	狂三-必杀-1级-回	40232	1	skillC_3_1	10000						1	0	0	0				1	0		300	2		0_-25_500_50		[[-1,100]]		
4096	100420	狂三-必杀-2级-出	40231	1	skillC_1	10000				4097		1	0	0	0				1	0		300	2		0_-25_500_50		[[-1,100]]		
4097	100420	狂三-必杀-2级-射击	40235	1	skillC2_2	10000				4098		1	0	0	0		2		1	0		5000	2		0_-500_1000_1000	1	[[-1,100]]		
4098	100420	狂三-必杀-2级-回	40232	1	skillC_3_1	10000						1	0	0	0				1	0		300	2		0_-25_500_50		[[-1,100]]		
4099	100420	狂三-必杀-3级-出	40231	1	skillC_1	10000				4100		1	0	0	0				1	0		300	2		0_-25_500_50		[[-1,100]]		
4100	100420	狂三-必杀-3级-射击	40236	1	skillC3_2	10000				4101		1	0	0	0		2		1	0		5000	2		0_-500_1000_1000	1	[[-1,100]]		
4101	100420	狂三-必杀-3级-回	40238-40237-40239	1	skillC_3_2	10000						1	0	0	0				1	0		300	2		0_-25_500_50		[[-1,100]]		
																													
5001	100510	琴里-普攻1	50001	1	skillA_1	10000	1	next1_down_5002				1	0	0	0				1	0		250	2		0_-25_500_50				
5002	100510	琴里-普攻2	50002	1	skillA_2	10000	1	next1_down_5003				1	0	0	0				1	60		700	2		0_-25_500_50				
5003	100510	琴里-普攻3	50003-50011	1	skillA_3	10000	1					1	0	0	0				1	50		250	2		0_-25_500_50		[[-1,50]]		
5004	100510	琴里-普攻4	50004	1	skillA_4	10000	1					1	0	0	0				1	0		600	2		0_-25_500_50				
5005	100510	琴里-普攻5	50005-50013	1	skillA_5	10000	1					1	0	0	0				1	100		200	2		0_-25_500_50		[[-1,50]]		
5006	100510	琴里-普攻1+	50006	1	skillA_1	10000	1	next1_down_5007				1	0	0	0				1	0		250	2		0_-25_500_50				
5007	100510	琴里-普攻2+	50007	1	skillA_2	10000	1	next1_down_5008				1	0	0	0				1	60		700	2		0_-25_500_50				
5008	100510	琴里-普攻3+	50008-50012	1	skillA_3	10000	1	next1_down_5009				1	0	0	0				1	50		250	2		0_-25_500_50		[[-1,50]]		
5009	100510	琴里-普攻4+	50009	1	skillA_4	10000	1	next1_down_5010				1	0	0	0				1	0		600	2		0_-25_500_50				
5010	100510	琴里-普攻5+	50010-50014	1	skillA_5	10000	1					1	0	0	0				1	100		200	2		0_-25_500_50		[[-1,50]]		
5030	100530	琴里-觉醒	50021-50022	1	skillDshow	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,150]]		
5040	100540	琴里-闪避	50020	1	dodge	10000						1	1	1	1				0	250		900	2		0_-25_500_50				
5041	100560	琴里-下落		1	stand	10000					1	1	1	1	1					0		600	2		0_-25_500_50				
5050	100550	琴里-出场-旋风斩	50030-50031	1	skillF	10000					1	1	0	0	0					0		0	2		0_-25_500_50		[[-1,100]]		
5060	100521	琴里-技能1-旋转挑飞-0级	50040	1	extra_skillB_1	10000	1				1	1	0	0	0			move	1	250		400	2		0_-25_500_50		[[-1,100]]		
5061	100521	琴里-技能1-旋转挑飞-1级-旋转	50041	1	extra_skillB_2	10000	1			5062	1	1	0	0	0			move	1	250		400	2		0_-25_500_50		[[-1,100]]		
5062	100521	琴里-技能1-旋转挑飞-1级-横斩2	50042	1	extra_skillB_3	10000	1				1	1	0	0	0				1	30		500	2		0_-25_500_50		[[-1,100]]		
5063	100521	琴里-技能1-旋转挑飞-2级-旋转	50043	1	extra_skillB_2	10000	1			5064	1	1	0	0	0			move	1	250		400	2		0_-25_500_50		[[-1,100]]		
5064	100521	琴里-技能1-旋转挑飞-2级-横斩2	50044	1	extra_skillB_4	10000	1			5065	1	1	0	0	0				1	30		500	2		0_-25_500_50		[[-1,100]]		
5065	100521	琴里-技能1-旋转挑飞-2级-重劈	50045-50049-50050	1	extra_skillB_5	10000	1				1	1	0	0	0			move	1	50		500	2		0_-25_500_50		[[-1,100]]		
5066	100521	琴里-技能1-旋转挑飞-3级-旋转	50046	1	extra_skillB_2	10000	1			5067	1	1	0	0	0			move	1	250		400	2		0_-25_500_50		[[-1,100]]		
5067	100521	琴里-技能1-旋转挑飞-3级-横斩2	50047	1	extra_skillB_4	10000	1			5068	1	1	0	0	0				1	30		500	2		0_-25_500_50		[[-1,100]]		
5068	100521	琴里-技能1-旋转挑飞-3级-重劈	50048-50049-50050	1	extra_skillB_5	10000	1				1	1	0	0	0			move	1	50		500	2		0_-25_500_50		[[-1,100]]		
5070	100522	琴里-技能2-跳跃重劈-0级	50060	1	skillB	10000					1	1	0	0	0			move	1	210		600	2		0_-25_500_50		[[-1,100]]		
5071	100522	琴里-技能2-跳跃重劈-1级	50061-50062	1	skillB	10000					1	1	0	0	0			move	1	210		600	2		0_-25_500_50		[[-1,100]]		
5072	100522	琴里-技能2-跳跃重劈-2级	50063-50064	1	skillB	10000					1	1	0	0	0			move	1	210		600	2		0_-25_500_50		[[-1,100]]		
5073	100522	琴里-技能2-跳跃重劈-3级	50066-50067	1	skillB	10000					1	1	0	0	0			move	1	210		600	2		0_-25_500_50		[[-1,100]]		
5080	100520	琴里-必杀-0级-踩	50080-50091	1	skillC_1	10000				5081	1	1	0	0	0					0		500	2		0_-25_500_50		[[-1,100]]		
5081	100520	琴里-必杀-0级-斩劈	50081-50092	1	skillC_2	10000					1	1	0	0	0			move	1	50		500	2		0_-25_500_50		[[-1,100]]		
5082	100520	琴里-必杀-1级-踩	50082-50091	1	skillC_1	10000				5083	1	1	0	0	0					0		500	2		0_-25_500_50		[[-1,100]]		
5083	100520	琴里-必杀-1级-斩劈	50083-50091	1	skillC_3	10000				5084	1	1	0	0	0			move	1	50		500	2		0_-25_500_50		[[-1,100]]		
5084	100520	琴里-必杀-1级-劈+2	50084-50093	1	skillC_4	10000					1	1	0	0	0					0		500	2		0_-25_500_50		[[-1,100]]		
5085	100520	琴里-必杀-2级-踩	50085-50091	1	skillC_1	10000				5086	1	1	0	0	0					0		500	2		0_-25_500_50		[[-1,100]]		
5086	100520	琴里-必杀-2级-斩劈	50086-50091	1	skillC_3	10000				5087	1	1	0	0	0			move	1	50		500	2		0_-25_500_50		[[-1,100]]		
5087	100520	琴里-必杀-2级-劈+4	50087-50094	1	skillC_5	10000					1	1	0	0	0					0		500	2		0_-25_500_50		[[-1,100]]		
5088	100520	琴里-必杀-3级-踩	50088-50091	1	skillC_1	10000				5089	1	1	0	0	0					0		500	2		0_-25_500_50		[[-1,100]]		
5089	100520	琴里-必杀-3级-斩劈	50089-50091	1	skillC_3	10000				5090	1	1	0	0	0			move	1	50		500	2		0_-25_500_50		[[-1,100]]		
5090	100520	琴里-必杀-3级-劈+4	50090-50094	1	skillC_5	10000					1	1	0	0	0					0		500	2		0_-25_500_50		[[-1,100]]		
5150	100570	琴里-炮-普攻1	50160-50163	1	PskillA_1	10000	1	next1_down_5151				1	0	0	0			move	1	-10		300	2		0_-25_500_50				
5151	100570	琴里-炮-普攻2	50161-50164	1	PskillA_2	10000	1	next1_down_5152				1	0	0	0			move	1	-10		300	2		0_-25_500_50				
5152	100570	琴里-炮-普攻3	50162-50165	1	PskillA_3	10000	1					1	0	0	0			move	1	-30		300	2		0_-25_500_50		[[-1,50]]		
5153	100570	琴里-炮-1级-普攻1	50160-50166	1	PskillA_1	10000	1	next1_down_5154				1	0	0	0			move	1	-10		300	2		0_-25_500_50				
5154	100570	琴里-炮-1级-普攻2	50161-50167	1	PskillA_2	10000	1	next1_down_5155				1	0	0	0			move	1	-10		300	2		0_-25_500_50				
5155	100570	琴里-炮-1级-普攻3	50162-50168	1	PskillA_3	10000	1					1	0	0	0			move	1	-30		300	2		0_-25_500_50		[[-1,50]]		
5156	100570	琴里-炮-2级-普攻1	50160-50170	1	PskillA_1	10000	1	next1_down_5157				1	0	0	0			move	1	-10		300	2		0_-25_500_50				
