ID	节点类型(1.条件类型节点，2.行为类型节点，3.条件节点，4.行为节点，5.根节点)	节点描述	子节点	循环时间间隔	条件节点优先级	触发条件具体类型	触发条件并且关系	触发条件参数	行为类型节点	行为权重	脚本名	是否可以打断
108002	1	条件类型节点：1S循环	108003	2000	3				108004			0
108003	3	判断条件：进入战斗时间				1		[2000]				
108004	2	行为并且关系	108005				1					
108005	4	释放技能						[200610,250,[-500,-20,1000,40]]		100	act_useSkill	
												
108006	1	条件类型节点：1S循环	108007	5000	2				108008			0
108007	3	判断条件：进入战斗时间				1		[5000]				
108008	2	行为并且关系	108009				1					
108009	4	释放技能						[200630,250,[-500,-100,1000,200]]		100	act_useSkill	
												
108010	1	条件类型节点：1S循环	108011	0	1				108012			0
108011	3	判断条件：进入战斗时间				1		[0]				
108012	2	行为并且关系	108013				1					
108013	4	巡逻								100	act_patrol	
												
206001	5	根节点	206002-206006-206014									
												
206002	1	条件类型节点：1S循环	206003	0	1				206004			0
206003	3	判断条件：进入战斗时间				1		[0]				
206004	2	行为并且关系	206005				1					
206005	4	释放技能						[250010,100,[-500,-20,1000,40]]		100	act_useSkill	
												0
206006	1	条件类型节点：1S循环	206007	10000	2				206008			0
206007	3	判断条件：进入战斗时间				1		[10000]				
206008	2	行为并且关系	206009-206027				1					
206009	4	释放技能						[250020,100,[-500,-50,1000,100]]		100	act_useSkill	
												
												
												0
206014	1	条件类型节点：1S循环	206015	20000	3				206016			0
206015	3	判断条件：进入战斗时间				1		[20000]				
206016	2	行为并且关系	206017				1					
206017	4	释放技能						[250030,100,[-500,-50,1000,100]]		100	act_useSkill	
												
206018	1	条件类型节点：1S循环	206019	1000	5				206020			0
206019	3	判断条件：进入战斗时间				4		[3000]				
206020	2	行为并且关系	206021				1					
206021	4	释放技能						[250010,50,[-500,-20,1000,40]]		100	act_useSkill	
												0
206022	1	条件类型节点：1S循环	206023	8000	6				206024			0
206023	3	判断条件：进入战斗时间				4		[5000]				
206024	2	行为并且关系	206025-206026				0					
206025	4	释放技能						[250020,100,[-500,-50,1000,100]]		100	act_useSkill	
206026	4	释放技能						[250030,50,[-500,-50,1000,100]]		100	act_useSkill	
												
206027	1	条件类型节点：1S循环	206028	0	4				206029			0
206028	3	判断条件：进入战斗时间				4		[5000]				
206029	2	行为并且关系	206030				1					
206030	4	释放技能								100	act_patrol	
												
												
300001	5	根节点	300002-300006									
												0
300002	1	条件类型节点：1S循环	300003	2500	2				300004			0
300003	3	判断条件：进入战斗时间				1		[1500]				
300004	2	行为并且关系	300005				1					
300005	4	释放技能						[310040,80,[-200,-15,400,30]]		100	act_useSkill	
												
300006	1	条件类型节点：1S循环	300007	0	1				300008			0
300007	3	判断条件：进入战斗时间				1		[0]				
300008	2	行为并且关系	300009				1					
300009	4	释放技能								100	act_patrol	
												
303001	5	根节点	303002-303006-303010									
												0
303002	1	条件类型节点：1S循环	303003	1500	2				303004			0
303003	3	判断条件：进入战斗时间				1		[0]				
303004	2	行为并且关系	303005				1					
303005	4	释放技能						[310040,80,[-200,-15,400,30]]		100	act_useSkill	
												
303006	1	条件类型节点：1S循环	303007	0	1				303008			0
303007	3	判断条件：进入战斗时间				1		[0]				
303008	2	行为并且关系	303009				1					
303009	4	释放技能								100	act_patrol	
												
303010	1	条件类型节点：1S循环	303011	6000	3				303012			0
303011	3	判断条件：进入战斗时间				1		[6000]				
303012	2	行为并且关系	303013				1					
303013	4	释放技能						[310050,150,[-200,-15,400,30]]		100	act_useSkill	
												
301001	5	根节点	301002-301006									
												0
301002	1	条件类型节点：1S循环	301003	2500	2				301004			0
301003	3	判断条件：进入战斗时间				1		[0]				
301004	2	行为并且关系	301005				1					
301005	4	释放技能						[310060,200,[-500,-15,1000,30]]		100	act_useSkill	
												
301006	1	条件类型节点：1S循环	301007	0	1				301008			0
301007	3	判断条件：进入战斗时间				1		[0]				
301008	2	行为并且关系	301009				1					
301009	4	释放技能								100	act_patrol	
												
304001	5	根节点	304002-304006-304010									
												0
304002	1	条件类型节点：1S循环	304003	1500	2				304004			0
304003	3	判断条件：进入战斗时间				1		[0]				
304004	2	行为并且关系	304005				1					
304005	4	释放技能						[310090,200,[-500,-15,1000,30]]		100	act_useSkill	
												
304006	1	条件类型节点：1S循环	304007	6000	2				304008			0
304007	3	判断条件：进入战斗时间				1		[0]				
304008	2	行为并且关系	304009				1					
304009	4	释放技能						[310100,200,[-500,-15,1000,30]]		100	act_useSkill	
												
304010	1	条件类型节点：1S循环	304011	0	1				304012			0
304011	3	判断条件：进入战斗时间				1		[0]				
304012	2	行为并且关系	304013				1					
304013	4	释放技能								100	act_patrol	
												
												
												
305001	5	根节点	305002-305006-305010-305014									
												0
305002	1	条件类型节点：1S循环	305003	1500	2				305004			0
305003	3	判断条件：进入战斗时间				1		[0]				
305004	2	行为并且关系	305005				1					
305005	4	释放技能						[310110,200,[-500,-15,1000,30]]		100	act_useSkill	
												
305006	1	条件类型节点：1S循环	305007	6000	2				305008			0
305007	3	判断条件：进入战斗时间				1		[0]				
305008	2	行为并且关系	305009				1					
305009	4	释放技能						[310120,200,[-500,-15,1000,30]]		100	act_useSkill	
												
305010	1	条件类型节点：1S循环	305011	6000	2				305012			0
305011	3	判断条件：进入战斗时间				1		[0]				
305012	2	行为并且关系	305013				1					
305013	4	释放技能						[310130,200,[-500,-15,1000,30]]		100	act_useSkill	
												
305014	1	条件类型节点：1S循环	305015	0	1				305016			0
305015	3	判断条件：进入战斗时间				1		[0]				
305016	2	行为并且关系	305017				1					
305017	4	释放技能								100	act_patrol	
												
												
												
												
												
2000201	5	根节点	2000202-2000206-2000210									
												
2000202	1	条件类型节点：1S循环	2000203	0	1				2000204			0
2000203	3	判断条件：进入战斗时间				1		[0]				
2000204	2	行为并且关系	2000205				1					
2000205	4	释放技能						[210010,100,[-300,-15,600,30]]		100	act_useSkill	
												
2000206	1	条件类型节点：1S循环	2000207	15000	2				2000208			0
2000207	3	判断条件：进入战斗时间				1		[15000]				
2000208	2	行为并且关系	2000209				1					
2000209	4	释放技能						[210020,100,[-300,-15,600,30]]		100	act_useSkill	
												
2000210	1	条件类型节点：1S循环	2000211	5000	3				2000212			0
2000211	3	判断条件：与敌人的距离				5		[220,600,1,200]				
2000212	2	行为并且关系	2000213				1					
2000213	4	释放闪避技能						[210030,220,[-600,-100,1200,200]]		100	act_useSkill	
												
												
												
												
2000229	1	条件类型节点：1S循环	2000230	0	1				2000231			0
2000230	3	判断条件：进入战斗时间				1		[0]				
2000231	2	行为并且关系	2000232				1					
2000232	4	释放技能								100	act_patrol	
												
												
												
												
												
												
												
												
												
2000101	5	根节点	2000102-2000106-2000110									
2000102	1	条件类型节点：1S循环	2000103	1500	2				2000104			0
2000103	3	判断条件：进入战斗时间				1		[0]				
2000104	2	行为并且关系	2000105				1					
2000105	4	释放技能						[220010,250,[-500,-15,1000,30]]		100	act_useSkill	
												
2000106	1	条件类型节点：1S循环	2000107	9000	3				2000108			0
2000107	3	判断条件：进入战斗时间				1		[9000]				
2000108	2	行为并且关系	2000109									
2000109	4	释放技能						[220020,200,[-500,-20,1000,40]]		100	act_useSkill	
												
2000110	1	条件类型节点：1S循环	2000111	0	1				2000112			0
2000111	3	判断条件：进入战斗时间				1		[0]				
2000112	2	行为并且关系	2000113				1					
2000113	4	巡逻								100	act_patrol	
												
2010101	5	根节点	2010102-2010106-2010110									
2010102	1	条件类型节点：1S循环	2010103	1500	2				2010104			0
2010103	3	判断条件：进入战斗时间				1		[0]				
2010104	2	行为并且关系	2010105				1					
2010105	4	释放技能						[220010,250,[-500,-15,1000,30]]		100	act_useSkill	
												
2010106	1	条件类型节点：1S循环	2010107	10000	3				2010108			0
2010107	3	判断条件：进入战斗时间				1		[10000]				
2010108	2	行为并且关系	2010109									
2010109	4	释放技能						[220020,200,[-500,-20,1000,40]]		100	act_useSkill	
												
2010110	1	条件类型节点：1S循环	2010111	0	1				2010112			0
2010111	3	判断条件：进入战斗时间				1		[0]				
2010112	2	行为并且关系	2010113				1					
2010113	4	巡逻								100	act_patrol	
												
												
												
												
												
2400101	5	根节点	2400102-2400106-2400110-2400129									
												
2400102	1	条件类型节点：1S循环	2400103	10000	1				2400104			0
2400103	3	判断条件：进入战斗时间				1		[0]				
2400104	2	行为并且关系	2400105				1					
2400105	4	释放技能						[260010,200,[-400,-15,800,30]]		100	act_useSkill	
												
2400106	1	条件类型节点：1S循环	2400107	10000	3				2400108			0
2400107	3	判断条件：进入战斗时间				1		[15000]				
2400108	2	行为并且关系	2400109				1					
2400109	4	释放技能						[260020,100,[-400,-200,800,400]]		100	act_useSkill	
												
2400110	1	条件类型节点：1S循环	2400111	10000	2				2400112			0
2400111	3	判断条件：与敌人的距离				5		[10,160,0,50]				
2400112	2	行为并且关系	2400113				1					
2400113	4	释放闪避技能						[260030,10,[-160,-25,300,50]]		100	act_useSkill	
												
												
2400129	1	条件类型节点：1S循环	2400130	0	1				2400131			0
2400130	3	判断条件：进入战斗时间				1		[0]				
2400131	2	行为并且关系	2400132				1					
2400132	4	释放技能								100	act_patrol	
												
												
												
												
												
												
												
2500101	5	根节点	2500102-2500110-2500106-2500129									
	  											
2500102	1	条件类型节点：1S循环	2500103	1500	1				2500104			0
2500103	3	判断条件：进入战斗时间				1		[0]				
2500104	2	行为并且关系	2500105				1					
2500105	4	释放技能						[270010,150,[-500,-15,1000,30]]		100	act_useSkill	
												
2500106	1	条件类型节点：1S循环	2500107	15000	3		 		2500108			0
2500107	3	判断条件：进入战斗时间				1		[15000]				
2500108	2	行为并且关系	2500109				1					
2500109	4	释放技能						[270020,100,[-500,-20,1000,40]]		100	act_useSkill	
												
2500110	1	条件类型节点：1S循环	2500111	2000	2				2500112			0
2500111	3	判断条件：与敌人的距离				5		[10,160,0,50]				
2500112	2	行为并且关系	2500113				1					
2500113	4	释放闪避技能						[270030,10,[-160,-25,300,50]]		100	act_useSkill	
												
												
2500129	1	条件类型节点：1S循环	2500130	0	1				2500131			0
2500130	3	判断条件：进入战斗时间				1		[0]				
2500131	2	行为并且关系	2500132				1					
2500132	4	释放技能								100	act_patrol	
												
												
												
												
												
												
2600101	5	根节点	2600102-2600106-2600110									
												
2600102	1	条件类型节点：1S循环	2600103	0	1				2600104			0
2600103	3	判断条件：进入战斗时间				1		[0]				
2600104	2	行为并且关系	2600105				1					
2600105	4	释放技能						[280010,50,[-160,-50,320,100]]		100	act_useSkill	
												
2600106	1	条件类型节点：1S循环	2600107	15000	4				2600108			0
2600107	3	判断条件：进入战斗时间				4		[5000]				
2600108	2	行为并且关系	2600109				1					
2600109	4	释放技能						[280020,100,[-500,-50,1000,100]]		100	act_useSkill	
												
2600110	1	条件类型节点：1S循环	2600111	1000	3				2600112			0
2600111	3	判断条件：与敌人的距离				5		[220,600,1,200]				
2600112	2	行为并且关系	2600113				1					
2600113	4	释放闪避技能						[280030,220,[-600,-10,1200,200]]		100	act_useSkill	
												
												
2600129	1	条件类型节点：1S循环	2600130	0	1				2600131			0
2600130	3	判断条件：进入战斗时间				1		[0]				
2600131	2	行为并且关系	2600132				1					
2600132	4	释放技能								100	act_patrol	
												
												
												
												
												
												
												
2700101	5	根节点	2700102-2700106-2700110									
												
2700102	1	条件类型节点：1S循环	2700103	0	1				2700104			0
2700103	3	判断条件：进入战斗时间				1		[0]				
2700104	2	行为并且关系	2700105				1					
2700105	4	释放技能						[290010,50,[-160,-15,320,30]]		100	act_useSkill	
												
2700106	1	条件类型节点：1S循环	2700107	12000	2				2700108			0
2700107	3	判断条件：进入战斗时间				1		[12000]				
2700108	2	行为并且关系	2700109				1					
2700109	4	释放技能						[290020,100,[-600,-50,1200,100]]		100	act_useSkill	
												
2700110	1	条件类型节点：1S循环	2700111	5000	3				2700112			0
2700111	3	判断条件：与敌人的距离				5		[220,600,1,200]				
2700112	2	行为并且关系	2700113				1					
2700113	4	释放闪避技能						[290030,220,[-600,-100,1200,200]]		100	act_useSkill	
												
												
2700129	1	条件类型节点：1S循环	2700130	0	1				2700131			0
2700130	3	判断条件：进入战斗时间				1		[0]				
2700131	2	行为并且关系	2700132				1					
2700132	4	释放技能								100	act_patrol	
												
												
												
												
												
												
2800101	5	根节点	2800102-2800106-2800110									
												
2800102	1	条件类型节点：1S循环	2800103	0	1				2800104			0
2800103	3	判断条件：进入战斗时间				1		[0]				
2800104	2	行为并且关系	2800105				1					
2800105	4	释放技能						[300010,50,[-160,-15,320,30]]		100	act_useSkill	
												
2800106	1	条件类型节点：1S循环	2800107	12000	3				2800108			0
2800107	3	判断条件：进入战斗时间				1		[12000]				
2800108	2	行为并且关系	2800109				1					
2800109	4	释放技能						[300020,130,[-200,-20,400,40]]		100	act_useSkill	
												
2800110	1	条件类型节点：1S循环	2800111	5000	2				2800112			0
2800111	3	判断条件：与敌人的距离				5		[220,600,1,200]				
2800112	2	行为并且关系	2800113				1					
2800113	4	释放闪避技能						[300030,220,[-600,-100,1200,200]]		100	act_useSkill	
												
												
2800129	1	条件类型节点：1S循环	2800130	0	1				2800131			0
2800130	3	判断条件：进入战斗时间				1		[0]				
2800131	2	行为并且关系	2800132				1					
2800132	4	释放技能								100	act_patrol	
												
												
204001	5	根节点	204002-204006-204010-204014									
												
204002	1	条件类型节点：1S循环	204003	4000	3				204004			0
204003	3	判断条件：进入战斗时间				1		[0]				
204004	2	行为并且关系	204005				1					
204005	4	释放技能						[231010,125,[-250,-15,500,30]]		100	act_useSkill	
												
204006	1	条件类型节点：1S循环	204007	8000	4				204008			0
204007	3	判断条件：进入战斗时间				1		[8000]				
204008	2	行为并且关系	204009				1					
204009	4	释放技能						[231030,120,[-600,-15,1200,30]]		100	act_useSkill	
												
204010	1	条件类型节点：1S循环	204011	15000	2				204012			0
204011	3	判断条件：进入战斗时间				5		[200,400,40,80]				
204012	2	行为并且关系	204013				1					
204013	4	释放技能						[231020,100,[-250,-20,500,40]]		100	act_useSkill	
												
204014	1	条件类型节点：1S循环	204015	0	1				204016			0
204015	3	判断条件：进入战斗时间				1		[0]				
204016	2	行为并且关系	204017				1					
204017	4	释放技能								100	act_patrol	
												
												
2900101	5	根节点	2900102-2900106-2900110									
												
2900102	1	条件类型节点：1S循环	2900103	0	2				2900104			0
2900103	3	判断条件：进入战斗时间				1		[0]				
2900104	2	行为并且关系	2900105				1					
2900105	4	释放技能						[330010,50,[-200,-20,400,40]]		100	act_useSkill	
												
2900106	1	条件类型节点：1S循环	2900107	15000	3				2900108			0
2900107	3	判断条件：进入战斗时间				1		[15000]				
2900108	2	行为并且关系	2900109				1					
2900109	4	释放技能						[330020,100,[-300,-20,600,40]]		100	act_useSkill	
												
2900110	1	条件类型节点：1S循环	2900111	5000	4				2900112			0
2900111	3	判断条件：与敌人的距离				5		[220,600,1,200]				
2900112	2	行为并且关系	2900113				1					
2900113	4	释放闪避技能						[330030,220,[-600,-100,1200,200]]		100	act_useSkill	
												
												
												
2900129	1	条件类型节点：1S循环	2900130	0	1				2900131			0
2900130	3	判断条件：进入战斗时间				1		[0]				
2900131	2	行为并且关系	2900132				1					
2900132	4	释放技能								100	act_patrol	
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
400129	1	条件类型节点：1S循环	400130	0	1				400131			0
400130	3	判断条件：进入战斗时间				1		[0]				
400131	2	行为并且关系	400132				1					
400132	4	释放技能								100	act_wait	
												
												
302001	5	根节点	302002-302006-302010									
302002	1	条件类型节点：1S循环	302003	2000	2				302004			0
302003	3	判断条件：进入战斗时间				1		[0]				
302004	2	行为并且关系	302005				1					
302005	4	释放技能						[310110,200,[-500,-20,1000,40]]		100	act_useSkill	
												
302006	1	条件类型节点：1S循环	302007	12000	3				302008			0
302007	3	判断条件：进入战斗时间				1		[12000]				
302008	2	行为并且关系	302009				1					
302009	4	释放技能						[310120,250,[-500,-100,1000,200]]		100	act_useSkill	
												
302010	1	条件类型节点：1S循环	302011	0	1				302012			0
302011	3	判断条件：进入战斗时间				1		[0]				
302012	2	行为并且关系	302013				1					
302013	4	巡逻								100	act_patrol	
												
												
302101	5	根节点	302102-302106-302110									
302102	1	条件类型节点：1S循环	302103	2000	2				302104			0
302103	3	判断条件：进入战斗时间				1		[0]				
302104	2	行为并且关系	302105				1					
302105	4	释放技能						[310070,200,[-500,-20,1000,40]]		100	act_useSkill	
												
302106	1	条件类型节点：1S循环	302107	12000	3				302108			0
302107	3	判断条件：进入战斗时间				1		[12000]				
302108	2	行为并且关系	302109				1					
302109	4	释放技能						[310080,250,[-500,-100,1000,200]]		100	act_useSkill	
												
302110	1	条件类型节点：1S循环	302111	0	1				302112			0
302111	3	判断条件：进入战斗时间				1		[0]				
302112	2	行为并且关系	302113				1					
302113	4	巡逻								100	act_patrol	
												
												
												
												
												
												
												
												
												
205001	5	根节点	205002-205006-205010-205014									
												
205002	1	条件类型节点：1S循环	205003	2000	2				205004			0
205003	3	判断条件：进入战斗时间				1		[0]				
205004	2	行为并且关系	205005				1					
205005	4	释放技能						[241010,200,[-500,-20,1000,40]]		100	act_useSkill	
												
205006	1	条件类型节点：1S循环	205007	12000	3				205008			0
205007	3	判断条件：进入战斗时间				1		[12000]				
205008	2	行为并且关系	205009				1					
205009	4	释放技能						[241020,200,[-400,-50,800,100]]		1	act_useSkill	
205018	4	释放技能						[241040,100,[-350,-25,700,50]]		10	act_useSkill	
												
205010	1	条件类型节点：1S循环	205011	8000	4				205012			0
205011	3	判断条件：进入战斗时间				5		[50,250,1,50]				
205012	2	行为并且关系	205013				1					
205013	4	释放技能						[241030,50,[-250,-25,500,50]]		100	act_useSkill	
												
205014	1	条件类型节点：1S循环	205015	0	1				205016			0
205015	3	判断条件：进入战斗时间				1		[0]				
205016	2	行为并且关系	205017				1					
205017	4	释放技能								100	act_patrol	
												
												
												
888801	5	根节点	888802									
												
888802	1	条件类型节点：1S循环	888803	0	1				888804			0
888803	3	判断条件：进入战斗时间				5		[0,200,1,50]				
888804	2	行为并且关系	888805				1					
888805	4	释放技能								100	act_patrol	
												
												
												
5040101	5	根节点	5040102-5040106-5040110-5040129									
												
5040102	1	条件类型节点：1S循环	5040103	1500	2				5040104			0
5040103	3	判断条件：进入战斗时间				1		[0]				
5040104	2	行为并且关系	5040105-5040133				0					
5040105	4	释放技能						[400480,200,[-400,-15,800,30]]		100	act_useSkill	
5040133	4	释放技能						[400410,200,[-400,-15,800,30]]		100	act_useSkill	
												
5040106	1	条件类型节点：1S循环	5040107	15000	4				5040108			0
5040107	3	判断条件：进入战斗时间				1		[15000]				
5040108	2	行为并且关系	5040109-5040134				0					
5040109	4	释放技能						[400430,100,[-400,-200,800,400]]		100	act_useSkill	
5040134	4	释放技能						[400490,200,[-400,-15,800,30]]		100	act_useSkill	
												
5040110	1	条件类型节点：1S循环	5040111	3000	3				5040112			0
5040111	3	判断条件：与敌人的距离				5		[10,160,0,50]				
5040112	2	行为并且关系	5040113				1					
5040113	4	释放闪避技能						[400450,10,[-160,-25,300,50]]		100	act_useSkill	
												
5040129	1	条件类型节点：1S循环	5040130	0	1				5040131			0
5040130	3	判断条件：进入战斗时间				1		[0]				
5040131	2	行为并且关系	5040132				1					
5040132	4	释放技能								100	act_patrol	
												
												
5040201	5	根节点	5040202-5040206-5040210-5040229									
												
5040202	1	条件类型节点：1S循环	5040203	1500	2				5040204			0
5040203	3	判断条件：进入战斗时间				1		[0]				
5040204	2	行为并且关系	5040205-5040233				0					
5040205	4	释放技能						[410480,200,[-400,-15,800,30]]		100	act_useSkill	
5040233	4	释放技能						[410410,200,[-400,-15,800,30]]		100	act_useSkill	
												
5040206	1	条件类型节点：1S循环	5040207	15000	4				5040208			0
5040207	3	判断条件：进入战斗时间				1		[15000]				
