刷怪ID	关卡备注（策划看）	关卡备注（策划看）	怪物ID	朝向	怪池ID(怪池ID+怪池刷出怪物数量)	等级（通过skillEffect触发的怪物等级跟随召唤者）	波次	刷怪器类型(1-常规，即现有类型；2-循环，3-定时，4-极限)	刷怪轮数(以所有波次刷完为1轮)	定时(循环刷怪，极限刷怪的下一轮怪刷出的等待时间；定时刷怪刷出下一轮怪的间隔时间)	刷怪暂停条件类型(1-击杀能力检测，2-数量上限检测)	刷怪暂停条件类型参数(击杀能力检测填间隔时间，单位秒；数量上限检测填存活怪物数量上限)	刷怪位置（1随机刷新，2地图中心刷新，3地图左侧刷新，4地图右侧刷新）	是否预警	助战角色是否出现（0或不配时不刷新助战角色。1刷新助战角色）
112012		噩梦新1-1简单波2	1210-1210-1260-1280-1280	2		16	1	1	1				1	0	
112013		噩梦新1-1简单波3	1260-1260-1210-1270-1220	2		16	1	1	1				1	0	1
															
112016		噩梦新1-2简单波1	1260-1260-1210-1210-1250	2		16	1	1	1				1	0	
112017		噩梦新1-2简单波2	1210-1210-1270-1280-1280	2		16	1	1	1				1	0	
112018		噩梦新1-2简单波3	1260-1260-1210-1270-1210	2		16	1	1	1				1	0	1
															
112020		噩梦新1-3简单波1	1260-1260-1220-1250	2		16	1	1	1				1	0	
112021		噩梦新1-3简单波2	1210-1210-1270-1280	2		16	1	1	1				1	0	
112022		噩梦新1-3简单波3	1260-1260-1250-1210	2		16	1	1	1				1	0	
112023		噩梦新1-3简单波4	1210-1220-1260-1280	2		16	1	1	1				1	0	1
															
122011		噩梦1-4简单波1	1260-1260-1210-1210-1250	2		17	1	1	1				1	0	
122012		噩梦1-4简单波2	1210-1210-1280-1280-1210	2		17	1	1	1				1	0	
122013		噩梦1-4简单波3	1260-1260-1220-1270-1220	2		17	1	1	1				1	0	1
															
122016		噩梦1-5简单波1	1220-1220-1260-1260	2		17	1	1	1				1	0	
122017		噩梦1-5简单波2	1210-1210-1270-1280	2		17	1	1	1				1	0	
122018		噩梦1-5简单波3	1260-1260-1220-1250	2		17	1	1	1				1	0	
122019		噩梦1-5简单波4	1260-1210-1270-1280	2		17	1	1	1				1	0	1
															
122022		噩梦1-6简单波1	1210-1210-1250-1280-1280	2		17	1	1	1				1	0	
122023		噩梦1-6简单波2	1210-1210-1280-1280-1260	2		17	1	1	1				1	0	
122024		噩梦1-6简单波3	620602-1270-1280	2		17	1	1	1				1	0	1
															
2411	第二章简单模式	第二章W1(2-2)简单波1	1010-1010-1020-1020	2		5	1	1	1				1	0	
2412		第二章W1(2-2)简单波2	1010-1010-1010-1050	2		5	1	1	1				1	0	
2413		第二章W1(2-2)简单波3	1010-1010-1050-1070	2		5	1	1	1				1	0	
2414		第二章W1(2-2)简单波4	1020-1020-1082-1010-1010	2-2-2-4-4		5	1	1	1				1	0	1
															
2211		第二章W1(2-3)简单波1	1010-1010-1050-1050	2		5	1	1	1				1	0	
2212		第二章W1(2-3)简单波2	1082-1010-1050-1010-1050	2-2-2-4-4		5	1	1	1				1	0	
2213		第二章W1(2-3)简单波3	1083-1020-1050-1020-1050	2-2-2-4-4		5	1	1	1				1	0	
2214		第二章W1(2-3)简单波4	20001	2		5	1	1	1				1	1	1
															
2711		第二章W2(2-6)简单波1	1010-1010-1020-1050	2		7	1	1	1				1	0	
2712		第二章W2(2-6)简单波2	1010-1010-1020-1020	2		7	1	1	1				1	0	
2713		第二章W2(2-6)简单波3	1010-1010-1050-1070	2		7	1	1	1				1	0	
2714		第二章W2(2-6)简单波4	1060-1010-1010-1020-1020	2		7	1	1	1				1	0	
2715		第二章W2(2-6)简单波5	1082-1083-1082-1083	2-4-2-4		7	1	1	1				1	1	1
															
2511		第二章W2(F2-1)简单波1	1010-1010-1020-1020	2		7	1	1	1				1	0	
2512		第二章W2(F2-1)简单波2	1010-1010-1020-1050	4		7	1	1	1				1	0	
2513		第二章W2(F2-1)简单波3	1010-1010-1050-1070	2		7	1	1	1				1	0	1
2514		第二章W2(F2-1)简单波4	1060-1010-1020-1050	2		7	1	1	1				1	0	
															
2911		第二章W3(2-8)简单波1	1010-1010-1050-1050	2		9	1	1	1				1	0	
2912		第二章W3(2-8)简单波2	1010-1020-1050-1020	2		9	1	1	1				1	0	
2913		第二章W3(2-8)简单波3	1010-1010-1020-1020-1070	4		9	1	1	1				1	0	
2914		第二章W3(2-8)简单波4	1010-1010-1010-1020-1080	4		9	1	1	1				1	0	1
															
2311		第二章W3(2-11)简单波1	1010-1010-1020-1020-1080	2		9	1	1	1				1	0	
2312		第二章W3(2-11)简单波2	1070-1010-1010-1020-1080	2		9	1	1	1				1	0	
2313		第二章W3(2-11)简单波3	1060-1010-1060-1010-1010	2		9	1	1	1				1	0	
2314		第二章W3(2-11)简单波4	20001	2		9	1	1	1				1	1	1
2315		第二章W3(2-11)剧情怪物	1282-1283-1284	3		35	1	1	1				1	0	
															
2811		第二章W3(2-12)简单波1	1311-1311-1350-1350	2		9	1	1	1				1	0	
2812		第二章W3(2-12)简单波2	1311-1311-1311-1320-1320	2		9	1	1	1				1	0	
2813		第二章W3(2-12)简单波3	1312-1312-1311-1311-1350	4-2-4-2-4		9	1	1	1				1	0	
2814		第二章W3(2-12)简单波4	1360-1350-1350-1311-1311	4-4-4-2-2		9	1	1	1				1	0	1
2815		第二章W3(2-12)简单波5	1380-1320-1311	4		9	1	1	1				1	1	
2816		第二章W3(2-12)简单波5	1380-1320-1311	2		9	1	1	1				1	0	
2817		第二章W3(2-12)守护目标	10001	4		9	1	1	1				1	0	
															
201101	第二章困难模式	新2-1困难波1	1180-1150-1150	2		13	1	1	1				1	0	
201102		新2-1困难波2	1110-1110-1110-1120-1120	2		13	1	1	1				1	0	
201103		新2-1困难波3	1110-1110-1110-1180-1180	2		13	1	1	1				1	0	
201104		新2-1困难波4	1110-1110-1110-1150-1160-1160	2		13	1	1	1				1	0	1
															
201201		新2-2困难波1	1110-1110-1110-1120	2		13	1	1	1				1	0	
201202		新2-2困难波2	1110-1110-1110-1110-1150-1150	2		13	1	1	1				1	0	
201203		新2-2困难波3	1110-1110-1110-1120-1120	2		13	1	1	1				1	0	
201204		新2-2困难波4	1110-1110-1110-1160-1150	2		13	1	1	1				1	0	1
															
201301		新2-3困难波1	1110-1110-1110-1120	2		13	1	1	1				1	0	
201302		新2-3困难波2	1110-1110-1110-1110-1180	2		13	1	1	1				1	0	
201303		新2-3困难波3	1110-1110-1110-1180	2		13	1	1	1				1	0	
201304		新2-3困难波4	1110-1110-1110-1160-1180	2		13	1	1	1				1	0	1
															
201401		新2-4困难波1	1110-1110-1120	2		13	1	1	1				1	0	
201402		新2-4困难波2	1110-1110-1110-1120-1180	2		13	1	1	1				1	0	
201403		新2-4困难波3	1110-1110-1150-1170	2		13	1	1	1				1	0	
201404		新2-4困难波4	1110-1110-1110-1180-1120-1120	2		13	1	1	1				1	0	1
															
201501		新2-5困难波1	1180-1150-1150	2		13	1	1	1				1	0	
201502		新2-5困难波2	1110-1110-1110-1120-1120	2		13	1	1	1				1	0	
201503		新2-5困难波3	1110-1110-1110-1180-1180	2		13	1	1	1				1	0	
201504		新2-5困难波4	1110-1110-1110-1150-1160-1160	2		13	1	1	1				1	0	1
															
201601		新2-6困难波1	1110-1110-1110-1120	2		14	1	1	1				1	0	
201602		新2-6困难波2	1110-1110-1110-1110-1150-1150	2		14	1	1	1				1	0	
201603		新2-6困难波3	1110-1110-1110-1120-1120	2		14	1	1	1				1	0	
201604		新2-6困难波4	1110-1110-1110-1160-1150	2		14	1	1	1				1	0	1
															
201701		新2-7困难波1	1110-1110-1110-1120	2		14	1	1	1				1	0	
201702		新2-7困难波2	1110-1110-1110-1110-1180	2		14	1	1	1				1	0	
201703		新2-7困难波3	1110-1110-1110-1180	2		14	1	1	1				1	0	
201704		新2-7困难波4	1110-1110-1110-1160-1180	2		14	1	1	1				1	0	1
															
201801		新2-8困难波1	1110-1110-1120	2		14	1	1	1				1	0	
201802		新2-8困难波2	1110-1110-1110-1120-1180	2		14	1	1	1				1	0	
201803		新2-8困难波3	1110-1110-1150-1170	2		14	1	1	1				1	0	
201804		新2-8困难波4	1110-1110-1110-1180-1120-1120	2		14	1	1	1				1	0	1
															
201901		新2-9困难波1	1180-1150-1150	2		14	1	1	1				1	0	
201902		新2-9困难波2	1110-1110-1110-1120-1120	2		14	1	1	1				1	0	
201903		新2-9困难波3	1110-1110-1110-1180-1180	2		14	1	1	1				1	0	
201904		新2-9困难波4	1110-1110-1110-1150-1160-1160	2		14	1	1	1				1	0	1
															
202001		新2-10困难波1	1110-1110-1110-1120	2		14	1	1	1				1	0	
202002		新2-10困难波2	1110-1110-1110-1110-1150-1150	2		14	1	1	1				1	0	
202003		新2-10困难波3	1110-1110-1110-1120-1120	2		14	1	1	1				1	0	
202004		新2-10困难波4	1110-1110-1110-1160-1150	2		14	1	1	1				1	0	1
															
202101		新2-11困难波1	1110-1110-1110-1120	2		15	1	1	1				1	0	
202102		新2-11困难波2	1110-1110-1110-1110-1180	2		15	1	1	1				1	0	
202103		新2-11困难波3	1110-1110-1110-1180	2		15	1	1	1				1	0	
202104		新2-11困难波4	1110-1110-1110-1160-1180	2		15	1	1	1				1	0	1
															
202201		新2-12困难波1	1110-1110-1120	2		15	1	1	1				1	0	
202202		新2-12困难波2	1110-1110-1110-1120-1180	2		15	1	1	1				1	0	
202203		新2-12困难波3	1110-1110-1150-1170	2		15	1	1	1				1	0	
202204		新2-12困难波4	1110-1110-1110-1180-1120-1120	2		15	1	1	1				1	0	1
															
202301		新2-13困难波1	1180-1150-1150	2		15	1	1	1				1	0	
202302		新2-13困难波2	1110-1110-1110-1120-1120	2		15	1	1	1				1	0	
202303		新2-13困难波3	1110-1110-1110-1180-1180	2		15	1	1	1				1	0	
202304		新2-13困难波4	1110-1110-1110-1150-1160-1160	2		15	1	1	1				1	0	1
															
202401		新2-14困难波1	1110-1110-1110-1120	2		15	1	1	1				1	0	
202402		新2-14困难波2	1110-1110-1110-1110-1150-1150	2		15	1	1	1				1	0	
202403		新2-14困难波3	1110-1110-1110-1120-1120	2		15	1	1	1				1	0	
202404		新2-14困难波4	1110-1110-1110-1160-1150	2		15	1	1	1				1	0	1
															
202501		新2-15困难波1	1110-1110-1110-1120	2		15	1	1	1				1	0	
202502		新2-15困难波2	1110-1110-1110-1110-1180	2		15	1	1	1				1	0	
202503		新2-15困难波3	1110-1110-1110-1180	2		15	1	1	1				1	0	
202504		新2-15困难波4	1110-1110-1110-1160-1180	2		15	1	1	1				1	0	1
															
212011	第二章噩梦模式	噩梦新2-1简单波1	1260-1260-1250-1210	2		18	1	1	1				1	0	
212012		噩梦新2-1简单波2	1210-1210-1270-1280	2		18	1	1	1				1	0	
212013		噩梦新2-1简单波3	1260-1270-1280-1220	2		18	1	1	1				1	0	
212014		噩梦新2-1简单波4	1210-1210-1280-1280	2		18	1	1	1				1	0	1
															
212016		噩梦新2-2简单波1	2240-2240-2220-2220-2220	2		18	1	1	1				1	0	
212017		噩梦新2-2简单波2	2210-2210-2230-2230-2230	2		18	1	1	1				1	0	
212018		噩梦新2-2简单波3	2240-2240-2200-2200-2250	2		18	1	1	1				1	0	1
															
212020		噩梦新2-3简单波1	2240-2240-2230-1220	2		18	1	1	1				1	0	
212021		噩梦新2-3简单波2	2200-2200-1260-1260	2		18	1	1	1				1	0	
212022		噩梦新2-3简单波3	1260-1260-1280-2200	2		18	1	1	1				1	0	
212023		噩梦新2-3简单波4	2230-2230-1250-1250	2		18	1	1	1				1	0	1
															
222011		噩梦2-4简单波1	2240-2240-2230-2220-2220	2		19	1	1	1				1	0	
222012		噩梦2-4简单波2	2250-2250-2220-2210-2210	2		19	1	1	1				1	0	
222013		噩梦2-4简单波3	2230-2230-2230-2220-2220	2		19	1	1	1				1	0	1
															
222016		噩梦2-5简单波1	1260-1260-1220-1250	2		19	1	1	1				1	0	
222017		噩梦2-5简单波2	1210-1210-1270-1280	2		19	1	1	1				1	0	
222018		噩梦2-5简单波3	1260-1260-1220-1250	2		19	1	1	1				1	0	
222019		噩梦2-5简单波4	1260-1210-1270-1280	2		19	1	1	1				1	0	1
															
222022		噩梦2-6简单波1	2240-2240-2200-2200-2220	2		19	1	1	1				1	0	
222023		噩梦2-6简单波2	2250-2250-1210-1210-1210	2		19	1	1	1				1	0	
222024		噩梦2-6简单波3	1280-1270-2230-2200-2200	2		19	1	1	1				1	0	1
															
223011		噩梦2-7简单波1	1260-1280	2		20	1	1	1				1	0	
223012		噩梦2-7简单波2	1210-1250	2		20	1	1	1				1	0	
223013		噩梦2-7简单波3	1270-1280	2		20	1	1	1				1	0	
223014		噩梦2-7简单波4	1260-1220	2		20	1	1	1				1	0	
223015		噩梦2-7简单波5	1250-1280	2		20	1	1	1				1	0	1
															
223016		噩梦2-8简单波1	2240-2240-2220-2220-2230	2		20	1	1	1				1	0	
223017		噩梦2-8简单波2	2210-2210-2220-2240-2240	2		20	1	1	1				1	0	
223018		噩梦2-8简单波3	2240-2240-2220-2220-2230	2		20	1	1	1				1	0	1
															
223022		噩梦2-9简单波1	1260-1260-1250-1250	2		20	1	1	1				1	0	
223023		噩梦2-9简单波2	1260-1260-1220-1220	2		20	1	1	1				1	0	
223024		噩梦2-9简单波3	20201-1260-1260	2		20	1	1	1				1	0	1
															
310011	第三章简单模式	新3-2简单波1	1010-1010-1020-1020	2		11	1	1	1				1	0	
310012		新3-2简单波2	1010-1010-1020-1050	2		11	1	1	1				1	0	
310013		新3-2简单波3	1010-1010-1010-1150-1150	2		11	1	1	1				1	0	
310014		新3-2简单波4	620402-1010-1010-1050	2		11	1	1	1				1	1	1
															
310015		新3-3简单波1	1010-1010-1010-1020-1020	2		11	1	1	1				1	0	
310016		新3-3简单波2	1060-1020-1050-1010-1010	2		11	1	1	1				1	0	
310017		新3-3简单波3	624301	2		11	1	1	1				1	1	1
															
310019		新F3-1简单波1	1050-1050	2		11	1	1	1				1	0	
310020		新F3-1简单波2	1060-1070	2		11	1	1	1				1	0	
310021		新F3-1简单波3	1060-1020	2		11	1	1	1				1	0	
310022		新F3-1简单波4	1010-1070	2		11	1	1	1				1	0	
310023		新F3-1简单波5	1080-1080	2		11	1	1	1				1	0	
310024		新F3-1简单波6	1060-1070	2		11	1	1	1				1	0	1
															
310025		新F3-2简单波1	2000-2000-2000-2020-2030	2		11	1	1	1				1	0	
310026		新F3-2简单波2	2010-2010-2000-2000-2030	2		11	1	1	1				1	0	
310027		新F3-2简单波3	2010-2010-2010-2030-2020	2		11	1	1	1				1	0	1
310028		新F3-2简单波4	2030-2000-2000-2020-2020	2		11	1	1	1				1	0	
															
320011		新3-5简单波1	1010-1010-1020-1020	2		13	1	1	1				1	0	
320012		新3-5简单波2	1010-1010-1050-1050	2		13	1	1	1				1	0	
320013		新3-5简单波3	1060-1050-1050-1010-1010	2		13	1	1	1				1	0	
320014		新3-5简单波4	1060-1060-1020-1020-1020	2		13	1	1	1				1	0	1
															
320015		新3-6简单波1	1010-1010-1050-1020	2		13	1	1	1				1	0	
320016		新3-6简单波2	1060-1020-1020-1010-1010	2		13	1	1	1				1	0	
320017		新3-6简单波3	620402	2		13	1	1	1				1	1	1
															
320019		新3-8简单波1	2000-2000-2010-2010-2010	2		13	1	1	1				1	0	
320020		新3-8简单波2	2010-2010-2020-2020-2020	2		13	1	1	1				1	0	
320021		新3-8简单波3	2040-2010-2010-2010	2		13	1	1	1				1	0	
320022		新3-8简单波4	2040-2000-2000-2000	2		13	1	1	1				1	0	1
															
320023		新3-9简单波1	624301	2		13	1	1	1					1	1
															
330011		新3-11简单波1	2000-2000-2020-2020	2		15	1	1	1				1	0	
330012		新3-11简单波2	2010-2010-2020-2020	2		15	1	1	1				1	0	
330013		新3-11简单波3	2020-2020-2000-2000-2000	2		15	1	1	1				1	0	
330014		新3-11简单波4	2010-2010-2010-2050-2050	2		15	1	1	1				1	0	1
															
330015		新3-12简单波1	2010-2010-2010-2010	2		15	1	1	1				1	0	
330016		新3-12简单波2	2000-2000-2000-2000	4		15	1	1	1				1	0	
330017		新3-12简单波3	2040-2010-2010-2010-2020	2		15	1	1	1				1	0	
330018		新3-12简单波4	2030-2030-2020-2020-2020	4		15	1	1	1				1	0	1
															
330019		新3-13简单波1	2000-2000-2020-2020	2		15	1	1	1				1	0	
330020		新3-13简单波2	2040-2010-2010-2010	2		15	1	1	1				1	0	
330021		新3-13简单波3	624301	2		15	1	1	1				1	1	1
330022		新3-13简单波4	624401	2		15	1	1	1				1	1	
															
330023		新3-14简单波1	624401	2		15	1	1	1				1	1	1
															
311011	第三章困难	困难s3l1波1	1110-1110-1120-1160	2		16	1	1	1				1	0	
311012		困难s3l1波2	1110-1110-1120-1150	2		16	1	1	1				1	0	
311013		困难s3l1波3	1110-1110-1110-1150-1170	4		16	1	1	1				1	0	
311014		困难s3l1波4	1110-1110-1110-1160-1170	4		16	1	1	1				1	0	1
															
311015		困难s3l2波1	2100-2100-2110	2		16	1	1	1				1	0	
311016		困难s3l2波2	2100-2100-2120-2120	2		16	1	1	1				1	0	
311017		困难s3l2波3	2100-2100-2120-2150	4		16	1	1	1				1	0	
311018		困难s3l2波4	2100-2100-2110-2120-2130-2150	4		16	1	1	1				1	0	1
															
311019		困难s3l3波1	3100-3100-3110-3130	2		16	1	1	1				1	0	
311020		困难s3l3波2	3100-3100-3110-3120	2		16	1	1	1				1	0	
311021		困难s3l3波3	3100-3100-3100-3120-3140	4		16	1	1	1				1	0	
311022		困难s3l3波4	3100-3100-3100-3130-3140	4		16	1	1	1				1	0	1
															
311023		困难s3l4波1	2100-2100-2110-2130	2		16	1	1	1				1	0	
311024		困难s3l4波2	2100-2100-2110-2120	2		16	1	1	1				1	0	
311025		困难s3l4波3	2100-2100-2100-2120-2140	4		16	1	1	1				1	0	
311026		困难s3l4波4	2100-2100-2100-2130-2140	4		16	1	1	1				1	0	1
															
311027		困难s3l5波1	1110-1110-1120	2		16	1	1	1				1	0	
311028		困难s3l5波2	1110-1110-1150-1150	2		16	1	1	1				1	0	
311029		困难s3l5波3	1110-1110-1150-1180	4		16	1	1	1				1	0	
311030		困难s3l5波4	1110-1110-1120-1150-1160-1180	4		16	1	1	1				1	0	1
															
311031		困难s3l6波1	3100-3100-3110	2		17	1	1	1				1	0	
311032		困难s3l6波2	3100-3100-3120-3120	2		17	1	1	1				1	0	
311033		困难s3l6波3	3100-3100-3120-3150	4		17	1	1	1				1	0	
311034		困难s3l6波4	3100-3100-3110-3120-3130-3150	4		17	1	1	1				1	0	1
															
311035		困难s3l7波1	2100-2100-2100-2110	2		17	1	1	1				1	0	
311036		困难s3l7波2	2100-2100-2110-2140	2		17	1	1	1				1	0	
311037		困难s3l7波3	2100-2100-2120-2120	4		17	1	1	1				1	0	
311038		困难s3l7波4	2100-2100-2120-2120-2130-2140	4		17	1	1	1				1	0	1
															
311039		困难s3l8波1	3100-3100-3100-3110	2		17	1	1	1				1	0	
311040		困难s3l8波2	3100-3100-3110-3140	2		17	1	1	1				1	0	
311041		困难s3l8波3	3100-3100-3120-3120	4		17	1	1	1				1	0	
311042		困难s3l8波4	3100-3100-3120-3120-3130-3140	4		17	1	1	1				1	0	1
															
311043		困难s3l9波1	1110-1110-1110-1120	2		17	1	1	1				1	0	
311044		困难s3l9波2	1110-1110-1120-1170	2		17	1	1	1				1	0	
311045		困难s3l9波3	1110-1110-1150-1150	4		17	1	1	1				1	0	
311046		困难s3l9波4	1110-1110-1150-1150-1160-1170	4		17	1	1	1				1	0	1
															
311047		困难s3l10波1	1110-1110-1110-1120	2		17	1	1	1				1	0	
311048		困难s3l10波2	1110-1110-1150-1170	2		17	1	1	1				1	0	
311049		困难s3l10波3	1110-1110-1120-1120-1160	4		17	1	1	1				1	0	
311050		困难s3l10波4	1110-1110-1120-1120-1160-1170	4		17	1	1	1				1	0	1
															
311051		困难s3l11波1	3100-3100-3100-3110	2		19	1	1	1				1	0	
311052		困难s3l11波2	3100-3100-3120-3140	2		19	1	1	1				1	0	
311053		困难s3l11波3	3100-3100-3110-3110-3130	4		19	1	1	1				1	0	
311054		困难s3l11波4	3100-3100-3110-3110-3130-3140	4		19	1	1	1				1	0	1
															
311055		困难s3l12波1	2100-2100-2100-2110	2		19	1	1	1				1	0	
311056		困难s3l12波2	2100-2100-2120-2140	2		19	1	1	1				1	0	
311057		困难s3l12波3	2100-2100-2110-2110-2130	4		19	1	1	1				1	0	
311058		困难s3l12波4	2100-2100-2110-2110-2130-2140	4		19	1	1	1				1	0	1
															
311059		困难s3l13波1	2100-2100-2100-2120	2		19	1	1	1				1	0	
311060		困难s3l13波2	2100-2100-2110-2150	2		19	1	1	1				1	0	
311061		困难s3l13波3	2100-2100-2100-2120-2140	4		19	1	1	1				1	0	
311062		困难s3l13波4	2100-2100-2100-2130-2150	4		19	1	1	1				1	0	1
															
311063		困难s3l14波1	1110-1110-1110-1150	2		19	1	1	1				1	0	
311064		困难s3l14波2	1110-1110-1120-1180	2		19	1	1	1				1	0	
311065		困难s3l14波3	1110-1110-1110-1150-1170	4		19	1	1	1				1	0	
311066		困难s3l14波4	1110-1110-1110-1160-1180	4		19	1	1	1				1	0	1
															
311067		困难s3l15波1	3100-3100-3100-3120	2		19	1	1	1				1	0	
311068		困难s3l15波2	3100-3100-3110-3150	2		19	1	1	1				1	0	
311069		困难s3l15波3	3100-3100-3100-3120-3140	4		19	1	1	1				1	0	
311070		困难s3l15波4	3100-3100-3100-3130-3150	4		19	1	1	1				1	0	1
															
312011	第三章噩梦模式	噩梦新3-1简单波1	2230-2230-2200-2200	2		21	1	1	1				1	0	
312012		噩梦新3-1简单波2	2240-2240-2220-2220	2		21	1	1	1				1	0	
312013		噩梦新3-1简单波3	2210-2210-2250-2250	2		21	1	1	1				1	0	
