id	对应精灵id	精灵名称	格子id	格子外形	稀有度分区	结晶外观图	格子背景	格子位置	icon	相邻格子的id	解锁条件[格子id,格子id2]	效果描述	加成效果{属性id,数值}	突破需要道具	战斗力加成
32	110101	十香	32		5			25	icon/attribute/70x70/3.png	31-34-35	[31]	防御+8	{3:800}	{500001:20000,510216:5,510223:2,510217:2}	7
33	110101	十香	33		5			29	icon/attribute/70x70/1.png	31-35	[31]	生命+53	{1:5300}	{500001:20000,510213:6,510224:3,510221:3}	7
34	110101	十香	34		5			32	icon/attribute/70x70/2.png	32	[32]	攻击+15	{2:1500}	{500001:20000,510221:3,510223:3,510222:3}	9
35	110101	十香	35		5			36	icon/attribute/70x70/3.png	32-33-36	[32,33]	防御+8	{3:800}	{500001:20000,510220:3,510220:3,510219:3}	9
36	110101	十香	36		6			3	icon/attribute/70x70/1.png	35-37	[35]	生命+60	{1:6000}	{500001:30000,510217:3,510223:3,510222:3}	8
37	110101	十香	37		6			7	icon/attribute/70x70/3.png	36-40	[36]	防御+10	{3:1000}	{500001:30000,510219:4,510218:4,510224:4}	8
38	110101	十香	38		6			10	icon/attribute/70x70/503.png	39	[39]	抗暴率+1.5%	{508:150}	{500001:60000,510217:4,510220:4,510227:1}	8
39	110101	十香	39		6			14	icon/attribute/70x70/2.png	38-40-42	[40]	攻击+15	{2:1500}	{500001:30000,510218:4,510224:4,510225:1}	8
40	110101	十香	40		6			18	icon/attribute/70x70/508.png	37-39	[37]	防御力+1.0%	{1003:100}	{500001:60000,510222:4,510224:4,510230:1}	8
41	110101	十香	41		6			21	icon/attribute/70x70/3.png	42-44	[42]	防御+11	{3:1100}	{500001:30000,510221:5,510223:2,510232:2}	8
42	110101	十香	42		6			25	icon/attribute/70x70/2.png	39-41-43	[39]	攻击+17	{2:1700}	{500001:30000,510219:5,510226:2,510231:2}	8
43	110101	十香	43		6			29	icon/attribute/70x70/2.png	42	[42]	格挡率+1.5%	{504:150}	{500001:60000,510218:5,510232:2,510227:2}	8
44	110101	十香	44		6			32	icon/attribute/70x70/1.png	41-45	[41]	生命+60	{1:6000}	{500001:30000,510222:5,510225:2,510229:2}	10
45	110101	十香	45		6			36	icon/attribute/70x70/3.png	44-46	[44]	防御+11	{3:1100}	{500001:30000,510217:6,510228:3,510226:3}	10
46	110101	十香	46		7			3	icon/attribute/70x70/3.png	45-47-48	[45]	防御+12	{3:1200}	{500001:50000,510229:3,510225:3,510231:3}	10
47	110101	十香	47		7			13	icon/attribute/70x70/1.png	46-49	[46]	防御力+1.5%	{1003:150}	{500001:100000,510228:3,510227:3,510230:3}	10
48	110101	十香	48		7			15	icon/attribute/70x70/1.png	46-50	[46]	生命+67	{1:6700}	{500001:50000,510231:4,510232:4,510226:4}	10
49	110101	十香	49		7			17	icon/attribute/70x70/2.png	47-51	[47,51]	攻击+17	{2:1700}	{500001:50000,510229:4,510226:4,510239:3}	10
50	110101	十香	50		7			22	icon/attribute/70x70/3.png	48-52	[48,52]	防御+12	{3:1200}	{500001:50000,510230:4,510228:4,510238:3}	10
51	110101	十香	51		7			24	icon/attribute/70x70/504.png	49-52-53	[49,52]	抗暴率+2.0%	{508:200}	{500001:100000,510228:5,510231:5,510236:4}	10
52	110101	十香	52		7			26	icon/attribute/70x70/2.png	50-51-54	[50,51]	攻击+17	{2:1700}	{500001:50000,510225:5,510240:4,510235:4}	10
53	110101	十香	53		7			28	icon/attribute/70x70/1.png	51-55	[51,55]	生命+67	{1:6700}	{500001:50000,510227:5,510237:4,510234:4}	10
54	110101	十香	54		7			33	icon/attribute/70x70/3.png	52-56	[52,56]	格挡率+2.0%	{504:200}	{500001:100000,510230:6,510233:5,510239:5}	12
55	110101	十香	55		7			35	icon/attribute/70x70/3.png	53-56	[53,56]	防御+12	{3:1200}	{500001:50000,510238:5,510234:5,510233:5}	12
56	110101	十香	56		7			37	icon/attribute/70x70/1.png	54-55	[54,55]	生命+67	{1:6700}	{500001:50000,510240:5,510235:5,510237:5}	12
57	110103	反转十香	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/3.png	2		防御+5	{3:500}	{500001:2000,510206:1,510204:1,510202:1}	4
58	110103	反转十香	2		1			14	icon/attribute/70x70/2.png	1-3-4	[1]	攻击+9	{2:900}	{500001:2000,510201:2,510202:2,510206:2}	4
59	110103	反转十香	3		1			24	icon/attribute/70x70/1.png	2-5	[2]	生命+29	{1:2900}	{500001:2000,510204:2,510208:2,510207:2}	4
60	110103	反转十香	4		1			26	icon/attribute/70x70/2.png	2-5	[2]	攻击+9	{2:900}	{500001:2000,510203:2,510206:2,510203:2}	4
61	110103	反转十香	5		1			36	icon/attribute/70x70/502.png	3-4-6	[3,4]	暴击伤害+3.0%	{509:300}	{500001:4000,510204:2,510202:2,510205:2}	4
62	110103	反转十香	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/1.png	5-7	[5]	生命+29	{1:2900}	{500001:5000,510208:3,510207:3,510205:3}	5
63	110103	反转十香	7		2			14	icon/attribute/70x70/2.png	6-8-9	[6]	攻击+11	{2:1100}	{500001:5000,510201:3,510203:3,510209:1}	5
64	110103	反转十香	8		2			18	icon/attribute/70x70/2.png	7-10	[7]	攻击+11	{2:1100}	{500001:5000,510208:3,510205:3,510211:1}	5
65	110103	反转十香	9		2			21	icon/attribute/70x70/3.png	7-10	[7]	防御+5	{3:500}	{500001:5000,510202:3,510201:3,510213:1}	5
66	110103	反转十香	10		2			25	icon/attribute/70x70/507.png	8-9-11	[8,9]	暴击率+1.0%	{507:100}	{500001:10000,510205:3,510207:3,510210:1}	6
67	110103	反转十香	11		2			36	icon/attribute/70x70/1.png	10-12	[10]	生命+36	{1:3600}	{500001:5000,510201:3,510203:3,510215:1}	6
68	110103	反转十香	12		3			3	icon/attribute/70x70/1.png	11-13	[11]	生命+36	{1:3600}	{500001:10000,510207:4,510204:4,510209:2}	6
69	110103	反转十香	13		3			7	icon/attribute/70x70/501.png	12-14	[12]	暴击率+1.0%	{507:100}	{500001:20000,510205:4,510209:2,510215:2}	6
70	110103	反转十香	14		3			14	icon/attribute/70x70/2.png	13-15	[13]	攻击+13	{2:1300}	{500001:10000,510208:4,510211:2,510210:2}	6
71	110103	反转十香	15		3			21	icon/attribute/70x70/2.png	14-16	[14]	攻击+13	{2:1300}	{500001:10000,510201:4,510215:2,510213:2}	6
72	110103	反转十香	16		3			25	icon/attribute/70x70/515.png	15-17	[15]	伤害加成+1.0%	{501:100}	{500001:20000,510205:4,510209:2,510212:2}	6
73	110103	反转十香	17		3			29	icon/attribute/70x70/1.png	16-18	[16]	生命+43	{1:4300}	{500001:10000,510206:4,510211:2,510210:2}	7
74	110103	反转十香	18		3			36	icon/attribute/70x70/3.png	17-19	[17]	防御+7	{3:700}	{500001:10000,510208:3,510209:3,510216:3}	7
75	110103	反转十香	19		4			3	icon/attribute/70x70/3.png	18-20-21	[18]	防御+7	{3:700}	{500001:15000,510210:3,510213:3,510214:3}	6
76	110103	反转十香	20		4			7	icon/attribute/70x70/1.png	19-22	[19]	生命+43	{1:4300}	{500001:15000,510215:3,510210:3,510211:3}	6
77	110103	反转十香	21		4			14	icon/attribute/70x70/6.png	19-22-24	[19]	暴击伤害+3.0%	{509:300}	{500001:30000,510214:3,510211:3,510212:3}	6
78	110103	反转十香	22		4			18	icon/attribute/70x70/2.png	20-21	[20,21]	攻击+15	{2:1500}	{500001:15000,510213:3,510210:3,510216:3}	6
79	110103	反转十香	23		4			21	icon/attribute/70x70/502.png	24-25	[24]	暴击率+2.0%	{507:200}	{500001:30000,510209:4,510212:4,510214:1}	6
80	110103	反转十香	24		4			25	icon/attribute/70x70/2.png	21-23-26	[21]	攻击+15	{2:1500}	{500001:15000,510216:4,510213:4,510219:1}	6
81	110103	反转十香	25		4			32	icon/attribute/70x70/3.png	23-26	[23,26]	防御+8	{3:800}	{500001:15000,510212:4,510215:4,510224:1}	8
82	110103	反转十香	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24]	生命+50	{1:5000}	{500001:15000,510212:4,510211:4,510220:1}	8
83	110103	反转十香	27		5			3	icon/attribute/70x70/3.png	26-28-30	[26]	防御+8	{3:800}	{500001:20000,510214:4,510216:4,510223:1}	7
84	110103	反转十香	28		5			7	icon/attribute/70x70/1.png	27-31	[27]	生命+50	{1:5000}	{500001:20000,510215:5,510214:2,510217:2}	7
85	110103	反转十香	29		5			10	icon/attribute/70x70/512.png	30	[30]	伤害加成+2.0%	{501:200}	{500001:40000,510216:5,510219:2,510223:2}	7
86	110103	反转十香	30		5			14	icon/attribute/70x70/2.png	27-29-31	[27]	攻击+17	{2:1700}	{500001:20000,510213:5,510223:2,510221:2}	7
87	110103	反转十香	31		5			18	icon/attribute/70x70/509.png	28-30-32-33	[28,30]	暴击伤害+4.0%	{509:400}	{500001:40000,510211:5,510221:2,510222:2}	7
88	110103	反转十香	32		5			25	icon/attribute/70x70/3.png	31-34-35	[31]	防御+10	{3:1000}	{500001:20000,510216:5,510218:2,510219:2}	7
89	110103	反转十香	33		5			29	icon/attribute/70x70/1.png	31-35	[31]	生命+57	{1:5700}	{500001:20000,510214:6,510221:3,510218:3}	7
90	110103	反转十香	34		5			32	icon/attribute/70x70/2.png	32	[32]	攻击+20	{2:2000}	{500001:20000,510217:3,510222:3,510226:3}	9
91	110103	反转十香	35		5			36	icon/attribute/70x70/3.png	32-33-36	[32,33]	防御+10	{3:1000}	{500001:20000,510223:3,510220:3,510226:3}	9
92	110103	反转十香	36		6			3	icon/attribute/70x70/1.png	35-37	[35]	生命+65	{1:6500}	{500001:30000,510224:3,510220:3,510227:3}	8
93	110103	反转十香	37		6			7	icon/attribute/70x70/3.png	36-40	[36]	防御+11	{3:1100}	{500001:30000,510217:4,510224:4,510225:4}	8
94	110103	反转十香	38		6			10	icon/attribute/70x70/513.png	39	[39]	暴击伤害+5.0%	{509:500}	{500001:60000,510221:4,510229:4,510227:1}	8
95	110103	反转十香	39		6			14	icon/attribute/70x70/2.png	38-40-42	[40]	攻击+20	{2:2000}	{500001:30000,510222:4,510226:4,510225:1}	8
96	110103	反转十香	40		6			18	icon/attribute/70x70/507.png	37-39	[37]	暴击率+2.0%	{507:200}	{500001:60000,510224:4,510230:4,510229:1}	8
97	110103	反转十香	41		6			21	icon/attribute/70x70/3.png	42-44	[42]	防御+12	{3:1200}	{500001:30000,510218:5,510228:2,510232:2}	8
98	110103	反转十香	42		6			25	icon/attribute/70x70/2.png	39-41-43	[39]	攻击+22	{2:2200}	{500001:30000,510229:5,510225:2,510228:2}	8
99	110103	反转十香	43		6			29	icon/attribute/70x70/501.png	42	[42]	暴击伤害+5.0%	{509:500}	{500001:60000,510225:5,510232:2,510230:2}	8
100	110103	反转十香	44		6			32	icon/attribute/70x70/1.png	41-45	[41]	生命+65	{1:6500}	{500001:30000,510230:5,510228:2,510231:2}	10
101	110103	反转十香	45		6			36	icon/attribute/70x70/3.png	44-46	[44]	防御+12	{3:1200}	{500001:30000,510225:6,510227:3,510226:3}	10
102	110103	反转十香	46		7			3	icon/attribute/70x70/3.png	45-47-48	[45]	防御+14	{3:1400}	{500001:50000,510229:3,510230:3,510232:3}	10
103	110103	反转十香	47		7			13	icon/attribute/70x70/509.png	46-49	[46]	暴击率+2.0%	{507:200}	{500001:100000,510226:3,510227:3,510220:3}	10
104	110103	反转十香	48		7			15	icon/attribute/70x70/1.png	46-50	[46]	生命+72	{1:7200}	{500001:50000,510230:4,510228:4,510229:4}	10
105	110103	反转十香	49		7			17	icon/attribute/70x70/2.png	47-51	[47,51]	攻击+22	{2:2200}	{500001:50000,510232:4,510231:4,510228:3}	10
106	110103	反转十香	50		7			22	icon/attribute/70x70/3.png	48-52	[48,52]	防御+14	{3:1400}	{500001:50000,510227:4,510220:4,510231:3}	10
107	110103	反转十香	51		7			24	icon/attribute/70x70/514.png	49-52-53	[49,52]	伤害加成+3.0%	{501:300}	{500001:100000,510231:5,510232:5,510239:4}	10
108	110103	反转十香	52		7			26	icon/attribute/70x70/2.png	50-51-54	[50,51]	攻击+22	{2:2200}	{500001:50000,510228:5,510239:4,510237:4}	10
109	110103	反转十香	53		7			28	icon/attribute/70x70/1.png	51-55	[51,55]	生命+72	{1:7200}	{500001:50000,510220:5,510240:4,510236:4}	10
110	110103	反转十香	54		7			33	icon/attribute/70x70/502.png	52-56	[52,56]	暴击伤害+5.0%	{509:500}	{500001:100000,510230:6,510233:5,510235:5}	12
111	110103	反转十香	55		7			35	icon/attribute/70x70/3.png	53-56	[53,56]	防御+14	{3:1400}	{500001:50000,510236:5,510234:5,510238:5}	12
112	110103	反转十香	56		7			37	icon/attribute/70x70/1.png	54-55	[54,55]	生命+72	{1:7200}	{500001:50000,510234:5,510233:5,510235:5}	12
113	110201	折纸	1		1	ui/jiejin01.png	ui/tu01.png	14	icon/attribute/70x70/2.png	2		攻击+7	{2:700}	{500001:2000,510206:1,510204:1,510202:1}	4
114	110201	折纸	2		1			25	icon/attribute/70x70/1.png	1-3-4	[1]	生命+27	{1:2700}	{500001:2000,510201:2,510202:2,510206:2}	4
115	110201	折纸	3		1			29	icon/attribute/70x70/2.png	2-5	[2]	攻击+7	{2:700}	{500001:2000,510204:2,510208:2,510207:2}	4
116	110201	折纸	4		1			32	icon/attribute/70x70/3.png	2-5	[2]	防御+4	{3:400}	{500001:2000,510203:2,510206:2,510203:2}	4
117	110201	折纸	5		1			36	icon/attribute/70x70/506.png	3-4-6	[3,4]	移动速度+1	{11:100}	{500001:4000,510204:2,510202:2,510205:2}	4
118	110201	折纸	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+4	{3:400}	{500001:5000,510208:3,510207:3,510205:3}	5
119	110201	折纸	7		2			10	icon/attribute/70x70/2.png	6-8	[6]	攻击+8	{2:800}	{500001:5000,510201:3,510203:3,510209:1}	5
120	110201	折纸	8		2			14	icon/attribute/70x70/1.png	6-7-9	[6]	生命+27	{1:2700}	{500001:5000,510208:3,510205:3,510211:1}	5
121	110201	折纸	9		2			25	icon/attribute/70x70/3.png	8-10-11	[8]	防御+5	{3:500}	{500001:5000,510202:3,510201:3,510213:1}	5
122	110201	折纸	10		2			29	icon/attribute/70x70/11.png	9-11	[9]	攻击速度+1	{6:100}	{500001:10000,510205:3,510207:3,510210:1}	6
123	110201	折纸	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+8	{2:800}	{500001:5000,510201:3,510203:3,510215:1}	6
124	110201	折纸	12		3			3	icon/attribute/70x70/3.png	11-13-14	[11]	防御+5	{3:500}	{500001:10000,510207:4,510204:4,510209:2}	6
125	110201	折纸	13		3			7	icon/attribute/70x70/501.png	12-15	[12]	移动速度+1	{11:100}	{500001:20000,510205:4,510209:2,510215:2}	6
126	110201	折纸	14		3			14	icon/attribute/70x70/1.png	12-15-16	[12]	生命+33	{1:3300}	{500001:10000,510208:4,510211:2,510210:2}	6
127	110201	折纸	15		3			18	icon/attribute/70x70/2.png	13-14	[13,14]	攻击+10	{2:1000}	{500001:10000,510201:4,510215:2,510213:2}	6
128	110201	折纸	16		3			25	icon/attribute/70x70/2.png	14-17-18	[14]	攻击+10	{2:1000}	{500001:10000,510205:4,510209:2,510212:2}	6
129	110201	折纸	17		3			32	icon/attribute/70x70/6.png	16-18	[16]	攻击速度+1	{6:100}	{500001:20000,510206:4,510211:2,510210:2}	7
130	110201	折纸	18		3			36	icon/attribute/70x70/3.png	16-17-19	[16]	防御+6	{3:600}	{500001:10000,510208:3,510209:3,510216:3}	7
131	110201	折纸	19		4			3	icon/attribute/70x70/1.png	18-20-21	[18]	生命+33	{1:3300}	{500001:15000,510210:3,510213:3,510214:3}	6
132	110201	折纸	20		4			7	icon/attribute/70x70/3.png	19-22	[19]	防御+6	{3:600}	{500001:15000,510215:3,510210:3,510211:3}	6
133	110201	折纸	21		4			14	icon/attribute/70x70/2.png	19-22-23	[19]	攻击+12	{2:1200}	{500001:15000,510214:3,510211:3,510212:3}	6
134	110201	折纸	22		4			18	icon/attribute/70x70/2.png	20-21-24-25	[20,21]	闪避率+0.5%	{506:50}	{500001:30000,510213:3,510210:3,510216:3}	6
135	110201	折纸	23		4			21	icon/attribute/70x70/11.png	21-24	[21,24]	移动速度+1	{11:100}	{500001:30000,510209:4,510212:4,510214:1}	6
136	110201	折纸	24		4			25	icon/attribute/70x70/1.png	22-23-26	[22,23]	生命+40	{1:4000}	{500001:15000,510216:4,510213:4,510219:1}	6
137	110201	折纸	25		4			29	icon/attribute/70x70/2.png	22-26	[22,26]	攻击+12	{2:1200}	{500001:15000,510212:4,510215:4,510224:1}	8
138	110201	折纸	26		4			36	icon/attribute/70x70/3.png	24-25-27	[24,25]	防御+7	{3:700}	{500001:15000,510212:4,510211:4,510220:1}	8
139	110201	折纸	27		5			3	icon/attribute/70x70/2.png	26-28-29-32	[26]	攻击+13	{2:1300}	{500001:20000,510214:4,510216:4,510223:1}	7
140	110201	折纸	28		5			7	icon/attribute/70x70/1.png	27-30	[27]	生命+40	{1:4000}	{500001:20000,510215:5,510214:2,510217:2}	7
141	110201	折纸	29		5			10	icon/attribute/70x70/3.png	27-31	[27]	防御+7	{3:700}	{500001:20000,510216:5,510219:2,510223:2}	7
142	110201	折纸	30		5			18	icon/attribute/70x70/2.png	28-32-33	[28,32,33]	闪避率+1.0%	{506:100}	{500001:40000,510213:5,510223:2,510221:2}	7
143	110201	折纸	31		5			21	icon/attribute/70x70/11.png	29-32-34	[29,32,34]	移动速度+2	{11:200}	{500001:40000,510211:5,510221:2,510222:2}	7
144	110201	折纸	32		5			25	icon/attribute/70x70/1.png	27-30-31-35	[27]	生命+47	{1:4700}	{500001:20000,510216:5,510218:2,510219:2}	7
145	110201	折纸	33		5			29	icon/attribute/70x70/3.png	30-35	[30,35]	防御+8	{3:800}	{500001:20000,510214:6,510221:3,510218:3}	7
146	110201	折纸	34		5			32	icon/attribute/70x70/2.png	31-35	[31,35]	攻击+15	{2:1500}	{500001:20000,510217:3,510222:3,510226:3}	9
147	110201	折纸	35		5			36	icon/attribute/70x70/2.png	32-33-34-36	[32,33,34]	攻击+15	{2:1500}	{500001:20000,510223:3,510220:3,510226:3}	9
148	110201	折纸	36		6			3	icon/attribute/70x70/1.png	35-37-38	[35]	生命+47	{1:4700}	{500001:30000,510224:3,510220:3,510227:3}	8
149	110201	折纸	37		6			13	icon/attribute/70x70/2.png	36-39-41	[36]	攻击+17	{2:1700}	{500001:30000,510217:4,510224:4,510225:4}	8
150	110201	折纸	38		6			15	icon/attribute/70x70/3.png	36-40-42	[36]	防御+9	{3:900}	{500001:30000,510221:4,510229:4,510227:1}	8
151	110201	折纸	39		6			17	icon/attribute/70x70/501.png	37-43	[37,43]	移动速度+2	{11:200}	{500001:60000,510222:4,510226:4,510225:1}	8
152	110201	折纸	40		6			22	icon/attribute/70x70/506.png	38-44	[38,44]	攻击速度+2	{6:200}	{500001:60000,510224:4,510230:4,510229:1}	8
153	110201	折纸	41		6			24	icon/attribute/70x70/3.png	37-43-45	[37,45]	防御+9	{3:900}	{500001:30000,510218:5,510228:2,510232:2}	8
154	110201	折纸	42		6			26	icon/attribute/70x70/1.png	38-44-45	[38,45]	生命+53	{1:5300}	{500001:30000,510229:5,510225:2,510228:2}	8
155	110201	折纸	43		6			28	icon/attribute/70x70/1.png	39-41	[39,41]	生命+60	{1:6000}	{500001:30000,510225:5,510232:2,510230:2}	8
156	110201	折纸	44		6			33	icon/attribute/70x70/2.png	40-42	[40,42]	攻击+17	{2:1700}	{500001:30000,510230:5,510228:2,510231:2}	10
157	110201	折纸	45		6			36	icon/attribute/70x70/6.png	41-42-46	[41,42]	移动速度+2	{11:200}	{500001:60000,510225:6,510227:3,510226:3}	10
158	110201	折纸	46		7			3	icon/attribute/70x70/3.png	45-47-48-49	[45]	防御+10	{3:1000}	{500001:50000,510229:3,510230:3,510232:3}	10
159	110201	折纸	47		7			7	icon/attribute/70x70/1.png	46-50	[46]	生命+60	{1:6000}	{500001:50000,510226:3,510227:3,510220:3}	10
160	110201	折纸	48		7			10	icon/attribute/70x70/1.png	46-51	[46]	生命+67	{1:6700}	{500001:50000,510230:4,510228:4,510229:4}	10
161	110201	折纸	49		7			14	icon/attribute/70x70/2.png	46-52-53	[46]	攻击+17	{2:1700}	{500001:50000,510232:4,510231:4,510228:3}	10
162	110201	折纸	50		7			17	icon/attribute/70x70/3.png	47-52-54	[47,52]	防御+10	{3:1000}	{500001:50000,510227:4,510220:4,510231:3}	10
163	110201	折纸	51		7			22	icon/attribute/70x70/3.png	48-53-55	[48,53]	防御+10	{3:1000}	{500001:50000,510231:5,510232:5,510239:4}	10
164	110201	折纸	52		7			24	icon/attribute/70x70/2.png	49-50-54-56	[49,50,56]	闪避率+1.5%	{506:150}	{500001:100000,510228:5,510239:4,510237:4}	10
165	110201	折纸	53		7			26	icon/attribute/70x70/501.png	49-51-55-56	[49,51,56]	移动速度+2	{11:200}	{500001:100000,510220:5,510240:4,510236:4}	10
166	110201	折纸	54		7			28	icon/attribute/70x70/1.png	50-52	[50,52]	生命+67	{1:6700}	{500001:50000,510230:6,510233:5,510235:5}	12
167	110201	折纸	55		7			33	icon/attribute/70x70/1.png	51-53	[51,53]	生命+67	{1:6700}	{500001:50000,510236:5,510234:5,510238:5}	12
168	110201	折纸	56		7			36	icon/attribute/70x70/506.png	52-53	[52,53]	闪避率+2.0%	{506:200}	{500001:100000,510234:5,510233:5,510235:5}	12
169	110301	四糸乃	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/2.png	2-3		攻击+6	{2:600}	{500001:2000,510202:1,510203:1,510208:1}	4
170	110301	四糸乃	2		1			13	icon/attribute/70x70/1.png	1-4	[1]	生命+29	{1:2900}	{500001:2000,510204:2,510206:2,510201:2}	4
171	110301	四糸乃	3		1			15	icon/attribute/70x70/3.png	1-4	[1]	防御+4	{3:400}	{500001:2000,510204:2,510201:2,510208:2}	4
172	110301	四糸乃	4		1			25	icon/attribute/70x70/513.png	2-3	[2,3]	闪避率+0.5%	{506:50}	{500001:4000,510208:2,510203:2,510204:2}	4
173	110301	四糸乃	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+6	{2:600}	{500001:2000,510207:2,510201:2,510203:2}	4
174	110301	四糸乃	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+4	{3:400}	{500001:5000,510202:3,510201:3,510205:3}	5
