特效ID	名字（策划看）	特效触发事件名	特效资源名	动画名称	固定特效朝向（包括固定特效朝向，或子弹飞行方向，不填则为释放者朝向，填1则固定X轴正方向，填2则固定X轴负方向）	特效颜色叠加	触发新特效几率	触发新特效	气浪强度（0为关闭，最强100）	是否循环	渲染层级(0在角色下层，1在人物上层，2根据地图Y值排序)	碰撞类型(0矩形，1多边形)	碰撞范围Y轴修正(上/下检测参数。根据特效父节点有2种情况。父节点为角色时，以角色影子为基础检测目标影子。父节点为其他时，以特效影子为基础检测目标影子。)	碰撞区域	缩放	特效类型（1普通型，2放出型）	牵引类型，放出型特效没有牵引数据（0或不填表示没有牵引，1推吸类型，2固定方向）	牵引速度X（推吸类型，只填写X轴正负速度值，正推负吸。固定方向类型，填写XY轴速度）	牵引速度Y	伤害方式判定（0不进行伤害判定，1根据hurt帧事件判定，2碰撞即算伤害）	伤害触发	是否开启地图蒙板	父节点(1触发者,2目标,3地图,4UI层)	特效是否跟随触发动作(0不删除，1删除)	播放位置（0随施法者1目标位置2施法者挂点3施法者位置4目标挂点5随机位置）	播放位置偏移X（单位像素，正前负后）	播放位置偏移Y（0与角色Y轴一致。1~10为可行走区域的10条路）	挂点骨骼名称（不填为spine原点。）	目标选择（0无，1自身，2随机敌人，3最近的敌人，4最远的敌人，5随机地面点）	目标选择范围（以自身为基点，配置x_y_w_h。来确定一个矩形范围。xy为矩形起点坐标，wh为框大小）	目标选择数量	跟踪方式（0直线，1始终跟踪，2角度跟踪，3追踪目标位置，angle,4圆形，5S曲线，6折射，7直线角度，8贝塞尔曲线目标位置,10贝赛尔曲线固定位置）	直线飞行子弹的角度	圆形和S曲线飞行半径	折射时间	贝塞尔曲线高度	命中数量回收(发射型特效生效。0或不填为不回收。其他数字为命中该数量后回收)	自动触发特效（特效结束or回收时，自动播放下一个特效）	特效速度（包含贝塞尔曲线速度）	特效总时间(循环播放特效生效)	回收特效资源	回收特效动画	受击特效资源	受击特效动画（上层）	受击特效动画（下层）	受击特效角度	受击特效缩放	触发事件（配置该特效的事件名）	触发刷怪表（配置刷怪表ID）	刷怪位置类型（1随机，2特效中心点）
10053	十香—普攻3	effect0	effects_10101_skillA	skillA2_3						0	1		60-60	bdbox_eff	1	1				1	1003		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	1			
10054	十香—普攻4	effect0	effects_10101_skillA	skillA2_4						0	1		60-60	bdbox_eff	1	1				1	1004		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10055	十香—普攻5	effect0	effects_10101_skillA	skillA2_5						0	1		60-60	bdbox_eff	1	1				1	1005		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA3_up	skillA3_down	170	1			
10060	十香(旧)—剑气	effect1	effects_10101_skillB	skillB2						0	1		100-55	bdbox_eff	1	1				1	1006		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		0	1			
10080	十香(旧)—分支—挑空连斩闪光	effect1	effects_10101_skillB2	skillB3						0	1		1-0	bdbox_eff	1	1				1	0		1		0				0			0	0				0	0	400	0	0					45	1			
10090	十香(旧)—分支—挑空连斩1	effect0	effects_10101_skillC	skillC1_1						0	1		130-70	bdbox_eff	1	1				1	2001		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	1			
10100	十香(旧)—分支—挑空连斩2	effect0	effects_10101_skillC	skillC1_2						0	1		130-70	bdbox_eff	1	1				1	2002		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10110	十香(旧)—分支—挑空连斩3	effect0	effects_10101_skillC	skillC1_3						0	1		130-70	bdbox_eff	1	1				1	2003		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	170	1			
10120	十香(旧)—分支—挑空连斩4	effect0	effects_10101_skillC	skillC1_4						0	1		130-70	bdbox_eff	1	1				1	2004		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	0	1			
10130	十香(旧)—分支—挑空连斩5	effect0	effects_10101_skillC	skillC1_5						0	1		130-70	bdbox_eff	1	1				1	2005-2006		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA3_up	skillA3_down	45	1			
10150	十香—觉醒—最终之剑	effect1	effects_10101_skillD	skillD						0	1		1-0	bdbox_eff	1	1				0	0	1	1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA3_up	skillA3_down	90	1			
10160	十香—觉醒—剑气1	effect2	effects_10101_skillD	skillD_feidaoguang1						1	1		120-80	bdbox_eff	1	2				2	3001		3		3				0			0	0				0	0	2400	1000	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10170	十香—觉醒—剑气2	effect3	effects_10101_skillD	skillD_feidaoguang2						1	1		120-80	bdbox_eff	1	2				2	3002		3		3				0			0	0				0	0	2400	1000	0		effects_10101_skillA1	skillA2_up	skillA2_down	170	1			
10180	十香—觉醒—剑气3	effect4	effects_10101_skillD	skillD_feidaoguang3						1	1		120-80	bdbox_eff	1	2				2	3003		3		3				0			0	0				0	0	2400	1000	0		effects_10101_skillA1	skillA2_up	skillA2_down	0	1			
10190	十香—觉醒—剑气4	effect5	effects_10101_skillD	skillD_feidaoguang4						1	1		120-80	bdbox_eff	1	2				2	3004		3		3				0			0	0				0	0	2400	1000	0		effects_10101_skillA1	skillA2_up	skillA2_down	45	1			
10191	十香—觉醒—剑气4地裂	effect5	effects_10101_skillD1	skillDshow						0	0		1-0	bdbox_eff	1	1				0	0		3		3				0			0	0				0	0	0	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	1			
10200	十香—闪避	effect1	effects_10101_quickmove	quickmove						1	1		1-0	bdbox_eff	1	1				1	0		1		0				0			0	0				0	0	400	1000	0		0			135	1			
10201	十香(旧)—闪避-斩up	effect1	effects_10101_dodge	dodge_up						0	1		70-40	bdbox_eff	1	1				1	2010		1		0				0			0	0				0	0	400	1000	0		effects_10101_skillA1	skillA2_up	skillA2_down	170	1			
10202	十香(旧)—闪避-斩down	effect1	effects_10101_dodge	dodge_down						0	1		70-40	bdbox_eff	1	1				1	2010		1		0				0			0	0				0	0	400	1000	0		effects_10101_skillA1	skillA2_up	skillA2_down	0	1			
10310	十香—剑刃乱舞1	effect1	effects_10101_skillC	skillB1_2						1	2		70-40	bdbox_eff	1	2				2	1101		3		2				0			0	0				0	0	2200	500	0		effects_10101_skillA1	skillA2_up	skillA2_down	45	1			
10320	十香—剑刃乱舞2	effect1	effects_10101_skillC	skillB2_2						1	2		70-40	bdbox_eff	1	2				2	1102		3		2				0			0	0				0	0	2200	500	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	1			
10330	十香—剑刃乱舞3	effect1	effects_10101_skillC	skillB3_2						1	2		70-40	bdbox_eff	0.9	2				2	1101		3		2				0			0	0				0	0	2200	500	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10340	十香—剑刃乱舞4	effect1	effects_10101_skillC	skillB1_2						1	2		70-40	bdbox_eff	1	2				2	1102		3		2				0			0	0				0	0	2200	500	0		effects_10101_skillA1	skillA2_up	skillA2_down	170	1			
10350	十香—剑刃乱舞5	effect1	effects_10101_skillC	skillB2_2						1	2		70-40	bdbox_eff	1.1	2				2	1101		3		2				0			0	0				0	0	2200	500	0		effects_10101_skillA1	skillA2_up	skillA2_down	0	1			
10360	十香—剑刃乱舞6	effect1	effects_10101_skillC	skillB3_2						1	2		70-40	bdbox_eff	1	2				2	1102		3		2				0			0	0				0	0	2200	500	0		effects_10101_skillA1	skillA2_up	skillA2_down	45	1			
10370	十香—剑刃乱舞7	effect1	effects_10101_skillC	skillB1_2						1	2		70-40	bdbox_eff	0.9	2				2	1102		3		2				0			0	0				0	0	2200	500	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	1			
10380	十香—剑刃乱舞8中	effect1	effects_10101_skillC	skillB4_up1_2						1	2		70-40	bdbox_eff	1	2				2	1103		3		2				0			0	0				0	0	1900	500	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10390	十香—剑刃乱舞8下	effect1	effects_10101_skillC	skillB4_up3_2						1	2		70-40	bdbox_eff	0.8	2				2	1104		3		2				0			0	0				0	0	1900	500	0		effects_10101_skillA1	skillA2_up	skillA2_down	170	1			
10400	十香—剑刃乱舞8上	effect2	effects_10101_skillC	skillB4_up4_2						1	2		70-40	bdbox_eff	0.8	2				2	1105		3		2				0			0	0				0	0	1900	500	0		effects_10101_skillA1	skillA2_up	skillA2_down	0	1			
10410	十香—剑刃乱舞1展示	effect1	effects_10101_skillC	skillB1_1						0	1		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					45	1			
10420	十香—剑刃乱舞2展示	effect1	effects_10101_skillC	skillB2_1						0	1		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					90	1			
10430	十香—剑刃乱舞3展示	effect1	effects_10101_skillC	skillB3_1						0	1		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					135	1			
10440	十香—剑刃乱舞4展示	effect1	effects_10101_skillC	skillB1_1						0	1		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					170	1			
10450	十香—剑刃乱舞5展示	effect1	effects_10101_skillC	skillB2_1						0	1		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					0	1			
10460	十香—剑刃乱舞6展示	effect1	effects_10101_skillC	skillB3_1						0	1		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					45	1			
10470	十香—剑刃乱舞7展示	effect1	effects_10101_skillC	skillB1_1						0	1		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					90	1			
10480	十香—剑刃乱舞8中	effect1	effects_10101_skillC	skillB4_up1_1						0	1		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					135	1			
10490	十香—剑刃乱舞8下	effect1	effects_10101_skillC	skillB4_up3_1						0	1		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					170	1			
10491	十香—剑刃乱舞8上	effect2	effects_10101_skillC	skillB4_up4_1						0	1		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					0	1			
10492	十香—剑刃乱舞痕8中	effect1	effects_10101_skillC	skillB4_down2						0	0		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					45	1			
10493	十香—剑刃乱舞痕8下	effect1	effects_10101_skillC	skillB4_down3						0	0		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					90	1			
10494	十香—剑刃乱舞痕8上	effect2	effects_10101_skillC	skillB4_down4						0	0		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	800	500	0					135	1			
10500	十香-技能1-蓄力1	effect0	effects_10101_extra_skillB	extra_skillB_1_1						1	1		70-40	bdbox_eff	1	1				0	0		1		0				0			0	0				0	0	400	1000	0		effects_10101_skillA1	skillA2_up	skillA2_down	170	0.41			
10501	十香-技能1-蓄力2	effect0	effects_10101_extra_skillB	extra_skillB_1_2						1	1		70-40	bdbox_eff	1	1				0	0		1		0				0			0	0				0	0	400	1000	0		effects_10101_skillA1	skillA2_up	skillA2_down	0	0.41			
10502	十香-技能1-蓄力3	effect0	effects_10101_extra_skillB	extra_skillB_1_3						1	1		70-40	bdbox_eff	1	1				0	0		1		0				0			0	0				0	0	400	1000	0		effects_10101_skillA1	skillA2_up	skillA2_down	45	0.41			
10503	十香-技能1-蓄力-推开	effect0	effects_10101_extra_skillB	extra_skillB_1_kuoqi						1	1		70-40	bdbox_eff	1	1	1	200		0	0		1		0				0			0	0				0	0	400	1000	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	0.41			
10510	十香—技能1-蓄力剑气0	effect1	effects_10101_extra_skillB	extra_skillB_daoguang1						1	1		80-50	bdbox_eff	0.8	2				2	3101		3		2				0			0	0				0	0	3000	800	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10511	十香—技能1-蓄力剑气1	effect1	effects_10101_extra_skillB	extra_skillB_daoguang1						1	1		80-50	bdbox_eff	0.9	2				2	3102		3		2				0			0	0				0	0	3000	800	0		effects_10101_skillA1	skillA2_up	skillA2_down	170	1			
10512	十香—技能1-蓄力剑气2	effect1	effects_10101_extra_skillB	extra_skillB_daoguang1						1	1		80-50	bdbox_eff	1	2				2	3103		3		2				0			0	0				0	0	3000	800	0		effects_10101_skillA1	skillA2_up	skillA2_down	0	1			
10513	十香—技能1-蓄力剑气3	effect1	effects_10101_extra_skillB	extra_skillB_daoguang1						1	1		80-50	bdbox_eff	1	2				2	3104		3		2				0			0	0				0	0	3000	800	0		effects_10101_skillA1	skillA2_up	skillA2_down	45	1			
10514	十香—技能1-蓄力剑气3	effect2	effects_10101_extra_skillB	extra_skillB_daoguang2						1	1		80-50	bdbox_eff	1	2				2	3105		3		2				0			0	0				0	0	3000	800	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	1			
10515	十香—技能1-蓄力剑气3+	effect1	effects_10101_extra_skillB	extra_skillB_daoguang1						1	1		80-50	bdbox_eff	1	2				2	3106		3		2				0			0	0				0	0	3000	800	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10516	十香—技能1-蓄力剑气3+	effect2	effects_10101_extra_skillB	extra_skillB_daoguang2						1	1		80-50	bdbox_eff	1	2				2	3107		3		2				0			0	0				0	0	3000	800	0		effects_10101_skillA1	skillA2_up	skillA2_down	170	1			
10517	十香—技能1-蓄力剑气3+	effect3	effects_10101_extra_skillB	extra_skillB_daoguang3						1	1		80-50	bdbox_eff	1	2				2	3108		3		2				0			0	0				0	0	3000	800	0		effects_10101_skillA1	skillA2_up	skillA2_down	0	1			
10520	十香—技能1-蓄力展示1	effect1	effects_10101_extra_skillB	extra_skillB_2						0	0		1-0	bdbox_eff	0.8	1				0	0		3		3				0			0	0				0	0	0	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	45	1			
10521	十香—技能1-蓄力展示1	effect1	effects_10101_extra_skillB	extra_skillB_dilie1						0	0		1-0	bdbox_eff	0.8	1				0	0		3		3				0			0	0				0	0	0	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	1			
10522	十香—技能1-蓄力展示2	effect2	effects_10101_extra_skillB	extra_skillB_3						0	0		1-0	bdbox_eff	0.9	1				0	0		3		3				0			0	0				0	0	0	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10523	十香—技能1-蓄力展示2	effect2	effects_10101_extra_skillB	extra_skillB_dilie2						0	0		1-0	bdbox_eff	0.9	1				0	0		3		3				0			0	0				0	0	0	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	170	1			
10524	十香—技能1-蓄力展示3	effect3	effects_10101_extra_skillB	extra_skillB_4						0	0		1-0	bdbox_eff	1	1				0	0		3		3				0			0	0				0	0	0	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	0	1			
10525	十香—技能1-蓄力展示3	effect3	effects_10101_extra_skillB	extra_skillB_dilie3						0	0		1-0	bdbox_eff	1	1				0	0		3		3				0			0	0				0	0	0	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	45	1			
10540	十香—出场-王座down	effect1	effects_10101_skillF	skillF_down						0	0		100-70	bdbox_eff	1	1				1	2020		3		3				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	1			
10550	十香—出场-王座up	effect1	effects_10101_skillF	skillF_up						0	1		1-0	bdbox_eff	1	1				0	0		3		3				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10551	十香—出场-王座	effect1	effects_10101_skillF	wanzuo1						0	0		1-0	bdbox_eff	1	1				0	0		3		3				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	170	1			
10560	十香(旧)—出场-王座-循环	effect1	effects_10101_skillF	wanzuo2						1	2		1-0	bdbox_eff	1	1				0	0		3		2			root	0			0	0				0	0	0	10000	0					0	1			
10570	十香(旧)—出场-王座-循环down	effect1	effects_10101_skillF	skillF2						1	0		1-0	bdbox_eff	1	1				1	2001		3		2			root	0			0	0				0	0	0	10000	0					45	1			
10580	十香(旧)-起身震飞	effect1	qilang	qilang						0	1		100-100	bdbox_eff	1	1				1	2001		3		2			root	0				0				0	0	0	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	90	1			
10590	十香—技能2-0级	effect0	effects_10101_extra_skillC	extra_skillC_3						0	1		80-40	bdbox_eff	1	1				1	3203		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		135	1			
10591	十香—技能2-1级	effect0	effects_10101_extra_skillC	extra_skillC_1						0	1		80-40	bdbox_eff	1	1				1	3201		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		170	1			
10592	十香—技能2-1级	effect0	effects_10101_extra_skillC	extra_skillC_3						0	1		80-40	bdbox_eff	1	1				1	3203		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	0	1			
10593	十香—技能2-2级	effect0	effects_10101_extra_skillC	extra_skillC_1						0	1		80-40	bdbox_eff	1	1				1	3201		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		45	1			
10594	十香—技能2-2级	effect0	effects_10101_extra_skillC	extra_skillC_2						0	1		80-40	bdbox_eff	1	1				1	3202		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		90	1			
10595	十香—技能2-2级	effect0	effects_10101_extra_skillC	extra_skillC_3						0	1		80-40	bdbox_eff	1	1				1	3203		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	135	1			
10596	十香—技能2-3级	effect0	effects_10101_extra_skillC	extra_skillC_1_2						0	1		80-40	bdbox_eff	1	1				1	3204		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		170	1			
10597	十香—技能2-3级	effect0	effects_10101_extra_skillC	extra_skillC_2_2						0	1		80-40	bdbox_eff	1	1				1	3205		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA1		0	1			
10598	十香—技能2-3级	effect0	effects_10101_extra_skillC	extra_skillC_3_2						0	1		80-40	bdbox_eff	1	1				1	3206		1		0				0			0	0				0	0	400	0	0		effects_10101_skillA1	skillA2_up	skillA2_down	45	1			
20010	折纸—普攻1	effect0	effects_10201_skillA	effects_10201_skillA_1						0	1		45-45	bdbox_eff	1	1				1	4001		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		90	1			
20011	折纸—普攻2	effect0	effects_10201_skillA	effects_10201_skillA_2						0	1		45-45	bdbox_eff	1	1				1	4002		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		135	1			
20012	折纸—普攻3	effect0	effects_10201_skillA	effects_10201_skillA_3						0	1		45-45	bdbox_eff	1	1				1	4003		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		170	1			
20013	折纸—普攻4	effect0	effects_10201_skillA	effects_10201_skillA_4						0	1		45-45	bdbox_eff	1	1				1	4004		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		0	1			
20014	折纸—普攻5	effect0	effects_10201_skillA	effects_10201_skillA_5						0	1		45-45	bdbox_eff	1	1				1	4005		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt2		45	1			
20020	折纸—普攻1	effect0	effects_10201_skillA1	effects_10201_skillA_1						0	1		55-50	bdbox_eff	1	1				1	4001		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		90	1			
20021	折纸—普攻2	effect0	effects_10201_skillA1	effects_10201_skillA_2						0	1		55-50	bdbox_eff	1	1				1	4002		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		135	1			
20022	折纸—普攻3	effect0	effects_10201_skillA1	effects_10201_skillA_3						0	1		55-50	bdbox_eff	1	1				1	4003		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		170	1			
20023	折纸—普攻4	effect0	effects_10201_skillA1	effects_10201_skillA_4						0	1		55-50	bdbox_eff	1	1				1	4004		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		0	1			
20024	折纸—普攻5	effect0	effects_10201_skillA1	effects_10201_skillA_5						0	1		55-50	bdbox_eff	1	1				1	4005		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt2		45	1			
20060	折纸—技能1—闪光	effect0	effects_10101_skillB2	skillB3						0	1		1-0	bdbox_eff	1	1				0	0		1		0				0			0	0				0	0	400	0	0					90	1			
20061	折纸—技能1—连斩0	effect0	effects_10201_skillB	skillB_1						0	1		70-50	bdbox_eff	1	1				1	4011		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		135	1			
20062	折纸—技能1—连斩1	effect0	effects_10201_skillB	skillB_2						0	1		70-50	bdbox_eff	1	1				1	4012		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		170	1			
20063	折纸—技能1—连斩2	effect0	effects_10201_skillB	skillB_3						0	1		70-50	bdbox_eff	1	1				1	4013-4013-4013-4013-4013-4013-4013-4013-4014		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		0	1			
20064	折纸—技能1—连斩3	effect0	effects_10201_skillB	skillB_3_1						0	1		70-50	bdbox_eff	1	1				1	4015-4015-4015-4015-4015-4015-4015-4015-4016		1		0				0			0	0				0	0	400	0	0		effects_10201_skillA	hurt1		45	1			
20070	折纸—技能2—0级—枪口火光	effect0	effects_10201_extra_skillB	extra_skillB1						0	1		1-0	bdbox_eff	1	1				1	0		1		0				0			0	0				0	0	400	0	0					90	1			
20071	折纸—技能2—0级—子弹	effect1-effect2-effect3-effect4-effect5-effect6-effect7-effect8-effect9-effect10-effect11-effect12-effect13-effect14-effect15-effect16-effect17-effect18-effect19-effect20	effects_10201_extra_skillB	extra_skillB_zidan						1	1		50-50	bdbox_eff	1	2				2	4021		3		2	20		bone63	0			0	0				0	0	2000	1000	0		fight_10202_hit	hit		135	0.5			
20072	折纸—技能2—1级—枪口火光	effect0	effects_10201_extra_skillB	extra_skillB2						0	1		1-0	bdbox_eff	1	1				1	0		1		0				0			0	0				0	0	400	0	0					170	1			
20073	折纸—技能2—1级—子弹	effect1-effect2-effect3-effect4-effect5-effect6-effect7-effect8-effect9-effect10-effect11-effect12-effect13-effect14-effect15-effect16-effect17-effect18-effect19-effect20	effects_10201_extra_skillB	extra_skillB_zidan						1	1		50-50	bdbox_eff	1	2				2	4022		3		2	20		bone63	0			0	0				0	0	2000	1000	0		fight_10202_hit	hit		0	0.5			
20074	折纸—技能2—2级—散弹	effect0	effects_10201_extra_skillB	extra_skillB3						0	1		100-80	bdbox_eff	1	1				1	4023		1		0				0			0	0				0	0	400	0	0		fight_10202_hit	hit		45	0.5			
