id	名称	属性描述	属性大类	属性等级（颜色,星级等级决定上限，然后根据权重随机）	权重	属性类型	属性(最低属性值,最高属性值)
88	暴伤率3-区间3	420509	4	3	165	509	430-470
89	暴伤率3-区间4	420509	4	3	113	509	470-510
90	暴伤率3-区间5	420509	4	3	75	509	510-550
91	暴伤率4-区间1	420509	4	4	113	509	550-590
92	暴伤率4-区间2	420509	4	4	126	509	590-630
93	暴伤率4-区间3	420509	4	4	99	509	630-670
94	暴伤率4-区间4	420509	4	4	68	509	670-710
95	暴伤率4-区间5	420509	4	4	45	509	710-750
96	暴伤率5-区间1	420509	4	5	75	509	750-800
97	暴伤率5-区间2	420509	4	5	84	509	800-850
98	暴伤率5-区间3	420509	4	5	66	509	850-900
99	暴伤率5-区间4	420509	4	5	45	509	900-950
100	暴伤率5-区间5	420509	4	5	30	509	950-1000
101	攻速加成1-区间1	421006	5	1	150	1006	30-36
102	攻速加成1-区间2	421006	5	1	168	1006	36-42
103	攻速加成1-区间3	421006	5	1	132	1006	42-48
104	攻速加成1-区间4	421006	5	1	90	1006	48-54
105	攻速加成1-区间5	421006	5	1	60	1006	54-60
106	攻速加成2-区间1	421006	5	2	225	1006	60-69
107	攻速加成2-区间2	421006	5	2	252	1006	69-78
108	攻速加成2-区间3	421006	5	2	198	1006	78-87
109	攻速加成2-区间4	421006	5	2	135	1006	87-96
110	攻速加成2-区间5	421006	5	2	90	1006	96-105
111	攻速加成3-区间1	421006	5	3	188	1006	105-117
112	攻速加成3-区间2	421006	5	3	210	1006	117-129
113	攻速加成3-区间3	421006	5	3	165	1006	129-141
114	攻速加成3-区间4	421006	5	3	113	1006	141-153
115	攻速加成3-区间5	421006	5	3	75	1006	153-165
116	攻速加成4-区间1	421006	5	4	113	1006	165-177
117	攻速加成4-区间2	421006	5	4	126	1006	177-189
118	攻速加成4-区间3	421006	5	4	99	1006	189-201
119	攻速加成4-区间4	421006	5	4	68	1006	201-213
120	攻速加成4-区间5	421006	5	4	45	1006	213-225
121	攻速加成5-区间1	421006	5	5	75	1006	225-240
122	攻速加成5-区间2	421006	5	5	84	1006	240-255
123	攻速加成5-区间3	421006	5	5	66	1006	255-270
124	攻速加成5-区间4	421006	5	5	45	1006	270-285
125	攻速加成5-区间5	421006	5	5	30	1006	285-300
126	全局增伤1-区间1	420501	6	1	150	501	30-36
127	全局增伤1-区间2	420501	6	1	168	501	36-42
128	全局增伤1-区间3	420501	6	1	132	501	42-48
129	全局增伤1-区间4	420501	6	1	90	501	48-54
130	全局增伤1-区间5	420501	6	1	60	501	54-60
131	全局增伤2-区间1	420501	6	2	225	501	60-69
132	全局增伤2-区间2	420501	6	2	252	501	69-78
133	全局增伤2-区间3	420501	6	2	198	501	78-87
134	全局增伤2-区间4	420501	6	2	135	501	87-96
135	全局增伤2-区间5	420501	6	2	90	501	96-105
136	全局增伤3-区间1	420501	6	3	188	501	105-117
137	全局增伤3-区间2	420501	6	3	210	501	117-129
138	全局增伤3-区间3	420501	6	3	165	501	129-141
139	全局增伤3-区间4	420501	6	3	113	501	141-153
140	全局增伤3-区间5	420501	6	3	75	501	153-165
141	全局增伤4-区间1	420501	6	4	113	501	165-177
142	全局增伤4-区间2	420501	6	4	126	501	177-189
143	全局增伤4-区间3	420501	6	4	99	501	189-201
144	全局增伤4-区间4	420501	6	4	68	501	201-213
145	全局增伤4-区间5	420501	6	4	45	501	213-225
146	全局增伤5-区间1	420501	6	5	75	501	225-240
147	全局增伤5-区间2	420501	6	5	84	501	240-255
148	全局增伤5-区间3	420501	6	5	66	501	255-270
149	全局增伤5-区间4	420501	6	5	45	501	270-285
150	全局增伤5-区间5	420501	6	5	30	501	285-300
151	攻击加成1-区间1	421002	7	1	150	1002	30-36
152	攻击加成1-区间2	421002	7	1	168	1002	36-42
153	攻击加成1-区间3	421002	7	1	132	1002	42-48
154	攻击加成1-区间4	421002	7	1	90	1002	48-54
155	攻击加成1-区间5	421002	7	1	60	1002	54-60
156	攻击加成2-区间1	421002	7	2	225	1002	60-69
157	攻击加成2-区间2	421002	7	2	252	1002	69-78
158	攻击加成2-区间3	421002	7	2	198	1002	78-87
159	攻击加成2-区间4	421002	7	2	135	1002	87-96
160	攻击加成2-区间5	421002	7	2	90	1002	96-105
161	攻击加成3-区间1	421002	7	3	188	1002	105-117
162	攻击加成3-区间2	421002	7	3	210	1002	117-129
163	攻击加成3-区间3	421002	7	3	165	1002	129-141
164	攻击加成3-区间4	421002	7	3	113	1002	141-153
165	攻击加成3-区间5	421002	7	3	75	1002	153-165
166	攻击加成4-区间1	421002	7	4	113	1002	165-177
167	攻击加成4-区间2	421002	7	4	126	1002	177-189
168	攻击加成4-区间3	421002	7	4	99	1002	189-201
169	攻击加成4-区间4	421002	7	4	68	1002	201-213
170	攻击加成4-区间5	421002	7	4	45	1002	213-225
171	攻击加成5-区间1	421002	7	5	75	1002	225-240
172	攻击加成5-区间2	421002	7	5	84	1002	240-255
173	攻击加成5-区间3	421002	7	5	66	1002	255-270
174	攻击加成5-区间4	421002	7	5	45	1002	270-285
175	攻击加成5-区间5	421002	7	5	30	1002	285-300
176	物理增伤1-区间1	420601	8	1	60	601	30-36
177	物理增伤1-区间2	420601	8	1	67	601	36-42
178	物理增伤1-区间3	420601	8	1	53	601	42-48
179	物理增伤1-区间4	420601	8	1	36	601	48-54
180	物理增伤1-区间5	420601	8	1	24	601	54-60
181	物理增伤2-区间1	420601	8	2	90	601	60-69
182	物理增伤2-区间2	420601	8	2	101	601	69-78
183	物理增伤2-区间3	420601	8	2	79	601	78-87
184	物理增伤2-区间4	420601	8	2	54	601	87-96
185	物理增伤2-区间5	420601	8	2	36	601	96-105
186	物理增伤3-区间1	420601	8	3	75	601	105-117
187	物理增伤3-区间2	420601	8	3	84	601	117-129
188	物理增伤3-区间3	420601	8	3	66	601	129-141
189	物理增伤3-区间4	420601	8	3	45	601	141-153
190	物理增伤3-区间5	420601	8	3	30	601	153-165
191	物理增伤4-区间1	420601	8	4	45	601	165-177
192	物理增伤4-区间2	420601	8	4	50	601	177-189
193	物理增伤4-区间3	420601	8	4	40	601	189-201
194	物理增伤4-区间4	420601	8	4	27	601	201-213
195	物理增伤4-区间5	420601	8	4	18	601	213-225
196	物理增伤5-区间1	420601	8	5	30	601	225-240
197	物理增伤5-区间2	420601	8	5	34	601	240-255
198	物理增伤5-区间3	420601	8	5	26	601	255-270
199	物理增伤5-区间4	420601	8	5	18	601	270-285
200	物理增伤5-区间5	420601	8	5	12	601	285-300
201	冰属性增伤1-区间1	420602	9	1	60	602	50-60
202	冰属性增伤1-区间2	420602	9	1	67	602	60-70
203	冰属性增伤1-区间3	420602	9	1	53	602	70-80
204	冰属性增伤1-区间4	420602	9	1	36	602	80-90
205	冰属性增伤1-区间5	420602	9	1	24	602	90-100
206	冰属性增伤2-区间1	420602	9	2	90	602	100-115
207	冰属性增伤2-区间2	420602	9	2	101	602	115-130
208	冰属性增伤2-区间3	420602	9	2	79	602	130-145
209	冰属性增伤2-区间4	420602	9	2	54	602	145-160
210	冰属性增伤2-区间5	420602	9	2	36	602	160-175
211	冰属性增伤3-区间1	420602	9	3	75	602	175-195
212	冰属性增伤3-区间2	420602	9	3	84	602	195-215
213	冰属性增伤3-区间3	420602	9	3	66	602	215-235
214	冰属性增伤3-区间4	420602	9	3	45	602	235-255
215	冰属性增伤3-区间5	420602	9	3	30	602	255-275
216	冰属性增伤4-区间1	420602	9	4	45	602	275-295
217	冰属性增伤4-区间2	420602	9	4	50	602	295-315
218	冰属性增伤4-区间3	420602	9	4	40	602	315-335
219	冰属性增伤4-区间4	420602	9	4	27	602	335-355
220	冰属性增伤4-区间5	420602	9	4	18	602	355-375
221	冰属性增伤5-区间1	420602	9	5	30	602	375-400
222	冰属性增伤5-区间2	420602	9	5	34	602	400-425
223	冰属性增伤5-区间3	420602	9	5	26	602	425-450
224	冰属性增伤5-区间4	420602	9	5	18	602	450-475
225	冰属性增伤5-区间5	420602	9	5	12	602	475-500
226	火属性增伤1-区间1	420603	10	1	60	603	50-60
227	火属性增伤1-区间2	420603	10	1	67	603	60-70
228	火属性增伤1-区间3	420603	10	1	53	603	70-80
229	火属性增伤1-区间4	420603	10	1	36	603	80-90
230	火属性增伤1-区间5	420603	10	1	24	603	90-100
231	火属性增伤2-区间1	420603	10	2	90	603	100-115
232	火属性增伤2-区间2	420603	10	2	101	603	115-130
233	火属性增伤2-区间3	420603	10	2	79	603	130-145
234	火属性增伤2-区间4	420603	10	2	54	603	145-160
235	火属性增伤2-区间5	420603	10	2	36	603	160-175
236	火属性增伤3-区间1	420603	10	3	75	603	175-195
237	火属性增伤3-区间2	420603	10	3	84	603	195-215
238	火属性增伤3-区间3	420603	10	3	66	603	215-235
239	火属性增伤3-区间4	420603	10	3	45	603	235-255
240	火属性增伤3-区间5	420603	10	3	30	603	255-275
241	火属性增伤4-区间1	420603	10	4	45	603	275-295
242	火属性增伤4-区间2	420603	10	4	50	603	295-315
243	火属性增伤4-区间3	420603	10	4	40	603	315-335
244	火属性增伤4-区间4	420603	10	4	27	603	335-355
245	火属性增伤4-区间5	420603	10	4	18	603	355-375
246	火属性增伤5-区间1	420603	10	5	30	603	375-400
247	火属性增伤5-区间2	420603	10	5	34	603	400-425
248	火属性增伤5-区间3	420603	10	5	26	603	425-450
249	火属性增伤5-区间4	420603	10	5	18	603	450-475
250	火属性增伤5-区间5	420603	10	5	12	603	475-500
251	风属性增伤1-区间1	420604	11	1	60	604	50-60
252	风属性增伤1-区间2	420604	11	1	67	604	60-70
253	风属性增伤1-区间3	420604	11	1	53	604	70-80
254	风属性增伤1-区间4	420604	11	1	36	604	80-90
255	风属性增伤1-区间5	420604	11	1	24	604	90-100
256	风属性增伤2-区间1	420604	11	2	90	604	100-115
257	风属性增伤2-区间2	420604	11	2	101	604	115-130
258	风属性增伤2-区间3	420604	11	2	79	604	130-145
259	风属性增伤2-区间4	420604	11	2	54	604	145-160
260	风属性增伤2-区间5	420604	11	2	36	604	160-175
261	风属性增伤3-区间1	420604	11	3	75	604	175-195
262	风属性增伤3-区间2	420604	11	3	84	604	195-215
263	风属性增伤3-区间3	420604	11	3	66	604	215-235
264	风属性增伤3-区间4	420604	11	3	45	604	235-255
265	风属性增伤3-区间5	420604	11	3	30	604	255-275
266	风属性增伤4-区间1	420604	11	4	45	604	275-295
267	风属性增伤4-区间2	420604	11	4	50	604	295-315
268	风属性增伤4-区间3	420604	11	4	40	604	315-335
269	风属性增伤4-区间4	420604	11	4	27	604	335-355
270	风属性增伤4-区间5	420604	11	4	18	604	355-375
271	风属性增伤5-区间1	420604	11	5	30	604	375-400
272	风属性增伤5-区间2	420604	11	5	34	604	400-425
273	风属性增伤5-区间3	420604	11	5	26	604	425-450
274	风属性增伤5-区间4	420604	11	5	18	604	450-475
275	风属性增伤5-区间5	420604	11	5	12	604	475-500
276	电属性增伤1-区间1	420605	12	1	60	605	50-60
277	电属性增伤1-区间2	420605	12	1	67	605	60-70
278	电属性增伤1-区间3	420605	12	1	53	605	70-80
279	电属性增伤1-区间4	420605	12	1	36	605	80-90
280	电属性增伤1-区间5	420605	12	1	24	605	90-100
281	电属性增伤2-区间1	420605	12	2	90	605	100-115
282	电属性增伤2-区间2	420605	12	2	101	605	115-130
283	电属性增伤2-区间3	420605	12	2	79	605	130-145
284	电属性增伤2-区间4	420605	12	2	54	605	145-160
285	电属性增伤2-区间5	420605	12	2	36	605	160-175
286	电属性增伤3-区间1	420605	12	3	75	605	175-195
287	电属性增伤3-区间2	420605	12	3	84	605	195-215
288	电属性增伤3-区间3	420605	12	3	66	605	215-235
289	电属性增伤3-区间4	420605	12	3	45	605	235-255
290	电属性增伤3-区间5	420605	12	3	30	605	255-275
291	电属性增伤4-区间1	420605	12	4	45	605	275-295
292	电属性增伤4-区间2	420605	12	4	50	605	295-315
293	电属性增伤4-区间3	420605	12	4	40	605	315-335
294	电属性增伤4-区间4	420605	12	4	27	605	335-355
295	电属性增伤4-区间5	420605	12	4	18	605	355-375
296	电属性增伤5-区间1	420605	12	5	30	605	375-400
297	电属性增伤5-区间2	420605	12	5	34	605	400-425
298	电属性增伤5-区间3	420605	12	5	26	605	425-450
299	电属性增伤5-区间4	420605	12	5	18	605	450-475
300	电属性增伤5-区间5	420605	12	5	12	605	475-500
301	毒属性增伤1-区间1	420606	13	1	60	606	50-60
302	毒属性增伤1-区间2	420606	13	1	67	606	60-70
303	毒属性增伤1-区间3	420606	13	1	53	606	70-80
304	毒属性增伤1-区间4	420606	13	1	36	606	80-90
305	毒属性增伤1-区间5	420606	13	1	24	606	90-100
306	毒属性增伤2-区间1	420606	13	2	90	606	100-115
307	毒属性增伤2-区间2	420606	13	2	101	606	115-130
308	毒属性增伤2-区间3	420606	13	2	79	606	130-145
309	毒属性增伤2-区间4	420606	13	2	54	606	145-160
310	毒属性增伤2-区间5	420606	13	2	36	606	160-175
311	毒属性增伤3-区间1	420606	13	3	75	606	175-195
312	毒属性增伤3-区间2	420606	13	3	84	606	195-215
313	毒属性增伤3-区间3	420606	13	3	66	606	215-235
314	毒属性增伤3-区间4	420606	13	3	45	606	235-255
315	毒属性增伤3-区间5	420606	13	3	30	606	255-275
316	毒属性增伤4-区间1	420606	13	4	45	606	275-295
317	毒属性增伤4-区间2	420606	13	4	50	606	295-315
318	毒属性增伤4-区间3	420606	13	4	40	606	315-335
319	毒属性增伤4-区间4	420606	13	4	27	606	335-355
320	毒属性增伤4-区间5	420606	13	4	18	606	355-375
321	毒属性增伤5-区间1	420606	13	5	30	606	375-400
322	毒属性增伤5-区间2	420606	13	5	34	606	400-425
323	毒属性增伤5-区间3	420606	13	5	26	606	425-450
324	毒属性增伤5-区间4	420606	13	5	18	606	450-475
325	毒属性增伤5-区间5	420606	13	5	12	606	475-500
326	光属性增伤1-区间1	420607	14	1	60	607	50-60
327	光属性增伤1-区间2	420607	14	1	67	607	60-70
328	光属性增伤1-区间3	420607	14	1	53	607	70-80
329	光属性增伤1-区间4	420607	14	1	36	607	80-90
330	光属性增伤1-区间5	420607	14	1	24	607	90-100
331	光属性增伤2-区间1	420607	14	2	90	607	100-115
332	光属性增伤2-区间2	420607	14	2	101	607	115-130
333	光属性增伤2-区间3	420607	14	2	79	607	130-145
334	光属性增伤2-区间4	420607	14	2	54	607	145-160
335	光属性增伤2-区间5	420607	14	2	36	607	160-175
336	光属性增伤3-区间1	420607	14	3	75	607	175-195
337	光属性增伤3-区间2	420607	14	3	84	607	195-215
338	光属性增伤3-区间3	420607	14	3	66	607	215-235
339	光属性增伤3-区间4	420607	14	3	45	607	235-255
340	光属性增伤3-区间5	420607	14	3	30	607	255-275
341	光属性增伤4-区间1	420607	14	4	45	607	275-295
342	光属性增伤4-区间2	420607	14	4	50	607	295-315
343	光属性增伤4-区间3	420607	14	4	40	607	315-335
344	光属性增伤4-区间4	420607	14	4	27	607	335-355
345	光属性增伤4-区间5	420607	14	4	18	607	355-375
346	光属性增伤5-区间1	420607	14	5	30	607	375-400
347	光属性增伤5-区间2	420607	14	5	34	607	400-425
348	光属性增伤5-区间3	420607	14	5	26	607	425-450
349	光属性增伤5-区间4	420607	14	5	18	607	450-475
350	光属性增伤5-区间5	420607	14	5	12	607	475-500
351	暗属性增伤1-区间1	420608	15	1	60	608	50-60
352	暗属性增伤1-区间2	420608	15	1	67	608	60-70
353	暗属性增伤1-区间3	420608	15	1	53	608	70-80
354	暗属性增伤1-区间4	420608	15	1	36	608	80-90
355	暗属性增伤1-区间5	420608	15	1	24	608	90-100
356	暗属性增伤2-区间1	420608	15	2	90	608	100-115
357	暗属性增伤2-区间2	420608	15	2	101	608	115-130
358	暗属性增伤2-区间3	420608	15	2	79	608	130-145
359	暗属性增伤2-区间4	420608	15	2	54	608	145-160
360	暗属性增伤2-区间5	420608	15	2	36	608	160-175
361	暗属性增伤3-区间1	420608	15	3	75	608	175-195
362	暗属性增伤3-区间2	420608	15	3	84	608	195-215
363	暗属性增伤3-区间3	420608	15	3	66	608	215-235
364	暗属性增伤3-区间4	420608	15	3	45	608	235-255
365	暗属性增伤3-区间5	420608	15	3	30	608	255-275
366	暗属性增伤4-区间1	420608	15	4	45	608	275-295
367	暗属性增伤4-区间2	420608	15	4	50	608	295-315
368	暗属性增伤4-区间3	420608	15	4	40	608	315-335
369	暗属性增伤4-区间4	420608	15	4	27	608	335-355
370	暗属性增伤4-区间5	420608	15	4	18	608	355-375
371	暗属性增伤5-区间1	420608	15	5	30	608	375-400
372	暗属性增伤5-区间2	420608	15	5	34	608	400-425
373	暗属性增伤5-区间3	420608	15	5	26	608	425-450
374	暗属性增伤5-区间4	420608	15	5	18	608	450-475
375	暗属性增伤5-区间5	420608	15	5	12	608	475-500
376	精神属性增伤1-区间1	420609	16	1	60	609	50-60
377	精神属性增伤1-区间2	420609	16	1	67	609	60-70
378	精神属性增伤1-区间3	420609	16	1	53	609	70-80
379	精神属性增伤1-区间4	420609	16	1	36	609	80-90
380	精神属性增伤1-区间5	420609	16	1	24	609	90-100
381	精神属性增伤2-区间1	420609	16	2	90	609	100-115
382	精神属性增伤2-区间2	420609	16	2	101	609	115-130
383	精神属性增伤2-区间3	420609	16	2	79	609	130-145
384	精神属性增伤2-区间4	420609	16	2	54	609	145-160
385	精神属性增伤2-区间5	420609	16	2	36	609	160-175
386	精神属性增伤3-区间1	420609	16	3	75	609	175-195
387	精神属性增伤3-区间2	420609	16	3	84	609	195-215
388	精神属性增伤3-区间3	420609	16	3	66	609	215-235
389	精神属性增伤3-区间4	420609	16	3	45	609	235-255
390	精神属性增伤3-区间5	420609	16	3	30	609	255-275
391	精神属性增伤4-区间1	420609	16	4	45	609	275-295
392	精神属性增伤4-区间2	420609	16	4	50	609	295-315
393	精神属性增伤4-区间3	420609	16	4	40	609	315-335
394	精神属性增伤4-区间4	420609	16	4	27	609	335-355
395	精神属性增伤4-区间5	420609	16	4	18	609	355-375
396	精神属性增伤5-区间1	420609	16	5	30	609	375-400
397	精神属性增伤5-区间2	420609	16	5	34	609	400-425
398	精神属性增伤5-区间3	420609	16	5	26	609	425-450
399	精神属性增伤5-区间4	420609	16	5	18	609	450-475
400	精神属性增伤5-区间5	420609	16	5	12	609	475-500
401	对人类目标增伤1-区间1	420651	17	1	78	651	50-60
402	对人类目标增伤1-区间2	420651	17	1	87	651	60-70
403	对人类目标增伤1-区间3	420651	17	1	68	651	70-80
404	对人类目标增伤1-区间4	420651	17	1	47	651	80-90
405	对人类目标增伤1-区间5	420651	17	1	31	651	90-100
406	对人类目标增伤2-区间1	420651	17	2	116	651	100-115
407	对人类目标增伤2-区间2	420651	17	2	130	651	115-130
408	对人类目标增伤2-区间3	420651	17	2	102	651	130-145
409	对人类目标增伤2-区间4	420651	17	2	70	651	145-160
410	对人类目标增伤2-区间5	420651	17	2	47	651	160-175
411	对人类目标增伤3-区间1	420651	17	3	97	651	175-195
412	对人类目标增伤3-区间2	420651	17	3	109	651	195-215
413	对人类目标增伤3-区间3	420651	17	3	85	651	215-235
414	对人类目标增伤3-区间4	420651	17	3	58	651	235-255
415	对人类目标增伤3-区间5	420651	17	3	39	651	255-275
416	对人类目标增伤4-区间1	420651	17	4	58	651	275-295
417	对人类目标增伤4-区间2	420651	17	4	65	651	295-315
418	对人类目标增伤4-区间3	420651	17	4	51	651	315-335
419	对人类目标增伤4-区间4	420651	17	4	35	651	335-355
420	对人类目标增伤4-区间5	420651	17	4	23	651	355-375
421	对人类目标增伤5-区间1	420651	17	5	39	651	375-400
422	对人类目标增伤5-区间2	420651	17	5	43	651	400-425
423	对人类目标增伤5-区间3	420651	17	5	34	651	425-450
424	对人类目标增伤5-区间4	420651	17	5	23	651	450-475
425	对人类目标增伤5-区间5	420651	17	5	16	651	475-500
426	对能量目标增伤1-区间1	420652	18	1	78	652	50-60
427	对能量目标增伤1-区间2	420652	18	1	87	652	60-70
428	对能量目标增伤1-区间3	420652	18	1	68	652	70-80
429	对能量目标增伤1-区间4	420652	18	1	47	652	80-90
430	对能量目标增伤1-区间5	420652	18	1	31	652	90-100
431	对能量目标增伤2-区间1	420652	18	2	116	652	100-115
432	对能量目标增伤2-区间2	420652	18	2	130	652	115-130
433	对能量目标增伤2-区间3	420652	18	2	102	652	130-145
434	对能量目标增伤2-区间4	420652	18	2	70	652	145-160
435	对能量目标增伤2-区间5	420652	18	2	47	652	160-175
436	对能量目标增伤3-区间1	420652	18	3	97	652	175-195
437	对能量目标增伤3-区间2	420652	18	3	109	652	195-215
438	对能量目标增伤3-区间3	420652	18	3	85	652	215-235
439	对能量目标增伤3-区间4	420652	18	3	58	652	235-255
440	对能量目标增伤3-区间5	420652	18	3	39	652	255-275
441	对能量目标增伤4-区间1	420652	18	4	58	652	275-295
442	对能量目标增伤4-区间2	420652	18	4	65	652	295-315
443	对能量目标增伤4-区间3	420652	18	4	51	652	315-335
444	对能量目标增伤4-区间4	420652	18	4	35	652	335-355
445	对能量目标增伤4-区间5	420652	18	4	23	652	355-375
446	对能量目标增伤5-区间1	420652	18	5	39	652	375-400
447	对能量目标增伤5-区间2	420652	18	5	43	652	400-425
448	对能量目标增伤5-区间3	420652	18	5	34	652	425-450
449	对能量目标增伤5-区间4	420652	18	5	23	652	450-475
450	对能量目标增伤5-区间5	420652	18	5	16	652	475-500
451	对机械目标增伤1-区间1	420653	19	1	78	653	50-60
452	对机械目标增伤1-区间2	420653	19	1	87	653	60-70
453	对机械目标增伤1-区间3	420653	19	1	68	653	70-80
454	对机械目标增伤1-区间4	420653	19	1	47	653	80-90
455	对机械目标增伤1-区间5	420653	19	1	31	653	90-100
456	对机械目标增伤2-区间1	420653	19	2	116	653	100-115
457	对机械目标增伤2-区间2	420653	19	2	130	653	115-130
458	对机械目标增伤2-区间3	420653	19	2	102	653	130-145
459	对机械目标增伤2-区间4	420653	19	2	70	653	145-160
460	对机械目标增伤2-区间5	420653	19	2	47	653	160-175
461	对机械目标增伤3-区间1	420653	19	3	97	653	175-195
462	对机械目标增伤3-区间2	420653	19	3	109	653	195-215
463	对机械目标增伤3-区间3	420653	19	3	85	653	215-235
464	对机械目标增伤3-区间4	420653	19	3	58	653	235-255
465	对机械目标增伤3-区间5	420653	19	3	39	653	255-275
466	对机械目标增伤4-区间1	420653	19	4	58	653	275-295
467	对机械目标增伤4-区间2	420653	19	4	65	653	295-315
468	对机械目标增伤4-区间3	420653	19	4	51	653	315-335
469	对机械目标增伤4-区间4	420653	19	4	35	653	335-355
470	对机械目标增伤4-区间5	420653	19	4	23	653	355-375
471	对机械目标增伤5-区间1	420653	19	5	39	653	375-400
472	对机械目标增伤5-区间2	420653	19	5	43	653	400-425
473	对机械目标增伤5-区间3	420653	19	5	34	653	425-450
474	对机械目标增伤5-区间4	420653	19	5	23	653	450-475
475	对机械目标增伤5-区间5	420653	19	5	16	653	475-500
476	对精灵目标增伤1-区间1	420654	20	1	78	654	50-60
