	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
140100008	102010000	1	{}		100		说起来，折纸对我好像有很深的误会呢……毕竟是我亲口说的请求交往的……	1	{}				{}					140100009				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100009	102010000	1	{}		100	五河琴里	哈……也许吧。	1	{}				{}					140100010				1			id_pose_2		id_look_3				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140100010	102010000	1	{}		100	1	哎……？	1	{}				{}					140100011				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100011	102010000	1	{}		100		琴里居然认可了我的说法。	1	{}				{}					140100012				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100012	102010000	1	{}		100	五河琴里	也许你更适合实战训练法呢。就这样决定了，你继续去攻略普通人吧。	1	{}				{}					140100013				1			id_pose_5		id_look_2				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140100013	102010000	1	{}		100	五河琴里	区区普通人都无法攻略，是无法让精灵娇羞的！	1	{}				{}					140100014				1			id_pose_2		id_look_3				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140100014	102010000	1	{}		100	1	普、普通人？	1	{}				{}					140100016				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100016	102010000	1	{}		100	五河琴里	啊，令音帮忙留意下，学校里看看有什么合适的对象。	1	{}				{}					140110016				1			id_pose_5		id_look_2				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140110016	102010000	1	{}		100			1	{}				{}					140100017						3							{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100017	102010000	1	{}		100		1	1	{}				{}					140100018													{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140100018	102010000	1	{}		100	令音	嗯，珠惠老师可以再去攻略一次。	1	{}				{}					140100019				10505	3		id_pose_7		id_look_2			4	{}	1.2	30101	3		id_normal_9					5	{}	1.2										{}												{}				2													{}	{}					{}	{}		{}					{}	{}	{}	
140100019	102010000	1	{}		100	1	哎？为什么？明明上次的结果都出人意料了。	1	{}				{}					140100020				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100020	102010000	1	{}		100	令音	毕竟她只是想结婚，对%s你好像并没有动心,数值上并没有什么波动。而且，暂时没有其他合适的对象了。	1	{}				{}					140100021				1								4	{}		1								5	{}											{}												{}				2													{}	{}					{}	{}		{}					{}	{}	{}	
140100021	102010000	1	{}		100	五河琴里	怎么了？你对老师不满，想找女学生？	1	{}				{}					140100022				1			id_pose_2		id_look_3			4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140100022	102010000	1	{}		100		找女同学的话，肯定会出现奇奇怪怪的传言吧。\n但老师的话也不行啊。	1	{}				{}					140100023				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100023	102010000	1	{}		100	1	为什么……不去找折纸呢？	1	{}				{}					140100024				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100024	102010000	1	{}		100		为什么……我不自觉地就说出了折纸的名字……	1	{}				{}					140100025				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100025	102010000	1	{}		100	五河琴里	哦？原来%s已经想好了吗……	1	{}				{}					140100026				1			id_pose_8		id_look_4			4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140100026	102010000	1	{}		100		琴里露出玩味的笑容。	1	{}				{}					140100027				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100027	102010000	1	{}		100	五河琴里	那就去找折纸吧，她是不会乱说话的。	1	{}				{}					140100028				1			id_pose_5		id_look_4			4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140100028	102010000	1	{}		100	令音	折纸也确实是不错的训练对象，最重要的是还能获得AST的情报。	1	{}				{}					140100029				1								4	{}		1			id_normal_7					5	{}											{}												{}				2													{}	{}					{}	{}		{}					{}	{}	{}	
140100029	102010000	1	{}		100	五河琴里	那么，就去找她继续攻略训练吧。	1	{}				{}					140100030				1			id_pose_5		id_look_2			4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140100030	102010000	1	{}		100	五河琴里	开始你的约会吧，%s。	1	{}				{}					140100031				1			id_pose_8		id_look_4			4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140100031	102010000	1	{}		100		琴里以不容分说的口吻命令着我，然后将我赶出了空间舰。	1	{}				{}					140100032				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100032	102010000	1	{}		100		1	1	{}				{}					140100033						3							{}				3							{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140100033	102010000	1	{}		100		1	1	{}				{}					140100034													{}											{}											{}							scene/bg/bg_black.png	2		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140100034	102010000	1	{}		100		1	1	{}				{}				1	140100035													{}											{}											{}							scene/bg/bg_xuexiaozoulang.png	1		1.3	1	{"x":51,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140100035	102010000	1	{}		100		怎么办呢……不过确实需要找折纸一次。干脆今天就找她……	1	{}				{}					140100036-140100039-140100043	5												{}											{}											{}												{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140100036	102010000	1	{}		100		找她解释交往的事	1	{}				{}					140100037	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{102101:5}}		{}					{}	{}	{}	
140100037	102010000	1	{}		100		上次在琴里的安排下，我被迫跟折纸说出交往的话，没想到折纸一直以我的女朋友身份自居了……	1	{}				{}				1	140100038													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100038	102010000	1	{}		100		还是解释一下吧……\n学校刚刚下课不久，她应该还没走吧……	1	{}				{}																		{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100039	102010000	1	{}		100		找她解释出轨的事	1	{}				{}					140100040	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{102102:5}}		{}					{}	{}	{}	
140100040	102010000	1	{}		100		明明刚刚和折纸说出“请和我交往”，转眼又和十香约会一整天，之后还去封印了四糸乃……	1	{}				{}					140100041													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100041	102010000	1	{}		100		总感觉自己是出轨的渣男……\n还是找她解释清楚吧。	1	{}				{}				1	140100042													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100042	102010000	1	{}		100		学校刚刚下课不久，她应该还没走吧。	1	{}				{}																		{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100043	102010000	1	{}		100		找她聊聊高台上的事	1	{}				{}					140100044	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{102103:5}}		{}					{}	{}	{}	
140100044	102010000	1	{}		100		好像最近折纸在学校都有些心不在焉。	1	{}				{}					140100045													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100045	102010000	1	{}		100		高台上的事，并不是折纸的错。\n虽然她已经跟我道歉了，我也说了没关系，也没有人伤亡，看起来我们的关系也很正常……	1	{}				{}					140100046													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100046	102010000	1	{}		100		但是，这件事给我们彼此的冲击，果然是需要时间来抚平的吧。	1	{}				{}				1	140100047													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140100047	102010000	1	{}		100		去找她谈谈心吧。学校刚刚下课不久，她应该还没走吧……	1	{}				{}				1														{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
																																																																																																			
140101101	102010111	1	{}		100		1	1	{}				{}					140101102	4												{}											{}											{}							scene/bg/bg_tushuguan.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140101102	102010111	1	{}		100	管理员	请在这里登记信息。	1	{}				{}					140101103													{}											{}											{}												{}	sound/bgm/date_003.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140101103	102010111	1	{}		100		我接过笔，准备写上要归还的书名。	1	{}				{}					140101104													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101104	102010111	1	{}		100		啊，前面的名字是——	1	{}				{}					140101105													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101105	102010111	1	{}		100		2年4班 鸢一折纸	1	{}				{}					140101106													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101106	102010111	1	{}		100	1	折纸借的书是……《抓住爱人的胃之甜品软饮篇》？	1	{}				{}					140101107													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101107	102010111	1	{}		100	1	唔……	1	{}				{}					140101108													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101108	102010111	1	{}		100		想起上次去折纸家，她给我喝的饮料，肚子里仿佛翻搅了起来。	1	{}				{}					140101109													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101109	102010111	1	{}		100	1	请问，这位刚刚来还书的同学已经离开了吗？	1	{}				{}					140101110													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101110	102010111	1	{}		100	管理员	啊，是的，刚刚离开呢。	1	{}				{}					140101111													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101111	102010111	1	{}		100	管理员	刚好这本书我还没放回书架，请问你要借阅吗？	1	{}				{}				1	140101112													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101112	102010111	1	{}		100		1	1	{}				{}					140101113-140101118	5												{}											{}											{}							scene/bg/bg_tushuguan.png	1		1.3	-1	{"x":51,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140101113	102010111	1	{}		100		借阅	1	{}				{}					140101114	1												{}											{}											{}												{}	sound/bgm/date_003.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140101114	102010111	1	{}		100	1	嗯！	1	{}				{}					140101115													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101115	102010111	1	{}		100		想多多了解折纸的爱好啊，不知道她看的这本书怎么样呢……	1	{}				{}					140101116													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101116	102010111	1	{}		100		借回家好好阅读吧。	1	{}				{}				1	140101117													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101117	102010111	1	{}		100		1	1	{}				{}																		{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{"sign":[101]}	{}	{}	
140101118	102010111	1	{}		100		不了，我在这里看一会儿。	1	{}				{}					140101119	1												{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101119	102010111	1	{}		100	1	不了，我在这里看一会儿。	1	{}				{}					140101120													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101120	102010111	1	{}		100		对于料理，我对自己有足够的信心。	1	{}				{}					140101121													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101121	102010111	1	{}		100		但是……果然还是想知道折纸的兴趣所在啊。	1	{}				{}					140101122													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101122	102010111	1	{}		100	1	嗯，看上去还是比较简单的。	1	{}				{}	0				140101123													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101123	102010111	1	{}		100		书上介绍了目前网上当红的软饮做法，属于傻瓜级别。	1	{}				{}					140101124													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101124	102010111	1	{}		100		后面还有高级调酒和冰淇淋的做法，不过目前我应该用不到。	1	{}				{}					140101125													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101125	102010111	1	{}		100	1	谢谢。	1	{}				{}	0				140101126													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101126	102010111	1	{}		100		我将书还给管理员。	1	{}				{}				1	140101127													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101127	102010111	1	{}		100		还是快点找找折纸在哪吧。	1	{}				{}																		{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
140101201	102010112	1	{}		100		1	1	{}				{}					140101202	4												{}											{}											{}							scene/bg/bg_xuexiaozoulang.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140101202	102010112	1	{}		100	1	啊，令音小姐。你有事吗？	1	{}				{}					140101203				30101	3		id_normal_13					2	{}	1.2										{}											{}												{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140101203	102010112	1	{}		100		我张望了一会儿，并没有看见琴里追出来的身影。	1	{}				{}					140101204				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101204	102010112	1	{}		100	令音	嗯，我只是来提醒你，和折纸约会的时候，可以多多了解一下AST的情报。	1	{}				{}					140101205				1									{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101205	102010112	1	{}		100	1	哎？	1	{}				{}					140101206				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101206	102010112	1	{}		100	令音	AST对待精灵的方式，和我们拉塔托斯克的方式是不同的，你明白吧？	1	{}				{}					140101207				1			id_normal_12						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101207	102010112	1	{}		100	1	嗯，AST的方式是歼灭精灵。	1	{}				{}					140101208				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101208	102010112	1	{}		100	令音	而我们是要与精灵约会，使其娇羞，进而爱上这个世界。	1	{}				{}					140101209				1									{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101209	102010112	1	{}		100		爱上我，进而爱上这个世界……总觉得，有些难为情啊……	1	{}				{}					140101210				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101210	102010112	1	{}		100	令音	不错，小%s。\n我们的情报并不共享，如果有机会，我们也想多掌握一些情报。	1	{}				{}					140101211				1									{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101211	102010112	1	{}		100	1	如果折纸愿意说的话……我会尽力的。如果她不愿意，我还是不想掺杂太多工作的事。	1	{}				{}					140101212				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101212	102010112	1	{}		100	1	我想，至少是以同学的身份和她轻松的交流。	1	{}				{}					140101213				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101213	102010112	1	{}		100		还是不想逼迫折纸，不想让她以为我在利用她……	1	{}				{}					140101214				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101214	102010112	1	{}		100		令音那双拖着黑眼圈的、疲惫的眼睛中，露出一丝惊讶。	1	{}				{}				1	140101215				1			id_normal_9						{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101215	102010112	1	{}		100	令音	明白了，果然是%s的风格呢。	1	{}				{}									1									{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
140101301	102010113	1	{}		100		1	1	{}				{}					140101302	4												{}											{}											{}							scene/bg/bg_xuexiao.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140101302	102010113	1	{}		100	冈峰珠恵	虽然说不在意，但是果然……好想结婚啊。	1	{}				{}					140101303													{}											{}											{}												{}	sound/bgm/date_021.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140101303	102010113	1	{}		100	冈峰珠恵	今天的相亲还是认真对待吧。	1	{}				{}					140101304													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101304	102010113	1	{}		100		1	1	{}				{}					140101305													{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140101305	102010113	1	{}		100	冈峰珠恵	啊，%s同学。	1	{}				{}					140101306													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101306	102010113	1	{}		100	1	老师……	1	{}				{}					140101307													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101307	102010113	1	{}		100		本想悄悄离开的，结果还是被发现了。	1	{}				{}					140101308													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101308	102010113	1	{}		100	冈峰珠恵	%s觉得我今天的裙子怎么样？	1	{}				{}					140101309													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101309	102010113	1	{}		100	1	哎？	1	{}				{}					140101310													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101310	102010113	1	{}		100		今天老师穿了一条漂亮的裙子，感觉是打扮过一番的样子。	1	{}				{}				1	140101311													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101311	102010113	1	{}		100		但是上次就是因为夸奖她，还跟她说过要结婚……老师就变得特别狂热的样子……	1	{}				{}					140101312-140101320	5												{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101312	102010113	1	{}		100		很可爱。	1	{}				{}					140101313	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{102102:3}}		{}					{}	{}	{}	
140101313	102010113	1	{}		100	1	我觉得很可爱啊，很适合老师呢。	1	{}				{}					140101314													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101314	102010113	1	{}		100	冈峰珠恵	是吗……谢谢你，%s同学。	1	{}				{}					140101315													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101315	102010113	1	{}		100	冈峰珠恵	我还以为今天穿的太过于幼稚了……我这个年纪应该更适合成熟风格的装扮吧。	1	{}				{}					140101316													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101316	102010113	1	{}		100		老师的脸颊红扑扑的，看上去像少女一般，完全没想到她是快三十岁的人了……	1	{}				{}					140101317													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101317	102010113	1	{}		100	1	才不是……如果老师穿上校服，说是学校的学生，也没人觉得违和吧！	1	{}				{}					140101318													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101318	102010113	1	{}		100		老师的脸上露出惊讶，害羞地挠了挠后脑勺。	1	{}				{}				1	140101319													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101319	102010113	1	{}		100	冈峰珠恵	%s还真是会说话呢。	1	{}				{}																		{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101320	102010113	1	{}		100		一般般……	1	{}				{}					140101321	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{102101:3,102103:2}}		{}					{}	{}	{}	
140101321	102010113	1	{}		100	1	感觉一般般……但是我对这些没什么见解。	1	{}				{}					140101322													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101322	102010113	1	{}		100	冈峰珠恵	是吗……可能是有点不符合我的年龄吧。我应该穿更成熟点的才好。	1	{}				{}					140101323													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101323	102010113	1	{}		100	冈峰珠恵	今天我还有事，就先走了。%s同学也要注意安全。	1	{}				{}				1	140101324													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101324	102010113	1	{}		100		是我的错觉吗，老师的声音听上去有些失落……	1	{}				{}																		{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
140101401	102010114	1	{}		100		1	1	{}				{}					140101402	4												{}											{}											{}							scene/bg/bg_chaoshi.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140101402	102010114	1	{}		100		不知不觉间，被人潮挤到了超市门口。	1	{}				{}					140101403													{}											{}											{}												{}	sound/bgm/date_018.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140101403	102010114	1	{}		100	店员	明天中午十二点有水果免费试吃和限时打折哦~	1	{}				{}				1	140101404													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101404	102010114	1	{}		100	1	哎？本来今天想买点水果的，如果有打折的话就明天来买吧。	1	{}				{}																		{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
140101501	102010115	1	{}		100		1	1	{}				{}					140101502	4												{}											{}											{}							scene/bg/bg_jiaoshi.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140101502	102010115	1	{}		100	1	麻衣，你们有看到折纸吗？	1	{}				{}					140101503													{}											{}											{}												{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140101503	102010115	1	{}		100	叶樱麻衣	继十香之后，%s要对折纸同学出手了吗？	1	{}				{}					140101504													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101504	102010115	1	{}		100	1	出手什么的……完全没那回事。	1	{}				{}					140101505													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101505	102010115	1	{}		100		啊啊，十香的事情也很难解释啊，精灵的事情又不能乱说。	1	{}				{}					140101506													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
