	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
145100014	103010000	1	{}		100	1	哇啊！怎么回事啊！	1	{}				{}					145100015				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100015	103010000	1	{}		100	五河琴里	当然是从天空舰传送过来的啊，只不过有奇怪的东西一起传过来了。	1	{}				{}					145100016				1			id_favor3_1						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100016	103010000	1	{}		100		 	1	{}				{}					145100017				1			id_pose_1		id_look_1				{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	{}
145100017	103010000	1	{}		100	神无月恭平	司令啊，为了防止电视损坏，我可是充当了肉垫的角色，就不能对我客气点吗？	1	{}				{}					145100018				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100018	103010000	1	{}		100	神无月恭平	哇啊——！	1	{}				{}					145100019				1									{}											{}											{}		0.1-7-12-5-0.028	4									{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100019	103010000	1	{}		100		 	1	{}				{}					145100020						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	{}
145100020	103010000	1	{}		100		神无月还没说完话，就消失在了一束光束中，应该是被令音传送回去了吧？	1	{}				{}					145100021													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100021	103010000	1	{}		100	夜刀神十香	喔，有大电视可以看了！	1	{}				{}					145100022				10107	3		id_pose_12		id_look_4			4	{}	1.3										{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100022	103010000	1	{}		100	1	明天四糸乃就住进来啦，你们要好好相处哟~	1	{}				{}					145100023				1								4	{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100023	103010000	1	{}		100	夜刀神十香	知道了啦。	1	{}				{}					145100024				1			id_normal_6					4	{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100024	103010000	1	{}		100	夜刀神十香	等一下！四糸乃要搬进来？为什么之前我不知道？	1	{}				{}					145100025				1			id_normal_2					4	{}											{}											{}		0.1-7-12-5-0.028	4									{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100025	103010000	1	{}		100	1	现在说也是一样啦，十香会欢迎四糸乃的，对吗？	1	{}				{}					145100026				1								4	{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100026	103010000	1	{}		100	夜刀神十香	唔姆……我尽量吧。	1	{}				{}					145100027				1			id_normal_6					4	{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100027	103010000	1	{}		100	1	那太好了，以后，要好好相处啊。	1	{}				{}					145100028				1			id_pose_1		id_look_1			4	{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100028	103010000	1	{}		100		我摸了摸十香的头，她如同往常一样露出了开心的表情。	1	{}				{}					145100029				1								4	{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100029	103010000	1	{}		100	五河琴里	时间不早了，明天还要去接四糸乃，赶快去睡觉吧。	1	{}				{}					145100030				1								4	{}		10504	3		id_favor1					5	{}	1.3										{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100030	103010000	1	{}		100	1	她暂时住在天空舰吗？	1	{}				{}				1	145100031				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100031	103010000	1	{}		100	五河琴里	嗯，等待今晚的体检完毕，我们就可以去接她了。	1	{}				{}					145100032-145100035-145100039	5			1								4	{}		1			id_normal_6	1				5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100032	103010000	1	{}		100	1	明天不是要上学吗？	1	{}				{}					145100033	1			10107	3	3						4	{}	1.3	10504	3	3						5	{}	1.3										{}							scene/bg/bg_keting.png				-1	{}																	{}	{}					{}	{"quality":{103101:2,103102:2}}		{}					{}	{}	{}	{}
145100033	103010000	1	{}		100	五河琴里	说起来也是，嗯……我让令音尽快吧！	1	{}				{}					145100034				1								4	{}		1			id_normal_9					5	{}											{}												{}	sound/bgm/date_013.mp3			1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100034	103010000	1	{}		100	五河琴里	总之你一定要亲自去接，她现在对你的信任度很高。	1	{}				{}					145100035				1								4	{}		1			id_pose_1		id_look_4			5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100035	103010000	1	{}		100	1	没问题。	1	{}				{}					145100036	1			1	3	3						4	{}	1.3	10504	3	3						5	{}	1.3										{}							scene/bg/bg_keting.png				-1	{}																	{}	{}					{}	{"quality":{103102:4}}		{}					{}	{}	{}	{}
145100036	103010000	1	{}		100		我信誓旦旦地拍着胸脯保证着。	1	{}				{}					145100037				1								4	{}		1								5	{}											{}												{}	sound/bgm/date_013.mp3																{}	{}					{}	{}		{}					{}	{}	{}	{}
145100037	103010000	1	{}		100	夜刀神十香	唔姆，需要我帮忙吗，%s？	1	{}				{}					145100038				1			id_normal_9					4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100038	103010000	1	{}		100	五河琴里	这种事%s自己可以的啦，十香不用太惯着他。	1	{}				{}					145100047				1								4	{}		1			id_favor3_1					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100039	103010000	1	{}		100	1	我可以拜托十香去吗？	1	{}				{}					145100040	1			1	3	3	id_pose_1	1	id_look_1			4	{}	1.3	10504	3	3						5	{}	1.3										{}							scene/bg/bg_keting.png				-1	{}																	{}	{}					{}	{"quality":{103103:4}}		{}					{}	{}	{}	{}
145100040	103010000	1	{}		100	五河琴里	你到底是懒到了什么程度了啊！自己的事情干嘛推给十香！	1	{}				{}					145100041				1								4	{}		1			id_normal_4					5	{}											{}												{}	sound/bgm/date_013.mp3			1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100041	103010000	1	{}		100	1	我可是一片苦心啊……十香毕竟刚刚来到人类世界……	1	{}				{}					145100042				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100042	103010000	1	{}		100	五河琴里	嘁……又给自己找理由吗？	1	{}				{}					145100043				1								4	{}		1			id_normal_4					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100043	103010000	1	{}		100	1	才没有，而且十香也没有说不愿意啊……	1	{}				{}					145100044				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100044	103010000	1	{}		100	夜刀神十香	诶？可以倒是可以……但是我不太熟悉流程……	1	{}				{}					145100045				1			id_normal_2					4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100045	103010000	1	{}		100	1	没事的十香，相当简单哦。	1	{}				{}					145100046				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100046	103010000	1	{}		100	五河琴里	十香别听他的，让他自己去！	1	{}				{}					145100047				1								4	{}		1			id_normal_4					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100047	103010000	1	{}		100	夜刀神十香	唔姆……可是我也很想帮忙。	1	{}				{}					145100048				1			id_pose_12		id_look_2			4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100048	103010000	1	{}		100	1	哈哈，其实十香有这份心意就行了，还是我自己去吧。	1	{}				{}					145100049				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100049	103010000	1	{}		100		 	1	{}				{}					145100050						3							{}				3							{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	{}
145100050	103010000	1	{}		100		我放下了手中正在组装的电视，走向了厨房。	1	{}				{}					145100051													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100051	103010000	1	{}		100	1	要洗澡的话，今天要赶快哦！	1	{}				{}					145100052													{}	1.3	10504			id_pose_7		id_look_1			5	{}	1.3										{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100052	103010000	1	{}		100		想起上次和十香在浴室中撞见的场面，还是不由自主地会脸红。	1	{}				{}					145100053													{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100053	103010000	1	{}		100	五河琴里	看来老哥还记得上次的事情呢。	1	{}				{}					145100054													{}		1			id_normal_2					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100054	103010000	1	{}		100		琴里坏笑着拍打着我的肩膀。	1	{}				{}					145100055													{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100055	103010000	1	{}		100	夜刀神十香	喔，这么说来，之前的事情是琴里授意的吗？	1	{}				{}					145100056				10107	3		id_normal_2					4	{}	1.3	1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100056	103010000	1	{}		100	五河琴里	这……这个，都是测验啦，测验。	1	{}				{}					145100057				1								4	{}		1			id_normal_2					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100057	103010000	1	{}		100	1	算了……过去的事就别提了……	1	{}				{}					145100058				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100058	103010000	1	{}		100	夜刀神十香	嗯~%s这个，好凉爽！	1	{}				{}					145100059				1			id_pose_12		id_look_4			4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100059	103010000	1	{}		100		另外一边的十香指着开着的电扇，眼神透露着期待。	1	{}				{}					145100060				1			id_pose_1		id_look_1			4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100060	103010000	1	{}		100	五河琴里	喔，这个已经摆了很久呢，只是今天才拿出来。	1	{}				{}					145100061				1								4	{}		1			id_favor1					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100061	103010000	1	{}		100	1	这个是电扇啦，十香没见过吗？	1	{}				{}					145100062				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100062	103010000	1	{}		100	夜刀神十香	没有呢……	1	{}				{}					145100063				1			id_favor2_4					4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100063	103010000	1	{}		100	五河琴里	这个嘛，简单来说就是夏天必备的东西。	1	{}				{}					145100064				1								4	{}		1			id_normal_6					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100064	103010000	1	{}		100	1	没有电扇的话，不仅睡不着，还会有生命危险哦！	1	{}				{}					145100065				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100065	103010000	1	{}		100	夜刀神十香	诶？！	1	{}				{}					145100066				1			id_normal_2					4	{}		1								5	{}											{}		0.1-7-12-5-0.028	4									{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100066	103010000	1	{}		100	五河琴里	说得太严重了啦笨蛋%s。	1	{}				{}					145100067				1								4	{}		1			id_normal_4					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100067	103010000	1	{}		100	五河琴里	不过你提醒我该装个空调了，我明天去找令音说吧。	1	{}				{}					145100068				1								4	{}		1			id_normal_9					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100068	103010000	1	{}		100	夜刀神十香	唔姆，汤锅已经在沸腾了，可以……先吃饭吗？	1	{}				{}					145100069				1			id_pose_12		id_look_2			4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100069	103010000	1	{}		100		等我手忙脚乱地把汤锅端起来，因为煮沸，里面的汤汁已经溢出一半了。	1	{}				{}					145100070				1			id_pose_1		id_look_1			4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100070	103010000	1	{}		100	五河琴里	让你只顾说话，忘记时间了吧。	1	{}				{}					145100071				1								4	{}		1			id_favor1_5					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100071	103010000	1	{}		100	1	唉，好心疼，今天特地买的牛肉，就算重新炖也没有这个香味了吧。	1	{}				{}					145100072				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100072	103010000	1	{}		100		我看着空了一半的汤锅。	1	{}				{}					145100073				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100073	103010000	1	{}		100	夜刀神十香	没事的%s，等四糸乃来了我们再做就好啦！	1	{}				{}					145100074				1			id_pose_12		id_look_4			4	{}		1								5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100074	103010000	1	{}		100	五河琴里	好吧，%s你下次可长点心啊！	1	{}				{}					145100075				1								4	{}		1			id_normal_4					5	{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145100075	103010000	1	{}		100	1	一定，一定……	1	{}				{}					145100076				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100076	103010000	1	{}		100		草草吃完晚饭，躺在沙发上休息的我心事重重。	1	{}				{}					145100077				1								4	{}		1								5	{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145100077	103010000	1	{}		100		 	1	{}				{}					145100078						3							{}				3							{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	{}
145100078	103010000	1	{}		100		 	1	{}				{}					145100079													{}											{}											{}							scene/bg/bg_keting.png	1		1.75	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	{}
145100079	103010000	1	{}		100		要如何让四糸乃融入社会，是个很大的问题……	1	{}				{}				1	145100080													{}											{}											{}												{}	sound/bgm/date_013.mp3																{}	{}					{}	{}		{}					{}	{}	{}	{}
145100080	103010000	1	{}		100		总之先出去散散心吧……	1	{}				{}																		{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
																																																																																																			
145101101	103010111	1	{}		100		 	1	{}				{}					145101102	4												{}											{}											{}							scene/bg/bg_youlechang.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	{}
145101102	103010111	1	{}		100	夜刀神十香	唔姆，%s！这边这个好好玩！	1	{}				{}					145101103				10104	3		id_pose_12		id_look_4			2	{}	1.3										{}											{}												{}	sound/bgm/date_001.mp3			1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145101103	103010111	1	{}		100	1	嗯？什么东西？	1	{}				{}					145101104				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101104	103010111	1	{}		100	夜刀神十香	就是这个啊，圆圆的手套，打一下可以弹数字的这个。	1	{}				{}					145101105				1			id_pose_1		id_look_4				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145101105	103010111	1	{}		100	1	哦哦，是拳击靶啊，十香刚刚已经玩过啦？	1	{}				{}					145101106				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101106	103010111	1	{}		100	夜刀神十香	是呀，数值有300哦！怎么样，我是不是很厉害！	1	{}				{}					145101107				1			id_favor3_1						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145101107	103010111	1	{}		100	1	嗯……相当厉害了，平常很少有人可以打这么高的。	1	{}				{}					145101108				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101108	103010111	1	{}		100		这一拳打在我身上我会当场去世吧……	1	{}				{}					145101109				1			id_favor3_1						{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101109	103010111	1	{}		100	男人	嘿，小姑娘还是很有力气的嘛，不过女人终究是女人。	1	{}				{}					145101110				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101110	103010111	1	{}		100	1	诶？这位先生，这样和女孩子说话很没礼貌啊。	1	{}				{}					145101111				1			id_pose_9		id_look_13				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101111	103010111	1	{}		100		壮汉没有回答我，只是笑了笑，用带着破风声的一拳砸在了拳击靶上。	1	{}				{}					145101112				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101112	103010111	1	{}		100	夜刀神十香	什么……意思？	1	{}				{}				1	145101113				1			id_pose_9		id_look_13				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145101113	103010111	1	{}		100	男人	意思是，小姑娘你不过如此。	1	{}				{}					145101114-145101116-145101117				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101114	103010111	1	{}		100	1	你是谁啊？	1	{}				{}					145101115				1									{}											{}											{}												{}																	{}	{}					{}	{"quality":{103102:4},"sign":[101]}		{}					{}	{}	{}	{}
145101115	103010111	1	{}		100		喂！这位先生，你是谁啊？这样说话很没礼貌哦。	1	{}				{}					145101119				1			id_normal_4						{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101116	103010111	1	{}		100	1	喂喂！对方只是个小姑娘	1	{}				{}					145101118				1									{}											{}											{}												{}																	{}	{}					{}	{"quality":{103101:4},"sign":[101]}		{}					{}	{}	{}	{}
145101117	103010111	1	{}		100	1	先生，你这样说话很没礼貌！	1	{}				{}					145101118				1									{}											{}											{}												{}																	{}	{}					{}	{"quality":{103101:2,103103:2},"sign":[101]}		{}					{}	{}	{}	{}
145101118	103010111	1	{}		100	1	喂！我说你啊……既然知道对方是小姑娘，还拿来作比较！	1	{}				{}					145101119				1			id_normal_4						{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101119	103010111	1	{}		100	男人	想多管闲事吗？力量能超过我再过来吧！	1	{}				{}					145101120				1			id_pose_1		id_look_1				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101120	103010111	1	{}		100		听到这话，我一时竟然哑口无言。	1	{}				{}					145101121				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101121	103010111	1	{}		100	夜刀神十香	……%s，这个人是觉得自己比我厉害吗？	1	{}				{}					145101122				1			id_normal_4						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145101122	103010111	1	{}		100	男人	没错！比你厉害，你还差得远。	1	{}				{}					145101123				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101123	103010111	1	{}		100	夜刀神十香	呜——欧拉！	1	{}				{}					145101124				1			id_pose_12		id_look_3				{}											{}											{}		0.1-7-12-5-0.028	0									{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145101124	103010111	1	{}		100		还没等到我说话，十香抬起了右手，用几乎看不清轨迹的速度，直接穿透了拳击靶。	1	{}				{}					145101125				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101125	103010111	1	{}		100	夜刀神十香	现在，还有什么问题吗？	1	{}				{}					145101126				1			id_favor3_1						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145101126	103010111	1	{}		100		面对这样的一击，男人直接傻了眼……	1	{}				{}				1	145101127				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
145101127	103010111	1	{}		100	1	十香，你怎么直接打坏了！老板来了，快跑！	1	{}				{}									1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	{}
																																																																																																			
145101201	103010112	1	{}		100		 	1	{}				{}					145101202	4												{}											{}											{}							scene/bg/bg_yinpindian.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	{}
145101202	103010112	1	{}		100	1	令音小姐，你怎么在这里？	1	{}				{}					145101203				30101	3							2	{}	1.3										{}											{}												{}	sound/bgm/date_008.mp3																{}	{}					{}	{}		{}					{}	{}	{}	{}
145101203	103010112	1	{}		100	村雨令音	哦？%s，你来啦？	1	{}				{}					145101205				1			id_favor1						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
145101205	103010112	1	{}		100	村雨令音	说起来，你现在还有空和我闲聊吗？	1	{}				{}					145101206				1			id_pose_10		id_look_11				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	{}
