	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	标题显示（手机）	头像显示（手机）	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
7100004	2401001	2	{}		100			夜刀神十香	「 %s 实在是太过分了！」	1	{}			{}	{}					7100005		1			id_pose_6		id_look_6	103_eff	id_gas	2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_10.mp3													{}	{}					{}	{}		{}		
7100005	2401001	2	{}		100				说完就生气的转过头去，走出了走廊	1	{}			{}	{}																{}											{}											{}										1		{}																{"fix":{"items":[{"id":500007,"num":-10},{"id":500008,"num":-10}]}}	{"fix":{"items":[{"id":500007,"num":-10},{"id":500008,"num":-10}]}}					{}	{}		{}		
1008100001	2501001		{}							1	{}			{}	{}					8100001	4										{}											{}											{}							scene/bg/bg_keting.png			1	-1	{}																{}	{}					{}	{}		{}		
8100001	2501001	2	{}		100			1	「十香……昨天我……」	1	{}			{}	{}					8100002		10104			id_pose_10		id_look_6			2	{}	1.2										{}											{}										1		{}	sound/bgm/date_001.mp3															{}	{}					{}	{}		{}		
8100002	2501001	2	{}		100			夜刀神十香	「哼！不用再解释了！昨天我可是等了很久」	1	{}			{}	{}					8100003		1			id_pose_10		id_look_11	103_eff	id_gas	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_4.mp3													{}	{}					{}	{}		{}		
8100003	2501001	2	{}		100				十香做出十分生气的表情和动作后，再一次张开了嘴。	1	{}			{}	{}					8100004		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
8100004	2501001	2	{}		100			夜刀神十香	「 %s 实在是太过分了！」	1	{}			{}	{}					8100005		1			id_pose_6		id_look_6	103_eff	id_gas	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_10.mp3													{}	{}					{}	{}		{}		
8100005	2501001	2	{}		100				说完就生气的转过头去，走出了走廊	1	{}			{}	{}																{}											{}											{}										1		{}																{"fix":{"items":[{"id":500007,"num":-30},{"id":500008,"num":-20}]}}	{"fix":{"items":[{"id":500007,"num":-30},{"id":500008,"num":-20}]}}					{}	{}		{}		
1011100001	1103002		{}							1	{}			{}	{}					11100001	4										{}											{}											{}							scene/bg/bg_xuexiao.png	2		1	-1	{}																{}	{}					{}	{}		{}		
11100001	1103002	1	{}		100				能够操纵水和寒气的[精灵]，四糸乃，平时是一个温和的[精灵]。	1	{}			{}	{}					11100002											{}											{}											{}										1		{}	sound/bgm/date_001.mp3															{}	{}		video/xuexiao.mp4			{}	{}		{}		
11100002	1103002	1	{}		100				她虽然胆小，却心地善良，每次和她一起度过的时间都是轻松快乐的。	1	{}			{}	{}				1	11100003											{}											{}											{}										1		{}																{}	{}					{}	{}		{}		
11100003	1103002	1	{}		100			1	「明天就要和四糸乃约会了，不知道她会选择什么地方呢？」	1	{}			{}	{}					11101101-11101201-11101301	5										{}											{}											{}										1		{}											1					{}	{}					{}	{}		{}		
11101101	1103002	1	{}		100				或许是玩偶店，她好像很喜欢玩偶。	1	{}			{}	{}					11101102	1										{}											{}											{}							scene/bg/bg_xuexiao.png			1	-1	{}	sound/bgm/date_001.mp3									5	1					{}	{}					{}	{}		{}		
11101201	1103002	1	{}		100				或许是服装店，可以给她买好看的内衣。	1	{}			{}	{}					11101102	1										{}											{}											{}							scene/bg/bg_xuexiao.png			1	-1	{}	sound/bgm/date_001.mp3									-5	1					{}	{}					{}	{}		{}		
11101301	1103002	1	{}		100				会是神社吗？我们邂逅的地方。	1	{}			{}	{}					1011101102	1										{}											{}											{}							scene/bg/bg_xuexiao.png			1	-1	{}	sound/bgm/date_001.mp3									10	1					{}	{}					{}	{}		{}		
1011101102	1103002		{}							1	{}			{}	{}					11101102											{}											{}											{}							scene/bg/bg_shenshe.png	2		1	-1	{}																{}	{}					{}	{}		{}		
11101102	1103002	1	{}		100				最后四糸乃和我约定，在神社见面，也就是我们第一次相遇的地方。	1	{}			{}	{}					11101103	2										{}											{}											{}										1		{}											1					{}	{}					{}	{}		{}		
11101103	1103002	1	{}		100				在我到达前，四糸乃已经提前在神社等我了。	1	{}			{}	{}					11101104		10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101104	1103002	1	{}		100				看到我走近，她开心地站起来冲我微笑。	1	{}			{}	{}					11101105		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101105	1103002	1	{}		100			四糸乃	「你……你来了么……」	1	{}			{}	{}					11101106		1			id_pose_1		id_look_7			2	{}	1.4										{}											{}										1.1		{}			sound/role/sisinai/YOSHINO_36.mp3													{}	{}					{}	{}		{}		
11101106	1103002	1	{}		100			1	「哈哈，当然的啊，让你久等了。」	1	{}			{}	{}					11101107		1								2	{}	1.4										{}											{}										1.1		{}																{}	{}					{}	{}		{}		
11101107	1103002	1	{}		100				四糸奈得意地挥舞着双手。	1	{}			{}	{}					11101108		1			id_pose_1		id_look_1			2	{}	1.4										{}											{}										1.1		{}																{}	{}					{}	{}		{}		
11101108	1103002	1	{}		100			四糸奈	『嘿，%s 同学！终于来啦！』	1	{}			{}	{}					11101109		1			id1_tuzi					2	{}	1.4										{}											{}										1.1		{}			sound/role/sisinai/YOSHINON_S_14.mp3													{}	{}					{}	{}		{}		
11101109	1103002	1	{}		100			四糸乃	「那……那个，还记得……这个神社吗？」	1	{}			{}	{}					11101110		1			id_pose_1		id_look_5			2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_S_02.mp3													{}	{}					{}	{}		{}		
11101110	1103002	1	{}		100			1	「嗯，当然记得。」	1	{}			{}	{}					1011101111		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
1011101111	1103002		{}							1	{}			{}	{}				2	11101111											{}											{}											{}							scene/bg/bg_yutianshenshe.png	2		1	-1	{}																{}	{}					{}	{}		{}		
11101111	1103002	1	{}		100				只是一次偶然，我路过神社，看见那个雨中的少女，穿着可爱的兔耳朵雨衣。	1	{}			{}	{}					11101112		10301			id_pose_1		id_look_2			2	{}	1.2										{}											{}										1		{}	sound/bgm/date_005.mp3						date_cg_10	4						1		{}	{}					{}	{}		{}		
11101112	1103002	1	{}		100				绿色的靴子踩在水洼中，水花四溅。	1	{}			{}	{}					11101113		1								2	{}	1.2										{}											{}										1		{}														1		{}	{}					{}	{}		{}		
11101113	1103002	1	{}		100				我站在一旁，静静地注视着在雨帘中起舞的少女。	1	{}			{}	{}					11101114		1								2	{}	1.2										{}											{}										1		{}														1		{}	{}					{}	{}		{}		
11101114	1103002	1	{}		100				蓦地，少女脚下一滑，摔倒在雨中，左手的玩偶也飞了出去。	1	{}			{}	{}					11101115		1			id_pose_4		id_look_4			2	{}	1.2										{}											{}										1		{}														1		{}	{}					{}	{}		{}		
11101115	1103002	1	{}		100				我跑了过去，打算扶起她。凑近才发现，这个女孩子有着蓝色的头发和眼睛，\n像是同时拥有了天空和海洋，非常美丽。	1	{}			{}	{}					11101116		1								2	{}	1.2										{}											{}										1		{}														1		{}	{}					{}	{}		{}		
11101116	1103002	1	{}		100				但少女倒在地上，有些戒备又可怜地打量着我。	1	{}			{}	{}					11101117		1			id_pose_4		id_look_2			2	{}	1.2										{}											{}										1		{}														1		{}	{}					{}	{}		{}		
11101117	1103002	1	{}		100			1	「还好吗？有没有摔伤？」	1	{}			{}	{}					11101118		1								2	{}	1.2										{}											{}										1		{}														1		{}	{}					{}	{}		{}		
11101118	1103002	1	{}		100			四糸乃	「……请……请不要伤害我……」	1	{}			{}	{}					11101119		1			id_pose_4		id_look_4			2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_32.mp3											1		{}	{}					{}	{}		{}		
11101119	1103002	1	{}		100				那个时候，我还没想到过……	1	{}			{}	{}					11101120		1								2	{}	1.2										{}											{}										1		{}														1		{}	{}					{}	{}		{}		
11101120	1103002	1	{}		100				之后的自己，即使遍体鳞伤、拼上性命，也会去想要拯救她这件事情。	1	{}			{}	{}					1011101121		1								2	{}	1.2										{}											{}										1		{}														1		{}	{}					{}	{}		{}		
1011101121	1103002		{}							1	{}			{}	{}					11101121											{}											{}											{}							scene/bg/bg_shenshe.png	2		1	-1	{}																{}	{}					{}	{}		{}		
11101121	1103002	1	{}		100			1	「我就是在这里，和你初次相遇的呢。」	1	{}			{}	{}					11101122		10303			id_pose_1		id_look_1			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101122	1103002	1	{}		100				我摸了摸神社里的大榕树，那时候我就站在这棵树后面，看着四糸乃在雨中玩耍。	1	{}			{}	{}					11101123		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101123	1103002	1	{}		100			四糸乃	「嗯！」	1	{}			{}	{}					11101124		1			id_pose_1		id_look_7			2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_S_09.mp3													{}	{}					{}	{}		{}		
11101124	1103002	1	{}		100				我和四糸乃一起在神社里参拜，算是感谢神明让我们相遇吧。	1	{}			{}	{}					11101125		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101125	1103002	1	{}		100				牵着四糸乃的手走在石街上，她的小手很软很暖和。	1	{}			{}	{}					11101126		1			id_pose_1		id_look_1			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101126	1103002	1	{}		100			四糸奈	『其实这次约会，我和四糸乃想了很多地点呢。但是嘛……到头来……』	1	{}			{}	{}					11101127		1			id1_tuzi					2	{}	1.2										{}											{}										1		{}	sound/bgm/date_002.mp3		sound/role/sisinai/YOSHINON_S_04.mp3													{}	{}					{}	{}		{}		
11101127	1103002	1	{}		100				四糸乃和四糸奈相视一笑。	1	{}			{}	{}					11101128		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101128	1103002	1	{}		100			四糸乃	「比起去其他地方……还是想和你……在这里……约会……」	1	{}			{}	{}					11101129		1			id_pose_1					2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_S_07.mp3													{}	{}					{}	{}		{}		
11101129	1103002	1	{}		100				我有些惊讶，她竟然这么喜欢神社，是因为值得纪念吗？	1	{}			{}	{}					11101130		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101130	1103002	1	{}		100			四糸乃	「不可以……么？」	1	{}			{}	{}					11101131		1			id_pose_1		id_look_8			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101131	1103002	1	{}		100			1	「当然没问题，一起来玩吧！」	1	{}			{}	{}					11101132		1			id_pose_1		id_look_1			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101132	1103002	1	{}		100				我摸摸她的头，发丝很柔软，她仰头微笑的样子，像雨后阳光一样美丽。	1	{}			{}	{}					11101133		1			id_pose_1		id_look_7			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101133	1103002	1	{}		100			四糸乃	「谢谢你！」	1	{}			{}	{}					11101134		1								2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_26.mp3													{}	{}					{}	{}		{}		
11101134	1103002	1	{}		100			四糸奈	『太好了！四糸乃！』	1	{}			{}	{}					11101135		1			id1_tuzi					2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINON_S_03.mp3													{}	{}					{}	{}		{}		
11101135	1103002	1	{}		100			1	「四糸乃，有什么特别想玩的吗？」	1	{}			{}	{}					11101136		1			id_pose_1		id_look_5			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101136	1103002	1	{}		100			四糸奈	『捉迷藏！还有猜拳！』	1	{}			{}	{}					11101137		1			id1_tuzi					2	{}	1.4										{}											{}										1.1		{}																{}	{}					{}	{}		{}		
11101137	1103002	1	{}		100				四糸奈激动地挥舞着她的双手提议道。	1	{}			{}	{}					11101138		1			id_pose_1		id_look_5			2	{}	1.4										{}											{}										1.1		{}																{}	{}					{}	{}		{}		
11101138	1103002	1	{}		100			1	「猜拳吗……」	1	{}			{}	{}					11101139		1								2	{}	1.4										{}											{}										1.1		{}																{}	{}					{}	{}		{}		
11101139	1103002	1	{}		100			四糸奈	『嗯！四糸乃很厉害的，%s 同学，你可要小心了！』	1	{}			{}	{}					11101140		1			id1_tuzi					2	{}	1.4										{}											{}										1.1		{}			sound/role/sisinai/YOSHINON_S_13.mp3													{}	{}					{}	{}		{}		
11101140	1103002	1	{}		100			1	「正好，那边有一个台阶，我们来玩跳台阶吧。」	1	{}			{}	{}					11101141		1			id_pose_1		id_look_5			2	{}	1.4										{}											{}										1.1		{}																{}	{}					{}	{}		{}		
11101141	1103002	1	{}		100				我指向神社东南方向的台阶，上面有些许青苔，不过古朴又干净。	1	{}			{}	{}					11101142		1			id_pose_1		id_look_1			2	{}	1.4										{}											{}										1.1		{}																{}	{}					{}	{}		{}		
11101142	1103002	1	{}		100			1	「我们用猜拳比赛，赢了的人往上走，最先到达台阶顶点的就算胜利，好不好？」	1	{}			{}	{}					11101143		1								2	{}	1.4										{}											{}										1.1		{}																{}	{}					{}	{}		{}		
11101143	1103002	1	{}		100			四糸奈	『听起来不错样子，四糸乃加油哦~』	1	{}			{}	{}					11101144		1			id1_tuzi					2	{}	1.4										{}											{}										1.1		{}																{}	{}					{}	{}		{}		
11101144	1103002	1	{}		100			四糸乃	「嗯。」	1	{}			{}	{}					1011101145		1			id_pose_1		id_look_7			2	{}	1.4										{}											{}										1.1		{}																{}	{}					{}	{}		{}		
1011101145	1103002		{}							1	{}			{}	{}					11101145											{}											{}											{}							scene/bg/bg_shenshe.png	2		1	-1	{}																{}	{}					{}	{}		{}		
11101145	1103002	1	{}		100				我和四糸乃来到台阶下，面对面站好。	1	{}			{}	{}					11101146		10303			id_pose_1		id_look_5			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101146	1103002	1	{}		100			1	「准备好了吗？」	1	{}			{}	{}					11101147		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101147	1103002	1	{}		100			四糸乃	「嗯……准备好了。」	1	{}			{}	{}					11101148		1			id_pose_1		id_look_1			2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINO_S_09.mp3													{}	{}					{}	{}		{}		
11101148	1103002	1	{}		100			四糸奈	『我们可是不会输的！』	1	{}			{}	{}					11101149		1			id1_tuzi					2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101149	1103002	1	{}		100			1	「哈哈，斗志很足嘛。」	1	{}			{}	{}					11101150		1			id_pose_1		id_look_1			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
11101150	1103002	1	{}		100			四糸奈	『开始吧，肯定是我们最先登顶。』	1	{}			{}	{}				1	11101151		1			id1_tuzi					2	{}	1.2										{}											{}										1		{}			sound/role/sisinai/YOSHINON_06.mp3								1					{}	{}					{}	{}		{}		
11101151	1103002	1	{}		100				第一局开始了，先出什么好呢？	1	{}			{}	{}					11201101-11201201-11201301	5	1			id_pose_1		id_look_2			2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
11201101	1103002	1	{}		100				石头	1	{}			{}	{}					11201102	1	10303			id_pose_1		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_shenshe.png			1	-1	{}	sound/bgm/date_002.mp3									5	1					{}	{}					{}	{}		{}		
