id	排序	所属日期（1~7分别对应周1~周日）	刷怪组id	关卡等级(刷出怪物的等级，不用刷怪器中的怪物等级)	难度(1-普通关卡，2-BOSS关卡)	关卡类型(1-Boss，2-精灵，3-精英，4-杂兵)	地图ID	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	关卡时长	关卡倒计计时延迟时间	战斗角色大小比例	地图摄像机修正	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	通关条件类型(1歼灭，暂无其他通关条件类型)	通关条件参数	背景音乐	关卡掉落展示	进入等级	消耗资源	可进入次数	奖励	层数奖励	模式名字	模式描述	推荐攻略描述	词缀怪物总数	词缀怪物出现区间	是否播放胜利动作
101026	26	1	3000076-3000077-3000078	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400026	{500001:9000,500002:60,570005:9}	300841	300851	300861	2	3-15	1
101027	27	1	3000079	20	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400027	{500001:9000,500002:60,570005:9}	300841	300851	300861	2	3-15	1
101028	28	1	3000082	20	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400028	{500001:9000,500002:60,570005:9}	300841	300851	300861	2	3-15	1
101029	29	1	3000085-3000086-3000087	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400029	{500001:9000,500002:60,570005:9}	300841	300851	300861	2	3-15	1
101030	30	1	3000088	20	2	1	12	2_DEMboss		180	15000	0.6	270			300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400030	{500001:9000,500002:60,570005:9}	300841	300851	300861			1
101031	31	1	3000091-3000092-3000093	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400031	{500001:12000,500002:80,570005:12}	300841	300851	300861	3	3-15	1
101032	32	1	3000094-3000095-3000096	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400032	{500001:12000,500002:80,570005:12}	300841	300851	300861	3	3-15	1
101033	33	1	3000097	25	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400033	{500001:12000,500002:80,570005:12}	300841	300851	300861	3	3-15	1
101034	34	1	3000100	25	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400034	{500001:12000,500002:80,570005:12}	300841	300851	300861	3	3-15	1
101035	35	1	3000103-3000104-3000105	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400035	{500001:12000,500002:80,570005:12}	300841	300851	300861	3	3-15	1
101036	36	1	3000106-3000107-3000108	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400036	{500001:12000,500002:80,570005:12}	300841	300851	300861	3	3-15	1
101037	37	1	3000109	25	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400037	{500001:12000,500002:80,570005:12}	300841	300851	300861	3	3-15	1
101038	38	1	3000112	25	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400038	{500001:12000,500002:80,570005:12}	300841	300851	300861	3	3-15	1
101039	39	1	3000115-3000116-3000117	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400039	{500001:12000,500002:80,570005:12}	300841	300851	300861	3	3-15	1
101040	40	1	3000118	25	2	1	12	2_DEMboss		180	15000	0.6	270			300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400040	{500001:12000,500002:80,570005:12}	300841	300851	300861			1
101041	41	1	3000121-3000122-3000123	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400041	{500001:15000,500002:100,570005:15}	300841	300851	300861	3	3-15	1
101042	42	1	3000124-3000125-3000124	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400042	{500001:15000,500002:100,570005:15}	300841	300851	300861	3	3-15	1
101043	43	1	3000127	30	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400043	{500001:15000,500002:100,570005:15}	300841	300851	300861	3	3-15	1
101044	44	1	3000130	30	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400044	{500001:15000,500002:100,570005:15}	300841	300851	300861	3	3-15	1
101045	45	1	3000133-3000134-3000135	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400045	{500001:15000,500002:100,570005:15}	300841	300851	300861	3	3-15	1
101046	46	1	3000136-3000137-3000138	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400046	{500001:15000,500002:100,570005:15}	300841	300851	300861	3	3-15	1
101047	47	1	3000139	30	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400047	{500001:15000,500002:100,570005:15}	300841	300851	300861	3	3-15	1
101048	48	1	3000142	30	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400048	{500001:15000,500002:100,570005:15}	300841	300851	300861	3	3-15	1
101049	49	1	3000145-3000146-3000147	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400049	{500001:15000,500002:100,570005:15}	300841	300851	300861	3	3-15	1
101050	50	1	3000148	30	2	1	12	2_DEMboss		180	15000	0.6	270			300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400050	{500001:15000,500002:100,570005:15}	300841	300851	300861			1
101051	51	1	3000151-3000152-3000153	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400051	{500001:18000,500002:120,570005:18}	300841	300851	300861	3	3-15	1
101052	52	1	3000154-3000155-3000156	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400052	{500001:18000,500002:120,570005:18}	300841	300851	300861	3	3-15	1
101053	53	1	3000157	35	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400053	{500001:18000,500002:120,570005:18}	300841	300851	300861	3	3-15	1
101054	54	1	3000160	35	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400054	{500001:18000,500002:120,570005:18}	300841	300851	300861	3	3-15	1
101055	55	1	3000163-3000164-3000165	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400055	{500001:18000,500002:120,570005:18}	300841	300851	300861	3	3-15	1
101056	56	1	3000166-3000167-3000168	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400056	{500001:18000,500002:120,570005:18}	300841	300851	300861	3	3-15	1
101057	57	1	3000169	35	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400057	{500001:18000,500002:120,570005:18}	300841	300851	300861	3	3-15	1
101058	58	1	3000172	35	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400058	{500001:18000,500002:120,570005:18}	300841	300851	300861	3	3-15	1
101059	59	1	3000175-3000176-3000177	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400059	{500001:18000,500002:120,570005:18}	300841	300851	300861	3	3-15	1
101060	60	1	3000178	35	2	1	12	2_DEMboss		180	15000	0.6	270			300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400060	{500001:18000,500002:120,570005:18}	300841	300851	300861			1
101061	61	1	3000181-3000182-3000183	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400061	{500001:21000,500002:140,570005:21}	300841	300851	300861	4	3-15	1
101062	62	1	3000184-3000185-3000186	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400062	{500001:21000,500002:140,570005:21}	300841	300851	300861	4	3-15	1
101063	63	1	3000187	40	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400063	{500001:21000,500002:140,570005:21}	300841	300851	300861	4	3-15	1
101064	64	1	3000190	40	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400064	{500001:21000,500002:140,570005:21}	300841	300851	300861	4	3-15	1
101065	65	1	3000193-3000194-3000195	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400065	{500001:21000,500002:140,570005:21}	300841	300851	300861	4	3-15	1
101066	66	1	3000196-3000197-3000198	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400066	{500001:21000,500002:140,570005:21}	300841	300851	300861	4	3-15	1
101067	67	1	3000199	40	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400067	{500001:21000,500002:140,570005:21}	300841	300851	300861	4	3-15	1
101068	68	1	3000202	40	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400068	{500001:21000,500002:140,570005:21}	300841	300851	300861	4	3-15	1
101069	69	1	3000205-3000206-3000207	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400069	{500001:21000,500002:140,570005:21}	300841	300851	300861	4	3-15	1
101070	70	1	3000208	40	2	1	12	2_DEMboss		180	15000	0.6	270			300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400070	{500001:21000,500002:140,570005:21}	300841	300851	300861			1
101071	71	1	3000211-3000212-3000213	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400071	{500001:24000,500002:160,570005:24}	300841	300851	300861	4	3-15	1
101072	72	1	3000214-3000215-3000216	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400072	{500001:24000,500002:160,570005:24}	300841	300851	300861	4	3-15	1
101073	73	1	3000217	50	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400073	{500001:24000,500002:160,570005:24}	300841	300851	300861	4	3-15	1
101074	74	1	3000220	50	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400074	{500001:24000,500002:160,570005:24}	300841	300851	300861	4	3-15	1
101075	75	1	3000223-3000224-3000225	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400075	{500001:24000,500002:160,570005:24}	300841	300851	300861	4	3-15	1
101076	76	1	3000226-3000227-3000228	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400076	{500001:24000,500002:160,570005:24}	300841	300851	300861	4	3-15	1
101077	77	1	3000229	50	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400077	{500001:24000,500002:160,570005:24}	300841	300851	300861	4	3-15	1
101078	78	1	3000232	50	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400078	{500001:24000,500002:160,570005:24}	300841	300851	300861	4	3-15	1
101079	79	1	3000235-3000236-3000237	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400079	{500001:24000,500002:160,570005:24}	300841	300851	300861	4	3-15	1
101080	80	1	3000238	50	2	1	12	2_DEMboss		180	15000	0.6	270			300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400080	{500001:24000,500002:160,570005:24}	300841	300851	300861			1
101081	81	1	3000241-3000242-3000243	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400081	{500001:27000,500002:180,570005:27}	300841	300851	300861	4	3-15	1
101082	82	1	3000244-3000245-3000246	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400082	{500001:27000,500002:180,570005:27}	300841	300851	300861	4	3-15	1
101083	83	1	3000247	60	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400083	{500001:27000,500002:180,570005:27}	300841	300851	300861	4	3-15	1
101084	84	1	3000250	60	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400084	{500001:27000,500002:180,570005:27}	300841	300851	300861	4	3-15	1
101085	85	1	3000253-3000254-3000255	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400085	{500001:27000,500002:180,570005:27}	300841	300851	300861	4	3-15	1
101086	86	1	3000256-3000257-3000258	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400086	{500001:27000,500002:180,570005:27}	300841	300851	300861	4	3-15	1
101087	87	1	3000259	60	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400087	{500001:27000,500002:180,570005:27}	300841	300851	300861	4	3-15	1
101088	88	1	3000262	60	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400088	{500001:27000,500002:180,570005:27}	300841	300851	300861	4	3-15	1
101089	89	1	3000265-3000266-3000267	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400089	{500001:27000,500002:180,570005:27}	300841	300851	300861	4	3-15	1
101090	90	1	3000268	60	2	1	12	2_DEMboss		180	15000	0.6	270			300904	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400090	{500001:27000,500002:180,570005:27}	300841	300851	300861			1
101091	91	1	3000271-3000272-3000273	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400091	{500001:30000,500002:200,570005:30}	300841	300851	300861	5	3-15	1
101092	92	1	3000274-3000275-3000276	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8104	1	300904	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400092	{500001:30000,500002:200,570005:30}	300841	300851	300861	5	3-15	1
