ID	策划看	进阶消耗	基础属性	成长属性	解锁技能
102104	AST1折纸	{510304:30}	{1:31449,2:7862,3:4841,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3144,2:549,3:470,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
102105	AST1折纸	{510304:60}	{1:33868,2:8466,3:5213,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3386,2:591,3:506,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
102106	AST1折纸	{510304:100}	{1:36287,2:9071,3:5585,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3628,2:633,3:542,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
102107	AST1折纸	{510304:150}	{1:38707,2:9676,3:5958,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3870,2:676,3:579,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
103101	四糸乃		{1:26040,2:5586,3:4032,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:8000}	{1:2604,2:455,3:390,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
103102	四糸乃	{510306:5}	{1:28644,2:6144,3:4435,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:8000}	{1:2864,2:500,3:429,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
103103	四糸乃	{510306:15}	{1:31248,2:6703,3:4838,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:8000}	{1:3124,2:546,3:468,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
103104	四糸乃	{510306:30}	{1:33852,2:7261,3:5241,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:8000}	{1:3385,2:591,3:507,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
103105	四糸乃	{510306:60}	{1:36456,2:7820,3:5644,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:8000}	{1:3645,2:637,3:546,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
103106	四糸乃	{510306:100}	{1:39060,2:8378,3:6047,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:8000}	{1:3905,2:682,3:585,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
103107	四糸乃	{510306:150}	{1:41664,2:8937,3:6451,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:8000}	{1:4166,2:728,3:624,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
104101	狂三		{1:29736,2:7434,3:4340,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:2973,2:520,3:446,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
104102	狂三	{510307:5}	{1:32709,2:8177,3:4774,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3270,2:572,3:490,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
104103	狂三	{510307:15}	{1:35683,2:8920,3:5208,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3567,2:624,3:535,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
104104	狂三	{510307:30}	{1:38656,2:9664,3:5642,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3864,2:676,3:579,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
104105	狂三	{510307:60}	{1:41630,2:10407,3:6076,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:4161,2:728,3:624,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
104106	狂三	{510307:100}	{1:44603,2:11150,3:6510,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:4458,2:780,3:668,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
104107	狂三	{510307:150}	{1:47577,2:11894,3:6944,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:4756,2:832,3:713,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
105101	琴里		{1:29736,2:6972,3:4648,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:2973,2:520,3:446,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
105102	琴里	{510308:5}	{1:32709,2:7669,3:5112,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3270,2:572,3:490,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
105103	琴里	{510308:15}	{1:35683,2:8366,3:5577,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3567,2:624,3:535,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
105104	琴里	{510308:30}	{1:38656,2:9063,3:6042,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3864,2:676,3:579,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
105105	琴里	{510308:60}	{1:41630,2:9760,3:6506,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:4161,2:728,3:624,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
105106	琴里	{510308:100}	{1:44603,2:10457,3:6971,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:4458,2:780,3:668,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
105107	琴里	{510308:150}	{1:47577,2:11155,3:7436,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:4756,2:832,3:713,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
106101	DEM真那		{1:24192,2:6972,3:3724,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:2419,2:423,3:362,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
106102	DEM真那	{510309:5}	{1:26611,2:7669,3:4096,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:2660,2:465,3:398,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
106103	DEM真那	{510309:15}	{1:29030,2:8366,3:4468,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:2902,2:507,3:434,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
106104	DEM真那	{510309:30}	{1:31449,2:9063,3:4841,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3144,2:549,3:470,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
106105	DEM真那	{510309:60}	{1:33868,2:9760,3:5213,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3386,2:591,3:506,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
106106	DEM真那	{510309:100}	{1:36287,2:10457,3:5585,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3628,2:633,3:542,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
106107	DEM真那	{510309:150}	{1:38707,2:11155,3:5958,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3870,2:676,3:579,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
107101	耶俱矢		{1:27888,2:7434,3:4032,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:2788,2:488,3:418,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
107102	耶俱矢	{510311:5}	{1:30676,2:8177,3:4435,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3066,2:536,3:459,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
107103	耶俱矢	{510311:15}	{1:33465,2:8920,3:4838,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3345,2:585,3:501,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
107104	耶俱矢	{510311:30}	{1:36254,2:9664,3:5241,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3624,2:634,3:543,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
107105	耶俱矢	{510311:60}	{1:39042,2:10407,3:5644,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3902,2:682,3:584,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
107106	耶俱矢	{510311:100}	{1:41831,2:11150,3:6047,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:4181,2:731,3:626,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
107107	耶俱矢	{510311:150}	{1:44620,2:11894,3:6451,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:4460,2:780,3:668,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
108101	夕弦		{1:29736,2:6972,3:4032,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:2973,2:520,3:446,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
108102	夕弦	{510312:5}	{1:32709,2:7669,3:4435,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3270,2:572,3:490,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
108103	夕弦	{510312:15}	{1:35683,2:8366,3:4838,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3567,2:624,3:535,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
108104	夕弦	{510312:30}	{1:38656,2:9063,3:5241,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:3864,2:676,3:579,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
108105	夕弦	{510312:60}	{1:41630,2:9760,3:5644,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:4161,2:728,3:624,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
108106	夕弦	{510312:100}	{1:44603,2:10457,3:6047,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:4458,2:780,3:668,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
108107	夕弦	{510312:150}	{1:47577,2:11155,3:6451,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:10000,14:10000}	{1:4756,2:832,3:713,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
109101	爱莲		{1:26040,2:6972,3:5264,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:2604,2:455,3:390,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
109102	爱莲	{510313:5}	{1:28644,2:7669,3:5790,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:2864,2:500,3:429,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
109103	爱莲	{510313:15}	{1:31248,2:8366,3:6316,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3124,2:546,3:468,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
109104	爱莲	{510313:30}	{1:33852,2:9063,3:6843,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3385,2:591,3:507,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
109105	爱莲	{510313:60}	{1:36456,2:9760,3:7369,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3645,2:637,3:546,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
109106	爱莲	{510313:100}	{1:39060,2:10457,3:7895,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:3905,2:682,3:585,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
109107	爱莲	{510313:150}	{1:41664,2:11155,3:8422,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:10000}	{1:4166,2:728,3:624,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
110101	美九		{1:27888,2:6510,3:4648,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:800}	{1:2973,2:520,3:446,505:10,10:1,506:10,508:10,507:10,8:0,13:100}	
110102	美九	{510314:5}	{1:30676,2:7161,3:5112,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:800}	{1:3270,2:572,3:490,505:15,10:1,506:15,508:15,507:15,8:0,13:100}	
110103	美九	{510314:15}	{1:33465,2:7812,3:5577,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:800}	{1:3567,2:624,3:535,505:20,10:1,506:20,508:20,507:20,8:0,13:100}	
110104	美九	{510314:30}	{1:36254,2:8463,3:6042,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:800}	{1:3864,2:676,3:579,505:25,10:1,506:25,508:25,507:25,8:0,13:100}	
110105	美九	{510314:60}	{1:39042,2:9114,3:6506,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:800}	{1:4161,2:728,3:624,505:30,10:1,506:30,508:30,507:30,8:0,13:100}	
110106	美九	{510314:100}	{1:41831,2:9765,3:6971,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:800}	{1:4458,2:780,3:668,505:35,10:1,506:35,508:35,507:35,8:0,13:100}	
110107	美九	{510314:150}	{1:44620,2:10416,3:7436,505:9500,507:500,6:10000,11:35000,8:10000,10:9,10:9,56:0,14:800}	{1:4756,2:832,3:713,505:40,10:1,506:40,508:40,507:40,8:0,13:100}	
