id	关卡名策划看	通关条件类型(1歼灭，2生存，3目标击杀-具体怪物，4目标击杀-怪物类型，5目标击杀-怪物数量)	通关条件参数(歼灭-填1占位，生存-限制时间x秒内存活，目标击杀-怪物ID及数量x，目标击杀-怪物敌人类型及数量x，目标击杀-怪物总量x)	开场动画	出生动作前动画	出生点	普通刷怪区域1空气墙组	刷新怪物	区域2长度	刷新怪物	区域3长度	刷新怪物	区域4长度	刷新怪物	无限刷怪区域长度	刷新怪物	定时刷怪区域长度	刷新怪物	最大数量限制	极限刷怪区域长度	补充刷怪	怪物刷新时间	结算前动画脚本
2103	第2章困难关卡3	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2104	第2章困难关卡4	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2105	第2章困难关卡5	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2106	第2章困难关卡6	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2107	第2章困难关卡7	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2108	第2章困难关卡8	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2109	第2章困难关卡9	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2110	第2章困难关卡10	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2111	第2章困难关卡11	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2112	第2章困难关卡12	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2113	第2章困难关卡13	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2114	第2章困难关卡14	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
2115	第2章困难关卡15	1				4	0-1386	[[1,0,0][2,0,0]]	1000-2386	[[3,0,0][4,0,0]]													
																							
2201	第2章噩梦关卡1（歼灭）	1				4	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
2202	第2章噩梦关卡2（歼灭）	1				4	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200]]													
2203	第2章噩梦关卡3（限时）	5	[[16]]			5	650-2150	[[1,0,200][2,0,200][3,0,200][4,0,200]]															
2204	第2章噩梦关卡4（歼灭）	1				3	300-1800	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200]]													
2205	第2章噩梦关卡5（限时）	5	[[16]]			6	650-2150	[[1,0,200][2,0,200][3,0,200][4,0,200]]															
2206	第2章噩梦关卡6（歼灭）	1				17	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200]]													
2207	第2章噩梦关卡7（生存）	2	[[60000]]			5											650-2150	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0]]	5				
2208	第2章噩梦关卡8（歼灭）	1				3	300-1800	[[1,0,200]]	1000-2500	[[2,0,200][3,0,200]]													
2209	第2章噩梦关卡9（歼灭）	1				6	650-2150	[[1,0,200][2,0,200][3,0,200]]															
																							
101001	无尽模式1	1				4	0-1500	[[1,0,0]]	1000-2500	[[2,0,0]]													
																							
																							
3001	3-2  (歼灭模式-普通)   	1		30001		3	300-1800	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200]]	1800-3300	[[4,0,0]]											
3002	f3-1 (生存模式-普通) 	2	[[60000]]			4											800-2160	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0][6,2000,0]]	5				
3003	f3-2 (限时击杀-普通)	5	[[15]]			12	1000-2500	[[1,0,200][2,0,200][3,0,200]]															
3004	3-5  (歼灭模式-普通) 	1				3	680-2220	[[1,0,200][2,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
3005	3-8  (防守波次-普通) 	1				3	600-2100	[[1,0,200][2,0,200][3,0,200][4,0,200]]															
3006	3-11 (歼灭模式-普通)	1		30006		3	600-2100	[[1,0,200]]	1300-2800	[[2,0,200]]	2100-3600	[[3,0,200][4,0,300]]											30007
3007	3-12 (歼灭模式-普通)	1		30008		11	1400-2900	[[1,0,200][2,0,200]]	2100-3600	[[3,0,200][4,0,200]]													30009
																							
3101	3-1 (歼灭模式-困难)   	1				3	300-1800	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
3102	3-2 (防守波次-困难)	1				4	800-2160	[[1,0,200][2,0,200][3,0,200][4,0,200][5,0,200]]															
3103	3-3 (歼灭模式-困难)   	1				3	680-2220	[[1,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
3104	3-4 (限时击杀-困难) 	5	[[16]]			3	680-2220	[[1,0,200][2,0,200][3,0,200][4,0,200]]															
3105	3-5 (歼灭模式-困难)    	1				3	600-2100	[[1,0,200]]	1300-2800	[[3,0,200][4,0,200]]													
3106	3-6 (歼灭模式-困难)   	1				3	300-1800	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
3107	3-7 (生存模式-困难) 	2	[[60000]]			12											1000-2500	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0]]	5				
3108	3-8 (歼灭模式-困难)   	1				3	300-1800	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
3109	3-9 (防守波次-困难)	1				4	800-2160	[[1,0,200][2,0,200][3,0,200][4,0,200][5,0,200]]															
3110	3-10 (歼灭模式-困难)   	1				3	680-2220	[[1,0,200][2,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
3111	3-11 (歼灭模式-困难)   	1				3	680-2220	[[1,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
3112	3-12 (限时击杀-困难) 	5	[[16]]			3	680-2220	[[1,0,200][2,0,200][3,0,200][4,0,200]]															
3113	3-13 (歼灭模式-困难)   	1				3	300-1800	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
3114	3-14 (生存模式-困难) 	2	[[60000]]			12											1000-2500	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0]]	5				
3115	3-15 (歼灭模式-困难)   	1				3	680-2220	[[1,0,200][2,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
																							
																							
3201	3-1 (歼灭模式-噩梦)   	1				3	300-1800	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
3202	3-2 (歼灭模式-噩梦)   	1				3	300-1800	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
3203	3-3 (防守波次-噩梦)	1				4	800-2160	[[1,0,200][2,0,200][3,0,200][4,0,200][5,0,200]]															
3204	3-4 (歼灭模式-噩梦)   	1				3	680-2220	[[1,0,200]]	1380-2900	[[2,0,200][3,0,200]]													
3205	3-5 (限时击杀-噩梦) 	5	[[15]]			3	680-2220	[[1,0,200][2,0,200][3,0,200]]															
3206	3-6 (歼灭模式-噩梦)   	1				3	680-2220	[[1,0,200][2,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
3207	3-7 (生存模式-噩梦) 	2	[[60000]]			12											1000-2500	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0]]	5				
3208	3-8 (歼灭模式-噩梦)    	1				3	600-2100	[[1,0,200]]	1300-2800	[[2,0,200][3,0,200]]													
3209	3-9 (BOSS模式-噩梦)	1				11	1400-2900	[[1,0,200][2,0,200][3,0,200]]															
																							
4001	4-1 (歼灭模式-普通)	1				3	 640-2200	[[1,0,0][2,0,200]]	1380-2900	[[3,0,200][4,0,0]]													
4002	4-4 (限时模式-普通)	5	[[15]]			11	700-2160	[[1,0,200][2,0,200][3,0,200]]															
4003	4-5 (波次模式-普通)	1				12	150-1600	[[1,0,200][2,0,200][3,0,200][4,0,200][5,0,200]]															
4004	4-6 (歼灭模式-普通)	1				4	125-1500	[[1,0,200][2,0,200][3,0,200]]	600-2150	[[4,0,200][5,0,200]]													
4005	4-7 (限时模式-普通)	5	[[15]]			10	680-2150	[[1,0,200][2,0,200][3,0,200]]															
4006	4-8 (歼灭模式-普通)	1				17	150-1650	[[1,0,200][2,0,200][3,0,200]]	1050-2550	[[4,0,200]]													
4007	F4-1(生存模式-普通)	2	[[60000]]			12											1000-2500	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0][6,2000,0]]	5				
4008	F4-2(歼灭模式-普通)	1				17	150-1650	[[1,0,200][2,0,200]]	1050-2550	[[3,0,200][4,0,200][5,0,200]]													
4009	4-10(歼灭模式-普通)	1				3	100-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
																							
																							
4101	4-1 (歼灭模式-困难)   	1				3	150-1650	[[1,0,200]]	1050-2550	[[2,0,200][3,0,200][4,0,200]]													
4102	4-2 (限时击杀-困难) 	5	[[15]]			17	150-1650	[[1,0,200][2,0,200][3,0,200]]															
4103	4-3 (歼灭模式-困难)   	1				3	100-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
4104	4-4 (生存模式-困难) 	2	[[60000]]			3											150-1650	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0]]	5				
4105	4-5 (歼灭模式-困难)   	1				3	 640-2200	[[1,0,200][2,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
4106	4-6 (歼灭模式-困难)   	1				3	 640-2200	[[1,0,200][2,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
4107	4-7 (限时击杀-困难) 	5	[[15]]			11	700-2160	[[1,0,200][2,0,200][3,0,200]]															
4108	4-8 (歼灭模式-困难)   	1				3	150-1650	[[1,0,200]]	1050-2550	[[2,0,200][3,0,200][4,0,200]]													
4109	4-9 (限时击杀-困难) 	5	[[15]]			17	150-1650	[[1,0,200][2,0,200][3,0,200]]															
4110	4-10 (歼灭模式-困难)   	1				3	100-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
4111	4-11 (歼灭模式-困难)   	1				3	 640-2200	[[1,0,200][2,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
4112	4-12 (波次模式-困难)   	1				12	150-1600	[[1,0,200][2,0,200][3,0,200][4,0,200][5,0,200]]															
4113	4-13 (歼灭模式-困难)   	1				3	100-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
4114	4-14 (生存模式-困难) 	2	[[60000]]			3											150-1650	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0]]	5				
4115	4-15 (歼灭模式-困难)   	1				3	 640-2200	[[1,0,200][2,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
																							
4201	4-1 (歼灭模式-噩梦)   	1				3	 640-2200	[[1,0,200][2,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
4202	4-2 (歼灭模式-噩梦)   	1				3	 640-2200	[[1,0,200][2,0,200]]	1380-2900	[[3,0,200][4,0,200]]													
4203	4-3 (限时击杀-噩梦) 	5	[[15]]			11	700-2160	[[1,0,200][2,0,200][3,0,200]]															
4204	4-4 (歼灭模式-噩梦)   	1				4	150-1650	[[1,0,200][2,0,200]]	1050-2550	[[3,0,200][4,0,200]]													
4205	4-5 (波次模式-噩梦)   	1				10	680-2150	[[1,0,200][2,0,200][3,0,200][4,0,200]]															
4206	4-6 (歼灭模式-噩梦)   	1				17	150-1650	[[1,0,200][2,0,200]]	1050-2550	[[3,0,200][4,0,200]]													
4207	4-7 (歼灭模式-噩梦)   	1				3	300-1800	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
4208	4-8 (限时击杀-噩梦) 	5	[[15]]			17	150-1650	[[1,0,200][2,0,200][3,0,200]]															
4209	4-9 (歼灭模式-噩梦)   	1				3	100-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
4210	4-10 (生存模式-噩梦) 	2	[[60000]]			10											1000-2500	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0]]	5				
4211	4-11 (波次模式-噩梦)   	1				12	150-1600	[[1,0,200][2,0,200][3,0,200][4,0,200][5,0,200]]															
4212	4-12 (BOSS模式-噩梦)   	1				11	1400-2900	[[1,0,200][2,0,200][3,0,200]]															
																							
5001	5-1 (歼灭模式-普通) 	1				11	100-1600	[[1,0,200][2,0,200][3,0,200]]	1100-2600	[[4,0,200][5,0,200]]													
5002	5-5 (波次挑战-普通)	1		50002		8	150-1650	[[1,0,200][2,0,200]]	1100-2600	[[3,0,200][4,0,200][5,0,200]]													50003
5003	5-6 (歼灭模式-普通)	1				8	150-1650	[[1,0,200][2,0,200][3,0,200]]	1100-2600	[[4,0,200][5,0,200]]													
5004	5-7 (生存模式-普通)	2	[[60000]]			15											1100-2600	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0][6,2000,0]]	6				
5005	5-9 (歼灭模式-普通)	1				8	150-1650	[[1,0,200][2,0,200][3,0,200]]	1100-2600	[[4,0,200][5,0,200]]													
5006	5-10(歼灭模式-普通)	1				8	150-1650	[[1,0,200][2,0,200][3,0,200]]	1100-2600	[[4,0,200][5,0,200]]													
5007	5-11(限时模式-普通)	5	[[15]]			15	900-2400	[[1,0,200][2,0,200][3,0,200]]															
5008	5-13(歼灭模式-普通)	1				4	150-1650	[[1,0,200][2,0,200]]	1100-2600	[[3,0,200][4,0,200][5,0,200]]													
5009	5-15(生存模式-普通)	2	[[60000]]			23											900-2400	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0][6,2000,0]]	6				
5010	5-17(歼灭模式-普通)	1				24	150-1650	[[1,0,200][2,0,200]]	1100-2600	[[3,0,200][4,0,200]]													
5011	5-18(歼灭模式-普通)	1				4	150-1650	[[1,0,200][2,0,200]]	1100-2600	[[3,0,200][4,0,200]]													
5012	5-19(歼灭模式-普通)	1		50006		11	900-2400	[[1,0,200][2,0,200][3,0,200][4,0,200]]															50007
																							
																							
5101	5-1 (歼灭模式-困难)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5102	5-2 (波次模式-困难)   	1				11	900-2400	[[1,0,200][2,0,200][3,0,200][4,0,200][5,0,200]]															
5103	5-3 (歼灭模式-困难)   	1				4	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5104	5-4 (生存模式-困难) 	2	[[60000]]			15											900-2400	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0]]	5				
5105	5-5 (歼灭模式-困难)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5106	5-6 (歼灭模式-困难)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5107	5-7 (限时击杀-困难) 	5	[[15]]			11	100-1600	[[1,0,200][2,0,200][3,0,200]]															
5108	5-8 (歼灭模式-困难)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
5109	5-9 (限时击杀-困难) 	5	[[15]]			23	900-2400	[[1,0,200][2,0,200][3,0,200]]															
5110	5-10 (歼灭模式-困难)   	1				24	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
5111	5-11 (歼灭模式-困难)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5112	5-12 (限时击杀-困难) 	5	[[15]]			11	100-1600	[[1,0,200][2,0,200][3,0,200]]															
5113	5-13 (歼灭模式-困难)   	1				4	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5114	5-14 (生存模式-困难) 	2	[[60000]]			15											900-2400	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0]]	5				
5115	5-15 (歼灭模式-困难)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5116	5-16 (歼灭模式-困难)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5117	5-17 (波次模式-困难)   	1				11	900-2400	[[1,0,200][2,0,200][3,0,200][4,0,200][5,0,200]]															
5118	5-18 (歼灭模式-困难)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
5119	5-19 (限时击杀-困难) 	5	[[15]]			23	900-2400	[[1,0,200][2,0,200][3,0,200]]															
5120	5-20 (歼灭模式-困难)   	1				24	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
																							
5201	5-1 (限时击杀-噩梦) 	5	[[15]]			11	100-1600	[[1,0,200][2,0,200][3,0,200]]															
5202	5-2 (歼灭模式-噩梦)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5203	5-3 (歼灭模式-噩梦)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
5204	5-4 (歼灭模式-噩梦)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5205	5-5 (波次模式-噩梦)   	1				11	900-2400	[[1,0,200][2,0,200][3,0,200][4,0,200][5,0,200]]															
5206	5-6 (歼灭模式-噩梦)   	1				4	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5207	5-7 (生存模式-噩梦) 	2	[[60000]]			15											900-2400	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0]]	5				
5208	5-8 (歼灭模式-噩梦)   	1				8	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5209	5-9 (波次模式-噩梦)   	1				4	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200]]													
5210	5-10 (限时击杀-噩梦) 	5	[[15]]			23	900-2400	[[1,0,200][2,0,200][3,0,200]]															
5211	5-11 (歼灭模式-噩梦)   	1				24	150-1600	[[1,0,200][2,0,200]]	1000-2500	[[3,0,200][4,0,200][5,0,200]]													
5212	5-12 (BOSS模式-噩梦)   	1				4	150-1650	[[1,0,200][2,0,200][3,0,200]]															
																							
																							
																							
																							
																							
																							
																							
																							
6001	无尽模式刷怪1	1				3	100-1600	[[1,0,0]]	1000-2500	[[2,0,0][3,0,350]]													
6002	无尽模式刷怪2	1				3	100-1600	[[1,0,0]]															
																							
7001	日常-祈愿	2	[[120000]]			4											640-2140	[[1,2000,0][2,2000,0][3,2000,0][4,2000,0][5,2000,0][6,2000,0][7,2000,0]]	1				
7002	日常-质点	2	[[60000]]			11											1000-2500	[[1,2000,0][2,2000,0][3,2000,0]]	5				
