序列ID	看板娘ID	好感度等级	默认待机动作	动作时长	触摸部位	触发条件	基础语音	基础语音动作	动作时长	台词	触发条件	特别语音	特别语音动作	动作时长	台词
74	210301	5	Idle	6	body	1;1	YOSHINO_14-1	Id_favor5_1	6	10002	0	YOSHINO_14-1	0	0	0
75	210301	5	Idle	6	tui	1;1	YOSHINO_10	Id_favor4_1	6	10004	0	YOSHINO_10	Id_favor3_4	6	10006
76	210303	1	Idle	6	head	1;1	YOSHINO_07-1	Id_favor1_1	6	10001	0	YOSHINO_07-1	0	0	0
77	210303	1	Idle	6	body	1;1	YOSHINO_06	Id_favor1_2	6	10002	0	YOSHINO_06	Id_favor1_4	6	10006
78	210303	1	Idle	6	tui	1;1	YOSHINO_05-1	Id_favor1_3	6	10004	0	YOSHINO_05-1	0	0	0
79	210303	2	Idle	6	head	1;1	YOSHINO_07-1	Id_favor1_1	6	10001	0	YOSHINO_07-1	Id_favor2_4	6	10006
80	210303	2	Idle	6	body	1;1	YOSHINO_11	Id_favor2_1	6	10002	0	YOSHINO_11	0	0	0
81	210303	2	Idle	6	tui	1;1	YOSHINO_05-1	Id_favor1_3	6	10004	0	YOSHINO_05-1	0	0	0
82	210303	3	Idle	6	head	1;1	YOSHINO_09	Id_favor3_1	6	10001	0	YOSHINO_09	0	0	0
83	210303	3	Idle	6	body	1;1	YOSHINO_11	Id_favor2_1	6	10002	0	YOSHINO_11	0	0	0
84	210303	3	Idle	6	tui	1;1	YOSHINO_05-1	Id_favor1_3	6	10004	0	YOSHINO_05-1	Id_favor3_4	6	10006
85	210303	4	Idle	6	head	1;1	YOSHINO_09	Id_favor3_1	6	10001	0	YOSHINO_09	0	0	0
86	210303	4	Idle	6	body	1;1	YOSHINO_11	Id_favor2_1	6	10002	0	YOSHINO_11	0	0	0
87	210303	4	Idle	6	tui	1;1	YOSHINO_10	Id_favor4_1	6	10004	0	YOSHINO_10	Id_favor3_4	6	10006
88	210303	5	Idle	6	head	1;1	YOSHINO_09	Id_favor3_1	6	10001	0	YOSHINO_09	0	0	0
89	210303	5	Idle	6	body	1;1	YOSHINO_14-1	Id_favor5_1	6	10002	0	YOSHINO_14-1	0	0	0
90	210303	5	Idle	6	tui	1;1	YOSHINO_10	Id_favor4_1	6	10004	0	YOSHINO_10	Id_favor3_4	6	10006
91	210401	1	Idle	6	head	1;1	KURUMI_01	Id_favor1_1	6	10001	0	KURUMI_06	Id_favor1_4	6	10006
92	210401	1	Idle	6	body	1;1	KURUMI_02	Id_favor1_2	6	10002	0	0	0	0	0
93	210401	1	Idle	6	tui	1;1	KURUMI_03	Id_favor1_3	6	10004	0	0	0	0	0
94	210401	2	Idle	6	head	1;1	KURUMI_04	Id_favor2_1	6	10001	0	0	0	0	0
95	210401	2	Idle	6	body	1;1	KURUMI_08	Id_favor1_2	6	10002	0	KURUMI_07	Id_favor2_4	6	10006
96	210401	2	Idle	6	tui	1;1	KURUMI_05	Id_favor1_3	6	10004	0	0	0	0	0
97	210401	3	Idle	6	head	1;1	KURUMI_09	Id_favor2_1	6	10001	0	0	0	0	0
98	210401	3	Idle	6	body	1;1	KURUMI_10	Id_favor3_1	6	10002	0	0	0	0	0
99	210401	3	Idle	6	tui	1;1	KURUMI_11	Id_favor1_3	6	10004	0	KURUMI_12	Id_favor3_4	6	10006
100	210401	4	Idle	6	head	1;1	KURUMI_09	Id_favor2_1	6	10001	0	0	0	0	0
101	210401	4	Idle	6	body	1;1	KURUMI_10	Id_favor3_1	6	10002	0	0	0	0	0
102	210401	4	Idle	6	tui	1;1	KURUMI_11	Id_favor4_1	6	10004	0	KURUMI_12	Id_favor3_4	6	10006
103	210401	5	Idle	6	head	1;1	KURUMI_09	Id_favor5_1	6	10001	0	0	0	0	0
104	210401	5	Idle	6	body	1;1	KURUMI_10	Id_favor3_2	6	10002	0	0	0	0	0
105	210401	5	Idle	6	tui	1;1	KURUMI_11	Id_favor4_3	6	10004	0	KURUMI_12	Id_favor3_4	6	10006
106	10404	1	id_favor1	6	head	1;1	KURUMI_01	id_favor1_1	6	10001	0	KURUMI_06	Id_favor1_4	6	10006
107	10404	1	id_favor1	6	body	1;1	KURUMI_02	id_favor1_2	6	10002	0	0	0	0	0
108	10404	1	id_favor1	6	tui	1;1	KURUMI_03	id_favor1_3	6	10004	0	0	0	0	0
109	10404	2	id_favor2	6	head	1;1	KURUMI_04	id_favor2_1	6	10001	0	0	0	0	0
110	10404	2	id_favor2	6	body	1;1	KURUMI_08	id_favor2_2	6	10002	0	KURUMI_07	Id_favor2_4	6	10006
111	10404	2	id_favor2	6	tui	1;1	KURUMI_05	id_favor2_3	6	10004	0	0	0	0	0
112	10404	3	id_favor3	6	head	1;1	KURUMI_09	id_favor3_1	6	10001	0	0	0	0	0
113	10404	3	id_favor3	6	body	1;1	KURUMI_10	id_favor3_2	6	10002	0	0	0	0	0
114	10404	3	id_favor3	6	tui	1;1	KURUMI_11	id_favor3_3	6	10004	0	KURUMI_12	Id_favor3_4	6	10006
115	10404	4	id_favor3	6	head	1;1	KURUMI_09	id_favor3_1	6	10001	0	0	0	0	0
116	10404	4	id_favor3	6	body	1;1	KURUMI_10	id_favor3_2	6	10002	0	0	0	0	0
117	10404	4	id_favor3	6	tui	1;1	KURUMI_11	id_favor3_3	6	10004	0	KURUMI_12	Id_favor3_4	6	10006
118	10404	5	id_favor3	6	head	1;1	KURUMI_09	id_favor3_1	6	10001	0	0	0	0	0
119	10404	5	id_favor3	6	body	1;1	KURUMI_10	id_favor3_2	6	10002	0	0	0	0	0
120	10404	5	id_favor3	6	tui	1;1	KURUMI_11	id_favor3_3	6	10004	0	KURUMI_12	Id_favor3_4	6	10006
121	210501	1	Idle	6	head	1;1	KOTORI_02	Id_favor1_1	6	10001	0	0	0	0	0
122	210501	1	Idle	6	body	1;1	KOTORI_03	Id_favor1_2	6	10002	0	KOTORI_04	Id_favor1_4	6	10006
123	210501	1	Idle	6	tui	1;1	KOTORI_01_A	Id_favor1_3	6	10004	0	0	0	0	0
124	210501	2	Idle	6	head	1;1	KOTORI_06	Id_favor2_1	6	10001	0	KOTORI_13	Id_favor2_4	6	10006
125	210501	2	Idle	6	body	1;1	KOTORI_11	Id_favor1_2	6	10002	0	0	0	0	0
126	210501	2	Idle	6	tui	1;1	KOTORI_07	Id_favor1_3	6	10004	0	0	0	0	0
127	210501	3	Idle	6	head	1;1	KOTORI_09	Id_favor2_1	6	10001	0	0	0	0	0
128	210501	3	Idle	6	body	1;1	KOTORI_12	Id_favor3_1	6	10002	0	KOTORI_08	Id_favor3_4	6	10006
129	210501	3	Idle	6	tui	1;1	KOTORI_10	Id_favor1_3	6	10004	0	0	0	0	0
130	210501	4	Idle	6	head	1;1	KOTORI_09	Id_favor2_1	6	10001	0	0	0	0	0
131	210501	4	Idle	6	body	1;1	KOTORI_12	Id_favor3_1	6	10002	0	KOTORI_08	Id_favor3_4	6	10006
132	210501	4	Idle	6	tui	1;1	KOTORI_10	Id_favor4_1	6	10004	0	0	0	0	0
133	210501	5	Idle	6	head	1;1	KOTORI_09	Id_favor5_1	6	10001	0	0	0	0	0
134	210501	5	Idle	6	body	1;1	KOTORI_12	Id_favor3_1	6	10002	0	KOTORI_08	Id_favor3_4	6	10006
135	210501	5	Idle	6	tui	1;1	KOTORI_10	Id_favor4_1	6	10004	0	0	0	0	0
136	10504	1	id_favor1	6	head	1;1	KOTORI_02	id_favor1_1	6	10001	0	0	0	0	0
137	10504	1	id_favor1	6	body	1;1	KOTORI_03	id_favor1_2	6	10002	0	KOTORI_04	Id_favor1_4	6	10006
138	10504	1	id_favor1	6	tui	1;1	KOTORI_01_A	id_favor1_3	6	10004	0	0	0	0	0
139	10504	2	id_favor2	6	head	1;1	KOTORI_06	id_favor2_1	6	10001	0	KOTORI_13	Id_favor2_4	6	10006
140	10504	2	id_favor2	6	body	1;1	KOTORI_11	id_favor2_2	6	10002	0	0	0	0	0
141	10504	2	id_favor2	6	tui	1;1	KOTORI_07	id_favor2_3	6	10004	0	0	0	0	0
142	10504	3	id_favor3	6	head	1;1	KOTORI_09	id_favor3_1	6	10001	0	0	0	0	0
143	10504	3	id_favor3	6	body	1;1	KOTORI_12	id_favor3_2	6	10002	0	KOTORI_08	Id_favor3_4	6	10006
144	10504	3	id_favor3	6	tui	1;1	KOTORI_10	id_favor3_3	6	10004	0	0	0	0	0
145	10504	4	id_favor3	6	head	1;1	KOTORI_09	id_favor3_1	6	10001	0	0	0	0	0
146	10504	4	id_favor3	6	body	1;1	KOTORI_12	id_favor3_2	6	10002	0	KOTORI_08	Id_favor3_4	6	10006
147	10504	4	id_favor3	6	tui	1;1	KOTORI_10	id_favor3_3	6	10004	0	0	0	0	0
148	10504	5	id_favor3	6	head	1;1	KOTORI_09	id_favor3_1	6	10001	0	0	0	0	0
149	10504	5	id_favor3	6	body	1;1	KOTORI_12	id_favor3_2	6	10002	0	KOTORI_08	Id_favor3_4	6	10006
150	10504	5	id_favor3	6	tui	1;1	KOTORI_10	id_favor3_3	6	10004	0	0	0	0	0
151	10505	1	id_favor1	6	head	1;1	KOTORI_02	id_favor1_1	6	10001	0	0	0	0	0
152	10505	1	id_favor1	6	body	1;1	KOTORI_03	id_favor1_2	6	10002	0	KOTORI_04	Id_favor1_4	6	10006
153	10505	1	id_favor1	6	tui	1;1	KOTORI_01_A	id_favor1_3	6	10004	0	0	0	0	0
154	10505	2	id_favor2	6	head	1;1	KOTORI_06	id_favor2_1	6	10001	0	KOTORI_13	Id_favor2_4	6	10006
155	10505	2	id_favor2	6	body	1;1	KOTORI_11	id_favor2_2	6	10002	0	0	0	0	0
156	10505	2	id_favor2	6	tui	1;1	KOTORI_07	id_favor2_3	6	10004	0	0	0	0	0
157	10505	3	id_favor3	6	head	1;1	KOTORI_09	id_favor3_1	6	10001	0	0	0	0	0
158	10505	3	id_favor3	6	body	1;1	KOTORI_12	id_favor3_2	6	10002	0	KOTORI_08	Id_favor3_4	6	10006
159	10505	3	id_favor3	6	tui	1;1	KOTORI_10	id_favor3_3	6	10004	0	0	0	0	0
160	10505	4	id_favor3	6	head	1;1	KOTORI_09	id_favor3_1	6	10001	0	0	0	0	0
161	10505	4	id_favor3	6	body	1;1	KOTORI_12	id_favor3_2	6	10002	0	KOTORI_08	Id_favor3_4	6	10006
162	10505	4	id_favor3	6	tui	1;1	KOTORI_10	id_favor3_3	6	10004	0	0	0	0	0
163	10505	5	id_favor3	6	head	1;1	KOTORI_09	id_favor3_1	6	10001	0	0	0	0	0
164	10505	5	id_favor3	6	body	1;1	KOTORI_12	id_favor3_2	6	10002	0	KOTORI_08	Id_favor3_4	6	10006
165	10505	5	id_favor3	6	tui	1;1	KOTORI_10	id_favor3_3	6	10004	0	0	0	0	0
