怪物类型	名称	怪物基础属性	成长属性
2002	【简单】高级怪近战爆发	{1:14400,2:784,3:400,505:9500,506:500,507:550,508:450,6:10000,11:30000}	{1:3600,2:196,3:100,505:10,506:10,507:11,508:9}
2003	【简单】高级怪近战平衡	{1:18000,2:560,3:500,505:9500,506:500,507:500,508:500,6:10000,11:30000}	{1:4500,2:140,3:125,505:10,506:10,507:10,508:10}
2004	【简单】高级怪远程爆发	{1:14400,2:784,3:400,505:9500,506:500,507:525,508:500,6:10000,11:28500}	{1:3600,2:196,3:100,505:10,506:10,507:10,508:10}
2005	【简单】高级怪远程平衡	{1:19800,2:616,3:400,505:9500,506:525,507:500,508:500,6:10000,11:28500}	{1:4950,2:154,3:100,505:10,506:10,507:10,508:10}
2006	【简单】高级怪远程风筝	{1:21600,2:560,3:400,505:9025,506:575,507:450,508:450,6:10000,11:33000}	{1:5400,2:140,3:100,505:9,506:11,507:9,508:9}
2007	【简单】高级怪近战缓慢	{1:27000,2:672,3:500,505:8550,506:400,507:500,508:500,6:10000,11:18000}	{1:6750,2:168,3:125,505:9,506:8,507:10,508:10}
2008	【简单】高级怪近战敏捷	{1:18000,2:504,3:350,505:10450,506:600,507:600,508:400,6:10000,11:33000}	{1:4500,2:126,3:87,505:11,506:12,507:12,508:8}
2009	【简单】高级怪近战逃跑	{1:41400,2:560,3:50,505:9500,506:400,507:250,508:400,6:10000,11:45000}	{1:10350,2:140,3:12,505:10,506:8,507:5,508:8}
3001	【简单】精英怪近战防御	{1:46800,2:588,3:750,505:9500,506:500,507:500,508:550,6:10000,11:27000}	{1:11700,2:147,3:187,505:15,506:15,507:15,508:16}
3002	【简单】精英怪近战爆发	{1:28800,2:1176,3:600,505:9500,506:500,507:550,508:450,6:10000,11:30000}	{1:7200,2:294,3:149,505:15,506:15,507:16,508:13}
3003	【简单】精英怪近战平衡	{1:36000,2:840,3:750,505:9500,506:500,507:500,508:500,6:10000,11:30000}	{1:9000,2:210,3:187,505:15,506:15,507:15,508:15}
3004	【简单】精英怪远程爆发	{1:28800,2:1176,3:600,505:9500,506:500,507:525,508:500,6:10000,11:28500}	{1:7200,2:294,3:149,505:15,506:15,507:15,508:15}
3005	【简单】精英怪远程平衡	{1:39600,2:924,3:600,505:9500,506:525,507:500,508:500,6:10000,11:28500}	{1:9900,2:231,3:149,505:15,506:15,507:15,508:15}
3006	【简单】精英怪远程风筝	{1:43200,2:840,3:600,505:9025,506:575,507:450,508:450,6:10000,11:33000}	{1:10800,2:210,3:149,505:14,506:17,507:13,508:13}
3007	【简单】精英怪近战缓慢	{1:54000,2:1008,3:750,505:8550,506:400,507:500,508:500,6:10000,11:18000}	{1:13500,2:252,3:187,505:13,506:12,507:15,508:15}
3008	【简单】精英怪近战敏捷	{1:36000,2:756,3:525,505:10450,506:600,507:600,508:400,6:10000,11:33000}	{1:9000,2:189,3:130,505:16,506:18,507:18,508:12}
3009	【简单】精英怪近战逃跑	{1:82800,2:840,3:75,505:9500,506:400,507:250,508:400,6:10000,11:45000}	{1:20700,2:210,3:18,505:15,506:12,507:7,508:12}
4001	【简单】boss怪近战防御	{1:78000,2:612,3:1000,505:9500,506:500,507:500,508:550,6:10000,11:27000}	{1:19500,2:152,3:250,505:20,506:20,507:20,508:22}
4002	【简单】boss怪近战爆发	{1:48000,2:1225,3:800,505:9500,506:500,507:550,508:450,6:10000,11:30000}	{1:12000,2:305,3:200,505:20,506:20,507:22,508:18}
4003	【简单】boss怪近战平衡	{1:60000,2:875,3:1000,505:9500,506:500,507:500,508:500,6:10000,11:30000}	{1:15000,2:218,3:250,505:20,506:20,507:20,508:20}
4004	【简单】boss怪远程爆发	{1:48000,2:1225,3:800,505:9500,506:500,507:525,508:500,6:10000,11:28500}	{1:12000,2:305,3:200,505:20,506:20,507:21,508:20}
4005	【简单】boss怪远程平衡	{1:66000,2:962,3:800,505:9500,506:525,507:500,508:500,6:10000,11:28500}	{1:16500,2:239,3:200,505:20,506:21,507:20,508:20}
4006	【简单】boss怪远程风筝	{1:72000,2:875,3:800,505:9025,506:575,507:450,508:450,6:10000,11:33000}	{1:18000,2:218,3:200,505:19,506:23,507:18,508:18}
4007	【简单】boss怪近战缓慢	{1:90000,2:1050,3:1000,505:8550,506:400,507:500,508:500,6:10000,11:18000}	{1:22500,2:261,3:250,505:18,506:16,507:20,508:20}
4008	【简单】boss怪近战敏捷	{1:60000,2:787,3:700,505:10450,506:600,507:600,508:400,6:10000,11:33000}	{1:15000,2:196,3:175,505:22,506:24,507:24,508:16}
4009	【简单】boss怪近战逃跑	{1:138000,2:875,3:100,505:9500,506:400,507:250,508:400,6:10000,11:45000}	{1:34500,2:218,3:25,505:20,506:16,507:10,508:16}
11001	【困难】普通怪近战防御	{1:20800,2:336,3:300,505:10000,506:800,507:800,508:880,6:10000,11:27000}	{1:5200,2:84,3:75,505:10,506:10,507:10,508:11}
11002	【困难】普通怪近战爆发	{1:12800,2:672,3:240,505:10000,506:800,507:880,508:720,6:10000,11:30000}	{1:3200,2:168,3:60,505:10,506:10,507:11,508:9}
11003	【困难】普通怪近战平衡	{1:16000,2:480,3:300,505:10000,506:800,507:800,508:800,6:10000,11:30000}	{1:4000,2:120,3:75,505:10,506:10,507:10,508:10}
11004	【困难】普通怪远程爆发	{1:12800,2:672,3:240,505:10000,506:800,507:840,508:800,6:10000,11:28500}	{1:3200,2:168,3:60,505:10,506:10,507:10,508:10}
11005	【困难】普通怪远程平衡	{1:17600,2:528,3:240,505:10000,506:840,507:800,508:800,6:10000,11:28500}	{1:4400,2:132,3:60,505:10,506:10,507:10,508:10}
11006	【困难】普通怪远程风筝	{1:19200,2:480,3:240,505:9500,506:920,507:720,508:720,6:10000,11:33000}	{1:4800,2:120,3:60,505:9,506:11,507:9,508:9}
11007	【困难】普通怪近战缓慢	{1:24000,2:576,3:300,505:9000,506:640,507:800,508:800,6:10000,11:18000}	{1:6000,2:144,3:75,505:9,506:8,507:10,508:10}
11008	【困难】普通怪近战敏捷	{1:16000,2:432,3:210,505:11000,506:960,507:960,508:640,6:10000,11:33000}	{1:4000,2:108,3:52,505:11,506:12,507:12,508:8}
11009	【困难】普通怪近战逃跑	{1:36800,2:480,3:30,505:10000,506:640,507:400,508:640,6:10000,11:45000}	{1:9200,2:120,3:7,505:10,506:8,507:5,508:8}
12001	【困难】高级怪近战防御	{1:31200,2:448,3:600,505:10000,506:800,507:800,508:880,6:10000,11:27000}	{1:7800,2:112,3:150,505:15,506:15,507:15,508:16}
12002	【困难】高级怪近战爆发	{1:19200,2:896,3:480,505:10000,506:800,507:880,508:720,6:10000,11:30000}	{1:4800,2:224,3:120,505:15,506:15,507:16,508:13}
12003	【困难】高级怪近战平衡	{1:24000,2:640,3:600,505:10000,506:800,507:800,508:800,6:10000,11:30000}	{1:6000,2:160,3:150,505:15,506:15,507:15,508:15}
12004	【困难】高级怪远程爆发	{1:19200,2:896,3:480,505:10000,506:800,507:840,508:800,6:10000,11:28500}	{1:4800,2:224,3:120,505:15,506:15,507:15,508:15}
12005	【困难】高级怪远程平衡	{1:26400,2:704,3:480,505:10000,506:840,507:800,508:800,6:10000,11:28500}	{1:6600,2:176,3:120,505:15,506:15,507:15,508:15}
12006	【困难】高级怪远程风筝	{1:28800,2:640,3:480,505:9500,506:920,507:720,508:720,6:10000,11:33000}	{1:7200,2:160,3:120,505:14,506:17,507:13,508:13}
12007	【困难】高级怪近战缓慢	{1:36000,2:768,3:600,505:9000,506:640,507:800,508:800,6:10000,11:18000}	{1:9000,2:192,3:150,505:13,506:12,507:15,508:15}
12008	【困难】高级怪近战敏捷	{1:24000,2:576,3:420,505:11000,506:960,507:960,508:640,6:10000,11:33000}	{1:6000,2:144,3:105,505:16,506:18,507:18,508:12}
12009	【困难】高级怪近战逃跑	{1:55200,2:640,3:60,505:10000,506:640,507:400,508:640,6:10000,11:45000}	{1:13800,2:160,3:15,505:15,506:12,507:7,508:12}
13001	【困难】精英怪近战防御	{1:62400,2:672,3:900,505:10000,506:800,507:800,508:880,6:10000,11:27000}	{1:15600,2:168,3:225,505:20,506:20,507:20,508:22}
13002	【困难】精英怪近战爆发	{1:38400,2:1344,3:720,505:10000,506:800,507:880,508:720,6:10000,11:30000}	{1:9600,2:336,3:180,505:20,506:20,507:22,508:18}
13003	【困难】精英怪近战平衡	{1:48000,2:960,3:900,505:10000,506:800,507:800,508:800,6:10000,11:30000}	{1:12000,2:240,3:225,505:20,506:20,507:20,508:20}
13004	【困难】精英怪远程爆发	{1:38400,2:1344,3:720,505:10000,506:800,507:840,508:800,6:10000,11:28500}	{1:9600,2:336,3:180,505:20,506:20,507:21,508:20}
13005	【困难】精英怪远程平衡	{1:52800,2:1056,3:720,505:10000,506:840,507:800,508:800,6:10000,11:28500}	{1:13200,2:264,3:180,505:20,506:21,507:20,508:20}
13006	【困难】精英怪远程风筝	{1:57600,2:960,3:720,505:9500,506:920,507:720,508:720,6:10000,11:33000}	{1:14400,2:240,3:180,505:19,506:23,507:18,508:18}
13007	【困难】精英怪近战缓慢	{1:72000,2:1152,3:900,505:9000,506:640,507:800,508:800,6:10000,11:18000}	{1:18000,2:288,3:225,505:18,506:16,507:20,508:20}
13008	【困难】精英怪近战敏捷	{1:48000,2:864,3:630,505:11000,506:960,507:960,508:640,6:10000,11:33000}	{1:12000,2:216,3:157,505:22,506:24,507:24,508:16}
13009	【困难】精英怪近战逃跑	{1:110400,2:960,3:90,505:10000,506:640,507:400,508:640,6:10000,11:45000}	{1:27600,2:240,3:22,505:20,506:16,507:10,508:16}
14001	【困难】boss怪近战防御	{1:104000,2:700,3:1200,505:10000,506:800,507:800,508:880,6:10000,11:27000}	{1:26000,2:175,3:300,505:25,506:25,507:25,508:27}
14002	【困难】boss怪近战爆发	{1:64000,2:1400,3:960,505:10000,506:800,507:880,508:720,6:10000,11:30000}	{1:16000,2:350,3:240,505:25,506:25,507:27,508:22}
14003	【困难】boss怪近战平衡	{1:80000,2:1000,3:1200,505:10000,506:800,507:800,508:800,6:10000,11:30000}	{1:20000,2:250,3:300,505:25,506:25,507:25,508:25}
14004	【困难】boss怪远程爆发	{1:64000,2:1400,3:960,505:10000,506:800,507:840,508:800,6:10000,11:28500}	{1:16000,2:350,3:240,505:25,506:25,507:26,508:25}
14005	【困难】boss怪远程平衡	{1:88000,2:1100,3:960,505:10000,506:840,507:800,508:800,6:10000,11:28500}	{1:22000,2:275,3:240,505:25,506:26,507:25,508:25}
14006	【困难】boss怪远程风筝	{1:96000,2:1000,3:960,505:9500,506:920,507:720,508:720,6:10000,11:33000}	{1:24000,2:250,3:240,505:23,506:28,507:22,508:22}
14007	【困难】boss怪近战缓慢	{1:120000,2:1200,3:1200,505:9000,506:640,507:800,508:800,6:10000,11:18000}	{1:30000,2:300,3:300,505:22,506:20,507:25,508:25}
14008	【困难】boss怪近战敏捷	{1:80000,2:900,3:840,505:11000,506:960,507:960,508:640,6:10000,11:33000}	{1:20000,2:225,3:210,505:27,506:30,507:30,508:20}
14009	【困难】boss怪近战逃跑	{1:184000,2:1000,3:120,505:10000,506:640,507:400,508:640,6:10000,11:45000}	{1:46000,2:250,3:30,505:25,506:20,507:12,508:20}
21001	【噩梦】普通怪近战防御	{1:26000,2:420,3:400,505:10500,506:1200,507:1200,508:1320,6:10000,11:27000}	{1:6500,2:105,3:100,505:15,506:15,507:15,508:16}
21002	【噩梦】普通怪近战爆发	{1:16000,2:840,3:320,505:10500,506:1200,507:1320,508:1080,6:10000,11:30000}	{1:4000,2:210,3:80,505:15,506:15,507:16,508:13}
21003	【噩梦】普通怪近战平衡	{1:20000,2:600,3:400,505:10500,506:1200,507:1200,508:1200,6:10000,11:30000}	{1:5000,2:150,3:100,505:15,506:15,507:15,508:15}
21004	【噩梦】普通怪远程爆发	{1:16000,2:840,3:320,505:10500,506:1200,507:1260,508:1200,6:10000,11:28500}	{1:4000,2:210,3:80,505:15,506:15,507:15,508:15}
21005	【噩梦】普通怪远程平衡	{1:22000,2:660,3:320,505:10500,506:1260,507:1200,508:1200,6:10000,11:28500}	{1:5500,2:165,3:80,505:15,506:15,507:15,508:15}
21006	【噩梦】普通怪远程风筝	{1:24000,2:600,3:320,505:9975,506:1380,507:1080,508:1080,6:10000,11:33000}	{1:6000,2:150,3:80,505:14,506:17,507:13,508:13}
21007	【噩梦】普通怪近战缓慢	{1:30000,2:720,3:400,505:9450,506:960,507:1200,508:1200,6:10000,11:18000}	{1:7500,2:180,3:100,505:13,506:12,507:15,508:15}
21008	【噩梦】普通怪近战敏捷	{1:20000,2:540,3:280,505:11550,506:1440,507:1440,508:960,6:10000,11:33000}	{1:5000,2:135,3:70,505:16,506:18,507:18,508:12}
21009	【噩梦】普通怪近战逃跑	{1:46000,2:600,3:40,505:10500,506:960,507:600,508:960,6:10000,11:45000}	{1:11500,2:150,3:10,505:15,506:12,507:7,508:12}
22001	【噩梦】高级怪近战防御	{1:39000,2:560,3:800,505:10500,506:1200,507:1200,508:1320,6:10000,11:27000}	{1:9750,2:140,3:200,505:20,506:20,507:20,508:22}
22002	【噩梦】高级怪近战爆发	{1:24000,2:1120,3:640,505:10500,506:1200,507:1320,508:1080,6:10000,11:30000}	{1:6000,2:280,3:160,505:20,506:20,507:22,508:18}
22003	【噩梦】高级怪近战平衡	{1:30000,2:800,3:800,505:10500,506:1200,507:1200,508:1200,6:10000,11:30000}	{1:7500,2:200,3:200,505:20,506:20,507:20,508:20}
22004	【噩梦】高级怪远程爆发	{1:24000,2:1120,3:640,505:10500,506:1200,507:1260,508:1200,6:10000,11:28500}	{1:6000,2:280,3:160,505:20,506:20,507:21,508:20}
22005	【噩梦】高级怪远程平衡	{1:33000,2:880,3:640,505:10500,506:1260,507:1200,508:1200,6:10000,11:28500}	{1:8250,2:220,3:160,505:20,506:21,507:20,508:20}
22006	【噩梦】高级怪远程风筝	{1:36000,2:800,3:640,505:9975,506:1380,507:1080,508:1080,6:10000,11:33000}	{1:9000,2:200,3:160,505:19,506:23,507:18,508:18}
22007	【噩梦】高级怪近战缓慢	{1:45000,2:960,3:800,505:9450,506:960,507:1200,508:1200,6:10000,11:18000}	{1:11250,2:240,3:200,505:18,506:16,507:20,508:20}
22008	【噩梦】高级怪近战敏捷	{1:30000,2:720,3:560,505:11550,506:1440,507:1440,508:960,6:10000,11:33000}	{1:7500,2:180,3:140,505:22,506:24,507:24,508:16}
22009	【噩梦】高级怪近战逃跑	{1:69000,2:800,3:80,505:10500,506:960,507:600,508:960,6:10000,11:45000}	{1:17250,2:200,3:20,505:20,506:16,507:10,508:16}
23001	【噩梦】精英怪近战防御	{1:78000,2:840,3:1200,505:10500,506:1200,507:1200,508:1320,6:10000,11:27000}	{1:19500,2:210,3:300,505:25,506:25,507:25,508:27}
23002	【噩梦】精英怪近战爆发	{1:48000,2:1680,3:960,505:10500,506:1200,507:1320,508:1080,6:10000,11:30000}	{1:12000,2:420,3:240,505:25,506:25,507:27,508:22}
23003	【噩梦】精英怪近战平衡	{1:60000,2:1200,3:1200,505:10500,506:1200,507:1200,508:1200,6:10000,11:30000}	{1:15000,2:300,3:300,505:25,506:25,507:25,508:25}
23004	【噩梦】精英怪远程爆发	{1:48000,2:1680,3:960,505:10500,506:1200,507:1260,508:1200,6:10000,11:28500}	{1:12000,2:420,3:240,505:25,506:25,507:26,508:25}
23005	【噩梦】精英怪远程平衡	{1:66000,2:1320,3:960,505:10500,506:1260,507:1200,508:1200,6:10000,11:28500}	{1:16500,2:330,3:240,505:25,506:26,507:25,508:25}
23006	【噩梦】精英怪远程风筝	{1:72000,2:1200,3:960,505:9975,506:1380,507:1080,508:1080,6:10000,11:33000}	{1:18000,2:300,3:240,505:23,506:28,507:22,508:22}
23007	【噩梦】精英怪近战缓慢	{1:90000,2:1440,3:1200,505:9450,506:960,507:1200,508:1200,6:10000,11:18000}	{1:22500,2:360,3:300,505:22,506:20,507:25,508:25}
23008	【噩梦】精英怪近战敏捷	{1:60000,2:1080,3:840,505:11550,506:1440,507:1440,508:960,6:10000,11:33000}	{1:15000,2:270,3:210,505:27,506:30,507:30,508:20}
23009	【噩梦】精英怪近战逃跑	{1:138000,2:1200,3:120,505:10500,506:960,507:600,508:960,6:10000,11:45000}	{1:34500,2:300,3:30,505:25,506:20,507:12,508:20}
24001	【噩梦】boss怪近战防御	{1:130000,2:875,3:1600,505:10500,506:1200,507:1200,508:1320,6:10000,11:27000}	{1:32500,2:218,3:400,505:30,506:30,507:30,508:33}
24002	【噩梦】boss怪近战爆发	{1:80000,2:1750,3:1280,505:10500,506:1200,507:1320,508:1080,6:10000,11:30000}	{1:20000,2:436,3:320,505:30,506:30,507:33,508:27}
24003	【噩梦】boss怪近战平衡	{1:100000,2:1250,3:1600,505:10500,506:1200,507:1200,508:1200,6:10000,11:30000}	{1:25000,2:312,3:400,505:30,506:30,507:30,508:30}
24004	【噩梦】boss怪远程爆发	{1:80000,2:1750,3:1280,505:10500,506:1200,507:1260,508:1200,6:10000,11:28500}	{1:20000,2:436,3:320,505:30,506:30,507:31,508:30}
24005	【噩梦】boss怪远程平衡	{1:110000,2:1375,3:1280,505:10500,506:1260,507:1200,508:1200,6:10000,11:28500}	{1:27500,2:343,3:320,505:30,506:31,507:30,508:30}
24006	【噩梦】boss怪远程风筝	{1:120000,2:1250,3:1280,505:9975,506:1380,507:1080,508:1080,6:10000,11:33000}	{1:30000,2:312,3:320,505:28,506:34,507:27,508:27}
24007	【噩梦】boss怪近战缓慢	{1:150000,2:1500,3:1600,505:9450,506:960,507:1200,508:1200,6:10000,11:18000}	{1:37500,2:374,3:400,505:27,506:24,507:30,508:30}
24008	【噩梦】boss怪近战敏捷	{1:100000,2:1125,3:1120,505:11550,506:1440,507:1440,508:960,6:10000,11:33000}	{1:25000,2:280,3:280,505:33,506:36,507:36,508:24}
24009	【噩梦】boss怪近战逃跑	{1:230000,2:1250,3:160,505:10500,506:960,507:600,508:960,6:10000,11:45000}	{1:57500,2:312,3:40,505:30,506:24,507:15,508:24}
25001	【无尽】普通怪近战防御	{1:20800,2:336,3:300,505:10000,506:800,507:800,508:880,6:10000,11:27000}	{1:5200,2:84,3:75,505:10,506:10,507:10,508:11}
25002	【无尽】普通怪近战爆发	{1:12800,2:672,3:240,505:10000,506:800,507:880,508:720,6:10000,11:30000}	{1:3200,2:168,3:60,505:10,506:10,507:11,508:9}
25003	【无尽】普通怪近战平衡	{1:16000,2:480,3:300,505:10000,506:800,507:800,508:800,6:10000,11:30000}	{1:4000,2:120,3:75,505:10,506:10,507:10,508:10}
25004	【无尽】普通怪远程爆发	{1:12800,2:672,3:240,505:10000,506:800,507:840,508:800,6:10000,11:28500}	{1:3200,2:168,3:60,505:10,506:10,507:10,508:10}
25005	【无尽】普通怪远程平衡	{1:17600,2:528,3:240,505:10000,506:840,507:800,508:800,6:10000,11:28500}	{1:4400,2:132,3:60,505:10,506:10,507:10,508:10}
25006	【无尽】普通怪远程风筝	{1:19200,2:480,3:240,505:9500,506:920,507:720,508:720,6:10000,11:33000}	{1:4800,2:120,3:60,505:9,506:11,507:9,508:9}
25007	【无尽】普通怪近战缓慢	{1:24000,2:576,3:300,505:9000,506:640,507:800,508:800,6:10000,11:18000}	{1:6000,2:144,3:75,505:9,506:8,507:10,508:10}
25008	【无尽】普通怪近战敏捷	{1:16000,2:432,3:210,505:11000,506:960,507:960,508:640,6:10000,11:33000}	{1:4000,2:108,3:52,505:11,506:12,507:12,508:8}
25009	【无尽】普通怪近战逃跑	{1:36800,2:480,3:30,505:10000,506:800,507:800,508:80,6:10000,11:45000}	{1:9200,2:120,3:7,505:10,506:10,507:10,508:1}
26001	【无尽】高级怪近战防御	{1:31200,2:448,3:600,505:10000,506:800,507:800,508:880,6:10000,11:27000}	{1:7800,2:112,3:150,505:15,506:15,507:15,508:16}
26002	【无尽】高级怪近战爆发	{1:19200,2:896,3:480,505:10000,506:800,507:880,508:720,6:10000,11:30000}	{1:4800,2:224,3:120,505:15,506:15,507:16,508:13}
26003	【无尽】高级怪近战平衡	{1:24000,2:640,3:600,505:10000,506:800,507:800,508:800,6:10000,11:30000}	{1:6000,2:160,3:150,505:15,506:15,507:15,508:15}
26004	【无尽】高级怪远程爆发	{1:19200,2:896,3:480,505:10000,506:800,507:840,508:800,6:10000,11:28500}	{1:4800,2:224,3:120,505:15,506:15,507:15,508:15}
26005	【无尽】高级怪远程平衡	{1:26400,2:704,3:480,505:10000,506:840,507:800,508:800,6:10000,11:28500}	{1:6600,2:176,3:120,505:15,506:15,507:15,508:15}
26006	【无尽】高级怪远程风筝	{1:28800,2:640,3:480,505:9500,506:920,507:720,508:720,6:10000,11:33000}	{1:7200,2:160,3:120,505:14,506:17,507:13,508:13}
26007	【无尽】高级怪近战缓慢	{1:36000,2:768,3:600,505:9000,506:640,507:800,508:800,6:10000,11:18000}	{1:9000,2:192,3:150,505:13,506:12,507:15,508:15}
26008	【无尽】高级怪近战敏捷	{1:24000,2:576,3:420,505:11000,506:960,507:960,508:640,6:10000,11:33000}	{1:6000,2:144,3:105,505:16,506:18,507:18,508:12}
26009	【无尽】高级怪近战逃跑	{1:55200,2:640,3:60,505:10000,506:800,507:800,508:80,6:10000,11:45000}	{1:13800,2:160,3:15,505:15,506:15,507:15,508:1}
27001	【无尽】精英怪近战防御	{1:62400,2:672,3:900,505:10000,506:800,507:800,508:880,6:10000,11:27000}	{1:15600,2:168,3:225,505:20,506:20,507:20,508:22}
27002	【无尽】精英怪近战爆发	{1:38400,2:1344,3:720,505:10000,506:800,507:880,508:720,6:10000,11:30000}	{1:9600,2:336,3:180,505:20,506:20,507:22,508:18}
27003	【无尽】精英怪近战平衡	{1:48000,2:960,3:900,505:10000,506:800,507:800,508:800,6:10000,11:30000}	{1:12000,2:240,3:225,505:20,506:20,507:20,508:20}
27004	【无尽】精英怪远程爆发	{1:38400,2:1344,3:720,505:10000,506:800,507:840,508:800,6:10000,11:28500}	{1:9600,2:336,3:180,505:20,506:20,507:21,508:20}
27005	【无尽】精英怪远程平衡	{1:52800,2:1056,3:720,505:10000,506:840,507:800,508:800,6:10000,11:28500}	{1:13200,2:264,3:180,505:20,506:21,507:20,508:20}
27006	【无尽】精英怪远程风筝	{1:57600,2:960,3:720,505:9500,506:920,507:720,508:720,6:10000,11:33000}	{1:14400,2:240,3:180,505:19,506:23,507:18,508:18}
27007	【无尽】精英怪近战缓慢	{1:72000,2:1152,3:900,505:9000,506:640,507:800,508:800,6:10000,11:18000}	{1:18000,2:288,3:225,505:18,506:16,507:20,508:20}
27008	【无尽】精英怪近战敏捷	{1:48000,2:864,3:630,505:11000,506:960,507:960,508:640,6:10000,11:33000}	{1:12000,2:216,3:157,505:22,506:24,507:24,508:16}
27009	【无尽】精英怪近战逃跑	{1:110400,2:960,3:90,505:10000,506:800,507:800,508:80,6:10000,11:45000}	{1:27600,2:240,3:22,505:20,506:20,507:20,508:2}
28001	【无尽】boss怪近战防御	{1:104000,2:700,3:1200,505:10000,506:800,507:800,508:880,6:10000,11:27000}	{1:26000,2:175,3:300,505:25,506:25,507:25,508:27}
28002	【无尽】boss怪近战爆发	{1:64000,2:1400,3:960,505:10000,506:800,507:880,508:720,6:10000,11:30000}	{1:16000,2:350,3:240,505:25,506:25,507:27,508:22}
28003	【无尽】boss怪近战平衡	{1:80000,2:1000,3:1200,505:10000,506:800,507:800,508:800,6:10000,11:30000}	{1:20000,2:250,3:300,505:25,506:25,507:25,508:25}
28004	【无尽】boss怪远程爆发	{1:64000,2:1400,3:960,505:10000,506:800,507:840,508:800,6:10000,11:28500}	{1:16000,2:350,3:240,505:25,506:25,507:26,508:25}
28005	【无尽】boss怪远程平衡	{1:88000,2:1100,3:960,505:10000,506:840,507:800,508:800,6:10000,11:28500}	{1:22000,2:275,3:240,505:25,506:26,507:25,508:25}
28006	【无尽】boss怪远程风筝	{1:96000,2:1000,3:960,505:9500,506:920,507:720,508:720,6:10000,11:33000}	{1:24000,2:250,3:240,505:23,506:28,507:22,508:22}
28007	【无尽】boss怪近战缓慢	{1:120000,2:1200,3:1200,505:9000,506:640,507:800,508:800,6:10000,11:18000}	{1:30000,2:300,3:300,505:22,506:20,507:25,508:25}
28008	【无尽】boss怪近战敏捷	{1:80000,2:900,3:840,505:11000,506:960,507:960,508:640,6:10000,11:33000}	{1:20000,2:225,3:210,505:27,506:30,507:30,508:20}
28009	【无尽】boss怪近战逃跑	{1:184000,2:1000,3:120,505:10000,506:800,507:800,508:80,6:10000,11:45000}	{1:46000,2:250,3:30,505:25,506:25,507:25,508:2}
41001	【联机】普通怪近战防御	{1:78000,2:350,3:400,505:10000,506:1000,507:1500,508:550,6:10000,11:22500}	{1:19500,2:87,3:100,505:15,506:15,507:15,508:16}
41002	【联机】普通怪近战爆发	{1:48000,2:700,3:320,505:10000,506:1000,507:1650,508:450,6:10000,11:25000}	{1:12000,2:175,3:80,505:15,506:15,507:16,508:13}
41003	【联机】普通怪近战平衡	{1:60000,2:500,3:400,505:10000,506:1000,507:1500,508:500,6:10000,11:25000}	{1:15000,2:125,3:100,505:15,506:15,507:15,508:15}
41004	【联机】普通怪远程爆发	{1:48000,2:700,3:320,505:10000,506:1000,507:1575,508:500,6:10000,11:23750}	{1:12000,2:175,3:80,505:15,506:15,507:15,508:15}
41005	【联机】普通怪远程平衡	{1:66000,2:550,3:320,505:10000,506:1050,507:1500,508:500,6:10000,11:23750}	{1:16500,2:137,3:80,505:15,506:15,507:15,508:15}
41006	【联机】普通怪远程风筝	{1:72000,2:500,3:320,505:9500,506:1150,507:1350,508:450,6:10000,11:27500}	{1:18000,2:125,3:80,505:14,506:17,507:13,508:13}
