 	关卡名策划看	关卡类型(1-战斗，2-约会，3-城市约会，11-卡巴拉活动关卡)	玩法模式(1-常规，2-飞行，3-撞击，约会关卡不填)	前置关卡id	是否为free关	约会ID(读取约会表中的ID)	剧情简介	每卷最后1个主线剧情关卡(填1做标识)	关卡点位(1个wave中每个关卡布局点)	所属关卡组ID	所属关卡组ID(此字段服务器用)	精灵限定类型(0-无限定/禁用；1-不能编入自己的精灵；2-可以编入自己的精灵；3-禁用精灵；)	限定精灵ID(读取heroLimitforDungeon表ID)	禁用精灵ID(读取hero表中ID)	刷怪组id	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	撞击飞行关卡预览视频文件（填video表中ID）	飞行关入场方向（1  LEFT  2 RIGHT 3 BOTTOM 4 TOP） 	飞行关出场方向（1  LEFT  2 RIGHT 3 BOTTOM 4 TOP）	飞行关入场距离	预览视频第一帧图片路径	背景音乐	显示顺序	难度	地图摄像机修正Z	战斗角色大小比例	地图摄像机修正X(x1-x2，x1为向左扩大，x2为向右扩大)	关卡时长	关卡名字（暂时没用此字段）	关卡简名（获取系统用）	关卡分级名字	关卡图标	关卡图标上奖励展示	关卡图片	关卡图片(约会关卡用此字段配置关卡场景展示缩略图)	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	刷怪备注(策划看)	通关条件类型(1歼灭，2生存，3击杀具体怪物，4击杀怪物类型，5击杀怪物数量，6防守)	通关条件参数(歼灭不填，生存x秒内存活，怪物ID及数量x，怪物敌人类型及数量x，怪物总量x)	通关条件描述	通关条件开场描述	挑战类型(1通关，2连击数，3通关时间小于，4损失血量低于x%，5死亡人数小于x，6受击次数小于x，7倒地次数小于x，8使用x次觉醒技能，9使用角色出场技击败x个敌人，10选择一个助战角色，11队伍中包含某角色，12每x秒至少击杀1名敌人，13队伍中所有精灵使用技能总次数不超过x，14队伍中不能有精灵阵亡，31-击杀怪物数量达到x，32-积分达到x)	挑战参数（类型为1通关时，参数配置为1）	挑战描述	首通奖励展示	关卡掉落展示	进入等级	消耗资源	可进入次数	是否可以开启决斗模式	开启决斗模式消耗资源	决斗模式奖励倍数	决斗模式下的怪物技能	是否可以一次性挑战多次	快速挑战参数{挑战次数:解锁星星条件}	奖励	首通奖励	日常副本奖励(根据每一次通关获得的星级发放对应奖励，1星奖励ID-2星奖励ID-3星奖励ID)	是否播放关卡开场默认动作	是否播放胜利动作	词缀怪物总数	词缀怪物出现区间
101208	第1章简单2-3-战斗	1	1	101207				1	[36,[5,6]]	1002	1001	2	1003		1511-1512-1513	3_S1L9							sound/battle_sound/battle_001.mp3	3	1		0.6		300	300302			icon/fuben/levelIcon/Dungeon/jiaowai_2.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png		3			5	[[11]]	300818	300813	2-4-7	15-90-5	300052-300054-300057	510205-510101-510151	510205-210010-510101-510151-210009	3	{500004:6}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210108	60110108		0	1		
102101	第2章简单1-1-约会	2		101208		2001	950031		[29,[1,2]]	2001	2001													1	1		0.6		300	950030			icon/fuben/levelIcon/Dating/yutianshenshe.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png									2-3-4	20-120-80	950032	510203-510101-510151	510203-510101-510151	5	{500004:0}	99	0				0			60110201		1	1		
102102	第2章简单1-2-战斗	1	1	102101					[45,[4]]	2001	2001	1	2001		2411-2412-2413-2414	3_S2L1							sound/battle_sound/battle_004.mp3	2	1		0.6		300	300302			icon/fuben/levelIcon/Dungeon/hebianjiedao_3.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[2]]	300801	300816	2-3-5	20-120-3	300052-300053-300055	510206-510101-510151	510206-210011-510101-510151-210009	5	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210202	60110202		1	1		
102103	第2章简单1-3-战斗	1	1	102102					[21,[3]]	2001	2001	2	2002		2211-2212-2213-2214	3_S2L2							sound/battle_sound/battle_002.mp3	3	1		0.6		180	300303			icon/fuben/levelIcon/Dungeon/hebianjiedao_2.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png				常规+极限	3	[[20001,1]]	300804	300819	2-3-6	20-120-7	300052-300053-300056	510207-510101-510151	510207-510103-510101-510151-210009	5	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210203	60110203		1	1		
102104	第2章简单1-4-约会	2		102103		2002	950036		[37,[1,2]]	2001	2001													4	1		0.6		300	950035			icon/fuben/levelIcon/Dating/shangchang.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png									2-6-7	20-7-4	950037	510306-510101-510151	510306-510101-510151	5	{500004:0}	99	0				0			60110204		1	1		
102205	第2章简单2-1-撞击模式	1	3	102104					[30,[5,6]]	2002	2001	1	5		1011-1012-1013-1014-1015	3_S2L3		2003	1	2	400	ui/fuben/sixinaizhuangji.png	sound/battle_sound/battle_002.mp3	1	1		0.6		45	300301			icon/fuben/levelIcon/Dungeon/zhuangjiguanqia_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					2	[[45]]	300802	300817	5-32-11	1-300-110301	300052-300066-300056	510208-510101-510151	510208-210012-510101-510151-210009	1	{500004:6}	99	0				0		60210205	60110205		0	0		
102206	第2章简单2-2-战斗	1	1	102205					[33,[1,2]]	2002	2001				2711-2712-2713-2714-2715	3_S2L7							sound/battle_sound/battle_001.mp3	2	1		0.6		300	300301			icon/fuben/levelIcon/Dungeon/louding_2.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[2]]	300801	300816	2-4-7	20-80-4	300052-300054-300057	510201-510101-510151	510201-510153-510101-510151-210009	7	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210206	60110206		1	1		
102207	第2章简单2-3-支线战斗	1		102206	1				[9,[17]]	2002	2001				2511-2512-2513	3_S2L2OLD							sound/battle_sound/battle_002.mp3	3	1		0.6		150	300301			icon/fuben/levelIcon/Dungeon/putongjiedaohuifu_2.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				极限(怪物易进攻)	5	[[12]]	300803	300818	2-5-7	20-3-4	300052-300055-300057	510202-510101-510151	510202-510211-510101-510151-210009	7	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210207	60110207		1	1		
102208	第2章简单2-4-约会	2		102206		2003	950041		[37,[5,6]]	2002	2001													4	1		0.6		300	950040			icon/fuben/levelIcon/Dating/keting.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png									2-3-6	20-120-7	950042	510306-510101-510151	510306-510101-510151	7	{500004:0}	99	0				0			60110208		1	1		
102309	第2章简单3-1-战斗	1	1	102208					[29,[1,2]]	2003	2001				2911-2912-2913-2914	3_S2L5							sound/battle_sound/battle_004.mp3	1	1		0.6		180	300304			icon/fuben/levelIcon/Dungeon/louding_3.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png				常规+常规+循环	7	[[4]]	300809	300876	2-3-7	20-120-4	300052-300053-300057	510203-510101-510151	510203-210013-510101-510151-210009	9	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210209	60110209		1	1		
102310	第2章简单3-2-战斗（飞行）	1	2	102309					[18,[7]]	2003	2001	1	10020103		2511-2512-2513-2514	3_S2L6		2001	4	3	320	ui/fuben/sixinaifeixing.png	sound/battle_sound/battle_001.mp3	2	1		0.6		45	300305			icon/fuben/levelIcon/Dungeon/louding_2.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					2	[[45]]	300802	300817	5-32-11	1-500-110301	300052-300066-300055	510204-510101-510151	510204-510103-510101-510151-210009	9	{500004:7}	99	0				0		60210210	60110210		1	1		
102311	第2章简单3-3-约会	2		102309		2004	950046		[44,[7]]	2003	2001													3	1		0.6		300	950045			icon/fuben/levelIcon/Dating/zhezhijia.png												2-5-6	20-3-7	950047	510208-510101-510151	510208-510101-510151	9	{500004:0}	99	0				0			60110211		1	1		
102312	第2章简单3-4-战斗	1	1	102310-102311					[20,[3]]	2003	2001	2	2005		2311-2312-2313-2314-2315	3_S2L9							sound/battle_sound/battle_003.mp3	4	1		0.6		300				icon/fuben/levelIcon/Dungeon/bingfengjiedao_2.png								7	[[4]]	300809	300876	2-4-6	20-80-7	300052-300054-300056	510205-510101-510151	510205-210014-510101-510151-210009	9	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210212	60110212		1	0		
102313	第2章简单3-5-战斗	1	1	102312					[48,[4]]	2003	2001	2	2006		2811-2812-2813-2814-2815-2816-2817	3_S2L8							sound/battle_sound/battle_002.mp3	5	1		0.6		300				icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png								6	[[3]]	300808	300808	2-4-7	20-80-4	300052-300054-300057	510206-510101-510151	510206-510153-510101-510151-210009	9	{500004:7}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210213	60110213		0	1		
102314	第2章简单3-6-约会	2		102313		2005	950051	1	[37,[1,2]]	2003	2001													6	1		0.6		300	950050			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png												2-5-7	20-6-4	950052	510306-510101-510151	510306-510101-510151	9	{500004:0}	99	0				0			60110214		1	1		
103101	第3章简单1-1-约会	2		102314		3001	950062		[29,[1,2]]	3001	3001													1	1		0.6		300	950061			icon/fuben/levelIcon/Dating/009.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png									2-3-4	25-100-70	950062	510206-510101-510151	510206-510101-510151	11	{500004:0}	99	0				0			60110301		1	1		
103102	第3章简单W1(3-2)   歼灭模式 	1	1	103101					[32,[5,6]]	3001	3001	2	3001		310011-310012-310013-310014	4_pohuaixiaowai	3001						sound/battle_sound/battle_001.mp3	2	1		0.6		300	300302			icon/fuben/levelIcon/Dungeon/xiaomenwaipohuai_2.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png				常规+常规+极限	1	[[3]]	300801	300816	2-3-5	25-100-2	300052-300053-300055	510207-510101-510151	510207-510212-510101-510151-210009	11	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210302	60110302		1	1		
103103	第3章简单W1(F3-1) 生存模式60秒 	1	1	103102	1				[8,[17]]	3001	3001				310019-310020-310021-310022-310023-310024	4_ditie	3002						sound/battle_sound/battle_001.mp3	3	1		0.6		60	300303			icon/fuben/levelIcon/Dungeon/pohuaijiedao_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				常规+循环+常规	2	[[60]]	300802	300817	2-4-6	25-70-6	300052-300054-300056	510208-510101-510151	510208-210015-510101-510151-210009	11	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}		60110303		1	1		
103104	第3章简单W1(3-3)   BOSS挑战【击杀狂三】	1	1	103102					[35,[1,2]]	3001	3001	2	3002		310015-310016-310017	3_S3L1_pohuaixiaowai							sound/battle_sound/battle_003.mp3	4	1		0.6		300	300304			icon/fuben/levelIcon/Dungeon/xiaomenwaipohuai_2.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					3	[[624301,1]]	300804	300819	2-3-7	25-100-3	300052-300053-300057	510201-510101-510151	510201-510104-510101-510151-210009	11	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210304	60110304		1	1		
103105	第3章简单W1(F3-2) 限时击杀	1	1	103104	1				[63,[16]]	3001	3001				310025-310026-310027	4_putongjiedao	3003						sound/battle_sound/battle_002.mp3	5	1		0.6		150	300305			icon/fuben/levelIcon/Dungeon/putongjiedaohuifu_2.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					5	[[15]]	300803	300818	2-4-5	25-70-2	300052-300054-300055	510202-510101-510151	510202-210016-510101-510151-210009	11	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}		60110305		1	1		
103106	第3章简单1-6-约会	2		103104		3002	950067		[24,[3]]	3001	3001													6	1		0.6		300	950066			icon/fuben/levelIcon/Dating/009.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png									2-5-6	25-2-6	950067	510309-510101-510151	510309-510101-510151	11	{500004:0}	99	0				0			60110306		1	1		
103207	第3章简单W2(3-5)   歼灭模式 	1	1	103106					[29,[5,6]]	3002	3001				320011-320012-320013-320014	4_jiaoshi	3004						sound/battle_sound/battle_001.mp3	1	1		0.6		300	300302			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				常规+定时	1	[[2]]	300801	300816	2-3-6	25-100-6	300052-300053-300056	510203-510101-510151	510203-510153-510101-510151-210009	13	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210307	60110307		1	1		
103208	第3章简单W2(3-6)   歼灭模式【击杀折纸】	1	1	103207					[18,[3]]	3002	3001				320015-320016-320017	3_S3L2_jiaoshi							sound/battle_sound/battle_003.mp3	2	1		0.6		300	300303			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_2.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[2]]	300801	300816	2-3-7	25-100-3	300052-300053-300057	510204-510101-510151	510204-510213-510101-510151-210009	13	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210308	60110308		1	1		
103209	第3章简单2-3-约会	3		103208		301	950072		[33,[1,2]]	3002	3001												sound/battle_sound/battle_001.mp3	3	1					950071			icon/fuben/levelIcon/Dating/shangchang.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png									2-4-5	25-70-2	950072	510204-510101-510151	510204-510101-510151	13	{500004:0}	99	0				0			60110309		1	1		
103210	第3章简单W2(3-8)   波次挑战	1	1	103209					[48,[4]]	3002	3001				320019-320020-320021-320022	4_jiaowai02	3005						sound/battle_sound/battle_002.mp3	4	1		0.6		300	300305			icon/fuben/levelIcon/Dungeon/jiaowai_4.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					7	[[4]]	300809	300876	2-5-6	25-2-6	300052-300055-300056	510205-510101-510151	510205-210017-510101-510151-210009	13	{500004:8}	99	0				0			60110310		1	1		
103211	第3章简单W2(3-9)   BOSS挑战【击杀狂三】	1	1	103210					[37,[5,6]]	3002	3001	2	3004		320023	3_S3L2_jiaowai_02							sound/battle_sound/battle_003.mp3	5	1		0.6		300				icon/fuben/levelIcon/Dungeon/jiaowai_5.png								3	[[624301,1]]	300804	300819	2-6-7	25-6-3	300052-300056-300057	510309-510101-510151	510206-510104-510101-510151-210009	13	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210311	60110311		1	1		
103312	第3章简单3-1-约会	2		103211		3009	950077		[30,[1,2]]	3003	3001													1	1		0.6		300	950076			icon/fuben/levelIcon/Dating/007.png												2-4-5	25-70-2	950077	510203-510101-510151	510203-510101-510151	15	{500004:0}	99	0				0			60110312		1	1		
103313	第3章简单W3(3-11)   歼灭模式 	1	1	103211					[4,[10]]	3003	3001				330011-330012-330013-330014	4_zhengchangxiaowai	3006						sound/battle_sound/battle_001.mp3	2	1		0.6		300				icon/fuben/levelIcon/Dungeon/xiaomenwai_1.png								1	[[3]]	300801	300816	2-5-6	25-2-6	300052-300055-300056	510207-510101-510151	510207-210018-510101-510151-210009	15	{500004:8}	99	0				0			60110313		1	1		
103314	第3章简单W3(3-12)   波次挑战	1	1	103211					[56,[9]]	3003	3001				330015-330016-330017-330018	4_zhengchangxiaowai	3007						sound/battle_sound/battle_002.mp3	3	1		0.6		300				icon/fuben/levelIcon/Dungeon/xiaomenwai_2.png								7	[[4]]	300809	300876	2-3-6	25-100-6	300052-300053-300056	510208-510101-510151	510208-510153-510101-510151-210009	15	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210314	60110314		1	1		
103315	第3章简单W3(3-13)   歼灭模式【击杀狂三】	1	1	103312-103313-103314					[33,[5,6]]	3003	3001	2	3007		330019-330020-330021-330022	3_S3L3_caochang01							sound/battle_sound/battle_003.mp3	4	1		0.6		300				icon/fuben/levelIcon/Dungeon/xiaoyuancaochang_3.png								3	[[624301,1]]	300804	300819	2-3-7	25-150-3	300052-300053-300057	510201-510101-510151	510201-510214-510101-510151-210009	15	{500004:8}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210315	60110315		1	1		
103316	第3章简单W3(3-14)   BOSS挑战【击杀狂三】	1	1	103315				1	[36,[1,2]]	3003	3001	2	3008		330023	3_S3L3_caochang02							sound/battle_sound/battle_003.mp3	5	1		0.6		300				icon/fuben/levelIcon/Dungeon/xiaoyuancaochang_2.png								3	[[624401,1]]	300804	300819	7-4-5	4-70-2	300052-300054-300055	510307-510101-510151	510202-210019-510101-510151-210009	15	{500004:8}	99	1	{570031:1}	2	1001	0	{1:0,2:2,3:3}	60210316	60110316		1	1		
104101	第4章简单W1(4-1)   歼灭模式 	1	1	103316					[29,[1,2]]	4001	4001				410011-410012-410013-410014	4_xinshoujiedao	4001						sound/battle_sound/battle_001.mp3	1	1		0.6		300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[2]]	300801	300816	2-3-4	30-90-60	300052-300053-300054	510203-510102-510152	510203-510104-510102-510152-210009	18	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210401	60110401		1	1		
104102	第4章简单W1(4-2)   BOSS挑战 【猩猩】	1	1	104101					[32,[5,6]]	4001	4001				410015-410016-410017	3_S4L1_xinshoujiedao							sound/battle_sound/battle_003.mp3	2	1		0.6		300	300302			icon/fuben/levelIcon/Dungeon/xinshouguanqia_2.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				常规+常规+定时	3	[[2060,1]]	300804	300819	2-3-5	30-90-2	300052-300053-300055	510204-510102-510152	510204-210010-510102-510152-210009	18	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210402	60110402		1	1		
104103	第4章简单1-3-约会	2		104102		4001	950081		[47,[4]]	4001	4001													3	1		0.6		300	950080			icon/fuben/levelIcon/Dating/006.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png									2-3-6	30-90-5	950082	510202-510102-510152	510202-510102-510152	18	{500004:0}	99	0				0			60110403		1	1		
104104	第4章简单W1(4-4)   限时击退	1	1	104103					[23,[3]]	4001	4001				410019-410020-410021	4_ditie	4002						sound/battle_sound/battle_004.mp3	4	1		0.6		150	300304			icon/fuben/levelIcon/Dungeon/pohuaijiedao_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png	8006	3	300906	常规+循环	5	[[15]]	300803	300818	2-5-6	30-2-5	300052-300055-300056	510205-510102-510152	510205-510153-510102-510152-210009	18	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210404	60110404		1	1		
